GeneBank ID	Molecule	Description	Log ratio: MTX 48	Log ratio: R96	p-value: MTX 48	p-value: R96	Function
NM_002204	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor), transcript variant a	1357	1129	0	0,009	Integrins
NM_002211	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12), transcript variant 1A	0,741	1241	0	0,011	Integrins
NM_000211	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)		0,686		0,003	Integrins
NM_000213	ITGB4	integrin, beta 4, transcript variant 1	0,87	0,776	0	0,002	Integrins
NM_002214	ITGB8	integrin, beta 8	0,647	2376	0,001	0	Integrins
NM_005163	AKT1	v-akt murine thymoma viral oncogene homolog 1, transcript variant 1		0,647		0,042	Molecules involved in PI3K/AKT-induced NF-?B signaling
NM_005204	MAP3K8 (Cot)	mitogen-activated protein kinase kinase kinase 8		0,73		0,014	Molecules involved in PI3K/AKT-induced NF-?B signaling
NM_003954	MAP3K14 (NIK)	mitogen-activated protein kinase kinase kinase 14	0,562	0,919	0,006	0,011	NF-?B-inducing kinase (NIK) molecules
NM_145686	MAP4K4 (NIK)	mitogen-activated protein kinase kinase kinase kinase 4, transcript variant 2	0,786	0,451	0	0,011	NF-?B-inducing kinase (NIK) molecules
NM_003639	IKBKG (IKK?)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma		0,915		0,003	Molecule of NF-?B activator
NM_002502	NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)		0,568		0,001	NF-?B transcriptional complex molecules
NM_006509	RELB	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	0,902	1465	0	0	NF-?B transcriptional complex molecules
NM_138578	BCL2L1 (Bcl-xL)	BCL2-like 1 nuclear gene encoding mitochondrial protein, transcript variant 1	1025	0,948	0,005	0,001	NF-?B effector molecules
NM_001165	BIRC3 (cIAP)	baculoviral IAP repeat-containing 3, transcript variant 1	1816	4119	0,003	0	NF-?B effector molecules
NM_002985	CCL5 (RANTES)	chemokine (C-C motif) ligand 5	1056	1431	0,002	0,036	NF-?B effector molecules
NM_053056	CCND1	cyclin D1		1078		0,002	NF-?B effector molecules
NM_001511	CXCL1	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)		2792		0,001	NF-?B effector molecules
NM_002090	CXCL3	chemokine (C-X-C motif) ligand 3		1937		0,004	NF-?B effector molecules
NM_000201	ICAM1	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	0,69	1044	0,002	0,002	NF-?B effector molecules
NM_000625	NOS2A	nitric oxide synthase 2A (inducible, hepatocytes), transcript variant 1	0,985	3295	0,002	0	NF-?B effector molecules
NM_000930	PLAT	plasminogen activator, tissue, transcript variant 1		1188		0,018	NF-?B effector molecules
