GO	MicroRNA	p	FDR	ENRICHMENT
regulation of transcription	mmu-miR-467a	3.75503E-06	0.07875	1.885144
regulation of transcription	mmu-miR-495	3.75503E-06	0.07875	1.885144
regulation of transcription	mmu-miR-666-5p	3.75503E-06	0.07875	1.885144
regulation of transcription	mmu-miR-670	3.75503E-06	0.07875	1.885144
response to DNA damage stimulus	mmu-miR-298	4.11209E-06	0.0725	2.506052
response to DNA damage stimulus	mmu-miR-362-5p	4.11209E-06	0.0725	2.506052
response to DNA damage stimulus	mmu-miR-467a	4.11209E-06	0.0725	2.506052
response to DNA damage stimulus	mmu-miR-495	4.11209E-06	0.0725	2.506052
response to DNA damage stimulus	mmu-miR-666-5p	4.11209E-06	0.0725	2.506052
response to DNA damage stimulus	mmu-miR-670	4.11209E-06	0.0725	2.506052
mitosis	mmu-miR-298	5.70794E-06	0.06625	2.719177
mitosis	mmu-miR-362-5p	5.70794E-06	0.06625	2.719177
mitosis	mmu-miR-450a-3p	5.70794E-06	0.06625	2.719177
mitosis	mmu-miR-467a	5.70794E-06	0.06625	2.719177
mitosis	mmu-miR-495	5.70794E-06	0.06625	2.719177
mitosis	mmu-miR-666-5p	5.70794E-06	0.06625	2.719177
mitosis	mmu-miR-670	5.70794E-06	0.06625	2.719177
apoptosis	mmu-miR-298	7.0194E-06	0.09125	1.960743
apoptosis	mmu-miR-362-5p	7.0194E-06	0.09125	1.960743
apoptosis	mmu-miR-450a-3p	7.0194E-06	0.09125	1.960743
apoptosis	mmu-miR-467a	7.0194E-06	0.09125	1.960743
apoptosis	mmu-miR-495	7.0194E-06	0.09125	1.960743
apoptosis	mmu-miR-666-5p	7.0194E-06	0.09125	1.960743
apoptosis	mmu-miR-670	7.0194E-06	0.09125	1.960743
multicellular organismal development	mmu-miR-298	1.33281E-05	0.07875	1.626006
multicellular organismal development	mmu-miR-362-5p	1.33281E-05	0.07875	1.626006
multicellular organismal development	mmu-miR-450a-3p	1.33281E-05	0.07875	1.626006
multicellular organismal development	mmu-miR-467a	1.33281E-05	0.07875	1.626006
multicellular organismal development	mmu-miR-495	1.33281E-05	0.07875	1.626006
multicellular organismal development	mmu-miR-666-5p	1.33281E-05	0.07875	1.626006
multicellular organismal development	mmu-miR-670	1.33281E-05	0.07875	1.626006
protein amino acid phosphorylation	mmu-miR-298	1.59203E-05	0.08125	1.747011
protein amino acid phosphorylation	mmu-miR-362-5p	1.59203E-05	0.08125	1.747011
protein amino acid phosphorylation	mmu-miR-450a-3p	1.59203E-05	0.08125	1.747011
protein amino acid phosphorylation	mmu-miR-467a	1.59203E-05	0.08125	1.747011
protein amino acid phosphorylation	mmu-miR-495	1.59203E-05	0.08125	1.747011
protein amino acid phosphorylation	mmu-miR-666-5p	1.59203E-05	0.08125	1.747011
protein amino acid phosphorylation	mmu-miR-670	1.59203E-05	0.08125	1.747011
oxidation reduction	mmu-miR-298	2.15159E-05	0.0825	1.739008
oxidation reduction	mmu-miR-362-5p	2.15159E-05	0.0825	1.739008
oxidation reduction	mmu-miR-450a-3p	2.15159E-05	0.0825	1.739008
oxidation reduction	mmu-miR-467a	2.15159E-05	0.0825	1.739008
oxidation reduction	mmu-miR-495	2.15159E-05	0.0825	1.739008
oxidation reduction	mmu-miR-666-5p	2.15159E-05	0.0825	1.739008
oxidation reduction	mmu-miR-670	2.15159E-05	0.0825	1.739008
cell differentiation	mmu-miR-298	3.98468E-05	0.085	1.775962
cell differentiation	mmu-miR-362-5p	3.98468E-05	0.085	1.775962
cell differentiation	mmu-miR-450a-3p	3.98468E-05	0.085	1.775962
cell differentiation	mmu-miR-467a	3.98468E-05	0.085	1.775962
cell differentiation	mmu-miR-495	3.98468E-05	0.085	1.775962
cell differentiation	mmu-miR-666-5p	3.98468E-05	0.085	1.775962
cell differentiation	mmu-miR-670	3.98468E-05	0.085	1.775962
DNA repair	mmu-miR-298	6.77608E-05	0.07	2.334091
DNA repair	mmu-miR-362-5p	6.77608E-05	0.07	2.334091
DNA repair	mmu-miR-467a	6.77608E-05	0.07	2.334091
DNA repair	mmu-miR-495	6.77608E-05	0.07	2.334091
DNA repair	mmu-miR-666-5p	6.77608E-05	0.07	2.334091
DNA repair	mmu-miR-670	6.77608E-05	0.07	2.334091
immune response	mmu-miR-298	6.92529E-05	0.0725	1.869434
immune response	mmu-miR-362-5p	6.92529E-05	0.0725	1.869434
immune response	mmu-miR-450a-3p	6.92529E-05	0.0725	1.869434
immune response	mmu-miR-467a	6.92529E-05	0.0725	1.869434
immune response	mmu-miR-495	6.92529E-05	0.0725	1.869434
immune response	mmu-miR-666-5p	6.92529E-05	0.0725	1.869434
immune response	mmu-miR-670	6.92529E-05	0.0725	1.869434
lipid catabolic process	mmu-miR-298	8.18282E-05	0.07125	2.991095
lipid catabolic process	mmu-miR-362-5p	8.18282E-05	0.07125	2.991095
lipid catabolic process	mmu-miR-450a-3p	8.18282E-05	0.07125	2.991095
lipid catabolic process	mmu-miR-467a	8.18282E-05	0.07125	2.991095
lipid catabolic process	mmu-miR-495	8.18282E-05	0.07125	2.991095
lipid catabolic process	mmu-miR-666-5p	8.18282E-05	0.07125	2.991095
lipid catabolic process	mmu-miR-670	8.18282E-05	0.07125	2.991095
drinking behavior	mmu-miR-298	0.000188823	0.00875	11.96438
drinking behavior	mmu-miR-450a-3p	0.000188823	0.00875	11.96438
drinking behavior	mmu-miR-467a	0.000188823	0.00875	11.96438
drinking behavior	mmu-miR-495	0.000188823	0.00875	11.96438
intracellular protein transport	mmu-miR-298	0.000257949	0.0875	2.238843
intracellular protein transport	mmu-miR-362-5p	0.000257949	0.0875	2.238843
intracellular protein transport	mmu-miR-450a-3p	0.000257949	0.0875	2.238843
intracellular protein transport	mmu-miR-467a	0.000257949	0.0875	2.238843
intracellular protein transport	mmu-miR-495	0.000257949	0.0875	2.238843
intracellular protein transport	mmu-miR-666-5p	0.000257949	0.0875	2.238843
intracellular protein transport	mmu-miR-670	0.000257949	0.0875	2.238843
sensory perception of smell	mmu-miR-298	0.000295557	0.065	1.415224
sensory perception of smell	mmu-miR-362-5p	0.000295557	0.065	1.415224
sensory perception of smell	mmu-miR-450a-3p	0.000295557	0.065	1.415224
sensory perception of smell	mmu-miR-467a	0.000295557	0.065	1.415224
sensory perception of smell	mmu-miR-495	0.000295557	0.065	1.415224
sensory perception of smell	mmu-miR-670	0.000295557	0.065	1.415224
innate immune response	mmu-miR-298	0.000361038	0.08	2.876053
innate immune response	mmu-miR-362-5p	0.000361038	0.08	2.876053
innate immune response	mmu-miR-450a-3p	0.000361038	0.08	2.876053
innate immune response	mmu-miR-467a	0.000361038	0.08	2.876053
innate immune response	mmu-miR-495	0.000361038	0.08	2.876053
innate immune response	mmu-miR-666-5p	0.000361038	0.08	2.876053
cell adhesion	mmu-miR-298	0.00042407	0.0825	1.68002
cell adhesion	mmu-miR-362-5p	0.00042407	0.0825	1.68002
cell adhesion	mmu-miR-450a-3p	0.00042407	0.0825	1.68002
cell adhesion	mmu-miR-467a	0.00042407	0.0825	1.68002
cell adhesion	mmu-miR-495	0.00042407	0.0825	1.68002
cell adhesion	mmu-miR-666-5p	0.00042407	0.0825	1.68002
cell adhesion	mmu-miR-670	0.00042407	0.0825	1.68002
intracellular signaling cascade	mmu-miR-298	0.00043634	0.0925	1.935414
intracellular signaling cascade	mmu-miR-362-5p	0.00043634	0.0925	1.935414
intracellular signaling cascade	mmu-miR-450a-3p	0.00043634	0.0925	1.935414
intracellular signaling cascade	mmu-miR-467a	0.00043634	0.0925	1.935414
intracellular signaling cascade	mmu-miR-495	0.00043634	0.0925	1.935414
intracellular signaling cascade	mmu-miR-666-5p	0.00043634	0.0925	1.935414
intracellular signaling cascade	mmu-miR-670	0.00043634	0.0925	1.935414
ion transport	mmu-miR-298	0.000481498	0.07875	1.62065
ion transport	mmu-miR-362-5p	0.000481498	0.07875	1.62065
ion transport	mmu-miR-450a-3p	0.000481498	0.07875	1.62065
ion transport	mmu-miR-467a	0.000481498	0.07875	1.62065
ion transport	mmu-miR-495	0.000481498	0.07875	1.62065
ion transport	mmu-miR-666-5p	0.000481498	0.07875	1.62065
ion transport	mmu-miR-670	0.000481498	0.07875	1.62065
excretion	mmu-miR-362-5p	0.00053628	0.01625	9.970315
excretion	mmu-miR-467a	0.00053628	0.01625	9.970315
excretion	mmu-miR-495	0.00053628	0.01625	9.970315
excretion	mmu-miR-670	0.00053628	0.01625	9.970315
cell-cell adhesion	mmu-miR-362-5p	0.000548814	0.0775	3.204744
cell-cell adhesion	mmu-miR-450a-3p	0.000548814	0.0775	3.204744
cell-cell adhesion	mmu-miR-467a	0.000548814	0.0775	3.204744
cell-cell adhesion	mmu-miR-495	0.000548814	0.0775	3.204744
cell-cell adhesion	mmu-miR-666-5p	0.000548814	0.0775	3.204744
cell-cell adhesion	mmu-miR-670	0.000548814	0.0775	3.204744
translation	mmu-miR-298	0.000642792	0.0825	1.856176
translation	mmu-miR-362-5p	0.000642792	0.0825	1.856176
translation	mmu-miR-450a-3p	0.000642792	0.0825	1.856176
translation	mmu-miR-467a	0.000642792	0.0825	1.856176
translation	mmu-miR-495	0.000642792	0.0825	1.856176
translation	mmu-miR-666-5p	0.000642792	0.0825	1.856176
translation	mmu-miR-670	0.000642792	0.0825	1.856176
spermatogenesis	mmu-miR-298	0.001046823	0.085	2.014727
spermatogenesis	mmu-miR-362-5p	0.001046823	0.085	2.014727
spermatogenesis	mmu-miR-450a-3p	0.001046823	0.085	2.014727
spermatogenesis	mmu-miR-467a	0.001046823	0.085	2.014727
spermatogenesis	mmu-miR-495	0.001046823	0.085	2.014727
spermatogenesis	mmu-miR-666-5p	0.001046823	0.085	2.014727
bile acid metabolic process	mmu-miR-362-5p	0.00118479	0.00625	8.545985
bile acid metabolic process	mmu-miR-450a-3p	0.00118479	0.00625	8.545985
bile acid metabolic process	mmu-miR-670	0.00118479	0.00625	8.545985
phosphate transport	mmu-miR-298	0.001397045	0.07125	2.549228
phosphate transport	mmu-miR-362-5p	0.001397045	0.07125	2.549228
phosphate transport	mmu-miR-450a-3p	0.001397045	0.07125	2.549228
phosphate transport	mmu-miR-467a	0.001397045	0.07125	2.549228
phosphate transport	mmu-miR-495	0.001397045	0.07125	2.549228
phosphate transport	mmu-miR-666-5p	0.001397045	0.07125	2.549228
phosphate transport	mmu-miR-670	0.001397045	0.07125	2.549228
in utero embryonic development	mmu-miR-298	0.00146386	0.0875	2.199334
in utero embryonic development	mmu-miR-362-5p	0.00146386	0.0875	2.199334
in utero embryonic development	mmu-miR-450a-3p	0.00146386	0.0875	2.199334
in utero embryonic development	mmu-miR-495	0.00146386	0.0875	2.199334
in utero embryonic development	mmu-miR-666-5p	0.00146386	0.0875	2.199334
in utero embryonic development	mmu-miR-670	0.00146386	0.0875	2.199334
lipid metabolic process	mmu-miR-298	0.001981059	0.0925	1.904706
lipid metabolic process	mmu-miR-362-5p	0.001981059	0.0925	1.904706
lipid metabolic process	mmu-miR-450a-3p	0.001981059	0.0925	1.904706
lipid metabolic process	mmu-miR-467a	0.001981059	0.0925	1.904706
lipid metabolic process	mmu-miR-495	0.001981059	0.0925	1.904706
lipid metabolic process	mmu-miR-666-5p	0.001981059	0.0925	1.904706
lipid metabolic process	mmu-miR-670	0.001981059	0.0925	1.904706
proton transport	mmu-miR-298	0.00211527	0.06875	2.937682
proton transport	mmu-miR-362-5p	0.00211527	0.06875	2.937682
proton transport	mmu-miR-450a-3p	0.00211527	0.06875	2.937682
proton transport	mmu-miR-467a	0.00211527	0.06875	2.937682
proton transport	mmu-miR-495	0.00211527	0.06875	2.937682
proton transport	mmu-miR-666-5p	0.00211527	0.06875	2.937682
proton transport	mmu-miR-670	0.00211527	0.06875	2.937682
mRNA processing	mmu-miR-298	0.00302075	0.09	1.828617
mRNA processing	mmu-miR-362-5p	0.00302075	0.09	1.828617
mRNA processing	mmu-miR-450a-3p	0.00302075	0.09	1.828617
mRNA processing	mmu-miR-467a	0.00302075	0.09	1.828617
mRNA processing	mmu-miR-495	0.00302075	0.09	1.828617
mRNA processing	mmu-miR-666-5p	0.00302075	0.09	1.828617
mRNA processing	mmu-miR-670	0.00302075	0.09	1.828617
protein localization	mmu-miR-298	0.003055629	0.0875	2.991095
protein localization	mmu-miR-362-5p	0.003055629	0.0875	2.991095
protein localization	mmu-miR-467a	0.003055629	0.0875	2.991095
protein localization	mmu-miR-495	0.003055629	0.0875	2.991095
protein localization	mmu-miR-666-5p	0.003055629	0.0875	2.991095
neuron differentiation	mmu-miR-362-5p	0.003576397	0.08	2.932446
neuron differentiation	mmu-miR-450a-3p	0.003576397	0.08	2.932446
neuron differentiation	mmu-miR-467a	0.003576397	0.08	2.932446
neuron differentiation	mmu-miR-495	0.003576397	0.08	2.932446
neuron differentiation	mmu-miR-666-5p	0.003576397	0.08	2.932446
neuron differentiation	mmu-miR-670	0.003576397	0.08	2.932446
chromatin assembly or disassembly	mmu-miR-298	0.003645104	0.07125	3.418394
chromatin assembly or disassembly	mmu-miR-362-5p	0.003645104	0.07125	3.418394
chromatin assembly or disassembly	mmu-miR-467a	0.003645104	0.07125	3.418394
chromatin assembly or disassembly	mmu-miR-495	0.003645104	0.07125	3.418394
chromatin assembly or disassembly	mmu-miR-666-5p	0.003645104	0.07125	3.418394
microtubule-based process	mmu-miR-298	0.003645104	0.0725	3.418394
microtubule-based process	mmu-miR-362-5p	0.003645104	0.0725	3.418394
microtubule-based process	mmu-miR-450a-3p	0.003645104	0.0725	3.418394
microtubule-based process	mmu-miR-495	0.003645104	0.0725	3.418394
microtubule-based process	mmu-miR-666-5p	0.003645104	0.0725	3.418394
extracellular matrix organization and biogenesis	mmu-miR-298	0.003722985	0.07125	3.130215
extracellular matrix organization and biogenesis	mmu-miR-362-5p	0.003722985	0.07125	3.130215
extracellular matrix organization and biogenesis	mmu-miR-450a-3p	0.003722985	0.07125	3.130215
extracellular matrix organization and biogenesis	mmu-miR-495	0.003722985	0.07125	3.130215
extracellular matrix organization and biogenesis	mmu-miR-666-5p	0.003722985	0.07125	3.130215
cell projection biogenesis	mmu-miR-298	0.003825309	0.065	6.646877
cell projection biogenesis	mmu-miR-495	0.003825309	0.065	6.646877
cell projection biogenesis	mmu-miR-666-5p	0.003825309	0.065	6.646877
regulation of cell growth	mmu-miR-298	0.003873011	0.0825	2.600952
regulation of cell growth	mmu-miR-362-5p	0.003873011	0.0825	2.600952
regulation of cell growth	mmu-miR-450a-3p	0.003873011	0.0825	2.600952
regulation of cell growth	mmu-miR-495	0.003873011	0.0825	2.600952
regulation of cell growth	mmu-miR-666-5p	0.003873011	0.0825	2.600952
regulation of cell growth	mmu-miR-670	0.003873011	0.0825	2.600952
synaptic transmission	mmu-miR-298	0.004370058	0.08	2.696889
synaptic transmission	mmu-miR-362-5p	0.004370058	0.08	2.696889
synaptic transmission	mmu-miR-450a-3p	0.004370058	0.08	2.696889
synaptic transmission	mmu-miR-467a	0.004370058	0.08	2.696889
synaptic transmission	mmu-miR-495	0.004370058	0.08	2.696889
synaptic transmission	mmu-miR-666-5p	0.004370058	0.08	2.696889
synaptic transmission	mmu-miR-670	0.004370058	0.08	2.696889
induction of apoptosis	mmu-miR-298	0.004757169	0.0825	2.265981
induction of apoptosis	mmu-miR-362-5p	0.004757169	0.0825	2.265981
induction of apoptosis	mmu-miR-450a-3p	0.004757169	0.0825	2.265981
induction of apoptosis	mmu-miR-467a	0.004757169	0.0825	2.265981
induction of apoptosis	mmu-miR-495	0.004757169	0.0825	2.265981
induction of apoptosis	mmu-miR-666-5p	0.004757169	0.0825	2.265981
induction of apoptosis	mmu-miR-670	0.004757169	0.0825	2.265981
regulation of gene expression	mmu-miR-298	0.005186325	0.0725	2.991095
regulation of gene expression	mmu-miR-362-5p	0.005186325	0.0725	2.991095
regulation of gene expression	mmu-miR-450a-3p	0.005186325	0.0725	2.991095
regulation of gene expression	mmu-miR-467a	0.005186325	0.0725	2.991095
regulation of gene expression	mmu-miR-495	0.005186325	0.0725	2.991095
regulation of gene expression	mmu-miR-666-5p	0.005186325	0.0725	2.991095
negative regulation of cell proliferation	mmu-miR-298	0.005295678	0.1	2.118692
negative regulation of cell proliferation	mmu-miR-362-5p	0.005295678	0.1	2.118692
negative regulation of cell proliferation	mmu-miR-450a-3p	0.005295678	0.1	2.118692
negative regulation of cell proliferation	mmu-miR-467a	0.005295678	0.1	2.118692
negative regulation of cell proliferation	mmu-miR-495	0.005295678	0.1	2.118692
negative regulation of cell proliferation	mmu-miR-666-5p	0.005295678	0.1	2.118692
regulation of systemic arterial blood pressure by circulatory renin-angiotensin	mmu-miR-298	0.005390351	0.055	8.973284
regulation of systemic arterial blood pressure by circulatory renin-angiotensin	mmu-miR-467a	0.005390351	0.055	8.973284
regulation of systemic arterial blood pressure by circulatory renin-angiotensin	mmu-miR-495	0.005390351	0.055	8.973284
tRNA processing	mmu-miR-298	0.005581507	0.07375	2.769532
tRNA processing	mmu-miR-362-5p	0.005581507	0.07375	2.769532
tRNA processing	mmu-miR-450a-3p	0.005581507	0.07375	2.769532
tRNA processing	mmu-miR-495	0.005581507	0.07375	2.769532
tRNA processing	mmu-miR-666-5p	0.005581507	0.07375	2.769532
tRNA processing	mmu-miR-670	0.005581507	0.07375	2.769532
regulation of cell cycle	mmu-miR-298	0.006071405	0.07375	2.926071
regulation of cell cycle	mmu-miR-362-5p	0.006071405	0.07375	2.926071
regulation of cell cycle	mmu-miR-467a	0.006071405	0.07375	2.926071
regulation of cell cycle	mmu-miR-495	0.006071405	0.07375	2.926071
regulation of cell cycle	mmu-miR-666-5p	0.006071405	0.07375	2.926071
regulation of cell cycle	mmu-miR-670	0.006071405	0.07375	2.926071
defense response to bacterium	mmu-miR-362-5p	0.00829175	0.08375	2.287308
defense response to bacterium	mmu-miR-450a-3p	0.00829175	0.08375	2.287308
defense response to bacterium	mmu-miR-495	0.00829175	0.08375	2.287308
defense response to bacterium	mmu-miR-666-5p	0.00829175	0.08375	2.287308
defense response to bacterium	mmu-miR-670	0.00829175	0.08375	2.287308
ceramide catabolic process	mmu-miR-362-5p	0.008938801	0.0075	14.95547
ceramide catabolic process	mmu-miR-670	0.008938801	0.0075	14.95547
establishment of blood-nerve barrier	mmu-miR-450a-3p	0.008938801	0.015	14.95547
establishment of blood-nerve barrier	mmu-miR-495	0.008938801	0.015	14.95547
gene silencing by miRNA, production of miRNAs	mmu-miR-362-5p	0.008938801	0.01625	14.95547
gene silencing by miRNA, production of miRNAs	mmu-miR-467a	0.008938801	0.01625	14.95547
L-alanine transport	mmu-miR-362-5p	0.008938801	0.02125	14.95547
L-alanine transport	mmu-miR-450a-3p	0.008938801	0.02125	14.95547
positive regulation of epidermal growth factor receptor signaling pathway	mmu-miR-298	0.008938801	0.03875	14.95547
positive regulation of epidermal growth factor receptor signaling pathway	mmu-miR-450a-3p	0.008938801	0.03875	14.95547
proline transport	mmu-miR-362-5p	0.008938801	0.04125	14.95547
proline transport	mmu-miR-450a-3p	0.008938801	0.04125	14.95547
regulation of Ras protein signal transduction	mmu-miR-362-5p	0.008938801	0.045	14.95547
regulation of Ras protein signal transduction	mmu-miR-495	0.008938801	0.045	14.95547
regulation of Ras protein signal transduction	mmu-miR-666-5p	0.008938801	0.045	14.95547
transmembrane receptor protein tyrosine phosphatase signaling pathway	mmu-miR-450a-3p	0.008938801	0.05625	14.95547
transmembrane receptor protein tyrosine phosphatase signaling pathway	mmu-miR-666-5p	0.008938801	0.05625	14.95547
response to cold	mmu-miR-467a	0.008990251	0.07	5.438354
response to cold	mmu-miR-495	0.008990251	0.07	5.438354
response to cold	mmu-miR-670	0.008990251	0.07	5.438354
