Curated Gene Symbol	Well ID	UG cluster	Gene Symbol	GeneBank	Fold-difference (eHCC/LGDN)	Parametric p-value
LTA4H	1180379	Hs.524648	LTA4H	4048	1.88	2.09E-04
SUMO1	1180400	Hs.81424	SUMO1	7341	1.8	3.08E-04
ATP5F1	1180407	Hs.514870	ATP5F1	515	2.96	8.88E-04
POLA2	1180426	Hs.201897	POLA2	23649	0.56	3.72E-04
PSMA1	1180460	Hs.102798	PSMA1	5682	1.96	2.63E-04
GNL1	1180570	Hs.83147	GNL1	2794	0.66	5.81E-04
PIK3CD	1181118	Hs.518451	PIK3CD	5293	0.5	1.89E-04
METTL22	1181188	Hs.306380	C16orf68	79091	0.62	8.02E-04
WASL	1181469	Hs.143728	WASL	8976	2.15	1.23E-04
PRPF19	1181762	Hs.502705	PRPF19	27339	2.28	3.88E-04
ADAM28	1181767	Hs.174030	ADAM28	10863	0.49	5.69E-04
RARS	1182048	Hs.506215	RARS	5917	1.65	8.01E-04
RPS4Y1	1182061	Hs.282376	RPS4Y1	6192	4.89	5.76E-04
MED4	1182084	Hs.181112	MED4	29079	1.61	2.96E-04
SUCLA2	1182145	Hs.546323	SUCLA2	8803	1.58	9.68E-04
STT3B	1182249	Hs.475812	STT3B	201595	2.65	2.37E-04
THOC7	1182812	Hs.288151	THOC7	80145	1.83	4.21E-04
FAM76B	1182826	Hs.288304	FAM76B	143684	0.63	7.30E-04
BCAP31	1183111	Hs.522817	BCAP31	10134	2.65	6.32E-05
	1183204	Hs.612889			0.58	3.09E-04
MFAP4	1183241	Hs.296049	MFAP4	4239	0.62	4.46E-04
NISCH	1183729	Hs.435290	NISCH	11188	0.46	1.32E-04
ANXA8	1183825	Hs.535306	ANXA8	244	0.62	4.35E-04
CD2	1183929	Hs.523500	CD2	914	0.39	1.90E-04
PSMB4	1183942	Hs.89545	PSMB4	5692	2.22	4.10E-04
HSPA4	1184014	Hs.90093	HSPA4	3308	2.43	8.56E-05
TBC1D16	1184121	Hs.369819	TBC1D16	125058	0.39	4.05E-05
DSG2	1184251	Hs.412597	DSG2	1829	0.47	3.15E-04
TBKBP1	1184263	Hs.94790	TBKBP1	9755	0.48	2.17E-04
TMEM14A	1184273	Hs.94896	TMEM14A	28978	2.64	8.32E-04
NINJ2	1184999	Hs.504422	NINJ2	4815	0.64	8.58E-04
SRRT	1185385	Hs.111801	ARS2	51593	0.59	8.95E-04
ZNF771	1185606	Hs.148584	ZNF771	51333	0.5	1.80E-04
CCNC	1185730	Hs.430646	CCNC	892	2.66	8.72E-04
KIAA0408	1185761	Hs.319247	KIAA0408	9729	0.56	7.92E-04
FBXO31	1185783	Hs.567582	FBXO31	79791	0.53	6.25E-04
ALG9	1185880	Hs.503850	ALG9	79796	1.48	7.23E-04
CPAMD8	1185885	Hs.631644	CPAMD8	27151	0.36	5.13E-05
ZNF232	1186023	Hs.279914	ZNF232	7775	0.54	7.84E-04
SVIL	1186130	Hs.499209	SVIL	6840	0.48	3.50E-04
EPT1	1186284	Hs.189073	SELI	85465	2.64	5.23E-04
IQSEC2	1186497	Hs.496138	IQSEC2	23096	0.47	5.27E-04
DNAJC21	1186597	Hs.131887	DNAJA5		0.53	9.96E-04
	1187259				0.44	1.55E-04
NUTF2	1187423	Hs.643529	NUTF2	10204	2.27	5.49E-04
SMAD6	1187547	Hs.153863	SMAD6	4091	0.53	6.50E-04
TXNDC9	1187550	Hs.536122	TXNDC9	10190	2.53	4.75E-04
SP3	1187591	Hs.531587	SP3	6670	1.99	9.89E-04
OBSL1	1187632	Hs.526594	OBSL1	23363	0.53	5.25E-04
C20orf24	1187888	Hs.584985	C20orf24	55969	2.34	6.47E-05
GTF2H2	1188115	Hs.202179	GTF2H2	2966	1.68	9.96E-04
DLEU2	1188137		DLEU2	8847	0.47	4.94E-04
KIF5A	1188159	Hs.151219	KIF5A	3798	0.4	8.45E-05
RBM12B	1188161	Hs.192788	RBM12B		0.53	3.70E-04
NXN	1188205	Hs.527989	NXN	64359	0.52	5.63E-04
RALGAPA1	1188428	Hs.113150	GARNL1	253959	0.44	8.62E-05
ADAMTSL2	1188534	Hs.522543	ADAMTSL2	9719	0.39	3.32E-04
RGAG1	1188543	Hs.201071	RGAG1	57529	0.55	2.14E-04
LILRP2	1188588		LILRP2	79166	0.56	4.32E-04
RDH11	1188983	Hs.226007	RDH11	51109	0.56	3.18E-04
	1189119	Hs.617173			0.48	7.69E-04
ECHDC1	1189304	Hs.486410	ECHDC1	55862	2.01	2.86E-04
ARL1	1189449	Hs.372616	ARL1	400	1.79	2.25E-04
SOX8	1189456	Hs.243678	SOX8	30812	0.42	1.28E-04
ELOVL5	1189863	Hs.520189	ELOVL5	60481	2.26	7.85E-04
SAMD4A	1190179	Hs.98259	SAMD4A	23034	0.5	3.09E-04
	1190480	Hs.532500			0.41	1.49E-04
ACAT2	1190974	Hs.571037	ACAT2	39	2.42	5.26E-04
RANBP9	1191201	Hs.306242	RANBP9	10048	1.74	1.93E-04
NUSAP1	1191213	Hs.615092	NUSAP1	51203	2.66	4.27E-04
C1GALT1C1	1191235	Hs.134856	C1GALT1C1	29071	1.97	1.00E-03
ADCY1	1191295	Hs.192215	ADCY1	107	0.35	3.00E-05
	1191332		PRO2610		0.51	6.47E-04
EIF3K	1191492	Hs.314359	EIF3S12	27335	1.61	3.62E-04
TTC19	1191560	Hs.462316	TTC19	54902	0.49	4.49E-04
SZT2	1191661	Hs.301943	KIAA0467	23334	0.58	8.64E-04
NUDT5	1191665	Hs.555956	NUDT5	11164	2.19	3.92E-04
CCL2	1191856	Hs.303649	CCL2	6347	0.42	8.20E-04
FGGY	1192201	Hs.444301	FLJ10986	55277	0.5	5.49E-04
RAB33A	1192226	Hs.56294	RAB33A	9363	0.45	9.72E-05
SLC5A2	1192482	Hs.499102	SLC5A2	6524	0.44	1.85E-04
CCDC39	1192564	Hs.518322	CCDC39	339829	0.49	6.15E-05
QTRT1	1192712	Hs.631638	QTRT1	81890	0.63	6.24E-04
RPL41	1192791	Hs.632703	RPL41	6171	2.04	2.98E-04
ATP13A3	1192795		ATP13A3	79572	1.42	5.38E-04
FAM86C1	1192820	Hs.567527	FAM86C	55199	0.6	5.43E-04
	1193059				0.59	7.97E-04
UBE2Q1	1193521	Hs.516587	UBE2Q1	55585	0.34	1.80E-04
EXOC3L2	1193533	Hs.337557	XTP7		0.66	8.96E-04
CD2AP	1194234	Hs.485518	CD2AP	23607	1.83	7.57E-04
PMS2P11	1194337	Hs.563466	PMS2L11	441263	0.51	5.37E-04
