probe set	Gene	Gene	Accession	EntrezGene	CEF NY315/CEF RCAS	CEF SRA/CEF RCAS	CEF SRA/CEF NY315	min p-value
GgaAffx.2751.1.S1_at	LOC771459	similar to Arylsulfatase B precursor (ASB) (N-acetylgalactosamine-4-sulfatase) (G4S)	ENSGALT00000007062.1	771459	-0.1	1.47	1.57	0.005777
GgaAffx.7919.2.S1_at	LOC418046	similar to PVAE354	ENSGALT00000020395.1	418046	-0.53	1.04	1.57	0.009401
Gga.4999.2.S1_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	AF074605.1	424121	0.1	1.66	1.56	0.003943
Gga.9905.1.S1_at	LOC422580	Hypothetical LOC422580	BU119942	0	0.15	1.69	1.54	0.000001
Gga.510.1.S1_at	GC1	photoreceptor guanylate cyclase 1	AF036942.1	395866	0.09	1.64	1.54	0.02784
GgaAffx.10203.1.S1_at	LOC771523	similar to Odd-skipped related 2 (Drosophila)	ENSGALT00000025802.1	0	0.31	1.84	1.53	0.002335
GgaAffx.26314.1.S1_at	LOC424451	similar to niban protein	ENSGALT00000007683.1	424451	0.29	1.82	1.53	0.018732
Gga.3773.1.S1_a_at	IL17RD	interleukin 17 receptor D	NM_204515.1	395186	-0.08	1.45	1.53	0.014244
GgaAffx.8765.2.S1_at		GgaAffx.8765.2	ENSGALT00000022352.1	416372	0.53	2.04	1.52	0.000068
Gga.577.1.S1_at	ADORA2B	adenosine A2b receptor	NM_205087.1	395971	0.07	1.59	1.52	0.005357
GgaAffx.8005.1.S1_s_at	RCJMB04_12e24	similar to hypothetical protein FLJ14675	ENSGALT00000020595.1	427467	-0.25	1.27	1.52	0.001106
GgaAffx.7512.1.S1_at		GgaAffx.7512.1	ENSGALT00000019308.1	0	-0.58	0.95	1.52	0.003713
GgaAffx.6161.1.S1_s_at	LOC423962	similar to protein-tyrosine phosphatase	ENSGALT00000015971.1	423962	-0.93	0.6	1.52	0.000108
Gga.16769.1.S1_at		Finished cDNA, clone ChEST317e4	BU378710	0	1.16	2.67	1.51	0.000905
GgaAffx.10076.2.S1_s_at	LOC421833	similar to 5 nucleotidase, ecto	ENSGALT00000025527.1	0	0.52	2.02	1.5	0.01438
GgaAffx.11201.3.S1_s_at	CHTLR1-TYPE2 /// LOC768669 /// TLR1	toll-like receptor 1 /// similar to toll-like receptor 1 /// Toll-like receptor 1 type 2	ENSGALT00000022402.1	426274 /// 430629	0.43	1.93	1.5	0.001275
Gga.5622.1.S1_at	LOC427171	similar to Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase p85-subunit alpha) (PtdIns-3-kinase p85-alpha) (PI3K)	BU362680	0	0.34	1.85	1.5	0.000083
Gga.2064.1.S1_a_at	ERG	v-ets erythroblastosis virus E26 oncogene	NM_204280.1	374146	0.09	1.58	1.5	0.000058
Gga.9347.3.S1_a_at		Gga.9347.3	BE139937	419727	0.04	1.53	1.49	0.002501
Gga.1568.1.S1_at	LOC424666	similar to Phosphatidic acid phosphatase type 2B	CR353508.1	424666	-0.26	1.23	1.49	0.008943
Gga.423.1.S1_at	CLU	clusterin	NM_204900.1	395722	1.1	2.58	1.48	0.002245
Gga.11597.2.S1_s_at	RCJMB04_17i9	signal transducer and activator of transcription 1, 91kDa	BX932542.1	424044	-0.26	1.22	1.48	0.005358
Gga.4590.1.S1_s_at	LOC422090	LOC422090	BU313818	422090	-0.22	1.25	1.47	0.011349
GgaAffx.21160.1.S1_s_at	CPD	carboxypeptidase D	CR523455.1	417590	-0.28	1.18	1.47	0.002074
GgaAffx.5782.1.S1_s_at	LOC423915	similar to attractin-like protein	ENSGALT00000014905.1	423915	-0.54	0.93	1.47	0.018715
Gga.4420.1.S1_x_at	RTN1	reticulon 1	U17605.1	378791	-0.56	0.9	1.47	0.000488
Gga.17812.1.S1_at	ATP11A	ATPase, Class VI, type 11A	BU281019	418749	-0.22	1.25	1.46	0.015914
GgaAffx.11465.1.S1_at	RCJMB04_1k1	riboflavin kinase	AJ719362	431449	0.14	1.59	1.45	0.000036
Gga.1917.1.S1_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	BU356680	414745	0.07	1.52	1.45	0.027454
Gga.13109.1.S1_at	LOC424116	Similar to calmodulin-dependent phosphodiesterase /// Finished cDNA, clone ChEST547j9	BU392820	424116	0.06	1.51	1.45	0.028847
Gga.6203.2.S1_a_at	LOC771493	similar to BTB (POZ) domain containing 11	CR354087.1	0	0	1.45	1.45	0.002004
Gga.3275.1.S1_a_at		Finished cDNA, clone ChEST626l20	BU425099	0	-0.25	1.2	1.45	0.024728
Gga.4092.2.S1_x_at	RCJMB04_1d5	epidermal growth factor receptor pathway substrate 15	BU118380	424633	-0.5	0.95	1.45	0.026612
GgaAffx.539.1.S1_at	LOC769107	similar to 5-HT1D receptor	ENSGALT00000001194.1	0	0.16	1.6	1.44	0.002697
Gga.5761.1.S1_at	EFHD1	EF-hand domain family, member D1	BX933977.2	424741	-0.07	1.37	1.44	0.004512
Gga.9025.1.S1_at	LOC418295	hypothetical LOC418295	CD729503	418295	1.4	2.83	1.43	0.000063
GgaAffx.7493.1.S1_s_at	UGT2A1	UDP glucuronosyltransferase 2 family, polypeptide A1	ENSGALT00000019267.1	0	1.1	2.53	1.43	0.008547
Gga.4750.1.S1_s_at	FKBP5	FK506 binding protein 5	CR385703.1	421186	0.45	1.88	1.43	0.000558
Gga.871.1.S1_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	NM_205511.1	396517	-0.25	1.19	1.43	0.000503
GgaAffx.24484.2.S1_s_at	LOC418295	hypothetical LOC418295	ENSGALT00000023628.1	418295	0.65	2.08	1.42	0.001458
Gga.4010.1.S1_s_at	CLSTN1	calsyntenin 1	BU117507	395372	0.46	1.88	1.42	0.007988
GgaAffx.4536.1.S1_s_at	LOC420473	similar to rho-GAP domain containing protein ARHGAP12b	ENSGALT00000011742.1	420473	-0.19	1.23	1.42	0.000652
Gga.2423.1.S1_s_at	UGP2	UDP-glucose pyrophosphorylase 2	NM_204111.1	373900	-0.36	1.06	1.42	0.004347
Gga.14179.1.S1_at	DDEF1	development and differentiation enhancing factor 1	BU284294	0	0.06	1.47	1.41	0.028158
Gga.5316.1.S1_at	LOC423599	similar to Leucine rich repeat and fibronectin type III domain containing 5	BU389426	423599	-0.05	1.36	1.41	0.026978
Gga.11597.1.S1_s_at	RCJMB04_17i9	signal transducer and activator of transcription 1, 91kDa	BU232030	424044	-0.61	0.8	1.41	0.00882
Gga.12209.1.S1_at	LOC422672	similar to VLLH2748	BU393130	422672	0.36	1.76	1.4	0.000141
Gga.6390.3.S1_a_at	LOC419014	hypothetical LOC419014	BU384885	419014	0.03	1.43	1.4	0.002175
GgaAffx.4171.1.S1_s_at	LOC423805	similar to myoferlin	ENSGALT00000010842.1	423805	-0.07	1.33	1.4	0.014282
Gga.19077.1.S1_at		Finished cDNA, clone ChEST290n11	BU418916	0	1.36	2.75	1.39	0.000953
Gga.16717.1.S1_at		Finished cDNA, clone ChEST816p14	BU212828	0	0.38	1.77	1.39	0.002806
Gga.19244.1.S1_at	VPS13B	vacuolar protein sorting 13 homolog B (yeast)	BU362262	420242	0.38	1.77	1.39	0.000623
Gga.10895.1.S1_s_at	EPS8	epidermal growth factor receptor pathway substrate 8	BU455354	418174	0.26	1.65	1.39	0.003029
GgaAffx.2999.1.S1_at	LOC424451	similar to niban protein	ENSGALT00000007689.1	424451	0.07	1.46	1.39	0.039885
GgaAffx.5966.1.S1_at	CDK6	cyclin-dependent kinase 6	ENSGALT00000015428.1	420558	-0.43	0.96	1.39	0.015228
Gga.14733.1.S1_at		Finished cDNA, clone ChEST812a2 /// Finished cDNA, clone ChEST360i19	BU128548	0	-0.45	0.95	1.39	0.012873
Gga.7792.1.S1_s_at	RCJMB04_9i11	acyl-CoA synthetase bubblegum family member 2	CR406759.1	420090	0.26	1.64	1.38	0.00032
Gga.19197.1.S1_s_at	RCJMB04_1k1	riboflavin kinase	CR406633.1	431449	0.22	1.6	1.38	0.001427
Gga.10956.1.S1_at	AP1S3	adaptor-related protein complex 1, sigma 3 subunit	BX931554.1	424807	0.04	1.41	1.38	0.004345
Gga.1171.1.S1_at	LY6E	lymphocyte antigen 6 complex, locus E	NM_204775.1	395550	-0.08	1.3	1.38	0.00031
GgaAffx.22313.1.S1_s_at	RCJMB04_17i9	signal transducer and activator of transcription 1, 91kDa	ENSGALT00000012390.1	424044	0.1	1.47	1.37	0.007889
Gga.4210.1.S1_at	MT2A	metallothionein 2A	NM_205275.1	396212	0.43	1.79	1.36	0.009409
Gga.19025.1.S1_at	LOC423890	similar to MGC84792 protein	BU136969	0	0.3	1.66	1.36	0.001541
Gga.10145.1.S1_a_at	GYPC	glycophorin C	AY234184.1	424230	-0.15	1.21	1.36	0.007189
Gga.12192.1.S1_at		Gga.12192.1	BU454950	427446	-0.34	1.02	1.36	0.002715
Gga.7523.1.S1_s_at	RCJMB04_16k12	fibronectin type III domain containing 3A	BU467219	418863	-0.41	0.95	1.36	0.018926
Gga.3260.2.S1_a_at	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	AB072618.1	374065	0.97	2.32	1.35	0.009434
GgaAffx.20296.1.S1_at		Finished cDNA, clone ChEST816o11	CR524319.1	0	0.39	1.74	1.35	0.004182
Gga.13421.1.S1_s_at	RCJMB04_10i5	glycosyltransferase 8 domain containing 3	BU112312	417789	0.1	1.45	1.35	0.000465
GgaAffx.11525.1.S1_s_at	RCJMB04_2c8	claudin 1	AJ719422	424910	-0.09	1.26	1.35	0.039499
GgaAffx.25166.1.S1_s_at	PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	ENSGALT00000027609.1	418926	-0.29	1.06	1.35	0.012207
GgaAffx.23678.1.S1_s_at	LOC422662	similar to sulfotransferase	ENSGALT00000019281.1	422662	1.29	2.63	1.34	0.006764
Gga.8297.1.S1_at	LOC770729	Similar to Kazal-type serine proteinase inhibitor	BU393377	0	0.22	1.56	1.34	0.002612
Gga.12839.1.S1_at	LOC423498	similar to BC022687 protein	BX950769.1	423498	0.55	1.88	1.33	0.000073
GgaAffx.25682.1.S1_s_at	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	ENSGALT00000004605.1	374119	-0.09	1.23	1.33	0.000262
GgaAffx.25925.1.S1_at	LOC426790	similar to clathrin-like protein	ENSGALT00000005799.1	426790	-0.4	0.93	1.33	0.012628
Gga.3779.1.S1_at		Finished cDNA, clone ChEST177e11	BU411067	0	0.13	1.45	1.32	0.000955
Gga.18509.1.S1_s_at	SPAG9	sperm associated antigen 9	CR390791.1	422095	-0.49	0.83	1.32	0.039876
Gga.501.1.S1_at	MMP27	matrix metallopeptidase 27	NM_205000.1	395850	0.49	1.8	1.31	0.010235
GgaAffx.20659.1.S1_at	LOC769679	similar to synleurin	CR523956.1	0	0.32	1.63	1.31	0.001902
Gga.8546.1.S1_a_at	LOC378902	death domain-containing tumor necrosis factor receptor superfamily member 23	NM_204386.1	378902	0.07	1.38	1.31	0.032557
GgaAffx.20406.1.S1_at	LOC422672	Similar to VLLH2748	CR524209.1	0	0	1.31	1.31	0.002531
Gga.12904.1.S1_at	NPTX2	neuronal pentraxin II	BX950566.2	416438	-0.02	1.29	1.31	0.000642
GgaAffx.23072.1.S1_at	LOC771345	similar to Eml4 protein	ENSGALT00000016124.1	0	-0.31	1	1.31	0.015077
GgaAffx.25641.1.S1_at	LOC416204	similar to protein kinase	ENSGALT00000004451.1	416204	-0.82	0.49	1.31	0.00015
Gga.18968.1.S1_at		Finished cDNA, clone ChEST661b11	BU474814	0	0.79	2.09	1.3	0.001151
GgaAffx.21116.1.S1_s_at	OSGIN1	oxidative stress induced growth inhibitor 1	CR523499.1	415706	0.18	1.48	1.3	0.000874
Gga.19147.1.S1_at		Finished cDNA, clone ChEST766h5	BU480146	0	0.07	1.37	1.3	0.000234
Gga.13191.1.S1_s_at	RCJMB04_1j9	similar to hypothetical protein	CR353948.1	423926	-0.09	1.21	1.3	0.00838
Gga.4999.1.S1_a_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	CK615423	424121	-0.21	1.1	1.3	0.01194
Gga.12192.2.S1_s_at	OSMR	oncostatin M receptor	BU417555	427446	-0.42	0.89	1.3	0.001948
