Gene symbol	Probe set	P-Value	FDR	SP / MP Ratio	UG cluster	Map	Description
ATRX	208860_s_at	0.0097503	0.3735558	1.4	Hs.533526	Xq13.1-q21.1	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae) (ATRX), transcript variant 2, mRNA.
PINX1	223907_s_at	0.0000921	0.2220164	1.3	Hs.490991	8p23	PIN2-interacting protein 1 (PINX1), mRNA.
KRT10	207023_x_at	0.0001632	0.233361	1.3	Hs.99936	17q21	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et plantaris) (KRT10), mRNA.
UBE3B	213822_s_at	0.0004424	0.2680312	1.3	Hs.374067	12q24.11	Ubiquitin protein ligase E3B
MRPL43	224332_s_at	0.0008724	0.3148807	1.3	Hs.421848	10q24.31	mitochondrial ribosomal protein L43 (MRPL43), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
	216384_x_at	0.0018442	0.357325	1.3	Hs.182314	12	CDNA FLJ44260 fis, clone TLIVE2000979
PNPO	218511_s_at	0.0026347	0.357325	1.3	Hs.631742	17q21.32	pyridoxamine 5-phosphate oxidase (PNPO), mRNA.
E2F3	203692_s_at	0.0041725	0.357325	1.3	Hs.269408	6p22	E2F transcription factor 3 (E2F3), mRNA.
C9orf105	228053_s_at	0.0047915	0.357325	1.3	Hs.130774	9	PREDICTED: chromosome 9 open reading frame 105, transcript variant 6 (C9orf105), mRNA.
CHMP4C	226803_at	0.004805	0.357325	1.3	Hs.183861	8q21.13	chromatin modifying protein 4C (CHMP4C), mRNA.
	213158_at	0.005837	0.357325	1.3	Hs.592414	3	Homo sapiens, clone IMAGE:4214654, mRNA
CALM3	1563431_x_at	0.005945	0.357325	1.3	Hs.515487	19q13.2-q13.3	calmodulin 3 (phosphorylase kinase, delta) (CALM3), mRNA.
PFN2	204992_s_at	0.0062311	0.357325	1.3	Hs.91747	3q25.1-q25.2	profilin 2 (PFN2), transcript variant 2, mRNA.
DENR	234915_s_at	0.0065922	0.357325	1.3	Hs.22393	12q24.31	density-regulated protein (DENR), mRNA.
ADCK2	44120_at	0.0069271	0.357325	1.3	Hs.534141	7q32-q34	aarF domain containing kinase 2 (ADCK2), mRNA.
	237419_at	0.0072298	0.357325	1.3	Hs.61481	8	Transcribed locus
PAWR	204005_s_at	0.0072369	0.357325	1.3	Hs.643130	12q21	PRKC, apoptosis, WT1, regulator (PAWR), mRNA.
GPR177	228950_s_at	0.0073609	0.357325	1.3	Hs.647659	1p31.3	G protein-coupled receptor 177 (GPR177), transcript variant 2, mRNA.
	233946_at	0.0074019	0.357325	1.3	Hs.679417	9	MRNA; cDNA DKFZp761L0916 (from clone DKFZp761L0916)
SNRPE	215450_at	0.0081718	0.357325	1.3	Hs.334612	1q32	small nuclear ribonucleoprotein polypeptide E (SNRPE), mRNA.
CSNK1A1	243338_at	0.0088855	0.3632135	1.3	Hs.529862	5q32	Casein kinase 1, alpha 1
SIPA1L3	213600_at	0.009346	0.3704335	1.3	Hs.655502	19q13.13	signal-induced proliferation-associated 1 like 3 (SIPA1L3), mRNA.
	222883_at	0.0096929	0.3735558	1.3	Hs.349905	1	Transcribed locus
RPL35A	215208_x_at	0.000177	0.233361	1.2	Hs.529631	3q29-qter	Ribosomal protein L35a
COMMD6	225312_at	0.0047906	0.357325	1.2	Hs.508266	13q22	COMM domain containing 6 (COMMD6), transcript variant 2, mRNA.
RPL35A	225190_x_at	0.007071	0.357325	1.1	Hs.529631	3q29-qter	ribosomal protein L35a (RPL35A), mRNA.
TMEM1	208184_s_at	0.008326	0.357325	1.1	Hs.126221	21q22.3	transmembrane protein 1 (TMEM1), transcript variant 1, mRNA.
TJAP1	47608_at	0.0000371	0.1573411	-1.25	Hs.520145	6p21.1	tight junction associated protein 1 (peripheral) (TJAP1), mRNA.
CEP76	52285_f_at	0.0001047	0.2220164	-1.25	Hs.236940	18p11.21	centrosomal protein 76kDa (CEP76), mRNA.
CRTAP	1555889_a_at	0.0005405	0.2865326	-1.25	Hs.517888	3p22.3	cartilage associated protein (CRTAP), mRNA.
MLLT4	224685_at	0.0009849	0.3409764	-1.25	Hs.644024	6q27	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (MLLT4), transcript variant 1, mRNA.
TUFT1	205807_s_at	0.0020881	0.357325	-1.25	Hs.489922	1q21	tuftelin 1 (TUFT1), mRNA.
CPD	201940_at	0.0026	0.357325	-1.25	Hs.446079	17q11.2	carboxypeptidase D (CPD), mRNA.
RAB31	217764_s_at	0.0028453	0.357325	-1.25	Hs.99528	18p11.3	RAB31, member RAS oncogene family (RAB31), mRNA.
KIAA0907	202220_at	0.0030134	0.357325	-1.25	Hs.24656	1q22	KIAA0907 (KIAA0907), mRNA.
PTPN1	202716_at	0.0034364	0.357325	-1.25	Hs.417549	20q13.1-q13.2	protein tyrosine phosphatase, non-receptor type 1 (PTPN1), mRNA.
HSPC268	226780_s_at	0.0036682	0.357325	-1.25	Hs.370475	7q34	hypothetical protein HSPC268 (HSPC268), mRNA.
KIAA0355	203288_at	0.0045965	0.357325	-1.25	Hs.330073	19q13.11	KIAA0355 (KIAA0355), mRNA.
C21orf66	218515_at	0.0052004	0.357325	-1.25	Hs.693644	21q21.3	chromosome 21 open reading frame 66 (C21orf66), transcript variant 1, mRNA.
TNPO1	207657_x_at	0.0054918	0.357325	-1.25	Hs.482497	5q13.2	transportin 1 (TNPO1), transcript variant 2, mRNA.
GNAI2	201040_at	0.0058085	0.357325	-1.25	Hs.77269	3p21	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2 (GNAI2), mRNA.
ZNF138	244743_x_at	0.0062683	0.357325	-1.25	Hs.184080	7q11.21-q11.23	zinc finger protein 138 (ZNF138), mRNA.
	1558710_at	0.0072578	0.357325	-1.25	Hs.655894	15	CDNA FLJ40669 fis, clone THYMU2020883
	227187_at	0.007582	0.357325	-1.25	Hs.594184	7	Full-length cDNA clone CS0CAP007YE04 of Thymus of Homo sapiens (human)
DDEF2	206414_s_at	0.0080436	0.357325	-1.25	Hs.555902	2p25	development and differentiation enhancing factor 2 (DDEF2), mRNA.
C3orf59	227599_at	0.0082529	0.357325	-1.25	Hs.151443	3q29	chromosome 3 open reading frame 59 (C3orf59), mRNA.
ZNF275	225383_at	0.0083906	0.357325	-1.25	Hs.348963	Xq28	zinc finger protein 275 (ZNF275), mRNA.
FNBP1	212288_at	0.0084116	0.357325	-1.25	Hs.189409	9q34	formin binding protein 1 (FNBP1), mRNA.
SIPA1L1	237032_x_at	0.008449	0.357325	-1.25	Hs.654657	14q24.2	Signal-induced proliferation-associated 1 like 1
CHD1	235791_x_at	0.0091495	0.3669665	-1.25	Hs.643465	5q15-q21	chromodomain helicase DNA binding protein 1 (CHD1), mRNA.
BCHE	205433_at	0.0091555	0.3669665	-1.25	Hs.420483	3q26.1-q26.2	butyrylcholinesterase (BCHE), mRNA.
PGM2	223738_s_at	0.0096361	0.3735558	-1.25	Hs.23363	4p14	phosphoglucomutase 2 (PGM2), mRNA.
RANBP5	211955_at	0.0099256	0.3735558	-1.25	Hs.643743	13q32.2	RAN binding protein 5 (RANBP5), mRNA.
TPP1	200742_s_at	0.0000213	0.1504141	-1.4285714	Hs.523454	11p15	tripeptidyl peptidase I (TPP1), mRNA.
RBAK	228571_at	0.0000817	0.2220164	-1.4285714	Hs.592827	7p22.1	RB-associated KRAB zinc finger (RBAK), mRNA.
	213743_at	0.0001475	0.233361	-1.4285714	Hs.666595	2	Transcribed locus
STK3	204068_at	0.0002071	0.233361	-1.4285714	Hs.492333	8q22.2	serine/threonine kinase 3 (STE20 homolog, yeast) (STK3), mRNA.
LOC26010	222154_s_at	0.0003038	0.2454125	-1.4285714	Hs.120323	2q33.1	viral DNA polymerase-transactivated protein 6 (LOC26010), mRNA.
EFEMP1	201843_s_at	0.0004109	0.2680312	-1.4285714	Hs.76224	2p16	EGF-containing fibulin-like extracellular matrix protein 1 (EFEMP1), transcript variant 3, mRNA.
HSPA14	227650_at	0.0004314	0.2680312	-1.4285714	Hs.534169	10p13	Heat shock 70kDa protein 14
PRDM2	203057_s_at	0.0007026	0.305613	-1.4285714	Hs.371823	1p36.21	PR domain containing 2, with ZNF domain (PRDM2), transcript variant 3, mRNA.
DCLK1	205399_at	0.0007223	0.3063274	-1.4285714	Hs.507755	13q13	doublecortin-like kinase 1 (DCLK1), mRNA.
ZNF655	225945_at	0.0008195	0.3119901	-1.4285714	Hs.521064	7q22.1	zinc finger protein 655 (ZNF655), transcript variant 3, mRNA.
	229114_at	0.0011877	0.357325	-1.4285714	Hs.632864	4	CDNA clone IMAGE:4801326
TBC1D23	225121_at	0.0012386	0.357325	-1.4285714	Hs.477003	3q12.1-q12.2	TBC1 domain family, member 23
STX12	212112_s_at	0.0012815	0.357325	-1.4285714	Hs.523855	1p35-p34.1	syntaxin 12 (STX12), mRNA.
XRRA1	226739_at	0.0014318	0.357325	-1.4285714	Hs.370145	11	PREDICTED: X-ray radiation resistance associated 1, transcript variant 1 (XRRA1), mRNA.
SPAG9	225339_at	0.0014786	0.357325	-1.4285714	Hs.593620	17q21.33	Sperm associated antigen 9
OSBPL3	209626_s_at	0.0015281	0.357325	-1.4285714	Hs.520259	7p15	oxysterol binding protein-like 3 (OSBPL3), transcript variant 4, mRNA.
PLAGL2	202925_s_at	0.0017175	0.357325	-1.4285714	Hs.154104	20q11.21	pleiomorphic adenoma gene-like 2 (PLAGL2), mRNA.
MYH10	212372_at	0.0017723	0.357325	-1.4285714	Hs.16355	17p13	myosin, heavy chain 10, non-muscle (MYH10), mRNA.
SPAG9	212470_at	0.0018761	0.357325	-1.4285714	Hs.463439	17q21.33	sperm associated antigen 9 (SPAG9), mRNA.
NFAT5	224984_at	0.0019327	0.357325	-1.4285714	Hs.371987	16q22.1	nuclear factor of activated T-cells 5, tonicity-responsive (NFAT5), transcript variant 3, mRNA.
CXorf15	227520_at	0.0023998	0.357325	-1.4285714	Hs.555961	Xp22.2	Chromosome X open reading frame 15
ZNF764	57516_at	0.002418	0.357325	-1.4285714	Hs.132227	16p11.2	Zinc finger protein 764
SEC31A	215009_s_at	0.0024688	0.357325	-1.4285714	Hs.370024	4q21.22	SEC31 homolog A (S. cerevisiae)
RCOR1	212612_at	0.0024764	0.357325	-1.4285714	Hs.510521	14q32.31-q32.32	REST corepressor 1 (RCOR1), mRNA.
LOC401504	226635_at	0.0025027	0.357325	-1.4285714	Hs.446271	9p13.2	Hypothetical gene supported by AK091718
DSE	218854_at	0.0031671	0.357325	-1.4285714	Hs.486292	6q22	dermatan sulfate epimerase (DSE), transcript variant 2, mRNA.
	235733_at	0.0034004	0.357325	-1.4285714	Hs.659021	3	Transcribed locus
LOC727858	223327_x_at	0.0038864	0.357325	-1.4285714		15	PREDICTED: similar to Dynamin-1 (D100) (Dynamin, brain) (B-dynamin) (LOC727858), mRNA.
ZNF30	232014_at	0.0039952	0.357325	-1.4285714	Hs.657402	19q13.11	zinc finger protein 30 (ZNF30), mRNA.
	227458_at	0.0042444	0.357325	-1.4285714	Hs.655937	9	Transcribed locus
ARL13B	228201_at	0.0044143	0.357325	-1.4285714	Hs.533086	3q11.2	ADP-ribosylation factor-like 13B (ARL13B), transcript variant 2, mRNA.
NDUFA5	201304_at	0.0045484	0.357325	-1.4285714	Hs.651219	7q32	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa (NDUFA5), nuclear gene encoding mitochondrial protein, mRNA.
RP5-1022P6.2	224835_at	0.004627	0.357325	-1.4285714	Hs.636359	20p12.3	Hypothetical protein KIAA1434
GKAP1	234192_s_at	0.0046463	0.357325	-1.4285714	Hs.522255	9q21.32	G kinase anchoring protein 1 (GKAP1), mRNA.
	227554_at	0.0047666	0.357325	-1.4285714	Hs.31474	7	MRNA; cDNA DKFZp686I18116 (from clone DKFZp686I18116)
ELF4	31845_at	0.004809	0.357325	-1.4285714	Hs.271940	Xq26	E74-like factor 4 (ets domain transcription factor)
	227755_at	0.0049335	0.357325	-1.4285714	Hs.356481	17	CDNA clone IMAGE:4077090
PNRC2	217779_s_at	0.0049489	0.357325	-1.4285714	Hs.512636	1p36.11	proline-rich nuclear receptor coactivator 2 (PNRC2), mRNA.
AKAP13	221718_s_at	0.0049564	0.357325	-1.4285714	Hs.459211	15q24-q25	A kinase (PRKA) anchor protein 13 (AKAP13), transcript variant 2, mRNA.
