ID	Gene	Description	p value
A_32_P139196	MIRH1	microRNA host gene (non-protein coding) 1	0.00021
A_24_P32849	LOC144983	heterogeneous nuclear ribonucleoprotein A1-like	0.00523
A_32_P76811	FLJ35429	hypothetical protein FLJ35429	0.00256
A_24_P426	OSBPL11	oxysterol binding protein-like 11	0.00464
A_23_P20970	ATG12	ATG12 autophagy related 12 homolog (S. cerevisiae)	0.00235
A_23_P312300	SCGB2A1	secretoglobin, family 2A, member 1	1.86364E-09
A_24_P827	SUPT3H	suppressor of Ty 3 homolog (S. cerevisiae)	0.00476
A_23_P10647	CYTL1	cytokine-like 1	0.00236
A_24_P383050	FLJ32011	hypothetical protein FLJ32011	0.006
A_23_P255298	HHATL	hedgehog acyltransferase-like	0.0035
A_23_P307860	SVOPL	SVOP-like	0.00007
A_23_P1352	SFRP5	secreted frizzled-related protein 5	0.00003
A_24_P941268	CA5B	carbonic anhydrase VB, mitochondrial	0.00182
A_23_P117797	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant	0.00016
A_23_P202448	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	0.00507
A_32_P224094	ZNF143	zinc finger protein 143	0.00409
A_24_P277657	GMPR	guanosine monophosphate reductase	0.00307
A_24_P126210	MRAP	melanocortin 2 receptor accessory protein	0.00031
A_24_P67784	KIAA1666	KIAA1666 protein	0.00366
A_23_P163496	MRPS34	mitochondrial ribosomal protein S34	0.00358
A_24_P698125	GLDN	gliomedin	0.00103
A_24_P291826	SYTL3	synaptotagmin-like 3	0.00478
A_23_P76267	TMEM119	transmembrane protein 119	0.00136
A_23_P88095	TBC1D4	TBC1 domain family, member 4	0.00218
A_23_P48327	KCTD4	potassium channel tetramerisation domain containing 4	0.00337
A_23_P13740	NAV3	neuron navigator 3	0.00498
A_23_P304304	ARSF	arylsulfatase F	0.00073
A_23_P501193	KCNJ16	potassium inwardly-rectifying channel, subfamily J, member 16	0.0042
A_23_P396666	TBC1D2B	TBC1 domain family, member 2B	0.0054
A_32_P524014	UTRN	utrophin	0.00678
A_23_P45304	XK	X-linked Kx blood group (McLeod syndrome)	0.00382
A_23_P62999	EXTL1	exostoses (multiple)-like 1	0.0055
A_32_P528967	RTP1	receptor (chemosensory) transporter protein 1	0.00266
A_23_P29684	VILL	villin-like	0.00275
A_32_P116606	LIX1	Lix1 homolog (mouse)	0.00544
A_23_P92928	C6	complement component 6	0.0033
A_23_P43846	FABP6	fatty acid binding protein 6, ileal (gastrotropin)	0.00432
A_24_P143127	GRIA3	glutamate receptor, ionotrophic, AMPA 3	0.00501
A_23_P255884	GSN	gelsolin (amyloidosis, Finnish type)	0.00404
A_23_P210835	MYT1	myelin transcription factor 1	0.00412
A_24_P378928	ADRBK2	adrenergic, beta, receptor kinase 2	0.00515
A_23_P155407	RTP1	receptor (chemosensory) transporter protein 1	0.00171
A_23_P130333	TTR	transthyretin (prealbumin, amyloidosis type I)	0.00351
A_24_P316413	GNAO1	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	0.00027
A_24_P469746	LOC151174	hypothetical protein LOC151174	0.00235
A_24_P318160	NAV3	neuron navigator 3	0.00318
A_23_P254340	RPN1	ribophorin I	0.00304
A_24_P295010	SERPINB9	serpin peptidase inhibitor, clade B (ovalbumin), member 9	0.00136
A_23_P29394	ATP13A4	ATPase type 13A4	0.00299
A_23_P29046	CBR1	carbonyl reductase 1	0.0038
A_24_P56073	PLEKHB1	pleckstrin homology domain containing, family B (evectins) member 1	0.00103
A_24_P128200	CNTN1	contactin 1	0.00073
A_23_P310022	KIAA1217	KIAA1217	0.00464
A_23_P35617	PLCE1	phospholipase C, epsilon 1	0.0035
A_23_P213415	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	0.00717
A_24_P296508	SLC43A2	solute carrier family 43, member 2	0.00333
A_32_P17163	ARHGAP18	Rho GTPase activating protein 18	0.0026
A_24_P349039	CDGAP	Cdc42 GTPase-activating protein	0.00236
A_23_P77908	FLJ31196	H+/organic cation antiporter	0.0038
A_23_P434398	TXLNB	taxilin beta	0.00499
A_23_P34676	CD247	CD247 molecule	0.00636
A_23_P25587	LECT1	leukocyte cell derived chemotaxin 1	0.00314
A_23_P60306	TLR4	toll-like receptor 4	0.00389
A_23_P218743	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	0.00594
A_24_P107142	ANXA11	annexin A11	0.00506
A_23_P204879	CAB39L	calcium binding protein 39-like	0.00544
A_23_P75299	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	0.00152
A_23_P134125	MAP3K5	mitogen-activated protein kinase kinase kinase 5	0.00571
A_23_P170337	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	0.00455
A_23_P431933	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	0.00507
A_23_P106042	CMTM5	CKLF-like MARVEL transmembrane domain containing 5	0.00041
A_23_P160318	COL16A1	collagen, type XVI, alpha 1	0.00158
A_23_P351888	KIF6	kinesin family member 6	0.00008
A_24_P167654	SLC8A3	solute carrier family 8 (sodium-calcium exchanger), member 3	0.00389
A_23_P211522	SYNGR1	synaptogyrin 1	0.00529
A_23_P103226	FAAH	fatty acid amide hydrolase	0.00094
A_23_P151166	HVCN1	hydrogen voltage-gated channel 1	0.0033
A_24_P68079	LBA1	lupus brain antigen 1	0.00445
A_23_P50678	MATK	megakaryocyte-associated tyrosine kinase	0.00108
A_23_P147647	SGCD	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	0.00389
A_23_P389391	SLC12A4	solute carrier family 12 (potassium/chloride transporters), member 4	0.00073
A_24_P351420	ZDHHC3	zinc finger, DHHC-type containing 3	0.0028
A_23_P128094	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	0.0006
A_23_P18282	DLEC1	deleted in lung and esophageal cancer 1	0.00041
A_32_P113971	KIAA1755	KIAA1755 protein	0.00328
A_32_P92489	PKD1L2	polycystic kidney disease 1-like 2	0.00182
A_23_P142455	SIRT2	sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)	0.00501
A_23_P49499	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	0.00073
A_23_P144959	VCAN	versican	0.00364
A_23_P61057	IL16	interleukin 16 (lymphocyte chemoattractant factor)	0.00364
A_23_P61149	INPP5D	inositol polyphosphate-5-phosphatase, 145kDa	0.0065
A_23_P164436	ASPA	aspartoacylase (Canavan disease)	0.00027
A_23_P12423	ATP13A2	ATPase type 13A2	0.00296
A_23_P103486	CYP2J2	cytochrome P450, family 2, subfamily J, polypeptide 2	0.00275
A_23_P22625	SLC9A6	solute carrier family 9 (sodium/hydrogen exchanger), member 6	0.00425
A_24_P355967	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A	0.00395
A_24_P73599	IL16	interleukin 16 (lymphocyte chemoattractant factor)	0.00096
A_23_P397376	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	0.00432
A_23_P500861	SYNE1	spectrin repeat containing, nuclear envelope 1	0.0009
A_32_P66881	TLR4	toll-like receptor 4	0.00388
A_23_P382045	TULP4	tubby like protein 4	0.00166
A_24_P364807	AYTL1	acyltransferase like 1	0.00501
A_23_P365767	CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	0.00103
A_23_P132856	LRRC33	leucine rich repeat containing 33	0.00079
A_23_P87049	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	0.00182
A_24_P344711	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	0.00182
A_23_P35399	ANXA11	annexin A11	0.00098
A_23_P500421	EYA2	eyes absent homolog 2 (Drosophila)	0.00203
A_24_P49199	GLDN	gliomedin	0.00182
A_23_P163455	MAP1A	microtubule-associated protein 1A	0.00314
A_23_P61623	SLCO3A1	solute carrier organic anion transporter family, member 3A1	0.00102
A_24_P104407	DMN	desmuslin	0.00498
A_24_P109652	KIAA2002	KIAA2002 protein	0.00087
A_23_P116557	LGALS9	lectin, galactoside-binding, soluble, 9 (galectin 9)	0.00171
A_23_P157136	SCIN	scinderin	0.00125
A_23_P303072	GRIA1	glutamate receptor, ionotropic, AMPA 1	0.00182
A_23_P256084	ARSE	arylsulfatase E (chondrodysplasia punctata 1)	0.00009
A_23_P69497	CLEC3B	C-type lectin domain family 3, member B	0.00166
A_23_P31124	COL21A1	collagen, type XXI, alpha 1	0.00087
A_24_P373475	ASPA	aspartoacylase (Canavan disease)	0.00055
