Curated Gene Symbol	Gene ID	Symbol	Z score Advac	Z score AdE2
VPS33B	NM_018668	VPS33B	2.160409053	-2.606941536
SLC25A36	NM_018155	FLJ10618	2.760617567	-2.597414128
	XM_071473		1.975584044	-2.582713649
RAB28	NM_004249	RAB28	3.417421156	-2.582067522
PELI1	NM_020651	PELI1	4.250588121	-2.58178343
MRPS34	NM_023936	MRPS34	1.402015497	-2.568620141
ERGIC2	NM_016570	PTX1	2.410979229	-2.558876723
SLC39A6	NM_012319	SLC39A6	1.324427176	-2.556960619
POLE3	NM_017443	POLE3	1.505544511	-2.554516713
LIME1	NM_017806	LIME1	4.989110459	-2.553880085
PCDHB4	NM_018938	PCDHB4	4.009332329	-2.549656622
SCGB2A2	NM_002411	SCGB2A2	3.073053162	-2.548233802
DCTN4	NM_016221	DCTN4	0.571834315	-2.540914989
MFGE8	NM_005928	MFGE8	1.533703978	-2.535803246
CDCA8	NM_018101	CDCA8	0.682824405	-2.532018385
NDUFB5	NM_002492	NDUFB5	3.551832553	-2.527444577
PEA15	NM_001231	PEA15	3.419564059	-2.52385419
SP140	NM_007237	SP140	1.853219432	-2.521790672
FRAS1	NM_025074	FRAS1	3.661259036	-2.513897778
ANGPT4	NM_015985	ANGPT4	4.805858423	-2.512737503
RAB3B	NM_002867	RAB3B	1.748056512	-2.49452464
RFXAP	NM_000538	RFXAP	3.008220227	-2.494352832
CYTIP	NM_004288	PSCDBP	0.229351305	-2.491910504
CABP5	NM_019855	CABP5	1.182579821	-2.489496421
TNNT2	NM_000364	TNNT2	3.374586155	-2.488622926
IP6K2	NM_016291	IHPK2	1.879670387	-2.484404478
P4HA1	NM_000917	P4HA1	0.181678685	-2.483772629
GPR87	NM_023915	GPR87	2.383958082	-2.481375371
CHPT1	NM_020244	CHPT1	3.186572845	-2.477147709
ST6GAL1	NM_003032	SIAT1	1.659359664	-2.474877137
DZIP3	NM_014648	DZIP3	3.469227458	-2.473793914
THSD1	NM_018676	THSD1	3.280169522	-2.473225231
TAPBPL	NM_018009	TAPBPL	0.893172992	-2.47239913
BANF1	NM_003860	BANF1	0.281393634	-2.472385287
	NM_021145		0.188326157	-2.464020416
ZBTB17	NM_003443	ZNF151	2.761781547	-2.463621646
KLF12	NM_007249	KLF12	1.594915238	-2.459327054
LAMB3	NM_000228	LAMB3	3.885533586	-2.458200273
SQSTM1	NM_003900	SQSTM1	3.302673556	-2.458189421
MDM4	NM_002393	MDM4	2.120929075	-2.454535648
C17orf59	NM_017622	FLJ20014	2.559611985	-2.451767354
CASS4	NM_020356	C20orf32	3.184554681	-2.45118495
PTPN11	NM_002834	PTPN11	1.451798187	-2.447415922
SETD6	NM_024860	FLJ21148	1.556498364	-2.445181203
CNTLN	NM_017738	C9orf39	0.417120937	-2.441876487
PUM2	NM_015317	PUM2	1.384262513	-2.43492253
IFI30	NM_006332	IFI30	0.947053906	-2.432119685
	XM_071474		1.516964987	-2.431078089
CLCA1	NM_001285	CLCA1	3.751146245	-2.428634239
ABCA1	NM_005502	ABCA1	0.371129191	-2.427496373
HDAC1	NM_004964	HDAC1	2.079638197	-2.416758785
EIF4A3	NM_014740	DDX48	0.779922363	-2.414103276
EGFL6	NM_015507	EGFL6	2.56122681	-2.412746132
PTPLAD1	NM_016395	HSPC121	0.336986068	-2.412256664
ZFYVE16	NM_014733	ZFYVE16	0.90392619	-2.411557509
IRX4	NM_016358	IRX4	2.400531784	-2.406088806
MTRF1	NM_004294	MTRF1	2.141630386	-2.405368409
PCBD1	NM_000281	PCBD	2.528753242	-2.40442111
RNF14	NM_004290	RNF14	0.779888414	-2.404011518
SNRPD1	NM_006938	SNRPD1	1.59761678	-2.399450769
KLK13	NM_015596	KLK13	0.864731028	-2.398578691
FRK	NM_002031	FRK	0.415266338	-2.396644297
ABCD4	NM_020323	ABCD4	1.723761293	-2.394371453
CCT3	NM_005998	CCT3	3.566186428	-2.393778588
	NM_018447	LOC55831	2.496777915	-2.390737086
VPS4B	NM_004869	VPS4B	0.694334338	-2.39036549
NOX3	NM_015718	NOX3	1.931544564	-2.386103876
SLC16A10	NM_018593	SLC16A10	1.514298549	-2.38555555
TAGLN	NM_003186	TAGLN	3.210345096	-2.379573768
SAR1B	NM_016103	SARA2	2.688515995	-2.376645739
EID1	NM_014335	CRI1	3.015031762	-2.372153393
WNT10B	NM_003394	WNT10B	0.816424481	-2.371427574
MRPS31	NM_005830	MRPS31	1.810671424	-2.369037071
TJP3	NM_014428	TJP3	2.961416506	-2.367679357
RAB38	NM_022337	RAB38	1.004365191	-2.356688126
ERP29	NM_006817	C12orf8	1.913775251	-2.354796909
MRPL48	NM_016055	MRPL48	0.282237333	-2.346798581
	XM_010999		2.836663076	-2.340462464
CYTH2	NM_017457	PSCD2	1.868677493	-2.335499854
ADAM21	NM_003813	ADAM21	0.580651752	-2.333093952
MIA	NM_006533	MIA	2.530690638	-2.331663011
	NM_019602		1.647794647	-2.328693122
	NM_018616		-0.036957922	-2.327766392
SAG	NM_000541	SAG	2.129363872	-2.324356882
GIT2	NM_014776	GIT2	2.219692548	-2.323079399
C7orf63	NM_024788	FLJ21062	2.735330132	-2.318532113
INADL	NM_005799	INADL	2.107515827	-2.313807146
ESF1	NM_016649	C20orf6	-0.0896189	-2.311255999
PRAF2	NM_007213	PRAF2	4.368828316	-2.310963112
SOCS3	NM_003955	SOCS3	2.117330304	-2.308490151
RHOA	NM_001664	RHOA	2.565802626	-2.308100806
BIRC7	NM_022161	BIRC7	1.149705888	-2.305540856
SCGB1D2	NM_006551	SCGB1D2	1.824275138	-2.30495812
NFX1	NM_002504	NFX1	0.238694685	-2.30205451
SIRT1	NM_012238	SIRT1	1.227138492	-2.300515733
GMEB1	NM_024482	GMEB1	0.737485373	-2.298844357
PGRMC1	NM_006667	PGRMC1	2.89801599	-2.297136417
	XM_037037		1.525750964	-2.295733144
PFKFB4	NM_004567	PFKFB4	0.333808489	-2.292066833
RWDD1	NM_015952	RWDD1	0.337686105	-2.291739867
NAP1L3	NM_004538	NAP1L3	0.229841546	-2.289855782
GNB3	NM_002075	GNB3	1.04634581	-2.289140714
PRKACB	NM_002731	PRKACB	2.073546497	-2.28863697
	NM_016125	LOC51136	1.793696016	-2.287735204
CXADR	NM_001338	CXADR	2.250926526	-2.282904406
CRISP3	NM_006061	CRISP3	4.535796954	-2.28246692
ZP2	NM_003460	ZP2	1.803812057	-2.282189858
PMM2	NM_000303	PMM2	1.197111778	-2.277682813
PGK1	NM_000291	PGK1	2.048164551	-2.276490755
PYROXD1	NM_024854	FLJ22028	1.997111706	-2.274469822
BLOC1S6	NM_012388	PLDN	1.632719244	-2.273197387
LGALS4	NM_006149	LGALS4	0.779318574	-2.270153205
PCNP	NM_020357	PCNP	2.199360444	-2.268580652
SEC14L1	NM_003003	SEC14L1	3.060229305	-2.267371722
SMAD1	NM_005900	SMAD1	1.487796353	-2.26659847
NME7	NM_013330	NME7	0.490158348	-2.265483069
SLC13A1	NM_022444	SLC13A1	2.652970539	-2.263692152
CDC42SE2	NM_020240	SPEC2	2.32825012	-2.25951472
STARD7	NM_020151	STARD7	2.00310912	-2.258558361
IL7	NM_000880	IL7	1.751715363	-2.257806766
VRK3	NM_016440	VRK3	0.349374752	-2.253249928
	NM_020189		2.466068593	-2.253203536
BNIP1	NM_013980	BNIP1	1.105105701	-2.253193721
FAIM	NM_018147	FAIM	2.422521617	-2.252999823
PPM1B	NM_002706	PPM1B	1.400170001	-2.249338677
CD27	NM_001242	TNFRSF7	1.736103323	-2.245113632
DHDH	NM_014475	DHDH	1.143813845	-2.244184659
EBAG9	NM_004215	EBAG9	1.133477918	-2.237508782
CCNJ	NM_019084	CCNJ	0.703531152	-2.23413114
ZNF134	NM_003435	ZNF134	2.703084543	-2.230850009
RBM41	NM_018301	FLJ11016	2.564247431	-2.229691708
STAT5B	NM_012448	STAT5B	1.399638351	-2.229679137
KCNQ2	NM_004518	KCNQ2	1.937179886	-2.228925243
	XM_070924		0.595879072	-2.227949641
EYA1	NM_000503	EYA1	2.232695255	-2.225273399
STX16	NM_003763	STX16	0.794774189	-2.224269258
COX7A1	NM_001864	COX7A1	3.103419146	-2.223285316
PDCD2	NM_002598	PDCD2	3.289253701	-2.219997967
ZFR	NM_016107	ZFR	2.294398053	-2.202494248
GTF2A1	NM_015859	GTF2A1	1.357220369	-2.198990492
	NM_017960		2.075929228	-2.198181634
FPR1	NM_002029	FPR1	4.124393269	-2.187538031
MSH3	NM_002439	MSH3	0.733771295	-2.187232239
LAD1	NM_005558	LAD1	2.427824737	-2.182787281
SERTAD4	NM_019605	SERTAD4	-0.178671509	-2.181315007
IFT27	NM_006860	RABL4	1.790679966	-2.180104129
CCL17	NM_002987	CCL17	2.658528437	-2.179393871
RRAGB	NM_006064	RRAGB	0.958439822	-2.177881245
BTN2A1	NM_007049	BTN2A1	1.77616233	-2.175091211
CPSF7	NM_024811	FLJ12529	2.067388996	-2.17404165
SPOCK2	NM_014767	SPOCK2	0.029277939	-2.173926831
	XM_071391		0.499318381	-2.172924954
UBE4A	NM_004788	UBE4A	0.83946281	-2.171297288
FBXO11	NM_025133	FBXO11	1.039403982	-2.168362472
ZMYM4	NM_005095	ZNF262	0.483596504	-2.166701288
FAHD2A	NM_016044	CGI-105	2.727986055	-2.166465759
VDAC3	NM_005662	VDAC3	1.57018612	-2.161036365
CDKL3	NM_016508	CDKL3	4.11255638	-2.16008004
TCF21	NM_003206	TCF21	3.725779313	-2.154359981
LRRC20	NM_018239	LRRC20	3.310580205	-2.153096924
GALNT14	NM_024572	GALNT14	3.596485112	-2.152798481
NTRK2	NM_006180	NTRK2	2.059524661	-2.15207376
DNAI1	NM_012144	DNAI1	3.02614018	-2.149691474
IPPK	NM_022755	C9orf12	1.896915049	-2.149281085
	NM_025071		1.345111679	-2.147024815
ANKRD39	NM_016466	MGC41816	2.616343207	-2.146907515
SKIL	NM_005414	SKIL	0.775499798	-2.145312547
GLRA2	NM_002063	GLRA2	2.21356511	-2.144238174
	XM_011354		1.480264327	-2.143257971
MNDA	NM_002432	MNDA	1.599215829	-2.142786947
	NM_024694		0.257464873	-2.14265731
CTPS2	NM_019857	CTPS2	1.565017365	-2.142129912
EML1	NM_004434	EML1	2.3441853	-2.139612733
SAMM50	NM_015380	CGI-51	1.264088239	-2.137537961
SAT1	NM_002970	SAT	0.988456271	-2.137387776
BARX1	NM_021570	BARX1	1.782773819	-2.136433688
HOXC13	NM_017410	HOXC13	1.456489897	-2.136303836
STAP1	NM_012108	BRDG1	1.180279416	-2.134366686
ZDHHC13	AK001831	ZDHHC13	0.913392308	-2.133657028
CALCA	M64486	CALCA	2.507800499	-2.133329155
PARP1	NM_001618	ADPRT	0.825379839	-2.131954366
IER5	NM_016545	IER5	3.301480747	-2.129024356
C10orf2	NM_021830	PEO1	-0.002528797	-2.128532257
DCLRE1C	NM_022487	DCLRE1C	1.311367807	-2.125977151
FASTKD2	NM_014929	KIAA0971	1.789066852	-2.125094868
LRP8	NM_033300	LRP8	2.543673295	-2.123039518
IFNG	NM_000619	IFNG	1.822874715	-2.122303069
PLCB1	NM_015192	PLCB1	0.269200679	-2.121087681
AMY1A	NM_000699	AMY1A	1.435309041	-2.120742929
STAM2	NM_005843	STAM2	2.335212329	-2.114101628
MFAP3	NM_005927	MFAP3	0.042719037	-2.113371584
ERMAP	NM_018538	ERMAP	0.56682957	-2.108650201
NDNF	NM_024574	FLJ23191	1.108042823	-2.105488465
CLIC2	NM_001289	CLIC2	1.734272267	-2.104309839
PTPRR	NM_002849	PTPRR	2.253106513	-2.104162317
SUCO	NM_014283	C1orf9	1.309542078	-2.100430303
FAM46A	NM_017633	C6orf37	0.821095418	-2.099838882
RAB8A	NM_005370	RAB8A	1.257077446	-2.099168793
BICC1	NM_025044	BICC1	2.907247854	-2.098676524
DYNC2LI1	NM_016008	D2LIC	0.675012217	-2.089948645
SERPINB3	NM_006919	SERPINB3	2.053444706	-2.083615455
RIT2	NM_002930	RIT2	1.069096972	-2.079183067
ACSF2	NM_025149	FLJ20920	1.729545491	-2.077991942
DSCC1	NM_024094	MGC5528	2.504547486	-2.076520956
IFI6	NM_022873	G1P3	1.451700744	-2.076144539
APRT	NM_000485	APRT	1.261754679	-2.075033036
OGFRL1	NM_024576	OGFRL1	3.925290099	-2.074575955
GLI1	NM_005269	GLI	2.301354315	-2.073265765
EHF	NM_012153	EHF	1.511905589	-2.072703444
ATP1B1	NM_001677	ATP1B1	3.65525538	-2.07165783
MRPL18	NM_014161	MRPL18	0.490849397	-2.071299174
LHX3	NM_014564	LHX3	1.446382395	-2.070676152
DHDDS	NM_024887	DHDDS	2.396536432	-2.062570187
ZNF649	NM_023074	FLJ12644	0.965440885	-2.054752771
TLL2	NM_012465	TLL2	2.493540731	-2.051922786
GAL3ST2	NM_022134	GAL3ST2	-0.020053417	-2.051873363
ARID4B	NM_016374	ARID4B	0.000832073	-2.051052959
C16orf80	NM_013242	GTL3	1.905269397	-2.048862059
ZFP161	NM_003409	ZFP161	2.885203093	-2.0449761
AKT1	NM_005163	AKT1	0.127326543	-2.042858585
PHTF1	NM_006608	PHTF1	0.901556082	-2.042147021
CSTF3	NM_001326	CSTF3	-0.035772843	-2.04191509
SDHB	NM_003000	SDHB	1.123025294	-2.040697511
EDN2	NM_001956	EDN2	0.922616902	-2.034780119
	NM_005136		0.75853303	-2.034646106
SAP130	NM_024545	SAP130	2.468505259	-2.034443
RPL8	NM_033301	RPL8	2.791600452	-2.033050599
MGST2	NM_002413	MGST2	1.032501162	-2.031639389
TRAF3IP3	NM_025228	T3JAM	0.995549037	-2.030275921
	XM_018270		2.299125875	-2.029647833
GALNT12	NM_024642	GALNT12	3.728991444	-2.027156508
CCL25	NM_005624	CCL25	0.97607255	-2.026263404
IL5	NM_000879	IL5	2.042086115	-2.026220959
KRT24	NM_019016	KRT24	1.322909237	-2.02573202
IFI16	NM_005531	IFI16	1.960937134	-2.025514484
MFHAS1	NM_004225	MFHAS1	0.807161852	-2.023678562
	NM_025157		2.797782128	-2.022133047
	XM_016165		1.381348644	-2.02019766
PKIA	NM_006823	PKIA	1.295980616	-2.019915679
NDUFA10	NM_004544	NDUFA10	0.908281323	-2.019337101
CTSB	NM_001908	CTSB	0.837622496	-2.017954103
NEK11	NM_024800	NEK11	2.355937165	-2.013196559
CPA6	NM_020361	CPA6	1.18169916	-2.011526026
SLC39A1	NM_014437	SLC39A1	0.282487117	-2.010693979
NOS3	NM_000603	NOS3	3.190052258	-2.010220052
CTAG2	NM_020994	CTAG2	0.691797334	-2.007751467
PPP2CB	NM_004156	PPP2CB	1.30536389	-2.004287182
P4HB	NM_000918	P4HB	0.167436497	-2.002366914
TRIM26	NM_003449	TRIM26	2.584051818	-1.999890396
TBL1XR1	NM_024665	TBL1XR1	4.1982188	-1.995402137
CCRL2	NM_003965	CCRL2	2.084156878	-1.993744274
STX17	NM_017919	STX17	1.159363406	-1.992853591
VCX	NM_013452	VCX	1.13137913	-1.99154736
ABHD5	NM_016006	ABHD5	3.619660703	-1.989863658
TNFAIP3	NM_006290	TNFAIP3	0.084380317	-1.989256862
TRHR	NM_003301	TRHR	0.400114406	-1.988630794
	NM_021730		0.143458098	-1.986325782
HRASLS	NM_020386	HRASLS	0.858653889	-1.980307579
	XM_032672		0.576657112	-1.978791166
DNAAF2	NM_018139	C14orf104	1.177621113	-1.978777908
CD40	NM_001250	TNFRSF5	1.015822872	-1.977483352
RAB22A	NM_020673	RAB22A	2.374059	-1.973019316
STX2	NM_001980	EPIM	2.082736903	-1.972316714
ADAMTS6	NM_014273	ADAMTS6	1.355922601	-1.971035042
AZI2	NM_022461	AZ2	0.137250954	-1.970234384
CDK5RAP1	NM_016082	CDK5RAP1	0.165720506	-1.969407017
ZFYVE9	NM_004799	ZFYVE9	0.366716716	-1.965717
ADSL	NM_000026	ADSL	3.059347386	-1.965294272
SCG3	NM_013243	SCG3	3.537895327	-1.963523014
	XM_034123		2.2161021	-1.961085038
SENP2	NM_021627	SENP2	0.271852178	-1.952308499
BDNF	NM_001709	BDNF	1.259953145	-1.951363154
	XM_018336		1.840294382	-1.947919439
HIST1H1E	NM_005321	HIST1H1E	2.268640236	-1.942045928
PNP	NM_000270	NP	1.781737792	-1.93844692
TLK2	NM_006852	TLK2	1.03900454	-1.937454937
SLC35F5	NM_025181	SLC35F5	1.387396779	-1.936869145
APEX2	NM_014481	APEX2	2.567675439	-1.936116803
HSP90AA1	NM_005348	HSPCA	0.933486697	-1.935602963
XKR8	NM_018053	FLJ10307	1.198752724	-1.930436381
PCSK5	NM_006200	PCSK5	3.167663815	-1.928354417
MTHFD2	NM_006636	MTHFD2	2.359178448	-1.92784051
HTR2C	NM_000868	HTR2C	0.931980733	-1.927071392
HPR	NM_020995	HPR	1.44039244	-1.926820305
GSPT2	NM_018094	GSPT2	0.26398066	-1.925937007
APOL6	NM_030641	APOL6	2.291054471	-1.925917437
WDR41	NM_018268	WDR41	2.34469032	-1.925130767
CRB1	NM_012076	CRB1	0.329542562	-1.922570668
GMPR2	NM_016576	GMPR2	1.420070605	-1.92178193
	NM_020636		2.602641749	-1.921463987
DLL1	NM_005618	DLL1	2.333601941	-1.917934547
NEK4	NM_003157	NEK4	0.913906375	-1.91388804
	NM_014680		0.413883504	-1.913860365
MYL3	NM_000258	MYL3	2.804001176	-1.913535105
ADAM18	NM_014237	ADAM18	2.423099775	-1.913403783
CBR3	NM_001236	CBR3	1.606348743	-1.912392576
PDPK1	Y15056	PDPK1	0.829840055	-1.911987681
IL9R	NM_002186	IL9R	0.67698398	-1.910543028
SYK	NM_003177	SYK	0.518269246	-1.910189753
PARP8	NM_024615	FLJ21308	2.086089062	-1.909719129
RAB32	NM_006834	RAB32	0.135820153	-1.907393565
JAG1	NM_000214	JAG1	1.383164726	-1.905390666
STAG2	NM_006603	STAG2	0.522079731	-1.904657813
CLEC3A	NM_005752	CLECSF1	2.252363711	-1.904484047
TBL3	NM_006453	TBL3	1.573755408	-1.903794279
ABI2	NM_005759	ABI2	0.940823215	-1.903626058
ATP1B3	NM_001679	ATP1B3	1.908873134	-1.900604201
MYCN	NM_005378	MYCN	2.236830184	-1.900133222
COX5B	NM_001862	COX5B	1.636306226	-1.898503459
CERS2	NM_013384	LASS2	1.071376711	-1.892349484
IDH3G	NM_004135	IDH3G	1.936210129	-1.89178811
ALDH1L1	NM_012190	FTHFD	0.435218411	-1.890943271
STXBP3	NM_007269	STXBP3	2.434938363	-1.888386673
HEBP1	NM_015987	HEBP1	3.964380957	-1.888104551
PLK2	NM_006622	PLK2	0.593878326	-1.888032147
	NM_014606		1.657430782	-1.882773149
PTGER2	NM_000956	PTGER2	0.191143682	-1.879459134
	NM_024849		0.655839815	-1.879432133
CROT	NM_021151	CROT	0.62090144	-1.879341348
PMEPA1	NM_020182	TMEPAI	2.288219233	-1.877412293
ZMYND8	NM_012408	PRKCBP1	1.006210122	-1.875913526
SIRT3	NM_012239	SIRT3	2.717712931	-1.875328199
AK3	NM_016282	AK3L1	2.495860429	-1.870276635
TEX264	NM_015926	ZSIG11	1.729600467	-1.870135281
ARPC4	NM_005718	ARPC4	0.835857913	-1.868472011
ECHS1	NM_004092	ECHS1	0.852450253	-1.867020179
	NM_015912	LOC51059	0.25555979	-1.866013481
FGF12	NM_021032	FGF12	1.882611663	-1.865064411
MSH2	NM_000251	MSH2	0.794234304	-1.864931049
ATP5E	NM_006886	ATP5E	0.197662535	-1.864860367
	XM_003947		0.585601279	-1.864840496
RPAP1	NM_015540	RPAP1	1.52526618	-1.863901567
CPB2	NM_016413	CPB2	0.283646792	-1.862795376
	XM_015699		1.061843427	-1.861948911
CETN1	NM_004066	CETN1	2.364705164	-1.861876422
SMIM8	NM_020425	C6orf162	1.932753493	-1.861537837
SMTN	NM_006932	SMTN	1.424877769	-1.860230612
TP53	NM_000546	TP53	0.27596977	-1.858129891
EPS15L1	NM_021235	EPS15L1	0.698791608	-1.857349723
LY96	NM_015364	LY96	1.539910006	-1.856159708
BCAP29	NM_018844	BCAP29	0.274282979	-1.853898987
TMEM176A	NM_018487	HCA112	0.599300524	-1.853636123
VPS26A	NM_004896	VPS26	2.336505821	-1.852073023
PTBP1	NM_002819	PTBP1	1.174106895	-1.845714869
KLK14	NM_022046	KLK14	0.993488502	-1.843648846
RPL32	NM_000994	RPL32	3.681130823	-1.842121155
PDIA6	NM_005742	TXNDC7	2.789036403	-1.840590269
HNRNPK	NM_002140	HNRPK	1.696485637	-1.840300582
CALU	NM_001219	CALU	2.524454089	-1.833621734
TGM5	NM_004245	TGM5	2.158768515	-1.832803524
GPATCH2L	NM_017972	C14orf118	0.591200698	-1.831238976
RPL26	NM_000987	RPL26	1.341594989	-1.830690693
	NM_014949		0.170532239	-1.830493136
RANBP1	NM_002882	RANBP1	1.001444856	-1.830318214
HBS1L	NM_006620	HBS1L	0.815572315	-1.829646724
