UID	NAME	C1	C3	C2	H1	H6	H3	H5	H2	H4
A_01_P013226	||  || A_01_P013226 ||  || Homo sapiens E1A binding protein p300 (EP300), mRNA [NM_001429] ||  ||  || 6290137	-0.94	-0.73	-0.89	-1.6	-1.4	-1.48	-2.13	-1.27	-1.36
A_01_P009728	||  || A_01_P009728 ||  || Homo sapiens serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 13 (SERPINB13), mRNA [NM_012397] ||  ||  || 6291381	-0.47	-0.2	-0.53	-1.61	-1.24	-0.9	-1.31	-0.83	-1.15
A_01_P007507	||  || A_01_P007507 ||  || Homo sapiens putative neuronal cell adhesion molecule (PUNC), mRNA [NM_004884] ||  ||  || 6290277	0.76	0.71	0.79	-0.05	-0.35	-0.74	-0.11	-1.52	-1.2
A_01_P005985	||  || A_01_P005985 ||  || Homo sapiens NOD3 protein (NOD3), mRNA [NM_178844] ||  ||  || 6289750	0.89	0.62	0.78	0.27	0.58	-0.25	-0.2	-0.27	-0.11
A_01_P018375	||  || A_01_P018375 ||  || Homo sapiens protocadherin alpha 5 (PCDHA5), transcript variant 2, mRNA. [NM_031501] ||  ||  || 6270522	-0.66	-0.86	-1.04	0.84	-0.07	0.12	0.99	0.14	-0.33
A_01_P000340	||  || A_01_P000340 ||  || Homo sapiens fumarylacetoacetate hydrolase (fumarylacetoacetase) (FAH), mRNA. [NM_000137] ||  ||  || 6292800	0.73	0.72	0.67	0.56	0.5	0.56	0.63	0.38	0.45
A_01_P017350	||  || A_01_P017350 ||  || ILLUMIGEN_MCQ_26420 Katze_MMBR Macaca mulatta cDNA clone IBIUW:11760 5 similar to Bases 1 to 984 highly similar to human NRXN1 (Hs.22998), mRNA sequence [CN802707] ||  ||  || 6275738	-0.32	-0.51	-0.37	-0.87	-0.71	-1.2	-1.76	-1.35	-1.25
A_01_P008538	||  || A_01_P008538 ||  || Homo sapiens mitochondrial ribosomal protein L19 (MRPL19), nuclear gene encoding mitochondrial protein, mRNA [NM_014763] ||  ||  || 6273663	-0.14	-0.18	-0.23	0.23	0.16	0.27	-0.15	0.18	0.11
A_01_P007401	||  || A_01_P007401 ||  || Homo sapiens cDNA FLJ43204 fis, clone FEBRA2008583 [AK125194] ||  ||  || 6293133	-0.28	-0.22	-0.07	-0.93	-0.56	-0.88	-0.86	-0.9	-1.66
A_01_P000625	||  || A_01_P000625 ||  || Homo sapiens mitochondrial ribosomal protein L20 (MRPL20), nuclear gene encoding mitochondrial protein, mRNA. [NM_017971] ||  ||  || 6278106	0.39	0.4	0.43	0.55	0.66	0.7	0.53	0.64	0.85
A_01_P005686	||  || A_01_P005686 ||  || Homo sapiens chromosome 9 open reading frame 76 (C9orf76), mRNA. [NM_024945] ||  ||  || 6268659	-0.35	-0.3	-0.27	-0.05	-0.1	-0.05	-0.22	-0.13	-0.22
A_01_P002942	||  || A_01_P002942 ||  || Homo sapiens tyrosylprotein sulfotransferase 2 (TPST2), mRNA [NM_003595] ||  ||  || 6288159	-1.28	-1.17	-1.25	-0.48	-0.33	-1.07	-0.46	-0.89	-0.5
A_01_P019635	||  || A_01_P019635 ||  || PREDICTED: Homo sapiens Indian hedgehog homolog (Drosophila) (IHH), mRNA [XM_050846] ||  ||  || 6290132	0.46	0.6	0.76	-0.62	-0.03	0.13	-0.12	0.3	-0.15
A_01_P020157	||  || A_01_P020157 ||  || Homo sapiens polymerase (DNA-directed), delta interacting protein 3 (POLDIP3), transcript variant 1, mRNA. [NM_032311] ||  ||  || 6278721	-0.19	-0.05	-0.12	-0.38	-0.35	-0.56	-0.32	-0.69	-0.36
A_01_P005616	||  || A_01_P005616 ||  || PREDICTED: Homo sapiens olfactory receptor, family 1, subfamily S, member 2 (OR1S2), mRNA [XM_166916] ||  ||  || 6291064	1.32	0.84	1.22	0.37	0.77	-0.22	-0.02	-0.39	-0.01
A_01_P004486	||  || A_01_P004486 ||  || Homo sapiens sialyltransferase 7D ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) (SIAT7D), transcript variant 1, mRNA [NM_014403] ||  ||  || 6268848	-1.42	-1.6	-1.05	-0.18	-0.46	-0.12	-0.41	-0.64	0.44
A_01_P008279	||  || A_01_P008279 ||  || Homo sapiens ORF (LOC51035), mRNA [NM_015853] ||  ||  || 6267064	0.02	0.04	0.01	-0.2	-0.04	-0.13	-0.23	-0.13	-0.31
A_01_P014297	||  || A_01_P014297 ||  || PREDICTED: Macaca mulatta similar to centaurin, gamma 3 (LOC714140), mRNA [XR_012933] ||  ||  || 6272666	-0.7	-0.55	-0.65	-0.78	-0.97	-1.01	-1.08	-0.97	-0.82
A_01_P019872	||  || A_01_P019872 ||  ||  ||  ||  || 6285473	-0.36	-0.25	-0.37	0	0	-0.13	0.08	-0.2	-0.11
A_01_P007551	||  || A_01_P007551 ||  || Homo sapiens nuclear receptor subfamily 2, group E, member 1 (NR2E1), mRNA [NM_003269] ||  ||  || 6280362	1.09	0.67	0.66	-0.33	0.37	0.12	-0.48	-0.36	-0.31
A_01_P002085	||  || A_01_P002085 ||  || Homo sapiens activin A receptor, type IB (ACVR1B), transcript variant 1, mRNA. [NM_004302] ||  ||  || 6278190	0.97	0.73	0.75	0.02	-1.03	-0.25	0.44	-0.7	-1.14
A_01_P010979	||  || A_01_P010979 ||  || Homo sapiens MOB1, Mps One Binder kinase activator-like 1B (yeast) (MOBK1B), mRNA. [NM_018221] ||  ||  || 6270612	-0.12	-0.11	-0.1	-0.05	0.04	0.19	0.21	0.22	0.25
A_01_P014539	||  || A_01_P014539 ||  || Homo sapiens APG9 autophagy 9-like 1 (S. cerevisiae) (APG9L1), mRNA. [NM_024085] ||  ||  || 6273615	0.84	0.51	0.6	-0.09	-0.3	-0.22	0.48	0.07	-0.09
A_01_P013511	||  || A_01_P013511 ||  || Homo sapiens cyclin D1 (PRAD1: parathyroid adenomatosis 1) (CCND1), mRNA [NM_053056] ||  ||  || 6278948	0.06	-0.1	0.01	-0.68	-0.4	-0.18	-0.34	-0.23	-0.52
A_01_P006610	||  || A_01_P006610 ||  || Homo sapiens chromosome 3 open reading frame 15 (C3orf15), mRNA. [NM_033364] ||  ||  || 6281863	0.61	0.89	0.8	0	0.11	0.65	0.26	0.18	-0.04
A_01_P008117	||  || A_01_P008117 ||  || Homo sapiens glucocorticoid receptor DNA binding factor 1 (GRLF1), transcript variant 2, mRNA. [NM_004491] ||  ||  || 6291218	1.19	1.28	1.21	0.86	1.04	0.7	0.71	0.81	1.14
A_01_P018824	||  || A_01_P018824 ||  || Homo sapiens transglutaminase 7 (TGM7), mRNA. [NM_052955] ||  ||  || 6287743	-1.33	-1.03	-1.22	-0.03	-0.69	-0.84	-0.06	-0.8	-0.23
A_01_P006636	||  || A_01_P006636 ||  || PREDICTED: Homo sapiens olfactory receptor, family 4, subfamily N, member 2 (OR4N2), mRNA [XM_372500] ||  ||  || 6270960	0.47	0.53	0.56	0.53	0	-0.11	0	-0.07	0
A_01_P018692	||  || A_01_P018692 ||  || Homo sapiens chromosome 20 open reading frame 116 (C20orf116), mRNA. [NM_023935] ||  ||  || 6271602	0.44	0.42	0.55	-0.22	-0.16	-0.81	0.23	-0.01	-0.47
A_01_P015024	||  || A_01_P015024 ||  || Homo sapiens tripartite motif-containing 29 (TRIM29), transcript variant 1, mRNA. [NM_012101] ||  ||  || 6274419	0.54	0.94	0.91	0.14	-0.41	0.5	-0.07	-0.5	-0.03
A_01_P018456	||  || A_01_P018456 ||  || Homo sapiens retinoid X receptor, alpha (RXRA), mRNA. [NM_002957] ||  ||  || 6267164	0.44	0.41	0.34	-0.05	0.1	0.19	0.31	0.24	0.08
A_01_P009337	||  || A_01_P009337 ||  || Homo sapiens contactin associated protein-like 3 (CNTNAP3), mRNA. [NM_033655] ||  ||  || 6288798	0.21	0.29	0.65	-0.55	0.12	-0.93	-0.59	-0.32	-1.15
A_01_P005226	||  || A_01_P005226 ||  || Homo sapiens hypothetical protein FLJ36070 (FLJ36070), mRNA. [NM_182574] ||  ||  || 6286261	0.38	0.41	-0.2	-0.82	-0.6	-0.7	-1.42	-1.05	-1.96
A_01_P004599	||  || A_01_P004599 ||  || Homo sapiens T-cell leukemia, homeobox 1 (TLX1), mRNA. [NM_005521] ||  ||  || 6273485	-0.12	-0.01	0.02	-0.13	-0.24	-0.31	-0.53	-0.39	-0.41
A_01_P000057	||  || A_01_P000057 ||  || PREDICTED: Macaca mulatta hypothetical protein LOC715163 (LOC715163), mRNA [XR_013144] ||  ||  || 6283962	-0.3	-0.29	-0.36	-0.47	-0.4	-0.65	-0.57	-0.41	-0.53
A_01_P014412	||  || A_01_P014412 ||  || Homo sapiens quiescin Q6 (QSCN6), transcript variant 1, mRNA. [NM_002826] ||  ||  || 6293917	-0.22	-0.23	-0.18	-0.65	-0.75	-0.48	-0.34	-0.56	-0.93
A_01_P019882	||  || A_01_P019882 ||  || Homo sapiens pre-B-cell leukemia transcription factor 1 (PBX1), mRNA [NM_002585] ||  ||  || 6288658	0.23	0.37	0.29	0.15	0.18	-0.09	-0.06	-0.07	0.07
A_01_P012951	||  || A_01_P012951 ||  || Homo sapiens thymocyte protein thy28 (THY28), transcript variant 1, mRNA. [NM_014174] ||  ||  || 6267503	-0.26	-0.38	-0.32	-0.23	-0.03	0.02	0.09	-0.02	-0.21
A_01_P014110	||  || A_01_P014110 ||  || AGENCOURT_11823216 NICHD_Rh_Ov1 Macaca mulatta cDNA clone IMAGE:6912989 5, mRNA sequence [CB311553] ||  ||  || 6287505	-0.1	0.01	-0.04	0.17	0.64	0.08	0.45	0.28	0.41
A_01_P014187	||  || A_01_P014187 ||  || Homo sapiens egf-like module containing, mucin-like, hormone receptor-like 1 (EMR1), mRNA. [NM_001974] ||  ||  || 6276715	-0.35	-0.62	-0.39	-1.66	-0.88	-1.67	-1.4	-1.28	-0.62
A_01_P005574	||  || A_01_P005574 ||  ||  ||  ||  || 6292262	1.85	1.96	1.85	1.5	1.46	0.92	1.53	1	1.6
A_01_P002474	||  || A_01_P002474 ||  || Homo sapiens fibroblast growth factor 11 (FGF11), mRNA. [NM_004112] ||  ||  || 6268525	-0.32	-0.11	-0.12	0.88	0.95	0.78	-0.03	0.17	0.6
A_01_P017203	||  || A_01_P017203 ||  || PREDICTED: Homo sapiens KIAA0774 (KIAA0774), mRNA [XM_166270] ||  ||  || 6273269	-3.48	-2.98	-3.39	-1.79	-2.75	-2.53	-2.66	-2.24	-1.53
A_01_P011029	||  || A_01_P011029 ||  || PREDICTED: Macaca mulatta similar to MRG-binding protein (LOC698808), mRNA [XR_010510] ||  ||  || 6285176	-0.47	-0.46	-0.6	0.21	-0.29	0.09	-0.39	-0.14	0
A_01_P003892	||  || A_01_P003892 ||  || DB566244 RIKEN full-length enriched human cDNA library, hypothalamus Homo sapiens cDNA clone H033057I09 3, mRNA sequence [DB566244] ||  ||  || 6293091	-0.13	-0.09	-0.18	0	0.32	0.06	0.05	0.08	0.35
A_01_P014688	||  || A_01_P014688 ||  || Homo sapiens exportin 4 (XPO4), mRNA. [NM_022459] ||  ||  || 6267579	-0.17	-0.3	-0.45	-1.15	-0.69	-0.61	-0.82	-0.66	-0.91
A_01_P010723	||  || A_01_P010723 ||  || Homo sapiens synovial sarcoma translocation gene on chromosome 18-like 1 (SS18L1), transcript variant 1, mRNA [NM_198935] ||  ||  || 6271798	-1.81	-2.23	-2.11	-0.81	-1.27	-1.54	-1.2	-1.41	-1.38
A_01_P016057	||  || A_01_P016057 ||  || Homo sapiens heat shock 70kDa protein 4 (HSPA4), transcript variant 1, mRNA. [NM_002154] ||  ||  || 6276025	0.57	0.42	0.49	-0.88	-0.07	-0.63	0.35	-0.46	-0.96
A_01_P009579	||  || A_01_P009579 ||  || Homo sapiens diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein) (DBI), mRNA [NM_020548] ||  ||  || 6287653	-0.05	-0.12	-0.07	-0.03	0.09	0.34	0.29	0.41	0.22
A_01_P011407	||  || A_01_P011407 ||  || Homo sapiens UDP-glucose pyrophosphorylase 2 (UGP2), transcript variant 2, mRNA. [NM_001001521] ||  ||  || 6271368	-0.47	-0.44	-0.62	-0.03	-0.07	-0.15	-0.18	-0.34	-0.19
A_01_P019560	||  || A_01_P019560 ||  || Homo sapiens RFT1 homolog (S. cerevisiae) (RFT1), mRNA. [NM_052859] ||  ||  || 6271575	-0.22	-0.14	-0.27	-0.67	-0.55	-0.7	-0.68	-0.18	-0.65
A_01_P001572	||  || A_01_P001572 ||  || Homo sapiens NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase) (NDUFS5), mRNA [NM_004552] ||  ||  || 6280422	-0.16	-0.22	-0.02	0.23	0.44	0.3	0.45	0.39	-0.12
A_01_P015531	||  || A_01_P015531 ||  || PREDICTED: Macaca mulatta similar to Alpha-enolase (2-phospho-D-glycerate hydro-lyase) (Non-neural enolase) (NNE) (Enolase 1) (LOC717728), mRNA [XR_013712] ||  ||  || 6276690	-0.13	-0.17	-0.21	-0.4	-0.68	-0.5	-0.43	-0.44	-0.21
A_01_P009512	||  || A_01_P009512 ||  || Homo sapiens CD22 antigen (CD22), mRNA. [NM_001771] ||  ||  || 6279138	-0.3	-0.39	-0.61	-1.43	-1.65	-1.54	-0.62	-0.77	-1.76
A_01_P019337	||  || A_01_P019337 ||  || PREDICTED: Macaca mulatta similar to ankyrin repeat and sterile alpha motif domain containing 3 (LOC706182), mRNA [XR_012049] ||  ||  || 6288962	-1.4	-1.07	-1.13	-1.75	-2.13	-1.88	-1.9	-2.05	-1.83
A_01_P015322	||  || A_01_P015322 ||  || Homo sapiens striatin, calmodulin binding protein 4 (STRN4), mRNA. [NM_013403] ||  ||  || 6278511	0.19	0.12	0.21	-0.23	-0.05	-0.18	-0.24	-0.71	-0.1
A_01_P018065	||  || A_01_P018065 ||  || Homo sapiens hypothetical protein MGC33846 (MGC33846), mRNA [NM_175885] ||  ||  || 6278791	0.22	0.32	0.32	-0.06	-0.19	0.03	0.19	0.09	0.13
A_01_P019301	||  || A_01_P019301 ||  || Homo sapiens threonyl-tRNA synthetase (FLJ12528), mRNA [NM_025150] ||  ||  || 6270123	-1.15	-1.07	-0.98	-0.58	-0.55	-0.09	-0.51	-0.27	-1.02
A_01_P015571	||  || A_01_P015571 ||  || PREDICTED: Homo sapiens similar to nucleophosmin 1; nucleolar phosphoprotein B23; numatrin; nucleophosmin/nucleoplasmin family, member 1 (LOC440577), mRNA [XM_496355] ||  ||  || 6272649	0.25	0.36	0.17	0.3	0.59	0.81	0.69	0.6	0.68
A_01_P002276	||  || A_01_P002276 ||  || Homo sapiens sialyltransferase 7D ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) (SIAT7D), transcript variant 1, mRNA [NM_014403] ||  ||  || 6288694	-1.27	-1.58	-1.01	-0.24	-0.82	-0.18	-0.44	-0.54	0.45
A_01_P001228	||  || A_01_P001228 ||  || Homo sapiens prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) (PTGS2), mRNA [NM_000963] ||  ||  || 6271109	-3.73	-3.37	-3.07	-2.04	-3.17	-2.51	-1.63	-2.02	-1.95
A_01_P004144	||  || A_01_P004144 ||  || Homo sapiens eukaryotic translation elongation factor 1 alpha 1 (EEF1A1), mRNA [NM_001402] ||  ||  || 6289867	-1.47	-1.46	-1.37	-1.16	-0.68	-0.56	-0.56	-0.47	-1.32
A_01_P002071	||  || A_01_P002071 ||  || Homo sapiens beta-2-microglobulin (B2M), mRNA. [NM_004048] ||  ||  || 6275874	-1.65	-1.92	-1.57	-0.23	-0.45	-1.64	0.16	-0.18	-1.02
A_01_P002483	||  || A_01_P002483 ||  || Homo sapiens olfactory receptor, family 4, subfamily L, member 1 (OR4L1), mRNA. [NM_001004717] ||  ||  || 6284321	-0.45	-0.22	-0.16	0	0.91	0.99	1.71	0.37	0.56
A_01_P003479	||  || A_01_P003479 ||  || Homo sapiens NFKB inhibitor interacting Ras-like 2 (NKIRAS2), transcript variant 1, mRNA [NM_001001349] ||  ||  || 6288831	-0.07	-0.08	-0.11	-0.1	-0.28	-0.23	-0.31	-0.39	-0.23
A_01_P018325	||  || A_01_P018325 ||  || Homo sapiens ATP-binding cassette, sub-family G (WHITE), member 1 (ABCG1), transcript variant 4, mRNA. [NM_004915] ||  ||  || 6283445	0.8	1.15	0.93	0.18	0.72	-0.71	-0.23	0.14	0.4
A_01_P013549	||  || A_01_P013549 ||  || Homo sapiens chromosome 6 open reading frame 151 (C6orf151), mRNA. [NM_152551] ||  ||  || 6278859	-1.12	-0.8	-0.9	-0.25	-0.13	-0.63	-0.23	-0.48	-0.61
A_01_P018205	||  || A_01_P018205 ||  || PREDICTED: Macaca mulatta similar to eukaryotic translation elongation factor 1 delta isoform 1 (LOC697625), mRNA [XR_010309] ||  ||  || 6287213	-1.23	-1	-1.16	-0.93	-0.73	-0.76	-0.42	-0.76	-0.79
A_01_P003132	||  || A_01_P003132 ||  || Homo sapiens ribosomal protein L8 (RPL8), transcript variant 2, mRNA [NM_033301] ||  ||  || 6284918	-1.33	-1.21	-1.05	-0.73	0.05	-0.46	-0.14	-0.43	-1.12
A_01_P018056	||  || A_01_P018056 ||  || Homo sapiens FLJ46154 protein (FLJ46154), mRNA. [NM_198462] ||  ||  || 6277480	0.99	1.55	1.55	0	0.58	-0.05	0.88	0.2	0
A_01_P001030	||  || A_01_P001030 ||  || Homo sapiens tripartite motif-containing 14 (TRIM14), transcript variant 1, mRNA. [NM_014788] ||  ||  || 6282736	-1.68	-1.51	-1.78	-0.01	-0.36	-1.43	-0.7	-1.25	-0.67
A_01_P007082	||  || A_01_P007082 ||  || Homo sapiens histone 2, H2ab (HIST2H2AB), mRNA [NM_175065] ||  ||  || 6279498	1.1	0.77	1.57	-0.51	-0.12	-0.64	0.1	-0.64	0.49
A_01_P014244	||  || A_01_P014244 ||  || Homo sapiens LEM domain containing 2 (LEMD2), mRNA [NM_181336] ||  ||  || 6278855	0.44	0.36	0.36	-0.01	-0.05	0.25	0.1	0.24	0.29
A_01_P005143	||  || A_01_P005143 ||  || PREDICTED: Macaca mulatta similar to Trans-Golgi network integral membrane protein 2 precursor (Trans-Golgi network protein TGN51) (TGN46) (TGN48) (TGN38 homolog) (LOC694942), mRNA [XR_009902] ||  ||  || 6284585	0.71	0.84	0.95	0.64	0.37	0.6	0.39	0.31	-0.03
A_01_P013608	||  || A_01_P013608 ||  || Homo sapiens phosphoserine phosphatase (PSPH), mRNA [NM_004577] ||  ||  || 6278146	0.09	0.01	-0.1	0.3	0.73	0.19	0.43	0.17	0.58
A_01_P001035	||  || A_01_P001035 ||  || Homo sapiens phosphatidylserine receptor (PTDSR), mRNA [NM_015167] ||  ||  || 6284304	0.43	0.8	0.55	0	0	-0.36	-0.05	-0.28	-0.14
A_01_P001769	||  || A_01_P001769 ||  || Homo sapiens synaptophysin (SYP), mRNA [NM_003179] ||  ||  || 6292980	2.37	2.38	2.37	1.69	1.54	2.25	1.67	1.38	2.11
A_01_P008226	||  || A_01_P008226 ||  || Homo sapiens desmocollin 3 (DSC3), transcript variant Dsc3a, mRNA. [NM_001941] ||  ||  || 6276260	1.2	1.1	0.85	0.74	0.72	-0.36	-0.83	-0.15	-0.47
A_01_P003592	||  || A_01_P003592 ||  || ILLUMIGEN_MCQ_2342 Katze_MMLG Macaca mulatta cDNA 5 similar to human ITM2B (Hs.446450), mRNA sequence [CK231493] ||  ||  || 6287367	0.84	1.1	1.02	0.43	0.5	0.74	0.48	0.28	0.82
A_01_P008271	||  || A_01_P008271 ||  || Homo sapiens MIS12 homolog (yeast) (MIS12), mRNA. [NM_024039] ||  ||  || 6273117	-1.09	-0.73	-0.98	-0.47	-0.49	0.27	-0.62	-0.27	-0.19
A_01_P002755	||  || A_01_P002755 ||  || PREDICTED: Homo sapiens similar to ribosomal protein S2; 40S ribosomal protein S2 (LOC286444), mRNA [XM_208423] ||  ||  || 6291420	-1.73	-1.66	-1.49	-1.36	-0.92	-0.94	-0.57	-0.69	-1.52
A_01_P001434	||  || A_01_P001434 ||  || Homo sapiens coproporphyrinogen oxidase (CPOX), mRNA [NM_000097] ||  ||  || 6281818	-1.16	-1.51	-0.86	0.33	0.51	-0.36	-0.22	-0.98	0.73
A_01_P002326	||  || A_01_P002326 ||  || Homo sapiens coiled-coil domain containing 3 (CCDC3), mRNA. [NM_031455] ||  ||  || 6286632	0.14	-0.07	0.08	-0.8	-0.49	-0.16	-1.47	-1.73	-1
A_01_P000151	||  || A_01_P000151 ||  || ILLUMIGEN_MCQ_50856 Katze_MMIL Macaca mulatta cDNA clone IBIUW:18015 5 similar to Bases 5 to 879 highly similar to human C9orf10OS (Hs.350364), mRNA sequence [CO578964] ||  ||  || 6267928	-1.37	-1.49	-1.45	-1.86	-1.4	-1.95	-1.8	-1.76	-1.74
A_01_P015747	||  || A_01_P015747 ||  || PREDICTED: Macaca mulatta similar to transcription factor B2, mitochondrial (LOC710669), mRNA [XR_011737] ||  ||  || 6279507	-1.1	-1.22	-1.41	-0.33	-0.8	0.26	-0.89	-0.86	-0.27
A_01_P010024	||  || A_01_P010024 ||  || Homo sapiens hypothetical protein MGC40397 (MGC40397), mRNA. [NM_152318] ||  ||  || 6282569	-0.38	-0.3	-0.1	0.5	0.38	0	0.2	-0.11	0.34
A_01_P012901	||  || A_01_P012901 ||  || PREDICTED: Macaca mulatta similar to CG5645-PA (LOC713047), mRNA [XR_012668] ||  ||  || 6282967	-2.84	-2.23	-2.47	-1.79	-1.52	-1	-0.54	-2.05	-1.78
A_01_P012546	||  || A_01_P012546 ||  || Homo sapiens chromosome 17 open reading frame 32 (C17orf32), mRNA. [NM_152464] ||  ||  || 6277054	-0.25	0.03	0.11	-0.31	-0.54	-1.23	-0.79	-1.67	-1.87
A_01_P013509	||  || A_01_P013509 ||  || Homo sapiens amiloride binding protein 1 (amine oxidase (copper-containing)) (ABP1), mRNA. [NM_001091] ||  ||  || 6279630	2.15	2.11	2.34	1.76	1.09	1.66	2.1	1.42	1.75
A_01_P006549	||  || A_01_P006549 ||  || Homo sapiens hypothetical protein FLJ10305 (FLJ10305), mRNA [NM_018052] ||  ||  || 6288293	1.35	1.23	1.35	1.02	0.58	1	0.84	0.75	1.28
A_01_P004970	||  || A_01_P004970 ||  || Homo sapiens 5-azacytidine induced 2 (AZI2), transcript variant 2, mRNA [NM_203326] ||  ||  || 6287345	-1.97	-1.77	-2.21	-1.14	-0.23	-1.56	-1.51	-1.27	-0.32
A_01_P007830	||  || A_01_P007830 ||  || Homo sapiens mRNA; cDNA DKFZp779J1257 (from clone DKFZp779J1257) [BX649085] ||  ||  || 6284034	-1.44	-0.87	-1.13	0.03	-0.54	-0.51	0.02	0.07	-0.27
