Probe Set ID	Gene Symbol	Gene Title	CNR 72-4; linear fold change	CEF 72-4; linear fold change
GgaAffx.21456.1.S1_at	LOC422697	Hypothetical LOC422697	2.3	2.53
GgaAffx.12597.1.S1_at	RCJMB04_19b7	ubiquitin specific peptidase 1	2.3	2.04
Gga.13284.1.S1_at	---	Finished cDNA, clone ChEST975n18	2.27	2.31
Gga.2476.1.S1_at	HAT1	histone acetyltransferase 1	2.14	2.04
GgaAffx.3414.1.S1_at	RCJMB04_10p19	zinc finger, DHHC-type containing 21	2.13	2.31
Gga.13466.1.S1_at	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	2.13	2.06
Gga.7238.1.S1_s_at	RCJMB04_19j12	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	2.13	2.03
Gga.9212.1.S1_at	LOC422880	similar to RIKEN cDNA 2610033H07 gene	2.1	2.73
GgaAffx.11645.1.S1_at	RCJMB04_3d14	septin 6	2.1	2.08
Gga.9212.1.S1_s_at	LOC422880	similar to RIKEN cDNA 2610033H07 gene	2.06	2.45
Gga.19048.1.S1_at	ATAD3B	ATPase family, AAA domain containing 3B	2.06	2.04
Gga.8541.1.S1_at	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	2.04	2.45
GgaAffx.20470.1.S1_at	---	Finished cDNA, clone ChEST646l7	2.04	2.2
Gga.4942.1.S1_at	HSP70	heat shock protein 70	-2.08	-2.51
Gga.1132.1.S1_at	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	-2.1	-2.14
GgaAffx.23017.1.S1_at	---	---	-2.13	-2.3
Gga.14155.1.S1_at	TSPAN2	tetraspanin 2	-2.16	-2.03
GgaAffx.21171.1.S1_s_at	BTG2	BTG family, member 2	-2.17	-2.07
Gga.20.1.S2_at	---	---	-2.17	-3.14
Gga.4663.1.S1_at	PSPH	phosphoserine phosphatase	-2.2	-2.5
Gga.6213.1.S1_at	---	Finished cDNA, clone ChEST296l24	-2.25	-2.27
Gga.4168.1.S1_at	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	-2.28	-2.89
Gga.4588.1.S1_at	CDKN1B	Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	-2.41	-2.08
GgaAffx.20596.1.S1_at	---	Finished cDNA, clone ChEST698h14	-2.46	-2.08
Gga.8904.1.S1_at	---	Transcribed locus	-2.48	-3.66
GgaAffx.11918.1.S1_s_at	MXD4	MAX dimerization protein 4	-2.58	-3.48
Gga.10110.1.S1_at	---	Finished cDNA, clone ChEST992o1	-2.97	-2.14
Gga.9317.1.S1_at	---	Transcribed locus	-2.99	-2
GgaAffx.4585.1.S1_at	LOC422293	hypothetical LOC422293	-3.12	-2.25
Gga.16921.1.S1_at	---	---	-3.34	-2.83
GgaAffx.10088.2.A1_s_at	LOC421839	similar to putative serine protease 35	-3.56	-3.48
GgaAffx.13119.1.S1_s_at	RCJMB04_32i2	ribosomal protein S14	-3.92	-2.38
Gga.13838.1.S1_at	---	Finished cDNA, clone ChEST64i7	-4.14	-5.58
Gga.13235.1.S1_at	---	Finished cDNA, clone ChEST56g13	-4.29	-2.39
Gga.5933.1.S1_at	---	Transcribed locus	-4.53	-2.01
GgaAffx.21413.1.S1_s_at	---	Finished cDNA, clone ChEST629c13	-4.99	-4.17
GgaAffx.23826.7.S1_s_at	RCJMB04_18a15	PDZ and LIM domain 5	-5.06	-2.11
Gga.4724.1.S2_at	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	-5.21	-3.05
GgaAffx.10088.1.S1_at	LOC421839	similar to putative serine protease 35	-5.46	-4.11
Gga.1663.1.S1_s_at	LHFP	lipoma HMGIC fusion partner	-8.11	-2.68
Gga.3109.1.A1_s_at	RCJMB04_2f9	selenoprotein P, plasma, 1	-8.94	-3.12
GgaAffx.11541.1.S1_at	RCJMB04_2f9	selenoprotein P, plasma, 1	-10.78	-3.34
Gga.837.1.S1_a_at	NPY	neuropeptide Y	-20.39	-3.86
Gga.4536.2.S1_a_at	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	-20.82	-2.1
