Curated Gene Symbol	FeatureNumber	GeneName	siCTNNB1	siBRG1	siP300	siMLLT10	Description
PDZD2	41982	PDZD2	-1.542	0.562	1.113	0.166	PDZ domain containing 2 (PDZD2), mRNA [NM_178140]
TSPAN5	27106	TSPAN5	-1.54	0.015	-0.163	-0.027	Homo sapiens cDNA FLJ31097 fis, clone IMR321000210. [AK055659]
LRIG1	43585	LRIG1	-1.521	0.323	-0.09	-0.201	leucine-rich repeats and immunoglobulin-like domains 1 (LRIG1), mRNA [NM_015541]
PRTFDC1	17154	PRTFDC1	-1.519	0.282	0.406	0.051	phosphoribosyl transferase domain containing 1 (PRTFDC1), mRNA [NM_020200]
PHLDA1	9665	PHLDA1	-1.514	0.509	0.266	-0.243	pleckstrin homology-like domain, family A, member 1 (PHLDA1), mRNA [NM_007350]
MPP5	35637	MPP5	-1.514	0.268	-0.128	-0.256	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) (MPP5), mRNA [NM_022474]
PNMA5	26437	PNMA5	-1.51	0.122	0.557	-0.535	paraneoplastic antigen like 5 (PNMA5), transcript variant 3, mRNA [NM_052926]
RFC3	2106	RFC3	-1.503	-0.389	-0.306	-0.047	replication factor C (activator 1) 3, 38kDa (RFC3), transcript variant 1, mRNA [NM_002915]
	73	CN479126	-1.488	0.262	0.304	0.123	CN479126 UI-CF-FN0-afv-i-22-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-afv-i-22-0-UI 3, mRNA sequence [CN479126]
TSPAN5	37661	TSPAN5	-1.487	-0.125	-0.354	-0.102	tetraspanin 5 (TSPAN5), mRNA [NM_005723]
SORBS1	9944	SORBS1	-1.483	0.718	-0.249	-0.29	sorbin and SH3 domain containing 1 (SORBS1), transcript variant 3, mRNA [NM_001034954]
	42524	AK027667	-1.474	-0.195	0.356	-0.142	Homo sapiens cDNA FLJ14761 fis, clone NT2RP3003302. [AK027667]
SLC7A5	2090	SLC7A5	-1.47	0.384	0.918	-0.319	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 (SLC7A5), mRNA [NM_003486]
	3250	AW946823	-1.463	0.72	-0.278	-0.109	AW946823 RC2-ET0022-080500-012-b10 ET0022 Homo sapiens cDNA, mRNA sequence [AW946823]
CYP4X1	10714	CYP4X1	-1.461	0.14	0.105	0.123	cytochrome P450, family 4, subfamily X, polypeptide 1 (CYP4X1), mRNA [NM_178033]
MPP5	33727	MPP5	-1.459	-0.398	-0.06	-0.282	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) (MPP5), mRNA [NM_022474]
LEF1	31973	LEF1	-1.456	-0.112	0.416	0.512	lymphoid enhancer-binding factor 1 (LEF1), mRNA [NM_016269]
GAS5	25897	GAS5	-1.412	0.038	-0.262	-0.11	growth arrest-specific 5 (GAS5) on chromosome 1 [NR_002578]
ZNF473	5810	ZNF473	-1.4	0.252	0.129	-0.178	zinc finger protein 473 (ZNF473), transcript variant 1, mRNA [NM_015428]
HS3ST1	738	HS3ST1	-1.397	0.151	-0.327	-0.293	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 (HS3ST1), mRNA [NM_005114]
NELF	8860	NELF	-1.385	-0.196	-0.096	0.009	nasal embryonic LHRH factor (NELF), mRNA [NM_015537]
C18orf54	34534	C18orf54	-1.376	0.072	0.683	0.01	chromosome 18 open reading frame 54 (C18orf54), mRNA [NM_173529]
CDK6	39302	CDK6	-1.374	0.358	-0.083	-1.012	cyclin-dependent kinase 6 (CDK6), mRNA [NM_001259]
AP1S2	30093	AP1S2	-1.364	0.202	-0.033	-0.085	adaptor-related protein complex 1, sigma 2 subunit (AP1S2), mRNA [NM_003916]
KLHDC4	20719	KLHDC4	-1.357	0.596	0.949	-0.433	Homo sapiens unknown mRNA. [AY251274]
	29151	LOC91461	-1.352	1.169	-0.265	-0.265	hypothetical protein BC007901 (LOC91461), mRNA [NM_138370]
TCF7	34803	TCF7	-1.344	0.126	0.154	-0.109	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
	7038	AK025975	-1.343	-0.46	-0.641	0.147	Homo sapiens cDNA: FLJ22322 fis, clone HRC05532. [AK025975]
GEMIN5	708	GEMIN5	-1.338	-0.291	-0.794	0.171	gem (nuclear organelle) associated protein 5 (GEMIN5), mRNA [NM_015465]
TCF7	17939	TCF7	-1.333	-0.003	0.07	-0.036	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
	41675	AL547890	-1.33	0.098	-0.21	-0.107	AL547890 AL547890 Homo sapiens PLACENTA COT 25-NORMALIZED Homo sapiens cDNA clone CS0DI033YB09 5-PRIME, mRNA sequence [AL547890]
GLS2	41125	GLS2	-1.329	-0.779	-0.581	-0.206	glutaminase 2 (liver, mitochondrial) (GLS2), nuclear gene encoding mitochondrial protein, mRNA [NM_013267]
NOTCH1	19966	NOTCH1	-1.327	0.422	0.249	-0.183	Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA [NM_017617]
	21757	ZAK	-1.324	0.164	0.467	0.117	sterile alpha motif and leucine zipper containing kinase AZK (ZAK), transcript variant 2, mRNA [NM_133646]
ZZZ3	19775	ZZZ3	-1.323	0.114	0.037	-0.031	zinc finger, ZZ-type containing 3 (ZZZ3), mRNA [NM_015534]
NOTCH1	4684	NOTCH1	-1.318	0.275	0.263	-0.273	Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA [NM_017617]
	12458	THC2504848	-1.312	-0.396	0.117	-0.041	Q15142_HUMAN (Q15142) Polycystic kidney disease-associated protein, partial (5%) [THC2504848]
	13688	THC2713242	-1.312	0.116	-0.096	-0.216	Unknown
TCF7	10246	TCF7	-1.31	-0.031	0.027	-0.176	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
KIAA1549	25332	KIAA1549	-1.301	0.034	0.33	-0.094	KIAA1549 protein (KIAA1549), mRNA [NM_020910]
TMEM80	6659	TMEM80	-1.298	-0.322	0.933	-0.238	transmembrane protein 80 (TMEM80), transcript variant 2, mRNA [NM_001042463]
	4501	THC2516781	-1.294	0.269	0.172	-0.28	Unknown
STARD13	40703	STARD13	-1.294	0.228	0.007	-0.158	StAR-related lipid transfer (START) domain containing 13 (STARD13), transcript variant alpha, mRNA [NM_178006]
NOTCH1	8146	NOTCH1	-1.288	0.345	0.158	-0.112	Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA [NM_017617]
CDK6	28438	CDK6	-1.288	0.32	0.149	-0.737	cyclin-dependent kinase 6 (CDK6), mRNA [NM_001259]
	38667	THC2652817	-1.28	-0.006	0.258	0.334	Unknown
	32037	CR609948	-1.277	-0.12	-0.014	0.019	full-length cDNA clone CS0DH006YD11 of T cells (Jurkat cell line) of Homo sapiens (human). [CR609948]
KITLG	2626	KITLG	-1.275	0.176	-0.132	0.243	KIT ligand (KITLG), transcript variant b, mRNA [NM_000899]
	37407	THC2495068	-1.255	-0.204	-0.025	-0.075	TWST1_GORGO (Q8MI06) Twist-related protein 1, partial (8%) [THC2495068]
LSM7	23784	LSM7	-1.253	0.21	-0.125	-0.142	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae) (LSM7), mRNA [NM_016199]
	34902	AW327568	-1.247	0.087	-0.033	-0.108	AW327568 dq04b07.y1 NIH_MGC_2 Homo sapiens cDNA clone IMAGE:2846557 3, mRNA sequence [AW327568]
TSNARE1	31060	TSNARE1	-1.247	-0.009	0.295	-0.411	Homo sapiens t-SNARE domain containing 1, mRNA (cDNA clone IMAGE:5768818), partial cds. [BC065226]
AMER1	13676	FAM123B	-1.241	0.206	-0.147	-0.05	family with sequence similarity 123B (FAM123B), mRNA [NM_152424]
RAB15	16238	RAB15	-1.24	0.327	-0.222	-0.21	RAB15, member RAS onocogene family (RAB15), mRNA [NM_198686]
	33552	THC2565422	-1.238	0.004	-0.376	-0.026	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (3%) [THC2565422]
	26167	ENST00000341154	-1.233	-0.304	0.113	0.177	FUS-interacting serine-arginine-rich protein 1 (TLS-associated protein with Ser-Arg repeats) (TLS-associated protein with SR repeats) (TASR) (TLS-associated serine-arginine protein) (TLS-associated SR protein) (40 kDa SR-repressor protein) (SRrp40) (S
RBBP6	8685	RBBP6	-1.233	0.204	0.112	0.176	retinoblastoma binding protein 6 (RBBP6), transcript variant 3, mRNA [NM_032626]
NFKBIA	19860	NFKBIA	-1.229	0.291	0.249	0.086	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha (NFKBIA), mRNA [NM_020529]
PLA2G4A	9826	PLA2G4A	-1.225	-0.119	0.055	0.028	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
	37728	THC2726281	-1.225	-0.042	0.175	0.299	P97868_MOUSE (P97868) Proliferation potential-related protein, partial (4%) [THC2726281]
PLA2G4A	36430	PLA2G4A	-1.221	-0.147	-0.024	-0.056	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
PLA2G4A	34482	PLA2G4A	-1.22	-0.129	0.05	-0.002	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
PLA2G4A	26333	PLA2G4A	-1.22	-0.149	0.03	-0.026	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
TCF7	27807	TCF7	-1.214	0.079	0.105	-0.053	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
EPHA4	33890	EPHA4	-1.212	-0.169	-0.241	-0.077	EPH receptor A4 (EPHA4), mRNA [NM_004438]
MYC	21744	MYC	-1.211	-0.6	-1.244	-0.283	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
TCF7	23801	TCF7	-1.211	0.05	0.062	-0.169	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
PLA2G4A	32321	PLA2G4A	-1.207	-0.08	0.048	0.032	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
MEST	37876	MEST	-1.204	0.135	-0.71	-0.245	mesoderm specific transcript homolog (mouse) (MEST), transcript variant 1, mRNA [NM_002402]
ALDH1B1	37406	ALDH1B1	-1.203	-0.391	-0.459	-0.313	aldehyde dehydrogenase 1 family, member B1 (ALDH1B1), nuclear gene encoding mitochondrial protein, mRNA [NM_000692]
LAMP3	36136	LAMP3	-1.195	0.043	0.473	0.167	lysosomal-associated membrane protein 3 (LAMP3), mRNA [NM_014398]
MYC	20376	MYC	-1.195	-0.597	-1.221	-0.291	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
FAM216A	44818	C12orf24	-1.192	0.024	-0.391	-0.015	chromosome 12 open reading frame 24 (C12orf24), mRNA [NM_013300]
RFXAP	38442	RFXAP	-1.191	-0.121	0.011	-0.071	regulatory factor X-associated protein (RFXAP), mRNA [NM_000538]
PLA2G4A	32554	PLA2G4A	-1.189	-0.159	-0.075	-0.028	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
GPT2	39644	GPT2	-1.189	-0.701	-0.274	-0.056	glutamic pyruvate transaminase (alanine aminotransferase) 2 (GPT2), mRNA [NM_133443]
ALDH1B1	29701	ALDH1B1	-1.188	-0.469	-0.387	-0.236	aldehyde dehydrogenase 1 family, member B1 (ALDH1B1), nuclear gene encoding mitochondrial protein, mRNA [NM_000692]
	7396	THC2693923	-1.187	0.54	0.236	-0.202	AY175578 antibody variable domain {Oryctolagus cuniculus} (exp=-1; wgp=0; cg=0), partial (11%) [THC2693923]
KRTAP3-2	21686	KRTAP3-2	-1.186	-1.927	-2.407	-0.498	keratin associated protein 3-2 (KRTAP3-2), mRNA [NM_031959]
MYC	29154	MYC	-1.186	-0.547	-1.194	-0.236	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
PLA2G4A	2201	PLA2G4A	-1.185	-0.132	0.002	-0.007	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
PLA2G4A	17171	PLA2G4A	-1.183	-0.162	-0.026	-0.033	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
PLA2G4A	41084	PLA2G4A	-1.181	-0.06	0.068	0.078	phospholipase A2, group IVA (cytosolic, calcium-dependent) (PLA2G4A), mRNA [NM_024420]
TCF7	35566	TCF7	-1.177	-0.127	0.018	-0.186	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
ZNRF3	1524	ZNRF3	-1.177	-0.163	-0.113	-0.085	zinc and ring finger 3 (ZNRF3), mRNA [NM_032173]
TNPO1	9734	TNPO1	-1.172	0.068	-0.256	-0.122	transportin 1 (TNPO1), transcript variant 1, mRNA [NM_002270]
TCF7	30104	TCF7	-1.17	-0.067	0.154	-0.049	transcription factor 7 (T-cell specific, HMG-box) (TCF7), transcript variant 1, mRNA [NM_003202]
ADH5	8004	ADH5	-1.17	0.095	0.172	0.005	alcohol dehydrogenase 5 (class III), chi polypeptide (ADH5), mRNA [NM_000671]
	40077	AK094874	-1.168	--	--	--	Homo sapiens cDNA FLJ37555 fis, clone BRCAN2028460. [AK094874]
MYC	19376	MYC	-1.168	-0.613	-1.259	-0.293	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
MORN4	26676	C10orf83	-1.164	0.366	0.04	-0.157	Homo sapiens chromosome 10 open reading frame 83, mRNA (cDNA clone IMAGE:4690584), complete cds. [BC022054]
ZNF711	16231	ZNF711	-1.163	0.229	0.247	-0.202	zinc finger protein 711 (ZNF711), mRNA [NM_021998]
STXBP6	36424	STXBP6	-1.161	-0.178	-0.406	-0.235	syntaxin binding protein 6 (amisyn) (STXBP6), mRNA [NM_014178]
MYC	10360	MYC	-1.159	-0.581	-1.27	-0.233	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
DUSP2	3124	DUSP2	-1.157	-0.499	-0.734	-0.085	dual specificity phosphatase 2 (DUSP2), mRNA [NM_004418]
SNAI3	37656	SNAI3	-1.156	-0.276	0.064	-0.053	snail homolog 3 (Drosophila) (SNAI3), mRNA [NM_178310]
SLC3A2	21868	SLC3A2	-1.155	0.263	0.563	-0.212	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 (SLC3A2), transcript variant 1, mRNA [NM_001012661]
MYC	39735	MYC	-1.154	-0.593	-1.267	-0.328	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
BRCA2	42687	BRCA2	-1.151	--	--	--	breast cancer 2, early onset (BRCA2), mRNA [NM_000059]
BAI1	23941	BAI1	-1.15	0.058	0.461	-0.461	brain-specific angiogenesis inhibitor 1 (BAI1), mRNA [NM_001702]
MYC	7313	MYC	-1.149	-0.63	-1.259	-0.265	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
MYC	6084	MYC	-1.149	-0.608	-1.277	-0.306	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
MYRIP	43798	MYRIP	-1.144	0.213	-0.482	-0.256	myosin VIIA and Rab interacting protein (MYRIP), mRNA [NM_015460]
	6804	THC2552657	-1.143	0.042	-0.026	-0.357	AY211924 sarcoma antigen NY-SAR-84 {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (22%) [THC2552657]
MYC	7098	MYC	-1.143	-0.637	-1.287	-0.252	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
C2orf44	44557	C2orf44	-1.141	-0.07	0.319	-0.047	chromosome 2 open reading frame 44 (C2orf44), mRNA [NM_025203]
ANXA9	10780	ANXA9	-1.139	0.007	-0.687	-0.094	annexin A9 (ANXA9), mRNA [NM_003568]
SNHG1	7606	SNHG1	-1.134	-0.045	-0.101	-0.022	small nucleolar RNA host gene (non-protein coding) 1 (SNHG1) on chromosome 11 [NR_003098]
NOTCH1	44478	NOTCH1	-1.134	0.29	0.185	-0.326	Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA [NM_017617]
MMD	4555	MMD	-1.132	-0.168	0.167	-0.123	monocyte to macrophage differentiation-associated (MMD), mRNA [NM_012329]
MYC	36321	MYC	-1.126	-0.585	-1.28	-0.309	v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]
KIF20B	39548	MPHOSPH1	-1.117	-0.199	0.317	-0.143	M-phase phosphoprotein 1 (MPHOSPH1), mRNA [NM_016195]
PDZD8	37105	PDZD8	-1.117	0.06	0.131	-0.074	PDZ domain containing 8 (PDZD8), mRNA [NM_173791]
BRCA2	40112	BRCA2	-1.114	--	--	--	breast cancer 2, early onset (BRCA2), mRNA [NM_000059]
SNAI1	1390	SNAI1	-1.113	-0.395	-0.138	-0.166	snail homolog 1 (Drosophila) (SNAI1), mRNA [NM_005985]
