Probe set	Genbank	Gene Symbol	Nevi-Mean	Nevi-StdErr	Melanoma-Mean	Melanoma-StdErr	p-value	Description
201423_s_at	AL037208	CUL4A	67.56	4.63	92.51	8.24	1.74E-04	cullin 4A
201428_at	NM_001305	CLDN4	394.44	45.86	108.01	13.81	1.57E-04	claudin 4
201470_at	NM_004832	GSTO1	330.19	26.44	820.41	79.07	1.98E-04	glutathione S-transferase omega 1
201556_s_at	BC002737	VAMP2	816.64	46.55	374.33	37.79	2.46E-06	vesicle-associated membrane protein 2 (synaptobrevin 2)
201565_s_at	NM_002166	ID2	302.26	41.96	63.72	9.93	6.36E-05	inhibitor of DNA binding 2
201603_at	AI817061	PPP1R12A	243.4	16.62	388.04	25.47	3.85E-05	protein phosphatase 1, regulatory (inhibitor) subunit 12A
201605_x_at	NM_004368	CNN2	335.6	19.03	173.58	10.47	1.51E-05	calponin 2
201674_s_at	BC000729	AKAP1	63.69	5.9	18.03	3.83	1.68E-04	A kinase (PRKA) anchor protein 1
201739_at	NM_005627	SGK	2806.1	150.55	5196.49	323.88	1.23E-04	serum/glucocorticoid regulated kinase
201745_at	NM_002822	PTK9	93.82	7.82	202.86	20.72	3.29E-05	PTK9 protein tyrosine kinase 9
201792_at	NM_001129	AEBP1	593.99	98.78	2247.34	259.27	8.60E-05	AE binding protein 1
201945_at	NM_002569	FURIN	534.63	53.88	197.37	32.99	4.31E-05	furin (paired basic amino acid cleaving enzyme)
201976_s_at	NM_012334	MYO10	548.2	30.76	1083.45	83.87	1.54E-04	myosin X
202088_at	AI635449	SLC39A6	433.84	35.97	1152.25	84.2	6.31E-05	solute carrier family 39 (zinc transporter), member 6
202142_at	BC003090	COPS8	35.76	5.4	83.18	9.09	1.56E-04	COP9 constitutive photomorphogenic homolog subunit 8
202158_s_at	NM_006561	CUGBP2	44.46	9.61	176.72	19.61	7.89E-05	CUG triplet repeat, RNA binding protein 2
202249_s_at	AU146233	WDR42A	235.82	14.36	163.01	21.45	2.29E-04	WD repeat domain 42A
202307_s_at	NM_000593	TAP1	73.46	5.4	161.66	18.18	2.08E-04	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
202370_s_at	NM_001755	CBFB	144.37	13.05	198.16	20.44	9.97E-05	core-binding factor, beta subunit
202426_s_at	BE675800	RXRA	88.17	8.14	37.36	2.63	1.21E-05	retinoid X receptor, alpha
202450_s_at	NM_000396	CTSK	72.84	9.69	286.3	43.78	4.40E-06	cathepsin K (pycnodysostosis)
202478_at	NM_021643	TRIB2	181.01	49.12	888.22	91.35	2.22E-08	tribbles homolog 2 (Drosophila)
202479_s_at	BC002637	TRIB2	120.79	28.52	531.08	66.94	1.54E-04	tribbles homolog 2 (Drosophila)
202571_s_at	BE550798	DLGAP4	269.98	22.86	103.99	20.3	9.03E-06	discs, large (Drosophila) homolog-associated protein 4
202572_s_at	NM_014902	DLGAP4	386.81	26.15	220.17	26.8	4.89E-05	discs, large (Drosophila) homolog-associated protein 4
202589_at	NM_001071	TYMS	45.64	5.55	101.47	15.82	5.65E-05	thymidylate synthetase
202609_at	NM_004447	EPS8	33.75	7.37	115.18	18.65	4.63E-05	epidermal growth factor receptor pathway substrate 8
202651_at	NM_014873	LPGAT1	37.3	3.75	106.76	10.67	1.88E-04	lysophosphatidylglycerol acyltransferase 1
202723_s_at	AW117498	FOXO1A	43.1	4.27	13.53	2.24	2.14E-04	forkhead box O1A (rhabdomyosarcoma)
202734_at	NM_004240	TRIP10	136.98	16.29	64.24	10.59	7.96E-05	thyroid hormone receptor interactor 10
202755_s_at	AI354864	GPC1	65.37	5.47	34.32	2	9.97E-05	glypican 1
202879_s_at	AI798823	PSCD1	73.03	6.51	42.88	5.78	1.98E-04	pleckstrin homology, Sec7 and coiled-coil domains 1
202984_s_at	AA457021	BAG5	101.97	6.07	49.21	4.78	2.90E-05	BCL2-associated athanogene 5
203004_s_at	NM_005920	MEF2D	24.9	3.15	12.75	2.12	2.69E-04	MADS box transcription enhancer factor 2, polypeptide D
203011_at	NM_005536	IMPA1	23.41	2.3	69.74	8.39	1.36E-04	inositol(myo)-1(or 4)-monophosphatase 1
203217_s_at	NM_003896	ST3GAL5	47.73	11.12	253.5	31.94	1.78E-05	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
203329_at	NM_002845	PTPRM	13.51	3.12	67.84	8.55	8.41E-05	protein tyrosine phosphatase, receptor type, M
203455_s_at	NM_002970	SAT	867.3	117.46	3602.58	239.9	3.59E-05	spermidine/spermine N1-acetyltransferase
203603_s_at	NM_014795	ZFHX1B	61.21	15.9	311.12	35.03	8.53E-06	zinc finger homeobox 1b
203735_x_at	N35896	PPFIBP1	1051.06	53.76	720.76	25.77	8.66E-06	PTPRF interacting protein, binding protein 1 (liprin beta 1)
203753_at	NM_003199	TCF4	378.5	39.02	100.3	17.7	9.97E-05	transcription factor 4
203842_s_at	NM_012326	MAPRE3	138.29	15.89	34.99	4.07	9.97E-05	microtubule-associated protein, RP/EB family, member 3
203875_at	NM_003069	SMARCA1	20.33	2.31	51.92	5.79	2.32E-04	SMARCA1
204014_at	NM_001394	DUSP4	104.15	35.6	604.41	111.04	9.18E-05	dual specificity phosphatase 4
204040_at	NM_014746	RNF144	18.61	2.14	67.2	8.33	1.23E-04	ring finger protein 144
204086_at	NM_006115	PRAME	7.54	1.8	40.93	6.11	1.44E-06	preferentially expressed antigen in melanoma
204131_s_at	N25732	FOXO3A	897.07	60.13	410.22	47.56	1.37E-04	forkhead box O3A
204252_at	M68520	CDK2	95.42	8.68	286.46	24.74	1.04E-04	cyclin-dependent kinase 2
204271_s_at	M74921	EDNRB	385.4	106.32	2757.37	286.01	1.25E-09	endothelin receptor type B
204273_at	NM_000115	EDNRB	34.53	9.26	252.46	37.2	1.47E-05	endothelin receptor type B
204415_at	NM_022873	G1P3	55.39	20.85	277.26	46.54	6.30E-05	interferon, alpha-inducible protein (clone IFI-6-16)
204466_s_at	BG260394	SNCA	57.67	18	312.95	39.29	1.67E-06	synuclein, alpha (non A4 component of amyloid precursor)
204470_at	NM_001511	CXCL1	29.15	15.59	326.34	60.65	3.33E-06	chemokine (C-X-C motif) ligand 1
204527_at	NM_000259	MYO5A	43.13	6.08	141.26	15.81	4.04E-07	myosin VA (heavy polypeptide 12, myoxin)
205051_s_at	NM_000222	KIT	111.95	24.27	926.32	91.49	8.58E-09	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
205260_s_at	NM_001107	ACYP1	87.4	13.65	126.82	16.15	4.51E-05	acylphosphatase 1, erythrocyte (common) type
205337_at	AL139318	DCT	136.26	31.55	904.21	95.61	1.97E-07	dopachrome delta-isomerase, tyrosine-related protein 2
205338_s_at	NM_001922	DCT	289.43	78.08	1375.54	144.57	8.48E-06	dopachrome delta-isomerase, tyrosine-related protein 2
205471_s_at	AW772082	DACH1	59.96	5.66	12.51	3.03	2.13E-04	dachshund homolog 1 (Drosophila)
205681_at	NM_004049	BCL2A1	23.59	6.12	191.78	28.24	1.56E-05	BCL2-related protein A1
205694_at	NM_000550	TYRP1	453.71	96.83	3032.08	198.23	1.69E-07	tyrosinase-related protein 1
205709_s_at	NM_001263	CDS1	157.24	20.18	44.38	10.32	2.17E-05	CDP-diacylglycerol synthase 1
205853_at	NM_015872	ZBTB7B	23.55	1.34	15.92	0.81	2.06E-05	zinc finger and BTB domain containing 7B
206180_x_at	NM_023931	MGC2474	374.29	27.72	203.26	10.6	2.17E-05	hypothetical protein MGC2474
206332_s_at	NM_005531	IFI16	209.44	13.79	636.64	53.96	3.72E-05	interferon, gamma-inducible protein 16
206376_at	NM_018057	SLC6A15	15.83	3.47	118.09	16.25	2.51E-06	solute carrier family 6, member 15
206426_at	NM_005511	MLANA	74.63	19.47	390.86	38.09	5.28E-06	melan-A
206427_s_at	U06654	MLANA	454.3	105.95	2958.89	232.89	5.97E-08	melan-A
206479_at	NM_002420	TRPM1	31.94	9.24	185.18	26.35	5.26E-05	transient receptor potential cation channel, subfamily M, member 1
206630_at	NM_000372	TYR	161.63	44.47	1557.17	190.41	5.97E-08	tyrosinase (oculocutaneous albinism IA)
206665_s_at	NM_001191	BCL2L1	815.91	87.49	180.28	27.57	1.23E-04	BCL2-like 1
206696_at	NM_000273	GPR143	42.45	10.84	291.54	43.33	3.70E-06	G protein-coupled receptor 143
206701_x_at	NM_003991	EDNRB	97.32	30.82	622.88	90.02	1.06E-08	endothelin receptor type B
206898_at	NM_021153	CDH19	12.12	2.35	74.21	14.6	2.23E-04	cadherin 19, type 2
207469_s_at	NM_003662	PIR	44.59	5.03	169.82	29.74	2.73E-04	pirin (iron-binding nuclear protein)
207826_s_at	NM_002167	ID3	42.38	2.73	18	1.05	1.37E-05	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
207827_x_at	L36675	SNCA	429.31	45.75	1629.97	163.96	5.99E-06	synuclein, alpha (non A4 component of amyloid precursor)
208073_x_at	NM_003316	TTC3	829.04	46.89	2365.96	180.22	3.50E-05	tetratricopeptide repeat domain 3
208079_s_at	NM_003158	STK6	101.06	25.23	281.26	43.91	2.73E-04	serine/threonine kinase 6
208089_s_at	NM_030794	TDRD3	43.53	5.1	147.71	21.47	1.54E-04	tudor domain containing 3 ; tudor domain containing 3
208738_x_at	AK024823	SUMO2	1255.22	48.09	958.83	63.14	1.26E-05	SMT3 suppressor of mif two 3 homolog 2 (yeast)
208750_s_at	AA580004	ARF1	512.13	36.91	244.5	31.96	1.64E-04	ADP-ribosylation factor 1
208788_at	AL136939	ELOVL5	36.72	4.5	149.99	18.56	1.58E-05	ELOVL family member 5
208966_x_at	AF208043	IFI16	312.66	22.16	1029.38	87.75	2.00E-05	interferon, gamma-inducible protein 16
209000_s_at	BC001329	SEPT8	400.44	31.3	204.32	28.57	3.45E-05	septin 8
209002_s_at	BC003177	CALCOCO1	776.17	55.24	382.96	53.35	1.88E-04	calcium binding and coiled-coil domain 1
209023_s_at	BC001765	STAG2	225.77	14.59	139.32	11.13	2.19E-04	stromal antigen 2
209058_at	AB002282	EDF1	1145.69	68.22	404.32	38.59	3.50E-05	endothelial differentiation-related factor 1
209120_at	AL037401	NR2F2	17.88	2.46	169.79	29.27	1.05E-06	nuclear receptor subfamily 2, group F, member 2
209135_at	AF289489	ASPH	349	22.97	738.91	52.33	9.58E-05	aspartate beta-hydroxylase
209168_at	AW148844	GPM6B	50.25	7.43	175.28	18.56	1.69E-07	glycoprotein M6B
209172_s_at	U30872	CENPF	18.5	2.9	55.09	9.94	1.88E-04	centromere protein F, 350/400ka (mitosin)
209199_s_at	N22468	MEF2C	7.11	0.92	37.01	7.09	1.20E-04	MADS box transcription enhancer factor 2, polypeptide C
209204_at	AI824831	LMO4	36.37	3.82	12.63	0.51	2.70E-04	LIM domain only 4
209230_s_at	AF135266	P8	968.08	58	251.42	29.81	1.24E-04	p8 protein (candidate of metastasis 1)
209234_at	BF939474	KIF1B	752.31	42.75	394	38.98	4.18E-05	kinesin family member 1B
209238_at	BE966922	STX3A	58.81	6.06	90.71	10.26	2.32E-06	syntaxin 3A
209241_x_at	AB041926	MINK1	35.94	2.28	23.3	1.93	9.97E-05	misshapen-like kinase 1 (zebrafish)
209295_at	AF016266	TNFRSF10B	118.02	27.34	567.39	65.81	2.54E-05	tumor necrosis factor receptor superfamily, member 10b
209392_at	L35594	ENPP2	126.37	35.26	657.99	103.5	1.73E-05	ectonucleotide pyrophosphatase/phosphodiesterase 2
209442_x_at	AL136710	ANK3	403.32	26.87	118.13	15.52	1.04E-04	ankyrin 3, node of Ranvier (ankyrin G)
209514_s_at	BE502030	RAB27A	90.54	10.86	410.18	50.07	2.00E-05	RAB27A, member RAS oncogene family
209515_s_at	U38654	RAB27A	51.79	7.74	156.8	17.09	3.72E-05	RAB27A, member RAS oncogene family
209686_at	BC001766	S100B	61.84	18.46	548.08	100.81	4.31E-05	S100 calcium binding protein, beta (neural)
209780_at	AL136883	PHTF2	374.25	24.36	743.29	49.95	2.70E-04	putative homeodomain transcription factor 2
209814_at	BC004421	ZNF330	349.02	28.65	703.05	50.98	1.24E-04	zinc finger protein 330
209842_at	AI367319	SOX10	46.22	11.63	286.76	34.84	5.80E-05	SRY (sex determining region Y)-box 10
209848_s_at	U01874	SILV	246.05	58.54	1673.61	193.76	3.05E-07	silver homolog (mouse)
209867_s_at	AF307080	LPHN3	166.58	17.41	29.24	5.3	1.36E-04	latrophilin 3
209953_s_at	U63131	CDC37	61.43	5.73	32.46	3.7	5.99E-06	CDC37 cell division cycle 37 homolog (S. cerevisiae)
210020_x_at	M58026	CALML3	1841.79	196.75	326.59	47.71	1.90E-04	calmodulin-like 3
210086_at	AF039196	HR	478.98	40.67	94.45	12.33	8.99E-05	hairless homolog (mouse)
210139_s_at	L03203	PMP22	68.16	8.33	228	26.84	7.66E-05	peripheral myelin protein 22
210198_s_at	BC002665	PLP1	40.67	11.55	233.17	28.92	3.73E-07	proteolipid protein 1
210495_x_at	AF130095	FN1	11.46	2.9	132.12	40.65	3.65E-05	fibronectin 1
210519_s_at	BC000906	NQO1	13.23	2.27	44.34	7.68	9.97E-05	NAD(P)H dehydrogenase, quinone 1
210592_s_at	M55580	SAT	885.24	140.83	3578.58	281.98	1.21E-05	spermidine/spermine N1-acetyltransferase
210645_s_at	D83077	TTC3	425.73	24.98	1167.96	92.66	1.60E-04	tetratricopeptide repeat domain 3
210852_s_at	AF229180	AASS	35.01	3.17	91.87	11.78	1.29E-05	aminoadipate-semialdehyde synthase
210951_x_at	AF125393	RAB27A	86.21	10.75	400.09	44.52	4.15E-05	RAB27A, member RAS oncogene family
210958_s_at	BC003646	MAST4	179.96	14.38	71.63	6	2.66E-04	microtubule associated serine/threonine kinase family member 4
211075_s_at	Z25521	CD47	87.38	11.66	213.2	31.74	1.56E-04	CD47 antigen
211084_x_at	Z25429	PRKD3	69.08	12.36	197.63	23.77	4.90E-05	protein kinase D3 ; protein kinase D3
211340_s_at	M28882	MCAM	18.83	3.55	44.03	6.47	2.81E-04	melanoma cell adhesion molecule
211347_at	AF064105	CDC14B	100.33	9.39	310.91	35.14	1.02E-05	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
211348_s_at	AF064105	CDC14B	203.94	16.16	550.28	52.39	2.04E-05	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
211388_s_at	U80761		325.06	23.06	141.78	23.32	4.31E-05	Homo sapiens CTG26 alternate open reading frame mRNA, complete cd
211538_s_at	U56725	HSPA2	1545.89	82	507.86	53.77	9.97E-05	heat shock 70kDa protein 2
211546_x_at	L36674	SNCA	78.25	9.01	293.34	30.2	7.11E-06	synuclein, alpha (non A4 component of amyloid precursor)
211622_s_at	M33384	ARF3	545.17	34.16	265.17	28.2	2.61E-04	ADP-ribosylation factor 3 ; ADP-ribosylation factor 3
211719_x_at	BC005858	FN1	14.76	3.92	207.28	58.36	2.02E-05	fibronectin 1 ; fibronectin 1
211905_s_at	AF011375	ITGB4	95.72	15.39	35.32	3.47	2.02E-04	integrin, beta 4
211948_x_at	BG261071	BAT2D1	212.8	13.59	366.41	31.34	4.39E-06	BAT2 domain containing 1
212038_s_at	AL515918	VDAC1	963.19	52.79	1257.05	81.82	1.26E-05	voltage-dependent anion channel 1
212110_at	D31887	SLC39A14	22.98	2.67	48.82	6.98	2.61E-04	solute carrier family 39 (zinc transporter), member 14
212122_at	AW771590	RHOQ	12.92	1.2	40.17	6.02	2.39E-04	ras homolog gene family, member Q ; similar to ARHQ protein
212138_at	AK021757	SCC-112	104.48	6.84	165.96	15.2	8.66E-06	SCC-112 protein
212144_at	AL021707	UNC84B	1278.3	129.59	340.86	55.66	1.74E-04	unc-84 homolog B (C. elegans)
212382_at	BF433429	TCF4	575.38	52.61	100.45	18.44	6.39E-05	Transcription factor 4
212464_s_at	X02761	FN1	11.96	3.14	175.95	56.89	6.56E-05	fibronectin 1
212632_at	N32035	STX7	133.55	14.22	336.21	32.66	1.37E-05	Syntaxin 7
212664_at	AL567012	TUBB4	58.38	19.25	391.99	75.04	4.71E-05	tubulin, beta 4
212667_at	AL575922	SPARC	20.06	3.63	116.04	20.29	1.57E-04	secreted protein, acidic, cysteine-rich (osteonectin)
212672_at	U82828	ATM	24.34	3.01	89.62	12.44	1.20E-04	ataxia telangiectasia mutated
212788_x_at	BG537190	FTL	753.73	64.06	1733.34	193.96	1.45E-04	ferritin, light polypeptide
212810_s_at	W72527	SLC1A4	257.48	42.53	884.99	116.63	2.46E-05	solute carrier family 1, member 4
212820_at	AB020663	DMXL2	27.25	3.79	138.39	22.41	1.87E-04	Dmx-like 2
212829_at	BE878277		21.9	2.88	89.63	14.05	8.60E-05	CDNA FLJ13267 fis, clone OVARC1000964
212959_s_at	AK001821	GNPTAB	44.61	4.86	179.07	20.64	2.46E-05	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
212969_x_at	BE222618	EML3	107.85	5.82	70.2	4.38	1.74E-04	echinoderm microtubule associated protein like 3
213007_at	W74442	FLJ10719	27.73	3.53	53.46	5.7	5.21E-05	hypothetical protein FLJ10719
213035_at	AI081194	ANKRD28	9.27	0.77	44.76	6.6	5.60E-05	ankyrin repeat domain 28
213092_x_at	AW241779	DNAJC9	26.91	1.69	48.05	4.1	2.01E-04	DnaJ (Hsp40) homolog, subfamily C, member 9
213119_at	AW058600	SLC36A1	110.04	6.95	168	11.54	1.14E-05	solute carrier family 36 (proton/amino acid symporter), member 1
213133_s_at	AW237404	GCSH	169.97	14.11	229.71	18.66	1.67E-04	glycine cleavage system protein H (aminomethyl carrier)
213146_at	AA521267	JMJD3	231.66	13.18	102.86	8.34	4.90E-05	jumonji domain containing 3
213217_at	AU149572	ADCY2	7.91	0.88	58.75	8.34	2.54E-05	adenylate cyclase 2 (brain)
213241_at	AF035307	PLXNC1	60.63	15.24	313.16	37.61	3.35E-05	plexin C1
213272_s_at	AF070596	LOC57146	65.47	4.85	15.82	1.95	2.70E-05	promethin
213361_at	AW129593	TDRD7	45.49	7.26	143.22	21.59	2.46E-04	tudor domain containing 7
213517_at	AW103422	PCBP2	117.6	8.51	55.16	4.96	2.08E-04	Poly(rC) binding protein 2
213688_at	N25325	CALM1	205.48	14.33	88.78	10.39	1.72E-04	calmodulin 1 (phosphorylase kinase, delta)
213755_s_at	BF431501	SKI	112.4	11.96	53.14	7.92	2.23E-04	v-ski sarcoma viral oncogene homolog
213774_s_at	AW614578	PPP1R2	375.02	62.56	115.75	34.44	2.08E-04	protein phosphatase 1, regulatory (inhibitor) subunit 2
213813_x_at	AI345238	FTL	1274.39	105.25	3731.65	401.91	1.15E-04	Ferritin, light polypeptide
213862_at	AI979087	PNPLA2	99.62	14.97	55.8	12.72	5.27E-05	Patatin-like phospholipase domain containing 2
213881_x_at	AI971724	SUMO2	1493.94	61.76	1141.59	74.2	1.01E-04	SMT3 suppressor of mif two 3 homolog 2 (yeast)
213988_s_at	BE971383	SAT	105.26	32.78	446.3	60.72	1.48E-04	spermidine/spermine N1-acetyltransferase
214321_at	BF440025	NOV	11.18	3.33	220.99	97.44	8.82E-05	nephroblastoma overexpressed gene
214410_at	N32151	TRPM1	20.4	7.27	108.54	14.79	1.31E-04	Transient receptor potential cation channel, subfamily M, member 1
214453_s_at	NM_006417	IFI44	18.46	7.15	190.74	32.59	2.10E-05	interferon-induced protein 44
214469_at	NM_021052	HIST1H2AE	522.82	52.34	186.08	26.62	2.47E-04	histone 1, H2ae
214681_at	AI830490	GK	49.4	9.48	171.99	18.1	1.89E-06	glycerol kinase
214792_x_at	AI955119	VAMP2	871.59	53.49	426.61	32.77	1.24E-06	vesicle-associated membrane protein 2 (synaptobrevin 2)
214807_at	AI278204		527.49	32.99	220.72	29.15	7.34E-05	MRNA; cDNA DKFZp564O0862 (from clone DKFZp564O0862)
214894_x_at	AK023285	MACF1	426.01	26.33	122.61	10.21	1.29E-04	microtubule-actin crosslinking factor 1
214925_s_at	AK026484	SPTAN1	433.67	30.79	176.01	17.48	2.36E-04	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
215222_x_at	AK023406	MACF1	443.02	30.31	113.88	11.83	1.24E-04	microtubule-actin crosslinking factor 1
215695_s_at	U94357	GYG2	251.79	67.89	1687.61	204.46	5.51E-06	glycogenin 2
215904_at	AL049698	MLLT4	255.92	27.14	85.72	15.7	1.48E-04	myeloid/lymphoid or mixed-lineage leukemia translocated to, 4
216036_x_at	AK001734	WDTC1	111.48	8.41	49.13	4.38	8.69E-06	WD and tetratricopeptide repeats 1
216242_x_at	AW402635	POLR2J2	291.47	15.6	169.93	9.14	2.79E-05	DNA directed RNA polymerase II polypeptide J-related gene
216442_x_at	AK026737	FN1	10.29	2.47	127.58	40.54	4.43E-05	fibronectin 1
216479_at	AL356414	RPL21	26.99	1.11	21.7	0.95	1.56E-04	ribosomal protein L21
216512_s_at	AL139318	DCT	190.44	52.03	760.26	83.19	7.59E-06	dopachrome delta-isomerase, tyrosine-related protein 2
216513_at	AL139318	DCT	53.51	13.72	309.49	41.51	7.59E-06	dopachrome delta-isomerase, tyrosine-related protein 2
216874_at	U80770		8.33	1.08	74.43	11.38	9.97E-05	Homo sapiens, clone IMAGE:5538654, mRNA
216877_at	U80770		19.01	3.37	134.21	20.09	7.59E-06	Homo sapiens, clone IMAGE:5538654, mRNA
217230_at	AF199015	VIL2	630.45	41.62	327.22	41.02	1.13E-04	villin 2 (ezrin)
217409_at	Z22957	MYO5A	26.87	4.03	122.54	17.8	1.29E-04	myosin VA (heavy polypeptide 12, myoxin)
217432_s_at	AF179281	IDS	129.43	12.66	54.09	9.91	1.41E-04	iduronate 2-sulfatase (Hunter syndrome)
217503_at	AA203487	STK17B	37.24	5.18	14.58	2.38	2.75E-04	serine/threonine kinase 17b
217738_at	BF575514	PBEF1	41.75	8.88	175.46	18.24	7.90E-06	pre-B-cell colony enhancing factor 1
217739_s_at	NM_005746	PBEF1	95.25	12.5	337.55	33.17	8.07E-05	pre-B-cell colony enhancing factor 1
217991_x_at	NM_018070	SSBP3	119.4	10.52	22.41	2.14	3.29E-05	single stranded DNA binding protein 3
217996_at	AA576961	PHLDA1	71.43	11.66	414.92	57.87	9.57E-07	pleckstrin homology-like domain, family A, member 1
217998_at	NM_007350	PHLDA1	195.83	24.96	581.8	61.74	1.41E-04	pleckstrin homology-like domain, family A, member 1
217999_s_at	NM_007350		17.4	2.22	57.34	8.11	9.58E-05	CDNA clone IMAGE:5531727
218010_x_at	NM_024299	C20orf149	141.93	14.42	58.3	4.88	2.11E-05	chromosome 20 open reading frame 149
218095_s_at	NM_018475	TPARL	32.55	2.45	83.11	8.73	1.69E-04	TPA regulated locus
218102_at	NM_015954	DERA	162.6	12.73	346.79	38.57	2.85E-05	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)
218143_s_at	NM_005697	SCAMP2	1295.02	86.34	356.49	41.64	1.60E-04	secretory carrier membrane protein 2
218192_at	NM_016291	IHPK2	368.35	16.09	195.04	18.07	2.15E-04	inositol hexaphosphate kinase 2
218196_at	NM_014028	OSTM1	89.38	13.7	376.2	45.78	1.92E-05	osteopetrosis associated transmembrane protein 1
218205_s_at	NM_017572	MKNK2	2670.86	142.33	1559.75	133.21	2.70E-04	MAP kinase interacting serine/threonine kinase 2
218208_at	NM_025078	PQLC1	1103.67	59.96	732.21	72.65	1.24E-04	PQ loop repeat containing 1
218211_s_at	NM_024101	MLPH	57.6	12	631.58	83.27	4.71E-07	melanophilin
218236_s_at	NM_005813	PRKD3	24.39	4.25	132.78	18.24	1.80E-04	protein kinase D3
218350_s_at	NM_015895	GMNN	46.99	6.35	132.49	20.75	1.67E-04	geminin, DNA replication inhibitor
218398_at	NM_016640	MRPS30	56.5	3.64	93.16	6.79	4.51E-05	mitochondrial ribosomal protein S30
218400_at	NM_006187	OAS3	17.63	4.85	50.55	7.78	8.36E-05	2-5-oligoadenylate synthetase 3, 100kDa
218402_s_at	NM_022081	HPS4	61.1	5.3	89.29	8.09	2.86E-05	Hermansky-Pudlak syndrome 4
218417_s_at	NM_017842	FLJ20489	65.13	6.87	11.13	1.18	5.80E-05	hypothetical protein FLJ20489
218419_s_at	NM_024107	MGC3123	280.66	24.83	123.22	10.34	4.81E-05	hypothetical protein MGC3123
