ProbeID	gene	Status	F	P.Value	adj.P.Val
241074_at	Transcribed locus, strongly similar to XP_946484.1 PREDICTED: similar to Ig heavy chain V-II region ARH-77 precursor [Homo sapiens]	Up	21.305725	1.72E-26	7.71E-22
205471_s_at	DACH1: dachshund homolog 1 (Drosophila)	Down	21.255011	1.91E-26	8.54E-22
203799_at	CD302: CD302 molecule	Down	21.199844	2.14E-26	9.56E-22
218469_at	GREM1: gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	Down	20.723281	5.68E-26	2.54E-21
226496_at	ZCCHC7: zinc finger, CCHC domain containing 7	Up	20.717202	5.75E-26	2.57E-21
210997_at	HGF: hepatocyte growth factor (hepapoietin A; scatter factor)	Down	20.633458	6.84E-26	3.05E-21
205899_at	CCNA1: cyclin A1	Down	20.607025	7.22E-26	3.23E-21
241833_at	Full length insert cDNA clone YY86C01	Up	20.520044	8.65E-26	3.86E-21
201596_x_at	KRT18: keratin 18	Down	20.483907	9.32E-26	4.17E-21
206804_at	CD3G: CD3g molecule, gamma (CD3-TCR complex)	Up	20.475659	9.48E-26	4.24E-21
213193_x_at	TRBC1 /// TRBV19: T cell receptor beta variable 19 /// T cell receptor beta constant 1	Up	20.438724	1.02E-25	4.58E-21
210998_s_at	HGF: hepatocyte growth factor (hepapoietin A; scatter factor)	Down	20.437186	1.03E-25	4.59E-21
203948_s_at	MPO: myeloperoxidase	Down	20.316836	1.32E-25	5.9E-21
227242_s_at	EBF3: early B-cell factor 3	Down	20.199482	1.69E-25	7.54E-21
206761_at	CD96: CD96 molecule	Up	19.858957	3.46E-25	1.55E-20
236892_s_at	LOC404266: Hypothetical LOC404266	Down	19.748835	4.37E-25	1.95E-20
213844_at	HOXA5: homeobox A5	Up	19.74269	4.43E-25	1.98E-20
209169_at	GPM6B: glycoprotein M6B	Down	19.713028	4.72E-25	2.11E-20
209212_s_at	KLF5: Kruppel-like factor 5 (intestinal)	Down	19.69169	4.94E-25	2.21E-20
229029_at	Transcribed locus	Up	19.682621	5.04E-25	2.25E-20
212285_s_at	AGRN: agrin	Down	19.647713	5.42E-25	2.42E-20
203949_at	MPO: myeloperoxidase	Down	19.535259	6.9E-25	3.08E-20
220068_at	VPREB3: pre-B lymphocyte gene 3	Down	19.480919	7.75E-25	3.46E-20
226184_at	FMNL2: formin-like 2	Down	19.456983	8.16E-25	3.64E-20
204890_s_at	LCK: lymphocyte-specific protein tyrosine kinase	Up	19.374154	9.75E-25	4.35E-20
214203_s_at	PRODH: proline dehydrogenase (oxidase) 1	Down	19.281202	1.19E-24	5.32E-20
214032_at	ZAP70: zeta-chain (TCR) associated protein kinase 70kDa	Up	19.155712	1.56E-24	6.98E-20
214551_s_at	CD7: CD7 molecule	Up	18.936931	2.51E-24	1.12E-19
219090_at	SLC24A3: solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	Up	18.908595	2.67E-24	1.19E-19
202242_at	TSPAN7: tetraspanin 7	Up	18.899659	2.73E-24	1.22E-19
238071_at	LCN10: lipocalin 10	Down	18.88343	2.83E-24	1.26E-19
205297_s_at	CD79B: CD79b molecule, immunoglobulin-associated beta	Down	18.7626	3.68E-24	1.64E-19
210487_at	DNTT: deoxynucleotidyltransferase, terminal	Up	18.730172	3.95E-24	1.77E-19
204112_s_at	HNMT: histamine N-methyltransferase	Down	18.697595	4.25E-24	1.9E-19
210033_s_at	SPAG6: sperm associated antigen 6	Up	18.696729	4.25E-24	1.9E-19
203908_at	SLC4A4: solute carrier family 4, sodium bicarbonate cotransporter, member 4	Up	18.673628	4.48E-24	2E-19
208791_at	CLU: clusterin	Down	18.653186	4.68E-24	2.09E-19
244280_at	Homo sapiens, clone IMAGE:5583725, mRNA	Down	18.634155	4.88E-24	2.18E-19
231183_s_at	JAG1: Jagged 1 (Alagille syndrome)	Down	18.629875	4.93E-24	2.2E-19
205267_at	POU2AF1: POU class 2 associating factor 1	Up	18.561141	5.74E-24	2.56E-19
203372_s_at	SOCS2: suppressor of cytokine signaling 2	Down	18.558603	5.77E-24	2.58E-19
215784_at	CD1E: CD1e molecule	Down	18.497102	6.61E-24	2.95E-19
229168_at	COL23A1: collagen, type XXIII, alpha 1	Down	18.468136	7.05E-24	3.15E-19
235597_s_at	RGPD1 /// RGPD2 /// RGPD3: RANBP2-like and GRIP domain containing 1 /// RANBP2-like and GRIP domain containing 3 /// RANBP2-like and GRIP domain containing 2	Up	18.434991	7.58E-24	3.39E-19
227243_s_at	EBF3: early B-cell factor 3	Down	18.408811	8.04E-24	3.59E-19
209098_s_at	JAG1: jagged 1 (Alagille syndrome)	Down	18.377063	8.62E-24	3.85E-19
235278_at	MACROD2: MACRO domain containing 2	Down	18.291032	1.04E-23	4.66E-19
57588_at	SLC24A3: solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	Up	18.264347	1.11E-23	4.95E-19
210448_s_at	P2RX5: purinergic receptor P2X, ligand-gated ion channel, 5	Up	18.172293	1.36E-23	6.08E-19
206749_at	CD1B: CD1b molecule	Up	17.967437	2.16E-23	9.62E-19
224724_at	SULF2: sulfatase 2	Down	17.793044	3.19E-23	1.43E-18
204777_s_at	MAL: mal, T-cell differentiation protein	Up	17.790706	3.21E-23	1.43E-18
244261_at	IL28RA: interleukin 28 receptor, alpha (interferon, lambda receptor)	Down	17.779689	3.29E-23	1.47E-18
209772_s_at	CD24: CD24 molecule	Down	17.776473	3.32E-23	1.48E-18
203796_s_at	BCL7A: B-cell CLL/lymphoma 7A	Up	17.772733	3.35E-23	1.49E-18
231175_at	C6orf65: chromosome 6 open reading frame 65	Down	17.728057	3.7E-23	1.65E-18
242172_at	MEIS1: Meis homeobox 1	Up	17.686079	4.07E-23	1.82E-18
219229_at	SLCO3A1: solute carrier organic anion transporter family, member 3A1	Down	17.683897	4.09E-23	1.83E-18
211404_s_at	APLP2: amyloid beta (A4) precursor-like protein 2	Down	17.664658	4.28E-23	1.91E-18
231935_at	ARPP-21: cyclic AMP-regulated phosphoprotein, 21 kD	Up	17.626793	4.66E-23	2.08E-18
227326_at	MXRA7: matrix-remodelling associated 7	Down	17.598196	4.97E-23	2.22E-18
218718_at	PDGFC: platelet derived growth factor C	Down	17.544276	5.62E-23	2.51E-18
214450_at	CTSW: cathepsin W	Up	17.54156	5.66E-23	2.53E-18
201506_at	TGFBI: transforming growth factor, beta-induced, 68kDa	Down	17.50493	6.15E-23	2.75E-18
242686_at	STARD13: StAR-related lipid transfer (START) domain containing 13	Down	17.496078	6.28E-23	2.8E-18
203591_s_at	CSF3R: colony stimulating factor 3 receptor (granulocyte)	Down	17.453229	6.93E-23	3.09E-18
228580_at	HTRA3: HtrA serine peptidase 3	Down	17.450031	6.98E-23	3.11E-18
211210_x_at	SH2D1A: SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	Up	17.378519	8.22E-23	3.67E-18
232204_at	EBF1: early B-cell factor 1	Down	17.352724	8.72E-23	3.89E-18
208650_s_at	CD24: CD24 molecule	Down	17.323012	9.34E-23	4.17E-18
219332_at	MICALL2: MICAL-like 2	Down	17.234486	1.15E-22	5.11E-18
224839_s_at	GPT2: glutamic pyruvate transaminase (alanine aminotransferase) 2	Down	17.17559	1.31E-22	5.85E-18
228365_at	CPNE8: copine VIII	Down	17.144191	1.41E-22	6.29E-18
208792_s_at	CLU: clusterin	Down	17.13851	1.43E-22	6.38E-18
230332_at	ZCCHC7: Zinc finger, CCHC domain containing 7	Down	17.121698	1.49E-22	6.63E-18
211748_x_at	PTGDS: prostaglandin D2 synthase 21kDa (brain)	Down	17.098013	1.57E-22	7E-18
213380_x_at	MSTP9: macrophage stimulating, pseudogene 9	Up	17.066321	1.69E-22	7.54E-18
209686_at	S100B: S100 calcium binding protein B	Down	17.057579	1.72E-22	7.69E-18
221898_at	PDPN: podoplanin	Down	17.055718	1.73E-22	7.72E-18
205076_s_at	MTMR11: myotubularin related protein 11	Down	17.015243	1.9E-22	8.49E-18
244876_at	Hs.191950.0	Down	16.983814	2.05E-22	9.13E-18
218847_at	IGF2BP2: insulin-like growth factor 2 mRNA binding protein 2	Down	16.943146	2.25E-22	1E-17
204581_at	CD22: CD22 molecule	Down	16.940819	2.26E-22	1.01E-17
206682_at	CLEC10A: C-type lectin domain family 10, member A	Down	16.899587	2.49E-22	1.11E-17
212187_x_at	PTGDS: prostaglandin D2 synthase 21kDa (brain)	Down	16.896889	2.51E-22	1.12E-17
233555_s_at	SULF2: sulfatase 2	Down	16.894232	2.52E-22	1.12E-17
243780_at	CDNA FLJ46553 fis, clone THYMU3038879	Down	16.852014	2.78E-22	1.24E-17
211663_x_at	PTGDS: prostaglandin D2 synthase 21kDa (brain)	Down	16.840317	2.86E-22	1.28E-17
204561_x_at	APOC2: apolipoprotein C-II	Down	16.837395	2.88E-22	1.28E-17
204674_at	LRMP: lymphoid-restricted membrane protein	Down	16.822645	2.98E-22	1.33E-17
240546_at	LOC389043: hypothetical gene supported by AK125982; BC042817	Up	16.810173	3.07E-22	1.37E-17
200984_s_at	CD59: CD59 molecule, complement regulatory protein	Up	16.787729	3.23E-22	1.44E-17
209500_x_at	TNFSF12-TNFSF13 /// TNFSF13: tumor necrosis factor (ligand) superfamily, member 13 /// TNFSF12-TNFSF13	Down	16.782634	3.27E-22	1.46E-17
203795_s_at	BCL7A: B-cell CLL/lymphoma 7A	Up	16.712765	3.86E-22	1.72E-17
209191_at	TUBB6: tubulin, beta 6	Down	16.573978	5.34E-22	2.38E-17
220449_at	MGC5566: hypothetical protein MGC5566	Up	16.567007	5.43E-22	2.42E-17
224480_s_at	MAG1: lung cancer metastasis-associated protein	Down	16.55507	5.59E-22	2.49E-17
35974_at	LRMP: lymphoid-restricted membrane protein	Down	16.510165	6.21E-22	2.77E-17
200985_s_at	CD59: CD59 molecule, complement regulatory protein	Down	16.474746	6.76E-22	3.01E-17
228915_at	DACH1: dachshund homolog 1 (Drosophila)	Down	16.469669	6.84E-22	3.05E-17
210314_x_at	TNFSF12-TNFSF13 /// TNFSF13: tumor necrosis factor (ligand) superfamily, member 13 /// TNFSF12-TNFSF13	Down	16.436379	7.4E-22	3.3E-17
203973_s_at	CEBPD: CCAAT/enhancer binding protein (C/EBP), delta	Down	16.391653	8.23E-22	3.67E-17
219528_s_at	BCL11B: B-cell CLL/lymphoma 11B (zinc finger protein)	Up	16.371803	8.63E-22	3.85E-17
202723_s_at	FOXO1: forkhead box O1	Down	16.36374	8.79E-22	3.92E-17
218824_at	PNMAL1: PNMA-like 1	Down	16.362682	8.81E-22	3.93E-17
205639_at	AOAH: acyloxyacyl hydrolase (neutrophil)	Down	16.357046	8.93E-22	3.98E-17
204122_at	TYROBP: TYRO protein tyrosine kinase binding protein	Down	16.343773	9.22E-22	4.11E-17
208702_x_at	APLP2: amyloid beta (A4) precursor-like protein 2	Down	16.333955	9.44E-22	4.21E-17
241871_at	CAMK4: calcium/calmodulin-dependent protein kinase IV	Up	16.317122	9.82E-22	4.38E-17
235522_at	CLEC2D: C-type lectin domain family 2, member D	Up	16.224401	1.23E-21	5.46E-17
226764_at	LOC152485: hypothetical protein LOC152485	Up	16.213281	1.26E-21	5.61E-17
214875_x_at	APLP2: amyloid beta (A4) precursor-like protein 2	Down	16.191852	1.32E-21	5.9E-17
233138_at	C18orf1: chromosome 18 open reading frame 1	Up	16.180525	1.36E-21	6.06E-17
209696_at	FBP1: fructose-1,6-bisphosphatase 1	Down	16.171228	1.39E-21	6.2E-17
226841_at	MPEG1: macrophage expressed gene 1	Down	16.133413	1.52E-21	6.79E-17
220132_s_at	CLEC2D: C-type lectin domain family 2, member D	Down	16.129786	1.54E-21	6.85E-17
209975_at	CYP2E1: cytochrome P450, family 2, subfamily E, polypeptide 1	Up	16.072485	1.76E-21	7.86E-17
202747_s_at	ITM2A: integral membrane protein 2A	Up	16.015767	2.02E-21	9E-17
217419_x_at	AGRN: agrin	Down	16.001757	2.09E-21	9.31E-17
200986_at	SERPING1: serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	Down	15.985224	2.17E-21	9.69E-17
215102_at	DPY19L1P1: dpy-19-like 1 pseudogene 1 (C. elegans)	Down	15.939672	2.43E-21	1.08E-16
220558_x_at	TSPAN32: tetraspanin 32	Up	15.928743	2.49E-21	1.11E-16
231050_at	HRASLS5: HRAS-like suppressor family, member 5	Down	15.872628	2.85E-21	1.27E-16
266_s_at	CD24: CD24 molecule	Down	15.871711	2.86E-21	1.27E-16
207604_s_at	SLC4A7: solute carrier family 4, sodium bicarbonate cotransporter, member 7	Up	15.839598	3.09E-21	1.38E-16
211066_x_at	PCDHGA1 /// PCDHGA10 /// PCDHGA11 /// PCDHGA12 /// PCDHGA2 /// PCDHGA3 /// PCDHGA4 /// PCDHGA5 /// PCDHGA6 /// PCDHGA7 /// PCDHGA8 /// PCDHGA9 /// PCDHGB1 /// PCDHGB2 /// PCDHGB3 /// PCDHGB4 /// PCDHGB5 /// PCDHGB6 /// PCDHGB7 /// PCDHGC3 /// PCDHGC4 /// PCDHGC5: protocadherin gamma subfamily C, 3 /// protocadherin gamma subfamily B, 4 /// protocadherin gamma subfamily A, 8 /// protocadherin gamma subfamily A, 12 /// protocadherin gamma subfamily C, 5 /// protocadherin gamma subfamily C, 4 /// protocadherin gamma subfamily B, 7 /// protocadherin gamma subfamily B, 6 /// protocadherin gamma subfamily B, 5 /// protocadherin gamma subfamily B, 3 /// protocadherin gamma subfamily B, 2 /// protocadherin gamma subfamily B, 1 /// protocadherin gamma subfamily A, 11 /// protocadherin gamma subfamily A, 10 /// protocadherin gamma subfamily A, 9 /// protocadherin gamma subfamily A, 7 /// protocadherin gamma subfamily A, 6 /// protocadherin gamma subfamily A, 5 /// protocadherin gamma subfamily A, 4 /// protocadherin gamma subfamily A, 3 /// protocadherin gamma subfamily A, 2 /// protocadherin gamma subfamily A, 1	Down	15.81806	3.25E-21	1.45E-16
208651_x_at	CD24: CD24 molecule	Down	15.816779	3.26E-21	1.45E-16
204529_s_at	TOX: thymocyte selection-associated high mobility group box	Up	15.785416	3.52E-21	1.57E-16
206506_s_at	SUPT3H: suppressor of Ty 3 homolog (S. cerevisiae)	Up	15.775837	3.6E-21	1.61E-16
223703_at	C10orf11: chromosome 10 open reading frame 11	Down	15.750307	3.84E-21	1.71E-16
203471_s_at	PLEK: pleckstrin	Down	15.706256	4.27E-21	1.9E-16
210794_s_at	MEG3: maternally expressed 3	Down	15.691065	4.43E-21	1.97E-16
239791_at	LOC404266: Hypothetical LOC404266	Down	15.681782	4.53E-21	2.02E-16
221581_s_at	LAT2: linker for activation of T cells family, member 2	Up	15.679481	4.56E-21	2.03E-16
226818_at	MPEG1: macrophage expressed gene 1	Down	15.647321	4.93E-21	2.19E-16
205997_at	ADAM28: ADAM metallopeptidase domain 28	Down	15.645306	4.95E-21	2.21E-16
210031_at	CD247: CD247 molecule	Up	15.644332	4.96E-21	2.21E-16
221286_s_at	MGC29506: hypothetical protein MGC29506	Up	15.62506	5.2E-21	2.32E-16
204852_s_at	PTPN7: protein tyrosine phosphatase, non-receptor type 7	Up	15.580813	5.79E-21	2.58E-16
203373_at	SOCS2: suppressor of cytokine signaling 2	Down	15.551018	6.23E-21	2.78E-16
34726_at	CACNB3: calcium channel, voltage-dependent, beta 3 subunit	Up	15.537633	6.44E-21	2.87E-16
219686_at	STK32B: serine/threonine kinase 32B	Down	15.519647	6.73E-21	3E-16
227046_at	SLC39A11: solute carrier family 39 (metal ion transporter), member 11	Down	15.510269	6.88E-21	3.07E-16
51192_at	SSH3: slingshot homolog 3 (Drosophila)	Down	15.491983	7.2E-21	3.21E-16
228174_at	Transcribed locus, strongly similar to NP_001028856.1 chaperonin subunit 6a (zeta) [Rattus norvegicus]	Up	15.47356	7.53E-21	3.36E-16
239785_at	DZIP1L: DAZ interacting protein 1-like	Down	15.470867	7.58E-21	3.38E-16
213908_at	WHDC1L1: WAS protein homology region 2 domain containing 1-like 1	Down	15.455591	7.87E-21	3.51E-16
205020_s_at	ARL4A: ADP-ribosylation factor-like 4A	Down	15.449653	7.99E-21	3.56E-16
207802_at	CRISP3: cysteine-rich secretory protein 3	Down	15.441215	8.15E-21	3.63E-16
222288_at	Transcribed locus, moderately similar to XP_947146.1 PREDICTED: similar to piwi-like 2 [Homo sapiens]	Up	15.422299	8.54E-21	3.8E-16
205472_s_at	DACH1: dachshund homolog 1 (Drosophila)	Down	15.419548	8.6E-21	3.83E-16
218486_at	KLF11: Kruppel-like factor 11	Down	15.40288	8.96E-21	3.99E-16
225032_at	FNDC3B: fibronectin type III domain containing 3B	Down	15.37394	9.62E-21	4.28E-16
235753_at	HOXA7: homeobox A7	Up	15.359102	9.98E-21	4.44E-16
225962_at	ZNRF1: zinc and ring finger 1	Up	15.333849	1.06E-20	4.73E-16
235818_at	VSTM1: V-set and transmembrane domain containing 1	Down	15.316651	1.11E-20	4.93E-16
212509_s_at	MXRA7: matrix-remodelling associated 7	Down	15.310248	1.13E-20	5.01E-16
224794_s_at	CERCAM: cerebral endothelial cell adhesion molecule	Up	15.251497	1.3E-20	5.79E-16
219241_x_at	SSH3: slingshot homolog 3 (Drosophila)	Down	15.229283	1.37E-20	6.12E-16
203932_at	HLA-DMB: major histocompatibility complex, class II, DM beta	Down	15.217555	1.41E-20	6.3E-16
218436_at	SIL1: SIL1 homolog, endoplasmic reticulum chaperone (S. cerevisiae)	Down	15.193183	1.5E-20	6.69E-16
