Symbol	Description	WT Value	WT+GW Value	PDK1 Value	PDK1+GW Value	WT+GWvsWT Fold Change	PDK1vsWT Fold Change	PDK1+GWvsWT Fold Change
Myh2	myosin, heavy polypeptide 2, skeletal muscle, adult	50.4	52.4	614.9	26.2	1.03968254	12.20039683	-1.923664122
Myh4	myosin, heavy polypeptide 4, skeletal muscle	4564	3605.6	14203.3	601.2	-1.265808742	3.112028922	-7.591483699
Myh8	myosin, heavy polypeptide 8, skeletal muscle, perinatal	309.7	240.3	1258	61.9	-1.28880566	4.061995479	-5.003231018
Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle	3502.3	3056.7	10232.8	540.4	-1.145778127	2.921737144	-6.480940044
Myom2	myomesin 2	285.1	206	1170.7	44	-1.383980583	4.106278499	-6.479545455
Myoz1	myozenin 1	534.5	514.2	1841.4	177.5	-1.039478802	3.445088868	-3.011267606
Neb	nebulin	325.6	255.4	1775.2	58.6	-1.27486296	5.452088452	-5.556313993
Nsg2	neuron specific gene family member 2	304.6	253.7	83.6	157	-1.200630666	-3.64354067	-1.940127389
Pdhb	pyruvate dehydrogenase (lipoamide) beta	116.2	367.3	250.2	237.5	3.160929432	2.153184165	2.043889845
Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	2491.5	6485.5	5267.4	6254.5	2.603050371	2.114148104	2.510335139
Pgam2	phosphoglycerate mutase 2	508.5	368.9	1899.2	24.3	-1.378422337	3.734906588	-20.92592593
Pvalb	parvalbumin	2160.2	1594.9	6745.5	192	-1.354442285	3.122627534	-11.25104167
Pygm	muscle glycogen phosphorylase	420.6	371.7	1491.6	92.6	-1.131557708	3.54636234	-4.542116631
Rhbdd3	rhomboid domain containing 3	139	418.1	63.2	498.9	3.007913669	-2.199367089	3.589208633
Rpl3l	ribosomal protein L3-like	110.4	96.1	361.3	8.7	-1.14880333	3.272644928	-12.68965517
Rspo1	R-spondin homolog (Xenopus laevis)	365.9	86.7	126.7	141.7	-4.220299885	-2.88792423	-2.582215949
Ryr1	ryanodine receptor 1, skeletal muscle	327.4	299.9	1372.2	160.7	-1.091697232	4.191203421	-2.037336652
Sh3bgr	SH3-binding domain glutamic acid-rich protein	149.5	148.1	519.8	46.1	-1.009453072	3.476923077	-3.242950108
Slc27a2	solute carrier family 27 (fatty acid transporter), member 2	86.3	316.5	332.5	147.2	3.667439166	3.852838934	1.705677868
Slc2a5	solute carrier family 2 (facilitated glucose transporter), member 5	175.1	790.1	356.9	542.4	4.512278698	2.038263849	3.097658481
Smpx	small muscle protein, X-linked	217.8	123.9	1036.4	61.2	-1.757869249	4.758494031	-3.558823529
Snrpn	small nuclear ribonucleoprotein N	1107.4	233.2	860.4	472.6	-4.748713551	-1.287075779	-2.343207787
Spt2	salivary protein 2	11.3	7.5	14.1	1874.2	-1.506666667	1.247787611	165.8584071
Tatdn1	TatD DNase domain containing 1	229.8	741.7	487.4	638.3	3.227589208	2.120974761	2.777632724
Tax1bp1	Tax1 (human T-cell leukemia virus type I) binding protein 1	124.7	149.9	120	413.1	1.202085004	-1.039166667	3.312750601
Tcap	titin-cap	536.7	231.9	2196.3	97.3	-2.314359638	4.092230296	-5.515930113
Tmod4	tropomodulin 4	143.6	183.1	659	51.2	1.275069638	4.58913649	-2.8046875
Tnni2	troponin I, skeletal, fast 2	729.4	611.8	2654.1	154.9	-1.19221968	3.638744173	-4.708844416
Tnnt3	troponin T3, skeletal, fast	2515.4	1688.8	8299.1	299.6	-1.489459972	3.299316212	-8.395861148
Tpm2	tropomyosin 2, beta	865.4	587.6	3202.4	136.6	-1.472770592	3.700485325	-6.335285505
Trdn	triadin	356	79.7	1461	97.5	-4.466750314	4.103932584	-3.651282051
Ttn	titin	870	761.9	4405.2	137.9	-1.141882137	5.063448276	-6.308919507
Txlnb	taxilin beta	159.4	145.2	300.4	49.5	-1.097796143	1.884567127	-3.22020202
Ucp1	uncoupling protein 1 (mitochondrial, proton carrier)	1826.9	11840.6	8328.4	4589.7	6.481252395	4.558760742	2.512288576
Zdhhc12	zinc finger, DHHC domain containing 12	509.4	78.9	49.3	343.2	-6.456273764	-10.3326572	-1.484265734
