GB acc#	Unigene ID	Ratio matrix vs. control	Name
AA137748	Mm.27065	1.763626	calcium binding protein P22
AA213263	Mm.27065	1.649841	calcium binding protein P22
AA030081	Mm.34991	0.747947	cask-interacting protein 2
W08673	Mm.102093	0.69391	cDNA sequence BC002262
AA189791	Mm.35434	1.335415	cDNA sequence BC003323
AA050300	Mm.17898	1.870379	cold inducible RNA binding protein
AA265033	Mm.28147	1.409509	deleted in polyposis 1-like 1
W62196	Mm.20491	1.31994	DNA segment, Chr 11, ERATO Doi 497, expressed
AA163875	Mm.30177	1.417155	DNA segment, Chr 11, ERATO Doi 603, expressed
AA174729	Mm.21231	0.725668	DNA segment, Chr 13, ERATO Doi 275, expressed
AA255028	Mm.21965	0.727658	DNA segment, Chr 5, ERATO Doi 593, expressed
AA275581	Mm.25702	1.487219	DNA segment, Chr 7, ERATO Doi 152, expressed
W62819	Mm.4919	0.625151	DNA segment, human D4S114
AA415421	Mm.842	1.50024	ecotropic viral integration site 5
AA499263	Mm.33484	1.971249	EGL nine homolog 3 (C. elegans)
AA276892	Mm.21288	1.450648	ELL-related RNA polymerase II, elongation factor
AA545429	Mm.21288	1.307608	ELL-related RNA polymerase II, elongation factor
W97980	Mm.20046	0.745105	erythrocyte protein band 4.9
AA209006	Mm.24128	0.643742	EST AI255193
AA004021	Mm.30874	0.721454	ESTs
AA004074		0.631386	ESTs
AA163245	Mm.23273	1.63591	ESTs
AA209594	Mm.132871	2.116009	ESTs
AA210038	Mm.80474	0.754744	ESTs
AA210357	Mm.89848	0.726172	ESTs
AA239841		2.171302	ESTs
AA242316	Mm.30652	0.740401	ESTs
AA245545		1.7779	ESTs
AA266782	Mm.90021	0.677939	ESTs
AA276424		0.626918	ESTs
W13745	Mm.35625	1.443664	ESTs
W34670	Mm.46686	0.620934	ESTs
W53621	Mm.24228	1.473002	ESTs
AA014384	Mm.31374	0.511293	ESTs, Highly similar to A35578 acetyl-CoA carboxylase (EC 6.4.1.2) - rat [R.norvegicus]
AA200792	Mm.35797	1.361342	ESTs, Highly similar to afadin [Rattus norvegicus] [R.norvegicus]
AA543973	Mm.35797	1.385136	ESTs, Highly similar to afadin [Rattus norvegicus] [R.norvegicus]
AA422830	Mm.32813	1.425622	ESTs, Highly similar to T01238 hypothetical protein KIAA0593 - human (fragment) [H.sapiens]
AA255243	Mm.40347	1.564085	ESTs, Moderately similar to KIAA0940 protein [Homo sapiens] [H.sapiens]
AA138854	Mm.532	0.642619	ESTs, Weakly similar to A Chain A, Crystal Structure Of The Human Acyl Protein Thioesterase 1 At 1.5 A Resolution [H.sapiens]
AA500704	Mm.24881	1.479034	ESTs, Weakly similar to A43932 mucin 2 precursor, intestinal - human (fragments) [H.sapiens]
AA021940	Mm.23666	0.774703	ESTs, Weakly similar to A47714 Na+/sulfate cotransporter, renal - rat [R.norvegicus]
AA003725		1.546648	ESTs, Weakly similar to Centaurin-alpha2 protein [Rattus norvegicus] [R.norvegicus]
W62349	Mm.68978	1.596711	ESTs, Weakly similar to Centaurin-alpha2 protein [Rattus norvegicus] [R.norvegicus]
AA212455	Mm.30688	1.386535	ESTs, Weakly similar to F26F2.7.p [Caenorhabditis elegans] [C.elegans]
W14955	Mm.30688	1.384286	ESTs, Weakly similar to F26F2.7.p [Caenorhabditis elegans] [C.elegans]
AA241899	Mm.30026	1.556358	ESTs, Weakly similar to FIG1_MOUSE Fig-1 protein precursor (Interleukin-4 induced gene 1 protein) [M.musculus]
AA467199	Mm.28220	0.740052	ESTs, Weakly similar to G01447 GP36b glycoprotein - human [H.sapiens]
AA210606	Mm.22305	1.376608	ESTs, Weakly similar to hypothetical protein, MGC:7041; hypothetical protein MGC7041 [Mus musculus] [M.musculus]
W97952	Mm.27539	1.391777	ESTs, Weakly similar to I38919 probable transmembrane protein - human [H.sapiens]
W88135	Mm.29625	1.772007	ESTs, Weakly similar to RIKEN cDNA 2010000G05 [Mus musculus] [M.musculus]
AA245984	Mm.18654	0.615508	ESTs, Weakly similar to S48737 kynurenine aminotransferase - rat [R.norvegicus]
AA542160	Mm.18654	0.611693	ESTs, Weakly similar to S48737 kynurenine aminotransferase - rat [R.norvegicus]
AA271705	Mm.21884	1.381609	ESTs, Weakly similar to T14106 probable GTPase-activating protein SPA-1 - rat [R.norvegicus]
AA200775	Mm.86514	0.700264	ESTs, Weakly similar to T14742 hypothetical protein DKFZp586D0824.1 - human (fragment) [H.sapiens]
AA289616	Mm.86514	0.703182	ESTs, Weakly similar to T14742 hypothetical protein DKFZp586D0824.1 - human (fragment) [H.sapiens]
W36059	Mm.18824	1.392772	ESTs, Weakly similar to T33457 hypothetical protein F36H12.3 - Caenorhabditis elegans [C.elegans]
W14454	Mm.30602	1.418307	ESTs, Weakly similar to UBP2_MOUSE Ubiquitin carboxyl-terminal hydrolase 2 (Ubiquitin thiolesterase 2) (Ubiquitin-specific processing protease 2) (Deubiquitinating enzyme 2) (41 kDa ubiquitin-specific protease) [M.musculus]
AA277646		1.365624	ESTs, Weakly similar to W10D9.3.p [Caenorhabditis elegans] [C.elegans]
AA511949	Mm.142782	1.680494	ESTs, Weakly similar to Y54G2A.17b.p [Caenorhabditis elegans] [C.elegans]
W36520	Mm.21975	1.362527	ESTs, Weakly similar to ZF29_MOUSE Zinc finger protein 29 (Zfp-29) [M.musculus]
AA105546	Mm.22269	1.471043	exportin 1, CRM1 homolog (yeast)
AA067131	Mm.38930	1.368884	expressed sequence AA407558
AA245149	Mm.24527	1.396216	expressed sequence AA408566
AA051561	Mm.29476	1.699896	expressed sequence AA408783
AA444224	Mm.24870	1.448388	expressed sequence AA409944
AA139205	Mm.253	1.453144	expressed sequence AA536646
AA423312	Mm.30078	1.487798	expressed sequence AA589396
AA473227	Mm.28056	1.454265	expressed sequence AA589632
AA445144	Mm.6720	1.336929	expressed sequence AA675328
W81895	Mm.38492	1.415348	expressed sequence AA960202
AA204360	Mm.25248	1.735799	expressed sequence AA960558
AA186075	Mm.24053	0.524638	expressed sequence AA986766
AA422576	Mm.28848	1.411753	expressed sequence AI182287
AA209065	Mm.29123	1.551347	expressed sequence AI315052
AA254957	Mm.3291	0.728566	expressed sequence AI323512
AA116445	Mm.27093	0.720901	expressed sequence AI426038
AA184114	Mm.27497	0.763607	expressed sequence AI428527
AA274182		1.418829	expressed sequence AI447930
AA153416	Mm.50780	0.610106	expressed sequence AI451557
AA189641	Mm.30805	0.62494	expressed sequence AI463083
AA444721	Mm.34345	0.720558	expressed sequence AI464531
AA467476	Mm.28830	1.717054	expressed sequence AI480535
AA273425	Mm.56437	0.764506	expressed sequence AI505652
AA255141	Mm.35062	0.639125	expressed sequence AI551199
AA140542	Mm.5057	0.542568	expressed sequence AI595338
AA189273	Mm.45298	0.769479	expressed sequence AI649393
AA396408	Mm.30678	0.620405	expressed sequence AI747699
AA014063	Mm.22183	1.497398	expressed sequence AI785303
AA472994	Mm.38909	0.52497	expressed sequence AI789751
AA041819	Mm.44122	1.508906	expressed sequence AI835281
W98084	Mm.33773	1.4932	expressed sequence AI839647
AA396698	Mm.41440	0.719108	expressed sequence AI839920
W65557	Mm.1560	0.702489	expressed sequence AI851258
AA146478	Mm.6160	0.294671	expressed sequence AI893585
AA177218	Mm.6160	0.336435	expressed sequence AI893585
AA388939	Mm.6160	0.337902	expressed sequence AI893585
AA272821	Mm.19352	1.462799	expressed sequence AI987814
AA396040	Mm.37619	1.414083	expressed sequence AI987814
AA152852	Mm.31012	1.352299	expressed sequence AU015422
AA123781	Mm.26019	1.404347	expressed sequence AU016931
AA061216	Mm.29605	1.751486	expressed sequence AU022870
W98665	Mm.17903	0.713391	expressed sequence AU040377
W18278	Mm.35562	0.521425	expressed sequence AU040868
AA435275	Mm.28237	1.457969	expressed sequence AU041521
AA030659	Mm.25799	1.336763	expressed sequence AU043625
AA177702	Mm.46067	1.678986	expressed sequence AV025504
AA290057	Mm.18499	0.705253	expressed sequence AV230647
W46125	Mm.24328	1.472591	expressed sequence AW050020
AA212551	Mm.31227	0.691457	expressed sequence AW123847
AA416321	Mm.86343	1.374535	expressed sequence AW539625
AA273211	Mm.38011	2.409373	expressed sequence AW743111
AA544354	Mm.9909	0.673032	expressed sequence C85120
AA098149	Mm.23968	0.694972	expressed sequence C88302
AA388607	Mm.29053	0.674333	expressed sequence C88302
W54742		0.756436	gene rich cluster, C8 gene
AA020557	Mm.34901	0.748148	GH regulated TBC protein 1
AA423055		1.453215	glucan (1,4-alpha-), branching enzyme 1
AA109900	Mm.5284	0.568433	hemoglobin alpha chain complex
AA511105		0.336036	HIV-1 tat interactive protein 2, 30 kDa homolog (human)
AA473153	Mm.20413	0.725786	hydroxyacid oxidase (glycolate oxidase) 3
AA086732	Mm.11473	1.319641	hypothetical protein BC008163
AA145721	Mm.24035	0.734936	hypothetical protein LOC212514
AA072617	Mm.34811	1.480195	hypothetical protein MGC25497
W66885	Mm.71913	1.318338	hypothetical protein MGC28346
AA444650	Mm.41308	1.491055	hypothetical protein MGC28663
AA125282	Mm.41523	1.437411	hypothetical protein MGC31101
AA137485	Mm.27556	1.494435	hypothetical protein MGC32471
W87197	Mm.26996	1.540229	hypothetical protein MGC37914
W65246	Mm.26504	1.96092	hypothetical protein MGC38419
AA185415	Mm.27990	1.40954	hypothetical protein MGC38758
AA170590	Mm.40282	0.734157	hypothetical protein MGC38765
W59393	Mm.21761	1.570075	hypothetical protein MGC6357
AA272340	Mm.38231	1.368884	hypothetical protein MGC6835
AA049730	Mm.22199	0.732505	isovaleryl coenzyme A dehydrogenase
AA261715	Mm.6635	0.623796	isovaleryl coenzyme A dehydrogenase
W66752	Mm.15701	1.443923	karyopherin (importin) beta 3
AA116857	Mm.290	0.250832	kidney androgen regulated protein
AA288998	Mm.105278	1.614668	kynureninase (L-kynurenine hydrolase)
W36864	Mm.29797	1.451511	leucine rich repeat (in FLII) interacting protein 2
W97210	Mm.92659	1.363759	leucine zipper protein 1
AA268165	Mm.35508	0.761934	leucine-zipper-like transcriptional regulator, 1
AA537107	Mm.7574	0.669118	macrophage galactose-type C-type lectin 2
AA049342	Mm.28146	0.751349	mevalonate (diphospho) decarboxylase
AA120639	Mm.29823	1.652309	microsomal glutathione S-transferase 3
AA144393	Mm.86550	1.69018	Mus musculus 10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810481G13:t-complex-associated testis expressed 3, full insert sequence
AA213095	Mm.7597	1.380088	Mus musculus 18 days embryo whole body cDNA, RIKEN full-length enriched library, clone:1110031M01:cysteine and histidine-rich protein, full insert sequence
AA498495	Mm.30038	1.674728	Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310065B16:erythrocyte protein band 4.1, full insert sequence
AA267655	Mm.253	1.353625	Mus musculus, clone IMAGE:3154023, mRNA
AA216884	Mm.43157	1.321691	Mus musculus, clone IMAGE:3481943, mRNA, partial cds
AA087673	Mm.87730	2.298059	Mus musculus, clone IMAGE:3491638, mRNA, partial cds
AA049592	Mm.29241	1.772048	Mus musculus, clone IMAGE:3588380, mRNA, partial cds
