FeatureNumber	ProbeUID	AgilentProbeID	GeneSymbol	SystematicName	Description	logFoldChange	AverageExpression	t.statistic	p.value	adjusted.p.value
43581	39876	A_23_P107933	VRK3	NM_016440	Homo sapiens vaccinia related kinase 3 (VRK3), transcript variant 1, mRNA [NM_016440]	-0.666475113	8.469703649	-6.253445276	3.70852E-06	0.002565195
6987	6390	A_24_P706901	BF895757	BF895757	BF895757 RC3-MT0162-221100-012-h03 MT0162 Homo sapiens cDNA, mRNA sequence [BF895757]	-0.63622636	7.642377068	-6.354586979	2.97041E-06	0.002565195
29569	27051	A_24_P288836	HLA-DPB2	NR_001435	Homo sapiens major histocompatibility complex, class II, DP beta 2 (pseudogene) (HLA-DPB2) on chromosome 6 [NR_001435]	-0.62377907	10.48747008	-6.236373363	3.85057E-06	0.002565195
12376	11284	A_23_P259490	MXD4	NM_006454	Homo sapiens MAX dimerization protein 4 (MXD4), mRNA [NM_006454]	-0.512414722	9.791731649	-6.428373422	2.52845E-06	0.002565195
17173	15701	A_24_P22050	RAB20	NM_017817	Homo sapiens RAB20, member RAS oncogene family (RAB20), mRNA [NM_017817]	-0.503678204	8.699833257	-6.491271475	2.20523E-06	0.002565195
2088	1814	A_23_P258418	TNIP2	NM_024309	Homo sapiens TNFAIP3 interacting protein 2 (TNIP2), mRNA [NM_024309]	-0.490488005	9.865121947	-6.391722311	2.73885E-06	0.002565195
29199	26689	A_23_P160881	SMPDL3B	NM_001009568	Homo sapiens sphingomyelin phosphodiesterase, acid-like 3B (SMPDL3B), transcript variant 2, mRNA [NM_001009568]	-0.486607742	8.657196986	-6.437891545	2.47657E-06	0.002565195
42073	38569	A_23_P131299	ZFAND2B	NM_138802	Homo sapiens zinc finger, AN1-type domain 2B (ZFAND2B), mRNA [NM_138802]	-0.470030243	9.272548894	-6.240623122	3.81469E-06	0.002565195
32356	29672	A_23_P342131	CYBASC3	NM_153611	Homo sapiens cytochrome b, ascorbate dependent 3 (CYBASC3), mRNA [NM_153611]	-0.399569778	9.495395979	-6.426242157	2.54022E-06	0.002565195
15205	13967	A_23_P344392	OGG1	NM_002542	Homo sapiens 8-oxoguanine DNA glycosylase (OGG1), nuclear gene encoding mitochondrial protein, transcript variant 1a, mRNA [NM_002542]	-0.388120526	7.998266911	-6.318528292	3.21451E-06	0.002565195
21613	19781	A_24_P382026	MIF4GD	NM_020679	Homo sapiens MIF4G domain containing (MIF4GD), mRNA [NM_020679]	-0.807012055	8.716508037	-6.212437812	4.05918E-06	0.002606827
7378	6795	A_32_P112279	CTF8	NM_001039690	Homo sapiens chromosome transmission fidelity factor 8 homolog (S. cerevisiae) (CTF8), transcript variant 1, mRNA [NM_001039690]	-0.705596364	9.540667997	-6.183417983	4.32772E-06	0.002606827
31025	28472	A_23_P138782	ACP2	NM_001610	Homo sapiens acid phosphatase 2, lysosomal (ACP2), mRNA [NM_001610]	-0.448770876	7.162058816	-6.184774523	4.31477E-06	0.002606827
19745	18086	A_24_P700170	A_24_P700170	A_24_P700170	Unknown	-0.989727918	9.872374562	-6.087235048	5.35539E-06	0.00261871
21519	19610	A_23_P12082	CHI3L2	NM_004000	Homo sapiens chitinase 3-like 2 (CHI3L2), transcript variant 1, mRNA [NM_004000]	-0.852783946	8.783348861	-6.096677067	5.24428E-06	0.00261871
14146	12980	A_23_P157809	LTB4DH	NM_012212	Homo sapiens leukotriene B4 12-hydroxydehydrogenase (LTB4DH), mRNA [NM_012212]	-0.75358388	10.92318916	-6.101542156	5.18795E-06	0.00261871
33555	30769	A_24_P206047	SLC25A4	NM_001151	Homo sapiens solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4 (SLC25A4), nuclear gene encoding mitochondrial protein, mRNA [NM_001151]	-0.739139295	10.5807697	-6.116242799	5.02149E-06	0.00261871
20026	18287	A_24_P345948	DCTD	NM_001012732	Homo sapiens dCMP deaminase (DCTD), transcript variant 1, mRNA [NM_001012732]	-0.738537861	9.720413238	-6.149084919	4.6691E-06	0.00261871
25614	23373	A_24_P305541	TRIB3	NM_021158	Homo sapiens tribbles homolog 3 (Drosophila) (TRIB3), mRNA [NM_021158]	-0.731513873	8.015583379	-6.066865504	5.60338E-06	0.00261871
36239	33186	A_24_P135921	A_24_P135921	A_24_P135921	Unknown	-0.702982079	9.187384492	-6.068036867	5.5888E-06	0.00261871
24163	22124	A_24_P324277	LOC407835	NR_002144	Homo sapiens mitogen-activated protein kinase kinase 2 pseudogene (LOC407835) on chromosome 7 [NR_002144]	-0.695852868	8.998238631	-6.138194031	4.78306E-06	0.00261871
8155	7443	A_32_P214943	PCBP2	NM_031989	Homo sapiens poly(rC) binding protein 2 (PCBP2), transcript variant 2, mRNA [NM_031989]	-0.601636191	9.087297031	-6.11878949	4.99322E-06	0.00261871
18939	17385	A_23_P119377	PSCD2	NM_004228	Homo sapiens pleckstrin homology, Sec7 and coiled-coil domains 2 (cytohesin-2) (PSCD2), transcript variant 2, mRNA [NM_004228]	-0.593517179	10.05045504	-6.101099702	5.19305E-06	0.00261871
33761	30834	A_24_P358381	GTPBP6	NM_012227	Homo sapiens GTP binding protein 6 (putative) (GTPBP6), mRNA [NM_012227]	-0.518321548	8.331748918	-6.148945295	4.67054E-06	0.00261871
12771	11690	A_24_P181677	PQLC1	NM_025078	Homo sapiens PQ loop repeat containing 1 (PQLC1), mRNA [NM_025078]	-0.430515367	9.458241804	-6.141581618	4.74731E-06	0.00261871
9154	8352	A_23_P120839	TFIP11	NM_001008697	Homo sapiens tuftelin interacting protein 11 (TFIP11), transcript variant 1, mRNA [NM_001008697]	-0.37563193	9.737974424	-6.079356352	5.44995E-06	0.00261871
10095	9296	A_23_P77328	GCHFR	NM_005258	Homo sapiens GTP cyclohydrolase I feedback regulator (GCHFR), mRNA [NM_005258]	-0.698849294	10.0778639	-6.033415246	6.03643E-06	0.002682354
42636	38974	A_23_P55926	NR1H2	NM_007121	Homo sapiens nuclear receptor subfamily 1, group H, member 2 (NR1H2), mRNA [NM_007121]	-0.488476942	8.563854152	-6.036314418	5.99758E-06	0.002682354
6288	5723	A_23_P121051	PCCB	NM_000532	Homo sapiens propionyl Coenzyme A carboxylase, beta polypeptide (PCCB), mRNA [NM_000532]	-0.940431544	8.8512637	-5.990408316	6.64405E-06	0.002732622
27912	25579	A_24_P42681	PSMD2	NM_002808	Homo sapiens proteasome (prosome, macropain) 26S subunit, non-ATPase, 2 (PSMD2), mRNA [NM_002808]	-0.865430972	10.60229003	-5.983029583	6.75443E-06	0.002732622
26833	24515	A_24_P203984	A_24_P203984	A_24_P203984	Unknown	-0.623236308	10.29684618	-5.995582398	6.56775E-06	0.002732622
1989	1633	A_23_P35082	SESN2	NM_031459	Homo sapiens sestrin 2 (SESN2), mRNA [NM_031459]	-0.450928951	8.710959445	-5.985327039	6.71986E-06	0.002732622
29922	27379	A_23_P6398	AP1B1	NM_001127	Homo sapiens adaptor-related protein complex 1, beta 1 subunit (AP1B1), transcript variant 1, mRNA [NM_001127]	-0.635973522	8.353926024	-5.919578926	7.78465E-06	0.002813475
26369	24133	A_24_P151084	CNDP2	NM_018235	Homo sapiens CNDP dipeptidase 2 (metallopeptidase M20 family) (CNDP2), mRNA [NM_018235]	-0.609826456	9.982594393	-5.958883386	7.12895E-06	0.002813475
44521	40571	A_24_P181055	ST3GAL4	NM_006278	Homo sapiens ST3 beta-galactoside alpha-2,3-sialyltransferase 4 (ST3GAL4), mRNA [NM_006278]	-0.582853446	9.374829931	-5.927893976	7.64096E-06	0.002813475
3022	2607	A_23_P88817	MLYCD	NM_012213	Homo sapiens malonyl-CoA decarboxylase (MLYCD), nuclear gene encoding mitochondrial protein, mRNA [NM_012213]	-0.573645112	8.00454745	-5.945286094	7.34914E-06	0.002813475
37146	33906	A_24_P5550	PHF23	NM_024297	Homo sapiens PHD finger protein 23 (PHF23), mRNA [NM_024297]	-0.572267819	8.296318464	-5.937989931	7.47015E-06	0.002813475
14381	13100	A_23_P107661	PPP2R1A	NM_014225	Homo sapiens protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform (PPP2R1A), mRNA [NM_014225]	-0.551201427	11.19576397	-5.955975556	7.17546E-06	0.002813475
13664	12560	A_23_P385081	SCAMP2	NM_005697	Homo sapiens secretory carrier membrane protein 2 (SCAMP2), mRNA [NM_005697]	-0.523690969	8.703763055	-5.919650717	7.78339E-06	0.002813475
24936	22761	A_23_P32229	CIZ1	NM_012127	Homo sapiens CDKN1A interacting zinc finger protein 1 (CIZ1), mRNA [NM_012127]	-0.475908939	9.019421339	-5.930853053	7.59049E-06	0.002813475
31932	29203	A_24_P392099	A_24_P392099	A_24_P392099	Unknown	-0.881341711	8.368938502	-5.872786623	8.64637E-06	0.002843452
35347	32334	A_24_P349606	A_24_P349606	A_24_P349606	Unknown	-0.72790643	8.843490335	-5.869348977	8.71341E-06	0.002843452
7446	6763	A_23_P352870	PVRL2	NM_002856	Homo sapiens poliovirus receptor-related 2 (herpesvirus entry mediator B) (PVRL2), mRNA [NM_002856]	-0.665825287	10.16725957	-5.89449552	8.23506E-06	0.002843452
10777	9920	A_24_P148836	KLHDC8B	NM_173546	Homo sapiens kelch domain containing 8B (KLHDC8B), mRNA [NM_173546]	-0.520196602	8.399080359	-5.899127317	8.14993E-06	0.002843452
34839	31871	A_24_P55719	SURF5	NM_133640	Homo sapiens surfeit 5 (SURF5), transcript variant b, mRNA [NM_133640]	-0.511169572	9.134287987	-5.900540334	8.12413E-06	0.002843452
34652	31686	A_23_P5610	DOK1	NM_001381	Homo sapiens docking protein 1, 62kDa (downstream of tyrosine kinase 1) (DOK1), mRNA [NM_001381]	-0.501759096	7.802036393	-5.864356802	8.8117E-06	0.002843452
3575	3175	A_23_P123010	BCL7B	NM_138707	Homo sapiens B-cell CLL/lymphoma 7B (BCL7B), transcript variant 2, mRNA [NM_138707]	-0.480749776	7.511307531	-5.881814957	8.47282E-06	0.002843452
2302	1894	A_23_P26223	ASL	NM_000048	Homo sapiens argininosuccinate lyase (ASL), transcript variant 2, mRNA [NM_000048]	-0.42475463	10.34342996	-5.866863716	8.7622E-06	0.002843452
40434	36963	A_23_P82296	GNB2	NM_005273	Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 2 (GNB2), mRNA [NM_005273]	-0.70472711	11.45526664	-5.813321418	9.88407E-06	0.003079512
15066	13718	A_23_P130553	SHKBP1	NM_138392	Homo sapiens SH3KBP1 binding protein 1 (SHKBP1), mRNA [NM_138392]	-0.405217411	7.855150166	-5.819023954	9.7579E-06	0.003079512
8412	7757	A_23_P68922	MICAL-L1	NM_033386	Homo sapiens MICAL-like 1 (MICAL-L1), mRNA [NM_033386]	-0.39529802	7.666270545	-5.814947417	9.84792E-06	0.003079512
13639	12510	A_23_P67271	PKN1	NM_002741	Homo sapiens protein kinase N1 (PKN1), transcript variant 2, mRNA [NM_002741]	-0.59234226	8.992353411	-5.788088968	1.04627E-05	0.003186529
29424	26938	A_24_P516215	NOB1	NM_014062	Homo sapiens NIN1/RPN12 binding protein 1 homolog (S. cerevisiae) (NOB1), mRNA [NM_014062]	-0.41738019	8.340521812	-5.790048434	1.04165E-05	0.003186529
4510	3981	A_23_P26759	CANT1	NM_138793	Homo sapiens calcium activated nucleotidase 1 (CANT1), mRNA [NM_138793]	-0.691507308	8.973689645	-5.77621425	1.07468E-05	0.003192666
16695	15292	A_23_P108326	NR2F6	NM_005234	Homo sapiens nuclear receptor subfamily 2, group F, member 6 (NR2F6), mRNA [NM_005234]	-0.639131408	10.13741555	-5.756807277	1.12283E-05	0.003192666
9416	8671	A_32_P209989	MRPL46	NM_022163	Homo sapiens mitochondrial ribosomal protein L46 (MRPL46), nuclear gene encoding mitochondrial protein, mRNA [NM_022163]	-0.601970682	9.465589947	-5.76289939	1.10749E-05	0.003192666
3899	3467	A_24_P255338	SEC24C	NM_004922	Homo sapiens SEC24 related gene family, member C (S. cerevisiae) (SEC24C), transcript variant 1, mRNA [NM_004922]	-0.560203907	8.991069196	-5.765608937	1.10073E-05	0.003192666
15318	14016	A_23_P13338	INTS5	NM_030628	Homo sapiens integrator complex subunit 5 (INTS5), mRNA [NM_030628]	-0.534957628	7.999211568	-5.746837199	1.14842E-05	0.003209189
27266	25006	A_24_P323885	A_24_P323885	A_24_P323885	Unknown	-0.859996378	8.831936292	-5.692788422	1.29788E-05	0.003220328
16527	15139	A_24_P114124	LAPTM5	NM_006762	Homo sapiens lysosomal associated multispanning membrane protein 5 (LAPTM5), mRNA [NM_006762]	-0.812411371	8.923254407	-5.592836586	1.62877E-05	0.003220328
12593	11529	A_24_P370420	WBSCR16	NM_030798	Homo sapiens Williams-Beuren syndrome chromosome region 16 (WBSCR16), mRNA [NM_030798]	-0.679385722	9.221843409	-5.717633685	1.22686E-05	0.003220328
6023	5545	A_24_P59099	LOC643668	XM_928629	PREDICTED: Homo sapiens similar to peptidase (prosome, macropain) 26S subunit, ATPase 1, transcript variant 1 (LOC643668), mRNA [XM_928629]	-0.67871171	10.19887317	-5.682248031	1.32927E-05	0.003220328
30312	27780	A_23_P302207	DKFZp434J1015	AL133055	Homo sapiens mRNA; cDNA DKFZp434J1015 (from clone DKFZp434J1015). [AL133055]	-0.674186247	7.332077259	-5.659804729	1.39872E-05	0.003220328
723	604	A_32_P26103	AGPAT2	NM_006412	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta) (AGPAT2), transcript variant 1, mRNA [NM_006412]	-0.671162471	8.598831731	-5.605095892	1.58394E-05	0.003220328
31834	29179	A_23_P12601	DHTKD1	NM_018706	Homo sapiens dehydrogenase E1 and transketolase domain containing 1 (DHTKD1), mRNA [NM_018706]	-0.655081375	8.093116395	-5.661379018	1.39373E-05	0.003220328
36730	33609	A_24_P396375	CR595983	CR595983	full-length cDNA clone CS0DI039YA23 of Placenta Cot 25-normalized of Homo sapiens (human). [CR595983]	-0.651367927	10.26683755	-5.595959934	1.61723E-05	0.003220328
2151	1772	A_24_P254346	DSCR3	NM_006052	Homo sapiens Down syndrome critical region gene 3 (DSCR3), mRNA [NM_006052]	-0.633360209	10.04662866	-5.736499258	1.17558E-05	0.003220328
33646	30782	A_24_P222126	TH1L	NM_198976	Homo sapiens TH1-like (Drosophila) (TH1L), transcript variant 1, mRNA [NM_198976]	-0.626163647	9.212243565	-5.717664521	1.48189E-05	0.003220328
2519	2138	A_24_P298420	PRMT5	NM_006109	Homo sapiens protein arginine methyltransferase 5 (PRMT5), transcript variant 1, mRNA [NM_006109]	-0.60510507	8.424430508	-5.728629965	1.1967E-05	0.003220328
3857	3389	A_24_P193570	CNOT1	NM_016284	Homo sapiens CCR4-NOT transcription complex, subunit 1 (CNOT1), transcript variant 1, mRNA [NM_016284]	-0.577345568	9.280891373	-5.6883697	1.31095E-05	0.003220328
7269	6593	A_23_P51718	PABPC4	NM_003819	Homo sapiens poly(A) binding protein, cytoplasmic 4 (inducible form) (PABPC4), mRNA [NM_003819]	-0.550968508	8.650893086	-5.638014995	1.46969E-05	0.003220328
1986	1627	A_24_P388570	MINA	NM_032778	Homo sapiens MYC induced nuclear antigen (MINA), transcript variant 3, mRNA [NM_032778]	-0.534418087	8.242036329	-5.665903075	1.37949E-05	0.003220328
16822	15374	A_24_P262221	ZNRF1	NM_032268	Homo sapiens zinc and ring finger 1 (ZNRF1), mRNA [NM_032268]	-0.534225586	8.593716303	-5.59779817	1.61048E-05	0.003220328
11406	10447	A_24_P276490	LYPLA2	NM_007260	Homo sapiens lysophospholipase II (LYPLA2), mRNA [NM_007260]	-0.495276992	7.408291727	-5.608630065	1.57125E-05	0.003220328
30194	27562	A_23_P119526	AP3D1	NM_003938	Homo sapiens adaptor-related protein complex 3, delta 1 subunit (AP3D1), mRNA [NM_003938]	-0.489375209	10.31079088	-5.628884261	1.50051E-05	0.003220328
36662	33491	A_23_P75647	HYOU1	NM_006389	Homo sapiens hypoxia up-regulated 1 (HYOU1), mRNA [NM_006389]	-0.487378205	8.831975726	-5.597542196	1.61141E-05	0.003220328
35796	32696	A_23_P1926	FLJ20487	NM_017841	Homo sapiens hypothetical protein FLJ20487 (FLJ20487), mRNA [NM_017841]	-0.486621047	10.99066981	-5.616233696	1.5443E-05	0.003220328
12281	11263	A_32_P86009	A_32_P86009	A_32_P86009	Unknown	-0.478663037	9.440370034	-5.664943878	1.3825E-05	0.003220328
26103	23803	A_23_P141917	TYK2	NM_003331	Homo sapiens tyrosine kinase 2 (TYK2), mRNA [NM_003331]	-0.476836091	8.039707067	-5.665115398	1.38196E-05	0.003220328
40424	36943	A_23_P397055	CSGlcA-T	NM_019015	Homo sapiens chondroitin sulfate glucuronyltransferase (CSGlcA-T), mRNA [NM_019015]	-0.468807158	9.787337167	-5.643773629	1.45058E-05	0.003220328
22095	20200	A_23_P68899	TXN2	NM_012473	Homo sapiens thioredoxin 2 (TXN2), nuclear gene encoding mitochondrial protein, mRNA [NM_012473]	-0.462326893	11.12634742	-5.605932081	1.58093E-05	0.003220328
39617	36249	A_23_P61987	TMEM121	NM_025268	Homo sapiens transmembrane protein 121 (TMEM121), mRNA [NM_025268]	-0.441331666	13.07888504	-5.626438452	1.50887E-05	0.003220328
33366	30579	A_24_P414045	GCS1	NM_006302	Homo sapiens glucosidase I (GCS1), mRNA [NM_006302]	-0.423300292	9.653519299	-5.722093344	1.21453E-05	0.003220328
22764	20808	A_23_P26243	CCNDBP1	NM_037370	Homo sapiens cyclin D-type binding-protein 1 (CCNDBP1), transcript variant 2, mRNA [NM_037370]	-0.419095668	12.06268721	-5.648046129	1.43657E-05	0.003220328
19080	17490	A_23_P50962	NCK2	NM_003581	Homo sapiens NCK adaptor protein 2 (NCK2), transcript variant 1, mRNA [NM_003581]	-0.415068836	7.499367214	-5.672713626	1.35833E-05	0.003220328
31061	28382	A_23_P4425	FLII	NM_002018	Homo sapiens flightless I homolog (Drosophila) (FLII), mRNA [NM_002018]	-0.388179478	12.23684121	-5.693196209	1.29669E-05	0.003220328
23840	21842	A_24_P64329	STK32C	NM_173575	Homo sapiens serine/threonine kinase 32C (STK32C), mRNA [NM_173575]	-0.375809948	8.822174085	-5.613463069	1.55407E-05	0.003220328
31445	28777	A_23_P101111	CTDP1	NM_004715	Homo sapiens CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 (CTDP1), transcript variant FCP1a, mRNA [NM_004715]	-0.36622432	10.31431994	-5.679622021	1.33721E-05	0.003220328
30385	27758	A_23_P325547	DUS3L	NM_020175	Homo sapiens dihydrouridine synthase 3-like (S. cerevisiae) (DUS3L), mRNA [NM_020175]	-0.366003069	8.74759779	-5.691134392	1.30276E-05	0.003220328
37208	34021	A_24_P390668	FMNL1	NM_005892	Homo sapiens formin-like 1 (FMNL1), mRNA [NM_005892]	-0.345574256	7.641963307	-5.652542153	1.42197E-05	0.003220328
11624	10690	A_23_P27515	PLD3	NM_012268	Homo sapiens phospholipase D family, member 3 (PLD3), transcript variant 2, mRNA [NM_012268]	-0.33726647	9.95516166	-5.703348812	1.26719E-05	0.003220328
25239	23151	A_23_P207367	STAT5A	NM_003152	Homo sapiens signal transducer and activator of transcription 5A (STAT5A), mRNA [NM_003152]	-0.333285353	9.686781149	-5.594103177	1.62408E-05	0.003220328
2409	2088	A_23_P154801	TRPC4AP	NM_015638	Homo sapiens transient receptor potential cation channel, subfamily C, member 4 associated protein (TRPC4AP), transcript variant 1, mRNA [NM_015638]	-0.32879231	9.567087345	-5.642502231	1.45478E-05	0.003220328
33855	31005	A_32_P41496	THC2457445	THC2457445	Q8NFZ5 (Q8NFZ5) Fetal liver LKB1-interacting protein, partial (28%) [THC2457445]	-0.360092594	10.20072648	-5.581599072	1.67101E-05	0.003235307
20212	18458	A_24_P71021	GNB1	NM_002074	Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 1 (GNB1), mRNA [NM_002074]	-0.656360629	10.22417832	-5.566942616	1.72777E-05	0.003298098
35989	32889	A_23_P134910	GGH	NM_003878	Homo sapiens gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase) (GGH), mRNA [NM_003878]	-0.752671214	9.63313211	-5.551566816	1.78944E-05	0.00330259
37414	34240	A_24_P614940	A_24_P614940	A_24_P614940	Unknown	-0.61411607	10.80389202	-5.548202938	1.80323E-05	0.00330259
7406	6686	A_24_P9285	LMAN2	NM_006816	Homo sapiens lectin, mannose-binding 2 (LMAN2), mRNA [NM_006816]	-0.593110531	12.61484655	-5.557414074	1.76573E-05	0.00330259
30962	28356	A_24_P343621	ECHDC3	NM_024693	Homo sapiens enoyl Coenzyme A hydratase domain containing 3 (ECHDC3), mRNA [NM_024693]	-0.511824863	8.793825195	-5.560863956	1.75189E-05	0.00330259
31415	28721	A_23_P254888	ZYX	NM_003461	Homo sapiens zyxin (ZYX), transcript variant 1, mRNA [NM_003461]	-0.48996494	10.17483584	-5.549509553	1.79786E-05	0.00330259
28241	25871	A_23_P17330	UCKL1	NM_017859	Homo sapiens uridine-cytidine kinase 1-like 1 (UCKL1), mRNA [NM_017859]	-0.404185782	8.830062123	-5.539998887	1.83731E-05	0.003342431
5999	5501	A_32_P119616	ETFA	NM_000126	Homo sapiens electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II) (ETFA), nuclear gene encoding mitochondrial protein, mRNA [NM_000126]	-0.707900705	9.622226189	-5.511898714	1.95912E-05	0.00335408
