ProbeUID	ProbeName	GeneName	SystematicName	Description	AverageLog	AveragePV
120131	A_68_P21612924	Adra2b	chr2:127051393-127051437	PROMOTER	1.556825058	8.48E-22
9479	A_68_P27269896	Krtap12-1	chr10:077161955-077162013	PROMOTER	1.676136899	9.21E-22
70376	A_68_P24044685	Erp29-Tmem116	chr5:121716368-121716427	DIVERGENT_PROMOTER	1.886157515	9.97E-22
226563	A_68_P30576384	Tssk2	chr16:017809969-017810018	PROMOTER	1.457005195	1.21E-21
10670	A_68_P23656658	Qdpr	chr5:045737932-045737985	INSIDE	1.505478661	1.29E-21
210919	A_68_P26542008	Scamp5	chr9:057265644-057265688	INSIDE	1.399064031	1.36E-21
21075	A_68_P27844767	Smcr8	chr11:060598639-060598694	DOWNSTREAM	1.494776161	1.41E-21
8662	A_68_P31159691	Cdsn	chr17:035159681-035159725	PROMOTER	1.368101922	1.72E-21
180566	A_68_P27190675	Sirt1	chr10:062737974-062738025	PROMOTER	1.58996105	1.72E-21
188511	A_68_P23359981	Padi4	chr4:140018271-140018316	INSIDE	1.448388172	2.11E-21
32342	A_68_P30325057	Kcnk9	chr15:072378206-072378255	PROMOTER	1.99330515	2.41E-21
217849	A_68_P26477029	Sidt2	chr9:045710204-045710263	PROMOTER	1.325245217	2.47E-21
226254	A_68_P28181805	Aatk	chr11:119836249-119836293	INSIDE	1.535776925	2.52E-21
155748	A_68_P24657031	Slc25a26	chr6:094461139-094461198	PROMOTER	1.637036164	2.54E-21
71905	A_68_P26351350	Anln	chr9:022081918-022081977	DOWNSTREAM	1.330220028	2.67E-21
35668	A_68_P25971576	Tom1	chr8:077931506-077931565	INSIDE	1.969504663	2.86E-21
49208	A_68_P25465167	Thumpd1	chr7:119511103-119511162	INSIDE	1.814392163	2.88E-21
157853	A_68_P22549107	Tacr3	chr3:134766555-134766599	INSIDE	1.440585061	2.99E-21
78038	A_68_P24517707	V1rc15	chr6:066486921-066486980	INSIDE	1.6093377	3.12E-21
216452	A_68_P29227291	EG218444	chr13:094170174-094170233	PROMOTER	1.690197896	3.12E-21
72985	A_68_P22662044	Lhx8	chr3:154271083-154271131	PROMOTER	1.30850691	3.26E-21
215852	A_68_P30465078	Slc38a2	chr15:096527624-096527683	INSIDE	1.32345895	3.44E-21
161471	A_68_P27212408	Egr2	chr10:066928853-066928912	PROMOTER	1.877039316	3.90E-21
156962	A_68_P21888775	Phactr3	chr2:178069529-178069583	PROMOTER	1.517756566	3.94E-21
9588	A_68_P31929995	Pcnxl3	chr19:005664905-005664954	INSIDE	1.396260097	4.84E-21
94371	A_68_P21816747	Wfdc12	chr2:163883991-163884037	PROMOTER	1.369992223	5.06E-21
145569	A_68_P23981048	Noc4l	chr5:110889482-110889529	INSIDE	1.339171398	5.63E-21
114329	A_68_P22347262	Vps45	chr3:096148580-096148639	PROMOTER	1.791579584	5.82E-21
37589	A_68_P28223018	Rhob	chr12:008528273-008528332	PROMOTER	1.310603922	5.97E-21
180575	A_68_P29242093	F2rl2	chr13:096798771-096798820	INSIDE	1.473949864	6.00E-21
22333	A_68_P30584203	Olfr168	chr16:019442121-019442178	DOWNSTREAM	1.63356994	6.07E-21
68149	A_68_P31131047	Zfand3	chr17:029729782-029729830	PROMOTER	1.231384101	6.36E-21
168076	A_68_P26824807	Nradd	chr9:110472805-110472849	PROMOTER	1.263251181	6.52E-21
35958	A_68_P27272537	Pwp2	chr10:077578272-077578316	INSIDE	1.281918067	7.36E-21
94061	A_68_P28915529	Mboat1	chr13:030142081-030142125	PROMOTER	1.31345852	7.84E-21
25078	A_68_P21517763	Lin7c	chr2:109687736-109687795	PROMOTER	1.468788667	8.39E-21
83168	A_68_P31161229	Tubb5	chr17:035451579-035451638	PROMOTER	1.592161923	8.53E-21
83785	A_68_P21775789	Rbl1	chr2:156900766-156900821	PROMOTER	1.500621973	8.90E-21
215054	A_68_P31023608	Rnaset2	chr17:006830301-006830359	INSIDE	1.296629177	9.42E-21
126613	A_68_P26342102	Olfr873	chr9:020050879-020050938	INSIDE	1.299085911	9.60E-21
213099	A_68_P27478155	Gm239	chr10:116299660-116299719	INSIDE	1.605557057	1.06E-20
71743	A_68_P26886369	Cyp8b1	chr9:121767380-121767439	PROMOTER	1.675647375	1.10E-20
10267	A_68_P29152221	Rhobtb3	chr13:076410102-076410161	PROMOTER	1.636573782	1.25E-20
117826	A_68_P25394194	Tpp1	chr7:105630361-105630413	PROMOTER	1.76082744	1.29E-20
227599	A_68_P21819651	Ube2c	chr2:164463527-164463586	INSIDE	1.904357558	1.37E-20
107815	A_68_P31940702	Hrasls5	chr19:007679817-007679865	INSIDE	1.195951661	1.41E-20
180616	A_68_P24992481	Rtn2	chr7:018446072-018446126	PROMOTER	1.435022191	1.69E-20
83462	A_68_P22281932	Lrat	chr3:082988816-082988866	INSIDE	1.153088545	2.19E-20
195616	A_68_P31348383	Ehd3	chr17:073709906-073709960	INSIDE	1.201071541	2.22E-20
106331	A_68_P27365481	D10Ertd322e-Ube2n	chr10:094936840-094936899	DIVERGENT_PROMOTER	1.75064844	2.25E-20
122882	A_68_P25528067	Pstk	chr7:131163188-131163247	INSIDE	1.366663514	2.27E-20
27630	A_68_P29247507	Hmgcr	chr13:097769584-097769643	INSIDE	1.563367575	2.29E-20
51026	A_68_P32569086	Hdac8	chrX:098708007-098708066	PROMOTER	1.335961119	2.29E-20
222631	A_68_P29509911	Nt5dc2	chr14:029962584-029962634	PROMOTER	1.366021246	2.33E-20
37617	A_68_P27534479	D10Ertd610e	chr10:126588533-126588581	INSIDE	1.158103302	2.41E-20
185834	A_68_P25950555	Sfrs14	chr8:073158412-073158463	PROMOTER	1.226218011	2.42E-20
109829	A_68_P21489876	Cstf3	chr2:104392967-104393026	INSIDE	1.240182167	2.48E-20
210017	A_68_P24449578	Hoxa13	chr6:052195772-052195831	PROMOTER	1.606144569	2.62E-20
34515	A_68_P22348381	Hist2h2aa1-Hist2h2aa1	chr3:096330089-096330148	DIVERGENT_PROMOTER	1.538723933	2.74E-20
42015	A_68_P26078844	Arl2bp	chr8:097550477-097550536	PROMOTER	1.229753843	2.87E-20
176885	A_68_P27540596	Il23a-Usp52	chr10:127701446-127701496	DIVERGENT_PROMOTER	1.336307045	2.94E-20
202467	A_68_P29388244	Pdhb	chr14:006969436-006969495	PROMOTER	1.262421594	3.05E-20
207199	A_68_P28596592	Pnma1	chr12:085036332-085036376	INSIDE	1.147545573	3.34E-20
42865	A_68_P32192474	Tectb	chr19:055236053-055236110	INSIDE	1.25016471	3.45E-20
171333	A_68_P31934623	Nrxn2	chr19:006423807-006423866	PROMOTER	1.328049589	3.62E-20
82498	A_68_P24803338	Slc6a13	chr6:121263630-121263689	PROMOTER	1.812485906	3.79E-20
80646	A_68_P29047290	Sfxn1	chr13:054078869-054078928	PROMOTER	1.875567278	3.86E-20
122182	A_68_P24844322	Klre1	chr6:129542731-129542785	PROMOTER	1.458157466	5.16E-20
62549	A_68_P32560521	Kif4	chrX:096827093-096827150	PROMOTER	1.415076044	5.42E-20
141742	A_68_P32462874	Bgn	chrX:069732909-069732967	PROMOTER	1.293244725	5.44E-20
170215	A_68_P23582130	Fosl2	chr5:032408604-032408659	PROMOTER	1.568056644	5.50E-20
125797	A_68_P29530893	Ldb3	chr14:033416297-033416353	INSIDE	1.305665922	5.61E-20
12358	A_68_P25094559	Car11	chr7:045570035-045570085	INSIDE	1.31470522	5.91E-20
100103	A_68_P27769518	Havcr1	chr11:046596433-046596492	INSIDE	1.398728909	6.01E-20
131162	A_68_P20977941	Echdc3	chr2:006128136-006128195	INSIDE	1.748332503	6.56E-20
226430	A_68_P29692180	Adam28	chr14:067608957-067609009	INSIDE	1.257387573	7.17E-20
120375	A_68_P25262838	Plin	chr7:079604675-079604724	INSIDE	1.274414299	7.80E-20
103389	A_68_P30380958	D15Wsu75e	chr15:081843167-081843211	INSIDE	1.402089672	8.21E-20
69796	A_68_P23984904	Ttc28	chr5:111524720-111524767	INSIDE	1.123709756	8.24E-20
173659	A_68_P26571787	Itga11	chr9:062492254-062492307	INSIDE	1.247759863	9.39E-20
100779	A_68_P30570176	Olfr19	chr16:016587375-016587425	INSIDE	1.55184737	9.45E-20
226259	A_68_P29339075	Gzmk	chr13:114301636-114301695	INSIDE	1.739150556	9.60E-20
60709	A_68_P29501776	Cacna2d3	chr14:028553775-028553827	PROMOTER	1.363179932	1.02E-19
234432	A_68_P26977722	Perp	chr10:018531062-018531114	PROMOTER	1.344497744	1.02E-19
200037	A_68_P31607813	D0H4S114	chr18:033592982-033593038	PROMOTER	1.297213481	1.11E-19
140899	A_68_P21004675	Prkcq	chr2:011090075-011090119	PROMOTER	1.345414378	1.14E-19
53537	A_68_P23590773	Fgfr3	chr5:034037899-034037943	PROMOTER	1.215269129	1.20E-19
136255	A_68_P21419575	Kbtbd4	chr2:090706559-090706615	INSIDE	1.081471077	1.23E-19
223641	A_68_P28066027	Krt35	chr11:099914263-099914311	PROMOTER	1.228133706	1.46E-19
151804	A_68_P21740480	Vsx1	chr2:150383257-150383314	PROMOTER	1.762094678	1.48E-19
34000	A_68_P31930316	Kcnk7	chr19:005706803-005706850	INSIDE	1.255123404	1.59E-19
141357	A_68_P31121135	Def6	chr17:027936364-027936416	INSIDE	1.532367709	1.59E-19
181451	A_68_P25949958	Cspg3	chr8:073048623-073048680	INSIDE	1.212166249	1.62E-19
98892	A_68_P31929619	Rnaseh2c	chr19:005600763-005600818	PROMOTER	1.553687014	1.71E-19
167391	A_68_P27556390	Tbc1d10a	chr11:004114184-004114243	INSIDE	1.39062739	1.83E-19
117576	A_68_P30497081	Espl1	chr15:102124450-102124494	INSIDE	1.319932446	1.94E-19
141959	A_68_P25367922	Ucp3	chr7:100345412-100345465	PROMOTER	1.169727425	1.99E-19
140763	A_68_P30481524	Racgap1	chr15:099483295-099483350	PROMOTER	1.09027273	2.00E-19
184037	A_68_P27306462	Fhl4	chr10:084528745-084528795	INSIDE	1.123062181	2.10E-19
49139	A_68_P23523185	Tmem60	chr5:020397863-020397922	INSIDE	1.059233676	2.13E-19
23880	A_68_P24540941	Sftpb	chr6:072227764-072227821	PROMOTER	1.207870244	2.74E-19
135580	A_68_P20439604	Rab17	chr1:092802563-092802618	PROMOTER	1.21043047	2.78E-19
214897	A_68_P22606581	Clca5	chr3:145040610-145040669	PROMOTER	1.627076878	2.82E-19
118055	A_68_P31663459	Scgb3a2	chr18:043889279-043889338	PROMOTER	1.192270479	3.09E-19
95007	A_68_P25370684	P2ry6	chr7:100840968-100841016	PROMOTER	1.085283287	3.24E-19
137238	A_68_P27385167	Wdr51b	chr10:098556699-098556746	INSIDE	1.281858688	3.24E-19
214635	A_68_P29448127	Myoz1	chr14:019444370-019444426	INSIDE	1.444515811	3.28E-19
5586	A_68_P25584543	Olfr541	chr7:140550902-140550955	PROMOTER	1.062750664	3.73E-19
139896	A_68_P29639604	Tmem46	chr14:058579933-058579983	INSIDE	1.291699163	3.89E-19
40558	A_68_P26023302	Tnpo2	chr8:087922112-087922166	PROMOTER	1.388967343	3.92E-19
68524	A_68_P20619958	Lemd1	chr1:134026331-134026384	INSIDE	1.459868237	4.13E-19
205767	A_68_P20454675	Mterfd2	chr1:095134395-095134454	INSIDE	1.555989416	4.14E-19
88083	A_68_P23441635	C1qdc2	chr4:154806822-154806874	INSIDE	1.453981741	4.36E-19
110342	A_68_P23316686	Sytl1	chr4:132537765-132537809	PROMOTER	1.168790042	4.62E-19
56431	A_68_P24307311	Gpr37	chr6:025637781-025637840	INSIDE	1.476263087	4.88E-19
956	A_68_P31844954	Ier3ip1	chr18:077135059-077135112	INSIDE	1.632739257	4.88E-19
58370	A_68_P23199328	Osbpl9	chr4:108604310-108604369	PROMOTER	1.197458376	5.06E-19
116059	A_68_P25586781	Trp53i5	chr7:140960433-140960484	PROMOTER	0.980393517	5.44E-19
32603	A_68_P26130515	Ces2	chr8:107734797-107734844	PROMOTER	1.191906085	6.04E-19
24504	A_68_P31216975	Trem2	chr17:047812467-047812516	INSIDE	1.511796654	6.55E-19
9355	A_68_P27996605	Mks1	chr11:087671890-087671943	INSIDE	1.731227115	6.65E-19
95893	A_68_P32101931	Plce1	chr19:038584855-038584914	PROMOTER	1.415164798	6.87E-19
221806	A_68_P22612842	Mcoln2	chr3:146089487-146089540	INSIDE	1.688126561	7.35E-19
13915	A_68_P27271833	Dnmt3l	chr10:077455573-077455629	INSIDE	1.043172227	7.75E-19
100038	A_68_P24471005	Neurod6	chr6:055608482-055608538	INSIDE	1.194028668	8.46E-19
74520	A_68_P29571997	Ddhd1	chr14:044581824-044581883	PROMOTER	1.499326031	8.60E-19
71571	A_68_P25313085	Sytl2	chr7:090223546-090223604	PROMOTER	1.681920371	8.70E-19
206598	A_68_P26467410	Slc37a4	chr9:044150828-044150872	INSIDE	1.182108646	9.30E-19
4628	A_68_P31086078	Zfp51	chr17:021154636-021154695	PROMOTER	1.634285713	1.06E-18
158243	A_68_P27172920	Chst3	chr10:059582127-059582173	INSIDE	1.037731859	1.14E-18
97199	A_68_P29144098	Cep72	chr13:074532856-074532910	PROMOTER	1.090278033	1.18E-18
55470	A_68_P24874527	H2afj	chr6:136774748-136774801	DOWNSTREAM	1.054628565	1.23E-18
37072	A_68_P23239805	Hyi	chr4:117857754-117857807	PROMOTER	1.388519998	1.25E-18
49916	A_68_P31140543	Pknox1	chr17:031307222-031307266	PROMOTER	1.363337038	1.28E-18
86497	A_68_P31930198	Map3k11	chr19:005690697-005690741	INSIDE	1.502776479	1.32E-18
162741	A_68_P21614160	Prom2	chr2:127231764-127231812	INSIDE	1.303196264	1.40E-18
188598	A_68_P25809796	Fgl1	chr8:042717328-042717373	PROMOTER	1.144188309	1.51E-18
84784	A_68_P23342119	Akp2	chr4:137070076-137070124	PROMOTER	1.163549123	1.57E-18
229550	A_68_P21585727	Duoxa1	chr2:122010506-122010551	PROMOTER	0.945089953	1.59E-18
118721	A_68_P24533033	Rpia	chr6:070723752-070723806	PROMOTER	1.201025462	1.65E-18
135899	A_68_P20085294	Rims1	chr1:022764394-022764453	PROMOTER	1.166109991	1.72E-18
153924	A_68_P30358263	Rabl4	chr15:078002089-078002148	PROMOTER	1.030315601	1.79E-18
222736	A_68_P27932299	Abr	chr11:076288950-076289006	INSIDE	0.971549422	1.92E-18
104902	A_68_P30678092	Hcls1	chr16:036848858-036848917	PROMOTER	1.176372214	2.04E-18
191143	A_68_P23365093	Slc25a34	chr4:140899954-140899998	PROMOTER	1.39697901	2.15E-18
207508	A_68_P25269255	Nmb	chr7:080776907-080776951	INSIDE	0.983707172	2.19E-18
217296	A_68_P22038051	Pik3ca	chr3:032629205-032629264	INSIDE	1.411960319	2.30E-18
28505	A_68_P22663497	Tyw3	chr3:154529969-154530028	INSIDE	1.173544852	2.36E-18
35641	A_68_P31619319	Slc23a1	chr18:035752537-035752581	INSIDE	1.117677928	2.40E-18
71052	A_68_P21635733	Adra1d	chr2:131257649-131257702	PROMOTER	1.25962958	2.70E-18
24401	A_68_P21601141	Dut	chr2:124935701-124935760	PROMOTER	1.197315031	2.85E-18
133933	A_68_P26184239	Wwox	chr8:117325816-117325860	INSIDE	1.009154027	2.96E-18
287	A_68_P22165675	Pfn2	chr3:057939657-057939716	PROMOTER	1.614899316	3.02E-18
193126	A_68_P23239400	Ptprf	chr4:117777847-117777891	INSIDE	1.097571475	3.11E-18
115842	A_68_P28340223	Atxn7l4	chr12:033730866-033730925	PROMOTER	1.610105457	3.27E-18
173122	A_68_P29024500	Fgd3	chr13:049321518-049321569	PROMOTER	1.105278486	3.29E-18
213199	A_68_P31963196	Olfr1450	chr19:013019971-013020030	PROMOTER	1.404831979	3.31E-18
7913	A_68_P20782638	Prrx1	chr1:165149775-165149834	INSIDE	1.03398185	3.66E-18
227224	A_68_P30422450	Mlc1-Mov10l1	chr15:088809524-088809583	DIVERGENT_PROMOTER	1.151868737	3.75E-18
135983	A_68_P28710212	Bdkrb1	chr12:106006215-106006271	INSIDE	1.359646296	3.80E-18
213788	A_68_P31214196	Tcfeb	chr17:047243532-047243581	PROMOTER	0.937831061	4.13E-18
101478	A_68_P25729970	D8Ertd354e	chr8:027444134-027444193	PROMOTER	0.942557301	4.32E-18
179104	A_68_P23086991	Mllt3	chr4:087280767-087280826	PROMOTER	1.218196432	4.78E-18
189987	A_68_P27536345	Shmt2	chr10:126923282-126923326	INSIDE	1.048604728	4.89E-18
32404	A_68_P25392938	Smpd1	chr7:105429536-105429581	INSIDE	1.010711235	4.92E-18
25109	A_68_P31424473	Msh2	chr17:087582981-087583033	INSIDE	0.996651617	4.92E-18
15813	A_68_P24430639	Gpnmb	chr6:048965613-048965672	PROMOTER	1.763490339	4.95E-18
95949	A_68_P23253161	Nfyc	chr4:120264893-120264947	INSIDE	1.582399057	5.35E-18
63782	A_68_P27288406	Matk	chr10:080663591-080663645	INSIDE	0.923253338	5.83E-18
93956	A_68_P32465318	Avpr2	chrX:070146120-070146165	INSIDE	1.364836693	5.90E-18
38009	A_68_P21072630	Fbxw5	chr2:025326064-025326116	INSIDE	0.974148947	6.34E-18
59916	A_68_P29868209	Ednrb	chr14:102731219-102731275	PROMOTER	1.126714108	7.15E-18
211397	A_68_P30668290	Adcy5	chr16:035077525-035077569	INSIDE	1.067599576	7.60E-18
104151	A_68_P28744621	Eif5	chr12:111980752-111980807	PROMOTER	1.310127217	8.35E-18
195735	A_68_P25095706	Syngr4	chr7:045761530-045761574	INSIDE	1.074266701	9.00E-18
40074	A_68_P32104667	Cyp2c55	chr19:039068227-039068281	PROMOTER	1.286737705	9.10E-18
75652	A_68_P28932525	Serpinb9b	chr13:033033771-033033830	PROMOTER	1.205168725	9.35E-18
171509	A_68_P27278714	Fgf22	chr10:079158598-079158648	INSIDE	1.40112281	9.50E-18
86282	A_68_P21774535	Ndrg3	chr2:156683283-156683327	INSIDE	1.127887636	9.80E-18
125514	A_68_P32459839	Nsdhl	chrX:069173755-069173811	INSIDE	1.070719053	1.09E-17
140040	A_68_P25100418	Sergef	chr7:046512022-046512079	PROMOTER	1.308639665	1.11E-17
72889	A_68_P27911493	Mybbp1a	chr11:072259500-072259559	INSIDE	0.919135316	1.11E-17
114563	A_68_P28832917	Ero1lb	chr13:012621663-012621722	INSIDE	0.940930587	1.13E-17
5190	A_68_P25065983	Plekhf1	chr7:037937876-037937935	PROMOTER	1.000201071	1.20E-17
225099	A_68_P31126960	Ppil1	chr17:028990075-028990134	INSIDE	1.075057007	1.21E-17
78879	A_68_P30293055	Tg	chr15:066498306-066498365	PROMOTER	1.566883741	1.22E-17
135300	A_68_P27258626	Gstt3	chr10:075227175-075227219	PROMOTER	1.34095063	1.25E-17
216350	A_68_P27956338	Myo1d	chr11:080596601-080596656	PROMOTER	0.93991037	1.31E-17
122838	A_68_P31139411	Pde9a	chr17:031113581-031113625	PROMOTER	1.357706959	1.32E-17
130463	A_68_P29054279	Nsd1	chr13:055325968-055326027	INSIDE	0.929859642	1.35E-17
167787	A_68_P21079743	Egfl7	chr2:026401933-026401983	PROMOTER	1.278322328	1.55E-17
207478	A_68_P24629852	V1rb10	chr6:089708198-089708253	PROMOTER	1.347842068	1.61E-17
76661	A_68_P26473364	Fxyd2	chr9:045153440-045153484	PROMOTER	0.984705213	1.63E-17
117398	A_68_P21073846	Lcn13	chr2:025522562-025522612	INSIDE	1.589824616	1.66E-17
87011	A_68_P31098767	Slc9a3r2	chr17:024378642-024378701	PROMOTER	1.016051124	1.76E-17
148232	A_68_P25782121	Cldn23	chr8:037298880-037298935	PROMOTER	1.35654189	1.84E-17
122055	A_68_P22265837	Tmem144	chr3:079933796-079933855	PROMOTER	1.505350333	1.84E-17
95443	A_68_P32467386	Atp6ap1	chrX:070556614-070556671	INSIDE	0.86433887	1.85E-17
182386	A_68_P28902659	Prlpc2	chr13:027573025-027573084	PROMOTER	0.924381761	1.88E-17
96898	A_68_P27539603	Baz2a	chr10:127513411-127513470	INSIDE	2.089316946	1.93E-17
90863	A_68_P30403536	Trmu	chr15:085706615-085706660	PROMOTER	1.016292715	1.97E-17
89473	A_68_P31212633	Tbn	chr17:046968027-046968074	PROMOTER	0.873307013	1.97E-17
46744	A_68_P21350852	Osbpl6	chr2:076351108-076351167	INSIDE	1.23224685	2.07E-17
103652	A_68_P23621621	Wdr1	chr5:038851762-038851821	PROMOTER	1.15996271	2.19E-17
48696	A_68_P28603604	Nek9	chr12:086227698-086227757	INSIDE	0.882641953	2.24E-17
14147	A_68_P26238511	Pcoln3	chr8:126095970-126096029	INSIDE	1.515842261	2.26E-17
203892	A_68_P28957982	Ssr1	chr13:038002887-038002942	PROMOTER	1.329802755	2.29E-17
71353	A_68_P26620444	Aqp9	chr9:070964470-070964529	PROMOTER	1.260638801	2.34E-17
236568	A_68_P22348199	Hist2h2ab	chr3:096302409-096302461	PROMOTER	0.886490442	2.60E-17
18575	A_68_P21833112	Ddx27	chr2:166702400-166702459	PROMOTER	0.918157498	2.67E-17
134977	A_68_P22412725	Sars	chr3:108572694-108572753	INSIDE	0.910375827	2.71E-17
206269	A_68_P32752139	Rragb	chrX:148478871-148478930	PROMOTER	1.040316191	2.82E-17
80619	A_68_P31123086	Clps	chr17:028286021-028286070	INSIDE	0.948426077	2.83E-17
146304	A_68_P29262721	Ptcd2	chr13:100441113-100441165	INSIDE	1.271233935	3.03E-17
108095	A_68_P20632275	Adora1	chr1:136055423-136055481	PROMOTER	0.862255862	3.17E-17
221336	A_68_P28535277	Six1	chr12:073965881-073965931	PROMOTER	0.942308689	3.19E-17
9153	A_68_P28118819	Slc16a6	chr11:109293183-109293237	PROMOTER	1.072109906	3.30E-17
184108	A_68_P32142333	Pitx3-Gbf1	chr19:046205044-046205103	DIVERGENT_PROMOTER	0.927796101	3.30E-17
62603	A_68_P29678841	Stmn4	chr14:065298462-065298510	INSIDE	1.427301451	3.35E-17
156915	A_68_P28242319	D12Ertd553e	chr12:012297408-012297467	PROMOTER	1.500525045	3.36E-17
50052	A_68_P27969061	Unc45b	chr11:082728718-082728775	INSIDE	1.246512959	3.54E-17
55527	A_68_P27278028	Gm1157	chr10:079047357-079047416	INSIDE	1.022259687	3.62E-17
31591	A_68_P23814373	Srd5a2l	chr5:077216732-077216784	INSIDE	1.35124882	3.82E-17
151066	A_68_P32721216	Lhfpl1	chrX:140593104-140593156	INSIDE	0.936779289	3.86E-17
134242	A_68_P22970060	AI597013	chr4:062862986-062863045	INSIDE	1.211633204	4.11E-17
59752	A_68_P29448673	Ndst2	chr14:019518612-019518659	INSIDE	1.37961119	4.13E-17
62036	A_68_P31061556	Thbs2	chr17:014431512-014431556	PROMOTER	1.317133174	4.19E-17
66493	A_68_P32145766	Cnnm2	chr19:046816217-046816268	INSIDE	0.872961236	4.19E-17
204780	A_68_P31152916	H2-Ab1	chr17:033868381-033868440	PROMOTER	1.158712783	4.37E-17
86199	A_68_P21482974	BC016548	chr2:103191505-103191558	PROMOTER	0.941150461	4.54E-17
79603	A_68_P30474338	Olfr283	chr15:098212242-098212301	PROMOTER	1.180812112	4.69E-17
38567	A_68_P31259492	Pspn	chr17:056684873-056684924	INSIDE	1.613368214	4.70E-17
41048	A_68_P32116938	Slit1	chr19:041795058-041795109	INSIDE	1.046207507	4.73E-17
47513	A_68_P32766339	Phex	chrX:152763601-152763660	PROMOTER	0.943643828	4.91E-17
208195	A_68_P23592891	Mxd4	chr5:034505088-034505132	PROMOTER	0.966652815	4.91E-17
18917	A_68_P28121727	Abca8b	chr11:109811301-109811360	INSIDE	1.292997206	5.10E-17
195283	A_68_P24630102	V1ra6	chr6:089815054-089815103	PROMOTER	1.19519499	5.25E-17
215393	A_68_P21908072	Chrna4	chr2:180973264-180973309	PROMOTER	1.278631493	5.45E-17
13388	A_68_P32468554	Olfr1325	chrX:070848996-070849055	DOWNSTREAM	0.893416358	5.55E-17
40817	A_68_P27970635	Pex12-Ap2b1	chr11:083118477-083118535	DIVERGENT_PROMOTER	1.27474484	5.60E-17
163785	A_68_P23241833	Olfr1341	chr4:118203468-118203527	PROMOTER	0.889541677	5.72E-17
209275	A_68_P32704851	Irs4	chrX:136969777-136969835	INSIDE	0.872312578	5.79E-17
173841	A_68_P30579047	D16H22S680E	chr16:018238826-018238881	PROMOTER	0.968035505	5.85E-17
231310	A_68_P22435328	Amy1	chr3:113571826-113571885	PROMOTER	0.921299297	6.78E-17
163046	A_68_P22410445	Ampd2-Gnat2	chr3:108216794-108216853	DIVERGENT_PROMOTER	0.99838955	6.94E-17
172072	A_68_P24043168	Ptpn11-Rpl6	chr5:121461172-121461231	DIVERGENT_PROMOTER	0.961744832	7.19E-17
166061	A_68_P20449771	Olfr1412	chr1:094417977-094418022	PROMOTER	1.253426132	7.30E-17
209177	A_68_P30350094	Recql4	chr15:076532966-076533010	INSIDE	1.241268338	7.55E-17
72805	A_68_P31106498	Wdr24	chr17:025551069-025551126	PROMOTER	0.914373607	7.91E-17
