Gene symbol	Gene annotation	Fold change	Domain
SPAC18B11.06	U3 snoRNP-associated protein Lcp5 (predicted)	0.632087271	Cd
SPBC24C6.02	ATP-dependent RNA helicase Spb4 (predicted)	0.660642795	Cd
SPAC27F1.06c	FKBP-type peptidyl-prolyl cis-trans isomerase (predicted)	0.582198085	Cd
prh1	ATP-dependent RNA helicase Prh1	0.647508633	Cd
SPBC19C2.13c	conserved eukaryotic protein	0.638883152	Cd
SPBC1539.10	ribosome biogenesis protein Nop16 (predicted)	0.654815934	Cd
SPAC1B3.04c	mitochondrial GTPase Guf1 (predicted)	0.570682054	Cd
SPBC1711.15c	sequence orphan	0.53580102	Cd
SPBC29A3.11c	mitochondrial carboxylic acid transporter	0.590124339	Cd
rpb12	DNA-directed RNA polymerase I, II and III subunit Rpc10	0.617545354	Cd
SPBC1683.01	inorganic phosphate transporter (predicted)	0.631998045	Cd
SPBC530.11c	transcription factor (predicted)	0.619364529	Cd
rrp8	rRNA methyltransferase Rrp8 (predicted)	0.625843134	Cd
SPCC24B10.18	human Leydig cell tumor 10 kDa protein homolog	0.618587535	Cd
SPBC4F6.07c	ATP-dependent RNA helicase Mak5 (predicted)	0.638965599	Cd
SPAC9.10	amino acid permease, unknown 2	0.599542085	Cd
ade9	C-1-tetrahydrofolatesynthase/methylenetetrahydrof olatedehydrogenase/methylenetetrahydrofolatecyclohydrolase/ formyltetrahydrofolatesynthetase	0.630545769	Cd
rnc1	RNA-binding protein that suppresses calcineurin deletion Rnc1	0.542224422	Cd
SPAC19G12.05	mitochondrial citrate transporter	0.629015439	Cd
SPBC409.08	spermine family transporter (predicted)	0.50393294	Cd
SPAC2H10.01	transcription factor	0.33820876	Cd
SPAPB1A10.14	F-box protein, unnamed	0.406160787	Sb
SPAC1786.02	phospholipase (predicted)	0.489484868	Sb
SPBC409.08	spermine family transporter (predicted)	0.50393294	Sb
SPBC1683.01	inorganic phosphate transporter (predicted)	0.631998045	Sb
SPBPB10D8.01	cysteine transporter (predicted)	0.539599157	Sb
SPAC869.05c	sulfate transporter (predicted)	0.530882896	Sb
SPAPB1A10.14	F-box protein, unnamed	0.406160787	MMS
SPBC1683.01	inorganic phosphate transporter (predicted)	0.631998045	MMS
