Ensembl ID	External gene Id	Chr	Gene start (bp)	MYC-binding sites
ENSG00000100614	PPM1A	14	60712470	3
ENSG00000078304	PPP2R5C	14	102228222	3
ENSG00000166126	AMN	14	103389004	3
ENSG00000203486	AL583722.1	14	105131255	3
ENSG00000140157	NIPA2	15	23004684	3
ENSG00000188277	C15orf62	15	41062178	3
ENSG00000166949	SMAD3	15	67358183	3
ENSG00000140350	ANP32A	15	69070874	3
ENSG00000073417	PDE8A	15	85523671	3
ENSG00000103495	MAZ	16	29817855	3
ENSG00000181938	GINS3	16	58426298	3
ENSG00000102974	CTCF	16	67596310	3
ENSG00000072736	NFATC3	16	68119375	3
ENSG00000103187	COTL1	16	84599200	3
ENSG00000176715	ACSF3	16	89160217	3
ENSG00000132510	KDM6B	17	7743222	3
ENSG00000108557	RAI1	17	17584787	3
ENSG00000034152	MAP2K3	17	21187984	3
ENSG00000002834	LASP1	17	37026256	3
ENSG00000108312	UBTF	17	42282402	3
ENSG00000169710	FASN	17	80036215	3
ENSG00000182459	TEX19	17	80317123	3
ENSG00000099622	CIRBP	19	1269267	3
ENSG00000129911	KLF16	19	1852398	3
ENSG00000104904	OAZ1	19	2269598	3
ENSG00000235230	AC_011542.1	19	2414256	3
ENSG00000178951	ZBTB7A	19	4045217	3
ENSG00000008382	MPND	19	4343556	3
ENSG00000171105	INSR	19	7112266	3
ENSG00000129354	AP1M2	19	10683347	3
ENSG00000012124	CD22	19	35820079	3
ENSG00000221258	AC_011465.1	19	38544518	3
ENSG00000142539	SPIB	19	50922198	3
ENSG00000177732	SOX12	20	306239	3
ENSG00000125843	C20orf29	20	3801178	3
ENSG00000124243	BCAS4	20	49411431	3
ENSG00000218018	RP4-800J21.3	20	55959216	3
ENSG00000203896	LIME1	20	62366815	3
ENSG00000160221	C21orf33	21	45553487	3
ENSG00000100105	PATZ1	22	31721790	3
ENSG00000054611	TBC1D22A	22	47158518	3
ENSG00000189409	MMP23B	1	1567474	2
ENSG00000078369	GNB1	1	1716725	2
ENSG00000248957	AL109917.1	1	1815600	2
ENSG00000169885	CALML6	1	1846266	2
ENSG00000157873	TNFRSF14	1	2487078	2
ENSG00000131697	NPHP4	1	5922871	2
ENSG00000116288	PARK7	1	8014351	2
ENSG00000116649	SRM	1	11114641	2
ENSG00000116731	PRDM2	1	14026693	2
ENSG00000179743	RP11-169K16.9	1	16160974	2
ENSG00000132881	C1orf89	1	16555170	2
ENSG00000117148	ACTL8	1	18081808	2
ENSG00000127481	UBR4	1	19401000	2
ENSG00000127483	HP1BP3	1	21069154	2
ENSG00000247296	AL451000.1	1	23940283	2
ENSG00000117614	SYF2	1	25549170	2
ENSG00000117713	ARID1A	1	27022522	2
ENSG00000162511	LAPTM5	1	31205316	2
ENSG00000163866	C1orf212	1	35178338	2
ENSG00000116560	SFPQ	1	35641979	2
ENSG00000117016	RIMS3	1	41086351	2
ENSG00000065978	YBX1	1	43148098	2
ENSG00000196517	SLC6A9	1	44462155	2
ENSG00000186603	HPDL	1	45792545	2
ENSG00000182183	FAM159A	1	53099016	2
ENSG00000162377	C1orf163	1	53152508	2
ENSG00000162433	AK3L1	1	65613232	2
ENSG00000142864	SERBP1	1	67873493	2
ENSG00000171492	LRRC8D	1	90286604	2
ENSG00000154511	FAM69A	1	93307724	2
ENSG00000227963	RP5-1074L1.1	1	110828997	2
ENSG00000163125	RPRD2	1	150335567	2
ENSG00000143543	JTB	1	153946745	2
ENSG00000160710	ADAR	1	154554537	2
ENSG00000163344	PMVK	1	154897210	2
ENSG00000160767	FAM189B	1	155216996	2
ENSG00000224276	RP11-336K24.5	1	155961181	2
ENSG00000160783	PMF1	1	156182773	2
ENSG00000143294	PRCC	1	156720402	2
ENSG00000122224	LY9	1	160765896	2
ENSG00000162746	FCRLB	1	161691353	2
ENSG00000241666	RP3-455J7.4	1	167596622	2
ENSG00000116161	CACYBP	1	174968300	2
ENSG00000143333	RGS16	1	182567758	2
ENSG00000116679	IVNS1ABP	1	185265520	2
ENSG00000116747	TROVE2	1	193028552	2
ENSG00000143851	PTPN7	1	202116141	2
ENSG00000133056	PIK3C2B	1	204391756	2
ENSG00000242861	RP11-285F7.2	1	226028584	2
ENSG00000168159	RNF187	1	228674762	2
ENSG00000059588	TARBP1	1	234527059	2
ENSG00000168264	IRF2BP2	1	234740015	2
ENSG00000115758	ODC1	2	10580094	2
ENSG00000138031	ADCY3	2	25042038	2
ENSG00000158089	GALNT14	2	31133333	2
ENSG00000162959	MEMO1	2	32092878	2
ENSG00000230587	AC_093609.1	2	43324884	2
ENSG00000143933	CALM2	2	47272677	2
ENSG00000170802	FOXN2	2	48541776	2
ENSG00000228590	AC_007381.3	2	60577730	2
ENSG00000119866	BCL11A	2	60678302	2
ENSG00000082898	XPO1	2	61704984	2
ENSG00000226756	AC_007365.3	2	64871746	2
ENSG00000246432	AC_010913.1	2	73511662	2
ENSG00000168906	MAT2A	2	85766288	2
ENSG00000250759	AC_012511.1	2	86200673	2
ENSG00000230006	AC_096579.14	2	89065324	2
ENSG00000163126	ANKRD23	2	97490263	2
ENSG00000158417	EIF5B	2	99953816	2
ENSG00000135966	TGFBRAP1	2	105880871	2
ENSG00000227842	AC_093166.2	2	112475085	2
ENSG00000188177	ZC3H6	2	113033171	2
ENSG00000234174	AC_016683.5	2	113929112	2
ENSG00000144230	GPR17	2	128403569	2
ENSG00000173349	SFT2D3	2	128458597	2
ENSG00000115806	GORASP2	2	171784974	2
ENSG00000115827	DCAF17	2	172290727	2
ENSG00000091436	AC_013461.1	2	173940442	2
ENSG00000222043	AC_079305.10	2	178129087	2
ENSG00000077232	DNAJC10	2	183580999	2
ENSG00000170396	ZNF804A	2	185463093	2
ENSG00000201813	U6	2	196535096	2
ENSG00000115541	HSPE1	2	198364718	2
ENSG00000144579	CTDSP1	2	219262979	2
ENSG00000229525	AC_053503.4	2	220253218	2
ENSG00000188760	TMEM198	2	220408385	2
ENSG00000169047	IRS1	2	227599757	2
ENSG00000177673	C2orf57	2	232457612	2
ENSG00000252010	SCARNA6	2	234184373	2
ENSG00000077044	DGKD	2	234263153	2
ENSG00000124831	LRRFIP1	2	238536219	2
ENSG00000144488	ESPNL	2	239008798	2
ENSG00000188542	DUSP28	2	241499471	2
ENSG00000233806	AC_131097.3	2	242823514	2
ENSG00000157020	SEC13	3	10334815	2
ENSG00000231362	RP11-715I4.1	3	13094467	2
ENSG00000132182	NUP210	3	13357737	2
ENSG00000206560	ANKRD28	3	15708743	2
ENSG00000131378	RFTN1	3	16357352	2
ENSG00000197385	ZNF860	3	32023263	2
ENSG00000144655	CSRNP1	3	39183346	2
ENSG00000144659	SLC25A38	3	39424839	2
ENSG00000160796	NBEAL2	3	47021173	2
ENSG00000163832	C3orf75	3	47537130	2
ENSG00000173473	SMARCC1	3	47626762	2
ENSG00000164045	CDC25A	3	48198636	2
ENSG00000213689	TREX1	3	48506445	2
ENSG00000178149	DALRD3	3	49052921	2
ENSG00000068028	RASSF1	3	50367217	2
ENSG00000243989	ACY1	3	52017356	2
ENSG00000239732	TLR9	3	52255096	2
ENSG00000163930	BAP1	3	52435029	2
ENSG00000163946	C3orf63	3	56654160	2
ENSG00000163686	ABHD6	3	58223233	2
ENSG00000189283	FHIT	3	59735036	2
ENSG00000144749	LRIG1	3	66429221	2
ENSG00000176142	TMEM39A	3	119148347	2
ENSG00000145103	ILDR1	3	121706170	2
ENSG00000169714	CNBP	3	128886661	2
ENSG00000118007	STAG1	3	136055077	2
ENSG00000114120	SLC25A36	3	140660672	2
ENSG00000181744	C3orf58	3	143690640	2
ENSG00000243675	RP11-379F4.1	3	158481220	2
ENSG00000173905	GOLIM4	3	167726465	2
ENSG00000085274	MYNN	3	169490853	2
ENSG00000171757	LRRC34	3	169511216	2
ENSG00000177565	TBL1XR1	3	176737143	2
ENSG00000121864	ZNF639	3	179040779	2
ENSG00000242522	RP11-509E17.1	3	183266523	2
ENSG00000145191	EIF2B5	3	183852826	2
ENSG00000163882	POLR2H	3	184079506	2
ENSG00000236864	RP11-44H4.1	3	187650552	2
ENSG00000114315	HES1	3	193853934	2
ENSG00000173950	C3orf21	3	194789008	2
ENSG00000236844	AC_091633.2	3	195281428	2
ENSG00000224614	AC_124944.2	3	195634947	2
ENSG00000163961	RNF168	3	196195654	2
ENSG00000232065	AC_023797.1	3	196358369	2
ENSG00000163964	PIGX	3	196366646	2
ENSG00000168884	TNIP2	4	2743375	2
ENSG00000132405	TBC1D14	4	6910969	2
ENSG00000249762	AC_104650.2	4	8242571	2
ENSG00000168421	RHOH	4	40192673	2
ENSG00000188848	BEND4	4	42112955	2
ENSG00000132463	GRSF1	4	71681499	2
ENSG00000138668	HNRNPD	4	83273651	2
ENSG00000168152	THAP9	4	83821837	2
ENSG00000138795	LEF1	4	108968701	2
ENSG00000174749	C4orf32	4	113066553	2
ENSG00000150961	SEC24D	4	119643978	2
ENSG00000145391	SETD7	4	140417243	2
ENSG00000243175	RP11-58H15.1	4	144345906	2
ENSG00000121210	KIAA0922	4	154387498	2
ENSG00000049656	CLPTM1L	5	1317859	2
ENSG00000112941	POLS	5	6714718	2
ENSG00000154124	FAM105B	5	14664773	2
ENSG00000113460	BRIX1	5	34915481	2
ENSG00000177738	CTD-2201E18.3	5	43014516	2
ENSG00000068796	KIF2A	5	61601989	2
ENSG00000145741	BTF3	5	72794233	2
ENSG00000176055	MBLAC2	5	89754020	2
ENSG00000248489	CTD-2007H13.3	5	98264875	2
ENSG00000113368	LMNB1	5	126112315	2
ENSG00000186687	LYRM7	5	130506503	2
ENSG00000238160	AC_116366.5	5	131755108	2
ENSG00000249073	CTD-2131I18.1	5	133249368	2
ENSG00000132570	PCBD2	5	134240596	2
ENSG00000120738	EGR1	5	137801179	2
ENSG00000171604	CXXC5	5	139026884	2
ENSG00000249526	CTB-35F21.1	5	139064230	2
ENSG00000155846	PPARGC1B	5	149109815	2
ENSG00000198624	CCDC69	5	150560613	2
ENSG00000155508	CNOT8	5	154238106	2
ENSG00000164330	EBF1	5	158122928	2
ENSG00000181163	NPM1	5	170814708	2
ENSG00000146083	RNF44	5	175953698	2
ENSG00000169220	RGS14	5	176784838	2
ENSG00000131188	PRR7	5	176873446	2
ENSG00000197451	HNRNPAB	5	177631508	2
ENSG00000248473	CTC-338M12.2	5	180618046	2
ENSG00000146063	TRIM41	5	180649499	2
ENSG00000232654	FAM136B	6	3045618	2
ENSG00000137285	TUBB2B	6	3224517	2
ENSG00000124785	NRN1	6	5998232	2
ENSG00000187461	C6orf114	6	13469507	2
ENSG00000112242	E2F3	6	20402398	2
ENSG00000182952	HMGN4	6	26538572	2
ENSG00000204252	HLA-DOA	6	32971955	2
ENSG00000096060	FKBP5	6	35541362	2
ENSG00000220349	RP3-431A14.4	6	36704827	2
ENSG00000137168	PPIL1	6	36822603	2
ENSG00000231102	RP11-298J23.5	6	41688134	2
ENSG00000236163	RP11-501I18.2	6	42756998	2
ENSG00000124688	MAD2L1BP	6	43597277	2
ENSG00000096384	HSP90AB1	6	44214824	2
ENSG00000249379	RP1-27K12.4	6	53367983	2
ENSG00000135316	SYNCRIP	6	86267696	2
ENSG00000203875	SNHG5	6	86386725	2
ENSG00000251241	AL132996.1	6	91054938	2
ENSG00000112297	AIM1	6	106959730	2
ENSG00000178409	BEND3	6	107386386	2
ENSG00000118689	FOXO3	6	108881038	2
ENSG00000135535	CD164	6	109687717	2
ENSG00000231889	RP3-487J7.2	6	111804744	2
ENSG00000056972	TRAF3IP2	6	111877657	2
ENSG00000111860	C6orf204	6	118781935	2
ENSG00000112306	RPS12	6	133135681	2
ENSG00000010818	HIVEP2	6	143072604	2
ENSG00000220347	RP11-230C9.1	6	156983184	2
ENSG00000175048	ZDHHC14	6	157802557	2
ENSG00000188451	RP1-274L14.2	6	158658368	2
ENSG00000239857	C7orf20	7	916189	2
ENSG00000231927	AC_102953.6	7	1548291	2
ENSG00000106009	C7orf27	7	2577511	2
ENSG00000234708	AC_006483.8	7	5553485	2
ENSG00000106415	GLCCI1	7	8008423	2
ENSG00000122545	SEPT7	7	35840542	2
ENSG00000196262	PPIA	7	44836279	2
ENSG00000136280	CCM2	7	45039074	2
ENSG00000200815	U6	7	50503078	2
ENSG00000154978	VOPP1	7	55503749	2
ENSG00000234444	ZNF736	7	63767837	2
ENSG00000158321	AUTS2	7	69063905	2
ENSG00000106683	LIMK1	7	73497263	2
ENSG00000127957	PMS2L3	7	75137069	2
ENSG00000237819	AC_002454.1	7	92465797	2
ENSG00000130429	ARPC1B	7	98971872	2
ENSG00000221838	AP4M1	7	99699130	2
ENSG00000176125	UFSP1	7	100486346	2
ENSG00000239480	RP11-514P8.2	7	102067265	2
ENSG00000160991	ORAI2	7	102073553	2
ENSG00000091127	PUS7	7	105080108	2
ENSG00000242394	AC_000123.2	7	126999839	2
ENSG00000122786	CALD1	7	134429003	2
ENSG00000122783	C7orf49	7	134777115	2
ENSG00000204947	ZNF425	7	148799876	2
ENSG00000170265	ZNF282	7	148892554	2
ENSG00000239377	RP4-584D14.6	7	150076943	2
ENSG00000249694	AC_104021.1	8	2447078	2
ENSG00000158941	KIAA1967	8	22462257	2
ENSG00000240116	AC_107959.2	8	22835390	2
ENSG00000092964	DPYSL2	8	26371842	2
ENSG00000186918	ZNF395	8	28203102	2
ENSG00000083168	MYST3	8	41786997	2
ENSG00000070718	AP3M2	8	42010464	2
ENSG00000120992	LYPLA1	8	54958939	2
ENSG00000205189	ZBTB10	8	81397902	2
ENSG00000070756	PABPC1	8	101715144	2
ENSG00000155090	KLF10	8	103661007	2
ENSG00000217620	AP_003356.1	8	103819070	2
ENSG00000155096	AZIN1	8	103838536	2
ENSG00000164934	DCAF13	8	104427219	2
ENSG00000178764	ZHX2	8	123793901	2
ENSG00000173334	TRIB1	8	126442563	2
ENSG00000171045	TSNARE1	8	143293442	2
ENSG00000130193	C8orf55	8	143808621	2
ENSG00000231938	AC_105118.1	8	144458848	2
ENSG00000178719	GRINA	8	145064226	2
ENSG00000179091	CYC1	8	145149960	2
ENSG00000167700	MFSD3	8	145734463	2
ENSG00000196150	ZNF250	8	146092748	2
ENSG00000222973	U2	9	2162763	2
ENSG00000086102	NFX1	9	33290509	2
ENSG00000107140	TESK1	9	35605367	2
ENSG00000131669	NINJ1	9	95883771	2
ENSG00000199165	hsa-let-7a-1	9	96938239	2
ENSG00000165244	ZNF367	9	99148223	2
ENSG00000136938	ANP32B	9	100745638	2
ENSG00000106785	TRIM14	9	100831557	2
ENSG00000119508	NR4A3	9	102584137	2
ENSG00000119318	RAD23B	9	110045418	2
ENSG00000228053	RP11-151F5.2	9	112787161	2
ENSG00000119408	NEK6	9	127019885	2
ENSG00000136950	ARPC5L	9	127624409	2
ENSG00000106991	ENG	9	130577291	2
ENSG00000226602	RP11-216B9.8	9	131448620	2
ENSG00000130713	EXOSC2	9	133569108	2
ENSG00000126882	FAM78A	9	134133463	2
ENSG00000130723	BAT2L	9	134269480	2
ENSG00000196990	FAM163B	9	136444072	2
ENSG00000165661	QSOX2	9	139098179	2
ENSG00000165689	SDCCAG3	9	139296377	2
ENSG00000228544	RP11-216L13.8	9	139698379	2
ENSG00000054148	PHPT1	9	139743176	2
ENSG00000108021	C10orf18	10	5726801	2
ENSG00000057608	GDI2	10	5807186	2
ENSG00000148429	USP6NL	10	11502509	2
ENSG00000183049	CAMK1D	10	12391481	2
ENSG00000152457	DCLRE1C	10	14939358	2
ENSG00000107897	ACBD5	10	27484144	2
ENSG00000151151	IPMK	10	59951278	2
ENSG00000156521	TYSND1	10	71897737	2
ENSG00000238446	U7	10	73604492	2
ENSG00000156110	ADK	10	75910987	2
ENSG00000182771	GRID1	10	87359312	2
ENSG00000095585	BLNK	10	97951013	2
ENSG00000155629	PIK3AP1	10	98353069	2
ENSG00000198728	LDB1	10	103867317	2
ENSG00000077150	NFKB2	10	104154229	2
ENSG00000228417	RP11-549L6.3	10	111967608	2
ENSG00000229668	RP11-317F20.2	10	116261756	2
ENSG00000148908	RGS10	10	121259340	2
ENSG00000151923	TIAL1	10	121334199	2
ENSG00000199466	Y_RNA	10	126454765	2
ENSG00000231705	RP11-432J24.2	10	134232587	2
ENSG00000177225	PDDC1	11	767225	2
ENSG00000177542	SLC25A22	11	790475	2
ENSG00000177830	CHID1	11	867860	2
ENSG00000078902	TOLLIP	11	1295601	2
ENSG00000238184	AC_129929.5	11	2349979	2
ENSG00000205339	IPO7	11	9406169	2
ENSG00000243964	RP11-16F15.1	11	9627689	2
ENSG00000197601	FAR1	11	13690206	2
ENSG00000152219	C11orf46	11	30344656	2
ENSG00000060749	QSER1	11	32914792	2
ENSG00000135387	CAPRIN1	11	34073230	2
ENSG00000149182	ARFGAP2	11	47185854	2
ENSG00000165915	SLC39A13	11	47430051	2
ENSG00000109920	FNBP4	11	47738070	2
ENSG00000134802	SLC43A3	11	57174429	2
ENSG00000149150	SLC43A1	11	57252010	2
ENSG00000252893	U7	11	59326273	2
ENSG00000149016	TUT1	11	62327075	2
ENSG00000110583	NAA40	11	63706442	2
ENSG00000168439	STIP1	11	63953297	2
ENSG00000149781	FERMT3	11	63974152	2
ENSG00000173486	FKBP2	11	64008413	2
ENSG00000173153	ESRRA	11	64073044	2
ENSG00000068831	RASGRP2	11	64494383	2
ENSG00000162298	SYVN1	11	64894753	2
ENSG00000251562	MALAT1	11	65269807	2
ENSG00000142186	SCYL1	11	65292548	2
ENSG00000172803	SNX32	11	65601366	2
ENSG00000173621	LRFN4	11	66624589	2
ENSG00000173020	ADRBK1	11	67033905	2
ENSG00000132744	ACY3	11	67410029	2
ENSG00000132746	ALDH3B2	11	67429634	2
ENSG00000110057	UNC93B1	11	67758575	2
ENSG00000137522	RNF121	11	71639747	2
ENSG00000175581	MRPL48	11	73498917	2
ENSG00000175567	UCP2	11	73685716	2
ENSG00000152558	TMEM123	11	102267058	2
ENSG00000118058	MLL	11	118307205	2
ENSG00000239726	AP_004609.2	11	118801921	2
ENSG00000109971	HSPA8	11	122928203	2
ENSG00000134910	STT3A	11	125462739	2
ENSG00000134954	ETS1	11	128328656	2
ENSG00000170322	NFRKB	11	129733671	2
ENSG00000149418	ST14	11	130029682	2
ENSG00000006831	ADIPOR2	12	1800193	2
ENSG00000151065	DCP1B	12	2055216	2
ENSG00000111640	GAPDH	12	6643093	2
ENSG00000139083	ETV6	12	11802788	2
ENSG00000177340	AC_024940.1	12	31477423	2
ENSG00000151746	BICD1	12	32260182	2
ENSG00000189079	ARID2	12	46123492	2
ENSG00000139218	SFRS2IP	12	46315192	2
ENSG00000061273	HDAC7	12	48176505	2
ENSG00000123416	TUBA1B	12	49521569	2
ENSG00000167553	TUBA1C	12	49658865	2
ENSG00000012822	CALCOCO1	12	54104902	2
ENSG00000170515	PA2G4	12	56498103	2
ENSG00000135482	ZC3H10	12	56512030	2
ENSG00000196465	MYL6B	12	56546335	2
ENSG00000110958	PTGES3	12	57057127	2
ENSG00000166888	STAT6	12	57489195	2
ENSG00000185633	NDUFA4L2	12	57628688	2
ENSG00000111087	GLI1	12	57853934	2
ENSG00000135655	USP15	12	62654187	2
ENSG00000184575	XPOT	12	64798233	2
ENSG00000080371	RAB21	12	72148658	2
ENSG00000187109	NAP1L1	12	76438682	2
ENSG00000102189	EEA1	12	93166286	2
ENSG00000177889	UBE2N	12	93802090	2
ENSG00000218754	RPL18AP3	12	104659087	2
ENSG00000110876	SELPLG	12	109015686	2
ENSG00000174437	ATP2A2	12	110719032	2
ENSG00000186815	TPCN1	12	113659260	2
ENSG00000089094	KDM2B	12	121866902	2
ENSG00000182500	ORAI1	12	122064455	2
ENSG00000139725	RHOF	12	122215662	2
ENSG00000110987	BCL7A	12	122459861	2
ENSG00000139722	VPS37B	12	123349882	2
ENSG00000130921	C12orf65	12	123717463	2
ENSG00000139697	SBNO1	12	123780455	2
ENSG00000150977	RILPL2	12	123899588	2
ENSG00000196498	NCOR2	12	124808961	2
ENSG00000073060	SCARB1	12	125262186	2
ENSG00000132341	RAN	12	131356568	2
ENSG00000177192	PUS1	12	132413789	2
ENSG00000185684	EP400NL	12	132568828	2
ENSG00000186184	POLR1D	13	28194903	2
ENSG00000225039	RP11-223E19.2	13	30993656	2
ENSG00000236444	RP11-223E19.1	13	31002128	2
ENSG00000132952	USPL1	13	31191830	2
ENSG00000120688	WBP4	13	41635410	2
ENSG00000139684	ESD	13	47345391	2
ENSG00000136161	RCBTB2	13	49063095	2
ENSG00000231607	DLEU2	13	50601269	2
ENSG00000176124	DLEU1	13	50656307	2
ENSG00000102796	DHRS12	13	52342129	2
ENSG00000118922	KLF12	13	74260150	2
ENSG00000215417	MIR17HG (mir-17-92)	13	92000074	2
ENSG00000088451	TGDS	13	95226308	2
ENSG00000174405	LIG4	13	108859794	2
ENSG00000227352	RP11-551M15.4	13	111796652	2
ENSG00000100889	PCK2	14	24563368	2
ENSG00000100897	DCAF11	14	24583989	2
ENSG00000198604	BAZ1A	14	35221938	2
ENSG00000100906	NFKBIA	14	35870717	2
ENSG00000250548	AL355916.1	14	62023038	2
ENSG00000140009	ESR2	14	64693753	2
ENSG00000139990	DCAF5	14	69517638	2
ENSG00000100632	ERH	14	69846840	2
ENSG00000170348	TMED10	14	75598173	2
ENSG00000100591	AHSA1	14	77924402	2
ENSG00000247694	AL136040.1	14	81687562	2
ENSG00000119714	GPR68	14	91698877	2
ENSG00000100628	ASB2	14	94400499	2
ENSG00000187621	TCL6	14	96116835	2
ENSG00000200506	Y_RNA	14	100049354	2
ENSG00000249733	AL359682.1	14	101723669	2
ENSG00000170779	CDCA4	14	105475910	2
ENSG00000226174	RP11-521B24.1	14	105864920	2
ENSG00000134138	MEIS2	15	37183222	2
ENSG00000248508	AC_021755.4	15	40331512	2
ENSG00000104081	BMF	15	40380091	2
ENSG00000128965	CHAC1	15	41245347	2
ENSG00000174197	MGA	15	41952610	2
ENSG00000181827	RFX7	15	56379666	2
ENSG00000140455	USP3	15	63796810	2
ENSG00000157734	SNX22	15	64443916	2
ENSG00000090470	PDCD7	15	65409717	2
ENSG00000103769	RAB11A	15	66161789	2
ENSG00000166938	DIS3L	15	66585555	2
ENSG00000128973	CLN6	15	68499330	2
ENSG00000103647	CORO2B	15	68871308	2
ENSG00000140332	TLE3	15	70340543	2
ENSG00000207965	hsa-mir-629	15	70371711	2
ENSG00000166233	ARIH1	15	72766667	2
ENSG00000140506	LMAN1L	15	75105057	2
ENSG00000138621	PPCDC	15	75315896	2
ENSG00000167173	C15orf39	15	75491233	2
ENSG00000140398	NEIL1	15	75639331	2
ENSG00000180953	ST20	15	80191185	2
ENSG00000235913	AC_106028.2	15	93338877	2
ENSG00000173575	CHD2	15	93443419	2
ENSG00000183571	PGPEP1L	15	99511509	2
ENSG00000247392	AC_015712.2	15	101433945	2
ENSG00000103152	MPG	16	127006	2
ENSG00000197562	RAB40C	16	640089	2
ENSG00000228201	AL022341.3	16	698473	2
ENSG00000206630	SNORD60	16	2205024	2
ENSG00000131650	KREMEN2	16	3014160	2
ENSG00000090447	TFAP4	16	4307187	2
ENSG00000126603	GLIS2	16	4364762	2
ENSG00000179583	CIITA	16	10971039	2
ENSG00000038532	CLEC16A	16	11038345	2
ENSG00000221801	hsa-mir-548h-2	16	11400297	2
ENSG00000155666	JMJD5	16	27214807	2
ENSG00000103522	IL21R	16	27413686	2
