Gene Symbol	GENE	Fc MDA.FN(+)/MDA
GDI2	GDI2 (GDP dissociation inhibitor 2)	3,06
SOX17	SOX17 (SRY (sex determining region Y)-box 17)	3,08
FBXL14	FBXL14 (F-box and leucine-rich repeat protein 14)	3,10
DDX52	DDX52 (DEAD (Asp-Glu-Ala-Asp) box polypeptide 52)	3,40
FLJ11106	FLJ11106 (hypothetical protein FLJ11106)	3,44
SPEC1	SPEC1 (small protein effector 1 of Cdc42)	3,48
NEDD4L	NEDD4L (neural precursor cell expressed, developmentally down-regulated 4-like)	3,49
AREG	AREG (amphiregulin (schwannoma-derived growth factor))	3,73
PSMA5	PSMA5 (proteasome (prosome, macropain) subunit, alpha type, 5)	3,93
FRAS1	FRAS1 (Fraser syndrome 1)	3,97
HECTD1	HECTD1 (HECT domain containing 1)	4,49
STK3	STK3 (serine/threonine kinase 3 (STE20 homolog, yeast))	5,00
SERPINB2	SERPINB2 (serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2)	5,96
