Gene Symbol	Probeset ID	p-value	Fold-Change
NR4A1	202340_x_at	9.26E-09	2.52577
CRISPLD1	223475_at	0.00033482	2.51661
EGR1	201693_s_at	9.27E-07	2.51543
SPRY1	212558_at	0.000398643	2.51114
GPR155	239533_at	0.000400071	2.50964
CA12	204508_s_at	0.00142681	2.50964
CPE	201117_s_at	4.63E-05	2.49863
GAS7	211067_s_at	1.04E-06	2.49772
CA12	215867_x_at	0.00125233	2.49757
PPM1E	205938_at	1.15E-11	2.49558
MIA	206560_s_at	1.02E-06	2.49189
GAS7	207704_s_at	1.14E-05	2.49176
PPP1R9A	228494_at	0.000173837	2.48914
CHRNA1	206633_at	2.49E-09	2.48653
AFAP1L2	226829_at	0.000218696	2.48356
BOC	225990_at	0.00445753	2.48305
NR4A2	204622_x_at	1.73E-10	2.4798
WFDC1	219478_at	1.59E-05	2.47818
GAS7	210872_x_at	6.92E-08	2.47779
VLDLR	209822_s_at	2.93E-06	2.47511
PRELP	228224_at	2.42E-05	2.47191
CTH	206085_s_at	5.51E-08	2.4711
TMEM163	1552626_a_at	0.000288442	2.46451
	243932_at	9.58E-08	2.45918
IGFBP3	212143_s_at	1.94E-05	2.4431
GPC3	209220_at	7.87E-06	2.4415
PLEKHH2	227148_at	8.83E-06	2.43242
MTUS1	212096_s_at	3.45E-05	2.41726
NR0B1	206645_s_at	3.79E-05	2.41248
SORBS1	218087_s_at	0.000247654	2.40934
RDH10	226021_at	0.000657737	2.40879
KIAA0644	205150_s_at	9.98E-10	2.40737
LAMA4	202202_s_at	1.64E-05	2.40539
PDGFRA	203131_at	0.00177068	2.40175
SGCD	210330_at	3.26E-05	2.39619
RLBP1	206154_at	0.000714947	2.39443
SLC27A1	226728_at	6.20E-08	2.39033
ACAN	207692_s_at	3.49E-19	2.38361
RAB11FIP4	224482_s_at	2.38E-08	2.38304
CX3CL1	203687_at	2.71E-07	2.37802
ACAN	205679_x_at	3.83E-13	2.37343
IGFBP4	201508_at	1.12E-05	2.36216
PPL	203407_at	6.52E-05	2.36211
NR4A2	204621_s_at	1.26E-09	2.35699
ACSS3	229222_at	0.000583907	2.35596
METTL7A	207761_s_at	0.00231635	2.34822
TRIM48	220534_at	2.47E-07	2.34767
FAM134B	218532_s_at	2.54E-06	2.34606
NUPR1	209230_s_at	9.32E-05	2.34453
EPHB3	1438_at	0.000321226	2.34085
PTCH1	209815_at	0.000106259	2.3403
CA6	206873_at	4.29E-10	2.33901
STXBP6	230560_at	0.000138475	2.33821
LAMP3	205569_at	0.000386548	2.33389
KLHDC8A	219331_s_at	1.00E-05	2.32956
EMILIN1	204163_at	2.67E-07	2.32561
MACROD2	235278_at	0.000430128	2.32484
NOG	231798_at	1.30E-13	2.32125
	235111_at	8.11E-07	2.31891
	229373_at	3.73E-05	2.31816
TXNIP	201009_s_at	0.000174979	2.30344
TNFRSF19	227812_at	0.00448345	2.30341
USP53	230083_at	4.66E-05	2.30112
ITIH5	1553243_at	8.27E-05	2.29467
FLI1	204236_at	1.32E-05	2.29073
SLC2A10	221024_s_at	0.00178098	2.27917
CADM4	215259_s_at	3.88E-05	2.27827
MTHFD2	201761_at	1.48E-08	2.27825
SDC3	202898_at	1.08E-08	2.27518
IFITM2	201315_x_at	1.67E-07	2.27304
IL12RB2	206999_at	0.00177526	2.27091
TCN1	205513_at	0.000311049	2.27005
FOS	209189_at	1.16E-05	2.26978
NXN	219489_s_at	8.40E-06	2.26679
OLFML2A	213075_at	0.00481876	2.2578
WWP2	204022_at	1.12E-10	2.25731
DCHS1	222101_s_at	2.29E-06	2.2553
IFITM3	212203_x_at	1.39E-07	2.25373
WWP2	1552737_s_at	1.07E-11	2.25322
S100A1	205334_at	0.000118303	2.24947
CPE	201116_s_at	8.84E-05	2.24513
KIAA0746	212314_at	0.00071289	2.24249
GDPD1	238681_at	9.23E-06	2.23562
PCYOX1L	218953_s_at	1.46E-08	2.23109
SGCD	213543_at	0.00012277	2.22798
B3GNT5	225612_s_at	3.23E-05	2.22717
TUBE1	226181_at	4.13E-05	2.22655
SGCD	230730_at	3.45E-05	2.22191
SCD	200832_s_at	0.000768062	2.21213
HLA-DMA	217478_s_at	0.00293864	2.21169
PI15	229947_at	0.00133987	2.21038
IL27RA	222062_at	0.00110368	2.20963
NTSR1	207360_s_at	1.64E-16	2.20781
TFPI	210665_at	8.33E-11	2.20363
CD24	209771_x_at	4.48E-05	2.20162
TMEM100	219230_at	4.31E-13	2.20147
SERPINF1	202283_at	0.00162994	2.2012
CLMN	213839_at	0.000363763	2.2008
CD24	208650_s_at	2.56E-10	2.20015
GYG2	215695_s_at	0.00325366	2.19943
CA12	214164_x_at	0.00131814	2.19629
BMP8B	207865_s_at	1.52E-05	2.19518
ACAN	217161_x_at	6.92E-14	2.19332
HHEX	215933_s_at	3.43E-06	2.18813
ASB11	1553074_at	6.07E-06	2.18676
ART3	210147_at	0.000566294	2.18541
ACSBG1	206465_at	3.78E-11	2.17119
FRY	204072_s_at	0.00216353	2.16322
	230741_at	3.54E-05	2.16215
MGAT4A	226039_at	0.000340857	2.16023
SOX10	209842_at	2.62E-13	2.15825
APOE	203381_s_at	0.00285198	2.1427
A2M	217757_at	0.000190701	2.14171
SOD3	205236_x_at	0.00138885	2.13102
C4orf19	219450_at	0.00432024	2.13083
ATL1	223340_at	3.50E-05	2.12952
FST	204948_s_at	0.00101769	2.12668
RDH10	227467_at	0.000595141	2.1253
OLIG2	213824_at	0.000254665	2.12435
FGFRL1	223321_s_at	0.00120348	2.12157
UNC5C	206189_at	5.13E-11	2.12134
IGFBP3	210095_s_at	3.13E-05	2.11981
PCSK6	207414_s_at	0.000215972	2.11692
LY6E	202145_at	0.00201063	2.11083
RDH10	1552378_s_at	5.46E-05	2.10636
FBLL1	244071_at	5.33E-09	2.10578
SEMA6D	226492_at	0.00113503	2.10478
SV2A	203069_at	0.00419988	2.10112
FIBIN	226769_at	0.00326939	2.09659
NCRNA00084	234989_at	0.00262802	2.09486
LIPG	219181_at	2.32E-08	2.09426
FCER1G	1554899_s_at	0.000771578	2.09147
3-Sep	223362_s_at	0.000809438	2.0877
SORL1	203509_at	1.86E-05	2.08585
PEG10	212094_at	0.000403147	2.08418
GJB1	204973_at	0.00181348	2.08129
C9orf3	212848_s_at	4.83E-11	2.07965
STXBP6	220994_s_at	4.12E-06	2.07687
MTUS1	212093_s_at	0.000288978	2.07512
NRCAM	216959_x_at	2.43E-05	2.07274
LRP5	209468_at	0.000736866	2.06869
	235171_at	2.46E-08	2.0676
SLC2A3	202499_s_at	0.00390548	2.06322
CEBPG	225527_at	1.28E-12	2.06115
CNTNAP1	219400_at	8.06E-07	2.05841
H1F0	208886_at	0.000853113	2.05645
SLC1A4	209610_s_at	0.000511292	2.05538
MYOZ2	213782_s_at	0.000471763	2.05491
LSAMP	214460_at	1.83E-05	2.05228
MMP13	205959_at	0.000134212	2.04898
	231192_at	0.00287812	2.04891
PTGS2	204748_at	0.0025511	2.04797
APOE	203382_s_at	0.00424181	2.04415
FAM134B	218510_x_at	3.55E-05	2.04254
CA11	209726_at	1.95E-06	2.04205
CA12	210735_s_at	0.00283714	2.04185
PTPRO	1554199_at	1.07E-07	2.04111
ST6GAL1	201998_at	0.002308	2.03943
GAA	202812_at	9.06E-07	2.03789
ITM2C	221004_s_at	2.10E-08	2.03527
USP53	237465_at	1.20E-05	2.03316
KCNA2	239118_at	0.000665227	2.03101
CD24	216379_x_at	3.70E-05	2.02887
CXXC5	233955_x_at	1.05E-05	2.02874
KIAA0746	212311_at	0.0022833	2.02637
	242488_at	3.11E-06	2.02483
TMTC1	226322_at	0.00337387	2.02221
DNAJC12	218976_at	0.000530513	2.02016
TSC22D3	208763_s_at	0.00144477	2.01888
LINGO1	227933_at	6.41E-05	2.01679
LRRC33	235359_at	0.000131349	2.01448
C13orf15	218723_s_at	9.24E-06	2.01445
GPM6B	209168_at	5.32E-08	2.01424
FAM119A	1553743_at	1.02E-05	2.01254
CCPG1	222156_x_at	3.50E-06	2.00898
DEPDC7	228293_at	0.000680877	2.00779
NPPC	221348_at	2.65E-09	2.00436
BEST1	207671_s_at	0.00147197	2.00021
LOC221710	1564651_at	5.40E-07	-2.01225
TBX3	225544_at	0.000293535	-2.018
PLN	204939_s_at	0.000680361	-2.01933
ATP8B1	226302_at	8.50E-08	-2.0272
SALL1	229273_at	7.24E-08	-2.04129
TGFB2	209909_s_at	4.57E-07	-2.05581
	236277_at	1.41E-07	-2.06471
ACSL5	222592_s_at	0.000200474	-2.07073
ABCG2	209735_at	0.000155526	-2.07399
PLN	204938_s_at	0.00117341	-2.07523
SPSB1	226075_at	2.27E-05	-2.09317
SALL1	206893_at	2.02E-06	-2.09876
ANKH	223092_at	0.000857985	-2.11184
NKX3-1	209706_at	4.17E-06	-2.11287
TFRC	237215_s_at	0.00181632	-2.12303
ISL1	206104_at	1.98E-06	-2.14266
CHML	206079_at	4.06E-07	-2.15295
MMD	203414_at	0.000520583	-2.15454
LOC344595	235606_at	7.11E-05	-2.16615
KDR	203934_at	2.84E-06	-2.16674
IL1B	205067_at	1.84E-05	-2.17007
SCG5	203889_at	7.04E-05	-2.17228
IL1B	39402_at	1.53E-07	-2.17594
ID1	208937_s_at	0.000266607	-2.17611
LOC221710	235707_at	4.80E-06	-2.17894
FAM111A	218248_at	1.10E-09	-2.18641
EDN1	222802_at	6.72E-10	-2.18648
MAFB	218559_s_at	0.000763946	-2.19579
ANKH	223093_at	5.62E-05	-2.19662
RFTN1	212646_at	3.95E-05	-2.20467
FMN2	1555471_a_at	0.00471309	-2.20627
STS	203767_s_at	5.89E-08	-2.21176
SPANXB1 /// SPANXB2 /// SPANXF1	220921_at	1.81E-16	-2.23627
	234986_at	2.63E-11	-2.25018
	232569_at	5.30E-06	-2.27448
MLF1IP	229305_at	0.000204816	-2.28186
NRIP1	202599_s_at	1.29E-07	-2.28416
CHST11	219634_at	3.08E-07	-2.29098
KRT81	213711_at	4.20E-15	-2.296
HNMT	204112_s_at	0.000182703	-2.29637
SMAD1	210993_s_at	4.56E-07	-2.29675
IGFBP6	203851_at	0.0030903	-2.30308
NRIP1	202600_s_at	0.0034057	-2.31781
C1orf43	1555225_at	6.81E-07	-2.32448
MCC	226225_at	3.38E-05	-2.33044
KRT34	206969_at	3.12E-18	-2.36044
TXK	206828_at	1.20E-11	-2.37063
TFRC	207332_s_at	2.70E-05	-2.37337
MAEL	229475_at	3.80E-16	-2.38811
RBPMS	209487_at	2.67E-06	-2.39605
TPM1	206116_s_at	0.00374149	-2.40204
SMAD1	227798_at	6.33E-06	-2.4361
LONRF2	225996_at	6.63E-05	-2.4766
RARB	208530_s_at	2.62E-05	-2.48123
CLEC2B	209732_at	3.07E-06	-2.48614
BEX1	218332_at	0.00012641	-2.48921
IRS1	204686_at	0.00051164	-2.49676
TKT	228205_at	3.03E-06	-2.50037
TBX3	229576_s_at	0.00029181	-2.53636
TM4SF18	228489_at	3.02E-10	-2.53777
IL6	205207_at	3.17E-07	-2.55806
KYNU	217388_s_at	0.000534273	-2.56118
PODXL	201578_at	3.91E-12	-2.56847
IL1RAPL1	222963_s_at	6.73E-07	-2.57445
CCNE2	211814_s_at	2.32E-05	-2.65097
RBPMS	207836_s_at	1.64E-07	-2.68253
DUSP10	215501_s_at	0.00018541	-2.6875
RARB	205080_at	5.29E-06	-2.70302
GHR	205498_at	2.28E-06	-2.70464
CCNE2	205034_at	9.13E-05	-2.73062
CA8	220234_at	0.00137269	-2.77095
TBX3	219682_s_at	0.0009896	-2.78119
BASP1	202391_at	4.97E-05	-2.79377
DNER	226281_at	0.00397833	-2.82122
LPXN	216250_s_at	0.000155924	-2.8343
SPP1	209875_s_at	0.000839898	-2.83485
RBPMS	209488_s_at	3.03E-06	-2.85839
AKAP12	227530_at	0.000898911	-2.9368
DUSP10	221563_at	4.51E-05	-3.00062
HNMT	211732_x_at	4.43E-07	-3.00457
IL1RAPL1	220663_at	1.92E-06	-3.17798
	1560240_at	8.50E-08	-3.27235
FAP	209955_s_at	0.00131889	-3.29707
PCLO	210650_s_at	1.34E-05	-3.39112
FAM176A	227828_s_at	3.93E-08	-3.39115
	241456_at	0.000207729	-3.56043
AKAP12	227529_s_at	0.0004605	-3.58993
SLAMF7	222838_at	9.55E-05	-3.67902
PMEPA1	217875_s_at	0.000519254	-3.83526
ID3	207826_s_at	4.89E-06	-3.96347
PCLO	213558_at	0.00110219	-4.03174
PPAPDC1A	236044_at	0.00395506	-4.07516
HTN1	206639_x_at	3.21E-06	-4.07931
AKAP12	210517_s_at	5.69E-06	-4.17959
HTN3	206786_at	2.82E-06	-4.31166
DHRS3	202481_at	7.11E-06	-4.34821
PMEPA1	222449_at	0.000717888	-4.41993
PMEPA1	222450_at	0.000204553	-6.14721
