Symbol	Ensembl Number and Description	GO Biological Process	Fold Change (at T0)
NGFRAP1	ENSG00000166681:NERVE GROWTH FACTOR RECEPTOR ASSOCIATED PROTEIN 1	GO:0007275:development; GO:0006915:apoptosis	0.66
HAT1	ENSG00000128708:HISTONE ACETYLTRANSFERASE 1	GO:0006323:DNA packaging; GO:0006475: internal protein amino acid acetylation	0.65
PPP1CA	ENSG00000172531:SERINE/THREONINE PROTEIN PHOSPHATASE PP1-ALPHA 1 CATALYTIC SUBUNIT	GO:0006470:protein amino acid dephosphorylation	0.65
UBL1	ENSG00000116030:UBIQUITIN-LIKE PROTEIN SMT3C PRECURSOR	GO:0006281:DNA repair	0.65
NPC2	ENSG00000119655:EPIDIDYMAL SECRETORY PROTEIN E1 PRECURSOR	GO:0000004:biological_process unknown	0.65
GMPS	ENSG00000163655:GMP SYNTHASE	GO:0006164:purine nucleotide biosynthesis	0.62
UBE2L6	ENSG00000156587:UBIQUITIN-CONJUGATING ENZYME E2L 6	GO:0006512:ubiquitin cycle	0.61
SF3B1	NSG00000115524:SPLICING FACTOR 3B SUBUNIT 1	GO:0006371:mRNA splicing	0.58
ANXA1	ENSG00000135046:ANNEXIN I	GO:0006928:cell motility;GO:0006629:lipid metabolism	0.57
SDC1	ENSG00000115884:SYNDICAN 1	GO:0048627:myoblast development	0.56
FXR1	ENSG00000114416:FRAGILE X MENTAL RETARDATION SYNDROME RELATED PROTEIN 1	GO:0006915:apoptosis	0.56
PLD3	ENSG00000105223:SIMILAR TO VACCINIA VIRUS HINDIII K4L ORF	GO:0008152:metabolism	0.53
RPN1	ENSG00000163902:DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE– PROTEIN GLYCOSYLTRANSFERASE	GO:0006464:protein modification	0.51
GSTP1	ENSG00000084207:GLUTATHIONE S-TRANSFERASE P	GO:0007417:central nervous system development	0.51
HDLBP	ENSG00000115677:VIGILIN (HIGH DENSITY LIPOPROTEIN-BINDING PROTEIN)	GO:0006869:lipid transport; GO:0008203:cholesterol metabolism	0.5
TYMS	ENSG00000176890:THYMIDYLATE SYNTHASE	GO:0006139:nucleobase, nucleoside, nucleotide and nucleic acid metabolism	0.44
WFDC2	ENSG00000101443:MAJOR EPIDIDYMIS-SPECIFIC PROTEIN E4 PRECURSOR	GO:0006508:proteolysis and peptidolysis	0.43
OAS1	ENSG00000089127:2’,5’-OLIGOADENYLATE SYNTHETASE 1	GO:0006955:immune response	0.42
SERPINH1	ENSG00000149257:COLLAGEN-BINDING PROTEIN 2 PRECURSOR	GO:0006950:response to stress	0.39
CYBA	ENSG00000051523:CYTOCHROME B-245 ALPHA	GO:0006118:electron transport; GO:0006801: superoxide metabolism	0.38
IFITM2	ENSG00000185201:INTERFERON-INDUCED TRANSMEMBRANE PROTEIN 2	GO:0006955:immune response	0.34
IGFBP3	ENSG00000146674:INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3 PRECURSOR	GO:0007165:signal transduction; GO:0001558:regulation of cell growth	0.31
ALDH1A1	ENSG00000165092:ALDEHYDE DEHYDROGENASE 1 FAMILY MEMBER A1	GO:0006081:aldehyde metabolism	0.29
IFITM1	ENSG00000185885:INTERFERON-INDUCED TRANSMEMBRANE PROTEIN 1	GO:0006955:immune response; GO:0008285:negative regulation of cell proliferation	0.25
G1P2	ENSG00000182106:UBIQUITIN CROSS-REACTIVE PRECURSOR	GO:0006955:immune response; GO:0007267:cell-cell signaling	0.17
