Probe Set ID	Gene Symbol	Gene Description	Mean UD	Mean CMC3w	Mean CMC7w	Mean FH	Mean AH	q-Value	Max FC
8150439	ANK1	ankyrin 1, erythrocytic	49.9	58.7	60.7	134.7	83.8	0.00067	2.3
8023646	BCL2	B-cell CLL/lymphoma 2	74.4	79.1	70.8	115.5	147.7	0.00099	2.1
7953040	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	49.4	491.2	790.9	1,009.60	732.7	0.00167	2.1
8135378	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta	312.8	278.8	453.3	525.3	536.2	0.00249	1.9
8083166	TRPC1	transient receptor potential cation channel, subfamily C, member 1	128.7	285.4	295.8	161.3	201.8	0.00136	1.8
8132860	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	62.5	112.7	106.7	128.8	186.6	0.00351	1.7
7953094	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	40.2	75	119.2	110.6	68.2	0.00351	1.7
7934393	PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform	359.2	420.2	514.5	666.7	725.9	0.00158	1.7
8050215	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	3,021.90	2,318.10	2,361.10	2,087.80	1,383.80	0.00158	1.7
7966368	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform	4,010.80	2,198.60	1,800.60	2,175.90	2,883.70	0.00351	1.6
7949765	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isoform	1,099.70	423.5	382	607.4	570.1	0.00277	1.6
7972745	IRS2	insulin receptor substrate 2	157.9	195.7	147.8	132.7	127.2	0.02188	1.5
8034762	PRKACA	protein kinase, cAMP-dependent, catalytic, alpha	290.5	656.5	752.2	654.8	966.4	0.00461	1.5
8160857	OPRS1	opioid receptor, sigma 1	299.7	209.9	240.7	182.9	164	0.00984	1.5
8001666	CSNK2A2	casein kinase 2, alpha prime polypeptide	687.2	502.6	353.7	436.6	347.1	0.00588	1.4
8161615	PRKACG	protein kinase, cAMP-dependent, catalytic, gamma	39.8	41.2	48.3	42.2	34	0.03285	1.4
8115122	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	65	124.7	100.3	92.4	88.8	0.00967	1.4
8112841	HOMER1	homer homolog 1 (Drosophila)	304.9	365.9	503.1	432.2	362.7	0.03935	1.4
7994463	ATP2A1	ATPase, Ca2+ transporting, cardiac muscle, fast twitch 1	50.8	51.9	46.7	42	37.6	0.026	1.4
7934979	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	553	6,860.70	9,410.90	6,813.10	9,121.40	0.02188	1.4
8055476	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	5,650.40	4,043.90	3,155.80	3,475.60	3,482.80	0.04398	1.3
8069085	TRPM2	transient receptor potential cation channel, subfamily M, member 2	64.6	58.3	70.3	68.2	73.8	0.04912	1.3
8040530	FKBP1B	FK506 binding protein 1B, 12.6 kDa	156.3	161.3	159.9	130.5	133.4	0.04149	1.2
8062880	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	1,071.90	621	757.2	620.3	747.2	0.03637	1.2
