Probe sets	Symbol	Title	P value	Fold
1569944_at	1569944_at	CDNA clone IMAGE:5311876	0.00205	1.28
200933_x_at	RPS4X	ribosomal protein S4, X-linked	0.00205	0.68
203340_s_at	SLC25A12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	0.00205	0.57
203386_at	TBC1D4	TBC1 domain family, member 4	0.00205	0.31
212568_s_at	DLAT	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	0.00205	0.41
219770_at	GTDC1	glycosyltransferase-like domain containing 1	0.00205	0.54
222708_s_at	STX17	syntaxin 17	0.00205	1.46
225204_at	PPTC7	PTC7 protein phosphatase homolog (S. cerevisiae)	0.00205	1.6
230384_at	230384_at	NA	0.00205	0.76
231177_at	HCFC1	Host cell factor C1 (VP16-accessory protein)	0.00205	1.25
234470_at	hCG_1651160 /// tcag7.51	hCG1651160 /// similar to RIKEN cDNA 1500011L16	0.00205	1.26
235012_at	LRCH1	leucine-rich repeats and calponin homology (CH) domain containing 1	0.00205	0.71
244774_at	244774_at	Transcribed locus	0.00205	0.34
46947_at	GNL3L	guanine nucleotide binding protein-like 3 (nucleolar)-like	0.00205	0.73
1554942_a_at	KLHL14	kelch-like 14 (Drosophila)	0.00308	1.15
1557135_at	1557135_at	CDNA FLJ32411 fis, clone SKMUS2000515	0.00308	1.94
1558841_at	SDCCAG10	serologically defined colon cancer antigen 10	0.00308	1.21
1569886_a_at	GLB1L3	galactosidase, beta 1 like 3	0.00308	0.78
203170_at	KIAA0409	KIAA0409	0.00308	1.33
205117_at	FGF1	fibroblast growth factor 1 (acidic)	0.00308	0.73
206721_at	C1orf114	chromosome 1 open reading frame 114	0.00308	0.85
212672_at	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	0.00308	0.69
213149_at	DLAT	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	0.00308	0.42
215486_at	PRPS1L1	phosphoribosyl pyrophosphate synthetase 1-like 1	0.00308	0.88
216616_at	216616_at	MRNA; cDNA DKFZp761N1323 (from clone DKFZp761N1323)	0.00308	1.19
216861_at	216861_at	NA	0.00308	1.24
217542_at	MGC5370	Hypothetical protein MGC5370	0.00308	1.92
218574_s_at	LMCD1	LIM and cysteine-rich domains 1	0.00308	0.49
221022_s_at	PMFBP1	polyamine modulated factor 1 binding protein 1	0.00308	0.78
224777_s_at	PAFAH1B2	platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa	0.00308	0.61
225729_at	C6orf89	chromosome 6 open reading frame 89	0.00308	1.59
225882_at	SLC35B4	solute carrier family 35, member B4	0.00308	1.87
226508_at	PHC3	polyhomeotic homolog 3 (Drosophila)	0.00308	1.35
228644_s_at	SLC12A4	Solute carrier family 12 (potassium/chloride transporters), member 4	0.00308	1.22
228871_at	228871_at	NA	0.00308	1.25
229494_s_at	PHLDA2	Pleckstrin homology-like domain, family A, member 2	0.00308	0.89
229628_s_at	KIAA1529	KIAA1529	0.00308	1.52
230306_at	VPS26B	vacuolar protein sorting 26 homolog B (S. pombe)	0.00308	0.69
231681_x_at	HIST3H2A	Histone cluster 3, H2a	0.00308	1.27
233570_at	233570_at	IMAGE:512024 clone, mRNA	0.00308	1.25
237360_at	ACTRT2	actin-related protein T2	0.00308	1.22
239514_at	239514_at	NA	0.00308	1.13
239822_at	239822_at	CDNA clone IMAGE:4816129	0.00308	1.24
244243_at	244243_at	NA	0.00308	1.32
244361_at	LOC728981 /// LOC731322	hypothetical protein LOC728981 /// hypothetical protein LOC731322	0.00308	0.81
1553224_at	LUZP1	leucine zipper protein 1	0.00433	0.85
1554220_a_at	1554220_a_at	Full-length cDNA clone CS0DK005YB04 of HeLa cells Cot 25-normalized of Homo sapiens (human)	0.00433	1.19
1555476_at	IREB2	iron-responsive element binding protein 2	0.00433	0.79
1561489_at	1561489_at	CDNA clone IMAGE:5541269	0.00433	1.2
1562139_a_at	FOXP2	forkhead box P2	0.00433	0.91
1563597_at	1563597_at	MRNA; cDNA DKFZp666P238 (from clone DKFZp666P238)	0.00433	1.13
1566884_at	C17orf84	chromosome 17 open reading frame 84	0.00433	1.21
201983_s_at	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	0.00433	2.39
202038_at	UBE4A	ubiquitination factor E4A (UFD2 homolog, yeast)	0.00433	0.69
202169_s_at	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	0.00433	0.62
203531_at	CUL5	cullin 5	0.00433	0.69
203779_s_at	EVA1	epithelial V-like antigen 1	0.00433	0.59
209509_s_at	DPAGT1	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	0.00433	0.55
211150_s_at	DLAT	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	0.00433	0.38
211918_x_at	PAPPA2	pappalysin 2	0.00433	1.22
214516_at	HIST1H4B	histone cluster 1, H4b	0.00433	1.25
214700_x_at	RIF1	RAP1 interacting factor homolog (yeast)	0.00433	0.56
216455_at	FLJ00049	FLJ00049 protein	0.00433	1.19
217439_at	217439_at	NA	0.00433	1.16
220013_at	ABHD9	abhydrolase domain containing 9	0.00433	1.18
220313_at	GPR88	G protein-coupled receptor 88	0.00433	14.09
220474_at	SLC25A21	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21	0.00433	0.79
223038_s_at	FAM60A /// LOC650369 /// LOC728115	family with sequence similarity 60, member A /// similar to teratocarcinoma expressed, serine rich /// similar to Protein FAM60A (Tera protein)	0.00433	0.42
225114_at	AGPS	alkylglycerone phosphate synthase	0.00433	0.48
225835_at	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	0.00433	0.23
226051_at	SELM	selenoprotein M	0.00433	0.21
227865_at	C9orf103	chromosome 9 open reading frame 103	0.00433	2.14
230127_at	230127_at	Transcribed locus	0.00433	0.81
231362_at	231362_at	Transcribed locus, strongly similar to XP_528750.2  epidermal growth factor receptor pathway substrate 8 [Pan troglodytes]	0.00433	1.19
231837_at	USP28	ubiquitin specific peptidase 28	0.00433	0.6
232039_at	KIAA1383	KIAA1383	0.00433	0.86
232248_at	232248_at	CDNA: FLJ22566 fis, clone HSI01980	0.00433	1.17
233890_at	233890_at	MRNA; cDNA DKFZp761D09121 (from clone DKFZp761D09121)	0.00433	1.24
234387_at	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	0.00433	1.23
235273_at	DYX1C1	dyslexia susceptibility 1 candidate 1	0.00433	0.86
237829_at	237829_at	Transcribed locus, moderately similar to XP_001060577.1  similar to ribosomal protein S27a [Rattus norvegicus]	0.00433	0.87
238550_at	RUFY2	RUN and FYVE domain containing 2	0.00433	0.8
239287_at	239287_at	Transcribed locus	0.00433	0.78
239398_at	KLHL31	kelch-like 31 (Drosophila)	0.00433	0.72
239460_at	CYP19A1	Cytochrome P450, family 19, subfamily A, polypeptide 1	0.00433	1.23
240469_at	240469_at	Transcribed locus	0.00433	1.18
241171_at	241171_at	Transcribed locus	0.00433	1.2
241247_at	241247_at	NA	0.00433	1.15
244188_at	244188_at	NA	0.00433	1.33
1559302_at	KIAA1467	KIAA1467	0.00575	1.19
1554749_s_at	CLCNKB	chloride channel Kb	0.00604	1.21
1557606_at	1557606_at	Full-length cDNA clone CS0DI063YJ24 of Placenta Cot 25-normalized of Homo sapiens (human)	0.00604	1.23
1558452_at	TMEM144	transmembrane protein 144	0.00604	0.86
1558473_at	1558473_at	CDNA FLJ39083 fis, clone NT2RP7018802	0.00604	1.16
1560524_at	LOC400581	GRB2-related adaptor protein-like	0.00604	1.17
1562657_a_at	C10orf90	chromosome 10 open reading frame 90	0.00604	1.29
1562849_at	1562849_at	CDNA FLJ37115 fis, clone BRACE2022158	0.00604	1.22
1564168_a_at	LOC93444	hypothetical protein LOC93444	0.00604	1.48
1566979_at	1566979_at	Full length insert cDNA clone YF44H11	0.00604	1.17
200054_at	ZNF259	zinc finger protein 259	0.00604	0.64
204377_s_at	VPRBP	Vpr (HIV-1) binding protein	0.00604	1.25
210292_s_at	PCDH11X /// PCDH11Y	protocadherin 11 X-linked /// protocadherin 11 Y-linked	0.00604	1.14
212454_x_at	HNRPDL	Heterogeneous nuclear ribonucleoprotein D-like	0.00604	0.61
212800_at	STX6	syntaxin 6	0.00604	0.57
213342_at	YAP1	Yes-associated protein 1, 65kDa	0.00604	0.51
213970_at	LOC653256 /// RABL3	RAB, member of RAS oncogene family-like 3 /// similar to RAB, member of RAS oncogene family-like 3	0.00604	1.32
214592_s_at	SNAPC5	small nuclear RNA activating complex, polypeptide 5, 19kDa	0.00604	1.13
214889_at	DKFZP564J102	DKFZP564J102 protein	0.00604	2.15
215482_s_at	EIF2B4	eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	0.00604	0.72
216066_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	0.00604	0.81
217647_at	217647_at	CDNA FLJ40920 fis, clone UTERU2005905	0.00604	2.64
218550_s_at	LRRC20	leucine rich repeat containing 20	0.00604	1.96
219693_at	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	0.00604	0.56
221181_at	LOC642452 /// LOC651791	hypothetical LOC642452 /// hypothetical protein LOC651791	0.00604	1.19
221959_at	FAM110B	family with sequence similarity 110, member B	0.00604	0.5
225387_at	TSPAN5	tetraspanin 5	0.00604	0.45
225699_at	C7orf40	chromosome 7 open reading frame 40	0.00604	0.57
226228_at	AQP4	aquaporin 4	0.00604	0.52
226562_at	ZSCAN29	zinc finger and SCAN domain containing 29	0.00604	1.55
228264_at	PHACS	1-aminocyclopropane-1-carboxylate synthase	0.00604	0.65
228905_at	PCM1	pericentriolar material 1	0.00604	1.89
229057_at	SCN2A	sodium channel, voltage-gated, type II, alpha subunit	0.00604	0.76
229529_at	TCF21	transcription factor 21	0.00604	1.21
229988_at	229988_at	CDNA FLJ33160 fis, clone UTERU2000485	0.00604	1.26
230173_at	TRIM4	Tripartite motif-containing 4	0.00604	1.22
230359_at	KNDC1	kinase non-catalytic C-lobe domain (KIND) containing 1	0.00604	1.36
231586_at	LOC642864	spermatogenesis-related protein 7	0.00604	0.87
233363_at	233363_at	MRNA; cDNA DKFZp564A156 (from clone DKFZp564A156)	0.00604	1.3
233457_at	233457_at	MRNA full length insert cDNA clone EUROIMAGE 43101	0.00604	1.15
233740_at	PRO1268	PRO1268 protein	0.00604	1.2
234534_at	234534_at	CDNA FLJ20100 fis, clone COL04648	0.00604	1.12
235818_at	VSTM1	V-set and transmembrane domain containing 1	0.00604	1.21
238572_at	MGC16211	hypothetical protein MGC16211	0.00604	1.37
239248_at	239248_at	(clone 33) macronuclear mRNA	0.00604	1.32
240073_at	240073_at	NA	0.00604	1.15
240348_at	240348_at	CDNA FLJ30854 fis, clone FEBRA2003163	0.00604	1.14
242219_at	242219_at	Transcribed locus	0.00604	1.27
244135_at	244135_at	NA	0.00604	1.19
244163_at	SEMA3A	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	0.00604	0.82
1559331_x_at	1559331_x_at	CDNA FLJ25030 fis, clone CBL02631	0.00775	1.17
242726_at	242726_at	Transcribed locus	0.00786	0.68
1553046_s_at	NEU4	sialidase 4	0.00809	1.3
1553238_a_at	HIPK4	homeodomain interacting protein kinase 4	0.00809	1.2
1553452_at	MYO1H	myosin IH	0.00809	1.18
1553949_at	LOC728056 /// LOC731035	similar to IQ motif and Sec7 domain 3	0.00809	1.18
1554178_a_at	FAM126B	family with sequence similarity 126, member B	0.00809	1.73
1554225_a_at	1554225_a_at	CDNA clone IMAGE:4794631	0.00809	1.13
1554443_s_at	BEST1	bestrophin 1	0.00809	1.44
1555388_s_at	SNX25	sorting nexin 25	0.00809	0.68
1556732_at	EML4	Echinoderm microtubule associated protein like 4	0.00809	0.51
1556778_at	1556778_at	Full length insert cDNA clone YZ87H02	0.00809	1.18
1560850_at	1560850_at	Homo sapiens, clone IMAGE:4696935, mRNA	0.00809	0.86
1562145_at	1562145_at	Full length insert cDNA YQ80H05	0.00809	0.87
1566903_at	1566903_at	MRNA; cDNA DKFZp547G039 (from clone DKFZp547G039)	0.00809	1.17
1569133_x_at	ARSK	Arylsulfatase family, member K	0.00809	1.15
201447_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.00809	0.71
203148_s_at	TRIM14	tripartite motif-containing 14	0.00809	1.51
205126_at	VRK2	vaccinia related kinase 2	0.00809	0.65
206294_at	HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	0.00809	1.24
206344_at	PON1	paraoxonase 1	0.00809	2.78
206908_s_at	CLDN11	claudin 11 (oligodendrocyte transmembrane protein)	0.00809	1.17
207076_s_at	ASS1	argininosuccinate synthetase 1	0.00809	2.35
210282_at	ZMYM2	zinc finger, MYM-type 2	0.00809	0.46
212524_x_at	H2AFX	H2A histone family, member X	0.00809	1.24
213028_at	NFRKB	nuclear factor related to kappaB binding protein	0.00809	0.64
213296_at	RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	0.00809	1.64
213343_s_at	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	0.00809	0.77
215440_s_at	BEXL1	brain expressed X-linked-like 1	0.00809	0.4
216659_at	LOC1720	dihydrofolate reductase pseudogene	0.00809	0.87
217217_at	ARPC1B /// IGHA1	Actin related protein 2/3 complex, subunit 1B, 41kDa /// Immunoglobulin heavy constant alpha 1	0.00809	1.2
218491_s_at	THYN1	thymocyte nuclear protein 1	0.00809	0.62
218750_at	JOSD3	Josephin domain containing 3	0.00809	0.49
220532_s_at	TMEM176B	transmembrane protein 176B	0.00809	1.77
221057_at	SPATA1	spermatogenesis associated 1	0.00809	1.39
221758_at	ARMC6	armadillo repeat containing 6	0.00809	1.74
223391_at	SGPP1	sphingosine-1-phosphate phosphatase 1	0.00809	0.68
224116_at	224116_at	CDNA clone IMAGE:2822107	0.00809	1.15
225910_at	HELZ	helicase with zinc finger	0.00809	1.39
226355_at	WDR51A	WD repeat domain 51A	0.00809	1.32
227583_at	POP4	Processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)	0.00809	1.3
227944_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	0.00809	1.89
229072_at	229072_at	CDNA clone IMAGE:5259272	0.00809	0.48
229279_at	229279_at	Transcribed locus	0.00809	0.79
229656_s_at	FLJ42562	similar to echinoderm microtubule associated protein like 5	0.00809	0.39
230350_at	230350_at	Transcribed locus	0.00809	1.61
230971_x_at	LOC388323	hypothetical LOC388323	0.00809	1.51
235086_at	THBS1	Thrombospondin 1	0.00809	0.55
235094_at	235094_at	CDNA FLJ39413 fis, clone PLACE6015729	0.00809	0.45
235278_at	C20orf133	chromosome 20 open reading frame 133	0.00809	0.35
235403_at	235403_at	Transcribed locus	0.00809	1.25
235766_x_at	235766_x_at	CDNA clone IMAGE:5745639	0.00809	2.54
237919_at	RFFL	Ring finger and FYVE-like domain containing 1	0.00809	1.31
238958_at	238958_at	Transcribed locus, moderately similar to XP_215754.2  similar to Ubiquitin-conjugating enzyme E2 E3 (Ubiquitin-protein ligase E3) (Ubiquitin carrier protein E3) (Ubiquitin-conjugating enzyme E2-23 kDa) (UbcM2) [Rattus norvegicus]	0.00809	1.16
239485_at	CDH4	Cadherin 4, type 1, R-cadherin (retinal)	0.00809	1.22
239513_at	239513_at	Homo sapiens, clone IMAGE:5171383, mRNA	0.00809	1.84
240210_at	ATAD3C	ATPase family, AAA domain containing 3C	0.00809	1.42
241001_at	241001_at	Transcribed locus	0.00809	1.18
241160_at	241160_at	Transcribed locus	0.00809	1.17
241912_at	ZNF814	zinc finger protein 814	0.00809	0.86
242743_at	IL4R	Interleukin 4 receptor	0.00809	1.27
65588_at	LOC388796	hypothetical LOC388796	0.00809	0.58
242388_x_at	242388_x_at	Transcribed locus	0.01026	0.77
232714_at	232714_at	MRNA; cDNA DKFZp761P1315 (from clone DKFZp761P1315)	0.0106	1.23
1552897_a_at	KCNG3	potassium voltage-gated channel, subfamily G, member 3	0.01071	1.18
1553285_s_at	RAD9B	RAD9 homolog B (S. cerevisiae)	0.01071	1.27
1555078_at	MGC46336	hypothetical protein MGC46336	0.01071	1.18
1555465_at	MCOLN2	mucolipin 2	0.01071	0.8
1555976_s_at	1555976_s_at	CDNA FLJ33153 fis, clone UTERU2000332	0.01071	0.59
1556325_at	FILIP1	filamin A interacting protein 1	0.01071	0.61
1556339_a_at	1556339_a_at	CDNA FLJ39845 fis, clone SPLEN2014452	0.01071	0.69
1556413_a_at	1556413_a_at	Full length insert cDNA clone ZE08G04	0.01071	1.23
1556865_at	1556865_at	Clone IMAGE:121600 mRNA sequence	0.01071	0.84
1558678_s_at	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	0.01071	1.94
1558924_s_at	CLIP1	CAP-GLY domain containing linker protein 1	0.01071	2.89
1559884_at	RP11-145E5.4	antisense noncoding RNA in the INK4 locus	0.01071	1.12
1560979_a_at	1560979_a_at	Full length insert cDNA clone YY74C08	0.01071	1.15
1561699_a_at	1561699_a_at	CDNA clone IMAGE:5272198	0.01071	1.1
1562091_at	1562091_at	CDNA clone IMAGE:5302310	0.01071	1.12
1562992_at	1562992_at	CDNA clone IMAGE:5277811	0.01071	1.16
1564242_at	1564242_at	CDNA FLJ32713 fis, clone TESTI2000756	0.01071	1.17
1564485_at	LOC254808	hypothetical protein LOC254808	0.01071	1.13
1565732_at	1565732_at	MRNA; cDNA DKFZp761B0218 (from clone DKFZp761B0218)	0.01071	1.19
1566269_at	GARNL1	GTPase activating Rap/RanGAP domain-like 1	0.01071	0.88
1566842_at	1566842_at	MRNA; cDNA DKFZp547E193 (from clone DKFZp547E193)	0.01071	1.16
1570050_at	1570050_at	CDNA clone IMAGE:4819526	0.01071	1.11
200861_at	CNOT1	CCR4-NOT transcription complex, subunit 1	0.01071	1.43
201253_s_at	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)	0.01071	1.46
202559_x_at	C1orf77	chromosome 1 open reading frame 77	0.01071	0.82
203780_at	EVA1	epithelial V-like antigen 1	0.01071	0.44
203971_at	SLC31A1	solute carrier family 31 (copper transporters), member 1	0.01071	1.62
206507_at	ZSCAN12	zinc finger and SCAN domain containing 12	0.01071	0.73
207564_x_at	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	0.01071	0.51
207878_at	KRT76	keratin 76	0.01071	1.24
207926_at	GP5	glycoprotein V (platelet)	0.01071	1.19
207999_s_at	ADARB1	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	0.01071	1.18
208442_s_at	ATM /// LOC651610	ataxia telangiectasia mutated (includes complementation groups A, C and D) /// similar to Serine-protein kinase ATM (Ataxia telangiectasia mutated) (A-T, mutated)	0.01071	0.44
208915_s_at	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	0.01071	0.76
211783_s_at	MTA1	metastasis associated 1	0.01071	0.51
211838_x_at	PCDHA5	protocadherin alpha 5	0.01071	1.25
213347_x_at	RPS4X	ribosomal protein S4, X-linked	0.01071	0.69
213364_s_at	SNX1	sorting nexin 1	0.01071	1.79
217290_at	217290_at	NA	0.01071	1.2
217856_at	RBM8A	RNA binding motif protein 8A	0.01071	1.59
217922_at	217922_at	CDNA FLJ40810 fis, clone TRACH2009743	0.01071	1.39
220147_s_at	FAM60A	family with sequence similarity 60, member A	0.01071	0.46
220841_s_at	AHI1	Abelson helper integration site 1	0.01071	0.7
220872_at	PRO2964	hypothetical protein PRO2964	0.01071	1.18
222225_at	LOC729277	hypothetical protein LOC729277	0.01071	1.2
225160_x_at	MGC5370	hypothetical protein MGC5370	0.01071	1.8
228227_at	ITGB1BP1	Integrin beta 1 binding protein 1	0.01071	1.27
228707_at	CLDN23	claudin 23	0.01071	1.95
229008_at	WDR60	WD repeat domain 60	0.01071	1.27
229551_x_at	ZNF367	zinc finger protein 367	0.01071	2.07
230009_at	FAM118B	family with sequence similarity 118, member B	0.01071	0.6
230330_at	230330_at	CDNA FLJ30011 fis, clone 3NB692000276	0.01071	1.34
231485_at	231485_at	CDNA clone IMAGE:4829245	0.01071	1.19
231574_at	231574_at	Transcribed locus	0.01071	1.21
232524_x_at	ANAPC4	anaphase promoting complex subunit 4	0.01071	0.61
232837_at	KIF13A	kinesin family member 13A	0.01071	0.79
233022_at	TRPM3	transient receptor potential cation channel, subfamily M, member 3	0.01071	1.18
234016_at	ANKRD20B /// LOC284232 /// LOC647515 /// LOC730920 /// LOC90499	hypothetical protein LOC90499 /// similar to Ankyrin repeat domain protein 18A /// similar to cytochrome P450, family 4, subfamily F, polypeptide 3 /// ankyrin repeat domain 20B /// similar to Ankyrin repeat domain-containing protein 18A	0.01071	1.44
234831_at	234831_at	MRNA; cDNA DKFZp434D1028 (from clone DKFZp434D1028)	0.01071	1.17
234861_at	LOC93463	hypothetical protein LOC93463	0.01071	1.11
235418_at	LOC285014	hypothetical protein LOC285014	0.01071	1.51
235725_at	235725_at	Transcribed locus	0.01071	1.47
236502_at	236502_at	NA	0.01071	1.18
238361_s_at	238361_s_at	Transcribed locus	0.01071	1.35
238591_at	HEXDC	Hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing	0.01071	1.46
238896_at	238896_at	Transcribed locus	0.01071	1.24
239251_at	239251_at	NA	0.01071	0.54
239306_at	239306_at	Transcribed locus	0.01071	1.25
239408_at	239408_at	NA	0.01071	1.26
239682_at	239682_at	Full-length cDNA clone CS0DC024YB19 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)	0.01071	1.42
239706_x_at	PLAC7	Placenta-specific 7	0.01071	1.24
239784_at	239784_at	Transcribed locus	0.01071	0.65
240014_at	240014_at	NA	0.01071	1.25
240264_at	240264_at	NA	0.01071	1.27
242925_at	RNF148	ring finger protein 148	0.01071	1.22
243418_at	243418_at	NA	0.01071	1.19
243698_at	243698_at	Transcribed locus	0.01071	1.22
243915_at	243915_at	NA	0.01071	0.81
244641_at	C7orf30	Chromosome 7 open reading frame 30	0.01071	1.42
1552408_at	ODF4	outer dense fiber of sperm tails 4	0.01379	1.12
1552467_at	DSCR10	Down syndrome critical region gene 10	0.01379	1.16
1554469_at	ZBTB44	zinc finger and BTB domain containing 44	0.01379	0.77
1555803_a_at	C11orf57	chromosome 11 open reading frame 57	0.01379	0.7
1556161_a_at	1556161_a_at	Full length insert cDNA clone ZD49G09	0.01379	1.15
1556453_at	1556453_at	CDNA FLJ35971 fis, clone TESTI2013257	0.01379	1.25
1556531_at	1556531_at	Homo sapiens, clone IMAGE:5579213, mRNA	0.01379	1.11
1557873_at	1557873_at	CDNA FLJ30191 fis, clone BRACE2001313	0.01379	1.14
1558599_at	1558599_at	CDNA FLJ37778 fis, clone BRHIP2026557	0.01379	0.88
1558797_at	1558797_at	Homo sapiens, clone IMAGE:4391558, mRNA	0.01379	0.82
1561054_a_at	CCDC14	coiled-coil domain containing 14	0.01379	1.15
1561905_at	1561905_at	CDNA clone IMAGE:4820434	0.01379	1.18
1562671_s_at	1562671_s_at	CDNA FLJ35982 fis, clone TESTI2013604	0.01379	1.12
1564790_at	ST7OT2	ST7 overlapping transcript 2 (antisense non-coding RNA)	0.01379	1.13
1565910_at	FSTL4	follistatin-like 4	0.01379	1.14
1569430_at	PTRH1	Peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)	0.01379	1.18
1569690_at	CCDC36	coiled-coil domain containing 36	0.01379	1.12
203052_at	C2	complement component 2	0.01379	1.51
203736_s_at	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	0.01379	0.73
204404_at	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	0.01379	0.37
205307_s_at	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	0.01379	3.16
205401_at	AGPS	alkylglycerone phosphate synthase	0.01379	0.49
207613_s_at	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	0.01379	1.19
207719_x_at	CEP170	centrosomal protein 170kDa	0.01379	0.68
209429_x_at	EIF2B4	eukaryotic translation initiation factor 2B, subunit 4 delta, 67kDa	0.01379	0.72
209855_s_at	KLK2	kallikrein-related peptidase 2	0.01379	1.23
209928_s_at	MSC	musculin (activated B-cell factor-1)	0.01379	0.56
210281_s_at	ZMYM2	zinc finger, MYM-type 2	0.01379	0.55
210922_at	210922_at	CDNA clone IMAGE:3506689	0.01379	1.24
211824_x_at	NLRP1	NLR family, pyrin domain containing 1	0.01379	0.67
