Curated Gene Symbol	Rank	Symbol	Array-Probe	Name	mean expression F	mean expression UF	Cytoband
	124	AC_074101	A_23_P102331	AC_074101.5	0.35242387	-0.8318187	2
PTTG1	125	PTTG1	A_23_P7636	Pituitary tumor-transforming 1	-0.42196303	0.46797373	5q35.1
RRM2	126	RRM2	A_24_P234196	Ribonucleotide reductase M2 polypeptide	-0.61553854	0.34973678	2p24
CDC6	127	CDC6	A_23_P49972	CDC6 cell division cycle 6 homolog	-0.45374358	0.36085621	17q21.3
STX12	128	STX12	A_23_P385206	Syntaxin 12	0.26537704	-0.36087711	1p34.1
GAR1	129	NOLA1	A_23_P58280	Nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs)	-0.20150057	0.3311559	4q25
VRK1	130	VRK1	Hs.22789.1	Vaccinia-related kinase 1	-0.39358778	0.23479308	14q32
GNAI1	131	GNAI1	A_23_P122976	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	0.12129481	-0.48454591	7q21
HMGB2	132	HMGB2	A_23_P155765	High-mobility group box 2	-0.53684158	0.42240143	4q31
CENPN	133	BM039	A_23_P88740	Uncharacterized bone marrow protein BM039	-0.47432545	0.3337412	16q23.2
NUF2	134	CDCA1	A_23_P74349	Cell division cycle associated 1	-0.66194544	0.40273394	1q23.3
CNR1	135	CNR1	A_23_P214208	Cannabinoid receptor 1 (brain)	0.3793739	-0.8104439	6q14
	136	Hs.103173	Hs.03173.1	Hs.103173	0.24069439	-0.34358356
HIST1H1C	137	HIST1H1C	A_23_P122443	Histone 1, H1c	-0.63191742	0.44293722	6p21.3
PBK	138	PBK	A_32_P62997	PDZ binding kinase	-0.57213677	0.43872896	8p21.2
MRPL3	139	MRPL3	A_23_P18422	Mitochondrial ribosomal protein L3	-0.30583963	0.30204923	3q21
PCNA	140	PCNA	A_23_P28886	Proliferating cell nuclear antigen	-0.35020142	0.40579149	20p12
TMEM106B	141	FLJ11273	A_32_P353072	Hypothetical protein FLJ11273	0.24448347	-0.28656153	7p21.3
ZBTB4	142	ZBTB4	A_23_P100654	Zinc finger and BTB domain containing 4	0.33856217	-0.22359883	17p13.1
MAPT	143	MAPT	A_24_P224488	microtubule-associated protein tau	0.17876916	-0.68309353	17q21.1
EBF1	144	EBF	A_32_P197561	Early B-cell factor	0.14378084	-1.04919675	5q34
