Probe Set ID	control	vorinostat	Gene Symbol	ratio
218359_at	126.32	32.57	NRSN2	3.8783
218382_s_at	220.55	55.20	U2AF2	3.9956
218553_s_at	273.85	81.44	KCTD15	3.3627
218676_s_at	78.17	271.21	PCTP	0.2882
218710_at	532.72	120.65	TTC27	4.4154
218756_s_at	203.25	643.30	DHRS11	0.3159
218764_at	370.56	51.13	PRKCH	7.2476
218844_at	84.08	295.41	ACSF2	0.2846
218898_at	488.84	135.99	FAM57A	3.5946
218908_at	160.20	13.28	ASPSCR1	12.0641
218909_at	234.60	763.97	RPS6KC1	0.3071
218951_s_at	618.43	183.43	PLCXD1	3.3714
218968_s_at	492.37	138.36	ZFP64	3.5585
218986_s_at	330.02	96.66	DDX60	3.4143
219039_at	230.33	13.28	SEMA4C	17.3457
219048_at	17.15	119.95	PIGN	0.1430
219073_s_at	1802.53	287.23	OSBPL10	6.2755
219184_x_at	44.90	212.33	TIMM22	0.2115
219221_at	498.03	145.50	ZBTB38	3.4228
219254_at	130.38	37.12	C17orf101	3.5126
219314_s_at	131.63	33.72	ZNF219	3.9039
219347_at	166.18	52.63	NUDT15	3.1575
219364_at	120.02	7.88	DHX58	15.2226
219453_at	119.43	23.80	KLHL36	5.0182
219491_at	775.68	173.50	LRFN4	4.4707
219515_at	407.21	82.50	PRDM10	4.9357
219532_at	120.62	461.34	ELOVL4	0.2615
219565_at	276.65	91.68	CYP20A1	3.0177
219716_at	470.48	129.31	APOL6	3.6384
219815_at	16.54	107.21	GAL3ST4	0.1542
219826_at	132.42	43.23	ZNF419	3.0628
219874_at	149.73	24.38	SLC12A8	6.1402
220012_at	27.15	110.83	ERO1LB	0.2450
220023_at	127.24	15.56	APOB48R	8.1759
220040_x_at	110.25	24.17	ZC4H2	4.5617
220064_at	32.62	105.77	TTC21B	0.3084
220183_s_at	59.32	223.61	NUDT6	0.2653
220220_at	120.49	35.38	LRRC37A4	3.4054
220264_s_at	19.30	157.28	GPR107	0.1227
220283_at	104.43	20.29	HHIPL2	5.1475
220285_at	87.41	296.10	FAM108B1	0.2952
220331_at	39.45	160.28	CYP46A1	0.2461
220358_at	6199.88	1824.75	BATF3	3.3977
220377_at	147.17	5.80	FAM30A	25.3668
220643_s_at	207.62	44.78	FAIM	4.6360
220704_at	143.14	46.00	IKZF1	3.1115
220707_s_at	157.14	24.33	FOXRED2	6.4589
220917_s_at	387.61	1187.78	WDR19	0.3263
220950_s_at	192.58	52.89	KIAA1310	3.6413
220998_s_at	145.35	23.33	UNC93B1	6.2316
221012_s_at	222.03	69.89	TRIM8	3.1768
221039_s_at	256.78	778.57	ASAP1	0.3298
221077_at	33.92	108.16	ARMC4	0.3136
221087_s_at	442.63	145.68	APOL3	3.0384
221111_at	1599.99	340.88	IL26	4.6937
221140_s_at	175.11	9.28	GPR132	18.8714
221162_at	133.88	36.24	HHLA1	3.6944
221282_x_at	221.03	44.44	RUNX2	4.9738
221418_s_at	303.83	44.21	MED16	6.8729
221534_at	536.60	128.46	C11orf68	4.1771
221544_s_at	298.49	30.07	MED16	9.9266
221545_x_at	1172.55	279.15	MED16	4.2004
221566_s_at	273.96	53.95	NOL3	5.0783
221567_at	636.58	141.59	NOL3	4.4961
221612_at	170.37	19.55	LRTM1	8.7165
221614_s_at	141.16	46.68	RPH3AL	3.0239
221650_s_at	114.93	10.80	MED18	10.6452
221653_x_at	138.41	39.01	APOL2	3.5476
221747_at	129.69	21.71	TNS1	5.9737
221750_at	267.83	944.75	HMGCS1	0.2835
221777_at	106.97	482.99	C12orf52	0.2215
221779_at	143.56	34.31	MICALL1	4.1845
221856_s_at	244.46	71.34	FAM63A	3.4268
221865_at	207.18	68.16	C9orf91	3.0397
221894_at	122.11	27.87	ADCK2	4.3816
221938_x_at	945.80	306.74	MED16	3.0834
222045_s_at	295.77	88.51	PCIF1	3.3418
222062_at	276.22	47.59	IL27RA	5.8041
222067_x_at	665.16	3131.01	HIST1H2BD	0.2124
222145_at	134.32	33.54	---	4.0043
222159_at	12.62	103.16	---	0.1223
222195_s_at	176.44	40.39	C9orf156	4.3686
32091_at	183.36	581.08	SLC25A44	0.3156
33579_i_at	31.62	106.56	GALR3	0.2967
38157_at	228.29	68.55	DOM3Z	3.3304
43544_at	595.86	160.37	MED16	3.7155
55065_at	465.98	1499.68	MARK4	0.3107
59625_at	435.84	121.41	NOL3	3.5900
64488_at	105.07	360.88	IRGQ	0.2911
74694_s_at	240.24	43.91	RABEP2	5.4706
