Gene symbol	Ref Seq ID	Unigene ID	P-value	Difference in expression (Ca-Ad)
SOCS6	AK024356	Hs.57483	4.63E-06	-0.61
PRKG2	NM_006259	Hs.41749	4.92E-06	-0.82
RHOBTB3	NM_014899	Hs.10432	4.92E-06	-0.81
-	AK025017	Hs.306746	4.92E-06	-0.78
-	AF147324	Hs.302213	4.92E-06	-0.51
PECAM1	NM_000442	Hs.78146	5.21E-06	-1.32
BEST2	NM_017682	Hs.190222	5.53E-06	-0.97
ID2B	M96843	Hs.296811	5.53E-06	-0.87
-	AK000932	Hs.296526	5.53E-06	-0.62
-	AL832272	Hs.382349	5.53E-06	-0.52
ZBTB7C	AK095226	Hs.374579	5.86E-06	-1.6
DISC1	NM_018662	Hs.26985	5.86E-06	-1.23
FAM55D	NM_017678	Hs.179100	5.86E-06	-1.04
TTC17	NM_018259	Hs.17283	6.21E-06	-0.57
DKFZp686O1327	U80770	Hs.42192	6.21E-06	-0.43
-	AK023519	Hs.287573	6.58E-06	-1.59
RAB26	NM_014353	Hs.3797	6.58E-06	-0.92
-	AY006312	-	6.58E-06	-0.67
CAT	NM_001752	Hs.395771	6.58E-06	-0.62
-	AF085969	Hs.396050	6.58E-06	-0.58
-	AL117475	Hs.306344	6.97E-06	-1.78
CLCA1	NM_001285	Hs.194659	7.39E-06	-2.89
-	NM_023028	Hs.278581	7.39E-06	-1.13
BAX	NM_138764	Hs.159428	7.39E-06	-0.58
SVIL	NM_021738	Hs.154567	7.39E-06	-0.49
-	M22406	-	7.83E-06	-1.65
-	AK095100	Hs.386017	7.83E-06	-0.63
USP8	NM_005154	Hs.152818	7.83E-06	-0.59
DDB2	NM_000107	Hs.77602	7.83E-06	-0.56
IVD	NM_002225	Hs.374536	7.83E-06	-0.46
TNFRSF11A	NM_003839	Hs.114676	8.29E-06	-1
SGMS2	NM_152621	Hs.353519	8.29E-06	-0.84
RIMS3	NM_014747	Hs.78748	8.29E-06	-0.68
-	NM_152340	Hs.379220	8.29E-06	-0.56
TOX	NM_014729	Hs.184297	8.78E-06	-0.99
-	AK001604	Hs.300898	8.78E-06	-0.66
COP1	NM_052889	Hs.348365	8.78E-06	-0.61
SEMA5A	NM_003966	Hs.27621	9.30E-06	-0.85
ITFG1	NM_030790	Hs.23047	9.30E-06	-0.53
MAST4	BC003646	Hs.432631	9.86E-06	-0.55
