Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
242052_at	bicaudal D homolog 1 (Drosophila)	BICD1	0.005	-1.77	Cytoskeleton
222199_s_at	bridging integrator 3	BIN3	0.009	-1.65	Cytoskeleton
36552_at	C2 calcium-dependent domain containing 3	C2CD3	0.035	-1.89	Cytoskeleton
201615_x_at	caldesmon 1	CALD1	0.013	-1.5	Cytoskeleton
201237_at	capping protein (actin filament) muscle Z-line, alpha 2	CAPZA2	0.004	-2.22	Cytoskeleton
201949_x_at	capping protein (actin filament) muscle Z-line, beta	CAPZB	0.013	-2.42	Cytoskeleton
37012_at	capping protein (actin filament) muscle Z-line, beta	CAPZB	0.002	-2.89	Cytoskeleton
1555920_at	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	CBX3	0.009	-1.59	Cytoskeleton
217849_s_at	CDC42 binding protein kinase beta (DMPK-like)	CDC42BPB	0.05	-1.7	Cytoskeleton
207719_x_at	centrosomal protein 170kDa	CEP170	0.023	-3.28	Cytoskeleton
221683_s_at	centrosomal protein 290kDa	CEP290	0.016	-1.89	Cytoskeleton
204373_s_at	centrosomal protein 350kDa	CEP350	0.028	-1.78	Cytoskeleton
213165_at	centrosomal protein 350kDa	CEP350	0.032	-2.29	Cytoskeleton
213956_at	centrosomal protein 350kDa	CEP350	0.01	-1.73	Cytoskeleton
212675_s_at	centrosomal protein 68kDa	CEP68	0.05	-2.96	Cytoskeleton
212752_at	cytoplasmic linker associated protein 1	CLASP1	0.002	-3.29	Cytoskeleton
1558924_s_at	CAP-GLY domain containing linker protein 1	CLIP1	0.027	-2	Cytoskeleton
242287_at	CAP-GLY domain containing linker protein 1	CLIP1	0.002	-2.22	Cytoskeleton
209143_s_at	chloride channel, nucleotide-sensitive, 1A	CLNS1A	0.046	-1.88	Cytoskeleton
229116_at	connector enhancer of kinase suppressor of Ras 2	CNKSR2	0.044	-3.04	Cytoskeleton
222409_at	coronin, actin binding protein, 1C	CORO1C	0.035	-1.95	Cytoskeleton
209789_at	coronin, actin binding protein, 2B	CORO2B	0.044	-1.9	Cytoskeleton
221059_s_at	coactosin-like 1 (Dictyostelium)	COTL1	0.003	-1.53	Cytoskeleton
204662_at	CP110 protein	CP110	0.012	-2.21	Cytoskeleton
219578_s_at	cytoplasmic polyadenylation element binding protein 1	CPEB1	0.021	-1.82	Cytoskeleton
220072_at	centrosome and spindle pole associated protein 1	CSPP1	0.007	-2.19	Cytoskeleton
220999_s_at	cytoplasmic FMR1 interacting protein 2	CYFIP2	0.042	-3.84	Cytoskeleton
204850_s_at	Doublecortin	DCX	0.006	-1.59	Cytoskeleton
230229_at	Discs, large homolog 1 (Drosophila)	DLG1	0.024	-2.13	Cytoskeleton
1568736_s_at	discs, large (drosophila) homolog-associated protein 1	DLGAP1	0.015	-1.94	Cytoskeleton
210227_at	discs, large (Drosophila) homolog-associated protein 2	DLGAP2	0.009	-2.27	Cytoskeleton
1554078_s_at	DnaJ (Hsp40) homolog, subfamily A, member 3	DNAJA3	0.047	-1.95	Cytoskeleton
205963_s_at	DnaJ (Hsp40) homolog, subfamily A, member 3	DNAJA3	0.037	-1.85	Cytoskeleton
229115_at	dynein, cytoplasmic 1, heavy chain 1	DYNC1H1	0.033	-1.88	Cytoskeleton
218524_at	E4F transcription factor 1	E4F1	0.035	-1.55	Cytoskeleton
204513_s_at	engulfment and cell motility 1	ELMO1	0	-3.93	Cytoskeleton
209477_at	Emerin	EMD	0.009	-1.77	Cytoskeleton
228310_at	enabled homolog (Drosophila)	ENAH	0.011	-1.77	Cytoskeleton
201340_s_at	ectodermal-neural cortex (with BTB-like domain)	ENC1	0.021	-4.07	Cytoskeleton
227232_at	Enah/Vasp-like	EVL	0.002	-2.27	Cytoskeleton
209829_at	family with sequence similarity 65, member B	FAM65B	0.048	-2.32	Cytoskeleton
201910_at	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	FARP1	0.047	-1.73	Cytoskeleton
227996_at	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	FARP1	0.01	-2.13	Cytoskeleton
235501_at	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	FARP1	0.013	-1.85	Cytoskeleton
239246_at	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	FARP1	0.036	-1.79	Cytoskeleton
213940_s_at	formin binding protein 1	FNBP1	0.009	-1.79	Cytoskeleton
244286_at	formin binding protein 1	FNBP1	0.001	-1.78	Cytoskeleton
222570_at	frequenin homolog (Drosophila)	FREQ	0.014	-1.92	Cytoskeleton
208475_at	FERM domain containing 4A	FRMD4A	0.014	-1.83	Cytoskeleton
208476_s_at	FERM domain containing 4A	FRMD4A	0.002	-1.52	Cytoskeleton
225167_at	FERM domain containing 4A	FRMD4A	0	-2.4	Cytoskeleton
225168_at	FERM domain containing 4A	FRMD4A	0.049	-1.65	Cytoskeleton
227964_at	FERM domain containing 8	FRMD8	0.02	-1.92	Cytoskeleton
239275_at	FERM and PDZ domain containing 2	FRMPD2	0.015	-1.69	Cytoskeleton
239275_at	FERM and PDZ domain containing 2 like 1	FRMPD2L1	0.015	-1.69	Cytoskeleton
239275_at	FERM and PDZ domain containing 2 like 2	FRMPD2L2	0.015	-1.69	Cytoskeleton
237773_at	FERM and PDZ domain containing 4	FRMPD4	0.014	-1.52	Cytoskeleton
218030_at	G protein-coupled receptor kinase interacting ArfGAP 1	GIT1	0.04	-1.78	Cytoskeleton
214679_x_at	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	GNA11	0.027	-1.5	Cytoskeleton
227215_at	golgi associated PDZ and coiled-coil motif containing	GOPC	0.006	-1.84	Cytoskeleton
229397_s_at	Glucocorticoid receptor DNA binding factor 1	GRLF1	0.02	-1.61	Cytoskeleton
200696_s_at	gelsolin (amyloidosis, Finnish type)	GSN	0.05	-1.69	Cytoskeleton
209558_s_at	huntingtin interacting protein 1 related	HIP1R	0.044	-1.71	Cytoskeleton
201031_s_at	heterogeneous nuclear ribonucleoprotein H1 (H)	HNRNPH1	0.021	-3.77	Cytoskeleton
201132_at	heterogeneous nuclear ribonucleoprotein H2 (H)	HNRNPH2	0.041	-3.91	Cytoskeleton
219976_at	hook homolog 1 (Drosophila)	HOOK1	0.005	-1.88	Cytoskeleton
209721_s_at	intermediate filament family orphan 1	IFFO1	0.046	-1.75	Cytoskeleton
225615_at	intermediate filament family orphan 2	IFFO2	0.028	-1.58	Cytoskeleton
210312_s_at	intraflagellar transport 20 homolog (Chlamydomonas)	IFT20	0.01	-2.62	Cytoskeleton
204703_at	intraflagellar transport 88 homolog (Chlamydomonas)	IFT88	0.029	-1.53	Cytoskeleton
227297_at	integrin, alpha 9	ITGA9	0.031	-1.67	Cytoskeleton
236251_at	integrin, alpha V (fibronectin receptor, alpha polypeptide, antigen CD51)	ITGAV	0.018	-1.62	Cytoskeleton
241769_at	integrin, alpha V (fibronectin receptor, alpha polypeptide, antigen CD51)	ITGAV	0.038	-1.6	Cytoskeleton
210184_at	integrin, alpha X (complement component 3 receptor 4 subunit)	ITGAX	0.028	1.56	Cytoskeleton
1552611_a_at	Janus kinase 1	JAK1	0	-1.55	Cytoskeleton
238600_at	Janus kinase and microtubule interacting protein 1	JAKMIP1	0.024	-2.86	Cytoskeleton
214961_at	KIAA0774	KIAA0774	0.017	-1.91	Cytoskeleton
244676_s_at	KIAA0774	KIAA0774	0.019	-1.85	Cytoskeleton
226968_at	kinesin family member 1B	KIF1B	0.002	-1.65	Cytoskeleton
226003_at	kinesin family member 21A	KIF21A	0.048	-4.33	Cytoskeleton
231875_at	kinesin family member 21A	KIF21A	0	-2.95	Cytoskeleton
203129_s_at	kinesin family member 5C	KIF5C	0.048	-2.99	Cytoskeleton
218906_x_at	kinesin light chain 2	KLC2	0.034	-2.54	Cytoskeleton
200914_x_at	kinectin 1 (kinesin receptor)	KTN1	0.008	-2.21	Cytoskeleton
222457_s_at	LIM domain and actin binding 1	LIMA1	0.05	-1.5	Cytoskeleton
204357_s_at	LIM domain kinase 1	LIMK1	0.019	-1.69	Cytoskeleton
201861_s_at	leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	0.008	-2.23	Cytoskeleton
223492_s_at	leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	0.029	-3.26	Cytoskeleton
238534_at	Leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	0.009	-1.58	Cytoskeleton
210943_s_at	lysosomal trafficking regulator	LYST	0.004	-1.61	Cytoskeleton
219042_at	leucine zipper, putative tumor suppressor 1	LZTS1	0.004	-2.8	Cytoskeleton
47550_at	leucine zipper, putative tumor suppressor 1	LZTS1	0.009	-3.53	Cytoskeleton
1555881_s_at	leucine zipper, putative tumor suppressor 2	LZTS2	0.029	-1.75	Cytoskeleton
224473_x_at	leucine zipper, putative tumor suppressor 2	LZTS2	0.006	-1.64	Cytoskeleton
214577_at	microtubule-associated protein 1B	MAP1B	0	-3.86	Cytoskeleton
226084_at	microtubule-associated protein 1B	MAP1B	0.019	-5.55	Cytoskeleton
224378_x_at	microtubule-associated protein 1 light chain 3 alpha	MAP1LC3A	0.042	-2.28	Cytoskeleton
235672_at	microtubule-associated protein 6	MAP6	0.019	-1.92	Cytoskeleton
220145_at	microtubule-associated protein 9	MAP9	0	-2.22	Cytoskeleton
203842_s_at	microtubule-associated protein, RP/EB family, member 3	MAPRE3	0.021	-2.36	Cytoskeleton
203928_x_at	microtubule-associated protein tau	MAPT	0.019	-2.22	Cytoskeleton
206401_s_at	microtubule-associated protein tau	MAPT	0.039	-1.68	Cytoskeleton
201670_s_at	myristoylated alanine-rich protein kinase C substrate	MARCKS	0.001	-2.38	Cytoskeleton
202569_s_at	MAP/microtubule affinity-regulating kinase 3	MARK3	0.011	-2.59	Cytoskeleton
225613_at	Microtubule associated serine/threonine kinase family member 4	MAST4	0.004	-1.9	Cytoskeleton
40016_g_at	microtubule associated serine/threonine kinase family member 4	MAST4	0.004	-2.25	Cytoskeleton
218376_s_at	microtubule associated monoxygenase, calponin and LIM domain containing 1	MICAL1	0.039	-2.4	Cytoskeleton
212473_s_at	microtubule associated monoxygenase, calponin and LIM domain containing 2	MICAL2	0.038	-3.88	Cytoskeleton
236475_at	Microtubule associated monoxygenase, calponin and LIM domain containing 2	MICAL2	0.023	-2.08	Cytoskeleton
201960_s_at	MYC binding protein 2	MYCBP2	0.037	-3.45	Cytoskeleton
1570588_at	myosin phosphatase Rho interacting protein	MPRIP	0.008	-1.52	Cytoskeleton
212197_x_at	myosin phosphatase Rho interacting protein	MPRIP	0.009	-2.1	Cytoskeleton
219027_s_at	myosin IXA	MYO9A	0.01	-1.59	Cytoskeleton
242742_at	myosin IXB	MY09B	0.013	-1.93	Cytoskeleton
213067_at	myosin, heavy chain 10, non-muscle	MYH10	0.011	-1.9	Cytoskeleton
237491_at	myosin, heavy chain 10, non-muscle	MYH10	0	-1.93	Cytoskeleton
236022_at	myosin XIX	MYO19	0.001	-1.5	Cytoskeleton
212365_at	myosin IB	MYO1B	0.01	1.88	Cytoskeleton
203215_s_at	myosin VI	MYO6	0.001	-2.7	Cytoskeleton
205826_at	myomesin (M-protein) 2, 165kDa	MYOM2	0.033	-2.32	Cytoskeleton
224771_at	neuron navigator 1	NAV1	0.004	-1.82	Cytoskeleton
218697_at	NCK interacting protein with SH3 domain	NCKIPSD	0.049	-3	Cytoskeleton
204412_s_at	neurofilament, heavy polypeptide	NEFH	0.041	-2.89	Cytoskeleton
33767_at	neurofilament, heavy polypeptide	NEFH	0.03	-4.13	Cytoskeleton
218014_at	nucleoporin 85kDa	NUP85	0.03	-1.57	Cytoskeleton
214078_at	p21 protein (Cdc42/Rac)-activated kinase 3	PAK3	0.022	-1.8	Cytoskeleton
214607_at	p21 protein (Cdc42/Rac)-activated kinase 3	PAK3	0.013	-3.65	Cytoskeleton
1555310_a_at	p21 protein (Cdc42/Rac)-activated kinase 6	PAK6	0.024	-2.13	Cytoskeleton
226326_at	polycomb group ring finger 5	PCGF5	0.037	-2.34	Cytoskeleton
210650_s_at	piccolo (presynaptic cytomatrix protein)	PCLO	0.021	-2.64	Cytoskeleton
204491_at	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	PDE4D	0.041	-1.78	Cytoskeleton
201602_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 12A	PPP1R12A	0.001	-1.87	Cytoskeleton
221088_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 9A	PPP1R9A	0.003	-2.24	Cytoskeleton
225188_at	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1	0.037	-3.31	Cytoskeleton
223322_at	Ras association (RalGDS/AF-6) domain family member 5	RASSF5	0.001	-2.35	Cytoskeleton
203132_at	retinoblastoma 1	RB1	0.036	-2.35	Cytoskeleton
227223_at	RNA binding motif protein 39	RBM39	0.017	-2.18	Cytoskeleton
236620_at	RAP1 interacting factor homolog (yeast)	RIF1	0.006	-1.89	Cytoskeleton
210056_at	Rho family GTPase 1	RND1	0.049	-2.32	Cytoskeleton
213478_at	kazrin	RP1-21O18.1	0.001	-2.81	Cytoskeleton
201614_s_at	RuvB-like 1 (E. coli)	RUVBL1	0.015	-1.64	Cytoskeleton
205449_at	SAC3 domain containing 1	SAC3D1	0.018	-1.91	Cytoskeleton
200958_s_at	syndecan binding protein (syntenin)	SDCBP	0.03	-3.47	Cytoskeleton
1559038_at	septin 2	41154	0.003	-1.93	Cytoskeleton
241093_at	septin 6	41158	0.033	1.59	Cytoskeleton
214293_at	Septin 11	41163	0.031	-3.86	Cytoskeleton
230071_at	septin 11	41163	0.038	-1.92	Cytoskeleton
214402_s_at	Sfi1 homolog, spindle assembly associated (yeast)	SFI1	0.023	-1.51	Cytoskeleton
215699_x_at	Sfi1 homolog, spindle assembly associated (yeast)	SFI1	0.019	-1.59	Cytoskeleton
36545_s_at	Sfi1 homolog, spindle assembly associated (yeast)	SFI1	0.001	-1.94	Cytoskeleton
1554168_a_at	SH3-domain kinase binding protein 1	SH3KBP1	0.032	-1.95	Cytoskeleton
224817_at	SH3 and PX domains 2A	SH3PXD2A	0.049	-1.67	Cytoskeleton
213307_at	SH3 and multiple ankyrin repeat domains 2	SHANK2	0.036	-1.99	Cytoskeleton
213308_at	SH3 and multiple ankyrin repeat domains 2	SHANK2	0.012	-2.85	Cytoskeleton
227923_at	SH3 and multiple ankyrin repeat domains 3	SHANK3	0.023	-2	Cytoskeleton
225548_at	shroom family member 3	SHROOM3	0.009	-1.51	Cytoskeleton
232547_at	SNAP25-interacting protein	SNIP	0.001	-2.83	Cytoskeleton
1558815_at	sorbin and SH3 domain containing 2	SORBS2	0.03	-1.77	Cytoskeleton
237285_at	sorbin and SH3 domain containing 2	SORBS2	0.018	-1.59	Cytoskeleton
243594_x_at	spire homolog 2 (Drosophila)	SPIRE2	0.036	-1.62	Cytoskeleton
200671_s_at	spectrin, beta, non-erythrocytic 1	SPTBN1	0.027	-1.72	Cytoskeleton
200672_x_at	spectrin, beta, non-erythrocytic 1	SPTBN1	0	-1.66	Cytoskeleton
226765_at	Spectrin, beta, non-erythrocytic 1	SPTBN1	0.011	-2.63	Cytoskeleton
209023_s_at	stromal antigen 2	STAG2	0.001	-3.27	Cytoskeleton
212565_at	serine/threonine kinase 38 like	STK38L	0.045	-2.27	Cytoskeleton
229513_at	Spermatid perinuclear RNA binding protein	STRBP	0.003	-3	Cytoskeleton
233252_s_at	spermatid perinuclear RNA binding protein	STRBP	0.019	-2.17	Cytoskeleton
204729_s_at	syntaxin 1A (brain)	STX1A	0.032	-3.24	Cytoskeleton
209447_at	spectrin repeat containing, nuclear envelope 1	SYNE1	0.018	-2.53	Cytoskeleton
242290_at	transforming, acidic coiled-coil containing protein 1	TACC1	0.014	-1.52	Cytoskeleton
202289_s_at	transforming, acidic coiled-coil containing protein 2	TACC2	0.027	-2.42	Cytoskeleton
222633_at	transducin (beta)-like 1 X-linked receptor 1	TBL1XR1	0.049	-1.66	Cytoskeleton
230197_s_at	Tubulin polymerization promoting protein	TPPP	0.039	-1.56	Cytoskeleton
238494_at	TNF receptor-associated factor 3 interacting protein 1	TRAF3IP1	0.023	-2.15	Cytoskeleton
213922_at	tau tubulin kinase 2	TTBK2	0.015	-2.84	Cytoskeleton
226964_at	tau tubulin kinase 2	TTBK2	0.046	-2.08	Cytoskeleton
203690_at	tubulin, gamma complex associated protein 3	TUBGCP3	0.048	-2.11	Cytoskeleton
223012_at	UBX domain protein 6	UBXN6	0.025	-2.87	Cytoskeleton
218807_at	vav 3 guanine nucleotide exchange factor	VAV3	0.029	-1.55	Cytoskeleton
212049_at	WAS/WASL interacting protein family, member 2	WIPF2	0.014	-1.56	Cytoskeleton
1556646_at	polo-like kinase 1 (Drosophila)		0.018	-1.98	Cytoskeleton
1558672_at	internexin neuronal intermediate filament protein, alpha		0.003	-3.32	Cytoskeleton
1560926_at	protein phosphatase 4, regulatory subunit 2		0.041	-1.51	Cytoskeleton
214124_x_at	FGFR1 oncogene partner		0.019	-2.66	Cytoskeleton
229417_at	staufen, RNA binding protein, homolog 2 (Drosophila)		0.037	-1.91	Cytoskeleton
230734_x_at	striatin, calmodulin binding protein		0.024	-2.27	Cytoskeleton
230945_at	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)		0.005	-1.52	Cytoskeleton
232161_x_at	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)		0.04	-2.6	Cytoskeleton
232711_at	PBX/knotted 1 homeobox 2		0.006	-1.97	Cytoskeleton
233152_x_at	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase		0.031	-2.53	Cytoskeleton
237398_at	Rho guanine nucleotide exchange factor (GEF) 12		0.024	-1.74	Cytoskeleton
237937_x_at	syntrophin, gamma 1		0.003	-2.25	Cytoskeleton
238563_at	abl interactor 1		0.004	-1.53	Cytoskeleton
239601_at	formin homology 2 domain containing 3		0.02	-1.68	Cytoskeleton
242189_at	homer homolog 1 (Drosophila)		0.042	-1.61	Cytoskeleton
244474_at	RAN binding protein 9		0.028	-1.51	Cytoskeleton
244753_at	actinin, alpha 4		0.004	-2.47	Cytoskeleton
244859_at	hypothetical protein LOC100134230		0.001	-1.68	Cytoskeleton
215789_s_at	adherens junctions associated protein 1	AJAP1	0	-1.86	Cell junction/ gap junction/ tight junction/ adherens junction
222667_s_at	ash1 (absent, small, or homeotic)-like (Drosophila)	ASH1L	0.027	-2.3	Cell junction/ gap junction/ tight junction/ adherens junction
226447_at	ash1 (absent, small, or homeotic)-like (Drosophila)	ASH1L	0.025	-3.25	Cell junction/ gap junction/ tight junction/ adherens junction
201059_at	cortactin	CTTN	0.027	-3.23	Cell junction/ gap junction/ tight junction/ adherens junction
214782_at	cortactin	CTTN	0.002	-1.85	Cell junction/ gap junction/ tight junction/ adherens junction
225051_at	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	EPB41	0.016	-2.09	Cell junction/ gap junction/ tight junction/ adherens junction
212336_at	erythrocyte membrane protein band 4.1-like 1	EPB41L1	0.008	-2.27	Cell junction/ gap junction/ tight junction/ adherens junction
242652_at	erythrocyte membrane protein band 4.2 (elliptocytosis 1, RH-linked)	EPB42	0	-2.04	Cell junction/ gap junction/ tight junction/ adherens junction
212630_at	exocyst complex component 3	EXOC3	0.044	-1.59	Cell junction/ gap junction/ tight junction/ adherens junction
228776_at	gap junction protein, gamma 1, 45kDa	GJC1	0.02	-1.62	Cell junction/ gap junction/ tight junction/ adherens junction
206906_at	intercellular adhesion molecule 5, telencephalin	ICAM5	0.029	-1.91	Cell junction/ gap junction/ tight junction/ adherens junction
242722_at	LIM domain 7	LMO7	0	-3.17	Cell junction/ gap junction/ tight junction/ adherens junction
225465_at	membrane associated guanylate kinase, WW and PDZ domain containing 1	MAGI1	0.042	-2.06	Cell junction/ gap junction/ tight junction/ adherens junction
207702_s_at	membrane associated guanylate kinase, WW and PDZ domain containing 2	MAGI2	0.02	-1.53	Cell junction/ gap junction/ tight junction/ adherens junction
240186_at	membrane associated guanylate kinase, WW and PDZ domain containing 2	MAGI2	0.003	-2.53	Cell junction/ gap junction/ tight junction/ adherens junction
230622_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	MLLT4	0.002	-1.61	Cell junction/ gap junction/ tight junction/ adherens junction
238871_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	MLLT4	0.002	-2.45	Cell junction/ gap junction/ tight junction/ adherens junction
223574_x_at	protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform	PPP2R2C	0.039	-2.09	Cell junction/ gap junction/ tight junction/ adherens junction
228010_at	protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform	PPP2R2C	0.038	-4.11	Cell junction/ gap junction/ tight junction/ adherens junction
228137_s_at	protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform	PPP2R2C	0.011	-1.54	Cell junction/ gap junction/ tight junction/ adherens junction
212759_s_at	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	0.024	-1.58	Cell junction/ gap junction/ tight junction/ adherens junction
212761_at	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	0.026	-2.14	Cell junction/ gap junction/ tight junction/ adherens junction
212762_s_at	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	0.004	-2.12	Cell junction/ gap junction/ tight junction/ adherens junction
221857_s_at	tight junction associated protein 1 (peripheral)	TJAP1	0.027	-1.54	Cell junction/ gap junction/ tight junction/ adherens junction
208780_x_at	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	VAPA	0.039	-2.42	Cell junction/ gap junction/ tight junction/ adherens junction
239750_x_at	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	VAPA	0.04	-2.05	Cell junction/ gap junction/ tight junction/ adherens junction
243184_at	tight junction protein 1 (zona occludens 1)	ZO1	0.033	-1.53	Cell junction/ gap junction/ tight junction/ adherens junction
205209_at	activin A receptor, type IB	ACVR1B	0.001	-2.48	MAPK signalling pathway
213198_at	activin A receptor, type IB	ACVR1B	0.035	-3.09	MAPK signalling pathway
206382_s_at	brain-derived neurotrophic factor	BDNF	0.016	-1.72	MAPK signalling pathway
242973_at	calcium channel, voltage-dependent, L type, alpha 1C subunit	CACNA1C	0.029	-1.99	MAPK signalling pathway
208891_at	dual specificity phosphatase 6	DUSP6	0.044	-2.57	MAPK signalling pathway
208892_s_at	dual specificity phosphatase 6	DUSP6	0.014	-2.25	MAPK signalling pathway
240067_at	fibroblast growth factor 12	FGF12	0.025	-1.64	MAPK signalling pathway
206404_at	fibroblast growth factor 9 (glia-activating factor)	FGF9	0.04	-1.96	MAPK signalling pathway
202581_at	heat shock 70kDa protein 1A	HSPA1A	0.014	-3.97	MAPK signalling pathway
202581_at	heat shock 70kDa protein 1B	HSPA1B	0.014	-3.97	MAPK signalling pathway
209929_s_at	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	IKBKG	0.025	-1.84	MAPK signalling pathway
214352_s_at	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	KRAS	0.003	-1.78	MAPK signalling pathway
202424_at	mitogen-activated protein kinase kinase 2	MAP2K2	0.028	-2.05	MAPK signalling pathway
230921_s_at	mitogen activated protein kinase kinase kinase 12	MAP3K12	0.004	-3.39	MAPK signalling pathway
226441_at	mitogen-activated protein kinase kinase kinase 2	MAP3K2	0.024	-2.32	MAPK signalling pathway
227131_at	mitogen-activated protein kinase kinase kinase 3	MAP3K3	0.013	-1.85	MAPK signalling pathway
206853_s_at	Mitogen-activated protein kinase kinase kinase 7	MAP3K7	0.018	-1.7	MAPK signalling pathway
1558732_at	mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	0.001	-1.91	MAPK signalling pathway
211499_s_at	mitogen-activated protein kinase 11	MAPK11	0.023	-1.92	MAPK signalling pathway
217971_at	MAPK scaffold protein 1	MAPKSP1	0.032	-2.8	MAPK signalling pathway
243256_at	MAP kinase interacting serine/threonine kinase 1	MKNK1	0.026	-1.97	MAPK signalling pathway
218205_s_at	MAP kinase interacting serine/threonine kinase 2	MKNK2	0.019	-2.14	MAPK signalling pathway
223199_at	MAP kinase interacting serine/threonine kinase 2	MKNK2	0.002	-1.85	MAPK signalling pathway
