Fold change	Gene Symbol	Representative public ID
-3.1	RAB6IP1	AA349595
-3.1	FOXD1	NM_004472
-3.1	GADD45A	NM_001924
-3.1	KATNAL1	AI807482
-3.1	FLJ90757	AK096609
-3.1	SEMA3C	AI962897
-3.1	MEIS4	H15129
-3.1	CITED2	NM_006079
-3.1	WBP1	U79457
-3.1	BMP1	NM_006132
-3.1	GLG1	N32761
-3.1	ZNF222	NM_013360
-3.1	---	AK026181
-3.1	M160	AF264014
-3.1	LOC283677	W87466
-3.0	CAMK2D	AA809487
-3.0	NDRG1	NM_006096
-3.0	C6orf1	BF984592
-3.0	RGNEF	BE884959
-3.0	LOC283768 /// LOC388080 /// LOC388189 /// LOC390535 /// LOC400304 /// LOC440234 /// DKFZp434P162	AI620911
-3.0	SLC20A1	NM_005415
-3.0	LOC387758	AI802391
-3.0	TTC3	AI652848
-3.0	PRKD1	NM_002742
-3.0	DUSP5	U16996
-3.0	RRAS	NM_006270
-3.0	NUDT4	AF191654
-3.0	BTN3A3	NM_006994
-3.0	ZNF575	AK057129
-3.0	TRAF5	NM_004619
-3.0	SLIT2	AF055585
-3.0	BVES	AA993518
-3.0	PDLIM7	BC023629
-3.0	FLJ20719	AI634549
-3.0	PHLDB2	T68150
-3.0	PKIB	AL569326
-3.0	DNAJC7	NM_003315
-3.0	IMP-3	AL023775
-3.0	EPB41L2	NM_001431
-3.0	ALS2CR3	AV705253
-3.0	ZNF187	AV705032
-3.0	SPATA6	NM_019073
-3.0	A1BG	AI022193
-2.9	LOC339005 /// LOC440253	AI824078
-2.9	---	AI393706
-2.9	MGC13024	AW517464
-2.9	TUBB6	BC002654
-2.9	---	AK022804
-2.9	FLJ12443	NM_024830
-2.9	LOC51234	N21320
-2.9	AREG	NM_001657
-2.9	MFGE8	BC003610
-2.9	H2BFS	NM_017445
-2.9	CTSB	W47179
-2.9	PCAF	AV727449
-2.9	SNX25	BC029868
-2.9	PLOD1	NM_000302
-2.9	EFHC1	NM_018100
-2.9	---	N22766
-2.9	LMAN1	NM_005570
-2.9	P4HA1	NM_000917
-2.9	RGS2	NM_002923
-2.9	MAP2	BF342661
-2.9	HIST2H2AA	AI313324
-2.9	SEC22L1	AU154125
-2.9	ZNF420	AI339586
-2.9	STAT2	H98105
-2.8	PGAP1	AV705244
-2.8	PTHB1	AF095771
-2.8	---	BF055201
-2.8	PSAP	M32221
-2.8	ZCCHC6	AW070776
-2.8	---	AW665748
-2.8	KDELC1	NM_024089
-2.8	VAMP4	AF052100
-2.8	PIK3R1	AI934473
-2.8	CST3	NM_000099
-2.8	TUBG2	NM_016437
-2.8	NFKBIZ	AB037925
-2.8	COX7A1	NM_001864
-2.8	---	AA133285
-2.8	GPR85	AL161959
-2.8	H2AFY	AF044286
-2.8	OPN1SW	AA868461
-2.8	---	BF432941
-2.8	---	AV752058
-2.8	FLJ10970	NM_018286
-2.8	SLITRK6	R70320
-2.8	KBTBD9	BE465475
-2.8	CAMK1D	AA835485
-2.8	PLEKHG4	AI056683
-2.8	LOC388327	AI681419
-2.8	NME5	NM_003551
-2.8	---	BF594695
-2.8	TRIO	NM_007118
-2.8	YIPF5	AW001618
-2.8	FLJ32452	AL521634
-2.8	FHL2	NM_001450
-2.8	NPAS2	AI743090
-2.8	KCTD15	W73820
-2.8	CD109	BF978262
-2.8	PISD	NM_014338
-2.7	APPBP2	AA046411
-2.7	C21orf86	AW131553
-2.7	MICAL1	NM_022765
-2.7	ZNF585A	BE550717
-2.7	CDC14B	BF792631
-2.7	---	BE962119
-2.7	LTB4DH	AL135787
-2.7	RCBTB2	NM_001268
-2.7	---	AI955713
-2.7	DEGS1	BC000961
-2.7	LAMB1	NM_002291
-2.7	MXD4	BC002713
-2.7	DOCK4	NM_014705
-2.7	EGR1	AI459194
-2.7	C9orf47	AL133706
-2.7	KIAA1181	AK000752
-2.7	TAOK2	NM_016151
-2.7	TBC1D16	W74640
-2.7	BLMH	NM_000386
-2.7	ADAM12	NM_003474
-2.7	SLC6A15	AI368909
-2.7	SLC25A30	BF001919
-2.7	TCEAL8	AI743979
-2.7	FLJ16008	BC039307
-2.7	LMCD1	NM_014583
-2.7	---	AI546970
-2.7	PXMP3	AW512586
-2.7	S100PBPR	NM_022753
-2.7	TNPO1	AW161626
-2.6	GOSR2	AW149492
-2.6	RRAGB	NM_016656
-2.6	SPTBN1	AW593244
-2.6	COPB2	AF070618
-2.6	---	AL133101
-2.6	LEPR	AU151151
-2.6	MYADM	AA909044
-2.6	ZNF161	BG035116
-2.6	NAV2	NM_018162
-2.6	C20orf112	AL034550
-2.6	GALNAC4S-6ST	NM_014863
-2.6	LOC492311	H05025
-2.6	TMEM49	AL541655
-2.6	LOC162073	AI766311
-2.6	BCOR	AF317391
-2.6	FLJ10826	N62791
-2.6	FGFR1	M63889
-2.6	EHD2	AI417917
-2.6	BCL11A	AI912275
-2.6	FNDC3B	NM_022763
-2.6	JAG1	U77914
-2.6	TPM2	NM_003289
-2.6	NFAT5	NM_006599
-2.6	VEGFC	U58111
-2.6	PHTF1	NM_006608
-2.6	CDKL3	NM_016508
-2.6	---	AI824171
-2.6	PBX1	AL049381
-2.6	TNFRSF10D	AI738556
-2.6	DNAJC18	AI017750
-2.6	---	BF815640
-2.6	HIST1H1C	BC002649
-2.6	DCBLD2	AI378788
-2.6	CRI1	AF274951
-2.6	MLSTD1	NM_018099
-2.6	GABARAPL1	BF125756
-2.6	HIST1H2BD	BC002842
-2.6	CYLD	BF516433
-2.6	CABYR	AF295039
-2.6	TAF9L	AF220509
-2.6	HSDL1	AK025626
-2.6	ITGA3	NM_002204
-2.6	ZNF606	NM_025027
-2.6	---	AA832474
-2.6	SLC6A6	BG150485
-2.6	PCBP2	AW103422
-2.5	CREM	D14826
-2.5	MTMR11	NM_006697
-2.5	MMD	NM_012329
-2.5	LOC63920	NM_022090
-2.5	CELSR3	AB011536
-2.5	LOC493869	AL571557
-2.5	AGTPBP1	NM_015239
-2.5	SERINC1	AF164794
-2.5	HRH1	NM_000861
-2.5	---	AI676241
-2.5	PHC1	NM_004426
-2.5	LOH3CR2A	NM_013343
-2.5	ITPR1	NM_002222
-2.5	ALDH3A2	BC002430
-2.5	SH3BP4	AF015043
-2.5	ASB1	AF055024
-2.5	FLJ27352	AA398658
-2.5	---	BG251521
-2.5	C10orf33	AI690274
-2.5	AOX1	AB046692
-2.5	NOL3	AF064599
-2.5	C1GALT1C1	BF749723
-2.5	DAP	NM_004394
-2.5	CLIC4	AF109196
-2.5	ABI2	BF245400
-2.5	FAM55C	BF317081
-2.5	C6orf65	N48613
-2.5	RPS6KC1	NM_012424
-2.5	ZNF136	NM_003437
-2.5	ALDH3B1	NM_000694
-2.5	---	AW665227
-2.5	CYP4V2	AI916528
-2.5	HIVEP3	BG250907
-2.5	TTLL1	NM_012263
-2.5	SMOX	BC000669
-2.5	PTAR1	BF056048
-2.5	TncRNA	AV659198
-2.5	CALCOCO1	BC003177
-2.5	GNG12	AF493879
-2.5	---	AI928203
-2.5	CPD	D85390
-2.5	FLJ21159	AI887898
-2.5	---	BE891071
-2.5	CPA4	NM_016352
-2.5	UBE2I	AL031714
-2.5	KIAA0355	NM_014686
-2.5	SATB1	NM_002971
-2.5	SPATA7	NM_018418
-2.4	STK38L	BE302191
-2.4	FLJ36031	AA191741
-2.4	---	AA002140
-2.4	TPM4	AV736334
-2.4	TEAD1	AI590088
-2.4	C14orf45	NM_025057
-2.4	FLJ11273	AV705186
-2.4	GPC6	AF111178
-2.4	RBPSUH	AL513759
-2.4	SLC6A13	AI802118
-2.4	DNM1L	AA131302
-2.4	IDS	NM_000202
-2.4	KIAA1715	AI814587
-2.4	STC1	AW003173
-2.4	SFXN3	M95929
-2.4	KIAA1946	AW043602
-2.4	ZDHHC17	AI621223
-2.4	TBC1D8	NM_007063
-2.4	ORMDL3	BC000638
-2.4	ITGA4	BG532690
-2.4	FUT8	NM_004480
-2.4	LEPR /// LEPROT	AW026535
-2.4	DNAJC12	AF176013
-2.4	NR2F2	AL554245
-2.4	ANKRD37	AA886870
-2.4	LOC284267	AW004076
-2.4	GSN	NM_000177
-2.4	PMAIP1	AI857639
-2.4	C18orf54	AA019836
-2.4	---	AI521765
-2.4	ZBTB1	NM_014950
-2.4	LOC401152	AV727336
-2.4	UGCGL2	NM_020121
-2.4	FLNA	AW051856
-2.4	KLHL5	AK002174
-2.4	HIST1H2BE	NM_003523
-2.4	SKIL	AW294869
-2.4	SPATA20	NM_022827
-2.4	SIDT2	AA150165
-2.4	HOXB2	NM_002145
-2.4	GADD45B	AF078077
-2.4	TGOLN2	BG249599
-2.4	PXDN	BF342851
-2.4	STX1A	NM_004603
-2.4	PANX1	NM_015368
-2.4	MGC19764	AI923675
-2.4	CALU	AF257659
-2.4	PROCR	NM_006404
-2.4	FLJ23342	NM_024631
-2.4	PECI	NM_006117
-2.4	SPRY2	NM_005842
-2.4	RERG	BG484193
-2.4	TICAM2	AI423165
-2.4	OTUD3	AL537463
-2.4	IGF2R	BG031974
