Gene Symbol	Fold Change	Gene ID	Description	p Val	Function
VPS41	1.7	235625_at	Vacuolar Protein Sorting 41 (Yeast)	0.003	Transport
C6ORF69	1.6	228299_at	Chromosome 6 Open Reading Frame 69	0.01	Transport
KIF3A	1.7	228680_at	Kinesin Family Member 3A	0.04	Transport
TIMP1	-1.5	201666_at	TIMP Metallopeptidase Inhibitor 1	0.04	Cell proliferation
EDD1	1.5	1555888_at	E3 Ubiquitin Protein Ligase, Hect Domain Containing, 1	0.01	Cell proliferation
NRD1	2.1	242235_x_at	Nardilysin (N-Arginine Dibasic Convertase)	0.005	Cell proliferation
PDIA4	-1.9	208658_at	Protein Disulfide Isomerase Family A,Member4	0.01	Homeostasis
PDIA4	-1.9	211048_s_at	Protein Disulfide Isomerase Family A,Member4	0.03	Homeostasis
CALR	-1.6	214315_x_at	Calreticulin	0.002	Homeostasis
POLR2J3	-1.8	1552621_at	DNA Directed RNA Polymerase II Polypeptide J-Related Gene	0.03	Gene expression
LOC113179	-1.6	1553968_a_at	Hypothetical Protein BC011824	0.000069	Gene expression
RGNEF	-2.1	1554003_at	Rho-Guanine Nucleotide Exchange Factor	0.03	Gene expression
ATF7IP2	-1.9	228381_at	Activating Transcription Factor 7 Interacting Protein 2	0.008	Gene expression
LOC148203	-1.5	229700_at	Hypothetical Protein LOC148203	0.03	Gene expression
SLA/LP	-1.7	231730_at	Soluble Liver Antigen/Liver Pancreas Antigen	0.04	Gene expression
C14ORF172	-1.6	52741_at	Chromosome 14 Open Reading Frame 172	0.03	Gene expression
STOM	-1.7	201061_s_at	Stomatin	0.03	Protein metabolism
UBE2J1	-1.6	222435_s_at	Ubiquitin-Conjugating Enzyme E2,J1(UBC6 Homolog,Yeast)	0.03	Protein metabolism
SCRN3	-1.5	222849_s_at	Secernin 3	0.04	Protein metabolism
SEPT7	1.7	1565823_at	Septin 7	0.03	Protein metabolism
TRIM5	2	210705_s_at	Tripartite Motif-Containing 5	0.03	Protein metabolism
UBE2NL	1.7	217393_x_at	Ubiquitin-Conjugating Enzyme E2N-Like	0.04	Protein metabolism
PSME3	-1.9	200987_x_at	Proteasome (Prosome, Macropain) Activator Subunit 3 (PA28 Gamma; Ki)	0.04	Protein metabolism
HSP90B1	-2.1	216449_x_at	Heat Shock Protein 90kDa Beta (Grp94), Member 1	0.03	Protein metabolism
IMPACT	1.6	218637_at	Impact Homolog (Mouse)	0.03	Protein metabolism
AKR1B1	-1.4	201272_at	Aldo-Keto Reductase Family 1, Member B1 (Aldose Reductase)	0.03	Carbohydrate metabolism
GNPDA2	-1.8	227022_at	Glucosamine-6-Phosphate Deaminase 2	0.04	Carbohydrate metabolism
PDK3	-1.8	230085_at	Pyruvate Dehydrogenase Kinase, Isozyme 3	0.04	Carbohydrate metabolism
IDH2	1.5	210046_s_at	Isocitrate dehydrogenase 2 (NADP+), Mito	0.03	Carbohydrate metabolism
C1ORF69	-1.6	236629_at	Chromosome 1 Open Reading Frame 69	0.01	Amino acid metabolism
PAH	1.8	242375_x_at	Phenylalanine Hydroxylase	0.03	Amino acid metabolism
MTHFS	1.7	210242_x_at	5,10-Methenyltetrahydrofolate Synthetase (5-Formyltetrahydrofolate Cyclo-Ligase)	0.03	Nucleic Acid metabolism
EP400	-1.5	212376_s_at	Trinucleotide Repeat Containing 12	0.04	Nucleic Acid metabolism
SIRT6	-1.5	219613_s_at	Sirtuin (Silent Mating Type Information Regulation 2 Homolog) 6 (S. Cerevisiae)	0.03	Nucleic Acid metabolism
ELF5	-1.7	220625_s_at	E74-Like Factor 5  (ETS Domain Transcription Factor)	0.04	Nucleic Acid metabolism
DNMT3B	-1.9	220668_s_at	DNA (Cytosine-5-)-Methyltransferase 3 Beta	0.01	Nucleic Acid metabolism
NDUFS1	1.7	1559691_at	NADH Dehydrogenase (Ubiquinone) Fe-S Protein 1, 75kDa (NADH-Coenzyme Q Reductase)	0.02	Nucleic Acid metabolism
DHFR	1.5	202532_s_at	Dihydrofolate Reductase	0.04	Nucleic Acid metabolism
TNRC9	1.5	215108_x_at	Trinucleotide Repeat Containing 9	0.02	Nucleic Acid metabolism
PCYT1A	-1.4	204209_at	Phosphate Cytidylyltransferase 1, Choline, Alpha	0.002	Lipid metabolism
FDPS	1.6	201275_at	Farnesyl Diphosphate Synthase (Farnesyl Pyrophosphate Synthetase, Dimethylallyl Transtransferase, Geranyltranstransferase)	0.006	Lipid metabolism
PAFAH2	2	205232_s_at	Platelet-Activating Factor Acetyl-Hydrolase 2, 40kDa	0.01	Lipid metabolism
FADS1	1.7	208964_s_at	Fatty Acid Desaturase 1	0.000095	Lipid metabolism
SQLE	2.5	213577_at	Squalene Epoxidase	0.002	Lipid metabolism
SLC27A5	2	219733_s_at	Solute Carrier Family 27 (Fatty Acid Transporter), Member 5	0.02	Lipid metabolism
EBP	1.7	202735_at	Emopamil Binding Protein (Sterol Isomerase)	0.03	Lipid metabolism
HSD17B7	1.7	220081_x_at	Hydroxysteroid (17-Beta) Dehydrogenase 7	0.04	Lipid metabolism
GCDH	-1.6	203500_at	Glutaryl-Coenzyme A Dehydrogenase	0.02	Electron transport
DHRS4	1.4	218021_at	Dehydrogenase/Reductase (SDR Family) Member 4	0.01	Electron transport
YTHDF3	-2.1	1564053_a_at	YTH Domain Family, Member 3	0.04	Others
GOLGA8B	-1.8	213650_at	Golgi Autoantigen, Golgin Subfamily A, 8B	0.02	Others
TMEM63A	-1.5	202700_s_at	Transmembrane Protein 63A	0.01	Others
MGC14376	-1.7	214696_at	Hypothetical Protein MGC14376	0.03	Others
XTP3TPA	-1.7	218069_at	XTP3-Transactivated Protein A	0.04	Others
ANKRD25	-2	218418_s_at	Ankyrin Repeat Domain 25	0.04	Others
C12ORF49	-2.3	218867_s_at	Chromosome 12 Open Reading Frame 49	0.03	Others
C14ORF103	-1.4	219164_s_at	Chromosome 14 Open Reading Frame 103	0.02	Others
FLJ21820	-1.9	222193_at	Hypothetical Protein Flj21820	0.02	Others
TMEM50B	-1.6	228001_at	Transmembrane Protein 50B	0.04	Others
ZCCHC2	-1.8	233425_at	Zinc Finger, CCHC Domain Containing 2	0.006	Others
C8ORF38	-1.8	236766_at	Chromosome 8 Open Reading Frame 38	0.03	Others
FLJ21657	-1.7	238635_at	Hypothetical Protein Flj21657	0.04	Others
FAM13C1	1.9	1554547_at	Family With Sequence Similarity13,Member C1	0.01	Others
LOC51336	2.2	208154_at	Mesenchymal Stem Cell Protein DSCD28	0.04	Others
TXNDC9	2.1	1554047_at	Thioredoxin Domain Containing 9	0.004	Others
CEP135	1.5	206003_at	Centrosomal Protein 135kDa	0.02	Others
LOC171220	1.5	211325_x_at	Destrin-2 Pseudogene	0.003	Others
KIAA0913	1.6	212359_s_at	KIAA0913	0.02	Others
HCG2P7	1.5	216229_x_at	HLA Complex Group 2 Pseudogene 7	0.04	Others
MALAT1	1.5	224567_x_at	Metastasis Associated Lung Adenocarcinoma Transcript 1 (Non-Coding RNA)	0.02	Others
C12ORF23	1.6	224759_s_at	Chromosome 12 Open Reading Frame 23	0.02	Others
KDELC2	1.7	225128_at	KDEL (Lys-Asp-Glu-Leu) Containing 2	0.005	Others
HCG12	1.5	227980_at	HLA Complex Group 12	0.03	Others
C10ORF58	1.5	228155_at	Chromosome 10 Open Reading Frame 58	0.04	Others
PHACTR4	3.3	233319_x_at	Phosphatase And Actin Regulator 4	0.03	Others
PGBD2	1.7	238004_at	PIGGYBAC Transposable Element Derived 2	0.047	Others
C5ORF3	-1.5	218588_s_at	Chromosome 5 Open Reading Frame 3	0.046	Others
LYSMD4	-1.7	228954_at	LYSM, Putative Peptidoglycan-Binding, Domain Containing 4	0.01	Others
HHLA3	-2	234665_x_at	HERV-H LTR-Associating 3	0.03	Others
MYOHD1	-1.6	236022_at	Myosin Head Domain Containing 1	0.047	Others
LRRC8E	-1.42	239433_at	Leucine Rich Repeat Containing8 family MemberE	0.007	Others
ZDHHC21	-2	243835_at	Zinc Finger, DHHC-Type Containing 21	0.046	Others
NA	1.7	214862_x_at	NA	0.03	Others
NA	1.5	229861_at	NA	0.007	Others
NA	1.8	235229_at	NA	0.03	Others
NA	1.6	236884_at	NA	0.02	Others
NA	2.3	241864_x_at	NA	0.03	Others
NA	-1.6	1557149_at	NA	0.03	Others
NA	-1.8	238012_at	NA	0.01	Others
