Curated Gene Symbol	Gene Name		Systematic Name Dex			DAC	Dex+DAC
PSG3	PSG3		NM_021016		1.1	1.1	9.6
BEX1	BEX1		NM_018476		1.1	1.1	9.5
KIF26B	KIF26B		NM_018012		1.1	1.5	9.4
TDRD6	TDRD6		NM_001010870		1.1	1.1	9.4
MYH6	MYH6		NM_002471		1.1	1.1	9
	DB090170		DB090170		1.1	1.2	8.9
REN	REN		NM_000537		1.1	1.1	8.8
	AK001829		AK001829		1.1	1.1	8.7
NA	INSAF		S73205		1.1	1.1	8.6
CLDN19	CLDN19		NM_148960		1.1	1.3	8.5
IGFL2	IGFL2		NM_001002915		2.5	1.7	8.4
ARHGAP24	ARHGAP24		AK130576		1.9	1.6	8.3
	AK096803		AK096803		1.1	1.1	8.2
AIF1	AIF1		NM_004847		0.9	1	8.2
SLC35D2	SLC35D2		NM_007001		1.7	1.1	8.1
SPIN3	SPIN3		NM_001010862		1.1	1.5	8.1
TMEM45A	TMEM45A		NM_018004		1.1	1.1	8
ZFP69B	ZNF643		NM_023070		2.3	1.7	8
DLK1	DLK1		NM_003836		1.1	1.1	7.8
RBMXL2	HNRNPG-T		NM_014469		1	1.3	7.8
MAP9	MAP9		NM_001039580		2	0.9	7.8
C1orf115	C1orf115		NM_024709		1.3	1.2	7.7
BMPER	BMPER		NM_133468		1.1	1.1	7.7
MYF6	MYF6		NM_002469		1.1	1.1	7.7
	AF090944		AF090944		1.2	1.3	7.6
DLEC1	DLEC1		NM_007335		1.1	1.4	7.6
ENO2	ENO2		NM_001975		1.1	1.1	7.5
DENND5A	RAB6IP1		NM_015213		1.1	1.1	7.5
KCNS1	KCNS1		NM_002251		1.3	1.5	7.5
BCL7A	BCL7A		NM_020993		1.1	1.2	7.4
	BU624603		BU624603		2.7	1.6	7.4
FN1	FN1		NM_212482		1.1	1.1	7.3
DMKN	DMKN		NM_033317		1.1	1.1	7.2
FLRT3	FLRT3		NM_198391		1.1	1.1	7.2
MYO7A	MYO7A		NM_000260		0.9	0.8	7.1
ATP1A4	ATP1A4		AK098076		1.1	1.1	7.1
FGFBP2	FGFBP2		NM_031950		1.1	1.4	7.1
	LOC400794		BC020945		1.1	1.1	7
				ENST00000359743	1.3	1.1	7
RETN	RETN		NM_020415		1.1	1.4	7
S100A14	S100A14		NM_020672		1.1	1.1	7
BPIFB4	C20orf186		NM_182519		0.8	1	6.9
EFEMP1	EFEMP1		NM_004105		1.1	1.1	6.9
DENND2C	DENND2C		CR749576		1.2	1.1	6.8
ALOX5	ALOX5		NM_000698		1.1	1.3	6.8
LGALS8	LGALS8		NM_006499		1.1	1.1	6.7
	THC2676504		THC2676504		1.4	1.1	6.6
	AI859463		AI859463		1.5	1	6.6
CYP4B1	CYP4B1		NM_000779		1.1	1.2	6.6
RAB31	RAB31		NM_006868		1.1	1.1	6.6
10-Sep	10-Sep		NM_144710		1.1	1.1	6.5
PRSS38	MPN2		NM_183062		1.7	1.1	6.4
	BC037919		BC037919		1.6	1.1	6.4
KIF7	KIF7		NM_198525		1.1	1.1	6.4
CTSL2	CTSL2		NM_001333		1.1	1.1	6.4
RTP3	RTP3		NM_031440		1.1	1.1	6.4
ELL3	ELL3		NM_025165		1.1	1.2	6.3
		A_24_P500186			1.1	1.1	6.2
APOC4	APOC4		NM_001646		1.1	1.3	6.2
ZNF480	ZNF480		NM_144684		1.1	1.1	6.2
PPM1J	PPM1J		NM_005167		1.1	1.4	6.2
CRISP2	CRISP2		NM_003296		1.1	1.1	6.2
HERC5	HERC5		NM_016323		1.1	1.1	6.2
NUDT10	NUDT10		NM_153183		1.1	1.3	6.2
		A_23_P11119			1.1	1.3	6.2
BCL2L10	BCL2L10		NM_020396		1.1	1.3	6.1
NAP1L5	NAP1L5		NM_153757		1.1	1.1	6
PDLIM3	PDLIM3		NM_014476		1.1	1.1	6
STAR	STAR		NM_000349		1.1	1.1	6
		A_32_P159528			1.1	1.1	6
KLHL5	KLHL5		NM_015990		1.1	1.4	6
TTC28	TTC28		AK092338		1	0.9	6
ATP9A	ATP9A		NM_006045		1.1	1.1	5.9
ROS1	ROS1		NM_002944		1.1	1.1	5.9
KRT18P40	KRT18P40		XR_017288		1.1	1.1	5.9
	THC2754547		THC2754547		1.1	1.3	5.9
	FLJ40473		AK097792		1.2	1.1	5.8
ADAMTS7	ADAMTS7		AF140675		1.1	1.1	5.8
	LOC730704		XM_001128267		1.1	1.4	5.8
FHOD3	FHOD3		NM_025135		0.9	0.8	5.7
PHLDA2	PHLDA2		NM_003311		1.1	1.2	5.7
PCDH7	PCDH7		NM_002589		1.1	1.1	5.6
	BC034306		BC034306		1.1	1.1	5.6
	AF118069		AF118069		1.1	1.1	5.6
NEU4	NEU4		NM_080741		1.5	1.1	5.6
SERPINB3	SERPINB3		NM_006919		1.1	1.1	5.6
GPX2	GPX2		NM_002083		1	1.1	5.6
C6orf10	C6orf10		NM_006781		1	0.9	5.6
PCDH12	PCDH12		NM_016580		1.1	1.1	5.6
	THC2728570		THC2728570		1.1	1.5	5.5
COL20A1	COL20A1		NM_020882		1.1	1.1	5.5
UNC45B	UNC45B		NM_173167		1.1	1.4	5.5
DMD	DMD		NM_004019		1.1	1.1	5.5
	AF130074		AF130074		1.1	1.1	5.5
NDN	NDN		NM_002487		1.1	1.1	5.4
CPVL	CPVL		NM_031311		1.4	1.1	5.4
DLX4	DLX4		NM_138281		1.1	1.1	5.4
	THC2535767		THC2535767		1.5	1	5.4
TSPAN6	TSPAN6		NM_003270		1.1	1.1	5.4
ALX4	ALX4		NM_021926		1.1	1.1	5.4
ZFP2	ZFP2		NM_030613		1.1	1.2	5.4
G0S2	G0S2		NM_015714		1.1	1.1	5.4
	THC2641484		THC2641484		1	1.6	5.3
EID3	EID3		NM_001008394		0.9	1.2	5.3
		A_24_P878376			1.1	1.5	5.3
ID4	ID4		NM_001546		1.1	1.1	5.3
FMN2	FMN2		NM_020066		1.1	1.8	5.3
SLC16A5	SLC16A5		NM_004695		1.1	1.1	5.3
	THC2753798		THC2753798		1.1	1.9	5.3
PTPN20B	PTPN20B		NM_015605		1.1	1.1	5.3
DNAJB8	DNAJB8		NM_153330		1.1	1.1	5.2
PAPSS2	PAPSS2		NM_001015880		1.1	1.9	5.2
PDGFA	PDGFA		NM_002607		1.1	1.6	5.2
LAD1	LAD1		NM_005558		1.1	1.5	5.2
	FLJ39609		AK096928		1.1	1.1	5.2
PTN	PTN		NM_002825		1.1	1.9	5.2
KCNIP3	KCNIP3		NM_013434		1.1	1.1	5.2
		A_24_P654255			1.1	1.1	5.1
HSD3B1	HSD3B1		NM_000862		1.3	1.1	5.1
ERV3-2	KIAA1466		AB040899		1.1	1.8	5.1
	LOC349196		AK090418		1	2.9	5.1
	THC2616992		THC2616992		1.1	1.1	5.1
LIMCH1	DKFZP686A01247		NM_014988		1.1	1.2	5.1
PDCL2	PDCL2		NM_152401		1.1	1.4	5.1
SLC2A2	SLC2A2		NM_000340		1.1	1.1	5
CYP2C9	CYP2C9		NM_000771		1.1	1.3	5
ELF5	ELF5		NM_198381		1.1	1.1	5
PHC2	PHC2		NM_198040		1.1	1.1	5
NXPH3	NXPH3		AB032985		1.1	1.1	5
DNAJA4	DNAJA4		NM_018602		1.1	1.5	5
LEPREL1	LEPREL1		NM_018192		1.1	1.1	5
USHBP1	USHBP1		NM_031941		1.1	1.4	5
IRX2	IRX2			ENST00000302057	1.1	1.5	5
FAM9C	FAM9C		BX648919		1.3	1.2	5
		A_32_P149625			0.8	1.1	5
SORBS2	SORBS2		NM_021069		1.1	1.1	5
		A_24_P941450			1.1	1.1	5
SBSPON	RPESP		NM_153225		1.5	0.8	5
MAK	MAK		NM_005906		1.2	1.9	5
	THC2573284		THC2573284		1.1	1.2	5
CD19	CD19		NM_001770		1.1	1.2	4.9
NPY	NPY		NM_000905		1	1.6	4.9
PAQR5	PAQR5		NM_017705		0.9	1.3	4.9
	AW971282		AW971282		1.1	1.1	4.9
CDH19	CDH19		NM_021153		1.1	1.5	4.9
				ENST00000379528	1.1	1.1	4.9
		A_24_P736853			1.1	1.1	4.9
	THC2651178		THC2651178		1	3	4.9
	THC2661012		THC2661012		1.1	1.6	4.9
COLQ	COLQ		NM_080542		1.1	1.8	4.9
DNAJA4	DNAJA4		AF116663		1.1	1.1	4.9
CMBL	CMBL		NM_138809		1	2.8	4.8
PROSER2	C10orf47		NM_153256		0.9	2.6	4.8
SEPSECS	SEPSECS		NM_153825		1.1	2	4.8
	BC065757		BC065757		1.1	2	4.8
	THC2716178		THC2716178		1.1	1.1	4.8
FAM92A1P2	FAM92A3		BC059396		1.1	1.9	4.8
				ENST00000370378	1.1	1.3	4.8
	THC2669541		THC2669541		1.1	1.1	4.8
ZNF750	ZNF750		NM_024702		1.5	1.1	4.7
	THC2608967		THC2608967		1.1	1.1	4.7
	AA514833		AA514833		1.1	1.1	4.7
	DQ168992		DQ168992		1.1	1.1	4.7
KIAA1279	KIAA1279		NM_015634		2.2	1.1	4.7
C5orf42	FLJ13231		NM_023073		1	2.8	4.7
PENK	PENK		NM_006211		0.9	0.8	4.7
EIF5A2	EIF5A2		NM_020390		1	2.9	4.7
OR7E91P	OR7E91P		NR_002185		1	3.1	4.7
FBP2	FBP2		NM_003837		1.1	1.2	4.7
NPTX1	NPTX1		NM_002522		1.1	1.7	4.7
TCL6	TCL6		NM_020552		1.1	1.8	4.7
GLIS3-AS1	C9orf70		BC007366		1.1	1.1	4.7
PROS1	PROS1		NM_000313		1.1	1.9	4.7
		A_24_P636974			0.9	2.7	4.7
	BC029602		BC029602		1.1	1.1	4.7
IL7R	IL7R		NM_002185		2.1	1.2	4.6
CRB1	CRB1		NM_201253		1.1	1.4	4.6
RAPGEF2	RAPGEF2		AL117397		1.2	1.4	4.6
CCL25	CCL25		NM_005624		0.7	1.6	4.6
CHMP1B	C18orf2		AF295728		1.1	1.4	4.6
	DB295730		DB295730		1.1	1.1	4.6
	FLJ30679		AK055241		1.1	1.1	4.6
	THC2614840		THC2614840		1.4	1.3	4.6
ARNTL2	ARNTL2		AF256215		1.1	1.1	4.6
				ENST00000374860	1	2.9	4.6
TEX14	TEX14		NM_198393		1.3	1.5	4.6
	BC038719		BC038719		1.1	1.1	4.6
	THC2637155		THC2637155		1.3	1.4	4.6
	BC032041		BC032041		1.1	1.1	4.6
	FLJ22536		AK022865		0.9	2.7	4.6
C1QTNF3	C1QTNF3		AK094895		1.1	1.9	4.6
MARK1	MARK1		NM_018650		1.2	1.8	4.6
TMEM185B	TMEM185B		NR_000034		1.1	1.6	4.6
APOBEC2	APOBEC2		NM_006789		1.1	1.1	4.5
	RP5-821D11.2		NM_152513		1.1	1.1	4.5
TRPM4	TRPM4		NM_017636		1.1	1.8	4.5
HGFAC	HGFAC		NM_001528		1.1	1.2	4.5
HOPX /// STIP1	HOP		NM_139211		1.1	1.7	4.5
		A_24_P739785			1.1	1.8	4.5
SPAG6	SPAG6		NM_172242		1	1.4	4.5
INSM1	INSM1		NM_002196		1.1	1.4	4.5
	THC2651722		THC2651722		1.1	1.6	4.5
	THC2706230		THC2706230		1.2	1.7	4.5
NA	C19orf31		NM_001014373		0.7	1.7	4.5
PPP4R1L	PPP4R1L		NM_018498		1.1	1.1	4.5
	AK095439		AK095439		1.1	1.6	4.5
KCNB2	KCNB2		NM_004770		1.3	1.8	4.5
AUTS2	AUTS2		BC011643		1.1	1.1	4.5
	BC017937		BC017937		1.3	1.6	4.5
TCF15	TCF15		NM_004609		1.1	1.6	4.5
PTGIR	PTGIR		NM_000960		1.1	1.7	4.4
ZSCAN18	ZSCAN18		NM_023926		0.9	2.7	4.4
		A_24_P919825			1.1	1.1	4.4
ANKS6	ANKS6		NM_173551		1.1	1.3	4.4
FOXF1	FOXF1		NM_001451		0.9	1.5	4.4
	AF318318		AF318318		1.1	1.1	4.4
1-Mar	MOSC1		NM_022746		1.1	1.1	4.4
ACTN2	ACTN2		NM_001103		1.1	1.1	4.4
PHLDA1	PHLDA1		NM_007350		1.1	1.1	4.4
OR2B6	OR2B6		NM_012367		0.6	0.6	4.4
ESRRG	ESRRG		NM_206594		1.1	1.3	4.4
AMIGO1	AMIGO1		NM_020703		1.1	1.1	4.4
CACNB2	CACNB2		AK128769		1.1	1.6	4.4
				ENST00000358162	0.8	1.1	4.4
	THC2730567		THC2730567		1.1	1.2	4.4
PHACTR1	PHACTR1		AB051520		1.1	1.1	4.4
NFE2	NFE2		NM_006163		1.1	1.1	4.4
FGFBP1	FGFBP1		NM_005130		1.1	1.1	4.4
MOCS1	MOCS1		NM_138928		1.1	2	4.4
CHRNG	CHRNG		NM_005199		1.1	1.1	4.3
DTX4	DTX4			ENST00000227451	1.1	1.8	4.3
COL6A1	COL6A1		NM_001848		0.7	1.7	4.3
				ENST00000389477	1.1	1.9	4.3
	THC2781239		THC2781239		1.1	1.6	4.3
	LOC650177		XR_018734		1.4	1.5	4.3
MAOA	MAOA		NM_000240		0.6	1.5	4.3
LOXL4	LOXL4		NM_032211		1.1	1.1	4.3
TAC1	TAC1		NM_003182		1.1	1.1	4.3
PARP3	PARP3		NM_001003935		0.9	2.8	4.3
SYT11	SYT11		NM_152280		1.1	1.5	4.3
HSPA12B	HSPA12B		NM_052970		1.1	1.1	4.3
SLC4A4	SLC4A4		NM_003759		1	2.8	4.3
	BC017937		BC017937		1.2	1.5	4.3
DSP	DSP		NM_004415		1.1	1.1	4.3
TDRD10	TDRD10		NM_182499		1.1	1.2	4.3
	hCG_2036596		AK124708		1.1	1.1	4.3
TNFAIP8L3	TNFAIP8L3		NM_207381		0.9	1.5	4.2
ZFP14	ZFP14		NM_020917		1.3	1.6	4.2
HIST1H2AK	HIST1H2AK		BC034487		1.1	1.9	4.2
		A_32_P191141			1.1	1.9	4.2
FCER1A	FCER1A		NM_002001		1.1	2	4.2
				ENST00000327299	1.1	2	4.2
SYNGAP1	SYNGAP1		NM_006772		1.2	1.5	4.2
	AW445156		AW445156		1.1	1.9	4.2
CRIP3	CRIP3		NM_206922		1.1	1.1	4.2
PHLDA1	PHLDA1		NM_007350		1	1.2	4.2
NPNT	NPNT		NM_001033047		1.1	1.1	4.2
PTGR1	LTB4DH		NM_012212		1.1	1.1	4.2
ADAMTS3	ADAMTS3		NM_014243		1.1	1.9	4.2
	THC2668923		THC2668923		0.8	1.4	4.2
KAZALD1	KAZALD1			ENST00000224809	1.3	2	4.2
RASD1	RASD1		NM_016084		0.9	1.4	4.2
	DKFZP434P211		AL117401		1.5	1.3	4.2
C10orf25	C10orf25		NM_001039380		1.1	1.8	4.2
	AK129542		AK129542		1.7	1.1	4.2
		A_32_P116088			0.7	1.4	4.2
	THC2657554		THC2657554		1.1	1.1	4.2
		A_24_P384604			1.1	1.1	4.2
GLYAT	GLYAT		NM_201648		1.1	1.1	4.1
PSG6	PSG6		NM_002782		1.1	1.3	4.1
LRRC49	LRRC49		NM_017691		0.7	1.7	4.1
	MGC13053		BC006134		1.1	1.8	4.1
KRT83	KRT83		NM_002282		1.1	1.1	4.1
		A_32_P55438			0.7	1.7	4.1
ARHGAP28	ARHGAP28		NM_001010000		1.1	1.6	4.1
GFRA1	GFRA1		NM_005264		1.1	1.1	4.1
				ENST00000254109	1.1	1.1	4.1
GRAMD1B	GRAMD1B		AY358924		1.1	1.5	4.1
FGFR2	FGFR2		NM_022970		1.2	1.7	4.1
	LOC441601		NR_003034		1.1	1.1	4.1
GDF9	GDF9		NM_005260		1.6	1.1	4.1
MOB3B	MOBKL2B		NM_024761		1.1	1.6	4.1
ATL1	SPG3A		NM_015915		0.9	1.6	4.1
KIAA2022	KIAA2022		NM_001008537		1.1	1.1	4.1
	BC017937		BC017937		1.3	1.5	4.1
A2M	A2M		NM_000014		1.1	1.6	4.1
FAM198A	C3orf41		AL117530		1.1	1.1	4.1
PRRG3	PRRG3		NM_024082		1.1	2	4.1
FMN2	FMN2		NM_020066		1.1	1.1	4
	THC2667273		THC2667273		1.7	1.1	4
	AK093987		AK093987		1.1	1.1	4
C1orf51	C1orf51		NM_144697		1.1	2.1	4
				ENST00000356186	1.1	1.8	4
REG1A	REG1A		NM_002909		1.1	1.5	4
NEURL	NEURL		NM_004210		0.7	1.1	4
		A_32_P99744			1.1	1.9	4
	LOC441258		AK024602		1.2	1.9	4
PION	LOC54103		AK126364		1.1	1.6	4
IL18R1	IL18R1		NM_003855		1.1	1.7	4
	THC2591546		THC2591546		1.1	1.6	4
ANKRD6	ANKRD6		NM_014942		1.1	1.1	4
		A_32_P147395			1.1	1.1	4
	AW817085		AW817085		1.1	1.6	4
	THC2682319		THC2682319		1.1	1.6	4
	THC2686110		THC2686110		1.1	2	4
PBLD	PBLD		NM_022129		1.1	1.7	4
PRKCZ	PRKCZ		NM_002744		1.2	1.8	4
PDE4DIP	PDE4DIP		NM_022359		1.1	1.1	4
	MGC16275		BC043607		1.1	1.8	4
	BX102475		BX102475		0.7	1.5	3.9
	THC2684461		THC2684461		1.1	1.1	3.9
EBF3	EBF3		NM_001005463		1.1	1.1	3.9
	LOC390705		BC041879		1.1	1.3	3.9
	THC2670311		THC2670311		1.1	1.4	3.9
	LOC131873		AL713792		1.1	1.9	3.9
DAG1	DAG1		NM_004393		1.3	1.6	3.9
	THC2519174		THC2519174		1.1	1.1	3.9
	AW664702		AW664702		1.1	1.1	3.9
	LOC400752			ENST00000372127	1.3	1.1	3.9
NEFL	NEFL		NM_006158		0.6	0.5	3.9
KLHL35	FLJ33790		NM_001039548		1	1.7	3.9
CTTN	CTTN		NM_005231		0.9	0.9	3.9
MMP13	MMP13		NM_002427		1.1	1.1	3.9
PCDHGB4	PCDHGB4		NM_032098		1.1	1.5	3.9
HS3ST3A1	HS3ST3A1		NM_006042		1.1	1.1	3.9
	AK124399		AK124399		1.1	1.1	3.9
	THC2646374		THC2646374		1.2	1.1	3.9
TPCN2	TPCN2		AL137479		1.4	1.3	3.9
	THC2500744		THC2500744		1.4	1.4	3.9
	THC2672319		THC2672319		1.1	1.1	3.9
TRIM50	TRIM50		NM_178125		1.1	1.5	3.9
DHX34	DHX34		D50924		1	1.5	3.9
	AL049991		AL049991		1.1	1.6	3.9
DMD	DMD		NM_004023		1.1	1.1	3.8
	LOC642413		XR_016155		1.1	1.1	3.8
ELSPBP1	ELSPBP1		NM_022142		1.1	1.1	3.8
ALDOB	ALDOB		NM_000035		0.8	1.5	3.8
GATA4	GATA4		AF318320		1.1	1.6	3.8
ANGPT2	ANGPT2			ENST00000382726	1.4	1.4	3.8
KIAA1841	KIAA1841		BC039298		1.1	1.7	3.8
	FLJ13224		AK023286		1.2	1.1	3.8
	AK021427		AK021427		1.1	1.1	3.8
HCAR3	GPR109B		NM_006018		1.1	1.1	3.8
TCF7	TCF7		NM_003202		1.1	1.3	3.8
RAPH1	RAPH1		NM_025252		0.7	1.3	3.8
				ENST00000318093	1.1	1.8	3.8
		A_24_P874334			1.5	1.3	3.8
CEACAM19	CEACAM19		AK128234		1	1.9	3.8
KLRF1	KLRF1		NM_016523		1.1	1.1	3.8
CTDSPL	CTDSPL		NM_001008392		1.1	1.1	3.8
SYCP2L	NO145		NM_001040274		1.1	1.1	3.8
	THC2558594		THC2558594		1.1	1.2	3.8
C22orf31	C22orf31		NM_015370		1.1	1.1	3.8
				ENST00000332432	1.1	1.3	3.8
	LOC220115		NR_002793		1.1	1.6	3.8
CBR4	CBR4		AK027337		1.3	1.3	3.8
	BC019241		BC019241		1.1	1.7	3.8
FABP3	FABP3		NM_004102		1.1	1.1	3.8
		A_23_P145596			1.6	1.3	3.8
		A_24_P928830			1.1	1.1	3.8
TKTL2	TKTL2		NM_032136		1.1	1.1	3.8
FAM110B	FAM110B		NM_147189		1.3	1.4	3.8
	THC2661011		THC2661011		1.1	1.6	3.8
FCAMR	FCAMR		AY063125		0.6	0.8	3.8
		A_32_P72682			1.1	1.3	3.8
DEFB104A	DEFB104A		NM_080389		1.1	1.1	3.7
KIAA1598	KIAA1598		NM_018330		1.1	1.1	3.7
		A_32_P13202			1.1	1.3	3.7
ABL1	ABL1		NM_005157		1.4	1.4	3.7
		A_24_P384119			1.1	1.4	3.7
	LOC339240		NR_001443		1.1	1.3	3.7
TMEM132A	TMEM132A		NM_017870		1.2	1.1	3.7
	AK128756		AK128756		1.1	1.6	3.7
				ENST00000390369	1.1	1.1	3.7
ADAMTS18	ADAMTS18		NM_139054		1.1	1.1	3.7
KCNH5	KCNH5		NM_172376		1.1	1.1	3.7
	AK055112		AK055112		1.1	1.1	3.7
	THC2636507		THC2636507		1.1	1.4	3.7
	DA727827		DA727827		1.1	1.4	3.7
PDCD4	PDCD4		NM_145341		0.8	1.8	3.7
NRSN1	NRSN1		NM_080723		1.1	1.1	3.7
NR1H4	NR1H4		NM_005123		1.1	1.1	3.7
	AK021798		AK021798		1	1.5	3.7
WFDC5	WFDC5		NM_145652		1.1	1.1	3.7
	THC2540410		THC2540410		1.1	1.5	3.7
EOGT	C3orf64		NM_173654		0.8	0.9	3.7
TMEM35	TMEM35		NM_021637		0.7	1.5	3.7
ANGPT1	ANGPT1		NM_001146		1.1	1.1	3.7
CCDC65	CCDC65		NM_033124		1.1	1.5	3.7
SYCP2	SYCP2		NM_014258		1.1	1.1	3.7
	THC2654991		THC2654991		1.1	1.1	3.7
GPR126	GPR126		NM_198569		1.1	1.4	3.7
TMPRSS12	TMPRSS12		NM_182559		1.1	1.1	3.7
	AK022645		AK022645		1.1	1.1	3.6
NKX2-1	TITF1		NM_003317		1.1	1.1	3.6
	AK093927		AK093927		1.1	1.1	3.6
C1orf210	C1orf210		NM_182517		1.1	1.1	3.6
FOXD1	FOXD1		NM_004472		1.1	1.1	3.6
				ENST00000358356	0.8	1.4	3.6
	BC030685		BC030685		1.1	1.1	3.6
GREM2	GREM2		NM_022469		1.1	1.5	3.6
LMCD1	LMCD1		NM_014583		1.1	1.1	3.6
SLFN11	SLFN11		NM_152270		0.8	0.9	3.6
	AK090480		AK090480		1.1	1.3	3.6
	AW467174		AW467174		0.9	1.4	3.6
AK4P3	AK3L2		NM_001002921		1.1	1.5	3.6
		A_24_P474384			1.1	1.1	3.6
RHOV	RHOV			ENST00000220507	0.8	1.7	3.6
MOV10L1	MOV10L1		NM_018995		1.1	1.1	3.6
KRT18P41	KRT18P41		XR_016695		0.8	1.7	3.6
C16orf89	MGC45438		NM_152459		1.1	1.1	3.6
PURG	PURG		NM_001015508		1.1	1.1	3.6
	BC031939		BC031939		1.1	1.1	3.6
IGDCC4	NOPE		NM_020962		1.2	1	3.6
	THC2698352		THC2698352		1.1	1.3	3.6
ARHGAP6	ARHGAP6		NM_001174		1.1	1.3	3.6
LIPG	LIPG		NM_006033		1.1	1.1	3.6
	AW978845		AW978845		1.1	1.1	3.6
LILRA5	LILRA5		NM_181879		1.1	1.1	3.5
ABCC9	ABCC9		NM_020297		1.1	1.1	3.5
				ENST00000166133	0.7	1.3	3.5
ARHGEF4	ARHGEF4		NM_032995		1.1	1.1	3.5
OR4S1	OR4S1		NM_001004725		1.1	1.1	3.5
		A_23_P395705			1.1	1.1	3.5
GZMK	GZMK		NM_002104		1.1	1.1	3.5
EGFEM1P	C3orf50		BC011266		1.1	1.3	3.5
MERTK	MERTK		U08023		1.1	1.1	3.5
	AK054684		AK054684		1.1	1.1	3.5
CDS1	CDS1		NM_001263		0.9	1.7	3.5
				ENST00000317596	1.1	1.1	3.5
ANGPT2	ANGPT2		NM_001147		1.1	1.1	3.5
HOXB5	HOXB5		NM_002147		1.1	1.1	3.5
	THC2656116		THC2656116		1.1	1.1	3.5
KCNJ9	KCNJ9			ENST00000368088	1.1	1.1	3.5
	BG719660		BG719660		1.1	1.1	3.5
	CB154245		CB154245		0.7	0.7	3.5
	LOC388503		NM_001013640		1.1	1.1	3.5
PLA2G3	PLA2G3		NM_015715		0.8	1.8	3.5
	AK026881		AK026881		0.8	1.5	3.5
	THC2705989		THC2705989		1.1	1.1	3.5
MIER2	MIER2		AB033019		1.1	1.1	3.5
	AK002066		AK002066		1.2	1.3	3.5
TGFBI	TGFBI		NM_000358		1.1	1.2	3.5
ABCC11	ABCC11		NM_033151		1.1	1.1	3.4
HMGCS2	HMGCS2		NM_005518		1.1	1.1	3.4
	THC2516687		THC2516687		1.1	1.1	3.4
KIF19	KIF19		NM_153209		1.1	1.1	3.4
NKX3-2	BAPX1		NM_001189		1.1	1.2	3.4
	BG547557		BG547557		1.1	1.1	3.4
KLRG2	KLRG2			ENST00000340940	0.8	1.6	3.4
	BC029927		BC029927		1.1	1.1	3.4
	BU629094		BU629094		1.3	1.1	3.4
TCEAL7	TCEAL7		NM_152278		1.1	1.2	3.4
RPRM	RPRM		NM_019845		1.1	1.1	3.4
SNED1	SNED1		NM_001080437		1	1	3.4
	LOC729356		XR_015521		1.1	1.1	3.4
	LOC401052		NM_001008737		1.1	1.1	3.4
	AK023572		AK023572		1.1	1.1	3.4
PRDM9	PRDM9		NM_020227		1.1	1.1	3.4
	BI758260		BI758260		1.1	1.1	3.3
	THC2780391		THC2780391		0.9	1.6	3.3
PKD1L2	PKD1L2		NM_052892		1.1	1.1	3.3
SLC40A1	SLC40A1		NM_014585		1.1	1.1	3.3
				ENST00000366822	1.1	1.1	3.3
ZCCHC2	ZCCHC2			ENST00000269499	1.1	1.1	3.3
BCAR4	BCAR4		CR606007		1.1	1.1	3.3
LEMD1	LEMD1		NM_001001552		1.1	1.1	3.3
	THC2689572		THC2689572		0.7	1.3	3.3
		A_24_P933410			1.1	1.1	3.3
	BC015129		BC015129		1.1	0.9	3.3
GLUL	GLUL		NM_002065		1.1	1.1	3.3
