Genes 	ER (n=25)a	LR  (n = 22)b 	Pc	"	ROC -AUCd 	 "	
PTCH2 	"70,443"	"59,479"	"0,57 "	"0,547 "	 
HYAL3 	"0,1592 "	"0,1422 "	"0,58 "	"0,545 "	 
RAF1 	"5,002,735"	"4,701,447"	"0,61 "	"0,542 "	 
GSTM1 	"0,4292 "	"0,1307 "	"0,65 "	"0,538 "	 
MUC1 	"0,1192 "	"0,0709 "	"0,66 "	"0,537 "	 
CDC25B 	"19,403"	"17,061"	"0,72 "	"0,529 "	 
CD9 	"0,4363 "	"0,3659 "	"0,77 "	"0,524 "	 
HSPCA 	"0,3112 "	"0,2862 "	"0,77 "	"0,524 "	 
IGFBP5 	"21,012"	"14,362"	"0,78 "	"0,523 "	 
VEGFD 	"0,0609 "	"0,0571 "	"0,81 "	"0,519 "	 
RAC1 	"12,529"	"11,688"	"0,83 "	"0,518 "	 
TNFRSF1A 	"9,799"	"81,655"	"0,83 "	"0,518 "	 
BIRC5 	"0,7631 "	"0,6932 "	"0,86 "	"0,515 "	 
OLFM4 	"657,957"	"566,902"	"0,88 "	"0,512 "	 
CXCL10 	"0,0952 "	"0,0691 "	"0,9 "	"0,511 "	 
ARHA 	"0,7089 "	"0,705 "	"0,91 "	"0,51 "	 
PDGFRA 	"0,4059 "	"0,3959 "	"0,94 "	"0,506 "	 
MMP14 	"0,7314 "	"0,629 "	"0,96 "	"0,504 "	 
IGFBP6 	"0,0054 "	"0,0055 "	"0,99 "	"0,501 "	 
GAS6 	"0,0264 "	"0,0268 "	"0,97 "	"0,497 "	 
H19 	"0,0238 "	"0,0708 "	"0,94 "	"0,494 "	 
BAX 	"0,5391 "	"0,5616 "	"0,8 "	"0,493 "	 
GADD45B 	"0,0621 "	"0,067 "	"0,92 "	"0,492 "	 
SPP1 	"0,005 "	"0,0068 "	"0,91 "	"0,491 "	 
F2R 	"373,818"	"53,814"	"0,87 "	"0,486 "	 
AKIP 	"0,1406 "	"0,1441 "	"0,85 "	"0,484 "	
ERBB2 	"21,966"	"23,344"	"0,83 "	"0,482 "	
PLK1 	"0,2644 "	"0,2767 "	"0,81 "	"0,481 "	
KISS1 	"0,2769 "	"0,3009 "	"0,79 "	"0,478 "	
TIAM1 	"21,196"	"22,081"	"0,71 "	"0,469 "	
TNFRSF10B 	"0,5883 "	"0,6756 "	"0,68 "	"0,466 "	
CEP2 	"0,1828 "	"0,1933 "	"0,67 "	"0,464 "	
TNFSF6 	"0,122 "	"0,1432 "	"0,65 "	"0,463 "	
NFKB1 	"0,0647 "	"0,0739 "	"0,63 "	"0,46 "	
GJA1 	"0,1383 "	"0,1706 "	"0,6 "	"0,456 "	
UPK2 	"24,127"	"25,301"	"0,53 "	"0,448 "	
AURKA 	"0,3869 "	"0,3947 "	"0,51 "	"0,446 "	
HMMR 	"60,944"	"83,371"	"0,51 "	"0,445 "	
SFN 	"18,792"	"23,742"	"0,49 "	"0,443 "	
CA2 	"0,5109 "	"0,599 "	"0,49 "	"0,442 "	
BCLG 	"72,187"	"83,492"	"0,45 "	"0,437 "	
BID 	"130,866"	"144,554"	"0,43 "	"0,435 "	
STK6 	"0,4436 "	"0,4962 "	"0,43 "	"0,435 "	
GJB2 	"62,911"	"80,023"	"0,34 "	"0,42 "	
IFITM1 	"0,0342 "	"0,0348 "	"0,34 "	"0,42 "	
RB1 	"1,148,241"	"2,208,548"	"0,3 "	"0,415 "	
CDKN1B 	"23,117"	"32,364"	"0,29 "	"0,412 "	
MET 	"23,329"	"26,151"	"0,23 "	"0,401 "	
AMFR 	"536,114"	"761,914"	"0,21 "	"0,396 "	
HDAC1 	"377,446"	"545,796"	"0,21 "	"0,396 "	
IFI27 	"0,0304 "	"0,1138 "	"0,19 "	"0,391 "	
NAT1 	"0,1501 "	"0,2059 "	"0,17 "	"0,386 "	
BCLXL 	"89,036"	"1,545,414"	"0,14 "	"0,378 "	
BUB1B 	"794,894"	"1,475,808"	"0,14 "	"0,377 "	
GADD45A 	"542,512"	"110,926"	"0,14 "	"0,377 "	
MK167 	"70,574"	"140,648"	"0,13 "	"0,375 "	
MAD2L1 	"10,353"	"14,187"	"0,11 "	"0,368 "	
PCNA 	"48,689"	"85,161"	"0,091 "	"0,36 "	
GJB1 	"922,815"	"2,623,921"	"0,089 "	"0,359 "	
NEK2 	"0,9329 "	"28,386"	"0,072 "	"0,351 "	
TTK 	"68,176"	"1,235,136"	"0,061 "	"0,344 "	
PPARG 	"34,729"	"43,631"	"0,031 "	"0,321 "	
STMN1 	"511,419"	"146,03 "	"0,004 "	"0,261 "	
