Probe	ChipID	name	FOLD PL 21-17	FOLD AM 21-17	 RATIO AM vs PL 	P_INT_GEA_R_AGE_TR
RAE230A:1387722_at	1387722_at	"cytochrome P450, 2b19"	0.19	0.77	4.05	
RAE230A:1377128_at	1377128_at	Transcribed sequence with moderate similarity to protein pir:B42832 (H.sapiens) B42832 factor VIII intron 22 protein - human	0.3	1.21	4.03	5.08081E-08
RAE230A:1389880_at	1389880_at	"Similar to Interleukin enhancer-binding factor 1 (Cellular transcription factor ILF-1) (LOC303753), mRNA"	0.25	0.99	3.96	
RAE230A:1375519_at	1375519_at	"hemoglobin, alpha 1"	0.59	2.33	3.95	4.91829E-14
RAE230A:1374782_at	1374782_at	Transcribed sequences	0.23	0.89	3.87	
RAE230A:1370082_at	1370082_at	"transforming growth factor, beta 1"	0.38	1.4	3.68	8.57366E-07
RAE230A:1373326_at	1373326_at	Transcribed sequences	0.12	0.43	3.58	
RAE230A:1372983_at	1372983_at	Transcribed sequences	0.24	0.85	3.54	1.76815E-05
RAE230A:1386598_at	1386598_at	"Similar to glycosylphosphatidylinositol-linked ADP-ribosyltransferase (LOC308873), mRNA"	0.43	1.52	3.53	2.87678E-09
RAE230A:1375491_at	1375491_at	no description	0.15	0.53	3.53	
RAE230A:1369437_at	1369437_at	"solute carrier family 21 (organic anion transporter), member 12"	4.3	14.45	3.36	
RAE230A:1373953_at	1373953_at	"Similar to adaptor protein kanadaptin (LOC298805), mRNA"	0.35	1.16	3.31	1.16304E-06
RAE230A:1369698_at	1369698_at	"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	3.36	10.91	3.25	6.43361E-05
RAE230A:1368794_at	1368794_at	"3-hydroxyanthranilate 3,4-dioxygenase"	0.41	1.3	3.17	
RAE230A:1383049_at	1383049_at	Transcribed sequences	0.42	1.33	3.17	2.93223E-08
RAE230A:1376184_at	1376184_at	"Similar to Ly-6/neurotoxin homolog (LOC300018), mRNA"	0.51	1.6	3.14	3.51007E-06
RAE230A:1375774_at	1375774_at	Transcribed sequence with weak similarity to protein pir:S23650 (H.sapiens) S23650 retrovirus-related hypothetical protein II - human retrotransposon LINE-1	0.18	0.56	3.11	
RAE230A:1374954_at	1374954_at	"Similar to hypothetical protein MGC27683 (LOC297453), mRNA"	0.23	0.71	3.09	1.24888E-05
RAE230A:1390683_at	1390683_at	"Similar to CG13957-PA (LOC314690), mRNA"	0.55	1.68	3.05	
RAE230A:1398979_at	1398979_at	"Similar to D1Ertd396e protein (LOC305035), mRNA"	0.23	0.7	3.04	2.71649E-07
RAE230A:1387731_at	1387731_at	connexin 46	0.46	1.39	3.02	
RAE230A:1368916_at	1368916_at	argininosuccinate lyase	0.04	0.12	3	3.33067E-16
RAE230A:1368286_at	1368286_at	"solute carrier family 2, (facilitated glucose transporter) member 8"	0.07	0.21	3	2.23376E-10
RAE230A:1376516_at	1376516_at	"Similar to RIKEN cDNA E030034P13 (LOC360488), mRNA"	0.25	0.74	2.96	
RAE230A:1372959_at	1372959_at	"Similar to nucleoside diphosphate kinase (LOC303003), mRNA"	0.2	0.59	2.95	
RAE230A:1374097_at	1374097_at	Transcribed sequence with weak similarity to protein ref:NP_501117.1 (C.elegans) C34D4.11.p [Caenorhabditis elegans]	0.39	1.15	2.95	
RAE230A:1368020_at	1368020_at	mevalonate pyrophosphate decarboxylase	0.21	0.6	2.86	2.49466E-05
RAE230A:1375542_at	1375542_at	"Similar to radixin=esp10 product (LOC315655), mRNA"	0.13	0.37	2.85	
RAE230A:1374263_at	1374263_at	Transcribed sequences	0.31	0.88	2.84	0.00017
RAE230A:1375447_at	1375447_at	"Similar to GTP binding protein 1 (LOC300077), mRNA"	0.37	1.05	2.84	
RAE230A:1370245_at	1370245_at	cathepsin L	0.06	0.17	2.83	1.55431E-15
RAE230A:1375684_at	1375684_at	neuraminidase 1	0.12	0.34	2.83	2.53231E-12
RAE230A:1375306_at	1375306_at	"Similar to toll-associated serine protease (LOC360959), mRNA"	0.57	1.6	2.81	1.28631E-08
RAE230A:1367571_a_at	1367571_a_at	insulin-like growth factor 2	0.1	0.28	2.8	8.67479E-11
RAE230A:1388891_at	1388891_at	"Similar to beta-parvin (LOC362973), mRNA"	0.49	1.35	2.76	0.000215728
RAE230A:1387959_at	1387959_at	lysophospholipase	0.24	0.66	2.75	1.10261E-08
RAE230A:1367660_at	1367660_at	fatty acid binding protein 3	0.04	0.11	2.75	3.77266E-06
RAE230A:1370964_at	1370964_at	arginosuccinate synthetase	0.04	0.11	2.75	2.30926E-14
RAE230A:1387762_s_at	1387762_s_at	Jun D proto-oncogene	0.1	0.27	2.7	
RAE230A:1370310_at	1370310_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	0.05	0.13	2.6	1.0306E-07
RAE230A:1369728_at	1369728_at	germinal histone H4 gene	0.58	1.49	2.57	1.32124E-05
RAE230A:1387743_at	1387743_at	G protein-coupled receptor 20	0.29	0.74	2.55	
RAE230A:1371754_at	1371754_at	peroxisomal Ca-dependent solute carrier-like protein	0.37	0.93	2.51	2.44028E-08
RAE230A:1368360_at	1368360_at	plasminogen	0.52	1.29	2.48	0.000213977
RAE230A:1389094_at	1389094_at	no description	0.38	0.93	2.45	
RAE230A:1376998_a_at	1376998_a_at	"Similar to FLJ00128 protein (LOC361034), mRNA"	0.46	1.12	2.43	
RAE230A:1369972_at	1369972_at	"serine (or cysteine) proteinase inhibitor, clade B, member 5"	0.56	1.36	2.43	9.03711E-05
RAE230A:1368575_at	1368575_at	X transporter protein 2	0.26	0.63	2.42	
RAE230A:1376761_at	1376761_at	histone deacetylase 4	0.32	0.77	2.41	
RAE230A:1377451_at	1377451_at	Transcribed sequences	0.35	0.83	2.37	
RAE230A:1389767_at	1389767_at	"Similar to hypothetical protein FLJ31364 (LOC302982), mRNA"	0.33	0.78	2.36	
RAE230A:1376977_at	1376977_at	prostaglandin E receptor 3	0.2	0.47	2.35	0.000138227
RAE230A:1376733_at	1376733_at	"Similar to immunoglobulin superfamily (LOC303926), mRNA"	0.26	0.6	2.31	
RAE230A:1377720_x_at	1377720_x_at	no description	0.66	1.52	2.3	6.78457E-13
RAE230A:1390030_at	1390030_at	Transcribed sequences	0.3	0.69	2.3	
RAE230A:1376644_at	1376644_at	"Similar to lung cancer metastasis-related protein 1 (LOC311165), mRNA"	0.55	1.26	2.29	
RAE230A:1376529_at	1376529_at	Transcribed sequences	0.28	0.64	2.29	
RAE230A:1374616_at	1374616_at	"Similar to platelet-derived growth factor receptor-like (LOC290771), mRNA"	0.56	1.28	2.29	0.000306822
RAE230A:1375058_at	1375058_at	Transcribed sequence with weak similarity to protein sp:Q15696 (H.sapiens) U2R2_HUMAN U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit related-protein 2	0.39	0.89	2.28	
RAE230A:1369031_at	1369031_at	interferon gamma inducing factor binding protein	6.03	13.76	2.28	
RAE230A:1374439_at	1374439_at	"Similar to DNA segment, Chr 17, Wayne State University 94, expressed (LOC301245), mRNA"	0.29	0.66	2.28	0.000137359
RAE230A:1388228_at	1388228_at	methylenetetrahydrofolate reductase	0.15	0.34	2.27	
RAE230A:1385378_at	1385378_at	Thyroid regulating gene	0.6	1.36	2.27	
RAE230A:1372613_at	1372613_at	"Similar to RIKEN cDNA 1810026B04 (LOC295458), mRNA"	0.04	0.09	2.25	0.00014226
RAE230A:1371376_at	1371376_at	"LOC362395 (LOC362395), mRNA"	0.21	0.47	2.24	0.000153176
RAE230A:1389419_at	1389419_at	Transcribed sequences	0.67	1.48	2.21	
RAE230A:1373657_at	1373657_at	"Similar to solute carrier family 31, member 2 (LOC298091), mRNA"	0.36	0.79	2.19	
RAE230A:1389248_at	1389248_at	"Similar to Galactokinase 1 (LOC287835), mRNA"	0.35	0.76	2.17	1.06511E-07
RAE230A:1368440_at	1368440_at	"solute carrier family 3, member 1"	3.46	7.47	2.16	1.55398E-09
RAE230A:1375713_at	1375713_at	hairy and enhancer of split 5 (Drosophila)	0.41	0.88	2.15	0.000281862
RAE230A:1377288_at	1377288_at	"Similar to transcription factor HSF4b isoform (LOC291960), mRNA"	0.47	1	2.13	
RAE230A:1376192_at	1376192_at	"Similar to RIKEN cDNA 1110028N05 (LOC303669), mRNA"	0.2	0.42	2.1	0.000324022
RAE230A:1373220_at	1373220_at	Transcribed sequences	0.36	0.75	2.08	
RAE230A:1387112_at	1387112_at	proteolipid protein	0.49	1.02	2.08	
RAE230A:1387614_at	1387614_at	synaptonemal complex protein 3	0.26	0.54	2.08	
RAE230A:1371828_at	1371828_at	"Similar to RIKEN cDNA 1500011H22 (LOC288667), mRNA"	0.41	0.85	2.07	
RAE230A:1369081_at	1369081_at	neuraminidase 1	0.14	0.29	2.07	1.36807E-11
RAE230A:1388784_at	1388784_at	"Similar to Macrophage colony stimulating factor I receptor precursor (CSF-1-R) (Fms proto-oncogene) (c-fms) (LOC307403), mRNA"	0.33	0.68	2.06	1.01268E-07
RAE230A:1369852_at	1369852_at	coagulation factor 10	0.19	0.39	2.05	
RAE230A:1370823_at	1370823_at	"BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)"	0.22	0.45	2.05	9.72221E-06
RAE230A:1367830_a_at	1367830_a_at	tumor protein p53	0.63	1.28	2.03	1.48364E-05
RAE230A:1372200_at	1372200_at	Transcribed sequence with weak similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	0.34	0.69	2.03	
RAE230A:1374558_at	1374558_at	Transcribed sequences	0.36	0.73	2.03	
RAE230A:1390312_at	1390312_at	Transcribed sequence with weak similarity to protein ref:NP_060124.1 (H.sapiens) hypothetical protein FLJ20073 [Homo sapiens]	0.48	0.97	2.02	0.000023335
RAE230A:1376224_at	1376224_at	Transcribed sequences	0.49	0.99	2.02	
RAE230A:1389690_at	1389690_at	"Similar to RIKEN cDNA 2410146L05 (LOC301100), mRNA"	0.04	0.08	2	4.55735E-06
RAE230A:1376648_at	1376648_at	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)"	0.21	0.42	2	
RAE230A:1367929_at	1367929_at	CD59 antigen	0.53	1.06	2	1.97115E-07
RAE230A:1371139_at	1371139_at	plastin 3 (T-isoform)	0.37	0.74	2	
RAE230A:1377526_at	1377526_at	PDZ protein Mrt1	0.32	0.64	2	
RAE230A:1387758_at	1387758_at	intestinal alkaline phosphatase-II (IAP-II) gene	0.26	0.52	2	
RAE230A:1368179_at	1368179_at	"thymic stromal-derived lymphopoietin, receptor"	0.45	0.89	1.98	0.000226451
RAE230A:1388339_at	1388339_at	"Similar to phosphoprotein enriched in astrocytes 15 (LOC364052), mRNA"	0.44	0.87	1.98	
RAE230A:1398458_at	1398458_at	Transcribed sequence with weak similarity to protein pir:T50615 (H.sapiens) T50615 hypothetical protein DKFZp761G1515.1 - human	0.32	0.63	1.97	
RAE230A:1394166_at	1394166_at	no description	2.43	4.76	1.96	
RAE230A:1373102_at	1373102_at	Transcribed sequences	0.42	0.82	1.95	
RAE230A:1387127_at	1387127_at	attractin	0.35	0.68	1.94	0.000371356
RAE230A:1369983_at	1369983_at	chemokine (C-C motif) ligand 5	0.6	1.16	1.93	2.38946E-05
RAE230A:1387348_at	1387348_at	insulin-like growth factor-binding protein 5	0.66	1.27	1.92	3.97841E-05
RAE230A:1373669_at	1373669_at	"Similar to glucosamine-6-phosphate isomerase (LOC289608), mRNA"	0.23	0.44	1.91	
RAE230A:1390691_at	1390691_at	Transcribed sequences	0.11	0.21	1.91	3.09242E-07
RAE230A:1390355_at	1390355_at	ryanodine receptor 1 (skeletal)	0.3	0.57	1.9	
RAE230A:1389426_at	1389426_at	"Similar to DNA segment, Chr 5, Brigham & Womens Genetics 0834 expressed (LOC304462), mRNA"	0.57	1.08	1.89	
RAE230A:1390326_at	1390326_at	"ribonuclease, RNase A family 4"	0.27	0.51	1.89	4.51898E-05
RAE230A:1377651_at	1377651_at	Transcribed sequences	0.6	1.13	1.88	6.30184E-05
RAE230A:1371184_x_at	1371184_x_at	tropomyosin isoform 6	0.66	1.24	1.88	
RAE230A:1373095_at	1373095_at	Transcribed sequences	0.65	1.22	1.88	1.20149E-05
RAE230A:1386378_at	1386378_at	"Similar to RIKEN cDNA 6720467C03 (LOC297903), mRNA"	0.16	0.3	1.88	
RAE230A:1390690_at	1390690_at	Transcribed sequences	0.32	0.6	1.88	
RAE230A:1370534_at	1370534_at	activin receptor-like kinase 7	0.23	0.43	1.87	
RAE230A:1370468_at	1370468_at	"solute carrier family 13, member 1"	23.17	43.26	1.87	
RAE230A:1367984_at	1367984_at	CTD-binding SR-like rA1	0.3	0.56	1.87	
RAE230A:1374450_at	1374450_at	"Similar to WW domain binding protein 1 (LOC297381), mRNA"	0.42	0.78	1.86	
RAE230A:1375827_at	1375827_at	"Similar to zinc-finger protein (LOC313144), mRNA"	0.54	1	1.85	
RAE230A:1377029_at	1377029_at	Transcribed sequences	0.2	0.37	1.85	
RAE230A:1371527_at	1371527_at	epithelial membrane protein 1	2.15	3.96	1.84	4.12236E-06
RAE230A:1376386_at	1376386_at	Transcribed sequences	0.55	1.01	1.84	
RAE230A:1367754_s_at	1367754_s_at	argininosuccinate lyase	0.06	0.11	1.83	2.26116E-05
RAE230A:1387663_at	1387663_at	"glia maturation factor, beta"	0.42	0.77	1.83	
RAE230A:1387580_at	1387580_at	steroid 5-alpha-reductase 2	0.24	0.44	1.83	
RAE230A:1370946_at	1370946_at	nuclear factor I/X	0.59	1.08	1.83	0.000345203
RAE230A:1374770_at	1374770_at	N-acylsphingosine amidohydrolase (acid ceramidase)	0.43	0.78	1.81	7.6768E-06
RAE230A:1387683_at	1387683_at	corticotropin releasing hormone receptor 1	0.32	0.58	1.81	
RAE230A:1375356_at	1375356_at	"Hypothetical LOC304650 (LOC304650), mRNA"	0.26	0.47	1.81	
RAE230A:1387640_at	1387640_at	fibroblast growth factor 15	0.15	0.27	1.8	2.33488E-05
RAE230A:1373308_at	1373308_at	hypothetical protein	0.4	0.72	1.8	
RAE230A:1368464_at	1368464_at	macrophage galactose N-acetyl-galactosamine specific lectin	0.48	0.86	1.79	
RAE230A:1376866_at	1376866_at	"Similar to RIKEN cDNA 2610103M17 (LOC292674), mRNA"	0.38	0.68	1.79	
RAE230A:1373503_at	1373503_at	"Similar to hypothetical protein MGC19364 (LOC360779), mRNA"	0.53	0.94	1.77	
RAE230A:1369568_at	1369568_at	syntaxin 6	0.44	0.78	1.77	
RAE230A:1372860_at	1372860_at	"Similar to phospholysine phosphohistidine inorganic pyrophosphate phosphata (5M590) (LOC361663), mRNA"	0.52	0.92	1.77	
RAE230A:1377042_at	1377042_at	Transcribed sequence with weak similarity to protein ref:NP_116062.1 (H.sapiens) hypothetical protein MGC10882 [Homo sapiens]	0.43	0.76	1.77	5.55564E-06
RAE230A:1373736_at	1373736_at	Transcribed sequences	0.3	0.53	1.77	
RAE230A:1387100_at	1387100_at	aquaporin 3	6.24	11.01	1.76	
RAE230A:1373076_at	1373076_at	Transcribed sequences	0.46	0.81	1.76	
RAE230A:1368983_at	1368983_at	diphtheria toxin receptor	2.33	4.08	1.75	
RAE230A:1374745_at	1374745_at	"4,8-dimethylnonanoyl-CoA thioesterase"	0.24	0.42	1.75	
RAE230A:1372177_at	1372177_at	"Similar to Molybdenum cofactor synthesis protein 2 large subunit (Molybdopterin synthase large subunit) (MPT synthase large subunit) (MOCS2B) (MOCO1-B) (LOC294753), mRNA"	0.52	0.91	1.75	2.34474E-05
RAE230A:1389276_at	1389276_at	Transcribed sequences	0.56	0.98	1.75	
RAE230A:1392720_at	1392720_at	cytochrome P450 4F5	0.27	0.47	1.74	
RAE230A:1390074_at	1390074_at	"Similar to mKIAA0023 protein (LOC296634), mRNA"	0.44	0.76	1.73	
RAE230A:1377719_a_at	1377719_a_at	no description	0.66	1.14	1.73	2.39846E-05
RAE230A:1375532_at	1375532_at	"Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein"	0.51	0.88	1.73	1.84629E-05
RAE230A:1387819_at	1387819_at	elastase 1	0.32	0.55	1.72	5.05586E-05
RAE230A:1387214_at	1387214_at	carboxylesterase 1	1.76	3.02	1.72	0.000197639
RAE230A:1379996_at	1379996_at	synaptobrevin-like 1	0.56	0.96	1.71	
RAE230A:1369658_at	1369658_at	"CCAAT/enhancer binding protein, alpha"	0.55	0.94	1.71	
RAE230A:1384970_at	1384970_at	no description	0.48	0.82	1.71	
RAE230A:1389501_at	1389501_at	no description	0.58	0.99	1.71	
RAE230A:1389112_at	1389112_at	"Similar to Nkd (LOC364952), mRNA"	0.51	0.87	1.71	
RAE230A:1370467_at	1370467_at	"solute carrier family 13, member 1"	17.06	29.04	1.7	
RAE230A:1386975_at	1386975_at	pyruvate dehydrogenase kinase 2	0.1	0.17	1.7	
RAE230A:1373167_at	1373167_at	Transcribed sequences	0.23	0.39	1.7	
RAE230A:1374390_at	1374390_at	"Similar to RIKEN cDNA 1810009A15 (LOC293720), mRNA"	0.49	0.83	1.69	
RAE230A:1379594_at	1379594_at	Transcribed sequences	0.22	0.37	1.68	
RAE230A:1369406_at	1369406_at	N-acylsphingosine amidohydrolase 2	1.68	2.82	1.68	0.000356354
RAE230A:1372101_at	1372101_at	ER transmembrane protein Dri 42	0.59	0.99	1.68	8.29399E-05
RAE230A:1371788_at	1371788_at	"Similar to RIKEN cDNA 2610510L01 (LOC364189), mRNA"	0.59	0.99	1.68	
RAE230A:1372384_at	1372384_at	Transcribed sequence with moderate similarity to protein pir:S12207 (M.musculus) S12207 hypothetical protein	0.68	1.14	1.68	
RAE230A:1389362_at	1389362_at	Transcribed sequence with moderate similarity to protein pir:A41109 (H.sapiens) A41109 protein-tyrosine-phosphatase	0.46	0.77	1.67	
RAE230A:1390852_x_at	1390852_x_at	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	0.57	0.95	1.67	
RAE230A:1388218_at	1388218_at	low density lipoprotein receptor	0.42	0.7	1.67	
RAE230A:1387874_at	1387874_at	D site albumin promoter binding protein	0.42	0.7	1.67	
RAE230A:1371258_at	1371258_at	"fibrinogen, alpha polypeptide"	0.35	0.58	1.66	
RAE230A:1370372_at	1370372_at	"RASD family, member 2"	1.91	3.16	1.65	
RAE230A:1373335_at	1373335_at	Transcribed sequences	0.6	0.99	1.65	6.16592E-05
RAE230A:1372299_at	1372299_at	"cyclin-dependent kinase inhibitor 1C, p57"	0.2	0.33	1.65	0.000116712
RAE230A:1387411_at	1387411_at	receptor-like protein tyrosine phosphatase kappa extracellular region (RPTPK)	0.45	0.74	1.64	
RAE230A:1367722_at	1367722_at	dipeptidylpeptidase 7	0.14	0.23	1.64	2.36179E-05
RAE230A:1388456_at	1388456_at	S100 calcium binding protein A1	0.14	0.23	1.64	0.000165104
RAE230A:1374126_at	1374126_at	Transcribed sequences	0.39	0.64	1.64	
RAE230A:1390277_at	1390277_at	Transcribed sequences	0.6	0.98	1.63	
RAE230A:1371127_at	1371127_at	bone morphogenetic protein 1 (procollagen C-proetinase)	0.57	0.93	1.63	
RAE230A:1374699_at	1374699_at	Transcribed sequences	1.59	2.59	1.63	
RAE230A:1390641_at	1390641_at	Transcribed sequences	0.48	0.78	1.63	
RAE230A:1372706_at	1372706_at	"Similar to beta-hexosaminidase (LOC294673), mRNA"	0.29	0.47	1.62	2.49883E-05
RAE230A:1368209_at	1368209_at	membrane-associated protein 17	0.21	0.34	1.62	
RAE230A:1372031_at	1372031_at	"disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)"	0.21	0.34	1.62	8.37387E-06
RAE230A:1377117_at	1377117_at	no description	0.63	1.02	1.62	
RAE230A:1373132_at	1373132_at	Transcribed sequence with moderate similarity to protein ref:NP_076936.1 (H.sapiens) hypothetical protein MGC3121 [Homo sapiens]	1.38	2.23	1.62	
RAE230A:1374458_at	1374458_at	Transcribed sequences	0.31	0.5	1.61	
RAE230A:1368488_at	1368488_at	"nuclear factor, interleukin 3, regulated"	0.46	0.74	1.61	
RAE230A:1373759_at	1373759_at	Transcribed sequences	2.19	3.52	1.61	
RAE230A:1388463_at	1388463_at	"Similar to Tex264 protein (LOC300988), mRNA"	0.28	0.45	1.61	
RAE230A:1375972_at	1375972_at	"Similar to membrane protein expressed in epithelial-like lung adenocarcinoma (LOC303317), mRNA"	0.43	0.69	1.6	0.000237553
RAE230A:1372611_at	1372611_at	"Similar to RIKEN cDNA 2010305A19 (LOC298377), mRNA"	0.35	0.56	1.6	
RAE230A:1367952_at	1367952_at	low density lipoprotein receptor-related protein 2	0.15	0.24	1.6	
RAE230A:1386781_at	1386781_at	no description	0.15	0.24	1.6	
RAE230A:1387450_at	1387450_at	transforming growth factor alpha	0.45	0.72	1.6	
RAE230A:1374613_at	1374613_at	Transcribed sequences	0.4	0.64	1.6	
RAE230A:1370204_at	1370204_at	FGF receptor activating protein 1	0.67	1.07	1.6	
RAE230A:1372162_at	1372162_at	"Similar to acetyl-CoA synthetase 2 (LOC296259), mRNA"	0.71	1.13	1.59	0.00029683
RAE230A:1369239_at	1369239_at	chloride channel 5	0.46	0.73	1.59	
RAE230A:1370845_at	1370845_at	ectonucleoside triphosphate diphosphohydrolase 2	0.29	0.46	1.59	0.000312215
RAE230A:1398246_s_at	1398246_s_at	"Fc receptor, IgG, low affinity III"	0.41	0.65	1.59	
RAE230A:1369144_a_at	1369144_a_at	"potassium voltage gated channel, Shal-related family, member 3"	0.53	0.84	1.58	
RAE230A:1398448_at	1398448_at	Transcribed sequences	0.48	0.76	1.58	
RAE230A:1372507_at	1372507_at	"Similar to RIKEN cDNA 9130410M22 (LOC306587), mRNA"	0.55	0.87	1.58	0.000353335
RAE230A:1389402_at	1389402_at	"Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	1.48	2.34	1.58	
RAE230A:1368376_at	1368376_at	"nuclear receptor subfamily 0, group B, member 2"	0.54	0.85	1.57	
RAE230A:1388475_at	1388475_at	Transcribed sequence with weak similarity to protein pir:T46432 (H.sapiens) T46432 hypothetical protein DKFZp434D2426.1 - human	0.54	0.85	1.57	
RAE230A:1373006_at	1373006_at	"Hypothetical LOC293634 (LOC293634), mRNA"	0.49	0.77	1.57	
RAE230A:1372911_at	1372911_at	Transcribed sequences	0.16	0.25	1.56	
RAE230A:1373224_at	1373224_at	"alpha-2,3-sialyltransferase ST3Gal IV"	0.16	0.25	1.56	
RAE230A:1387116_at	1387116_at	"dnaJ homolog, subfamily b, member 9"	0.66	1.03	1.56	
RAE230A:1376199_at	1376199_at	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	0.52	0.81	1.56	
RAE230A:1368187_at	1368187_at	glycoprotein (transmembrane) nmb	0.18	0.28	1.56	
RAE230A:1373123_at	1373123_at	"Similar to RIKEN cDNA 4932432N11 gene (LOC306734), mRNA"	0.63	0.98	1.56	
RAE230A:1376719_at	1376719_at	Transcribed sequences	0.27	0.42	1.56	
RAE230A:1390315_a_at	1390315_a_at	"Similar to KIAA0913 protein (LOC361004), mRNA"	0.58	0.9	1.55	
RAE230A:1368641_at	1368641_at	"wingless-type MMTV integration site family, member 4"	0.4	0.62	1.55	
RAE230A:1377006_at	1377006_at	"Similar to CCT (chaperonin containing TCP-1) zeta subunit (LOC288620), mRNA"	0.57	0.88	1.54	
RAE230A:1388059_a_at	1388059_a_at	solute carrier family 11 member 2	0.35	0.54	1.54	
RAE230A:1372632_at	1372632_at	no description	0.37	0.57	1.54	
RAE230A:1369643_a_at	1369643_a_at	calcium-independent alpha-latrotoxin receptor homolog 2	0.52	0.8	1.54	
