Gene Symbol	Gene Name	Fold Change	q-value (%)
MGC9850	hypothetical protein MGC9850	1.69715395	4.626315
MID1	midline 1 (Opitz/BBB syndrome)	3.045149472	4.626315
NAT5	N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae)	1.925939343	4.626315
NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	2.00369167	4.626315
PCTK1	PCTAIRE protein kinase 1	1.637893164	4.626315
PMS2L5	postmeiotic segregation increased 2-like 5	1.521108189	4.626315
PTTG1	pituitary tumor-transforming 1	2.190433325	4.626315
RECQL4	RecQ protein-like 4	3.276435851	4.626315
RP11-529I10.4	deleted in a mouse model of primary ciliary dyskinesia	1.480653912	4.626315
SDHA /// SDHAL2	succinate dehydrogenase complex, subunit A, flavoprotein (Fp) /// succinate dehydrogenase complex, subunit A, flavoprotein-like 2	1.433713684	4.626315
SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	2.723386492	4.626315
TUBB	tubulin, beta polypeptide /// tubulin, beta polypeptide	1.567472957	4.626315
UNG	uracil-DNA glycosylase	2.30873151	4.626315
WBSCR1	Williams-Beuren syndrome chromosome region 1	1.850560394	4.626315
YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	1.641011754	4.626315
ZC3H3	zinc finger CCCH-type containing 3	1.735707677	4.626315
ZWILCH	Zwilch, kinetochore associated, homolog (Drosophila)	1.699396427	4.626315
