Gene Symbol	GENE	FC MDA.FN(-)/MDA
RC1	RC1-IT0013-022-C08 (CDNA FLJ31353 fis, clone MESAN2000264)	2,75
QV3	QV3-DT0045-063-F01 (CDNA FLJ13267 fis, clone OVARC1000964)	2,78
FLJ32421	FLJ32421 (hypothetical protein FLJ32421)	2,83
KHDRBS3	KHDRBS3 (KH domain containing, RNA binding, signal transduction associated 3)	2,83
SLC7A5	SLC7A5 (solute carrier family 7 (cationic amino acid transporter, y+ system), member 5)	2,91
CYP1B1	CYP1B1 (cytochrome P450, family 1, subfamily B, polypeptide 1)	2,95
HYPK	HYPK (Huntingtin interacting protein K)	2,95
ARS2	ARS2 (arsenate resistance protein ARS2)	3,04
MRPL47	MRPL47 (mitochondrial ribosomal protein L47)	3,06
TOMM20	TOMM20 (translocase of outer mitochondrial membrane 20 homolog (yeast))	3,06
ZNF189	ZNF189 (zinc finger protein 189)	3,21
H41	H41 (hypothetical protein H41)	3,48
OSR2	OSR2 (odd-skipped-related 2A protein)	3,50
