Probe set	Gene symbol	Gene title	logFC	p-value	adj p-val
1569401_at	CLEC12A	C-type lectin domain family 12, member A	0.408098	4.21E-07	0.000767
209674_at	CRY1	cryptochrome 1 (photolyase-like)	-1.04804	7.92E-07	0.001354
215806_x_at	TRGC2	T cell receptor gamma constant 2	1.911038	7.80E-07	0.001354
209813_x_at	TRGV9	T cell receptor gamma variable 9	1.914286	8.54E-07	0.001415
201952_at	ALCAM	activated leukocyte cell adhesion molecule	1.172679	9.09E-07	0.001462
228370_at	SNRPN	small nuclear ribonucleoprotein polypeptide N	-0.607	1.01E-06	0.001572
229588_at	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	0.45574	1.07E-06	0.001631
224964_s_at	GNG2	guanine nucleotide binding protein (G protein), gamma 2	-1.3084	1.23E-06	0.001693
236893_at	LOC404266	hypothetical LOC404266	0.268665	1.24E-06	0.001693
211144_x_at	TARP	TCR gamma alternate reading frame protein	1.779958	1.24E-06	0.001693
216920_s_at	TARP	TCR gamma alternate reading frame protein	2.024887	1.19E-06	0.001693
1561737_at	NA	NA	0.425107	1.31E-06	0.001749
200644_at	MARCKSL1	MARCKS-like 1	-1.28723	1.37E-06	0.001755
57540_at	RBKS	ribokinase	0.652753	1.38E-06	0.001755
228904_at	HOXB3	homeobox B3	1.767469	1.45E-06	0.001805
207386_at	CYP7B1	cytochrome P450, family 7, subfamily B, polypeptide 1	0.260879	1.85E-06	0.002246
237189_at	NA	NA	0.509637	2.04E-06	0.002426
201951_at	ALCAM	activated leukocyte cell adhesion molecule	0.66612	2.79E-06	0.003246
226065_at	PRICKLE1	prickle homolog 1 (Drosophila)	0.259607	3.53E-06	0.004024
228365_at	CPNE8	copine VIII	0.885481	4.06E-06	0.004536
205600_x_at	HOXB5	homeobox B5	0.539996	5.25E-06	0.005746
205899_at	CCNA1	cyclin A1	1.639414	5.42E-06	0.005813
205844_at	VNN1	vanin 1	0.952325	5.72E-06	0.00601
1562289_at	NA	NA	0.471853	5.95E-06	0.006136
207931_s_at	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	0.126171	6.80E-06	0.006791
202119_s_at	CPNE3	copine III	0.829375	6.83E-06	0.006791
218648_at	CRTC3	CREB regulated transcription coactivator 3	-0.55637	7.07E-06	0.006899
209129_at	TRIP6	thyroid hormone receptor interactor 6	-0.55852	8.15E-06	0.007687
221143_at	RPA4	replication protein A4, 34kDa	0.26446	8.15E-06	0.007687
220928_s_at	PRDM16	PR domain containing 16	0.15917	1.01E-05	0.009346
218451_at	CDCP1	CUB domain containing protein 1	0.164989	1.41E-05	0.012882
219222_at	RBKS	ribokinase	0.438932	1.52E-05	0.013623
221781_s_at	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	0.403692	1.65E-05	0.014593
222027_at	NUCKS1	nuclear casein kinase and cyclin-dependent kinase substrate 1	0.180632	1.71E-05	0.01483
204438_at	MRC1	mannose receptor, C type 1	0.884804	1.75E-05	0.014912
206310_at	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	2.355236	1.77E-05	0.014912
235900_at	SPNS3	spinster homolog 3 (Drosophila)	0.896008	1.83E-05	0.015192
212761_at	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	-0.9857	2.12E-05	0.016784
216035_x_at	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	-0.63248	2.15E-05	0.016784
219710_at	SH3TC2	SH3 domain and tetratricopeptide repeats 2	0.185258	2.18E-05	0.016784
230708_at	PRICKLE1	prickle homolog 1 (Drosophila)	0.23191	2.18E-05	0.016784
226069_at	PRICKLE1	prickle homolog 1 (Drosophila)	0.258961	2.14E-05	0.016784
226789_at	LOC647121	embigin homolog (mouse) pseudogene	1.08744	2.27E-05	0.017261
242956_at	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	0.231462	2.73E-05	0.020228
205601_s_at	HOXB5	homeobox B5	0.394725	2.74E-05	0.020228
236923_x_at	NA	NA	0.576397	2.89E-05	0.021089
231600_at	CLEC12B	C-type lectin domain family 12, member B	0.34	2.98E-05	0.02142
224901_at	SCD5	stearoyl-CoA desaturase 5	0.478985	3.24E-05	0.022979
214321_at	NOV	nephroblastoma overexpressed gene	0.523634	3.32E-05	0.023276
215743_at	NMT2	N-myristoyltransferase 2	-0.24585	3.50E-05	0.024125
1554346_at	GNB5	guanine nucleotide binding protein (G protein), beta 5	0.157652	3.57E-05	0.024125
226220_at	METTL9	methyltransferase like 9	0.223776	3.57E-05	0.024125
201432_at	CAT	catalase	1.216688	3.69E-05	0.024584
228775_at	NA	NA	0.218773	3.81E-05	0.025129
202862_at	FAH	fumarylacetoacetate hydrolase (fumarylacetoacetase)	0.673824	4.04E-05	0.026286
207590_s_at	CENPI	centromere protein I	0.144542	4.48E-05	0.028646
1552939_at	ANGPT1	angiopoietin 1	0.212168	4.51E-05	0.028646
208855_s_at	STK24	serine/threonine kinase 24 (STE20 homolog, yeast)	-0.75434	4.65E-05	0.02921
226103_at	NEXN	nexilin (F actin binding protein)	0.376676	4.85E-05	0.029964
240655_at	ALCAM	activated leukocyte cell adhesion molecule	0.447657	4.88E-05	0.029964
208854_s_at	STK24	serine/threonine kinase 24 (STE20 homolog, yeast)	-0.53726	5.00E-05	0.030351
228220_at	FCHO2	FCH domain only 2	-0.51859	5.05E-05	0.030351
204120_s_at	ADK	adenosine kinase	0.581956	5.30E-05	0.030899
207111_at	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	0.668325	5.22E-05	0.030899
1552398_a_at	CLEC12A	C-type lectin domain family 12, member A	1.021073	5.31E-05	0.030899
201193_at	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	0.885753	5.45E-05	0.031373
211922_s_at	CAT	catalase	1.125865	5.63E-05	0.032041
1562902_at	NA	NA	0.219196	5.78E-05	0.032449
239213_at	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	0.391722	5.82E-05	0.032449
201213_at	PPP1R7	protein phosphatase 1, regulatory (inhibitor) subunit 7	0.136846	5.98E-05	0.032676
205726_at	DIAPH2	diaphanous homolog 2 (Drosophila)	0.468447	5.95E-05	0.032676
241797_at	NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	0.184028	6.28E-05	0.03402
227400_at	NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	0.453418	6.46E-05	0.034317
225941_at	EIF4E3	eukaryotic translation initiation factor 4E family member 3	0.669158	6.43E-05	0.034317
202890_at	MAP7	microtubule-associated protein 7	0.821823	6.71E-05	0.035275
209625_at	PIGH	phosphatidylinositol glycan anchor biosynthesis, class H	-0.286	7.21E-05	0.037551
220384_at	TXNDC3	thioredoxin domain containing 3 (spermatozoa)	0.312077	7.29E-05	0.037602
240061_at	tcag7.1314	hypothetical protein LOC54103	0.272507	7.39E-05	0.037779
229380_at	NA	NA	0.267905	7.74E-05	0.038821
224596_at	SLC44A1	solute carrier family 44, member 1	1.213582	7.67E-05	0.038821
220089_at	L2HGDH	L-2-hydroxyglutarate dehydrogenase	0.194927	7.93E-05	0.03942
210830_s_at	PON2	paraoxonase 2	-0.64687	8.62E-05	0.041848
218445_at	H2AFY2	H2A histone family, member Y2	0.287134	8.65E-05	0.041848
238601_at	NA	NA	0.525936	8.60E-05	0.041848
222665_at	FAM82B	family with sequence similarity 82, member B	0.199665	8.86E-05	0.042116
225939_at	EIF4E3	eukaryotic translation initiation factor 4E family member 3	0.487715	8.81E-05	0.042116
1558549_s_at	VNN1	vanin 1	0.355642	8.94E-05	0.042133
234826_at	NA	NA	0.134234	9.43E-05	0.0437
239072_at	NA	NA	0.64183	9.41E-05	0.0437
201876_at	PON2	paraoxonase 2	-0.83584	9.53E-05	0.043772
205609_at	ANGPT1	angiopoietin 1	1.06019	9.68E-05	0.044098
1562608_at	TMEM144	transmembrane protein 144	0.206124	0.000103	0.046383
232629_at	PROK2	prokineticin 2	1.626208	0.000104	0.046651
241706_at	CPNE8	copine VIII	0.446605	0.000106	0.047035
219799_s_at	DHRS9	dehydrogenase/reductase (SDR family) member 9	0.582118	0.000109	0.048069
213388_at	LOC727942	hypothetical LOC727942	0.183377	0.000114	0.04945
231767_at	HOXB4	homeobox B4	0.275802	0.000113	0.04945
