Gene Symbole	Gene Description
B3galnt1	beta-1,3-N-acetylgalactosaminyltransfer
BCAT1	branched chain aminotransferase 1, cyto
BCL6	B-cell CLL/lymphoma 6
BDKRB1	bradykinin receptor B1
BDKRB2	bradykinin receptor B2
BEX1	brain expressed, X-linked 1
BIRC3	baculoviral IAP repeat-containing 3
BLVRB	biliverdin reductase B (flavin reductas
BPGM	2,3-bisphosphoglycerate mutase
BRCC3	BRCA1/BRCA2-containing complex, subunit
BST2	bone marrow stromal cell antigen 2
BTBD11	BTB (POZ) domain containing 11
BTN3A1	butyrophilin, subfamily 3, member A1
BTN3A2	butyrophilin, subfamily 3, member A2
Batf	basic leucine zipper transcription fact
Bnc1	basonuclin 1
Btn3a3	butyrophilin, subfamily 3, member A3
C10orf110	chromosome 10 open reading frame 110
C10orf114	chromosome 10 open reading frame 114
C10orf116	chromosome 10 open reading frame 116
C10orf54	chromosome 10 open reading frame 54
C10orf82	chromosome 10 open reading frame 82
C11orf52	chromosome 11 open reading frame 52
C11orf70	chromosome 11 open reading frame 70
C12orf59	chromosome 12 open reading frame 59
C15orf48	chromosome 15 open reading frame 48
C17orf103	chromosome 17 open reading frame 103
C17orf60	chromosome 17 open reading frame 60
C17orf91	chromosome 17 open reading frame 91
C19orf46	chromosome 19 open reading frame 46
C1orf116	chromosome 1 open reading frame 116
C1orf133	chromosome 1 open reading frame 133
C1orf213	chromosome 1 open reading frame 213
C1orf38	chromosome 1 open reading frame 38
C1orf63	chromosome 1 open reading frame 63
C1r	complement component 1, r subcomponent
C1s	complement component 1, s subcomponent
C20orf199	chromosome 20 open reading frame 199
C21orf91	chromosome 21 open reading frame 91
C2orf54	chromosome 2 open reading frame 54
C3	complement component 3
C4orf19	chromosome 4 open reading frame 19
C4orf26	chromosome 4 open reading frame 26
C6orf105	chromosome 6 open reading frame 105
C6orf129	chromosome 6 open reading frame 129
C7orf40	chromosome 7 open reading frame 40
C8orf4	chromosome 8 open reading frame 4
C9orf116	chromosome 9 open reading frame 116
C9orf167	chromosome 9 open reading frame 167
C9orf91	chromosome 9 open reading frame 91
CALB2	calbindin 2
CAMK2D	calcium/calmodulin-dependent protein ki
CAPN1	calpain 1, (mu/I) large subunit
CAPS	calcyphosine
CASP1	caspase 1, apoptosis-related cysteine p
CATSPER1	cation channel, sperm associated 1
CCL20	chemokine (C-C motif) ligand 20
CCL22	chemokine (C-C motif) ligand 22
CCL28	chemokine (C-C motif) ligand 28
CCL5	chemokine (C-C motif) ligand 5
CCNA1	cyclin A1
CCNB1IP1	cyclin B1 interacting protein 1
CCPG1	cell cycle progression 1
CD302	lymphocyte antigen 75
CD40	CD40 molecule, TNF receptor superfamily
CD44	CD44 molecule (Indian blood group)
CD74	CD74 molecule, major histocompatibility
CD82	CD82 molecule
CD83	CD83 molecule
CDH2	cadherin 2, type 1, N-cadherin (neurona
CDKN1A	cyclin-dependent kinase inhibitor 1A (p
CEACAM1	carcinoembryonic antigen-related cell a
CEBPG	CCAAT/enhancer binding protein (C/EBP),
CETN2	centrin, EF-hand protein, 2
CFB	complement factor B
CHAC1	ChaC, cation transport regulator homolo
CHKB	carnitine palmitoyltransferase 1B (musc
CHML	choroideremia-like (Rab escort protein
CHSY1	chondroitin sulfate synthase 1
CKB	creatine kinase, brain
CLDN1	claudin 1
CLDN3	claudin 3
CMPK2	cytidine monophosphate (UMP-CMP) kinase
COL13A1	collagen, type XIII, alpha 1
COL1A1	collagen, type I, alpha 1
COL4A5	collagen, type IV, alpha 5
COMMD9	COMM domain containing 9
COMT	catechol-O-methyltransferase
CRABP1	cellular retinoic acid binding protein
CREB5	cAMP responsive element binding protein
CRELD2	cysteine-rich with EGF-like domains 2
CRIP2	cysteine-rich protein 2
CRISPLD1	cysteine-rich secretory protein LCCL do
CRISPLD2	cysteine-rich secretory protein LCCL do
CROT	carnitine O-octanoyltransferase
CSAD	cysteine sulfinic acid decarboxylase
CSGALNACT1	chondroitin sulfate N-acetylgalactosami
CSRP2	cysteine and glycine-rich protein 2
CTH	cystathionase (cystathionine gamma-lyas
CTHRC1	collagen triple helix repeat containing
CTSH	cathepsin H
CTSL2	cathepsin L2
CXCL1	chemokine (C-X-C motif) ligand 1 (melan
CXCL2	chemokine (C-X-C motif) ligand 2
CXXC5	CXXC finger 5
CYGB	cytoglobin
CYLD	cylindromatosis (turban tumor syndrome)
CYP27B1	cytochrome P450, family 27, subfamily B
Camta2	calmodulin binding transcription activa
Card6	caspase recruitment domain family, memb
Ccdc80	coiled-coil domain containing 80
Ccl2	chemokine (C-C motif) ligand 2
Ccnl2	cyclin L2
Cd52	CD52 molecule
Cd55	CD55 molecule, decay accelerating facto
Cdca2	cell division cycle associated 2
Ceacam6	carcinoembryonic antigen-related cell a
Celsr3	cadherin, EGF LAG seven-pass G-type rec
Cenpq	centromere protein Q
Chac2	ChaC, cation transport regulator homolo
Cnpy4	canopy 4 homolog (zebrafish)
Cnrip1	cannabinoid receptor interacting protei
Coch	coagulation factor C homolog, cochlin (
Col4a1	collagen, type IV, alpha 1
Col6a3	collagen, type VI, alpha 3
Crat	carnitine acetyltransferase
Cxcl6	chemokine (C-X-C motif) ligand 6 (granu
Cyp11a1	cytochrome P450, family 11, subfamily A
Cyp24a1	cytochrome P450, family 24, subfamily A
DCAF4L1	WD repeat domain 21B
DDIT3	DNA-damage-inducible transcript 3
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide
DDX60L	DEAD (Asp-Glu-Ala-Asp) box polypeptide
DEPDC7	DEP domain containing 7
DFFB	DNA fragmentation factor, 40kDa, beta p
DHCR7	7-dehydrocholesterol reductase
DKK1	dickkopf homolog 1 (Xenopus laevis)
DLEU1	deleted in lymphocytic leukemia 1 (non-
DLGAP5	discs, large (Drosophila) homolog-assoc
DMBT1	deleted in malignant brain tumors 1
DNAJC22	DnaJ (Hsp40) homolog, subfamily C, memb
DNAL4	dynein, axonemal, light chain 4
DPP3	dipeptidyl-peptidase 3
DRAM1	DNA-damage regulated autophagy modulato
DUSP9	dual specificity phosphatase 9
Dbndd1	dysbindin (dystrobrevin binding protein
Ddx60	DEAD (Asp-Glu-Ala-Asp) box polypeptide
Dhrs2	dehydrogenase/reductase (SDR family) me
Dnase1l1	deoxyribonuclease I-like 1
Dner	delta/notch-like EGF repeat containing
Dtx4	deltex homolog 4 (Drosophila)
Dyx1c1	dyslexia susceptibility 1 candidate 1
EDN1	endothelin 1
EEF1A1P24	eukaryotic translation elongation facto
EFHC1	EF-hand domain (C-terminal) containing
EFHD1	EF-hand domain family, member D1
EFNA1	ephrin-A1
EFNB2	ephrin-B2
EGFLAM	EGF-like, fibronectin type III and lami
EIF4EBP1	eukaryotic translation initiation facto
ELMO3	engulfment and cell motility 3
ELOVL4	elongation of very long chain fatty aci
EMR1	egf-like module containing, mucin-like,
EMR2	egf-like module containing, mucin-like,
EPB41L1	erythrocyte membrane protein band 4.1-l
EPB41L4A	erythrocyte membrane protein band 4.1 l
EPHA2	EPH receptor A2
EPS8L1	EPS8-like 1
EPSTI1	epithelial stromal interaction 1 (breas
ERP27	endoplasmic reticulum protein 27
ETS1	v-ets erythroblastosis virus E26 oncoge
ETV5	ets variant 5
ETV7	ets variant 7
Ecm1	extracellular matrix protein 1
Egfl8	EGF-like-domain, multiple 8
Egr1	early growth response 1
Ehd2	EH-domain containing 2
Enc1	ectodermal-neural cortex (with BTB-like
Enpp5	ectonucleotide pyrophosphatase/phosphod
Epdr1	ependymin related protein 1 (zebrafish)
Ephx2	epoxide hydrolase 2, cytoplasmic
F2R	coagulation factor II (thrombin) recept
FAM113B	family with sequence similarity 113, me
FAM129A	family with sequence similarity 129, me
FAM189B	family with sequence similarity 189, me
FAM24B	family with sequence similarity 24, mem
FAM83D	family with sequence similarity 83, mem
FAM89A	family with sequence similarity 89, mem
FANK1	fibronectin type III and ankyrin repeat
FAT3	FAT tumor suppressor homolog 3 (Drosoph
FBLN2	fibulin 2
FBLN7	fibulin 7
FGF2	fibroblast growth factor 2 (basic)
FGFBP1	fibroblast growth factor binding protei
FGFR2	fibroblast growth factor receptor 2
FHOD3	formin homology 2 domain containing 3
FLJ44342	hypothetical LOC645460
FOLR1	folate receptor 1 (adult)
FOSL1	FOS-like antigen 1
FOXQ1	forkhead box Q1
FREM2	FRAS1 related extracellular matrix prot
FRMD6	FERM domain containing 6
FZD7	frizzled homolog 7 (Drosophila)
Fadd	Fas (TNFRSF6)-associated via death doma
Fam113a	family with sequence similarity 113, me
Fam117a	family with sequence similarity 117, me
Fam167a	family with sequence similarity 167, me
Fam38b	family with sequence similarity 38, mem
Fam46b	family with sequence similarity 46, mem
Fap	fibroblast activation protein, alpha
Fbn2	fibrillin 2
Fbp1	fructose-1,6-bisphosphatase 1
Fbxo16	F-box protein 16
Fer1l4	fer-1-like 4 (C. elegans)
Fjx1	four jointed box 1 (Drosophila)
Fst	follistatin
Fut1	fucosyltransferase 1 (galactoside 2-alp
G0s2	G0/G1switch 2
G6PD	glucose-6-phosphate dehydrogenase
GABRP	gamma-aminobutyric acid (GABA) A recept
GADD45A	growth arrest and DNA-damage-inducible,
GAL	galanin prepropeptide
GALNT12	UDP-N-acetyl-alpha-D-galactosamine:poly
GBP1	guanylate binding protein 1, interferon
GBP2	guanylate binding protein 2, interferon
GBP3	guanylate binding protein 3
GCHFR	GTP cyclohydrolase I feedback regulator
GCNT2	glucosaminyl (N-acetyl) transferase 2,
GDA	guanine deaminase
GIP	gastric inhibitory polypeptide
GIPC2	GIPC PDZ domain containing family, memb
GJA1	gap junction protein, alpha 1, 43kDa
GLIPR1	GLI pathogenesis-related 1
GLUL	glutamate-ammonia ligase (glutamine syn
GNAZ	guanine nucleotide binding protein (G p
GNB4	guanine nucleotide binding protein (G p
GNG11	guanine nucleotide binding protein (G p
GOLGA8A	golgi autoantigen, golgin subfamily a,
GPCPD1	hypothetical protein KIAA1434
GPNMB	glycoprotein (transmembrane) nmb
GPR158	G protein-coupled receptor 158
GPS1	G protein pathway suppressor 1
GPX4	glutathione peroxidase 4 (phospholipid
GRAMD4	TSC22 domain family, member 3
GRB10	growth factor receptor-bound protein 10
GREM1	gremlin 1, cysteine knot superfamily, h
GRTP1	growth hormone regulated TBC protein 1
GSTA4	glutathione S-transferase alpha 4
GSTM3	glutathione S-transferase mu 3 (brain)
GTSE1	G-2 and S-phase expressed 1
GTSF1	gametocyte specific factor 1
GYPC	glycophorin C (Gerbich blood group)
Gabre	gamma-aminobutyric acid (GABA) A recept
Gdf15	growth differentiation factor 15
Gja5	gap junction protein, alpha 5, 40kDa
Gldc	glycine dehydrogenase (decarboxylating)
Glis3	GLIS family zinc finger 3
Gprc5b	G protein-coupled receptor, family C, g
H19	H19, imprinted maternally expressed tra
HACE1	HECT domain and ankyrin repeat containi
HBEGF	heparin-binding EGF-like growth factor
HCFC1R1	host cell factor C1 regulator 1 (XPO1 d
HCLS1	hematopoietic cell-specific Lyn substra
HEG1	HEG homolog 1 (zebrafish)
HERC5	hect domain and RLD 5
HEY1	hairy/enhancer-of-split related with YR
HHLA3	HERV-H LTR-associating 3
HIST1H2AL	histone cluster 1, H2ag
HIST1H2BD	histone cluster 1, H2bd
HIST1H2BG	histone cluster 1, H2be
HIST1H3H	histone cluster 1, H3c
HIST2H2BE	histone cluster 2, H2be
HKDC1	hexokinase domain containing 1
HLA-B	major histocompatibility complex, class
HLA-DMB	major histocompatibility complex, class
HLA-DRA	major histocompatibility complex, class
HLA-E	major histocompatibility complex, class
HLA-F	major histocompatibility complex, class
HOXA4	homeobox A4
HOXA5	homeobox A5
HOXA7	homeobox A7
HOXC10	homeobox C10
HOXC13	homeobox C13
HPDL	4-hydroxyphenylpyruvate dioxygenase-lik
HRASLS2	HRAS-like suppressor 2
HRK	harakiri, BCL2 interacting protein (con
HSD11B1	hydroxysteroid (11-beta) dehydrogenase
HSD17B11	hydroxysteroid (17-beta) dehydrogenase
HSD17B8	hydroxysteroid (17-beta) dehydrogenase
HSH2D	hematopoietic SH2 domain containing
HSPA1B	heat shock 70kDa protein 1B
HSPB8	heat shock 22kDa protein 8
Heca	headcase homolog (Drosophila)
Hoxc6	homeobox C6
Hsd17b1	hydroxysteroid (17-beta) dehydrogenase
Htr2b	5-hydroxytryptamine (serotonin) recepto
ICAM1	intercellular adhesion molecule 1
ID2	inhibitor of DNA binding 2, dominant ne
IDI1	isopentenyl-diphosphate delta isomerase
IFI16	interferon, gamma-inducible protein 16
IFI27	interferon, alpha-inducible protein 27
IFI35	interferon-induced protein 35
IFI44	interferon-induced protein 44
IFI6	interferon, alpha-inducible protein 6
IFIH1	interferon induced with helicase C doma
IFIT1	interferon-induced protein with tetratr
IFT122	intraflagellar transport 122 homolog (C
IGDCC4	immunoglobulin superfamily, DCC subclas
IGFL1	IGF-like family member 1
IL11	interleukin 11
IL12RB1	interleukin 12 receptor, beta 1
IL1B	interleukin 1, beta
IL1F5	interleukin 1 family, member 5 (delta)
IL22RA1	interleukin 22 receptor, alpha 1
IL23A	interleukin 23, alpha subunit p19
IL32	interleukin 32
IL6	interleukin 6 (interferon, beta 2)
IL6ST	interleukin 6 signal transducer (gp130,
IL8	interleukin 8
IMP3	IMP3, U3 small nucleolar ribonucleoprot
INPP4B	inositol polyphosphate-4-phosphatase, t
INSIG1	insulin induced gene 1
IPO4	importin 4
IRAK2	interleukin-1 receptor-associated kinas
IRF7	interferon regulatory factor 7
IRF9	interferon regulatory factor 9
IRS1	insulin receptor substrate 1
ISG15	ISG15 ubiquitin-like modifier
ISG20	interferon stimulated exonuclease gene
ITGA2	integrin, alpha 2 (CD49B, alpha 2 subun
ITGA5	integrin, alpha 5 (fibronectin receptor
ITGB2	integrin, beta 2 (complement component
ITGBL1	integrin, beta-like 1 (with EGF-like re
ITPRIP	inositol 1,4,5-triphosphate receptor in
Id3	inhibitor of DNA binding 3, dominant ne
Ier3	immediate early response 3
Ifit3	interferon-induced protein with tetratr
Ifitm1	interferon induced transmembrane protei
Ifne	interferon, epsilon
Inhbb	inhibin, beta B
Irf1	interferon regulatory factor 1
Isl1	ISL LIM homeobox 1
JAG1	jagged 1 (Alagille syndrome)
KAT2B	K(lysine) acetyltransferase 2B
KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reti
KIAA0355	KIAA0355
KIAA0754	KIAA0754
KIAA1274	KIAA1274
KIF14	kinesin family member 14
KIF26A	kinesin family member 26A
KLF10	Kruppel-like factor 10
KLHDC7B	kelch domain containing 7B
KLHL24	kelch-like 24 (Drosophila)
KLHL29	kelch-like 29 (Drosophila)
KLK5	kallikrein-related peptidase 5
KLK6	kallikrein-related peptidase 6
KLK7	kallikrein-related peptidase 7
KLK8	kallikrein-related peptidase 8
KRT13	keratin 13
KRT19	keratin 19
KRT5	keratin 5
Klf4	Kruppel-like factor 4 (gut)
Krt15	keratin 15
Krt23	keratin 23 (histone deacetylase inducib
LAMC2	laminin, gamma 2
LAMP3	lysosomal-associated membrane protein 3
LAP3	leucine aminopeptidase 3
LAPTM5	lysosomal multispanning membrane protei
LARGE	like-glycosyltransferase
LAYN	layilin
LCAT	lecithin-cholesterol acyltransferase
LCP1	lymphocyte cytosolic protein 1 (L-plast
LEPREL1	leprecan-like 1
LGR6	leucine-rich repeat-containing G protei
LIF	leukemia inhibitory factor (cholinergic
LIPG	lipase, endothelial
LOC100128098	hypothetical protein LOC100128098
LOC100128288	hypothetical protein LOC100128288
LOC100129637	hypothetical LOC100129637
LOC100131015	hypothetical LOC100131015
LOC100133632	family with sequence similarity 101, me
LOC100133690	activated leukocyte cell adhesion molec
LOC126987	similar to hCG2040319
LOC282997	hypothetical protein LOC282997
LOC284620	claudin 6
LOC285943	hypothetical protein LOC285943
LOC440335	hypothetical LOC440335
LOC643008	hypothetical protein LOC643008
LOC644456	similar to CG18005
LOC645638	similar to WDNM1-like protein
LOC648603	acetyl-Coenzyme A acyltransferase 2
LOC652522	Werner syndrome, RecQ helicase-like
LOC729013	hypothetical protein LOC729013
LOC729538	chromosome 9 open reading frame 30
LOC729859	WW domain binding protein 1
LOC729970	similar to hCG2028352
LONRF1	LON peptidase N-terminal domain and rin
LPHN2	latrophilin 2
LRG1	leucine-rich alpha-2-glycoprotein 1
LRP8	low density lipoprotein receptor-relate
LTB	lymphotoxin beta (TNF superfamily, memb
LTBP2	latent transforming growth factor beta
LXN	latexin
LY6D	lymphocyte antigen 6 complex, locus D
LY6G6C	lymphocyte antigen 6 complex, locus G6C
LY96	lymphocyte antigen 96
LYPD3	LY6/PLAUR domain containing 3
Lamb3	laminin, beta 3
Lcn2	lipocalin 2
Ldlr	low density lipoprotein receptor
Loxl4	lysyl oxidase-like 4
Lpxn	leupaxin
Lrch1	leucine-rich repeats and calponin homol
MACF1	microtubule-actin crosslinking factor 1
MAMDC2	MAM domain containing 2
MAP1B	microtubule-associated protein 1B
MAP3K8	mitogen-activated protein kinase kinase
MATN3	matrilin 3
MB	myoglobin
MDP1	magnesium-dependent phosphatase 1
MEGF6	multiple EGF-like-domains 6
MESP1	mesoderm posterior 1 homolog (mouse)
METTL7B	methyltransferase like 7B
MFAP2	microfibrillar-associated protein 2
MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta
MGC16121	hypothetical protein MGC16121
MGP	matrix Gla protein
MICAL2	microtubule associated monoxygenase, ca
MID1	midline 1 (Opitz/BBB syndrome)
MKI67	antigen identified by monoclonal antibo
MLKL	mixed lineage kinase domain-like
MMD	monocyte to macrophage differentiation-
MMP14	matrix metallopeptidase 14 (membrane-in
MOXD1	monooxygenase, DBH-like 1
MPP3	membrane protein, palmitoylated 3 (MAGU
MPZ	myelin protein zero
MT1M	metallothionein 1M
MUC20	mucin 20, cell surface associated
MUC4	mucin 4, cell surface associated
MXI1	MAX interactor 1
MYH15	myosin, heavy chain 15
MYL9	myosin, light chain 9, regulatory
Maff	v-maf musculoaponeurotic fibrosarcoma o
Magee1	melanoma antigen family E, 1
Mcm5	minichromosome maintenance complex comp
Mdk	midkine (neurite growth-promoting facto
Mlph	melanophilin
Mmp9	matrix metallopeptidase 9 (gelatinase B
NAMPT	nicotinamide phosphoribosyltransferase
NCAPD2	non-SMC condensin I complex, subunit D2
NCCRP1	non-specific cytotoxic cell receptor pr
NCEH1	arylacetamide deacetylase-like 1
NCRNA00219	chromosome 5 open reading frame 26
NFE2L3	nuclear factor (erythroid-derived 2)-li
NFIL3	nuclear factor, interleukin 3 regulated
NFKBIA	nuclear factor of kappa light polypepti
NFKBIZ	nuclear factor of kappa light polypepti
NIPSNAP1	nipsnap homolog 1 (C. elegans)
NLRC5	NLR family, CARD domain containing 5
NME5	non-metastatic cells 5, protein express
NOVA1	neuro-oncological ventral antigen 1
NR1H3	nuclear receptor subfamily 1, group H,
NR2F2	nuclear receptor subfamily 2, group F,
NRP1	neuropilin 1
NT5E	5-nucleotidase, ecto (CD73)
NUAK1	NUAK family, SNF1-like kinase, 1
NUAK2	NUAK family, SNF1-like kinase, 2
NUDT16L1	nudix (nucleoside diphosphate linked mo
NUP62CL	nucleoporin 62kDa C-terminal like
Nmu	neuromedin U
Npm2	nucleophosmin/nucleoplasmin, 2
Nynrin	KIAA1305
OAS1	2,5-oligoadenylate synthetase 1, 40/4
OASL	2-5-oligoadenylate synthetase-like
OLFML2A	olfactomedin-like 2A
OPTN	optineurin
ORAOV1	oral cancer overexpressed 1
OSBPL1A	oxysterol binding protein-like 1A
OSR2	odd-skipped related 2 (Drosophila)
Oas3	2-5-oligoadenylate synthetase 3, 100k
Olr1	oxidized low density lipoprotein (lecti
Osr1	odd-skipped related 1 (Drosophila)
Ostalpha	organic solute transporter alpha
P2ry6	pyrimidinergic receptor P2Y, G-protein
PADI2	peptidyl arginine deiminase, type II
PADI3	peptidyl arginine deiminase, type III
PALM3	Paralemmin-3
PARP14	poly (ADP-ribose) polymerase family, me
PARP8	poly (ADP-ribose) polymerase family, me
PARP9	poly (ADP-ribose) polymerase family, me
PBX1	pre-B-cell leukemia homeobox 1
PCYOX1	prenylcysteine oxidase 1
PDCD4	programmed cell death 4 (neoplastic tra
PDSS1	prenyl (decaprenyl) diphosphate synthas
PDZK1IP1	PDZK1 interacting protein 1
PEBP1	phosphatidylethanolamine binding protei
PEG10	paternally expressed 10
PET112L	PET112-like (yeast)
PEX11A	peroxisomal biogenesis factor 11 alpha
PGP	phosphoglycolate phosphatase
PHLDB1	pleckstrin homology-like domain, family
PI3	peptidase inhibitor 3, skin-derived
PIH1D2	PIH1 domain containing 2
PIK3C2B	phosphoinositide-3-kinase, class 2, bet
PIK3CD	phosphoinositide-3-kinase, catalytic, d
PIK3R3	phosphoinositide-3-kinase, regulatory s
PILRB	paired immunoglobin-like type 2 recepto
PIR	pirin (iron-binding nuclear protein)
PKP1	plakophilin 1 (ectodermal dysplasia/ski
PLA2G10	phospholipase A2, group X
PLAC2	placenta-specific 2 (non-protein coding
PLAC8	placenta-specific 8
PLAGL1	pleiomorphic adenoma gene-like 1
PLAT	plasminogen activator, tissue
PLAU	plasminogen activator, urokinase
PLAUR	plasminogen activator, urokinase recept
PLCE1	phospholipase C, epsilon 1
PLEKHG6	pleckstrin homology domain containing,
PLK1	polo-like kinase 1 (Drosophila)
PLLP	plasma membrane proteolipid (plasmolipi
PMAIP1	phorbol-12-myristate-13-acetate-induced
PNMAL1	PNMA-like 1
POLM	polymerase (DNA directed), mu
PON3	paraoxonase 3
PP14571	similar to hCG1777210
PPARG	peroxisome proliferator-activated recep
PPM1N	protein phosphatase 1B-like
PPP2R1A	protein phosphatase 2 (formerly 2A), re
PQLC3	PQ loop repeat containing 3
PRKAR1B	protein kinase, cAMP-dependent, regulat
PRKCD	protein kinase C, delta
PROM1	prominin 1
PRR15L	ATPase family, AAA domain containing 4
PSAT1	phosphoserine aminotransferase 1
PSCA	prostate stem cell antigen
PSD3	pleckstrin and Sec7 domain containing 3
PSG9	pregnancy specific beta-1-glycoprotein
PTOV1	prostate tumor overexpressed 1
PTPLAD2	protein tyrosine phosphatase-like A dom
PTPN6	protein tyrosine phosphatase, non-recep
PTRF	polymerase I and transcript release fac
PXDN	peroxidasin homolog (Drosophila)
Pdgfb	platelet-derived growth factor beta pol
Pdp1	pyruvate dehyrogenase phosphatase catal
Pear1	platelet endothelial aggregation recept
Pepd	peptidase D
Pkib	protein kinase (cAMP-dependent, catalyt
Plbd1	phospholipase B domain containing 1
Plcd1	phospholipase C, delta 1
Plekhg4	pleckstrin homology domain containing,
Plxnd1	plexin D1
Ppp2r3a	protein phosphatase 2 (formerly 2A), re
Ppt2	palmitoyl-protein thioesterase 2
Prame	preferentially expressed antigen in mel
Psrc1	proline/serine-rich coiled-coil 1
Ptger4	prostaglandin E receptor 4 (subtype EP4
Ptx3	pentraxin-related gene, rapidly induced
Pycr1	pyrroline-5-carboxylate reductase 1
QARS	glutaminyl-tRNA synthetase
QPRT	quinolinate phosphoribosyltransferase
RAB15	RAB15, member RAS onocogene family
RAB20	RAB20, member RAS oncogene family
RAB26	RAB26, member RAS oncogene family
RAB33B	RAB33B, member RAS oncogene family
RAI14	retinoic acid induced 14
RALGPS1	Ral GEF with PH domain and SH3 binding
RAP1GAP2	GTPase activating Rap/RanGAP domain-lik
RARRES2	retinoic acid receptor responder (tazar
RASSF2	Ras association (RalGDS/AF-6) domain fa
RBP4	retinol binding protein 4, plasma
RBP7	retinol binding protein 7, cellular
RCAN1	regulator of calcineurin 1
RCBTB1	regulator of chromosome condensation (R
REEP6	receptor accessory protein 6
RFK	riboflavin kinase
RGNEF	Rho-guanine nucleotide exchange factor
RHBG	Rh family, B glycoprotein (gene/pseudog
RNF213	ring finger protein 213
RNF40	ring finger protein 40
RNPC3	RNA-binding region (RNP1, RRM) containi
RPL10P6	ribosomal protein L10
RPL23AP32	ribosomal protein L23a pseudogene 32
RSAD2	radical S-adenosyl methionine domain co
RTN4RL1	reticulon 4 receptor-like 1
Rab11fip4	RAB11 family interacting protein 4 (cla
Rasef	RAS and EF-hand domain containing
Rbp1	retinol binding protein 1, cellular
Rdm1	RAD52 motif 1
Rec8	REC8 homolog (yeast)
Rhebl1	Ras homolog enriched in brain like 1
Rhobtb2	Rho-related BTB domain containing 2
Rhov	ras homolog gene family, member V
Robo4	roundabout homolog 4, magic roundabout
S100A1	S100 calcium binding protein A1
S100A8	S100 calcium binding protein A8
S100A9	S100 calcium binding protein A9
S100P	S100 calcium binding protein P
S100a3	S100 calcium binding protein A3
S100a4	S100 calcium binding protein A4
S1PR1	sphingosine-1-phosphate receptor 1
SAA4	serum amyloid A4, constitutive
SACS	spastic ataxia of Charlevoix-Saguenay (
SALL2	sal-like 2 (Drosophila)
SCARF1	scavenger receptor class F, member 1
SCEL	sciellin
SCG5	secretogranin V (7B2 protein)
SCML1	sex comb on midleg-like 1 (Drosophila)
SDR16C5	short chain dehydrogenase/reductase fam
SELENBP1	selenium binding protein 1
SELM	selenoprotein M
SEMA3C	sema domain, immunoglobulin domain (Ig)
SEPX1	selenoprotein X, 1
SERPINA1	serpin peptidase inhibitor, clade A (al
SERPINB5	serpin peptidase inhibitor, clade B (ov
SERPINB7	serpin peptidase inhibitor, clade B (ov
SERPINE1	serpin peptidase inhibitor, clade E (ne
SFXN3	sideroflexin 3
SH2B3	SH2B adaptor protein 3
SH2D5	SH2 domain containing 5
SH3BP5L	SH3-binding domain protein 5-like
SLC12A7	solute carrier family 12 (potassium/chl
SLC15A3	solute carrier family 15, member 3
SLC16A14	solute carrier family 16, member 14 (mo
SLC16A4	solute carrier family 16, member 4 (mon
