UID	NAME	C1	C3	C2	EH2	EH6	EH3	EH5	EH1	EH4
A_01_P007702	||  || A_01_P007702 ||  || Homo sapiens similar to Numb-interacting homolog gene (LOC405753), mRNA. [NM_207581] ||  ||  || 6274890	-0.82	-0.8	-1.03	3.7	1.44	3.39	3.18	3.58	3.31
A_01_P015482	||  || A_01_P015482 ||  || Homo sapiens platelet-derived growth factor receptor, beta polypeptide (PDGFRB), mRNA. [NM_002609] ||  ||  || 6283416	-1.7	-1.55	-1.84	0.08	-0.27	0.1	0.02	-0.23	-0.41
A_01_P015240	||  || A_01_P015240 ||  || Homo sapiens nicotinamide N-methyltransferase (NNMT), mRNA [NM_006169] ||  ||  || 6291067	-0.76	-1.2	-1.44	2.08	0.68	1.56	1.58	1.54	1.8
A_01_P012446	||  || A_01_P012446 ||  || Homo sapiens splicing factor, arginine/serine-rich 14 (SFRS14), mRNA [NM_014884] ||  ||  || 6267002	-2.66	-2.7	-2.82	-0.66	-1.42	-1.07	-1.16	-1	-0.84
A_01_P009714	||  || A_01_P009714 ||  || Homo sapiens RAD51-like 3 (S. cerevisiae) (RAD51L3), transcript variant 1, mRNA. [NM_002878] ||  ||  || 6292430	-1.77	-1.15	-1.46	0.79	0.99	0.51	0.15	0.51	0.42
A_01_P018874	||  || A_01_P018874 ||  || PREDICTED: Macaca mulatta retinoblastoma-like 2 (p130) (RBL2), mRNA [XR_010204] ||  ||  || 6272205	-1.59	-1.16	-1.6	0.48	0.41	0.24	0.82	0.21	0.04
A_01_P011268	||  || A_01_P011268 ||  || PREDICTED: Macaca mulatta similar to dedicator of cytokinesis 8 (LOC698081), mRNA [XR_011087] ||  ||  || 6272994	-2.19	-1.5	-1.72	1.77	1.13	1.68	1.04	0.17	0.9
A_01_P018532	||  || A_01_P018532 ||  || Homo sapiens pro-oncosis receptor inducing membrane injury gene (PORIMIN), mRNA. [NM_052932] ||  ||  || 6284095	-2	-2.2	-1.76	0.56	-0.22	-0.01	0.58	-0.2	-0.13
A_01_P018921	||  || A_01_P018921 ||  || Homo sapiens copine II (CPNE2), mRNA. [NM_152727] ||  ||  || 6288794	-0.89	-1.61	-1.64	0.49	0.23	0.67	0.72	0.27	0.4
A_01_P001811	||  || A_01_P001811 ||  || Homo sapiens CCAAT/enhancer binding protein (C/EBP), delta (CEBPD), mRNA [NM_005195] ||  ||  || 6279043	-1.25	-1.08	-0.86	0.5	0.21	0.49	0.78	0.9	0.84
A_01_P009015	||  || A_01_P009015 ||  || Homo sapiens C-type lectin-like receptor-1 (CLEC1), mRNA [NM_016511] ||  ||  || 6278059	0.17	-0.88	-0.05	1.94	1.89	2.21	1.92	1.59	2.44
A_01_P019056	||  || A_01_P019056 ||  || Homo sapiens hypothetical protein FLJ32440 (FLJ32440), mRNA [NM_173685] ||  ||  || 6288755	-1.52	-1.14	-1.33	0.63	1.58	0.44	0.58	0.7	0.77
A_01_P008834	||  || A_01_P008834 ||  || ILLUMIGEN_MCQ_39536 Katze_MMPB2 Macaca mulatta cDNA clone IBIUW:23033 5 similar to Bases 5 to 869 highly similar to human IAN4L1 (Hs.412331), mRNA sequence [CO646712] ||  ||  || 6292431	-2.16	-1.15	-2.41	1.19	1.42	1.37	0.55	0.22	1.12
A_01_P018386	||  || A_01_P018386 ||  ||  ||  ||  || 6280285	-2.02	-1.17	-1.09	0.41	0.46	0.56	0.59	0.52	0.12
A_01_P005873	||  || A_01_P005873 ||  || Homo sapiens cytokine receptor-like factor 3 (CRLF3), mRNA. [NM_015986] ||  ||  || 6269930	-2.18	-1.62	-1.21	1.38	0.38	0.69	0.49	0.29	0.62
A_01_P007035	||  || A_01_P007035 ||  || Homo sapiens chromosome 10 open reading frame 33 (C10orf33), mRNA. [NM_032709] ||  ||  || 6280432	-1.74	-2.1	-2.07	0.15	-0.73	0.16	0.08	-0.19	-0.26
A_01_P003423	||  || A_01_P003423 ||  || Homo sapiens protein kinase D3 (PRKD3), mRNA. [NM_005813] ||  ||  || 6284063	-2.57	-1.72	-2	-0.29	-0.21	-0.2	0.66	0.16	-0.14
A_01_P019719	||  || A_01_P019719 ||  || Homo sapiens cathepsin O (CTSO), mRNA. [NM_001334] ||  ||  || 6280105	-1.18	-1.49	-0.71	0.49	0.56	0.69	0.96	0.31	1.04
A_01_P002404	||  || A_01_P002404 ||  || Homo sapiens tigger transposable element derived 2 (TIGD2), mRNA. [NM_145715] ||  ||  || 6281842	-1.31	-0.92	-1.13	0.19	-0.15	0.1	0.24	-0.03	0.21
A_01_P011910	||  || A_01_P011910 ||  || Homo sapiens protein phosphatase 4, regulatory subunit 2 (PPP4R2), mRNA [NM_174907] ||  ||  || 6272837	-0.2	-1.09	-0.82	1.3	0.64	1.07	1.18	1.07	1.35
A_01_P000014	||  || A_01_P000014 ||  || PREDICTED: Homo sapiens similar to 60S ribosomal protein L7a (Surfeit locus protein 3) (PLA-X polypeptide) (LOC401640), mRNA [XM_497217] ||  ||  || 6269222	-2	-1.73	-1.71	-0.74	-0.68	-0.54	-0.24	-0.69	-0.42
A_01_P002620	||  || A_01_P002620 ||  || Homo sapiens CUG triplet repeat, RNA binding protein 1 (CUGBP1), transcript variant 2, mRNA [NM_198700] ||  ||  || 6293448	-1.79	-1.32	-1.33	0.72	0.91	0.19	0.59	0.74	-0.18
A_01_P018990	||  || A_01_P018990 ||  || Homo sapiens RAE1 RNA export 1 homolog (S. pombe) (RAE1), transcript variant 1, mRNA. [NM_003610] ||  ||  || 6291075	-2.36	-1.95	-1.4	0.28	0.27	0.18	0.04	-0.27	-0.43
A_01_P017491	||  || A_01_P017491 ||  || Homo sapiens phosphoribosyl pyrophosphate synthetase 1-like 1 (PRPS1L1), mRNA [NM_175886] ||  ||  || 6273996	-1.98	-1.35	-1.53	0.21	0.58	-0.34	0.12	0.34	-0.05
A_01_P004036	||  || A_01_P004036 ||  || Homo sapiens polymerase (RNA) II (DNA directed) polypeptide C, 33kDa (POLR2C), transcript variant gamma, mRNA [NM_032940] ||  ||  || 6282428	-0.74	-1.25	-1.19	0.16	0.61	0.18	0.45	0.11	0.41
A_01_P012857	||  || A_01_P012857 ||  || Homo sapiens ribosomal protein SA (RPSA), transcript variant 2, mRNA. [NM_001012321] ||  ||  || 6278988	-1.36	-1.16	-0.95	0.71	0.97	0.85	1.28	0.01	0.82
A_01_P006863	||  || A_01_P006863 ||  || Homo sapiens cDNA FLJ46705 fis, clone TRACH3015346 [AK128546] ||  ||  || 6280641	-1.1	-0.97	-1.39	0.3	0.12	-0.08	0.66	0.24	0.32
A_01_P001968	||  || A_01_P001968 ||  || Homo sapiens chromosome 6 open reading frame 139 (C6orf139), mRNA. [NM_018132] ||  ||  || 6288403	-0.99	-0.79	-0.99	1.16	1.17	1.36	0.27	1.24	0.61
A_01_P002071	||  || A_01_P002071 ||  || Homo sapiens beta-2-microglobulin (B2M), mRNA. [NM_004048] ||  ||  || 6275874	-1.65	-1.92	-1.57	0.7	0.11	0.47	1.61	0.47	1.61
A_01_P000915	||  || A_01_P000915 ||  || Homo sapiens hypothetical protein FLJ11151 (FLJ11151), mRNA. [NM_018340] ||  ||  || 6285880	-2.29	-1.39	-1.54	0.65	0	0.13	0.5	0.56	-0.26
A_01_P004670	||  || A_01_P004670 ||  || Homo sapiens cell division cycle and apoptosis regulator 1 (CCAR1), mRNA [NM_018237] ||  ||  || 6271055	-1.86	-1.87	-2.49	0.05	-0.29	-0.55	-0.67	-0.69	-0.26
A_01_P000886	||  || A_01_P000886 ||  || Homo sapiens lipoyltransferase 1 (LIPT1), transcript variant 3, mRNA [NM_145197] ||  ||  || 6273807	-2.79	-2.05	-1.86	-0.7	-0.39	-0.8	-0.37	-0.08	-0.29
A_01_P001647	||  || A_01_P001647 ||  || Homo sapiens sestrin 3 (SESN3), mRNA [NM_144665] ||  ||  || 6286899	-0.28	-0.6	-0.09	1.11	1.47	0.83	0.87	1.33	1.21
A_01_P002387	||  || A_01_P002387 ||  || Homo sapiens hypothetical protein BC007706 (LOC90268), mRNA. [NM_138348] ||  ||  || 6283865	-1.51	-1.36	-1.14	0.97	1.09	0.86	0.36	-0.04	0.35
A_01_P011212	||  || A_01_P011212 ||  || ILLUMIGEN_MCQ_5177 Katze_MMBR Macaca mulatta cDNA clone IBIUW:5985 5 similar to Bases 207 to 967 highly similar to human Unigene Hs.351680, mRNA sequence [CN641683] ||  ||  || 6278725	-1.98	-1.89	-2.71	-0.19	-0.69	-0.87	-0.28	-0.33	-0.15
A_01_P013832	||  || A_01_P013832 ||  || Homo sapiens phosphatidylinositol-4-phosphate 5-kinase, type I, beta (PIP5K1B), mRNA [NM_003558] ||  ||  || 6267667	-0.1	-0.53	-1.32	1.56	1.42	1.23	1.67	0.84	1.4
A_01_P002850	||  || A_01_P002850 ||  || Homo sapiens tetratricopeptide repeat domain 5 (TTC5), mRNA. [NM_138376] ||  ||  || 6291480	-1.46	-1.61	-0.85	0.33	0.17	0.07	0.35	0.82	0.21
A_01_P019101	||  || A_01_P019101 ||  || Homo sapiens ribosomal protein, large, P1 (RPLP1), transcript variant 1, mRNA [NM_001003] ||  ||  || 6281256	-1.27	-0.98	-0.72	0.02	0.32	0.3	0.24	0.04	0.36
A_01_P010992	||  || A_01_P010992 ||  || Homo sapiens endothelin receptor type B (EDNRB), transcript variant 2, mRNA [NM_003991] ||  ||  || 6288545	-0.04	-0.57	-0.13	2.33	2.13	2.11	3.17	1.26	2.08
A_01_P008536	||  || A_01_P008536 ||  || ILLUMIGEN_MCQ_28800 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:7420 5 similar to Bases 1 to 752 highly similar to human SAS10 (Hs.322901), mRNA sequence [CN647604] ||  ||  || 6282639	-2.78	-1.67	-2.96	0.42	-0.44	-0.6	-0.36	-0.38	-0.11
A_01_P006587	||  || A_01_P006587 ||  || Homo sapiens tripartite motif-containing 25 (TRIM25), mRNA [NM_005082] ||  ||  || 6282391	-0.97	-1.48	-1.92	0.24	0.12	0	0.68	0.14	0.64
A_01_P009401	||  || A_01_P009401 ||  || Homo sapiens THAP domain containing 10 (THAP10), mRNA. [NM_020147] ||  ||  || 6281142	-1.39	-0.75	-1.32	0.94	1.56	0.08	1.15	1.01	1.25
A_01_P014867	||  || A_01_P014867 ||  || Homo sapiens RAB8B, member RAS oncogene family (RAB8B), mRNA [NM_016530] ||  ||  || 6272458	-1.23	-0.91	-1.1	2.27	0.93	1.04	1.41	0.67	0.85
A_01_P004407	||  || A_01_P004407 ||  || Homo sapiens interleukin enhancer binding factor 3, 90kDa (ILF3), transcript variant 2, mRNA [NM_004516] ||  ||  || 6287252	-1.23	-1.4	-0.91	0.59	-0.08	0.36	0.39	-0.01	0.15
A_01_P017874	||  || A_01_P017874 ||  || Homo sapiens ankyrin repeat and SOCS box-containing 7 (ASB7), transcript variant 2, mRNA [NM_198243] ||  ||  || 6284990	0.3	-0.68	0	1.84	2.43	1.69	2.23	1.41	1.62
A_01_P015710	||  || A_01_P015710 ||  || Homo sapiens mutS homolog 6 (E. coli) (MSH6), mRNA. [NM_000179] ||  ||  || 6271377	-1.49	-0.93	-2.21	0.87	0.26	0.65	0.59	0.1	0.25
A_01_P014454	||  || A_01_P014454 ||  || Homo sapiens glutaredoxin 2 (GLRX2), transcript variant 1, mRNA. [NM_016066] ||  ||  || 6270045	-1.05	-0.78	-1.09	0.7	0.72	0.03	0.49	0.25	0.82
A_01_P018736	||  || A_01_P018736 ||  ||  ||  ||  || 6268860	-1.05	-0.85	-1.03	1.52	1.04	3.4	2.9	1.79	2.71
A_01_P013507	||  || A_01_P013507 ||  || Homo sapiens SEC5-like 1 (S. cerevisiae) (SEC5L1), mRNA. [NM_018303] ||  ||  || 6275519	-1.26	-1.37	-1.42	-0.12	-0.03	-0.47	-0.31	-0.44	-0.39
A_01_P019174	||  || A_01_P019174 ||  || Homo sapiens keratin associated protein 5-11 (KRTAP5-11), mRNA. [NM_001005405] ||  ||  || 6285128	-0.96	-0.94	-0.87	0.37	1.35	0.51	0.82	1.4	0.66
A_01_P012445	||  || A_01_P012445 ||  || ILLUMIGEN_MCQ_4838 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:5698 5 similar to Bases 1 to 1025 highly similar to human Unigene Hs.529772, mRNA sequence [CN641451] ||  ||  || 6290540	-1.05	-0.75	-1.18	1.42	0.46	1.54	1.16	0.53	0.64
A_01_P002770	||  || A_01_P002770 ||  || Homo sapiens high-mobility group 20A (HMG20A), mRNA [NM_018200] ||  ||  || 6268511	-1.36	-1.88	-1.56	-0.08	-0.26	-0.51	0.18	-0.32	-0.38
A_01_P016434	||  || A_01_P016434 ||  || Homo sapiens septin 6 (SEPT6), transcript variant I, mRNA. [NM_145799] ||  ||  || 6272408	-2.84	-1.98	-2.24	0.27	-0.62	-0.14	-0.61	-0.77	-0.65
A_01_P018392	||  || A_01_P018392 ||  || Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA [NM_005188] ||  ||  || 6275006	-2.33	-1.65	-1.89	0.37	-0.8	-0.29	-0.05	0.03	-0.16
A_01_P017209	||  || A_01_P017209 ||  || Homo sapiens haloacid dehalogenase-like hydrolase domain containing 1A (HDHD1A), mRNA. [NM_012080] ||  ||  || 6271275	-1.68	-2.23	-2.46	0.19	0	-0.48	-0.17	-0.85	-0.46
A_01_P013278	||  || A_01_P013278 ||  || Homo sapiens PR domain containing 1, with ZNF domain (PRDM1), transcript variant 1, mRNA. [NM_001198] ||  ||  || 6285748	-0.3	0.05	-0.71	3.17	2.06	3.99	3.11	1.64	3.67
A_01_P000075	||  || A_01_P000075 ||  || Homo sapiens transmembrane protein 5 (TMEM5), mRNA [NM_014254] ||  ||  || 6270360	-2.25	-1.63	-1.87	-0.42	-0.71	0.06	-0.22	0.29	-0.39
A_01_P016331	||  || A_01_P016331 ||  || Homo sapiens hypothetical protein LOC285513 (LOC285513), mRNA. [NM_198281] ||  ||  || 6267614	-2.89	-2.09	-2.19	-0.25	-0.13	0.27	-0.72	-0.34	-1.02
A_01_P007746	||  || A_01_P007746 ||  || Homo sapiens Scm-like with four mbt domains 1 (SFMBT1), mRNA [NM_016329] ||  ||  || 6267302	-1.79	-1.96	-1.32	-0.47	-0.04	-0.54	-0.39	-0.53	-0.35
A_01_P017397	||  || A_01_P017397 ||  || Homo sapiens tachykinin 3 (neuromedin K, neurokinin beta) (TAC3), mRNA [NM_013251] ||  ||  || 6271482	-1.18	-1.09	-1.25	1.29	0.11	1.02	1.53	0.39	1.21
A_01_P017637	||  || A_01_P017637 ||  || Homo sapiens G1 to S phase transition 2 (GSPT2), mRNA [NM_018094] ||  ||  || 6285958	-1.64	-1.71	-1.92	0.06	-0.82	0.31	-0.13	-0.2	0.05
A_01_P005413	||  || A_01_P005413 ||  || Homo sapiens non imprinted in Prader-Willi/Angelman syndrome 1 (NIPA1), mRNA. [NM_144599] ||  ||  || 6268696	-0.66	-0.93	-1.21	0.08	0.59	0.2	0.36	0.33	0.15
A_01_P004949	||  || A_01_P004949 ||  || Homo sapiens chromosome 2 open reading frame 29 (C2orf29), mRNA. [NM_017546] ||  ||  || 6292275	-0.87	-0.99	-0.76	0.55	0.6	0.42	0.41	-0.1	0.62
A_01_P002936	||  || A_01_P002936 ||  || Homo sapiens apolipoprotein L, 1 (APOL1), transcript variant 1, mRNA. [NM_003661] ||  ||  || 6280267	-0.73	-0.38	-0.71	1.32	0.4	0.74	1.01	0.72	1.06
A_01_P017544	||  || A_01_P017544 ||  || Homo sapiens olfactory receptor, family 5, subfamily T, member 1 (OR5T1), mRNA. [NM_001004745] ||  ||  || 6268642	-1.37	-0.99	-1.48	1.39	0.19	1.84	1.82	0.56	1.27
A_01_P011118	||  || A_01_P011118 ||  || AGENCOURT_11823222 NICHD_Rh_Ov1 Macaca mulatta cDNA clone IMAGE:6917788 5, mRNA sequence [CB309129] ||  ||  || 6274941	-1.31	-1.06	-1.08	0.05	-0.12	-0.14	0.22	-0.31	0.19
A_01_P004845	||  || A_01_P004845 ||  || PREDICTED: Macaca mulatta similar to Protein C20orf177 (LOC720556), mRNA [XR_014469] ||  ||  || 6287053	-0.63	-1.18	-0.68	0.75	0.22	0.91	1.23	0.66	1.13
A_01_P007092	||  || A_01_P007092 ||  || Homo sapiens 5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled) (HTR7), transcript variant d, mRNA [NM_019859] ||  ||  || 6285626	-0.89	-0.93	-1.01	0.98	0.75	0.21	1.41	1.14	1.73
A_01_P001434	||  || A_01_P001434 ||  || Homo sapiens coproporphyrinogen oxidase (CPOX), mRNA [NM_000097] ||  ||  || 6281818	-1.16	-1.51	-0.86	1.53	0.31	1.61	1.57	0.37	1.26
A_01_P001586	||  || A_01_P001586 ||  || Homo sapiens chondroitin sulfate GalNAcT-2 (GALNACT-2), mRNA [NM_018590] ||  ||  || 6267613	-1.26	-1.58	-0.52	1.22	0.35	1.29	0.94	0.38	1.14
A_01_P004887	||  || A_01_P004887 ||  || Homo sapiens torsin A interacting protein 1 (TOR1AIP1), mRNA. [NM_015602] ||  ||  || 6283805	-0.79	-1.36	-0.42	0.5	0.75	0.45	0.6	0.84	0.42
A_01_P007755	||  || A_01_P007755 ||  || Homo sapiens AT rich interactive domain 5B (MRF1-like) (ARID5B), mRNA [NM_032199] ||  ||  || 6281451	-1.84	-2.05	-1.57	0.62	0.18	0.18	0.07	-0.07	-0.79
A_01_P013359	||  || A_01_P013359 ||  || Homo sapiens chromosome 6 open reading frame 145 (C6orf145), mRNA [NM_183373] ||  ||  || 6280513	-1.35	-1.39	-0.59	0.64	0.39	0.65	0.68	-0.02	0.45
A_01_P018992	||  || A_01_P018992 ||  || Homo sapiens exostoses (multiple) 1 (EXT1), mRNA [NM_000127] ||  ||  || 6289372	-1.58	-1.31	-1.13	0.32	1.08	0.6	0.1	-0.13	0.34
A_01_P000653	||  || A_01_P000653 ||  || PREDICTED: Homo sapiens glucocorticoid induced transcript 1 (GLCCI1), mRNA [XM_166529] ||  ||  || 6277979	-2.7	-1.79	-2.01	0.25	-1.06	0.31	0.33	0	0.28
A_01_P006535	||  || A_01_P006535 ||  || PREDICTED: Homo sapiens nucleoporin 160kDa (NUP160), mRNA [XM_113678] ||  ||  || 6269110	-2.1	-1.49	-1.71	0.24	-0.61	0.49	0.47	-0.32	0
A_01_P016106	||  || A_01_P016106 ||  || ILLUMIGEN_MCQ_3236 Katze_MMPL2 Macaca mulatta cDNA 5 similar to human PSG5 (Hs.251850), mRNA sequence [CK232048] ||  ||  || 6285878	-0.01	-0.3	-0.27	1.8	0.99	2.16	1.85	1.07	1.66
A_01_P001468	||  || A_01_P001468 ||  || Homo sapiens lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa) (LCP2), mRNA. [NM_005565] ||  ||  || 6272853	-1.46	-1.11	-1.3	2.33	0.04	1.21	1.85	1.12	1.59
A_01_P007738	||  || A_01_P007738 ||  || Homo sapiens hypothetical protein FLJ30046 (FLJ30046), mRNA [NM_144595] ||  ||  || 6290334	-1.96	-2.21	-1.75	-0.71	-0.2	-0.8	-0.71	-0.35	-0.95
A_01_P013277	||  || A_01_P013277 ||  || Homo sapiens mitogen-activated protein kinase kinase kinase 8 (MAP3K8), mRNA [NM_005204] ||  ||  || 6288155	-2.13	-1.45	-1.27	1.12	-0.31	1.74	0.75	1.52	1.34
A_01_P003919	||  || A_01_P003919 ||  || Homo sapiens parvin, beta (PARVB), transcript variant 1, mRNA. [NM_001003828] ||  ||  || 6289736	-2	-1.38	-0.9	0.81	1.13	0.34	0.39	0.04	0.27
A_01_P001830	||  || A_01_P001830 ||  || Homo sapiens replication factor C (activator 1) 5, 36.5kDa (RFC5), transcript variant 2, mRNA [NM_181578] ||  ||  || 6268221	0.22	0.07	-0.12	1.99	1.29	1.94	1.52	1.1	1.42
A_01_P002162	||  || A_01_P002162 ||  || Homo sapiens glucocorticoid modulatory element binding protein 1 (GMEB1), transcript variant 1, mRNA [NM_006582] ||  ||  || 6293516	-1.94	-1.44	-1.25	0.9	0.42	0.72	0.52	-0.53	0.46
A_01_P000452	||  || A_01_P000452 ||  || Homo sapiens dual specificity phosphatase 5 (DUSP5), mRNA [NM_004419] ||  ||  || 6289074	-1.3	-0.71	-1	3.15	0.88	3.52	3.5	1.55	3.52
A_01_P020113	||  || A_01_P020113 ||  || Homo sapiens ubiquitin specific protease 28 (USP28), mRNA. [NM_020886] ||  ||  || 6267177	-1.93	-1.54	-1.13	0.46	0.45	-0.21	-0.21	-0.04	-0.16
A_01_P005427	||  || A_01_P005427 ||  || Homo sapiens chromosome 16 open reading frame 35 (C16orf35), mRNA. [NM_012075] ||  ||  || 6282843	-0.61	-0.75	-0.92	0.24	0.32	0.37	0.01	0.3	0.62
A_01_P018345	||  || A_01_P018345 ||  || Homo sapiens sin3-associated polypeptide, 30kDa (SAP30), mRNA [NM_003864] ||  ||  || 6279331	-1.63	-1.27	-2.74	0.1	-0.22	-0.19	0.21	-0.07	0.08
A_01_P009210	||  || A_01_P009210 ||  || Homo sapiens leucine zipper protein 1 (LUZP1), mRNA [NM_033631] ||  ||  || 6273020	-1.38	-1.48	-2.24	-0.46	-0.53	-0.25	-0.3	-0.41	-0.18
A_01_P019726	||  || A_01_P019726 ||  || Homo sapiens mucin 20 (MUC20), mRNA [NM_152673] ||  ||  || 6288287	0.49	-0.06	0.89	2.74	1.74	2.72	2.51	1.83	2.47
A_01_P015098	||  || A_01_P015098 ||  || Homo sapiens IKK interacting protein (IKIP), transcript variant 2, mRNA. [NM_201612] ||  ||  || 6274901	-1.68	-1.53	-0.59	1.5	0.21	1.58	0.98	0.48	1.37
A_01_P008132	||  || A_01_P008132 ||  || Homo sapiens hypothetical protein MGC39633 (MGC39633), mRNA [NM_152549] ||  ||  || 6268676	-2.73	-1.88	-1.67	-0.44	-0.15	-0.1	-0.63	0.48	-0.43
A_01_P013491	||  || A_01_P013491 ||  || Homo sapiens nucleolar protein 7, 27kDa (NOL7), mRNA [NM_016167] ||  ||  || 6273620	-1.99	-1.72	-1.52	-0.12	0.64	-0.25	-0.49	0.37	-0.34
A_01_P019804	||  || A_01_P019804 ||  || Homo sapiens mRNA for golgi associated PDZ and coiled-coil motif containing protein variant protein [AB209385] ||  ||  || 6274382	-1.22	-0.91	-1.06	0.3	0.11	-0.33	0.46	0.28	0.21
A_01_P000249	||  || A_01_P000249 ||  || PREDICTED: Homo sapiens hypothetical protein FLJ10747 (FLJ10747), mRNA [XM_371236] ||  ||  || 6292508	-0.36	-1.3	-0.23	0.94	0.72	0.99	1.27	1.14	0.76
A_01_P012646	||  || A_01_P012646 ||  || Homo sapiens IQ calmodulin-binding motif containing 1 (IQCB1), mRNA [NM_014642] ||  ||  || 6292102	-0.83	-1.3	-1.23	0.95	0.87	0.97	0.61	-0.24	0.59
A_01_P016432	||  || A_01_P016432 ||  || Homo sapiens natural killer-tumor recognition sequence (NKTR), transcript variant 1, mRNA. [NM_005385] ||  ||  || 6275059	-2.72	-2.9	-3.25	-1.15	-0.97	-1.83	-1.64	-1.6	-1.71
A_01_P007767	||  || A_01_P007767 ||  || PREDICTED: Homo sapiens similar to Heat shock cognate 71 kDa protein (LOC441198), mRNA [XM_496854] ||  ||  || 6293574	-0.64	-0.71	-0.5	0.66	0.29	0.17	0.73	0.57	0.35
A_01_P015299	||  || A_01_P015299 ||  || Homo sapiens TAR (HIV) RNA binding protein 1 (TARBP1), mRNA [NM_005646] ||  ||  || 6292718	-0.83	0.12	-1.02	1.34	1.38	0.62	1.13	1.35	1.59
A_01_P001759	||  || A_01_P001759 ||  || Homo sapiens similar to RIKEN cDNA 1500009M05 gene (LOC493856), mRNA. [NM_001008388] ||  ||  || 6283611	-1.93	-1.09	-2.06	0.39	0.56	-0.5	0.76	-0.02	0.26
A_01_P004686	||  || A_01_P004686 ||  || Homo sapiens solute carrier family 43, member 3 (SLC43A3), mRNA. [NM_014096] ||  ||  || 6293142	-1.43	-1.49	-1.01	1.36	0.45	0.85	0.08	0.04	0.44
