Curated Gene Symbol	Gene name	Description	Mean log2 (Fold change)	p-value
IL1A	IL1A	Homo sapiens interleukin 1, alpha (IL1A), mRNA [NM_000575]	-1.61790834	0.00025
CCL4	CCL4	Homo sapiens chemokine (C-C motif) ligand 4 (CCL4), transcript variant 1, mRNA [NM_002984]	-1.604711974	0.00014
	BC015776	Homo sapiens, clone IMAGE:4852110, mRNA. [BC015776]	-1.587070131	0.00001
SERPINB2	SERPINB2	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 2 (SERPINB2), mRNA [NM_002575]	-1.585465059	0.00034
IL4I1	IL4I1	Homo sapiens interleukin 4 induced 1 (IL4I1), transcript variant 2, mRNA [NM_172374]	-1.577350683	0.00001
NFE2L3	NFE2L3	Homo sapiens nuclear factor (erythroid-derived 2)-like 3 (NFE2L3), mRNA [NM_004289]	-1.544520305	0
	AV740906	AV740906 CB Homo sapiens cDNA clone CBFBBE12 5, mRNA sequence [AV740906]	-1.489876818	0
CXCL1	CXCL1	Homo sapiens chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA [NM_001511]	-1.476493237	0.0001
LPAR6	P2RY5	Homo sapiens purinergic receptor P2Y, G-protein coupled, 5 (P2RY5), mRNA [NM_005767]	-1.460944542	0
	THC2650074	Unknown	-1.423188189	0
ARMC9	ARMC9	Homo sapiens armadillo repeat containing 9 (ARMC9), mRNA [NM_025139]	-1.418209762	0.00001
CCL8	CCL8	Homo sapiens chemokine (C-C motif) ligand 8 (CCL8), mRNA [NM_005623]	-1.414167374	0.00275
GNG11	GNG11	Homo sapiens guanine nucleotide binding protein (G protein), gamma 11 (GNG11), mRNA [NM_004126]	-1.403856252	0.00007
IFIT1	IFIT1	Homo sapiens interferon-induced protein with tetratricopeptide repeats 1 (IFIT1), transcript variant 2, mRNA [NM_001548]	-1.393240981	0.00003
	BG547557	BG547557 602575410F1 NIH_MGC_77 Homo sapiens cDNA clone IMAGE:4703546 5, mRNA sequence [BG547557]	-1.389555953	0.00011
	BC031316	Homo sapiens cDNA clone IMAGE:5277380. [BC031316]	-1.383206349	0
OAS1	OAS1	Homo sapiens 2,5-oligoadenylate synthetase 1, 40/46kDa (OAS1), transcript variant 2, mRNA [NM_002534]	-1.373396282	0.00053
GHRL	GHRL	Homo sapiens ghrelin/obestatin preprohormone (GHRL), mRNA [NM_016362]	-1.359094678	0
GAPT	C5orf29	Homo sapiens chromosome 5 open reading frame 29 (C5orf29), mRNA [NM_152687]	-1.352939363	0.00009
ME1	ME1	Homo sapiens malic enzyme 1, NADP(+)-dependent, cytosolic (ME1), mRNA [NM_002395]	-1.351789435	0.00001
	AK125361	Homo sapiens cDNA FLJ43371 fis, clone NTONG2005969. [AK125361]	-1.341348148	0.00174
TNF	TNF	Homo sapiens tumor necrosis factor (TNF superfamily, member 2) (TNF), mRNA [NM_000594]	-1.33972216	0
ADAMDEC1	ADAMDEC1	Homo sapiens ADAM-like, decysin 1 (ADAMDEC1), mRNA [NM_014479]	-1.332697011	0.00008
	ENST00000251375	Leukocyte immunoglobulin-like receptor subfamily A member 1 precursor (Leukocyte immunoglobulin-like receptor 6) (LIR-6) (CD85i antigen). [Source:Uniprot/SWISSPROT;Acc:O75019] [ENST00000251375]	-1.318225188	0
CYP1A1	CYP1A1	Homo sapiens cytochrome P450, family 1, subfamily A, polypeptide 1 (CYP1A1), mRNA [NM_000499]	-1.313172287	0.00003
EPSTI1	EPSTI1	epithelial stromal interaction 1 isoform 2 [Source:RefSeq_peptide;Acc:NP_150280] [ENST00000313624]	-1.302201169	0.00009
C1orf186	C1orf186	Homo sapiens chromosome 1 open reading frame 186 (C1orf186), mRNA [NM_001007544]	-1.301624969	0.00002
LAMP3	LAMP3	Homo sapiens lysosomal-associated membrane protein 3 (LAMP3), mRNA [NM_014398]	-1.299328958	0.00001
LRG1	LRG1	Homo sapiens leucine-rich alpha-2-glycoprotein 1 (LRG1), mRNA [NM_052972]	-1.292466552	0.00005
	THC2651447	Unknown	-1.291349224	0.00012
C7orf29	C7orf29	Homo sapiens chromosome 7 open reading frame 29 (C7orf29), mRNA [NM_138434]	-1.289510696	0.00003
EPSTI1	EPSTI1	Homo sapiens epithelial stromal interaction 1 (breast) (EPSTI1), transcript variant 2, mRNA [NM_033255]	-1.287717779	0.0001
ZNF248	ZNF248	Homo sapiens zinc finger protein 248 (ZNF248), mRNA [NM_021045]	-1.280542134	0.00018
AMICA1	AMICA1	Homo sapiens adhesion molecule, interacts with CXADR antigen 1 (AMICA1), mRNA [NM_153206]	-1.274994314	0.00012
RBM12	RBM12	Homo sapiens RNA binding motif protein 12 (RBM12), transcript variant 1, mRNA [NM_006047]	-1.273838198	0.00155
	BI910665	603070430F1 NIH_MGC_118 Homo sapiens cDNA clone IMAGE:5219455 5, mRNA sequence [BI910665]	-1.273535422	0.00002
CD93	CD93	Homo sapiens CD93 molecule (CD93), mRNA [NM_012072]	-1.262816976	0.0002
IKBKE	IKBKE	Homo sapiens inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon (IKBKE), mRNA [NM_014002]	-1.258751677	0.00228
FAM82A1	FAM82A	Homo sapiens unknown mRNA. [AF435956]	-1.25859925	0.00321
PTGER2	PTGER2	Homo sapiens prostaglandin E receptor 2 (subtype EP2), 53kDa (PTGER2), mRNA [NM_000956]	-1.252003205	0.00001
RAB7B	RAB7B	Homo sapiens RAB7B, member RAS oncogene family (RAB7B), mRNA [NM_177403]	-1.250171834	0.00077
EGR1	EGR1	Homo sapiens early growth response 1 (EGR1), mRNA [NM_001964]	-1.249336401	0.00292
TNFSF10	TNFSF10	Homo sapiens tumor necrosis factor (ligand) superfamily, member 10 (TNFSF10), mRNA [NM_003810]	-1.230980136	0.00002
TRMT61B	FLJ20628	Homo sapiens hypothetical protein FLJ20628 (FLJ20628), mRNA [NM_017910]	-1.229398851	0.00089
ARHGAP31	CDGAP	Homo sapiens Cdc42 GTPase-activating protein (CDGAP), mRNA [NM_020754]	-1.223713868	0.00036
	A_32_P4882	Unknown	-1.22229184	0.00023
HNRNPU	HNRPU	Homo sapiens heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A) (HNRPU), transcript variant 1, mRNA [NM_031844]	-1.220482545	0.00007
ICAM1	ICAM1	Homo sapiens intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA [NM_000201]	-1.219905494	0.00021
CD101	IGSF2	Homo sapiens immunoglobulin superfamily, member 2 (IGSF2), mRNA [NM_004258]	-1.209401667	0.0014
MYC	MYC	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]	-1.207716787	0.00051
CASP1	CASP1	Homo sapiens caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase) (CASP1), transcript variant alpha, mRNA [NM_033292]	-1.200715329	0.00055
INTS6	INTS6	Homo sapiens integrator complex subunit 6 (INTS6), transcript variant 1, mRNA [NM_012141]	-1.200614854	0.00006
	AK026140	Homo sapiens cDNA: FLJ22487 fis, clone HRC10931. [AK026140]	-1.197608708	0.00006
HDAC9	HDAC9	Homo sapiens histone deacetylase 9 (HDAC9), transcript variant 3, mRNA [NM_014707]	-1.196644554	0.00005
FUCA1	FUCA1	Homo sapiens fucosidase, alpha-L- 1, tissue (FUCA1), mRNA [NM_000147]	-1.19324945	0.00209
STEAP4	STEAP4	Homo sapiens STEAP family member 4 (STEAP4), mRNA [NM_024636]	-1.177986734	0.00107
MYO1E	MYO1E	Human myosin-IC mRNA, complete cds. [U14391]	-1.174235481	0.00001
IL13RA1	IL13RA1	Homo sapiens interleukin 13 receptor, alpha 1 (IL13RA1), mRNA [NM_001560]	-1.173040932	0.00005
BTG2	BTG2	Homo sapiens BTG family, member 2 (BTG2), mRNA [NM_006763]	-1.170835386	0.00005
NRP1	NRP1	Homo sapiens neuropilin 1 (NRP1), transcript variant 3, mRNA [NM_001024629]	-1.168407831	0.00027
AMIGO2	AMIGO2	Homo sapiens adhesion molecule with Ig-like domain 2 (AMIGO2), mRNA [NM_181847]	-1.165693234	0.00002
N4BP2L2	PFAAP5	Homo sapiens phosphonoformate immuno-associated protein 5 (PFAAP5), mRNA [NM_014887]	-1.164673524	0.00007
CCR2	CCR2	Homo sapiens chemokine (C-C motif) receptor 2 (CCR2), transcript variant A, mRNA [NM_000647]	-1.163317559	0.00014
	THC2544236	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (10%) [THC2530569]	-1.161129311	0.00045
AMICA1	AMICA1	Homo sapiens adhesion molecule, interacts with CXADR antigen 1 (AMICA1), mRNA [NM_153206]	-1.16021803	0.00063
ADRB2	ADRB2	Homo sapiens adrenergic, beta-2-, receptor, surface (ADRB2), mRNA [NM_000024]	-1.147940784	0.0001
CIITA	CIITA	Human clone CIITA-8 MHC class II transactivator CIITA mRNA, complete cds. [U18259]	-1.145867759	0.00006
	LOC120379	Homo sapiens hypothetical protein BC019238 (LOC120379), mRNA [NM_138789]	-1.144757553	0.00009
LPCAT2	AYTL1	Homo sapiens mRNA; cDNA DKFZp686H22112 (from clone DKFZp686H22112). [BX641069]	-1.143329385	0.00013
GBP1	GBP1	Homo sapiens guanylate binding protein 1, interferon-inducible, 67kDa (GBP1), mRNA [NM_002053]	-1.13777482	0.0005
	W60781	W60781 zd26f05.r1 Soares_fetal_heart_NbHH19W Homo sapiens cDNA clone IMAGE:341793 5 similar to gb:J02874 FATTY ACID-BINDING PROTEIN, ADIPOCYTE (HUMAN);, mRNA sequence [W60781]	-1.136006816	0.00138
XAF1	BIRC4BP	Homo sapiens XIAP associated factor-1 (BIRC4BP), transcript variant 1, mRNA [NM_017523]	-1.134879424	0.00062
SERPINB9	SERPINB9	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 9 (SERPINB9), mRNA [NM_004155]	-1.134487651	0.00007
	THC2620813	Unknown	-1.128758916	0
RCBTB2	RCBTB2	Homo sapiens regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2 (RCBTB2), mRNA [NM_001268]	-1.123878234	0.00046
GBP1	GBP1	Homo sapiens guanylate binding protein 1, interferon-inducible, 67kDa (GBP1), mRNA [NM_002053]	-1.122831729	0.00219
KANK1	ANKRD15	Homo sapiens ankyrin repeat domain 15 (ANKRD15), transcript variant 2, mRNA [NM_153186]	-1.122453521	0.00001
BACH1	BACH1	Homo sapiens BTB and CNC homology 1, basic leucine zipper transcription factor 1 (BACH1), transcript variant 3, mRNA [NM_001011545]	-1.119384669	0.00001
HTR7	HTR7	Homo sapiens 5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled) (HTR7), transcript variant d, mRNA [NM_019859]	-1.118813651	0.00001
NQO1	NQO1	Homo sapiens NAD(P)H dehydrogenase, quinone 1 (NQO1), transcript variant 1, mRNA [NM_000903]	-1.11440645	0.00008
	THC2648584	Unknown	-1.113946529	0.00024
THBD	THBD	Homo sapiens thrombomodulin (THBD), mRNA [NM_000361]	-1.113702948	0.00221
	AA585242	AA585242 LTH022 HTCDL1 Homo sapiens cDNA 5/3, mRNA sequence [AA585242]	-1.109673358	0.00457
	THC2687922	Unknown	-1.108014655	0.00009
DUSP27	DUSP27	Novel protein. [Source:Uniprot/SPTREMBL;Acc:Q5VZP5] [ENST00000361200]	-1.106821408	0.00028
HCAR3	GPR109B	Homo sapiens G protein-coupled receptor 109B (GPR109B), mRNA [NM_006018]	-1.103819553	0.00019
MYOF	FER1L3	Homo sapiens fer-1-like 3, myoferlin (C. elegans) (FER1L3), transcript variant 1, mRNA [NM_013451]	-1.100153545	0.00012
GNAI1	GNAI1	Homo sapiens guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 (GNAI1), mRNA [NM_002069]	-1.099378117	0.00041
	AK024358	Homo sapiens cDNA FLJ14296 fis, clone PLACE1008455. [AK024358]	-1.094432039	0.00358
	ENST00000320378	Epithelial membrane protein 2 (EMP-2) (Protein XMP). [Source:Uniprot/SWISSPROT;Acc:P54851] [ENST00000320378]	-1.092780766	0.00154
	AK026195	Homo sapiens cDNA: FLJ22542 fis, clone HSI00196. [AK026195]	-1.092063684	0.00206
PRSS23	PRSS23	Homo sapiens protease, serine, 23 (PRSS23), mRNA [NM_007173]	-1.090106941	0.00011
RSU1	RSU1	Homo sapiens Ras suppressor protein 1 (RSU1), transcript variant 1, mRNA [NM_012425]	-1.088013704	0.00087
USP18	USP18	Homo sapiens ubiquitin specific peptidase 18 (USP18), mRNA [NM_017414]	-1.087421101	0.00053
TMEM45B	TMEM45B	Homo sapiens transmembrane protein 45B (TMEM45B), mRNA [NM_138788]	-1.082856676	0.00014
MYOF	FER1L3	Homo sapiens fer-1-like 3, myoferlin (C. elegans) (FER1L3), transcript variant 1, mRNA [NM_013451]	-1.081205985	0.00028
	THC2603259	Q96IM5_HUMAN (Q96IM5) RAB7B protein, complete [THC2603259]	-1.081023054	0.00549
RPL23AP82	MGC70863	Novel human gene mapping to chomosome 22. [AL365511]	-1.078881681	0
GAPT	C5orf29	Homo sapiens chromosome 5 open reading frame 29 (C5orf29), mRNA [NM_152687]	-1.076218189	0.00148
	A_24_P15803	Unknown	-1.073464249	0.00681
C9orf3	C9orf3	Homo sapiens chromosome 9 open reading frame 3 (C9orf3), mRNA [NM_032823]	-1.072148294	0.00027
	A_32_P159289	Unknown	-1.070270726	0.00014
ITGB5	ITGB5	Homo sapiens integrin, beta 5 (ITGB5), mRNA [NM_002213]	-1.069424349	0.00022
	LOC134145	Homo sapiens hypothetical protein LOC134145 (LOC134145), mRNA [NM_199133]	-1.068441957	0.00021
SAMD9L	SAMD9L	Homo sapiens sterile alpha motif domain containing 9-like (SAMD9L), mRNA [NM_152703]	-1.066710526	0.00167
CHML	CHML	Homo sapiens choroideremia-like (Rab escort protein 2) (CHML), mRNA [NM_001821]	-1.063923472	0.00302
	AW386276	AW386276 CM2-PT0015-141299-055-d11 PT0015 Homo sapiens cDNA, mRNA sequence [AW386276]	-1.063209404	0.0004
HEXIM1	HEXIM1	Homo sapiens hexamethylene bis-acetamide inducible 1 (HEXIM1), mRNA [NM_006460]	-1.057375339	0
PTGIR	PTGIR	Homo sapiens prostaglandin I2 (prostacyclin) receptor (IP) (PTGIR), mRNA [NM_000960]	-1.055702035	0.00037
	BX104982	BX104982 Soares_multiple_sclerosis_2NbHMSP Homo sapiens cDNA clone IMAGp998A14644, mRNA sequence [BX104982]	-1.054574017	0.00039
	AI247465	qh56b06.x1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:1848659 3, mRNA sequence [AI247465]	-1.053511218	0.0028
	THC2637028	Q8N4F7_HUMAN (Q8N4F7) Ring finger protein 175, partial (12%) [THC2637028]	-1.05202216	0.00075
BBS7	BBS7	Homo sapiens Bardet-Biedl syndrome 7 (BBS7), transcript variant 2, mRNA [NM_018190]	-1.050484917	0.00741
EPB41L3	EPB41L3	Homo sapiens erythrocyte membrane protein band 4.1-like 3 (EPB41L3), mRNA [NM_012307]	-1.050188238	0.00001
CARD17	INCA	Homo sapiens inhibitory caspase recruitment domain (CARD) protein (INCA), mRNA [NM_001007232]	-1.050053071	0.00113
RSAD2	RSAD2	Homo sapiens radical S-adenosyl methionine domain containing 2 (RSAD2), mRNA [NM_080657]	-1.049797794	0.00023
IFIT3	IFIT3	Homo sapiens interferon-induced protein with tetratricopeptide repeats 3 (IFIT3), mRNA [NM_001549]	-1.049294767	0.00347
FRY	FRY	Homo sapiens furry homolog (Drosophila) (FRY), mRNA [NM_023037]	-1.047935673	0.00459
	A_24_P814444	Unknown	-1.046667338	0.00001
PEX14	PEX14	Homo sapiens peroxisomal biogenesis factor 14, mRNA (cDNA clone IMAGE:4696946), partial cds. [BC017848]	-1.045813917	0.00002
CD93	CD93	Homo sapiens CD93 molecule (CD93), mRNA [NM_012072]	-1.045196667	0.00012
MX2	MX2	Homo sapiens myxovirus (influenza virus) resistance 2 (mouse) (MX2), mRNA [NM_002463]	-1.043667675	0.00013
FLVCR2	C14orf58	Homo sapiens chromosome 14 open reading frame 58 (C14orf58), mRNA [NM_017791]	-1.040538158	0.00007
AGL	AGL	Homo sapiens amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III) (AGL), transcript variant 4, mRNA [NM_000028]	-1.039098529	0.00001
	THC2538841	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (8%) [THC2538841]	-1.037657185	0.0004
MON2	MON2	Homo sapiens MON2 homolog (S. cerevisiae) (MON2), mRNA [NM_015026]	-1.037598181	0.00005
TNFRSF21	TNFRSF21	Homo sapiens tumor necrosis factor receptor superfamily, member 21 (TNFRSF21), mRNA [NM_014452]	-1.035535612	0.00004
SLC2A6	SLC2A6	Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 6 (SLC2A6), mRNA [NM_017585]	-1.034340696	0.00647
CCDC103	CCDC103	coiled-coil domain containing 103 [Source:RefSeq_peptide;Acc:NP_998772] [ENST00000357776]	-1.032951404	0.00032
MX1	MX1	Homo sapiens myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) (MX1), mRNA [NM_002462]	-1.031924431	0.00222
WWC3	WWC3	Homo sapiens WWC family member 3 (WWC3), mRNA [NM_015691]	-1.031407646	0.00079
	ENST00000339914	Zinc finger protein 493. [Source:Uniprot/SWISSPROT;Acc:Q6ZR52] [ENST00000339914]	-1.030219803	0.0006
CLEC5A	CLEC5A	Homo sapiens C-type lectin domain family 5, member A (CLEC5A), mRNA [NM_013252]	-1.029892223	0.00066
IL2RA	IL2RA	Homo sapiens interleukin 2 receptor, alpha (IL2RA), mRNA [NM_000417]	-1.029183604	0.00547
ABHD12	ABHD12	Homo sapiens abhydrolase domain containing 12 (ABHD12), transcript variant 2, mRNA [NM_015600]	-1.028960858	0.00188
TRAF1	TRAF1	Homo sapiens TNF receptor-associated factor 1 (TRAF1), mRNA [NM_005658]	-1.027958856	0.00086
AMER1	FAM123B	Homo sapiens family with sequence similarity 123B (FAM123B), mRNA [NM_152424]	-1.027083134	0.00506
ME1	ME1	Homo sapiens NADP-dependent malic enzyme mRNA, complete cds. [L34035]	-1.024787864	0.00009
	ENST00000329015	Homo sapiens cDNA FLJ33471 fis, clone BRAMY2002158. [AK090790]	-1.02460036	0.00325
MAGOHB	FLJ10292	Homo sapiens mago-nashi homolog 2 (FLJ10292), mRNA [NM_018048]	-1.02424929	0
	BX394393	BX394393 Homo sapiens NEUROBLASTOMA COT 25-NORMALIZED Homo sapiens cDNA clone CS0DC014YL02 3-PRIME, mRNA sequence [BX394393]	-1.023655808	0.00117
HPGDS	PGDS	Homo sapiens prostaglandin D2 synthase, hematopoietic (PGDS), mRNA [NM_014485]	-1.020230778	0.00006
	ENST00000380643	CI039_HUMAN Isoform 2 of Q9NXG0 - Homo sapiens (Human) [Source:Uniprot/Varsplic;Acc:Q9NXG0-2] [ENST00000380643]	-1.01875079	0.00019
	AW875618	AW875618 QV2-PT0012-040400-124-b11 PT0012 Homo sapiens cDNA, mRNA sequence [AW875618]	-1.017250629	0.00009
PIGG	PIGG	Homo sapiens phosphatidylinositol glycan anchor biosynthesis, class G (PIGG), mRNA [NM_017733]	-1.016454887	0.00011
FGL2	FGL2	Homo sapiens fibrinogen-like 2 (FGL2), mRNA [NM_006682]	-1.01549855	0.00114
DLEU2	DLEU2	full-length cDNA clone CS0DJ009YK01 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human). [CR625878]	-1.015214599	0.00002
OAS2	OAS2	Homo sapiens 2-5-oligoadenylate synthetase 2, 69/71kDa (OAS2), transcript variant 1, mRNA [NM_016817]	-1.011400535	0.00411
	ENST00000374537	Homo sapiens cDNA: FLJ23327 fis, clone HEP12630, highly similar to HSZNF37 Homo sapiens ZNF37A mRNA for zinc finger protein. [AK026980]	-1.009455505	0.00022
	CD743044	CD743044 UI-H-FT1-bjx-e-03-0-UI.s1 NCI_CGAP_FT1 Homo sapiens cDNA clone UI-H-FT1-bjx-e-03-0-UI 3, mRNA sequence [CD743044]	-1.008614165	0.00109
GCH1	GCH1	Homo sapiens GTP cyclohydrolase 1 (dopa-responsive dystonia) (GCH1), transcript variant 1, mRNA [NM_000161]	-1.005289832	0.00005
VWA5A	LOH11CR2A	Homo sapiens loss of heterozygosity, 11, chromosomal region 2, gene A (LOH11CR2A), transcript variant 2, mRNA [NM_198315]	-1.001097095	0.00028
MT2A	MT2A	Homo sapiens metallothionein 2A (MT2A), mRNA [NM_005953]	1.001778328	0.00089
LMAN1	LMAN1	Homo sapiens lectin, mannose-binding, 1 (LMAN1), mRNA [NM_005570]	1.003368765	0.00043
	ENST00000326470	Protein phosphatase Slingshot homolog 1 (EC 3.1.3.48) (EC 3.1.3.16) (SSH-1L) (hSSH-1L). [Source:Uniprot/SWISSPROT;Acc:Q8WYL5] [ENST00000326470]	1.006491021	0.00045
SDCBP	SDCBP	Homo sapiens cDNA FLJ46804 fis, clone TRACH3032570, highly  similar to Homo sapiens syndecan binding protein (syntenin) (SDCBP). [AK128645]	1.007113133	0.00014
RBM38	RBM38	Homo sapiens RNA binding motif protein 38 (RBM38), transcript variant 1, mRNA [NM_017495]	1.007914892	0.00333
MTMR3	MTMR3	Homo sapiens myotubularin related protein 3 (MTMR3), transcript variant 3, mRNA [NM_021090]	1.01003294	0.00029
SMOX	SMOX	Homo sapiens spermine oxidase (SMOX), transcript variant 1, mRNA [NM_175839]	1.011937516	0.00215
RSPRY1	RSPRY1	ring finger and SPRY domain containing 1 [Source:RefSeq_peptide;Acc:NP_588609] [ENST00000290786]	1.011998078	0.00298
GEM	GEM	Homo sapiens GTP binding protein overexpressed in skeletal muscle (GEM), transcript variant 1, mRNA [NM_005261]	1.013745756	0.0076
	THC2707492	Unknown	1.015799182	0.00097
	ENST00000310074	MGC21874 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q86TJ2] [ENST00000310074]	1.01645767	0.00075
TMEM248	C7orf42	Homo sapiens chromosome 7 open reading frame 42 (C7orf42), mRNA [NM_017994]	1.016956757	0.00754
WAPAL	WAPAL	Homo sapiens wings apart-like homolog (Drosophila) (WAPAL), mRNA [NM_015045]	1.019001526	0.00492
TOR1AIP2	TOR1AIP2	Torsin-1A-interacting protein 2 (Lumenal domain-like LAP1). [Source:Uniprot/SWISSPROT;Acc:Q8NFQ8] [ENST00000367612]	1.021919569	0.00085
CRNKL1	CRNKL1	Homo sapiens Crn, crooked neck-like 1 (Drosophila) (CRNKL1), mRNA [NM_016652]	1.023465986	0.00253
RAB1A	RAB1A	Homo sapiens RAB1A, member RAS oncogene family (RAB1A), mRNA [NM_004161]	1.025741345	0.00714
CCNK	CCNK	Homo sapiens cyclin K (CCNK), mRNA [NM_003858]	1.026430915	0.00312
YTHDC1	YTHDC1	Homo sapiens YTH domain containing 1 (YTHDC1), transcript variant 1, mRNA [NM_001031732]	1.02785484	0.00038
GUCA1B	GUCA1B	Homo sapiens guanylate cyclase activator 1B (retina) (GUCA1B), mRNA [NM_002098]	1.029169292	0.00002
ZNF720	ZNF720	full-length cDNA clone CS0DN002YO09 of Adult brain of Homo sapiens (human). [CR611323]	1.029977178	0.00083
ARMC8	ARMC8	Homo sapiens armadillo repeat containing 8 (ARMC8), transcript variant 3, mRNA [NM_213654]	1.030797226	0.00048
SIK1	SNF1LK	Homo sapiens SNF1-like kinase (SNF1LK), mRNA [NM_173354]	1.031934303	0.00054
PABPC4	PABPC4	Homo sapiens poly(A) binding protein, cytoplasmic 4 (inducible form) (PABPC4), mRNA [NM_003819]	1.034602862	0.00628
RFX1	RFX1	Homo sapiens regulatory factor X, 1 (influences HLA class II expression) (RFX1), mRNA [NM_002918]	1.036221255	0.00409
MLL5	MLL5	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila) (MLL5), transcript variant 1, mRNA [NM_182931]	1.036271427	0.00117
TMEM187	CXorf12	Homo sapiens chromosome X open reading frame 12 (CXorf12), mRNA [NM_003492]	1.036477293	0.00166
CELF1	CUGBP1	Homo sapiens CUG triplet repeat, RNA binding protein 1 (CUGBP1), transcript variant 2, mRNA [NM_198700]	1.038397735	0.00046
TG	TG	Homo sapiens thyroglobulin (TG), mRNA [NM_003235]	1.039922122	0.00187
HNRNPA0	HNRPA0	Homo sapiens heterogeneous nuclear ribonucleoprotein A0 (HNRPA0), mRNA [NM_006805]	1.040220236	0.00903
C1orf43	C1orf43	Homo sapiens chromosome 1 open reading frame 43 (C1orf43), transcript variant 2, mRNA [NM_138740]	1.042286483	0.00731
CIRBP	CIRBP	Homo sapiens cold inducible RNA binding protein (CIRBP), mRNA [NM_001280]	1.042523328	0.00798
CKLF	CKLF	Homo sapiens chemokine-like factor (CKLF), transcript variant 6, mRNA [NM_001040139]	1.043449738	0.00079
YWHAZ	YWHAZ	Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide (YWHAZ), transcript variant 2, mRNA [NM_145690]	1.043731988	0.00048
C20orf111	C20orf111	Homo sapiens chromosome 20 open reading frame 111 (C20orf111), mRNA [NM_016470]	1.04520414	0.00019
	AK123861	Homo sapiens cDNA FLJ41867 fis, clone OCBBF2005546. [AK123861]	1.046803185	0.00001
