Gene Symbol	Fold Increase Upon REST Knockdown
DRD2	7.205867752
DRD2	6.862521533
DTX1	2.536535191
EGR4	2.246063782
EHD2	2.135806141
EMID1	2.06796605
EMID1	2.012083574
ESRRB	2.155977375
EVC	2.03770429
FAM107A	3.20179954
FAM123C	6.454485438
FAM155B	2.070203458
FAM78B	2.401815191
FBXL16	4.758027174
FBXL16	4.287563615
FBXO2	2.330615121
FEV	3.01212522
FGF12	9.586293225
FGF12	9.284130777
FLJ40125	2.216650831
FNDC5	2.790106463
FOXN4	2.994505022
FSTL4	3.711985551
FSTL4	2.671350278
FSTL5	7.042968071
GABBR2	4.365299422
GABBR2	4.304739209
GABRD	5.962165589
GAGE7	2.314889416
GAP43	2.25166609
GDAP1L1	5.579742309
GMFG	2.103150582
GNAO1	9.19666348
GNAO1	3.277003012
GNAO1	3.117113544
GNG4	3.648184606
GOLGA7B	7.995721132
GOLGA7B	5.816569152
GPR158	24.86749863
GPR19	8.188126388
GPRIN1	2.957859363
GRIK2	2.485355565
GRM2	2.947385554
GSG1L	2.070207657
GYLTL1B	2.234396812
HBA1	7.043358871
HBA2	7.714156082
HBQ1	2.52203652
HCN3	2.132765104
HIST1H4I	2.116522166
HMP19	18.0940672
HPCA	4.887595089
HRH3	2.461885745
HRH3	2.343517502
HRH3	2.027204282
HSPB1	2.049382716
HTR3A	3.332229184
HTR3A	2.853825955
HTR3A	2.232838124
IFI27L2	2.245865386
IGDCC3	2.045009904
IGF2	2.352738055
IGSF21	2.695854169
INA	7.013295648
INSM2	10.32629874
ITGB1BP3	2.188052368
JAKMIP1	2.242709777
JPH3	3.388838557
JPH3	3.040033867
KCNA2	2.185729768
KCNA2	2.016338879
KCNB1	11.86045073
KCNB1	9.990442044
KCNC1	2.630732073
KCNH2	2.979234816
KCNH2	2.744895188
KCNH6	2.839045216
KCNH6	2.549833513
KCNK12	7.408362538
KCNK3	11.24431401
KCNS2	3.767739641
KCNS2	2.251978969
KIAA1409	9.966952637
KLK1	2.293590945
KLK8	2.102131795
kringle containing transmembrane protein 2	2.514535993
kringle containing transmembrane protein 2	2.237111198
L11370	2.660363014
L1CAM	4.748742574
L1CAM	4.645095399
LIN28	2.210346365
LOC100128300	2.221366535
LRRC24	2.656961442
MAPK11	2.147383289
MAPK8IP2	3.516158126
MAPK8IP2	3.226780421
MDK	2.545074838
MDK	2.15874459
MEIS3	3.193164206
MEIS3	3.073942422
MEIS3	2.833461902
MEIS3	2.545865432
Membrane-associated ring finger (C3HC4) 4	7.670017823
Membrane-associated ring finger (C3HC4) 4	4.497064666
MMP15	2.317158631
MMP15	2.200124388
MMP2	2.514163724
MMP24	11.37825604
MYT1	2.021169702
NCAN	7.71920646
NDUFA3	2.2746078
NDUFA3	2.065034464
NDUFB1	2.010478174
NEFH	9.948289551
NELL2	2.689491536
NES	2.507923949
neurofascin homolog (chicken)	2.801831589
NFASC	2.058709221
NKAIN1	2.483272873
NM_001039212	2.992144335
NMNAT2	3.435495599
NMNAT2	2.024595276
NOS2	2.066001888
NOVA2	2.387038813
NPDC1	2.119968938
NPPB	2.009253435
NPTX2	3.740087656
NPTX2	3.520839871
NPTX2	3.413169947
NPTXR	2.92399891
NRSN1	2.197115845
NTNG1	2.751259697
OGDHL	2.465687662
OLFM1	6.451491941
OLFM1	5.659874635
OLFM3	6.089191409
OLFM3	4.510702404
OPRL1	2.029314943
PALM	2.090787047
PAQR4	2.086276376
PAX2	2.089768237
PCBP3	5.664179891
PCBP3	5.244671934
PCBP3	4.946705524
PCDH1	2.41600536
PCDH21	2.015725878
PCDH8	2.673359736
PCDH8	2.090647768
PCSK1	7.318392581
PDE1B	2.16711264
PDE2A	4.814879294
PDE2A	4.320600939
PDZD4	3.094744312
PDZD4	2.965324512
PEX5L	3.205086145
PEX5L	3.043103091
PGBD5	3.565172242
PHF21B	12.57322231
PHF21B	2.379548919
PHYHIPL	9.22624952
POU4F2	18.0348126
PPP2R2C	2.116044404
PRKCB	2.42497639
PRKCB	2.136027535
PRKCG	2.360024944
PRMT8	12.06027755
PRMT8	2.866308901
prune homolog 2 (Drosophila)	3.370323825
PRUNE2	2.101762983
PSD	3.800250653
PSMB9	2.693705283
PSMB9	2.558275767
PTGDS	2.154427594
PTGDS	2.10765576
PTPRH	3.767700472
PTPRH	2.897333712
PTPRH	2.739056695
PTPRN2	2.621216228
PTPRN2	2.609067016
PTPRN2	2.498411873
PTPRO	3.415056279
PTPRO	3.275081705
PTPRO	2.431589125
PVALB	3.894306629
PVALB	3.172670036
RAB11FIP4	2.963498439
RAB3C	3.520031028
RAP1 GTPase activating protein	2.677900403
RAP1GAP	3.131640855
RAP1GAP	2.535293124
RAP1GAP	2.477818531
RASL10B	2.482417945
RELL2	2.412060479
RELL2	2.197111096
reticulon 2	2.850298047
RGS7	2.147552856
RHBDL3	2.234617282
RIMS2	7.589282093
RIPPLY2	3.942635225
RLTPR	8.216496713
RNF208	2.001298378
RTBDN	4.131946034
RTN2	3.318516535
RTN2	2.754148247
RTN2	2.248578243
RTN4RL1	2.91379083
RUNDC3A	9.376557566
RUNDC3A	7.88545547
RUNDC3A	4.129317927
SAPS1	2.070751162
SARM1	2.257750752
SBK1	2.028063239
SCAMP5	4.81843397
SCG2	3.39595545
SCG2	2.885059265
SCG3	29.04813021
SCGB1D2	5.885052032
SCGB1D2	5.308285326
SCGB1D2	4.748384942
SCGN	2.242457871
SCN3B	10.05411817
SCN8A	2.099750837
SCRT1	3.336665914
SCRT1	2.174278298
SEZ6	11.19374058
SEZ6L	3.743231953
SEZ6L	2.53972382
SEZ6L	2.417104825
SEZ6L2	2.018412252
SH2D3C	2.342709438
SH2D3C	2.338716631
SLC18A3	4.697162001
SLC29A2	2.037811452
SLC32A1	4.376633943
SLC32A1	2.447860145
SLC39A3	2.366602525
SLC5A5	2.545782175
SLC6A17	3.027979964
SLC6A17	2.509630404
SLC8A2	6.066109397
SLITRK1	20.48871484
SLITRK1	18.34191629
SMPD3	3.026612977
SMPD3	2.887152947
SNAP25	39.88056351
SNCB	2.733141942
SNCB	2.236729741
SPTBN4	2.405894104
SPTBN4	2.19028865
SRXN1	3.408014501
SST	7.481488439
STMN2	42.79002594
STMN3	2.62617693
STX1A	2.920026445
STXBP5L	2.059064312
SUSD4	2.005987572
SVOP	4.172573043
SVOP	2.781435907
SYN1	10.45458296
SYN1	9.25243821
SYP	5.342900805
SYT14	5.899685498
SYT14	4.161306314
SYT2	5.385965706
SYT2	4.729794335
SYT2	3.352870973
SYT4	33.76066237
SYT7	4.118385705
T-cell leukemia/lymphoma 6	2.143186527
TCL1B	2.379888026
TMEM132E	2.408551997
TMEM145	3.83700037
TMEM151A	2.343745563
TMEM179	3.867417939
TMEM180	2.531907133
TMEM198	3.766470899
TMEM200A	4.600559165
TMEM200A	3.583365682
TMEM54	2.607268111
TMEM54	2.595972704
TNRC4	2.595395485
TNRC4	2.209181552
TP53I11	2.268148481
TP53I11	2.039182911
TRIM67	6.214736691
TTYH1	2.013353916
UNC5A	4.991622198
VGF	3.055002932
VSTM2L	3.222997101
VSTM2L	2.56508698
WNT6	2.576207473
ZDHHC22	2.361966931
