Gene Symbol	Reference Sequence	Probe Name	Log2 Fold Change	P Value	Function
Etfb	NM_026695	A_51_P155212	-0.27	0.0005	Apoptosis & Mitochondrial Function; Oxidative Stres; DNA Damage
Syvn1	NM_028769	A_52_P580895	1.63	1.61 x 10-6	Protein Degradation
Arih2	NM_011790	A_52_P669843	0.37	0.0002	Protein Degradation
Ube2o	NM_173755	A_51_P184573	-0.49	0.0003	Protein Degradation
Praf2	NM_138602	A_52_P597338	0.37	5.34 x 10-5	Cellular Trafficking
Plekhb2	NM_145516	A_51_P356705	0.41	0.0001	Cellular Trafficking
Snx9	NM_025664	A_51_P371323	0.31	0.0003	Cellular Trafficking
Cog8	NM_139229	A_51_P130824	0.29	0.0004	Cellular Trafficking
Plekhb2	NM_145516	A_52_P220229	0.33	0.0004	Cellular Trafficking
Npal2	NM_145469	A_51_P339055	0.43	3.81 x 10-5	Transmembrane, Transporters
Slc25a3	AK028313	A_52_P486063	0.43	0.0001	Transmembrane, Transporters
Prrt1	NM_030890	A_51_P339233	0.96	0.0001	Transmembrane, Transporters
Tmem106a	NM_144830	A_51_P444666	0.29	0.0001	Transmembrane, Transporters
Tspan2	NM_027533	A_51_P394394	-0.31	0.0002	Transmembrane, Transporters
Sdc2	NM_008304	A_51_P157255	-0.22	0.0002	Transmembrane, Transporters
Abcc1	NM_008576	A_52_P601688	0.25	0.0002	Transmembrane, Transporters
Slc7a11	NM_011990	A_52_P663446	0.54	0.0004	Transmembrane, Transporters
Slc25a4	NM_007450	A_51_P108334	-0.31	0.0005	Transmembrane, Transporters
Lmod1	NM_053106	A_51_P429567	-0.55	4.79 x 10-6	Structure, Adhesion
Tpm2	NM_009416	A_52_P418477	-0.44	6.47 x 10-5	Structure, Adhesion
Acta2	AK077294	A_52_P239556	-0.51	0.0001	Structure, Adhesion
Mdga1	XM_193868	A_51_P403193	0.37	0.0001	Structure, Adhesion
Tnxb	NM_031176	A_51_P505530	-0.38	0.0001	Structure, Adhesion
Ndufb7	NM_025843	A_51_P519276	-0.26	0.0002	Structure, Adhesion
Myl9	BC055439	A_51_P308298	-0.39	0.0003	Structure, Adhesion
Lgtn	NM_010709	A_52_P352327	0.21	0.0003	Structure, Adhesion
Jam4	NM_028078	A_51_P118225	0.33	0.0004	Structure, Adhesion
Kif23	NM_024245	A_52_P27602	0.47	0.0004	Structure, Adhesion
Ncam1	X15052	A_51_P380309	-0.44	0.0005	Structure, Adhesion
Dbnl	NM_013810	A_52_P189957	0.28	0.0005	Structure, Adhesion
Adam11	BC054536	A_52_P205255	1.92	2.81 x 10-8	Proteases
Ela2a	NM_007919	A_51_P504538	-1.11	5.74 x 10-6	Proteases
Adamts8	NM_013906	A_51_P110830	-0.59	4.51 x 10-5	Proteases
Prss3	NM_011645	A_51_P394552	-1.55	5.04 x 10-5	Proteases
Klk7	NM_011872	A_52_P418429	1.01	0.0001	Proteases
Ctsc	NM_009982	A_52_P195839	0.36	0.0005	Proteases
1700102J08Rik	AK020344	A_52_P552844	1.26	1.69 x 10-7	Other Genes/Predicted Genes
BC038700	BC038700	A_52_P490767	0.87	1.01 x 10-6	Other Genes/Predicted Genes
4933425L06Rik	NM_025751	A_51_P309556	1.63	1.05 x 10-6	Other Genes/Predicted Genes
4933411K16Rik	BC049703	A_51_P116636	1.12	1.68 x 10-6	Other Genes/Predicted Genes
ENSMUST00000024982	ENSMUST00000024982	A_51_P209200	1.24	1.79 x 10-6	Other Genes/Predicted Genes
Pcnt	NM_008787	A_52_P495237	0.42	7.31 x 10-6	Other Genes/Predicted Genes
BC021395	NM_144861	A_51_P375406	-0.33	1.24 x 10-5	Other Genes/Predicted Genes
1700019G17Rik	NM_029331	A_52_P300355	0.62	1.50 x 10-5	Other Genes/Predicted Genes
Rusc2	NM_001037709	A_51_P319572	-0.46	1.76 x 10-5	Other Genes/Predicted Genes
Ipmk	NM_027184	A_52_P81101	0.29	1.95 x 10-5	Other Genes/Predicted Genes
Sema4a	NM_013658	A_51_P195066	0.3	1.96 x 10-5	Other Genes/Predicted Genes
Olfr615	NM_147080	A_51_P279714	1.03	2.16 x 10-5	Other Genes/Predicted Genes
Als2cl	NM_146228	A_51_P360678	0.23	2.23 x 10-5	Other Genes/Predicted Genes
Gng12	NM_025278	A_52_P614731	0.3	2.71 x 10-5	Other Genes/Predicted Genes
AK087259	AK087259	A_52_P1196772	0.41	2.90 x 10-5	Other Genes/Predicted Genes
Cyhr1	AK028994	A_52_P668393	-0.27	3.09 x 10-5	Other Genes/Predicted Genes
9530091C08Rik	NM_177159	A_52_P434499	0.5	3.48 x 10-5	Other Genes/Predicted Genes
Wdr41	AK149993	A_52_P293556	0.25	3.66 x 10-5	Other Genes/Predicted Genes
Ibrdc3	XM_204030	A_51_P475156	0.55	4.20 x 10-5	Other Genes/Predicted Genes
Ctla2a	NM_007796	A_51_P180747	-0.86	4.38 x 10-5	Other Genes/Predicted Genes
Clec2h	NM_053165	A_51_P231072	0.57	4.73 x 10-5	Other Genes/Predicted Genes
ENSMUST00000016144	ENSMUST00000016144	A_51_P189105	-0.59	5.19 x 10-5	Other Genes/Predicted Genes
1190017O12Rik	NM_138743	A_51_P314521	-0.3	5.76 x 10-5	Other Genes/Predicted Genes
H2afy3	NM_026230	A_51_P487668	-0.25	5.83 x 10-5	Other Genes/Predicted Genes
Gda	NM_010266	A_52_P116006	0.55	6.44 x 10-5	Other Genes/Predicted Genes
2210010C04Rik	NM_023333	A_51_P414661	-1.05	7.14 x 10-5	Other Genes/Predicted Genes
AI661453	NM_145489	A_51_P290399	0.25	7.26 x 10-5	Other Genes/Predicted Genes
Ppp1r12b	XM_136178	A_52_P65524	-0.42	8.13 x 10-5	Other Genes/Predicted Genes
Olfr788	NM_146551	A_52_P412362	0.61	8.31 x 10-5	Other Genes/Predicted Genes
Rnase1	NM_011271	A_52_P249798	-0.7	8.77 x 10-5	Other Genes/Predicted Genes
Rimbp2	XM_132396	A_52_P520037	0.49	9.29 x 10-5	Other Genes/Predicted Genes
NAP115274-1	NAP115274-1	A_52_P5263	0.57	9.56 x 10-5	Other Genes/Predicted Genes
Ctla2b	AK150917	A_51_P489522	-0.75	0.0001	Other Genes/Predicted Genes
LOC329575	NM_001024849	A_52_P520429	-0.38	0.0001	Other Genes/Predicted Genes
NAP115147-1	NAP115147-1	A_52_P187565	0.51	0.0001	Other Genes/Predicted Genes
Gch1	NM_008102	A_52_P298002	0.42	0.0001	Other Genes/Predicted Genes
Chac1	NM_026929	A_51_P134812	1.72	0.0001	Other Genes/Predicted Genes
Sema6c	NM_011351	A_51_P324251	0.76	0.0001	Other Genes/Predicted Genes
1810058I24Rik	AK082166	A_52_P477649	-0.21	0.0001	Other Genes/Predicted Genes
BC023202	AK141429	A_52_P387598	-0.81	0.0001	Other Genes/Predicted Genes
Zfp384	NM_175557	A_52_P124046	0.24	0.0001	Other Genes/Predicted Genes
ENSMUST00000042017	ENSMUST00000042017	A_52_P98210	0.35	0.0001	Other Genes/Predicted Genes
Mkx	NM_177595	A_51_P519008	-0.4	0.0002	Other Genes/Predicted Genes
1810049H19Rik	NM_001003405	A_51_P276486	-1.65	0.0002	Other Genes/Predicted Genes
Rims1	BC055294	A_52_P1922462	-0.53	0.0002	Other Genes/Predicted Genes
Gtlf3b	NM_025294	A_51_P501312	-0.28	0.0002	Other Genes/Predicted Genes
Kdelr3	NM_134090	A_52_P473966	0.61	0.0002	Other Genes/Predicted Genes
Mrgprf	NM_145379	A_51_P206203	-0.44	0.0002	Other Genes/Predicted Genes
Lrrc1	NM_172528	A_52_P189984	0.38	0.0002	Other Genes/Predicted Genes
2900064B16Rik	AK013746	A_51_P334563	-0.33	0.0002	Other Genes/Predicted Genes
Asph	AK165260	A_52_P306351	-0.28	0.0002	Other Genes/Predicted Genes
Phyhd1	NM_172267	A_51_P357606	-0.35	0.0002	Other Genes/Predicted Genes
Tbc1d20	NM_024196	A_52_P450881	0.4	0.0002	Other Genes/Predicted Genes
Dnase2	AK018651	A_51_P380129	-0.3	0.0002	Other Genes/Predicted Genes
Galnt5	NM_172855	A_51_P264114	0.37	0.0002	Other Genes/Predicted Genes
R3hdm1	NM_181750	A_52_P414225	0.34	0.0002	Other Genes/Predicted Genes
Abpd	NM_001009952	A_51_P491627	-0.96	0.0003	Other Genes/Predicted Genes
1110064P04Rik	NM_172391	A_51_P235297	0.24	0.0003	Other Genes/Predicted Genes
Zbtb12	NM_198886	A_51_P200610	-0.36	0.0003	Other Genes/Predicted Genes
D430033N04Rik	AK144138	A_51_P316801	-0.3	0.0003	Other Genes/Predicted Genes
Gle1l	NM_028923	A_51_P328133	0.29	0.0003	Other Genes/Predicted Genes
Txndc13	BC054558	A_51_P319379	-0.37	0.0003	Other Genes/Predicted Genes
Rnase1	NM_011271	A_51_P472153	-1.07	0.0003	Other Genes/Predicted Genes
Chrm4	NM_007699	A_51_P418325	0.33	0.0003	Other Genes/Predicted Genes
Hspa2	NM_008301	A_52_P176391	-0.39	0.0003	Other Genes/Predicted Genes
Gna12	NM_010302	A_51_P303231	0.34	0.0003	Other Genes/Predicted Genes
2010004M13Rik	AK008102	A_51_P333831	-0.36	0.0003	Other Genes/Predicted Genes
Gpd2	AK079336	A_52_P373938	0.27	0.0004	Other Genes/Predicted Genes
Setd7	NM_080793	A_52_P306496	-0.33	0.0004	Other Genes/Predicted Genes
Echdc3	NM_024208	A_51_P475378	-0.25	0.0004	Other Genes/Predicted Genes
AI841821	AI841821	A_51_P146208	-0.72	0.0004	Other Genes/Predicted Genes
1110030E23Rik	AK153779	A_51_P335104	-0.28	0.0004	Other Genes/Predicted Genes
2700094K13Rik	NM_001037279	A_52_P396774	0.32	0.0004	Other Genes/Predicted Genes
1700012B18Rik	NM_027950	A_51_P189361	-0.35	0.0004	Other Genes/Predicted Genes
2600014M03Rik	NM_178620	A_52_P65703	0.42	0.0005	Other Genes/Predicted Genes
Gpsm1	NM_153410	A_51_P386585	-0.36	0.0005	Other Genes/Predicted Genes
Tbc1d23	NM_026254	A_52_P448220	0.42	0.0005	Other Genes/Predicted Genes
LOC627905	AK013921	A_51_P510916	-0.34	0.0005	Other Genes/Predicted Genes
Zfp329	NM_026046	A_52_P270145	-0.29	0.0005	Other Genes/Predicted Genes
