Gene Symbole	Gene Description
Amz2	archaelysin family metallopeptidase 2
Anapc4	anaphase promoting complex subunit 4
Ang	angiogenin, ribonuclease, RNase A famil
Ankzf1	ankyrin repeat and zinc finger domain c
Apoc1	apolipoprotein C-I
Arap2	ArfGAP with RhoGAP domain, ankyrin repe
Asb6	ankyrin repeat and SOCS box-containing
Atg12	ATG12 autophagy related 12 homolog (S.
Atp1b1	ATPase, Na+/K+ transporting, beta 1 pol
Atp6v0e2	ATPase, H+ transporting V0 subunit e2
Atrx	alpha thalassemia/mental retardation sy
B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglu
B3galnt1	beta-1,3-N-acetylgalactosaminyltransfer
B4GALNT1	beta-1,4-N-acetyl-galactosaminyl transf
BACE1	beta-site APP-cleaving enzyme 1
BAMBI	BMP and activin membrane-bound inhibito
BARD1	BRCA1 associated RING domain 1
BATF3	basic leucine zipper transcription fact
BBS12	Bardet-Biedl syndrome 12
BBS2	Bardet-Biedl syndrome 2
BCAT2	branched chain aminotransferase 2, mito
BCKDHA	branched chain keto acid dehydrogenase
BCKDHB	branched chain keto acid dehydrogenase
BCL11A	B-cell CLL/lymphoma 11A (zinc finger pr
BDH1	3-hydroxybutyrate dehydrogenase, type 1
BEND6	BEN domain containing 6
BICC1	bicaudal C homolog 1 (Drosophila)
BICD1	bicaudal D homolog 1 (Drosophila)
BID	BH3 interacting domain death agonist
BIVM	basic, immunoglobulin-like variable mot
BNIP3L	BCL2/adenovirus E1B 19kDa interacting p
BOD1L	biorientation of chromosomes in cell di
BPHL	biphenyl hydrolase-like (serine hydrola
BPTF	bromodomain PHD finger transcription fa
BRAF	v-raf murine sarcoma viral oncogene hom
BRAP	BRCA1 associated protein
BRCA1	breast cancer 1, early onset
BRD8	bromodomain containing 8
BRE	brain and reproductive organ-expressed
BRIX1	brix domain containing 2
BST2	bone marrow stromal cell antigen 2
BTBD11	BTB (POZ) domain containing 11
BTBD2	BTB (POZ) domain containing 2
BTD	biotinidase
BTG3	BTG family, member 3
BTN3A1	butyrophilin, subfamily 3, member A1
BTN3A2	butyrophilin, subfamily 3, member A2
BUB1	budding uninhibited by benzimidazoles 1
Bat2l2	BAT2 domain containing 1
Baz2b	bromodomain adjacent to zinc finger dom
Bbs1	Bardet-Biedl syndrome 1
Bcl2l12	BCL2-like 12 (proline rich)
Blm	Bloom syndrome, RecQ helicase-like
Bmf	Bcl2 modifying factor
Bnc2	basonuclin 2
Bri3	brain protein I3
Brwd3	bromodomain and WD repeat domain contai
Btn3a3	butyrophilin, subfamily 3, member A3
Bves	blood vessel epicardial substance
C10orf114	chromosome 10 open reading frame 114
C10orf116	chromosome 10 open reading frame 116
C10orf47	chromosome 10 open reading frame 47
C10orf78	chromosome 10 open reading frame 78
C10orf88	chromosome 10 open reading frame 88
C11orf24	chromosome 11 open reading frame 24
C11orf49	chromosome 11 open reading frame 49
C11orf52	chromosome 11 open reading frame 52
C11orf70	chromosome 11 open reading frame 70
C11orf80	chromosome 11 open reading frame 80
C11orf82	chromosome 11 open reading frame 82
C12orf5	chromosome 12 open reading frame 5
C12orf57	chromosome 12 open reading frame 57
C13orf27	chromosome 13 open reading frame 27
C14orf159	chromosome 14 open reading frame 159
C14orf182	chromosome 14 open reading frame 182
C14orf28	chromosome 14 open reading frame 28
C14orf37	chromosome 14 open reading frame 37
C14orf45	chromosome 14 open reading frame 45
C15orf39	chromosome 15 open reading frame 39
C16orf58	chromosome 16 open reading frame 58
C16orf7	chromosome 16 open reading frame 7
C16orf73	chromosome 16 open reading frame 73
C16orf75	chromosome 16 open reading frame 75
C17orf100	chromosome 17 open reading frame 100
C17orf103	chromosome 17 open reading frame 103
C17orf51	chromosome 17 open reading frame 51
C17orf53	chromosome 17 open reading frame 53
C17orf61	chromosome 17 open reading frame 61
C17orf85	chromosome 17 open reading frame 85
C17orf97	chromosome 17 open reading frame 97
C18orf54	chromosome 18 open reading frame 54
C18orf8	chromosome 18 open reading frame 8
C19orf18	chromosome 19 open reading frame 18
C19orf21	chromosome 19 open reading frame 21
C19orf48	chromosome 19 open reading frame 48
C1GALT1	core 1 synthase, glycoprotein-N-acetylg
C1RL	complement component 1, r subcomponent-
C1orf112	chromosome 1 open reading frame 112
C1orf124	chromosome 1 open reading frame 124
C1orf135	chromosome 1 open reading frame 135
C1orf163	chromosome 1 open reading frame 163
C1orf186	chromosome 1 open reading frame 186
C1orf213	chromosome 1 open reading frame 213
C1orf57	chromosome 1 open reading frame 57
C1orf63	chromosome 1 open reading frame 63
C1ql1	complement component 1, q subcomponent-
C1r	complement component 1, r subcomponent
C20orf196	chromosome 20 open reading frame 196
C20orf199	chromosome 20 open reading frame 199
C20orf96	chromosome 20 open reading frame 96
C21orf119	chromosome 21 open reading frame 119
C21orf45	chromosome 21 open reading frame 45
C21orf7	chromosome 21 open reading frame 7
C2orf49	chromosome 2 open reading frame 49
C2orf63	chromosome 2 open reading frame 63
C2orf72	chromosome 2 open reading frame 72
C2orf81	chromosome 2 open reading frame 81
C3	complement component 3
C3orf52	chromosome 3 open reading frame 52
C3orf59	chromosome 3 open reading frame 59
C4orf3	chromosome 4 open reading frame 3
C4orf34	chromosome 4 open reading frame 34
C4orf47	chromosome 4 open reading frame 47
C5ar1	complement component 5a receptor 1
C5orf13	chromosome 5 open reading frame 13
C5orf27	chromosome 5 open reading frame 27
C5orf34	chromosome 5 open reading frame 34
C5orf39	chromosome 5 open reading frame 39
C5orf41	chromosome 5 open reading frame 41
C5orf53	chromosome 5 open reading frame 53
C5orf62	MSTP150
C6orf1	chromosome 6 open reading frame 1
C6orf105	chromosome 6 open reading frame 105
C6orf145	chromosome 6 open reading frame 145
C6orf225	chromosome 6 open reading frame 225
C6orf226	chromosome 6 open reading frame 226
C6orf52	chromosome 6 open reading frame 52
C6orf57	chromosome 6 open reading frame 57
C6orf99	similar to Putative uncharacterized pro
C7orf13	chromosome 7 open reading frame 13
C7orf29	chromosome 7 open reading frame 29
C7orf40	chromosome 7 open reading frame 40
C7orf50	chromosome 7 open reading frame 50
C7orf60	chromosome 7 open reading frame 60
C7orf63	chromosome 7 open reading frame 63
C8orf4	chromosome 8 open reading frame 4
C9orf100	chromosome 9 open reading frame 100
C9orf109	chromosome 9 open reading frame 109
C9orf150	chromosome 9 open reading frame 150
C9orf46	chromosome 9 open reading frame 46
C9orf69	chromosome 9 open reading frame 69
C9orf9	chromosome 9 open reading frame 9
C9orf91	chromosome 9 open reading frame 91
C9orf95	chromosome 9 open reading frame 95
CA13	carbonic anhydrase XIII
CABLES1	Cdk5 and Abl enzyme substrate 1
CACHD1	cache domain containing 1
CACNA2D3	calcium channel, voltage-dependent, alp
CACNB3	calcium channel, voltage-dependent, bet
CADM1	cell adhesion molecule 1
CALB1	calbindin 1, 28kDa
CALCOCO1	calcium binding and coiled-coil domain
CALD1	caldesmon 1
CAMK2D	calcium/calmodulin-dependent protein ki
CAMK2G	calcium/calmodulin-dependent protein ki
CAMTA1	calmodulin binding transcription activa
CAND2	cullin-associated and neddylation-disso
CAPN1	calpain 1, (mu/I) large subunit
CAPRIN2	caprin family member 2
CAPS	calcyphosine
CARD10	caspase recruitment domain family, memb
CARD8	caspase recruitment domain family, memb
CASC5	cancer susceptibility candidate 5
CASP6	caspase 6, apoptosis-related cysteine p
CBLN2	cerebellin 2 precursor
CBY1	chibby homolog 1 (Drosophila)
CCDC113	coiled-coil domain containing 113
CCDC125	coiled-coil domain containing 125
CCDC14	coiled-coil domain containing 14
CCDC28A	coiled-coil domain containing 28A
CCDC68	coiled-coil domain containing 68
CCDC86	coiled-coil domain containing 86
CCDC88A	coiled-coil domain containing 88A
CCDC92	coiled-coil domain containing 92
CCL26	chemokine (C-C motif) ligand 26
CCNA1	cyclin A1
CCNA2	cyclin A2
CCNB1	cyclin B1
CCND1	cyclin D1
CCNG2	cyclin G2
CCRN4L	CCR4 carbon catabolite repression 4-lik
CCT6B	chaperonin containing TCP1, subunit 6B
CD109	CD109 molecule
CD302	CD302 molecule
CD3EAP	CD3e molecule, epsilon associated prote
CD83	CD83 molecule
CD9	CD9 molecule
CD97	CD97 molecule
CD99L2	CD99 molecule-like 2
CDC25A	cell division cycle 25 homolog A (S. po
CDC34	cell division cycle 34 homolog (S. cere
CDC42BPB	CDC42 binding protein kinase beta (DMPK
CDC7	cell division cycle 7 homolog (S. cerev
CDCA4	cell division cycle associated 4
CDCA5	cell division cycle associated 5
CDCA8	cell division cycle associated 8
CDCP1	CUB domain containing protein 1
CDH13	cadherin 13, H-cadherin (heart)
CDH16	cadherin 16, KSP-cadherin
CDK19	cell division cycle 2-like 6 (CDK8-like
CDK5RAP3	CDK5 regulatory subunit associated prot
CDKN1A	cyclin-dependent kinase inhibitor 1A (p
CDKN1B	cyclin-dependent kinase inhibitor 1B (p
CDKN2AIP	CDKN2A interacting protein
CDKN2C	cyclin-dependent kinase inhibitor 2C (p
CDKN2D	cyclin-dependent kinase inhibitor 2D (p
CDS1	CDP-diacylglycerol synthase (phosphatid
CDV3	CDV3 homolog (mouse)
CEBPB	CCAAT/enhancer binding protein (C/EBP),
CEBPG	CCAAT/enhancer binding protein (C/EBP),
CECR1	cat eye syndrome chromosome region, can
CELSR2	cadherin, EGF LAG seven-pass G-type rec
CENPC1	centromere protein C 1
CENPE	centromere protein E, 312kDa
CENPF	centromere protein F, 350/400ka (mitosi
CENPI	centromere protein I
CENPK	centromere protein K
CENPL	centromere protein L
CEP120	centrosomal protein 120kDa
CEP152	centrosomal protein 152kDa
CEP290	centrosomal protein 290kDa
CEP72	centrosomal protein 72kDa
CETN2	centrin, EF-hand protein, 2
CFB	complement factor B
CHD6	chromodomain helicase DNA binding prote
CHEK1	CHK1 checkpoint homolog (S. pombe)
CHKA	choline kinase alpha
CHKB	carnitine palmitoyltransferase 1B (musc
CHMP2A	chromatin modifying protein 2A
CHST11	carbohydrate (chondroitin 4) sulfotrans
CKAP2L	cytoskeleton associated protein 2-like
CLCN6	chloride channel 6
CLDN1	claudin 1
CLDN14	claudin 14
CLDN2	claudin 2
CLDN23	claudin 23
CLIP2	CAP-GLY domain containing linker protei
CLIP3	CAP-GLY domain containing linker protei
CLK2	CDC-like kinase 2
CLTCL1	clathrin, heavy chain-like 1
CLYBL	citrate lyase beta like
CMPK2	cytidine monophosphate (UMP-CMP) kinase
CMTM4	CKLF-like MARVEL transmembrane domain c
CMTM7	CKLF-like MARVEL transmembrane domain c
CNIH3	cornichon homolog 3 (Drosophila)
CNN2	calponin 2
CNOT6L	CCR4-NOT transcription complex, subunit
CNTNAP1	contactin associated protein 1
COL18A1	collagen, type XVIII, alpha 1
COL1A1	collagen, type I, alpha 1
COL1A2	collagen, type I, alpha 2
COL7A1	collagen, type VII, alpha 1
COQ10B	coenzyme Q10 homolog B (S. cerevisiae)
COQ5	coenzyme Q5 homolog, methyltransferase
CORT	apoptosis-inducing, TAF9-like domain 1
CP110	CP110 protein
CPA4	carboxypeptidase A4
CPEB3	cytoplasmic polyadenylation element bin
CRADD	CASP2 and RIPK1 domain containing adapt
CREB3L4	cAMP responsive element binding protein
CREB5	cAMP responsive element binding protein
CRELD1	cysteine-rich with EGF-like domains 1
CRIP2	cysteine-rich protein 2
CRISPLD1	cysteine-rich secretory protein LCCL do
CRISPLD2	cysteine-rich secretory protein LCCL do
CRNDE	colorectal neoplasia differentially exp
CROT	carnitine O-octanoyltransferase
CRYAB	crystallin, alpha B
CRYL1	crystallin, lambda 1
CRYZL1	crystallin, zeta (quinone reductase)-li
CSGALNACT1	chondroitin sulfate N-acetylgalactosami
CSRNP2	cysteine-serine-rich nuclear protein 2
CTGF	connective tissue growth factor
CTH	cystathionase (cystathionine gamma-lyas
CTHRC1	collagen triple helix repeat containing
CTNNBIP1	catenin, beta interacting protein 1
CTNS	cystinosis, nephropathic
CTPS	CTP synthase
CTSL2	cathepsin L2
CTXN1	cortexin 1
CUL7	cullin 7
CUX1	cut-like homeobox 1
CXCL2	chemokine (C-X-C motif) ligand 2
CXXC5	CXXC finger 5
CYFIP2	cytoplasmic FMR1 interacting protein 2
CYHR1	cysteine/histidine-rich 1
CYP1B1	cytochrome P450, family 1, subfamily B,
CYP27C1	cytochrome P450, family 27, subfamily C
CYP2U1	cytochrome P450, family 2, subfamily U,
CYP51A1	cytochrome P450, family 51, subfamily A
Camk1d	calcium/calmodulin-dependent protein ki
Camta2	calmodulin binding transcription activa
Card6	caspase recruitment domain family, memb
Cblb	Cas-Br-M (murine) ecotropic retroviral
Cbs	cystathionine-beta-synthase
Ccdc80	coiled-coil domain containing 80
Ccnl2	cyclin L2
Cd55	CD55 molecule, decay accelerating facto
Cd70	CD70 molecule
Cdc45	CDC45 cell division cycle 45-like (S. c
Cdca2	cell division cycle associated 2
Cdkl3	cyclin-dependent kinase-like 3
Cdt1	chromatin licensing and DNA replication
Celsr3	solute carrier family 26, member 6
Cenpq	centromere protein Q
Cep110	centrosomal protein 110kDa
Cep70	centrosomal protein 70kDa
Ces2	carboxylesterase 2 (intestine, liver)
Chac2	ChaC, cation transport regulator homolo
Chsy3	chondroitin sulfate synthase 3
Cmbl	carboxymethylenebutenolidase homolog (P
Cnnm4	cyclin M4
Cnpy4	canopy 4 homolog (zebrafish)
Cnrip1	cannabinoid receptor interacting protei
Cobll1	COBL-like 1
Coch	coagulation factor C homolog, cochlin (
Col17a1	collagen, type XVII, alpha 1
Col5a1	collagen, type V, alpha 1
Col6a3	collagen, type VI, alpha 3
Coq4	coenzyme Q4 homolog (S. cerevisiae)
Cps1	carbamoyl-phosphate synthetase 1, mitoc
Cpsf6	cleavage and polyadenylation specific f
Cpt1c	carnitine palmitoyltransferase 1C
Crat	carnitine acetyltransferase
Crem	cAMP responsive element modulator
Ctso	cathepsin O
Cxcl3	chemokine (C-X-C motif) ligand 3
Cyp24a1	cytochrome P450, family 24, subfamily A
Cytsb	cytospin B
D2hgdh	D-2-hydroxyglutarate dehydrogenase
DACT1	dapper, antagonist of beta-catenin, hom
DCAF6	IQ motif and WD repeats 1
DCAF8	WD repeat domain 42A
DCDC2	doublecortin domain containing 2
DCLK1	doublecortin-like kinase 1
DCLRE1B	DNA cross-link repair 1B (PSO2 homolog,
DCUN1D3	DCN1, defective in cullin neddylation 1
DDAH1	dimethylarginine dimethylaminohydrolase
DDIT3	DNA-damage-inducible transcript 3
DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polype
DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide
DDX60L	DEAD (Asp-Glu-Ala-Asp) box polypeptide
DECR1	2,4-dienoyl CoA reductase 1, mitochondr
DECR2	2,4-dienoyl CoA reductase 2, peroxisoma
DENND2A	DENN/MADD domain containing 2A
DEPDC1B	DEP domain containing 1B
DEPDC7	DEP domain containing 7
DFFB	DNA fragmentation factor, 40kDa, beta p
DGAT1	diacylglycerol O-acyltransferase homolo
DGKI	diacylglycerol kinase, iota
DHCR24	24-dehydrocholesterol reductase
DHCR7	7-dehydrocholesterol reductase
DHDPSL	N-acetylneuraminate pyruvate lyase 2 (p
DHTKD1	dehydrogenase E1 and transketolase doma
DHX32	DEAH (Asp-Glu-Ala-His) box polypeptide
DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide
DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide
DIAPH2	diaphanous homolog 2 (Drosophila)
DIXDC1	DIX domain containing 1
DKC1	dyskeratosis congenita 1, dyskerin
DLGAP5	discs, large (Drosophila) homolog-assoc
DNA2	DNA replication helicase 2 homolog (yea
DNAJB13	DnaJ (Hsp40) related, subfamily B, memb
DNAJC25	DnaJ (Hsp40) homolog, subfamily C , mem
DNAL4	dynein, axonemal, light chain 4
DNASE2	deoxyribonuclease II, lysosomal
DNM1	dynamin 1
DNMBP	dynamin binding protein
DNMT3B	DNA (cytosine-5-)-methyltransferase 3 b
DOCK1	dedicator of cytokinesis 1
DOCK11	dedicator of cytokinesis 11
DPCD	deleted in a mouse model of primary cil
DPP3	dipeptidyl-peptidase 3
DPYD	dihydropyrimidine dehydrogenase
DSCC1	defective in sister chromatid cohesion
DST	dystonin
DUSP1	dual specificity phosphatase 1
DUSP3	dual specificity phosphatase 3
DUSP4	dual specificity phosphatase 4
DVL3	dishevelled, dsh homolog 3 (Drosophila)
DYNC2LI1	dynein, cytoplasmic 2, light intermedia
DYSF	dysferlin, limb girdle muscular dystrop
DZIP1	DAZ interacting protein 1
DZIP1L	DAZ interacting protein 1-like
Dars2	aspartyl-tRNA synthetase 2, mitochondri
Dbf4	DBF4 homolog (S. cerevisiae)
Dbndd1	dysbindin (dystrobrevin binding protein
Dcaf15	chromosome 19 open reading frame 72
Dclk2	doublecortin-like kinase 2
Ddx60	DEAD (Asp-Glu-Ala-Asp) box polypeptide
Depdc1	DEP domain containing 1
Dfna5	deafness, autosomal dominant 5
Dhrs2	dehydrogenase/reductase (SDR family) me
Dmrt3	doublesex and mab-3 related transcripti
Dopey2	dopey family member 2
Dph3b	DPH3, KTI11 homolog (S. cerevisiae)
Dyx1c1	dyslexia susceptibility 1 candidate 1
E2F1	E2F transcription factor 1
E2F7	E2F transcription factor 7
E2F8	E2F transcription factor 8
EBF4	early B-cell factor 4
EBP	emopamil binding protein (sterol isomer
EEA1	early endosome antigen 1
EFCAB7	EF-hand calcium binding domain 7
EFEMP1	EGF-containing fibulin-like extracellul
EFEMP2	EGF-containing fibulin-like extracellul
EFHC1	EF-hand domain (C-terminal) containing
EFHD1	EF-hand domain family, member D1
EFNA1	ephrin-A1
EFNA4	ephrin-A4
EHBP1	EH domain binding protein 1
EID3	EP300 interacting inhibitor of differen
EIF2AK2	eukaryotic translation initiation facto
EIF2C2	eukaryotic translation initiation facto
EIF4EBP1	eukaryotic translation initiation facto
EIF5	eukaryotic translation initiation facto
ELFN2	extracellular leucine-rich repeat and f
ELL2	elongation factor, RNA polymerase II, 2
ELOVL6	ELOVL family member 6, elongation of lo
EMG1	EMG1 nucleolar protein homolog (S. cere
EML1	echinoderm microtubule associated prote
EMR1	egf-like module containing, mucin-like,
ENDOD1	endonuclease domain containing 1
ENG	endoglin
ENGASE	endo-beta-N-acetylglucosaminidase
ENOSF1	enolase superfamily member 1
EPB41L1	erythrocyte membrane protein band 4.1-l
EPHA2	EPH receptor A2
EPHA4	EPH receptor A4
EPM2AIP1	EPM2A (laforin) interacting protein 1
EPS8L2	EPS8-like 2
EPSTI1	epithelial stromal interaction 1 (breas
ERAP1	endoplasmic reticulum aminopeptidase 1
ERCC5	excision repair cross-complementing rod
ERCC6L	excision repair cross-complementing rod
ERI3	exoribonuclease 3
ERMAP	erythroblast membrane-associated protei
ERRFI1	ERBB receptor feedback inhibitor 1
ESCO2	establishment of cohesion 1 homolog 2 (
ESPL1	extra spindle pole bodies homolog 1 (S.
ETS1	v-ets erythroblastosis virus E26 oncoge
ETV2	ets variant 2
ETV5	ets variant 5
EVL	Enah/Vasp-like
EYA4	eyes absent homolog 4 (Drosophila)
EZH1	enhancer of zeste homolog 1 (Drosophila
Echdc2	enoyl Coenzyme A hydratase domain conta
Efhd2	EF-hand domain family, member D2
Egr1	early growth response 1
Eif1	eukaryotic translation initiation facto
Eif4g3	eukaryotic translation initiation facto
Eif5a2	eukaryotic translation initiation facto
Eif5b	eukaryotic translation initiation facto
Eml2	echinoderm microtubule associated prote
En2	engrailed homeobox 2
Enah	enabled homolog (Drosophila)
Enc1	ectodermal-neural cortex (with BTB-like
Epas1	endothelial PAS domain protein 1
Ept1	selenoprotein I
Erbb2	v-erb-b2 erythroblastic leukemia viral
Ets2	v-ets erythroblastosis virus E26 oncoge
Evi2a	ecotropic viral integration site 2A
Exo1	exonuclease 1
Extl2	exostoses (multiple)-like 2
F11r	F11 receptor
F12	coagulation factor XII (Hageman factor)
FADS2	fatty acid desaturase 2
FAM113B	family with sequence similarity 113, me
FAM114A1	family with sequence similarity 114, me
FAM126A	family with sequence similarity 126, me
FAM127A	family with sequence similarity 127, me
FAM129A	family with sequence similarity 129, me
FAM134B	family with sequence similarity 134, me
FAM169A	family with sequence similarity 169, me
FAM24B	family with sequence similarity 24, mem
FAM40B	family with sequence similarity 40, mem
FAM49A	family with sequence similarity 49, mem
FAM54B	family with sequence similarity 54, mem
FAM59B	family with sequence similarity 59, mem
FAM64A	family with sequence similarity 64, mem
FAM78A	family with sequence similarity 78, mem
FAM89B	family with sequence similarity 89, mem
FAM8A1	family with sequence similarity 8, memb
FANCA	Fanconi anemia, complementation group A
FANCE	Fanconi anemia, complementation group E
FANK1	fibronectin type III and ankyrin repeat
FARS2	phenylalanyl-tRNA synthetase 2, mitocho
FARSB	phenylalanyl-tRNA synthetase, beta subu
FBLN2	fibulin 2
FBRSL1	fibrosin-like 1
FBXO3	F-box protein 3
FBXO32	F-box protein 32
FBXO43	F-box protein 43
FBXO9	F-box protein 9
FBXW9	F-box and WD repeat domain containing 9
FDPS	farnesyl diphosphate synthase (farnesyl
FEN1	flap structure-specific endonuclease 1
FGF2	fibroblast growth factor 2 (basic)
FGF5	fibroblast growth factor 5
FGFBP1	fibroblast growth factor binding protei
FHDC1	FH2 domain containing 1
FIGNL1	fidgetin-like 1
FKBP1A	FK506 binding protein 1A, 12kDa
FKBP7	FK506 binding protein 7
FLCN	folliculin
FLJ10213	hypothetical protein FLJ10213
FLJ20021	hypothetical LOC90024
FLJ27352	hypothetical LOC145788
FLJ36031	hypothetical protein FLJ36031
FLJ44342	hypothetical LOC645460
FLJ45513	hypothetical LOC729220
FLJ90757	hypothetical LOC440465
FLRT2	fibronectin leucine rich transmembrane
FMNL1	formin-like 1
FMNL2	formin-like 2
FNBP4	formin binding protein 4
FNDC1	fibronectin type III domain containing
FNDC3B	fibronectin type III domain containing
FOLR1	folate receptor 1 (adult)
FOSL1	FOS-like antigen 1
FOXC1	forkhead box C1
FOXO4	forkhead box O4
FOXQ1	forkhead box Q1
FOXS1	forkhead box S1
FTH1	ferritin, heavy polypeptide 1
FUK	fucokinase
FUT4	fucosyltransferase 4 (alpha (1,3) fucos
FXR1	fragile X mental retardation, autosomal
FXYD2	FXYD domain containing ion transport re
FYN	FYN oncogene related to SRC, FGR, YES
FZD2	frizzled homolog 2 (Drosophila)
Faah	fatty acid amide hydrolase
Fam100b	family with sequence similarity 100, me
Fam105a	family with sequence similarity 105, me
Fam113a	family with sequence similarity 113, me
Fam117a	family with sequence similarity 117, me
Fam131b	family with sequence similarity 131, me
Fam162a	family with sequence similarity 162, me
Fam167a	family with sequence similarity 167, me
Fam46a	family with sequence similarity 46, mem
Fam83h	family with sequence similarity 83, mem
Fancd2	Fanconi anemia, complementation group D
Fbn1	fibrillin 1
Fbn2	fibrillin 2
Fbxl2	F-box and leucine-rich repeat protein 2
Fbxo41	F-box protein 41
Fbxo45	F-box protein 45
Fbxo46	F-box protein 46
Fbxo5	F-box protein 5
Fgd2	FYVE, RhoGEF and PH domain containing 2
Fgfrl1	fibroblast growth factor receptor-like
