Affy Probeset ID	Gene Symbol	Gene Title	FoldÅ-Change
219388_at	GRHL2	grainyheadÅ-like 2 (Drosophila)	1.59
218638_s_at	SPON2	spondin 2, extracellular matrix protein	1.6
241347_at	KIAA1618	KIAA1618	1.6
236739_at	LOC150622	hypothetical LOC150622	1.6
209282_at	PRKD2	protein kinase D2	1.6
243618_s_at	ZNF827	Zinc finger protein 827	1.6
1560830_a_at	LOC147646	hypothetical protein LOC147646	1.61
212070_at	GPR56	G proteinÅ-coupled receptor 56	1.61
213688_at	CALM1	calmodulin 1 (phosphorylase kinase, delta)	1.61
216836_s_at	ERBB2	vÅ-erbÅ-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma de	1.62
210797_s_at	OASL	2Å-5Å-oligoadenylate synthetaseÅ-like	1.63
205660_at	OASL	2Å-5Å-oligoadenylate synthetaseÅ-like	1.64
236717_at	FAM179A	family with sequence similarity 179, member A	1.64
1553186_x_at	RASEF	RAS and EFÅ-hand domain containing	1.65
233157_x_at	CCDC114	coiledÅ-coil domain containing 114	1.65
204731_at	TGFBR3	transforming growth factor, beta receptor III	1.68
1553185_at	RASEF	RAS and EFÅ-hand domain containing	1.68
229441_at	PRSS23	Protease, serine, 23	1.69
209716_at	CSF1	colony stimulating factor 1 (macrophage)	1.71
220784_s_at	UTS2	urotensin 2	1.73
219566_at	PLEKHF1	pleckstrin homology domain containing, family F (with FYVE domain) member 1	1.75
227835_at	LOC100132181	Hypothetical protein LOC100132181	1.76
227819_at	LGR6	leucineÅ-rich repeatÅ-containing G proteinÅ-coupled receptor 6	1.81
207509_s_at	LAIR2	leukocyteÅ-associated immunoglobulinÅ-like receptor 2	1.82
209728_at	HLAÅ-DRB4	major histocompatibility complex, class II, DR beta 4	1.92
