Probeset	P Value	FDR	Fold change	Direction	Symbol	Name
226783_at	0.0002	0.0012	1.56	UP	AGXT2L2	Aminotransferase homologue MGC:15875
214766_s_at	0.0004	0.0021	1.52	UP	AHCTF1	AT hook containing transcription factor 1
200848_at	0.0252	0.0247	1.72	UP	AHCYL1	S-adenosylhomocysteine hydrolase-like 1
220199_s_at	0.0351	0.0303	2.24	UP	AIDA	axin interactor, dorsalization associated
224151_s_at	0.0127	0.0161	1.52	UP	AK3	Adenylate kinase 3 (AK3)
210625_s_at	0.0421	0.0339	1.55	UP	AKAP1	A kinase (PRKA) anchor protein 1
236006_s_at	0	0.0001	1.92	UP	AKAP10	A kinase (PRKA) anchor protein 10
218064_s_at	0.008	0.0123	1.64	UP	AKAP8L	A kinase (PRKA) anchor protein 8-like
215483_at	0.0002	0.0013	1.96	UP	AKAP9	A kinase (PRKA) anchor protein (yotiao) 9
217893_s_at	0.0039	0.008	2.56	UP	AKIRIN1	akirin 1
223894_s_at	0.059	0.0421	1.78	UP	AKTIP	AKT interacting protein
203608_at	0.0302	0.0277	1.64	UP	ALDH5A1	NAD+-dependent succinic semialdehydedehydrogenase
221589_s_at	0.0001	0.0011	1.51	UP	ALDH6A1	aldehyde dehydrogenase 6 family, member A1
1553101_a_at	0.0237	0.0237	2.06	UP	ALKBH5	alkB, alkylation repair homolog 5 (E. coli)
1553220_at	0.0021	0.0056	1.51	UP	ALS2CR13	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 13
226421_at	0.0002	0.0013	1.51	UP	AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene
226258_at	0.0002	0.0012	1.76	UP	AMN1	antagonist of mitotic exit network 1 homolog (S. cerevisiae)
208722_s_at	0.0042	0.0084	2.08	UP	ANAPC5	anaphase promoting complex subunit 5
221826_at	0.0009	0.0034	1.68	UP	ANGEL2	angel homolog 2 (Drosophila)
223093_at	0.009	0.0132	1.51	UP	ANKH	ankylosis, progressive homolog (mouse)
229457_at	0.001	0.0035	1.54	UP	ANKHD1	ankyrin repeat and KH domain containing 1
212200_at	0.0009	0.0034	1.74	UP	ANKLE2	ankyrin repeat and LEM domain containing 2
226663_at	0.0091	0.0133	1.99	UP	ANKRD10	ankyrin repeat domain 10
218093_s_at	0.0192	0.0207	1.8	UP	ANKRD10	ankyrin repeat domain 10
234701_at	0.0001	0.001	1.58	UP	ANKRD11	ankyrin repeat domain 11
219437_s_at	0.007	0.0113	1.6	UP	ANKRD11	ankyrin repeat domain 11
216563_at	0	0.0002	2.3	UP	ANKRD12	ankyrin repeat domain 12
212289_at	0.0065	0.0109	1.65	UP	ANKRD12	ankyrin repeat domain 12
212286_at	0.0084	0.0127	1.53	UP	ANKRD12	ankyrin repeat domain 12
223418_x_at	0.0023	0.0059	1.63	UP	ANKRD13C	ankyrin repeat domain 13C
212211_at	0.0055	0.0099	2.06	UP	ANKRD17	ankyrin repeat domain 17
220940_at	0.0003	0.0018	1.87	UP	ANKRD36B	ankyrin repeat domain 36B
208103_s_at	0.0168	0.0192	1.51	UP	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
209369_at	0.0012	0.0041	3.23	UP	ANXA3	annexin A3
1553165_at	0.0032	0.0071	1.73	UP	AP1GBP1	AP1 gamma subunit binding protein 1
232387_at	0.02	0.0213	1.51	UP	AP1GBP1	AP1 gamma subunit binding protein 1
223025_s_at	0.0015	0.0045	1.65	UP	AP1M1	adaptor-related protein complex 1, mu 1 subunit
223024_at	0.024	0.024	1.52	UP	AP1M1	adaptor-related protein complex 1, mu 1 subunit
219994_at	0.0178	0.0198	1.68	UP	APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein
213289_at	0.0354	0.0304	1.59	UP	APOOL	apolipoprotein O-like
202629_at	0.0003	0.0016	1.63	UP	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2
222538_s_at	0.0359	0.0307	2.02	UP	APPL1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1
201176_s_at	0.033	0.0292	1.55	UP	ARCN1	archain 1
1565651_at	0.0045	0.0087	1.63	UP	ARF1	ADP-ribosylation factor 1
202955_s_at	0.0214	0.0222	1.8	UP	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
216266_s_at	0.0255	0.0249	2.25	UP	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
222518_at	0.0003	0.0017	2.46	UP	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
218098_at	0.002	0.0055	1.5	UP	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
206177_s_at	0.0012	0.0041	3.2	UP	ARG1	arginase, liver
222508_s_at	0.0235	0.0236	1.58	UP	ARGLU1	arginine and glutamate rich 1
207606_s_at	0.0001	0.0008	1.76	UP	ARHGAP12	Rho GTPase activating protein 12
37577_at	0	0.0003	1.54	UP	ARHGAP19	Rho GTPase activating protein 19
226576_at	0.0234	0.0236	1.65	UP	ARHGAP26	Rho GTPase activating protein 26
235635_at	0.0001	0.001	1.63	UP	ARHGAP5	Rho GTPase activating protein 5
233849_s_at	0.0028	0.0066	1.59	UP	ARHGAP5	Rho GTPase activating protein 5
226906_s_at	0.0282	0.0265	1.54	UP	ARHGAP9	Rho GTPase activating protein 9
210649_s_at	0.0213	0.0221	1.74	UP	ARID1A	AT rich interactive domain 1A (SWI-like)
225181_at	0.0051	0.0094	1.61	UP	ARID1B	AT rich interactive domain 1B (SWI1-like)
1553349_at	0.0001	0.0007	1.61	UP	ARID2	AT rich interactive domain 2 (ARID, RFX-like)
230141_at	0.0031	0.0069	1.75	UP	ARID4A	AT rich interactive domain 4A (RBP1-like)
223111_x_at	0.0017	0.0049	1.62	UP	ARID4B	AT rich interactive domain 4B (RBP1-like)
212614_at	0.0001	0.001	1.75	UP	ARID5B	AT rich interactive domain 5B (MRF1-like)
201879_at	0.0017	0.0049	2.44	UP	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)
1559121_s_at	0	0.0001	1.61	UP	ARIH2	ariadne homolog 2 (Drosophila)
201229_s_at	0.0226	0.023	1.61	UP	ARIH2	ariadne homolog 2 (Drosophila)
202092_s_at	0.0665	0.0454	1.84	UP	ARL2BP	ADP-ribosylation factor-like 2 binding protein
222700_at	0.0023	0.0059	1.6	UP	ARL6IP2	ADP-ribosylation factor-like 6 interacting protein 2
222442_s_at	0.0171	0.0194	1.7	UP	ARL8B	ADP-ribosylation factor-like 8B
218185_s_at	0.0156	0.0183	2.03	UP	ARMC1	armadillo repeat containing 1
203404_at	0.0491	0.0374	1.62	UP	ARMCX2	armadillo repeat containing, X-linked 2
219335_at	0.001	0.0036	1.8	UP	ARMCX5	armadillo repeat containing, X-linked 5
224524_s_at	0.0023	0.0058	1.53	UP	ASB3	ankyrin repeat and SOCS box-containing 3
218841_at	0.0469	0.0363	1.62	UP	ASB8	ankyrin repeat and SOCS box-containing 8
215684_s_at	0	0.0006	1.53	UP	ASCC2	activating signal cointegrator 1 complex subunit 2
212815_at	0.002	0.0054	1.67	UP	ASCC3	activating signal cointegrator 1 complex subunit 3
203428_s_at	0.002	0.0054	1.51	UP	ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
205047_s_at	0.0102	0.0142	1.62	UP	ASNS	asparagine synthetase
224996_at	0	0.0001	1.54	UP	ASPH	aspartate beta-hydroxylase
242438_at	0.0002	0.0013	1.58	UP	ASXL1	additional sex combs like 1 (Drosophila)
242439_s_at	0.0061	0.0105	1.56	UP	ASXL1	additional sex combs like 1 (Drosophila)
240072_at	0	0	1.54	UP	ASXL2	additional sex combs like 2 (Drosophila)
224850_at	0.0271	0.0258	1.57	UP	ATAD1	ATPase family, AAA domain containing 1
222740_at	0	0.0003	1.69	UP	ATAD2	ATPase family, AAA domain containing 2
1558233_s_at	0.0134	0.0167	1.75	UP	ATF1	activating transcription factor 1
1565269_s_at	0.0581	0.0417	1.89	UP	ATF1	activating transcription factor 1
231927_at	0.0203	0.0214	1.52	UP	ATF6	activating transcription factor 6
232612_s_at	0.01	0.014	1.55	UP	ATG16L1	ATG16 autophagy related 16-like 1 (S. cerevisiae)
219164_s_at	0.0013	0.0041	1.79	UP	ATG2B	ATG2 autophagy related 2 homolog B (S. cerevisiae)
208442_s_at	0.0328	0.029	2.17	UP	ATM	Phosphatidylinositol 3-kinase homolog(ataxia-telangiectasia mutated gene / ATM)
210858_x_at	0.0453	0.0355	1.74	UP	ATM	Phosphatidylinositol 3-kinase homolog(ataxia-telangiectasia mutated gene / ATM)
226785_at	0	0.0004	1.66	UP	ATP11C	ATPase, Class VI, type 11C
212930_at	0.0059	0.0103	1.54	UP	ATP2B1	Plasma membrane calcium ATPase isoform 1(ATP2B1)
209281_s_at	0.0221	0.0227	1.97	UP	ATP2B1	Plasma membrane calcium ATPase isoform 1(ATP2B1)
214149_s_at	0.0207	0.0218	2.11	UP	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1
226463_at	0	0.0004	1.76	UP	ATP6V1C1	Vacuolar proton-ATPase V1 subunit C
214594_x_at	0.0174	0.0196	1.55	UP	ATP8B1	Phospholipid-transporting ATPase IC
226771_at	0.0035	0.0075	1.52	UP	ATP8B2	ATPase, Class I, type 8B, member 2(ATP8B2)
209902_at	0.0085	0.0127	1.54	UP	ATR	FRAP-related protein (FRP1)
208859_s_at	0.0035	0.0074	1.88	UP	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)
208860_s_at	0.0692	0.0467	1.57	UP	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)
209964_s_at	0.0009	0.0033	1.58	UP	ATXN7	ataxin 7
243259_at	0.0083	0.0126	1.62	UP	ATXN7	ataxin 7
222696_at	0.0021	0.0056	1.88	UP	AXIN2	axin 2
201772_at	0.0072	0.0116	1.67	UP	AZIN1	antizyme inhibitor 1
212461_at	0.0179	0.0199	1.68	UP	AZIN1	antizyme inhibitor 1
214575_s_at	0.0032	0.0071	2.91	UP	AZU1	Azurocidin
232311_at	0.004	0.0082	1.63	UP	B2M	beta-2-microglobulin
238987_at	0.0002	0.0015	1.65	UP	B4GALT1	UDP-Gal:betaGlcNAc beta1,4-galactosyltransferase 1 (B4GALT1)
209406_at	0.0057	0.0101	2	UP	BAG2	BCL2-associated athanogene 2
217911_s_at	0.0108	0.0147	1.7	UP	BAG3	BCL2-associated athanogene 3
202984_s_at	0.0026	0.0064	1.58	UP	BAG5	BCL2-associated athanogene 5
212384_at	0.0017	0.0049	1.67	UP	BAT1	HLA-B associated transcript 1
211947_s_at	0.006	0.0104	1.63	UP	BAT2D1	BAT2 domain containing 1
217985_s_at	0.0009	0.0034	1.87	UP	BAZ1A	bromodomain adjacent to zinc finger domain, 1A
217986_s_at	0.0014	0.0044	1.54	UP	BAZ1A	bromodomain adjacent to zinc finger domain, 1A
223227_at	0.0207	0.0217	1.55	UP	BBS2	Bardet-Biedl syndrome 2
213016_at	0.0228	0.0232	2	UP	BBX	bobby sox homolog (Drosophila)
214499_s_at	0.008	0.0124	1.79	UP	BCLAF1	BCL2-associated transcription factor 1
201083_s_at	0.0411	0.0334	1.73	UP	BCLAF1	BCL2-associated transcription factor 1
201101_s_at	0.0582	0.0417	1.89	UP	BCLAF1	BCL2-associated transcription factor 1
208945_s_at	0.0731	0.0483	1.59	UP	BECN1	beclin 1, autophagy related
209203_s_at	0.0733	0.0484	1.55	UP	BICD2	bicaudal D homolog 2 (Drosophila)
222199_s_at	0.0039	0.008	1.58	UP	BIN3	bridging integrator 3
210538_s_at	0.0214	0.0222	1.5	UP	BIRC3	baculoviral IAP repeat-containing 3
213578_at	0.0004	0.0022	1.54	UP	BMPR1A	Bone morphogenetic protein receptor typeIA (Activin receptor-like kinase 3) (ALK-3)
231873_at	0.0066	0.011	1.84	UP	BMPR2	Bone morphogenetic protein-4 type IIreceptor
205557_at	0.0003	0.0016	2.84	UP	BPI	bactericidal/permeability-increasing protein
243829_at	0.0008	0.0031	1.56	UP	BRAF	B-RAF Proto-oncogene (p94 kinase)
213473_at	0.0022	0.0058	1.61	UP	BRAP	BRCA1 associated protein
41512_at	0.0073	0.0117	1.5	UP	BRAP	BRCA1 associated protein
231913_s_at	0	0.0003	1.65	UP	BRCC3	BRCA1/BRCA2-containing complex, subunit 3
231860_at	0.0003	0.0019	1.63	UP	BRWD1	bromodomain and WD repeat domain containing 1
209846_s_at	0.0554	0.0405	1.62	UP	BTN3A2	butyrophilin, subfamily 3, member A2
38241_at	0.0238	0.0238	1.6	UP	BTN3A3	butyrophilin, subfamily 3, member A3
201456_s_at	0.0221	0.0227	1.87	UP	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
200776_s_at	0.0484	0.037	1.7	UP	BZW1	basic leucine zipper and W2 domains 1
221631_at	0.0002	0.0014	1.91	UP	CACNA1I	calcium channel, voltage-dependent, alpha 1I subunit (CACNA1I) (Cav3.3)
220246_at	0.0087	0.013	1.53	UP	CAMK1D	Ca2+/Calmodulin dependent proteinkinase-like protein
214322_at	0	0	1.57	UP	CAMK2G	Calcium/calmodulin-dependent proteinkinase II gamma subunit (incyte)
212669_at	0.0164	0.0189	1.53	UP	CAMK2G	Calcium/calmodulin-dependent proteinkinase II gamma subunit (incyte)
210244_at	0.0174	0.0195	2.09	UP	CAMP	cathelicidin antimicrobial peptide
208853_s_at	0.0306	0.0279	1.69	UP	CANX	calnexin
208852_s_at	0.0461	0.0359	2.1	UP	CANX	calnexin
219342_at	0.0025	0.0062	2.11	UP	CASD1	CAS1 domain containing 1
227156_at	0.0001	0.0008	1.8	UP	CASK	Peripheral plasma membrane protein CASK
209811_at	0.0007	0.0028	2.32	UP	CASP2	Caspase-2 (ICH-1 protease)
208050_s_at	0.0249	0.0245	1.77	UP	CASP2	Caspase-2 (ICH-1 protease)
209790_s_at	0.007	0.0114	2.18	UP	CASP6	Caspase-6 (ICE-like apoptotic protease 2)
222201_s_at	0.0209	0.0219	1.71	UP	CASP8AP2	CASP8 associated protein 2
201432_at	0.0367	0.0311	1.6	UP	CAT	catalase
227900_at	0.0021	0.0056	1.66	UP	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b
220018_at	0.0103	0.0143	1.58	UP	CBLL1	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1
227748_at	0.0069	0.0113	1.75	UP	CCBL2	Aminotransferase homologue
224968_at	0.0004	0.0022	1.61	UP	CCDC104	coiled-coil domain containing 104
225644_at	0.0561	0.0408	1.58	UP	CCDC117	coiled-coil domain containing 117
206016_at	0.0261	0.0253	1.51	UP	CCDC22	coiled-coil domain containing 22
226287_at	0.0003	0.0018	1.55	UP	CCDC34	coiled-coil domain containing 34
219644_at	0.0009	0.0034	1.55	UP	CCDC41	coiled-coil domain containing 41
222432_s_at	0.0022	0.0057	1.8	UP	CCDC47	coiled-coil domain containing 47
223236_at	0.055	0.0403	1.68	UP	CCDC55	coiled-coil domain containing 55
228122_at	0.0001	0.001	1.57	UP	CCDC66	coiled-coil domain containing 66
1553102_a_at	0.0153	0.0181	1.5	UP	CCDC69	coiled-coil domain containing 69
219387_at	0.0002	0.0015	1.69	UP	CCDC88A	coiled-coil domain containing 88A
227451_s_at	0.0042	0.0084	1.63	UP	CCDC90A	coiled-coil domain containing 90A
1570571_at	0.0003	0.0018	1.56	UP	CCDC91	coiled-coil domain containing 91
224027_at	0	0.0001	1.72	UP	CCL28	Chemokine CCL28
202770_s_at	0.0273	0.026	1.51	UP	CCNG2	cyclin G2
219470_x_at	0	0.0001	1.64	UP	CCNJ	cyclin J
214151_s_at	0.0002	0.0012	1.55	UP	CCPG1	cell cycle progression 1
266_s_at	0	0.0004	3.56	UP	CD24	CD24 molecule
203593_at	0.0031	0.007	1.55	UP	CD2AP	CD2-associated protein
1565868_at	0.0012	0.004	1.5	UP	CD44	CD44 molecule (Indian blood group)
217523_at	0.0012	0.004	1.85	UP	CD44	CD44 molecule (Indian blood group)
210916_s_at	0.0467	0.0362	1.64	UP	CD44	CD44 molecule (Indian blood group)
1557905_s_at	0.0683	0.0462	1.67	UP	CD44	CD44 molecule (Indian blood group)
227259_at	0.0051	0.0094	1.68	UP	CD47	CD47 molecule
242974_at	0.0192	0.0208	1.71	UP	CD47	CD47 molecule
242946_at	0.0002	0.0013	1.64	UP	CD53	CD53 molecule
201926_s_at	0.0628	0.0438	1.62	UP	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)
200985_s_at	0.0028	0.0066	1.82	UP	CD59	CD59 molecule, complement regulatory protein
200984_s_at	0.0038	0.0079	1.8	UP	CD59	CD59 molecule, complement regulatory protein
1566448_at	0.0007	0.0028	1.86	UP	CD6	CD6 molecule
208602_x_at	0.0413	0.0334	1.77	UP	CD6	CD6 molecule
1555120_at	0.0376	0.0316	1.52	UP	CD96	CD96 molecule
205627_at	0.0094	0.0135	1.8	UP	CDA	cytidine deaminase
210742_at	0.0001	0.0006	1.96	UP	CDC14A	CDC14 cell division cycle 14 homolog A(S. cerevisiae)
210743_s_at	0.002	0.0055	1.65	UP	CDC14A	CDC14 cell division cycle 14 homolog A(S. cerevisiae)
217881_s_at	0.0004	0.0022	1.91	UP	CDC27	cell division cycle 27 homolog (S. cerevisiae)
210965_x_at	0.0001	0.0007	1.81	UP	CDC2L5	CDC2-related protein kinase (CHED)
219343_at	0.0621	0.0435	1.68	UP	CDC37L1	cell division cycle 37 homolog (S. cerevisiae)-like 1
223674_s_at	0.0548	0.0401	2.21	UP	CDC42SE1	CDC42 small effector 1
1552613_s_at	0.0134	0.0167	1.59	UP	CDC42SE2	CDC42 small effector 2
1552612_at	0.0238	0.0239	2.17	UP	CDC42SE2	CDC42 small effector 2
209055_s_at	0.0667	0.0455	1.54	UP	CDC5L	CDC5 cell division cycle 5-like (S. pombe)
225081_s_at	0.021	0.0219	1.53	UP	CDCA7L	cell division cycle associated 7-like
210622_x_at	0.0364	0.031	1.75	UP	CDK10	Cyclin-dependent kinase 10 (CDK10)
224851_at	0.0201	0.0213	1.9	UP	CDK6	Cyclin-dependent kinase 6 (CDK6)
224848_at	0.0311	0.0282	1.72	UP	CDK6	Cyclin-dependent kinase 6 (CDK6)
1553113_s_at	0.0027	0.0066	1.71	UP	CDK8	Cyclin-dependent kinase 8 (CDK8)
203198_at	0.0257	0.025	1.65	UP	CDK9	Cyclin-dependent kinase 9 (CDK9)
218929_at	0.0554	0.0405	1.69	UP	CDKN2AIP	CDKN2A interacting protein
210240_s_at	0.0507	0.0382	1.53	UP	CDKN2D	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)
203100_s_at	0.0608	0.0429	1.55	UP	CDYL	chromodomain protein, Y-like
209498_at	0.0003	0.0017	2.28	UP	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
211657_at	0	0.0006	2.76	UP	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
203757_s_at	0.0001	0.0007	2.95	UP	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)
206676_at	0.0001	0.0006	4.44	UP	CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8
205212_s_at	0	0.0003	1.54	UP	CENTB1	centaurin, beta 1
206003_at	0.0004	0.0021	1.58	UP	CEP135	centrosomal protein 135kDa
203491_s_at	0.0002	0.0015	1.58	UP	CEP57	centrosomal protein 57kDa
203493_s_at	0.0557	0.0406	1.61	UP	CEP57	centrosomal protein 57kDa
209862_s_at	0.0713	0.0476	1.51	UP	CEP57	centrosomal protein 57kDa
222151_s_at	0.0369	0.0312	1.55	UP	CEP63	centrosomal protein 63kDa
239442_at	0.001	0.0035	1.68	UP	CEP68	centrosomal protein 68kDa
212675_s_at	0.003	0.0068	1.55	UP	CEP68	centrosomal protein 68kDa
212677_s_at	0.0229	0.0233	1.85	UP	CEP68	centrosomal protein 68kDa
239629_at	0.0004	0.0021	1.62	UP	CFLAR	FLAME-1
211317_s_at	0.0075	0.0119	2.37	UP	CFLAR	FLAME-1
208485_x_at	0.015	0.0179	1.7	UP	CFLAR	FLAME-1
210564_x_at	0.0196	0.021	1.67	UP	CFLAR	FLAME-1
210563_x_at	0.0302	0.0277	1.71	UP	CFLAR	FLAME-1
211862_x_at	0.0362	0.0309	1.76	UP	CFLAR	FLAME-1
235791_x_at	0.0007	0.0029	1.58	UP	CHD1	chromodomain helicase DNA binding protein 1
204258_at	0.0141	0.0172	1.57	UP	CHD1	chromodomain helicase DNA binding protein 1
1554014_at	0.0032	0.0071	1.59	UP	CHD2	chromodomain helicase DNA binding protein 2
223931_s_at	0.0182	0.0201	1.55	UP	CHFR	checkpoint with forkhead and ring finger domains
209396_s_at	0	0.0001	2.96	UP	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)
209395_at	0.0001	0.0006	3.86	UP	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)
228345_at	0.0001	0.0006	1.55	UP	CHIC1	cysteine-rich hydrophobic domain 1
209666_s_at	0.0326	0.029	1.61	UP	CHUK	IkB kinase alpha subunit (IKK alpha)
239053_at	0.0441	0.0349	1.61	UP	CIAO1	cytosolic iron-sulfur protein assembly 1 homolog (S. cerevisiae)
223961_s_at	0.0461	0.0359	1.67	UP	CISH	cytokine inducible SH2-containing protein
212308_at	0.001	0.0037	1.56	UP	CLASP2	cytoplasmic linker associated protein 2
212306_at	0.0119	0.0155	1.59	UP	CLASP2	cytoplasmic linker associated protein 2
201735_s_at	0.0123	0.0159	1.53	UP	CLCN3	Chloride channel protein 3 (CLC-3)
208925_at	0.0527	0.0391	2.43	UP	CLDND1	claudin domain containing 1
228426_at	0.0008	0.0032	1.96	UP	CLEC2D	C-type lectin domain family 2, member D
204084_s_at	0.0115	0.0152	1.66	UP	CLN5	ceroid-lipofuscinosis, neuronal 5
235099_at	0.0017	0.005	1.92	UP	CMTM8	CKLF-like MARVEL transmembrane domain containing 8
229116_at	0	0	1.97	UP	CNKSR2	connector enhancer of kinase suppressor of Ras 2
227119_at	0.0002	0.0015	1.62	UP	CNOT6L	CCR4-NOT transcription complex, subunit 6-like
238438_at	0.0146	0.0176	1.63	UP	CNOT6L	CCR4-NOT transcription complex, subunit 6-like
202164_s_at	0.0358	0.0307	2.42	UP	CNOT8	CCR4-NOT transcription complex, subunit 8
203630_s_at	0.0019	0.0052	1.8	UP	COG5	component of oligomeric golgi complex 5
208684_at	0.0138	0.017	1.85	UP	COPA	coatomer protein complex, subunit alpha
205538_at	0.0002	0.0012	1.57	UP	CORO2A	coronin, actin binding protein, 2A
227177_at	0.008	0.0124	1.52	UP	CORO2A	coronin, actin binding protein, 2A
219547_at	0.0013	0.0042	1.55	UP	COX15	COX15 homolog, cytochrome c oxidase assembly protein (yeast)
224829_at	0.0002	0.0013	2	UP	CPEB4	cytoplasmic polyadenylation element binding protein 4
212168_at	0.0046	0.0088	1.67	UP	CPNE1	copine I
202119_s_at	0.0242	0.0241	1.54	UP	CPNE3	copine III
204314_s_at	0.0005	0.0023	1.66	UP	CREB1	cAMP responsive element binding protein 1
225572_at	0.0035	0.0075	1.54	UP	CREB1	cAMP responsive element binding protein 1
204312_x_at	0.0119	0.0155	1.58	UP	CREB1	cAMP responsive element binding protein 1
204313_s_at	0.0254	0.0248	1.63	UP	CREB1	cAMP responsive element binding protein 1
1554487_a_at	0	0.0005	1.83	UP	CREBL1	cAMP responsive element binding protein-like 1
201988_s_at	0.0088	0.0131	1.88	UP	CREBL2	cAMP responsive element binding protein-like 2
202979_s_at	0.029	0.027	1.96	UP	CREBZF	CREB/ATF bZIP transcription factor
202224_at	0.0001	0.0009	1.77	UP	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)
225697_at	0.0024	0.0061	1.67	UP	CRKRS	CDC2-related protein kinase 7
223978_s_at	0.0049	0.0091	1.53	UP	CRLS1	cardiolipin synthase 1
225324_at	0.0219	0.0226	1.52	UP	CRLS1	cardiolipin synthase 1
232879_at	0.0002	0.0012	1.57	UP	CRTC3	CREB regulated transcription coactivator 3
1552347_at	0.0021	0.0057	1.64	UP	CRYZL1	crystallin, zeta (quinone reductase)-like 1
226151_x_at	0.0024	0.006	1.51	UP	CRYZL1	crystallin, zeta (quinone reductase)-like 1
219767_s_at	0.0391	0.0324	1.65	UP	CRYZL1	crystallin, zeta (quinone reductase)-like 1
221139_s_at	0	0	1.8	UP	CSAD	cysteine sulfinic acid decarboxylase
201161_s_at	0.023	0.0233	1.72	UP	CSDA	cold shock domain protein A
219049_at	0.0142	0.0173	1.95	UP	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1
1556006_s_at	0.0007	0.0028	2.13	UP	CSNK1A1	Casein kinase I alpha (CKI-alpha)
208866_at	0.0023	0.0058	1.6	UP	CSNK1A1	Casein kinase I alpha (CKI-alpha)
206562_s_at	0.0264	0.0254	1.58	UP	CSNK1A1	Casein kinase I alpha (CKI-alpha)
231920_s_at	0.0007	0.0028	1.73	UP	CSNK1G1	Casein kinase I gamma 1 (CKI-gamma 1)
212073_at	0.0168	0.0191	1.51	UP	CSNK2A1	Casein kinase II alpha chain (CK II)
225432_s_at	0.0013	0.0042	1.52	UP	CSRP2BP	CSRP2 binding protein
