# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_002761|NM_002761	unigene|Hs.2909|Hs.2909	hgnc_symbol|PRM1|PRM1
refseq_dna|NM_002748|NM_002748	unigene|Hs.271980|Hs.271980	hgnc_symbol|MAPK6|MAPK6
refseq_dna|NM_018262|NM_018262	unigene|Hs.70202|Hs.70202	hgnc_symbol|IFT122|IFT122
refseq_dna|NM_005611|NM_005611	unigene|Hs.79362|Hs.79362	hgnc_symbol|RBL2|RBL2
refseq_dna|NM_004126|NM_004126	unigene|Hs.83381|Hs.83381	hgnc_symbol|GNG11|GNG11
refseq_dna|NM_001494|NM_001494	unigene|Hs.56845|Hs.56845	hgnc_symbol|GDI2|GDI2
refseq_dna|NM_002271|NM_002271	unigene|Hs.113503|Hs.113503	hgnc_symbol|IPO5|IPO5
refseq_dna|NM_005387|NM_005387	unigene|Hs.112255|Hs.112255	hgnc_symbol|NUP98|NUP98
refseq_dna|NM_000430|NM_000430	unigene|Hs.77318|Hs.77318	hgnc_symbol|PAFAH1B1|PAFAH1B1
refseq_dna|NM_001282|NM_001282	unigene|Hs.74626|Hs.74626	hgnc_symbol|AP2B1|AP2B1
refseq_dna|NM_002266|NM_002266	unigene|Hs.159557|Hs.159557	hgnc_symbol|KPNA2|KPNA2
refseq_dna|NM_080423|NM_080423	unigene|Hs.82829|Hs.82829	hgnc_symbol|PTPN2|PTPN2
refseq_dna|NM_005100|NM_005100	unigene|Hs.788|Hs.788	hgnc_symbol|AKAP12|AKAP12
refseq_dna|NM_004684|NM_004684	unigene|Hs.75445|Hs.75445	hgnc_symbol|SPARCL1|SPARCL1
refseq_dna|NM_004298|NM_004298	unigene|Hs.23255|Hs.23255	hgnc_symbol|NUP155|NUP155
refseq_dna|NM_002265|NM_002265	unigene|Hs.180446|Hs.180446	hgnc_symbol|KPNB1|KPNB1
refseq_dna|NM_004986|NM_004986	unigene|Hs.418467|Hs.418467	hgnc_symbol|KTN1|KTN1
refseq_dna|NM_004362|NM_004362	unigene|Hs.86368|Hs.86368	hgnc_symbol|CLGN|CLGN
refseq_dna|NM_004379|NM_004379	unigene|Hs.79194|Hs.79194	hgnc_symbol|CREB1|CREB1
refseq_dna|NM_031293|NM_031293	unigene|Hs.151218|Hs.151218	hgnc_symbol|PMFBP1|PMFBP1
refseq_dna|NM_006421|NM_006421	unigene|Hs.94631|Hs.94631	hgnc_symbol|ARFGEF1|ARFGEF1
refseq_dna|NM_004671|NM_004671	unigene|Hs.111323|Hs.111323	hgnc_symbol|ZBTB17|ZBTB17
refseq_dna|NM_007098|NM_007098	unigene|Hs.184916|Hs.184916	hgnc_symbol|CLTCL1|CLTCL1
refseq_dna|NM_001128|NM_001128	unigene|Hs.5344|Hs.5344	hgnc_symbol|AP1G1|AP1G1
refseq_dna|NM_002540|NM_002540	unigene|Hs.129055|Hs.129055	hgnc_symbol|ODF2|ODF2
refseq_dna|NM_003886|NM_003886	unigene|Hs.97633|Hs.97633	hgnc_symbol|AKAP4|AKAP4
refseq_dna|NM_006845|NM_006845	unigene|Hs.69360|Hs.69360	hgnc_symbol|KIF2C|KIF2C
refseq_dna|NM_005493|NM_005493	unigene|Hs.279886|Hs.279886	hgnc_symbol|RANBP9|RANBP9
refseq_dna|NM_018700|NM_018700	unigene|Hs.121429|Hs.121429	hgnc_symbol|TRIM36|TRIM36
refseq_dna|NM_004521|NM_004521	unigene|Hs.149436|Hs.149436	hgnc_symbol|KIF5B|KIF5B
refseq_dna|NM_006585|NM_006585	unigene|Hs.15071|Hs.15071	hgnc_symbol|CCT8|CCT8
refseq_dna|NM_006633|NM_006633	unigene|Hs.78993|Hs.78993	hgnc_symbol|IQGAP2|IQGAP2
refseq_dna|NM_020242|NM_020242	unigene|Hs.150587|Hs.150587	hgnc_symbol|KIF15|KIF15
refseq_dna|NM_015577|NM_015577	unigene|Hs.15165|Hs.15165	hgnc_symbol|RAI14|RAI14
refseq_dna|NM_005054|NM_005054	unigene|Hs.179825|Hs.179825	hgnc_symbol|RGPD8|RGPD8
refseq_dna|NM_002078|NM_002078	unigene|Hs.183773|Hs.183773	hgnc_symbol|GOLGA4|GOLGA4
refseq_dna|NM_014278|NM_014278	unigene|Hs.71992|Hs.71992	hgnc_symbol|HSPA4L|HSPA4L
refseq_dna|NM_005831|NM_005831	unigene|Hs.154230|Hs.154230	hgnc_symbol|CALCOCO2|CALCOCO2
entrezgene|AY014283|51533	unigene|Hs.30127|Hs.30127	hgnc_symbol|PHF7|PHF7
refseq_dna|NM_006608|NM_006608	unigene|Hs.123637|Hs.123637	hgnc_symbol|PHTF1|PHTF1
refseq_dna|NM_002707|NM_002707	unigene|Hs.17883|Hs.17883	hgnc_symbol|PPM1G|PPM1G
refseq_dna|NM_002874|NM_002874	unigene|Hs.404283|Hs.404283	hgnc_symbol|RAD23B|RAD23B
refseq_dna|NM_018679|NM_018679	unigene|Hs.128322|Hs.128322	hgnc_symbol|TCP11|TCP11
refseq_dna|NM_001726|NM_001726	unigene|Hs.178281|Hs.178281	hgnc_symbol|BRDT|BRDT
refseq_dna|NM_005087|NM_005087	unigene|Hs.82712|Hs.82712	hgnc_symbol|FXR1|FXR1
refseq_dna|NM_002582|NM_002582	unigene|Hs.43445|Hs.43445	hgnc_symbol|PARN|PARN
refseq_dna|NM_003590|NM_003590	unigene|Hs.78946|Hs.78946	hgnc_symbol|CUL3|CUL3
refseq_dna|NM_006024|NM_006024	unigene|Hs.5437|Hs.5437	hgnc_symbol|TAX1BP1|TAX1BP1
refseq_dna|NM_012255|NM_012255	unigene|Hs.268555|Hs.268555	hgnc_symbol|XRN2|XRN2
refseq_dna|NM_004660|NM_004660	unigene|Hs.99120|Hs.99120	hgnc_symbol|DDX3Y|DDX3Y
refseq_dna|NM_003137|NM_003137	unigene|Hs.75761|Hs.75761	hgnc_symbol|SRPK1|SRPK1
refseq_dna|NM_002568|NM_002568	unigene|Hs.172182|Hs.172182	hgnc_symbol|PABPC1|PABPC1
refseq_dna|NM_002525|NM_002525	unigene|Hs.4099|Hs.4099	hgnc_symbol|NRD1|NRD1
refseq_dna|NM_030763|NM_030763	unigene|Hs.443778|Hs.443778	hgnc_symbol|HMGN5|HMGN5
refseq_dna|NM_002791|NM_002791	unigene|Hs.410276|Hs.410276	hgnc_symbol|PSMA6|PSMA6
refseq_dna|NM_015446|NM_015446	unigene|Hs.33363|Hs.33363	hgnc_symbol|AHCTF1|AHCTF1
embl|Y11108|Y11108	unigene|Hs.137595|Hs.137595	hgnc_symbol|WNT8B|WNT8B
refseq_dna|NM_004492|NM_004492	unigene|Hs.76362|Hs.76362	hgnc_symbol|GTF2A2|GTF2A2
refseq_dna|NM_004238|NM_004238	unigene|Hs.138617|Hs.138617	hgnc_symbol|TRIP12|TRIP12
entrezgene|AF061337|1654	unigene|Hs.380774|Hs.380774	hgnc_symbol|DDX3X|DDX3X
refseq_dna|NM_006696|NM_006696	unigene|Hs.5464|Hs.5464	hgnc_symbol|BRD8|BRD8
refseq_dna|NM_003760|NM_003760	unigene|Hs.25732|Hs.25732	hgnc_symbol|EIF4G3|EIF4G3
refseq_dna|NM_003904|NM_003904	unigene|Hs.7165|Hs.7165	hgnc_symbol|ZNF259|ZNF259
refseq_dna|NM_002040|NM_002040	unigene|Hs.78|Hs.78	hgnc_symbol|GABPA|GABPA
refseq_dna|NM_001357|NM_001357	unigene|Hs.74578|Hs.74578	hgnc_symbol|DHX9|DHX9
refseq_dna|NM_007158|NM_007158	unigene|Hs.69855|Hs.69855	hgnc_symbol|CSDE1|CSDE1
refseq_dna|NM_004184|NM_004184	unigene|Hs.82030|Hs.82030	hgnc_symbol|WARS|WARS
refseq_dna|NM_030751|NM_030751	unigene|Hs.232068|Hs.232068	hgnc_symbol|ZEB1|ZEB1
refseq_dna|NM_003201|NM_003201	unigene|Hs.75133|Hs.75133	hgnc_symbol|TFAMP1|TFAMP1
refseq_dna|NM_003557|NM_003557	unigene|Hs.149255|Hs.149255	hgnc_symbol|PIP5K1A|PIP5K1A
refseq_dna|NM_005019|NM_005019	unigene|Hs.41717|Hs.41717	hgnc_symbol|PDE1A|PDE1A
refseq_dna|NM_031280|NM_031280	unigene|Hs.107707|Hs.107707	hgnc_symbol|MRPS15|MRPS15
refseq_dna|NM_006872|NM_006872	unigene|Hs.44385|Hs.44385	hgnc_symbol|GTF2A1L|GTF2A1L
refseq_dna|NM_021190|NM_021190	unigene|Hs.34956|Hs.34956	hgnc_symbol|PTBP2|PTBP2
refseq_dna|NM_003138|NM_003138	unigene|Hs.78353|Hs.78353	hgnc_symbol|SRPK2|SRPK2
refseq_dna|NM_016374|NM_016374	unigene|Hs.17428|Hs.17428	hgnc_symbol|ARID4B|ARID4B
entrezgene|AB028449|23405	unigene|Hs.87889|Hs.87889	hgnc_symbol|DICER1|DICER1
refseq_dna|NM_015902|NM_015902	unigene|Hs.278428|Hs.278428	hgnc_symbol|UBR5|UBR5
refseq_dna|NM_003681|NM_003681	unigene|Hs.38041|Hs.38041	hgnc_symbol|PDXK|PDXK
refseq_dna|NM_002065|NM_002065	unigene|Hs.170171|Hs.170171	hgnc_symbol|GLUL|GLUL
entrezgene|AF350251|84669	unigene|Hs.155787|Hs.155787	hgnc_symbol|USP32|USP32
refseq_dna|NM_138733|NM_138733	unigene|Hs.367727|Hs.367727	hgnc_symbol|PGK2|PGK2
refseq_dna|NM_001177|NM_001177	unigene|Hs.242894|Hs.242894	hgnc_symbol|ARL1|ARL1
entrezgene|AY032877|89882	unigene|Hs.343593|Hs.343593	hgnc_symbol|TPD52L3|TPD52L3
refseq_dna|NM_000849|NM_000849	unigene|Hs.2006|Hs.2006	hgnc_symbol|GSTM3|GSTM3
refseq_dna|NM_145809|NM_145809	unigene|Hs.234573|Hs.234573	hgnc_symbol|USP32P2|USP32P2
refseq_dna|NM_019852|NM_019852	unigene|Hs.268149|Hs.268149	hgnc_symbol|METTL3|METTL3
refseq_dna|NM_033214|NM_033214	unigene|Hs.98008|Hs.98008	hgnc_symbol|GK2|GK2
refseq_dna|NM_002805|NM_002805	unigene|Hs.79387|Hs.79387	hgnc_symbol|PSMC5|PSMC5
refseq_dna|NM_002301|NM_002301	unigene|Hs.99881|Hs.99881	hgnc_symbol|LDHC|LDHC
entrezgene|AY014284|80705	unigene|Hs.116116|Hs.116116	hgnc_symbol|TSGA10|TSGA10
refseq_dna|NM_005390|NM_005390	unigene|Hs.131361|Hs.131361	hgnc_symbol|PDHA2|PDHA2
refseq_dna|NM_006392|NM_006392	unigene|Hs.296585|Hs.296585	hgnc_symbol|NOP56|NOP56
refseq_dna|NM_002539|NM_002539	unigene|Hs.75212|Hs.75212	hgnc_symbol|ODC1|ODC1
refseq_dna|NM_003791|NM_003791	unigene|Hs.75890|Hs.75890	hgnc_symbol|MBTPS1|MBTPS1
refseq_dna|NM_012173|NM_012173	unigene|Hs.81001|Hs.81001	hgnc_symbol|FBXO25|FBXO25
refseq_dna|NM_001304|NM_001304	unigene|Hs.5057|Hs.5057	hgnc_symbol|CPD|CPD
refseq_dna|NM_006931|NM_006931	unigene|Hs.7594|Hs.7594	hgnc_symbol|SLC2A3|SLC2A3
refseq_dna|NM_153449|NM_153449	unigene|Hs.401274|Hs.401274	hgnc_symbol|SLC2A14|SLC2A14
refseq_dna|NM_021627|NM_021627	unigene|Hs.401388|Hs.401388	hgnc_symbol|SENP2|SENP2
refseq_dna|NM_007047|NM_007047	unigene|Hs.87497|Hs.87497	hgnc_symbol|BTN3A2|BTN3A2
refseq_dna|NM_002732|NM_002732	unigene|Hs.158029|Hs.158029	hgnc_symbol|PRKACG|PRKACG
refseq_dna|NM_000408|NM_000408	unigene|Hs.93201|Hs.93201	hgnc_symbol|GPD2|GPD2
refseq_dna|NM_022133|NM_022133	unigene|Hs.128645|Hs.128645	hgnc_symbol|SNX16|SNX16
refseq_dna|NM_021122|NM_021122	unigene|Hs.154890|Hs.154890	hgnc_symbol|ACSL1|ACSL1
refseq_dna|NM_003296|NM_003296	unigene|Hs.2042|Hs.2042	hgnc_symbol|CRISP2|CRISP2
refseq_dna|NM_030672|NM_030672	unigene|Hs.132560|Hs.132560	hgnc_symbol|ARHGAP28|ARHGAP28
embl|AK074255|AK074255	unigene|Hs.352657|Hs.352657
entrezgene|AF345910|83894	unigene|Hs.98105|Hs.98105	hgnc_symbol|TTC29|TTC29
refseq_dna|XM_064190|XM_064190	unigene|Hs.380061|Hs.380061	hgnc_symbol|HSF5|HSF5
refseq_dna|XM_291142|XM_291142	unigene|Hs.356358|Hs.356358
entrezgene|AF327560|9848	unigene|Hs.178121|Hs.178121
refseq_dna|NM_173797|NM_173797	unigene|Hs.220277|Hs.220277	hgnc_symbol|PAPD4|PAPD4
refseq_dna|NM_012447|NM_012447	unigene|Hs.20132|Hs.20132	hgnc_symbol|STAG3|STAG3
entrezgene|AF380838|85438	unigene|Hs.120316|Hs.120316	hgnc_symbol|CABS1|CABS1
refseq_dna|NM_017785|NM_017785	unigene|Hs.32471|Hs.32471	hgnc_symbol|SPDL1|SPDL1
entrezgene|AF333098|84654	unigene|Hs.98226|Hs.98226	hgnc_symbol|SPZ1|SPZ1
entrezgene|AF367470|84691	unigene|Hs.125265|Hs.125265	hgnc_symbol|FAM71F1|FAM71F1
refseq_dna|NM_024687|NM_024687	unigene|Hs.96901|Hs.96901
refseq_dna|NM_016407|NM_016407	unigene|Hs.182281|Hs.182281	hgnc_symbol|RTFDC1|RTFDC1
refseq_dna|NM_024688|NM_024688	unigene|Hs.97757|Hs.97757	hgnc_symbol|C10orf68|C10orf68
refseq_dna|NM_015120|NM_015120	unigene|Hs.97393|Hs.97393	hgnc_symbol|ALMS1|ALMS1
refseq_dna|NM_017941|NM_017941	unigene|Hs.12929|Hs.12929	hgnc_symbol|C17orf80|C17orf80
entrezgene|AF288392|54823	unigene|Hs.22133|Hs.22133	hgnc_symbol|SWT1|SWT1
refseq_dna|NM_016125|NM_016125	unigene|Hs.30154|Hs.30154	hgnc_symbol|RNFT1|RNFT1
entrezgene|AB023209|23022	unigene|Hs.194431|Hs.194431	hgnc_symbol|PALLD|PALLD
refseq_dna|NM_144708|NM_144708	unigene|Hs.99360|Hs.99360	hgnc_symbol|ANKAR|ANKAR
entrezgene|D87450|23063	unigene|Hs.154978|Hs.154978	hgnc_symbol|WAPAL|WAPAL
entrezgene|AK095235|157567	unigene|Hs.11506|Hs.11506
entrezgene|AB023224|23019	unigene|Hs.279949|Hs.279949	hgnc_symbol|CNOT1|CNOT1
refseq_dna|NM_173521|NM_173521	unigene|Hs.116292|Hs.116292	hgnc_symbol|C9orf84|C9orf84
entrezgene|AB002377|23243	unigene|Hs.32556|Hs.32556	hgnc_symbol|ANKRD28|ANKRD28
refseq_dna|NM_016027|NM_016027	unigene|Hs.118554|Hs.118554	hgnc_symbol|LACTB2|LACTB2
entrezgene|AB051489|26036	unigene|Hs.188662|Hs.188662	hgnc_symbol|ZNF451|ZNF451
refseq_dna|XM_039796|XM_039796	unigene|Hs.170204|Hs.170204	hgnc_symbol|TNIK|TNIK
