Category 1	Category 2	Probe ID	Symbol	Name	Synonyms	Fold change
Angiogenesis	Angiogenesis	A_32_P100379	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	Alpha platelet-derived growth factor receptor precursor, CD140a, CD140A, CD140a antigen, MGC74795, PDGFR2, PDGF-R-alpha	6.25
Angiogenesis	Angiogenesis	A_23_P381992	ITGAV	Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	CD51, CD51 antigen, Integrin alpha-V precursor, MSK8, Vitronectin receptor alpha subunit, VNRA	6.452
Angiogenesis	Angiogenesis	A_23_P428139	EFNB2	Ephrin-B2	EPH-related receptor tyrosine kinase ligand 5, Ephrin-B2 precursor, EPLG5, HTKL, Htk-L, HTK-L, HTK ligand, LERK5, LERK-5, MGC126226, MGC126227, MGC126228	6.623
Tumor metastasis	Tumor metastasis	A_23_P208126	SERPINB5	Serpin peptidase inhibitor, clade B (ovalbumin), member 5	Maspin, PI5, Protease inhibitor 5, Serpin B5 precursor	2.155
Tumor metastasis	Tumor metastasis	A_23_P9513	MTA1	Metastasis associated 1	Metastasis-associated protein MTA1	2.278
Tumor metastasis	Tumor metastasis	A_23_P94800	S100A4	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	18A2, 42A, Calvasculin, CAPL, Metastasin, MTS1, Mts1 protein, P9KA, PEL98, Placental calcium-binding protein, Protein S100-A4, S100 calcium-binding protein A4	2.392
Tumor metastasis	Tumor metastasis	A_24_P33140	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	HSMRK222, K222, K222TA2, Metalloproteinase inhibitor 3 precursor, MIG-5 protein, SFD, TIMP-3, Tissue inhibitor of metalloproteinases-3	2.994
Tumor metastasis	Tumor metastasis	A_24_P929003	ITGB3	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	CD61, CD61 antigen, GP3A, GPIIIa, Integrin beta-3 precursor, Platelet membrane glycoprotein IIIa	4.237
Tumor metastasis	Tumor metastasis	A_24_P388810	APC	Adenomatosis polyposis coli	Adenomatous polyposis coli protein, DP2, DP2.5, DP3, FAP, FPC, GS, Protein APC	4.902
Tumor metastasis	Tumor metastasis	A_23_P71073	TWIST1	Twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	ACS3, BPES2, BPES3, H-twist, SCS, TWIST, Twist-related protein 1	7.813
