Symbol	Fold change Day1	Fold change Day2	p Values Adj.:Treatment	Entrez Gene Name	Location	Family	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
CEBPA	3.182313362	6.271467539	6.34E-10	CCAAT/enhancer binding protein (C/EBP), alpha	Nucleus	transcription regulator	1050	12606
SLC6A3	3.051411582	19.7406783	2.66E-09	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	Plasma Membrane	transporter	6531	13162
SMAD3	3.04866328	6.769593482	6.25E-10	SMAD family member 3	Nucleus	transcription regulator	4088	17127
ZFP36L2	3.025875604	10.14549463	4.06E-09	zinc finger protein 36, C3H type-like 2	Nucleus	transcription regulator	678	12193
RAC2	2.824621836	2.37133556	2.37E-07	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	Cytoplasm	enzyme	5880	19354
GJB2	2.816465717	4.041682599	4.19E-09	gap junction protein, beta 2, 26kDa	Plasma Membrane	transporter	2706	14619
TGFBR3	2.732665614	3.530218639	7.10E-09	transforming growth factor, beta receptor III	Plasma Membrane	kinase	7049	21814
SIDT2	2.721814017	5.234237124	1.71E-08	SID1 transmembrane family, member 2	Unknown	other	51092	214597
CD82	2.712568626	6.048226515	2.70E-07	CD82 molecule	Plasma Membrane	other	3732	12521
IGFBP3	2.669569925	6.873072694	2.24E-08	insulin-like growth factor binding protein 3	Extracellular Space	other	3486	16009
ALCAM	2.669379748	2.350521162	5.86E-09	activated leukocyte cell adhesion molecule	Plasma Membrane	other	214	11658
GBP2	2.64894747	10.76742047	1.55E-07	guanylate binding protein 2, interferon-inducible	Cytoplasm	enzyme	2634	14469
MAFB	2.581393266	6.627873561	1.23E-11	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	Nucleus	other	9935	16658
NR2F1	2.547261987	14.3161553	3.54E-07	nuclear receptor subfamily 2, group F, member 1	Nucleus	ligand-dependent nuclear receptor	7025	13865
CYP2E1	2.538601441	21.11609477	3.46E-08	cytochrome P450, family 2, subfamily E, polypeptide 1	Cytoplasm	enzyme	1571	13106
SLC40A1	2.500083072	3.526441763	1.36E-07	solute carrier family 40 (iron-regulated transporter), member 1	Plasma Membrane	transporter	30061	53945
NPTX2	2.480674151	6.396478905	7.58E-09	neuronal pentraxin II	Extracellular Space	other	4885	53324
CAMP	2.478307875	7.677345807	1.49E-05	cathelicidin antimicrobial peptide	Cytoplasm	other	820	12796
CAPN5	2.456678113	2.014360077	2.12E-08	calpain 5	Cytoplasm	peptidase	726	12337
MMP13	2.44150063	2.285719685	0.002088097	matrix metallopeptidase 13 (collagenase 3)	Extracellular Space	peptidase	4322	17386
ITIH4	2.332638891	2.352872533	1.51E-05	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	Extracellular Space	other	3700	16427
ST14	2.330251258	2.412453402	3.54E-07	suppression of tumorigenicity 14 (colon carcinoma)	Plasma Membrane	peptidase	6768	19143
HIPK2	2.275630357	2.483494645	1.21E-05	homeodomain interacting protein kinase 2	Nucleus	kinase	28996	15258
TGM2	2.236617789	5.005348701	1.19E-07	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	Cytoplasm	enzyme	7052	21817
SLC16A3	2.236117807	1.868570897	6.12E-09	solute carrier family 16, member 3 (monocarboxylic acid transporter 4)	Plasma Membrane	transporter	9123	80879
ACOX2	2.234145879	4.007641041	1.71E-08	acyl-Coenzyme A oxidase 2, branched chain	Cytoplasm	enzyme	8309	93732
VTCN1	2.226693013	3.781003175	7.25E-06	V-set domain containing T cell activation inhibitor 1	Plasma Membrane	other	79679	242122
MAD1L1	2.220806406	2.075008919	7.09E-08	MAD1 mitotic arrest deficient-like 1 (yeast)	Nucleus	other	8379	17120
C9ORF3	2.216157039	2.328421648	3.11E-05	chromosome 9 open reading frame 3	Cytoplasm	peptidase	84909	72061
S100A4	2.215772586	24.17701689	2.57E-08	S100 calcium binding protein A4	Cytoplasm	other	6275	20198
CST7	2.197304884	24.58331278	3.01E-09	cystatin F (leukocystatin)	Extracellular Space	other	8530	13011
CD97	2.188643765	1.799772463	0.002508751	CD97 molecule	Plasma Membrane	G-protein coupled receptor	976	26364
PTGER4	2.159976166	2.160983804	3.14E-07	prostaglandin E receptor 4 (subtype EP4)	Plasma Membrane	G-protein coupled receptor	5734	19219
B4GALT1	2.148976475	2.895677806	2.97E-08	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	Cytoplasm	enzyme	2683	14595
ASS1	2.148956767	6.585410736	4.95E-10	argininosuccinate synthetase 1	Cytoplasm	enzyme	445	11898
PLCG2	2.148376609	3.537489978	7.07E-07	phospholipase C, gamma 2 (phosphatidylinositol-specific)	Cytoplasm	enzyme	5336	234779
CD59	2.13916199	2.887579519	1.66E-05	CD59 molecule, complement regulatory protein	Plasma Membrane	other	966	333883
AACS	2.126019224	2.7386422	4.15E-09	acetoacetyl-CoA synthetase	Cytoplasm	enzyme	65985	78894
ACHE	2.118738959	1.917178227	0.002570329	acetylcholinesterase (Yt blood group)	Plasma Membrane	enzyme	43	11423
EPHX1	2.10623301	3.133623871	3.46E-07	epoxide hydrolase 1, microsomal (xenobiotic)	Cytoplasm	peptidase	2052	13849
BCAR1	2.104902137	2.144106768	2.99E-08	breast cancer anti-estrogen resistance 1	Plasma Membrane	other	9564	12927
GSTA4	2.081638508	2.559625948	1.06E-09	glutathione S-transferase alpha 4	Cytoplasm	enzyme	2941	14860
LOXL4	2.020089857	2.04444095	0.001988506	lysyl oxidase-like 4	Extracellular Space	enzyme	84171	67573
IFIT1	2.018286527	3.208402484	2.60E-08	interferon-induced protein with tetratricopeptide repeats 1	Cytoplasm	other	3434	112419|667373
CCND3	1.994379829	2.637679385	6.24E-10	cyclin D3	Nucleus	other	896	12445
KRT8	1.992028465	2.363677854	2.32E-08	keratin 8	Cytoplasm	other	3856	16691
LTC4S	1.984948418	12.06963464	2.42E-07	leukotriene C4 synthase	Cytoplasm	enzyme	4056	17001
DDR1	1.984535073	2.656678443	1.56E-07	discoidin domain receptor tyrosine kinase 1	Plasma Membrane	kinase	780	12305
LY96	1.975256633	5.057074091	3.48E-07	lymphocyte antigen 96	Plasma Membrane	other	23643	17087
DUSP2	1.924519194	4.065477106	3.83E-08	dual specificity phosphatase 2	Nucleus	phosphatase	1844	13537
GLRX	1.920996354	2.2483053	7.15E-07	glutaredoxin (thioltransferase)	Cytoplasm	enzyme	2745	93692
SSBP3	1.843379562	1.897451077	4.83E-06	single stranded DNA binding protein 3	Nucleus	transcription regulator	23648	72475
CARD9	1.841852617	2.427534418	2.85E-08	caspase recruitment domain family, member 9	Cytoplasm	other	64170	332579
PARP4	1.821046126	2.335137518	4.09E-08	poly (ADP-ribose) polymerase family, member 4	Nucleus	enzyme	143	328417
NRP1	1.802627258	3.25439796	4.12E-08	neuropilin 1	Plasma Membrane	transmembrane receptor	8829	18186
GALR2	1.796269468	2.755206678	3.03E-06	galanin receptor 2	Plasma Membrane	G-protein coupled receptor	8811	14428
TPM1	1.791227459	2.457561164	1.13E-05	tropomyosin 1 (alpha)	Cytoplasm	other	7168	22003
POLD4	1.783017642	2.29307128	4.47E-07	polymerase (DNA-directed), delta 4	Nucleus	enzyme	57804	69745
POR	1.777326653	2.531046063	4.67E-06	P450 (cytochrome) oxidoreductase	Cytoplasm	enzyme	5447	18984
APOBEC3F	1.757629812	1.663849878	8.13E-08	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F	Unknown	enzyme	200316
MR1	1.744739442	2.488191286	5.07E-07	major histocompatibility complex, class I-related	Plasma Membrane	transmembrane receptor	3140	15064
TNFRSF14	1.733980121	2.325002438	9.17E-09	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	Plasma Membrane	transmembrane receptor	8764	230979
PTGDS	1.725759137	3.242944991	2.47E-05	prostaglandin D2 synthase 21kDa (brain)	Cytoplasm	enzyme	5730	19215
PXN	1.706067013	3.260810548	3.94E-05	paxillin	Cytoplasm	other	5829	19303
S100A11	1.703197867	2.456680099	4.76E-09	S100 calcium binding protein A11	Cytoplasm	other	6282	665509|20195
FCGBP	1.69558052	1.903060298	1.46E-09	Fc fragment of IgG binding protein	Extracellular Space	other	8857	215384
COLEC12	1.685872637	6.500441358	1.09E-10	collectin sub-family member 12	Plasma Membrane	transmembrane receptor	81035	140792
CPEB4	1.682778974	2.630049813	9.29E-07	cytoplasmic polyadenylation element binding protein 4	Unknown	other	80315	67579
CTSD	1.676780157	2.963912025	4.44E-08	cathepsin D	Cytoplasm	peptidase	1509	13033
RAD54B	1.674928628	0.969833751	2.78E-06	RAD54 homolog B (S. cerevisiae)	Nucleus	enzyme	25788	623474
KLK4	1.665967684	2.664953239	1.36E-09	kallikrein-related peptidase 4	Extracellular Space	peptidase	9622	56640
MUC1	1.662131526	1.550484831	1.05E-09	mucin 1, cell surface associated	Plasma Membrane	other	4582	17829
PINK1	1.662022146	2.645035384	5.57E-09	PTEN induced putative kinase 1	Cytoplasm	kinase	65018	68943
TBX3	1.654737789	1.768398997	1.57E-08	T-box 3	Nucleus	transcription regulator	6926	21386
ALOX5AP	1.641403561	4.425732728	0.000285924	arachidonate 5-lipoxygenase-activating protein	Plasma Membrane	other	241	11690
IFI6	1.632795363	3.413152885	1.26E-06	interferon, alpha-inducible protein 6	Cytoplasm	other	2537
NR3C2	1.632308638	2.782560115	1.35E-06	nuclear receptor subfamily 3, group C, member 2	Nucleus	ligand-dependent nuclear receptor	4306	110784
AKR1C3	1.587672524	4.284606672	2.27E-05	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	Cytoplasm	enzyme	8644	105349
SDC2	1.578022032	5.139816022	3.08E-06	syndecan 2	Plasma Membrane	other	6383	15529
HCP5	1.573470939	2.994850834	7.44E-09	HLA complex P5	Unknown	other	10866
SYT17	1.544889456	2.900443757	0.000453349	synaptotagmin XVII	Plasma Membrane	other	51760	110058
CSF1R	1.53663175	3.952368345	0.00018344	colony stimulating factor 1 receptor	Plasma Membrane	kinase	1436	12978
HIST2H2BE	1.526940395	3.274560515	3.99E-08	histone cluster 2, H2be	Nucleus	other	8349
GSTM1	1.517040265	4.338138052	0.000131634	glutathione S-transferase mu 1	Cytoplasm	enzyme	2944	14863
COL7A1	1.484882649	2.74407881	8.55E-05	collagen, type VII, alpha 1	Extracellular Space	other	1294	12836
MGP	1.484193564	4.826235465	7.43E-06	matrix Gla protein	Extracellular Space	other	4256	17313
S100A2	1.463860133	3.071710958	8.64E-06	S100 calcium binding protein A2	Cytoplasm	other	6273	628324
MYLK	1.451263703	2.655643841	3.73E-08	myosin light chain kinase	Cytoplasm	kinase	4638	107589
CTSH	1.440886853	2.238308139	9.59E-07	cathepsin H	Cytoplasm	peptidase	1512	13036
CCND2	1.41219055	3.719030744	0.000227626	cyclin D2	Nucleus	other	894	12444
DFFB	1.403262599	1.091523441	4.88E-07	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)	Nucleus	enzyme	1677	13368
CSMD1	1.34033962	2.988996768	0.000670578	CUB and Sushi multiple domains 1	Plasma Membrane	other	64478	94109
PI3	1.290557909	3.101125829	0.001984478	peptidase inhibitor 3, skin-derived	Extracellular Space	other	5266	192201
NEK2	1.278883206	0.168899457	2.80E-08	NIMA (never in mitosis gene a)-related kinase 2	Nucleus	kinase	4751	18005
VAMP1	1.260743519	2.203646319	4.29E-08	vesicle-associated membrane protein 1 (synaptobrevin 1)	Plasma Membrane	transporter	6843	22317
RET	1.246105405	4.399541155	0.003642474	ret proto-oncogene	Plasma Membrane	kinase	5979	19713
GCGR	1.228969342	4.02165724	0.0010182	glucagon receptor	Plasma Membrane	G-protein coupled receptor	2642	14527
ANGPTL4	1.169003991	1.105873108	9.84E-06	angiopoietin-like 4	Extracellular Space	other	51129	57875
CCNE2	1.153331937	1.106623783	8.25E-08	cyclin E2	Nucleus	other	9134	12448
IL1RN	1.144866584	0.934083722	1.56E-07	interleukin 1 receptor antagonist	Extracellular Space	cytokine	3557	16181
USP1	1.124652971	1.041797284	0.001373695	ubiquitin specific peptidase 1	Cytoplasm	peptidase	7398	230484
PSD3	1.089306538	0.737231677	5.31E-06	pleckstrin and Sec7 domain containing 3	Unknown	other	23362	234353
CYP4Z1	1.085456304	0.851150619	0.002531531	cytochrome P450, family 4, subfamily Z, polypeptide 1	Cytoplasm	enzyme	199974
MITF	0.992800424	0.805544856	0.000164474	microphthalmia-associated transcription factor	Nucleus	transcription regulator	4286	17342
CEP55	0.91152548	0.196988934	5.75E-11	centrosomal protein 55kDa	Unknown	other	55165	74107
PPARD	0.908064838	1.147497363	5.77E-06	peroxisome proliferator-activated receptor delta	Nucleus	ligand-dependent nuclear receptor	5467	19015
RTN1	0.905411306	1.094131445	2.47E-07	reticulon 1	Cytoplasm	other	6252	104001
RAD51	0.896747654	0.755968946	2.07E-06	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	Nucleus	enzyme	5888	19361
HMMR	0.895772566	0.211146476	4.21E-08	hyaluronan-mediated motility receptor (RHAMM)	Plasma Membrane	other	3161	15366
GPSM2	0.882669918	0.227121828	2.95E-08	G-protein signaling modulator 2 (AGS3-like, C. elegans)	Nucleus	other	29899	76123
MXD3	0.880688884	0.258910154	7.68E-08	MAX dimerization protein 3	Nucleus	transcription regulator	83463	17121
CDCA8	0.879407398	0.273192915	2.28E-06	cell division cycle associated 8	Nucleus	other	55143	52276
TTK	0.875364669	0.19102285	1.65E-08	TTK protein kinase	Nucleus	kinase	7272	22137
ACOT7	0.875319801	1.219826486	1.23E-07	acyl-CoA thioesterase 7	Cytoplasm	enzyme	11332	70025
CENPF	0.863630487	0.209671063	1.17E-06	centromere protein F, 350/400ka (mitosin)	Nucleus	other	1063	108000
KIAA0101	0.862484253	0.333834315	4.53E-06	KIAA0101	Nucleus	other	9768	68026
PRC1	0.860418591	0.232531593	4.64E-09	protein regulator of cytokinesis 1	Nucleus	other	9055	233406
NUDT1	0.856699026	0.61607285	3.72E-08	nudix (nucleoside diphosphate linked moiety X)-type motif 1	Extracellular Space	phosphatase	4521	17766
TK1	0.844692576	0.291114242	4.06E-09	thymidine kinase 1, soluble	Cytoplasm	kinase	7083	619653|21877
KIF20A	0.843299964	0.208240204	1.50E-08	kinesin family member 20A	Cytoplasm	transporter	10112	19348
NCAPG2	0.839703865	0.253183945	3.58E-08	non-SMC condensin I complex, subunit G	Nucleus	other	64151
S100P	0.834833981	0.195183466	1.15E-09	S100 calcium binding protein P	Cytoplasm	other	6286
PPARG	0.832105259	1.133284114	5.83E-10	peroxisome proliferator-activated receptor gamma	Nucleus	ligand-dependent nuclear receptor	5468	19016
ILK	0.827270752	0.752364344	3.55E-06	integrin-linked kinase	Plasma Membrane	kinase	3611	16202
PTTG1	0.82346891	0.241083797	7.38E-10	pituitary tumor-transforming 1	Nucleus	transcription regulator	9232	30939
CENPA	0.810667843	0.179765254	8.44E-09	centromere protein A	Nucleus	other	1058	12615
TOP2A	0.803339265	0.188026861	6.68E-09	topoisomerase (DNA) II alpha 170kDa	Nucleus	enzyme	7153	21973
FANCG	0.794330425	0.316626759	2.28E-07	Fanconi anemia, complementation group G	Nucleus	other	2189	60534
TYMS	0.787491915	0.266385988	2.42E-07	thymidylate synthetase	Nucleus	enzyme	7298	22171
CDC2	0.77853151	0.285182196	1.30E-06	cell division cycle 2, G1 to S and G2 to M	Nucleus	kinase	983	12534
DNMT3B	0.76225295	0.937408427	2.84E-08	DNA (cytosine-5-)-methyltransferase 3 beta	Nucleus	enzyme	1789	13436
UBE2C	0.743040538	0.240650366	2.19E-10	ubiquitin-conjugating enzyme E2C	Cytoplasm	enzyme	11065	68612
PBK	0.734293064	0.18447099	1.19E-08	PDZ binding kinase	Cytoplasm	kinase	55872	52033
AURKB	0.733117372	0.202454671	6.19E-10	aurora kinase B	Nucleus	kinase	9212	20877
BIRC5	0.729688426	0.23139903	2.82E-09	baculoviral IAP repeat-containing 5	Cytoplasm	other	332	11799
C12ORF48	0.727716945	0.271292145	4.84E-10	chromosome 12 open reading frame 48	Nucleus	other	55010	75317
KIFC1	0.721394819	0.208729809	2.38E-06	kinesin family member C1	Nucleus	other	3833	100042970|16580
NVL	0.721227072	1.036073781	1.09E-07	nuclear VCP-like	Nucleus	other	4931	67459
CDCA5	0.72053625	0.241709936	6.61E-11	cell division cycle associated 5	Cytoplasm	other	113130	67849
MELK	0.707214255	0.205718676	3.65E-09	maternal embryonic leucine zipper kinase	Cytoplasm	kinase	9833	17279
CHEK2	0.703644228	0.310069959	7.84E-08	CHK2 checkpoint homolog (S. pombe)	Nucleus	kinase	11200	50883
HMGB2	0.695136778	0.192309904	1.46E-09	high-mobility group box 2	Nucleus	transcription regulator	3148	97165
MCM4	0.691901466	0.359252398	5.62E-06	minichromosome maintenance complex component 4	Nucleus	enzyme	4173	17217
CKS1B	0.690983693	0.213577238	4.91E-10	CDC28 protein kinase regulatory subunit 1B	Cytoplasm	kinase	1163	54124
BRCA1	0.690848401	0.241933685	4.66E-06	breast cancer 1, early onset	Nucleus	transcription regulator	672	12189
RFC4	0.68844693	0.356718117	3.86E-08	replication factor C (activator 1) 4, 37kDa	Nucleus	other	5984	106344
IGF1R	0.682822398	0.705536111	0.218950462	insulin-like growth factor 1 receptor	Plasma Membrane	transmembrane receptor	3480	16001
TRAF3IP2	0.673861683	1.31085782	2.77E-07	TRAF3 interacting protein 2	Unknown	other	10758	103213
LOX	0.673618795	0.292526467	9.01E-06	lysyl oxidase	Extracellular Space	enzyme	4015	16948
EME1	0.671345749	0.338461959	1.73E-06	essential meiotic endonuclease 1 homolog 1 (S. pombe)	Nucleus	other	146956	268465
CHEK1	0.669722509	0.360308398	5.22E-08	CHK1 checkpoint homolog (S. pombe)	Nucleus	kinase	1111	12649
PRIM1	0.668277272	0.266527363	1.07E-07	primase, DNA, polypeptide 1 (49kDa)	Nucleus	enzyme	5557	19075
H2AFX	0.665554633	0.3282657	6.58E-07	H2A histone family, member X	Nucleus	other	3014	15270
DIAPH3	0.66220082	0.337602515	4.99E-07	diaphanous homolog 3 (Drosophila)	Cytoplasm	enzyme	81624	56419
CCNA2	0.661944871	0.213467931	1.02E-09	cyclin A2	Nucleus	other	890	12428
INSIG1	0.661441285	0.258331088	2.25E-05	insulin induced gene 1	Cytoplasm	other	3638	231070
MSMB	0.658052808	1.08649922	2.57E-07	microseminoprotein, beta-	Extracellular Space	other	4477	17695
MTHFD1L	0.657702036	0.320298858	5.07E-07	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	Cytoplasm	enzyme	25902	270685
POLE	0.654068623	0.394602302	5.23E-07	polymerase (DNA directed), epsilon	Nucleus	enzyme	5426	18973
CCNB1	0.649185294	0.256422908	2.42E-07	cyclin B1	Nucleus	other	891	268697|434175
C15ORF23	0.646411266	0.265239076	3.16E-07	chromosome 15 open reading frame 23	Unknown	other	90417	51944
KIF11	0.64136515	0.207826884	2.89E-08	kinesin family member 11	Nucleus	other	3832	16551
ODC1	0.638437023	0.377554849	1.95E-10	ornithine decarboxylase 1	Cytoplasm	enzyme	4953	18263
MLF1IP	0.636016859	0.288042583	7.33E-05	MLF1 interacting protein	Nucleus	other	79682	71876
SLC7A5	0.627233944	0.289845773	5.91E-08	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	Plasma Membrane	transporter	8140	20539
MCM2	0.623053137	0.229865038	9.74E-08	minichromosome maintenance complex component 2	Nucleus	enzyme	4171	17216
CHAF1A	0.615424274	0.334035056	2.26E-05	chromatin assembly factor 1, subunit A (p150)	Nucleus	other	10036	27221
STX2	0.614649724	0.342159181	5.92E-08	syntaxin 2	Cytoplasm	transporter	2054	13852
HSD17B6	0.610469754	0.279435978	0.000114824	hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse)	Unknown	enzyme	8630	27400
CNTNAP2	0.604598575	0.305413826	2.80E-06	contactin associated protein-like 2	Plasma Membrane	other	26047	66797
LIN9	0.604588179	0.340963311	2.87E-07	lin-9 homolog (C. elegans)	Nucleus	other	286826	72568
SERPINE2	0.604504969	0.363774536	9.03E-10	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	Extracellular Space	other	5270	20720
BARD1	0.59771778	0.370839039	2.86E-08	BRCA1 associated RING domain 1	Nucleus	transcription regulator	580	12021
POLE2	0.597711315	0.276810551	1.20E-08	polymerase (DNA directed), epsilon 2 (p59 subunit)	Nucleus	enzyme	5427	18974
MCM10	0.589473422	0.217021277	4.85E-06	minichromosome maintenance complex component 10	Nucleus	other	55388	70024
PMAIP1	0.573180354	0.210254787	6.32E-06	phorbol-12-myristate-13-acetate-induced protein 1	Cytoplasm	other	5366	58801
SKP2	0.57048256	0.395199123	1.56E-07	S-phase kinase-associated protein 2 (p45)	Nucleus	other	6502	27401
MAD2L1	0.568411051	0.303450734	0.002714642	MAD2 mitotic arrest deficient-like 1 (yeast)	Nucleus	other	4085	56150
LRP8	0.566118262	0.536949397	3.57E-10	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	Plasma Membrane	transmembrane receptor	7804	16975
TM4SF1	0.550902628	0.329346392	1.12E-08	transmembrane 4 L six family member 1	Plasma Membrane	other	4071	17112
VRK1	0.541813534	0.317810617	1.64E-06	vaccinia related kinase 1	Nucleus	kinase	7443	22367
SERTAD2	0.540941562	0.355968451	3.60E-08	SERTA domain containing 2	Cytoplasm	transcription regulator	9792	58172
GMNN	0.53648644	0.347219102	2.83E-07	geminin, DNA replication inhibitor	Nucleus	other	51053	57441
SPDEF	0.532994298	0.281613212	2.80E-09	SAM pointed domain containing ets transcription factor	Nucleus	transcription regulator	25803	30051
NES	0.524722313	0.288098989	7.20E-08	nestin	Cytoplasm	other	10763	18008
CDC6	0.517710562	0.335125454	0.000315285	cell division cycle 6 homolog (S. cerevisiae)	Nucleus	other	990	23834
ORC1L	0.515727984	0.275788902	2.15E-07	origin recognition complex, subunit 1-like (yeast)	Nucleus	other	4998	18392
CP110	0.514928359	0.406988209	1.71E-09	CP110 protein	Cytoplasm	other	9738	101565
ATF3	0.5092601	0.244562134	5.27E-09	activating transcription factor 3	Nucleus	transcription regulator	467	11910
CLGN	0.506952777	0.392986606	2.98E-05	calmegin	Cytoplasm	peptidase	1047	12745
PSMC3IP	0.503030736	0.252316308	3.46E-08	PSMC3 interacting protein	Nucleus	other	29893	19183
AMD1	0.501784158	0.426999791	2.30E-09	adenosylmethionine decarboxylase 1	Unknown	enzyme	262	100041585|100043304|11702
CDK2	0.494791692	0.442041262	0.001335143	cyclin-dependent kinase 2	Nucleus	kinase	1017	12566
BAMBI	0.481784435	0.294440587	9.72E-10	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	Plasma Membrane	other	25805	68010
HTR3A	0.480158967	0.190472759	5.26E-09	5-hydroxytryptamine (serotonin) receptor 3A	Plasma Membrane	ion channel	3359	15561
EZH2	0.479502258	0.484021668	0.000496607	enhancer of zeste homolog 2 (Drosophila)	Nucleus	transcription regulator	2146	14056
DLG2	0.47739735	0.394206845	3.25E-05	discs, large homolog 2 (Drosophila)	Plasma Membrane	kinase	1740	23859
TFPI	0.470307622	0.284811808	3.90E-05	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	Extracellular Space	other	7035	21788
RRM2	0.467928324	0.268165455	8.55E-07	ribonucleotide reductase M2	Nucleus	enzyme	6241	20135
KLF4	0.466796308	0.540061083	2.72E-06	Kruppel-like factor 4 (gut)	Nucleus	transcription regulator	9314	16600
GDF15	0.460965559	0.12825294	1.55E-09	growth differentiation factor 15	Extracellular Space	growth factor	9518	23886
MYC	0.458211291	0.35412026	2.92E-07	v-myc myelocytomatosis viral oncogene homolog (avian)	Nucleus	transcription regulator	4609	17869
