Symbol	probe set	Description	WT Value	WT+GW Value	PDK1 Value	PDK1+GW	WT+GWvsWT Fold Change	PDK1vsWT Fold Change	PDK1+GWvsWT Fold Change	PDK1+GWvsPDK1 Fold Change
C6	1449308_at	complement component 6	360	202.9	210.5	170.3	-1.774273041	-1.710213777	-2.113916618	-2.113916618
Car3	1453588_at	carbonic anhydrase 3	215.4	427.4	595.8	353.6	1.984215413	2.766016713	1.641597029	1.641597029
Car6	1421001_a_at	carbonic anhydrase 6	146.8	53.5	59.4	823.1	-2.743925234	-2.471380471	5.606948229	5.606948229
Casq1	1422598_at	calsequestrin 1	545	390.2	1826.5	120.8	-1.396719631	3.351376147	-4.511589404	-4.511589404
Cck	1419473_a_at	cholecystokinin	148.5	201.3	328.7	251.6	1.355555556	2.213468013	1.694276094	1.694276094
Ccl12	1419282_at	chemokine (C-C motif) ligand 12	532.1	218.2	467.4	216.9	-2.438588451	-1.138425332	-2.453204242	-2.453204242
Ccr7	1423466_at	chemokine (C-C motif) receptor 7	903.9	849.4	413.4	678.4	-1.064162939	-2.186502177	-1.332399764	-1.332399764
Cct4	1456082_x_at	chaperonin subunit 4 (delta)	627.9	896.9	770.5	1255.9	1.428412168	1.227106227	2.000159261	2.000159261
Cd37	1419206_at	CD37 antigen	1058.1	827.7	344.8	706.2	-1.278361725	-3.068735499	-1.498300765	-1.498300765
Cd4	1419696_at	CD4 antigen	333.7	299.1	108.3	299.6	-1.115680374	-3.081255771	-1.113818425	-1.113818425
Cd5l	1449193_at	CD5 antigen-like	595.9	247.1	324.7	166.7	-2.411574261	-1.835232522	-3.574685063	-3.574685063
Cd6	1451910_a_at	CD6 antigen	403.7	293.6	176.7	275.8	-1.375	-2.284663271	-1.463741842	-1.463741842
Cd69	1428735_at	CD69 antigen	421.4	319.7	192.5	267.9	-1.318110729	-2.189090909	-1.572974991	-1.572974991
Cel	1417257_at	carboxyl ester lipase	386.1	140.1	259.1	291.3	-2.755888651	-1.49015824	-1.325437693	-1.325437693
Centb1	1434873_a_at	centaurin, beta 1	686	512.4	295.6	516.5	-1.338797814	-2.320703654	-1.328170378	-1.328170378
Ces3	1435371_x_at	carboxylesterase 3	1115.8	1646.2	2327.8	1788	1.475354006	2.086216168	1.602437713	1.602437713
Cidea	1417956_at	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	5295.3	11248.4	9010.2	10094.5	2.124223368	1.701546655	1.906313146	1.906313146
Ckm	1417614_at	creatine kinase, muscle	3856.3	3151	10115.7	467.2	-1.223833704	2.623162098	-8.254066781	-8.254066781
Ckmt2	1428722_at	creatine kinase, mitochondrial 2	151.2	110.9	1114.1	10.5	-1.363390442	7.368386243	-14.4	-14.4
Cldn3	1426332_a_at	claudin 3	982.4	481.8	772.4	994.9	-2.03902034	-1.271879855	1.012723941	1.012723941
Clec14a	1419468_at	C-type lectin domain family 14, member a	386.8	186.5	179.7	261.5	-2.073994638	-2.152476349	-1.4791587	-1.4791587
Clic5	1458381_at	chloride intracellular channel 5	139.6	302.1	340.7	279.3	2.164040115	2.440544413	2.000716332	2.000716332
Clic5	1456873_at	chloride intracellular channel 5	418	895.4	714.3	606.3	2.142105263	1.708851675	1.450478469	1.450478469
Clmn	1429166_s_at	calmin	633.8	300.2	432.8	377.3	-2.111259161	-1.464417745	-1.679830374	-1.679830374
Cmya5	1427312_at	cardiomyopathy associated 5	292.4	252.6	1290.7	99.8	-1.157561362	4.414158687	-2.929859719	-2.929859719
Cnn3	1456380_x_at	calponin 3, acidic	4709	2144.7	2773.5	2561.3	-2.195645079	-1.697854696	-1.838519502	-1.838519502
Cntnap2	1422798_at	contactin associated protein-like 2	130.5	114.9	320.2	152.7	-1.135770235	2.453639847	1.170114943	1.170114943
Cox6a2	1417607_at	cytochrome c oxidase, subunit VI a, polypeptide 2	361.7	373.2	1781.5	212.2	1.031794305	4.925352502	-1.704524034	-1.704524034
Cox7a1	1418709_at	cytochrome c oxidase, subunit VIIa 1	939.9	4973.6	3511.4	2068.4	5.291626769	3.735929354	2.200659645	2.200659645
Cox8b	1449218_at	cytochrome c oxidase, subunit VIIIb	5613.8	13185	10562.9	8462.6	2.348676476	1.881595354	1.50746375	1.50746375
Cpt1b	1418328_at	carnitine palmitoyltransferase 1b, muscle	322	979.5	882.4	653.1	3.041925466	2.740372671	2.02826087	2.02826087
Crabp2	1451191_at	cellular retinoic acid binding protein II	565.5	238	515.2	403.6	-2.37605042	-1.097631988	-1.401139742	-1.401139742
Csna	1420627_a_at	casein alpha	9631.5	3153.1	9826.3	5497	-3.054612921	1.020225302	-1.75213753	-1.75213753
Csnb	1420370_s_at	casein beta	6074.4	2256.5	6481.4	3841.3	-2.69195657	1.067002502	-1.581339651	-1.581339651
Cspg3	1434679_at	chondroitin sulfate proteoglycan 3	80.6	356	159.1	332.4	4.416873449	1.973945409	4.124069479	4.124069479
Csrp2bp	1452775_at	cysteine and glycine-rich protein 2 binding protein	361.1	573.6	735.1	581.4	1.588479646	2.035724176	1.61008031	1.61008031
Csrp3	1460318_at	cysteine and glycine-rich protein 3	33.3	49.9	307.6	28.4	1.498498498	9.237237237	-1.172535211	-1.172535211
Ctgf	1416953_at	connective tissue growth factor	1449.6	642.2	1366.5	1438.3	-2.257240735	-1.060812294	-1.007856497	-1.007856497
Ctsw	1422632_at	cathepsin W	475.9	363.1	227.3	233.1	-1.310658221	-2.093708755	-2.041613042	-2.041613042
Cyfip2	1449273_at	cytoplasmic FMR1 interacting protein 2	349.3	291.6	138.8	190.2	-1.1978738	-2.516570605	-1.836487907	-1.836487907
Cyp7b1	1421075_s_at	cytochrome P450, family 7, subfamily b, polypeptide 1	375.3	178	421.9	149.4	-2.108426966	1.124167333	-2.512048193	-2.512048193
Cyr61	1438133_a_at	cysteine rich protein 61	700.7	348.1	781.6	620.2	-2.01292732	1.115455973	-1.12979684	-1.12979684
D1Ertd471e	1436221_at	DNA segment, Chr 1, ERATO Doi 471, expressed	355.7	393.4	167.1	342.9	1.105988192	-2.12866547	-1.037328667	-1.037328667
Ddit4l	1451751_at	DNA-damage-inducible transcript 4-like	157.2	162.3	569.6	38.7	1.032442748	3.623409669	-4.062015504	-4.062015504
Des	1426731_at	desmin	353.3	375.5	801.7	213	1.062836117	2.269176337	-1.658685446	-1.658685446
Dhdh	1453487_at	dihydrodiol dehydrogenase (dimeric)	671.6	1108.3	1214	1345.4	1.650238237	1.807623585	2.003275759	2.003275759
Dhrs7c	1444504_at	dehydrogenase/reductase (SDR family) member 7C	101.8	116.4	465.6	9.9	1.143418468	4.57367387	-10.28282828	-10.28282828
Dio2	1418937_at	deiodinase, iodothyronine, type II	102	174.4	319	190.8	1.709803922	3.12745098	1.870588235	1.870588235
Dlat	1426265_x_at	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	2776.3	5562.9	4173.6	4638.8	2.003709974	1.503295753	1.670856896	1.670856896
Dnm3os	1452382_at	dynamin 3, opposite strand	120.3	192.8	364	185.5	1.602660017	3.025768911	1.541978387	1.541978387
Dock6	1427422_at	dedicator of cytokinesis 6	590	363.4	227.9	272.9	-1.623555311	-2.588854761	-2.161964089	-2.161964089
Dtx1	1425822_a_at	deltex 1 homolog (Drosophila)	554.6	443	270.8	341.8	-1.251918736	-2.048005908	-1.622586308	-1.622586308
Dtx3	1420752_at	deltex 3 homolog (Drosophila)	259.4	305.3	117.3	353.8	1.1769468	-2.2114237	1.363916731	1.363916731
E2f5	1447625_at	E2F transcription factor 5	117.5	503.6	544.3	277.5	4.285957447	4.632340426	2.361702128	2.361702128
Edg6	1451024_at	endothelial differentiation, G-protein-coupled receptor 6	514.2	339.7	220.5	373.6	-1.513688549	-2.331972789	-1.37633833	-1.37633833
Eef1a2	1418062_at	eukaryotic translation elongation factor 1 alpha 2	474.8	353.9	1164.2	172.5	-1.341621927	2.451979781	-2.752463768	-2.752463768
Egr2	1427682_a_at	early growth response 2	667.7	606.9	2043.7	762.3	-1.100181249	3.060805751	1.141680395	1.141680395
Ehf	1451375_at	ets homologous factor	543.2	252.3	518.5	316.7	-2.152992469	-1.047637416	-1.715187875	-1.715187875
Elovl3	1420722_at	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	150.1	2738	1413.4	431.2	18.24117255	9.416389074	2.872751499	2.872751499
Elovl6	1417404_at	ELOVL family member 6, elongation of long chain fatty acids (yeast)	2834.9	10041.1	4798	10607	3.541959152	1.692475925	3.741578186	3.741578186
Elovl7	1441891_x_at	ELOVL family member 7, elongation of long chain fatty acids (yeast)	346.2	176.3	162.8	270.9	-1.963698242	-2.126535627	-1.277962348	-1.277962348
Emid1	1449581_at	EMI domain containing 1	542.2	246.2	401.3	461.9	-2.202274574	-1.351108896	-1.173847153	-1.173847153
Eno3	1417951_at	enolase 3, beta muscle	2040.1	1361.2	5748.5	458.3	-1.498751102	2.817754032	-4.451451015	-4.451451015
Eraf	1449077_at	erythroid associated factor	140.7	131.5	338.3	153.5	-1.069961977	2.404406539	1.090973703	1.090973703
Expi	1417160_s_at	extracellular proteinase inhibitor	7919.9	2992.2	5606.6	5590.1	-2.646848473	-1.412603004	-1.416772509	-1.416772509
Fabp3	1416023_at	fatty acid binding protein 3, muscle and heart	618.6	2867.9	3048.9	1144.2	4.636113805	4.92870999	1.849660524	1.849660524
Fkbp5	1416125_at	FK506 binding protein 5	1096.3	1176.1	2399.7	794.6	1.072790295	2.188908146	-1.379687893	-1.379687893
Fus	1451285_at	fusion, derived from t(12, 16) malignant liposarcoma (human)	2568.1	1256.9	2082.1	1605.6	-2.043201528	-1.233418184	-1.599464375	-1.599464375
Gdap10	1420342_at	ganglioside-induced differentiation-associated-protein 10	226.7	339.4	499.1	398	1.497132775	2.201588002	1.755624173	1.755624173
Ggtla1	1439420_x_at	gamma-glutamyltransferase-like activity 1	754.2	607.6	270.4	770.1	-1.241277156	-2.789201183	1.021081941	1.021081941
Gjb2	1423271_at	gap junction membrane channel protein beta 2	345	149.5	250.3	298.1	-2.307692308	-1.378345985	-1.157329755	-1.157329755
Gm106	1457429_s_at	gene model 106, (NCBI)	492.4	343.8	556.7	204.3	-1.43222804	1.13058489	-2.410181106	-2.410181106
Gpd1	1416204_at	glycerol-3-phosphate dehydrogenase 1 (soluble)	3074.6	7925.3	5468.7	5466.4	2.57766864	1.778670396	1.777922331	1.777922331
Gpd1	1439396_x_at	glycerol-3-phosphate dehydrogenase 1 (soluble)	161.1	172.2	335.8	211.1	1.068901304	2.084419615	1.310366232	1.310366232
Gpd2	1452741_s_at	glycerol phosphate dehydrogenase 2, mitochondrial	444.5	1486.4	896.1	945.9	3.343982002	2.015973003	2.128008999	2.128008999
Gpd2	1417434_at	glycerol phosphate dehydrogenase 2, mitochondrial	3346.6	8274.6	5237.4	5713.3	2.472539294	1.564991334	1.707195362	1.707195362
Gpr23	1434186_at	G protein-coupled receptor 23	382.3	209.7	193	142.4	-1.823080591	-1.980829016	-2.684691011	-2.684691011
Gsta3	1423436_at	glutathione S-transferase, alpha 3	276.5	615.4	390.6	419	2.225678119	1.412658228	1.515370705	1.515370705
Gyk	1422703_at	glycerol kinase	175.4	461.3	757	284.4	2.629988597	4.315849487	1.621436716	1.621436716
Gys2	1424815_at	glycogen synthase 2	1012.3	2049.3	1624.3	1977.7	2.024399881	1.604563864	1.953669861	1.953669861
Haghl	1428584_a_at	hydroxyacylglutathione hydrolase-like	655.4	317.5	351.5	480.5	-2.064251969	-1.86458037	-1.363995838	-1.363995838
Has2	1449169_at	hyaluronan synthase 2	347.8	147	430.5	92.4	-2.365986395	1.237780334	-3.764069264	-3.764069264
Hfe2	1454137_s_at	hemochromatosis type 2 (juvenile) (human homolog)	205.2	196.8	435.1	75.2	-1.042682927	2.12037037	-2.728723404	-2.728723404
Hmg20a	1428920_at	high mobility group 20A	223.8	480.6	185.6	431.9	2.147453083	-1.205818966	1.929848079	1.929848079
Hmgcs2	1423858_a_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	382.3	848.1	418.6	719.8	2.218414857	1.094951609	1.882814544	1.882814544
Hrc	1419109_at	histidine rich calcium binding protein	220.3	140.7	817.5	91	-1.565742715	3.710848842	-2.420879121	-2.420879121
Hsp110	1423566_a_at	heat shock protein 110	494.2	1368	976.8	527.6	2.768110077	1.976527722	1.067583974	1.067583974
Hspa9a	1447728_x_at	heat shock protein 9A	156.7	515.9	394.2	423.5	3.292278239	2.515634971	2.702616465	2.702616465
Hspb6	1436332_at	heat shock protein, alpha-crystallin-related, B6	639.4	758.9	1483.9	822	1.186893963	2.320769471	1.285580231	1.285580231
Idh3a	1422500_at	isocitrate dehydrogenase 3 (NAD+) alpha	828.7	1943	1432.6	1425.2	2.344636177	1.728731749	1.7198021	1.7198021
Indo	1420437_at	indoleamine-pyrrole 2,3 dioxygenase	693.7	253.8	1095.6	409.5	-2.733254531	1.579357071	-1.694017094	-1.694017094
Jakmip1	1441317_x_at	janus kinase and microtubule interacting protein 1	570.6	552.7	264.4	467.5	-1.032386466	-2.158093797	-1.220534759	-1.220534759
Kcnb1	1423180_at	potassium voltage gated channel, Shab-related subfamily, member 1	123.5	350.2	175.5	301.2	2.83562753	1.421052632	2.438866397	2.438866397
Kcnh3	1459107_at	potassium voltage-gated channel, subfamily H (eag-related), member 3	137.9	281.2	184.2	343.6	2.039158811	1.335750544	2.491660624	2.491660624
Kcnj15	1435354_at	potassium inwardly-rectifying channel, subfamily J, member 15	181.5	246.5	182.8	382.7	1.358126722	1.007162534	2.108539945	2.108539945
Kcnk3	1425341_at	potassium channel, subfamily K, member 3	243.9	538.3	370.7	457.2	2.207052071	1.519885199	1.874538745	1.874538745
Klhdc5	1426988_at	kelch domain containing 5	326.1	139.2	216.8	153.2	-2.342672414	-1.504151292	-2.128590078	-2.128590078
Kng1	1416676_at	kininogen 1	30.3	407.8	127.4	105.2	13.45874587	4.204620462	3.471947195	3.471947195
Lat	1460651_at	linker for activation of T cells	1147.8	1031.6	565.2	754.5	-1.112640558	-2.030785563	-1.521272366	-1.521272366
Lbh	1429088_at	limb-bud and heart	252.4	129.1	126	321	-1.955073586	-2.003174603	1.271790808	1.271790808
Ldb3	1416752_at	LIM domain binding 3	252	222	987.6	52.8	-1.135135135	3.919047619	-4.772727273	-4.772727273
Lepr	1456156_at	leptin receptor	354.1	180.6	258.3	158.5	-1.9606866	-1.370886566	-2.234069401	-2.234069401
Letmd1	1418860_a_at	LETM1 domain containing 1	879.7	1998.5	1547.8	960.1	2.271797204	1.759463453	1.091394794	1.091394794
Lin10	1435468_at	lin-10 homolog (C. elegans)	476.8	199.6	304.2	461.4	-2.388777555	-1.567389875	-1.03337668	-1.03337668
Ltb	1419135_at	lymphotoxin B	2257	1725.4	1087.4	1434.7	-1.308102469	-2.075593158	-1.573151181	-1.573151181
Marco	1458297_s_at	macrophage receptor with collagenous structure	439.5	267.7	207.6	237.9	-1.641763168	-2.117052023	-1.84741488	-1.84741488
Mb	1451203_at	myoglobin	123.8	158.8	1040	123.6	1.282714055	8.400646204	-1.001618123	-1.001618123
Mbd5	1441987_at	methyl-CpG binding domain protein 5	296	690.1	750.4	524	2.331418919	2.535135135	1.77027027	1.77027027
Mbp	1454651_x_at	myelin basic protein	1086.1	460.8	949.9	518	-2.356987847	-1.143383514	-2.096718147	-2.096718147
Med18	1460462_at	mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)	60.2	287.1	443.2	388.2	4.76910299	7.362126246	6.448504983	6.448504983
Meox2	1424233_at	mesenchyme homeobox 2	898.2	705	418	775.1	-1.274042553	-2.148803828	-1.158818217	-1.158818217
Mfap4	1424010_at	microfibrillar-associated protein 4	381.4	152.5	203.1	222.7	-2.500983607	-1.877892664	-1.712617872	-1.712617872
Mitf	1422025_at	microphthalmia-associated transcription factor	364.6	224.1	235	180.9	-1.626952253	-1.551489362	-2.015478165	-2.015478165
Mlf1	1418589_a_at	myeloid leukemia factor 1	173.1	161.9	733.5	98.6	-1.069178505	4.237435009	-1.755578093	-1.755578093
Mlxipl	1419185_a_at	MLX interacting protein-like	674.8	1457.1	1178.2	1194.9	2.159306461	1.745998814	1.770746888	1.770746888
Mmd2	1438654_x_at	monocyte to macrophage differentiation-associated 2	229.1	114.7	874.7	137.3	-1.997384481	3.817983413	-1.668608886	-1.668608886
Mod1	1430307_a_at	malic enzyme, supernatant	6617.2	16941.9	9187.8	14337.8	2.560282295	1.388472466	2.166747265	2.166747265
Mosc1	1428005_at	MOCO sulphurase C-terminal domain containing 1	659.3	1615.8	638	1344.9	2.450781132	-1.03338558	2.039890793	2.039890793
Mrps14	1420488_at	mitochondrial ribosomal protein S14	240.7	582.5	567.4	569.8	2.420024927	2.357291234	2.367262152	2.367262152
Mtch2	1438843_x_at	mitochondrial carrier homolog 2 (C. elegans)	2524.6	5408.2	5039.2	3476.5	2.142200745	1.996038976	1.37704983	1.37704983
Muc10	1449587_a_at	mucin 10, submandibular gland salivary mucin	20.6	19.3	31.4	1117.1	-1.067357513	1.524271845	54.22815534	54.22815534
Muc15	1426941_at	mucin 15	4279	1697.5	3174.2	2577.4	-2.520765832	-1.348056203	-1.660200202	-1.660200202
Mup3	1426154_s_at	major urinary protein 3	5682.7	6064.9	7319.8	2497.3	1.067256762	1.288084889	-2.275537581	-2.275537581
Mybpc2	1455736_at	myosin binding protein C, fast-type	847.1	662.2	2970.7	122.4	-1.279220779	3.506905914	-6.920751634	-6.920751634
Myh1	1427520_a_at	myosin, heavy polypeptide 1, skeletal muscle, adult	216.4	111.8	4550.1	467.4	-1.935599284	21.02634011	2.159889094	2.159889094
Myh2	1425153_at	myosin, heavy polypeptide 2, skeletal muscle, adult	50.4	52.4	614.9	26.2	1.03968254	12.20039683	-1.923664122	-1.923664122
Myh4	1427026_at	myosin, heavy polypeptide 4, skeletal muscle	4564	3605.6	14203.3	601.2	-1.265808742	3.112028922	-7.591483699	-7.591483699
Myh8	1458368_at	myosin, heavy polypeptide 8, skeletal muscle, perinatal	309.7	240.3	1258	61.9	-1.28880566	4.061995479	-5.003231018	-5.003231018
Myl1	1452651_a_at	myosin, light polypeptide 1	7449.9	7185	14496.5	2753.9	-1.036868476	1.945865045	-2.705218054	-2.705218054
Mylpf	1448371_at	myosin light chain, phosphorylatable, fast skeletal muscle	3502.3	3056.7	10232.8	540.4	-1.145778127	2.921737144	-6.480940044	-6.480940044
Myom1	1420693_at	myomesin 1	203.8	185.1	548.3	87.9	-1.101026472	2.690382728	-2.3185438	-2.3185438
Myom2	1457435_x_at	myomesin 2	285.1	206	1170.7	44	-1.383980583	4.106278499	-6.479545455	-6.479545455
Myoz1	1460202_at	myozenin 1	534.5	514.2	1841.4	177.5	-1.039478802	3.445088868	-3.011267606	-3.011267606
Ndufab1	1428160_at	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1	462.3	654.5	493.8	1111.2	1.41574735	1.068137573	2.403634004	2.403634004
Neb	1435355_at	nebulin	325.6	255.4	1775.2	58.6	-1.27486296	5.452088452	-5.556313993	-5.556313993
Nelf	1439398_x_at	nasal embryonic LHRH factor	229.9	527.1	486	529.4	2.292735972	2.113962592	2.302740322	2.302740322
Net1	1421321_a_at	neuroepithelial cell transforming gene 1	796.6	1105.6	1740.2	962.6	1.387898569	2.184534271	1.208385639	1.208385639
Nol3	1451503_at	nucleolar protein 3 (apoptosis repressor with CARD domain)	267.4	601.7	451	556.6	2.250186986	1.686611818	2.081525804	2.081525804
Npm3	1423522_at	nucleoplasmin 3	389.9	210	178.9	213.6	-1.856666667	-2.179429849	-1.825374532	-1.825374532
Nrap	1421253_at	nebulin-related anchoring protein	143	140.6	427.8	116.9	-1.017069701	2.991608392	-1.22326775	-1.22326775
Nsg2	1416107_at	neuron specific gene family member 2	304.6	253.7	83.6	157	-1.200630666	-3.64354067	-1.940127389	-1.940127389
Nudt13	1428943_at	nudix (nucleoside diphosphate linked moiety X)-type motif 13	176.7	383.6	263.1	302.1	2.170911149	1.488964346	1.709677419	1.709677419
Ogfrl1	1424412_at	opioid growth factor receptor-like 1	562.1	274.9	466.8	426.4	-2.044743543	-1.204155955	-1.318245779	-1.318245779
Otop1	1438448_at	otopetrin 1	635.3	2139.5	1394.2	1425.2	3.367700299	2.194553754	2.243349599	2.243349599
Oxct1	1455804_x_at	3-oxoacid CoA transferase 1	861	399.7	620.4	512.5	-2.154115587	-1.387814313	-1.68	-1.68
Pafah2	1448489_at	platelet-activating factor acetylhydrolase 2	244.7	500.3	271.6	395.4	2.04454434	1.109930527	1.61585615	1.61585615
Palm	1423967_at	paralemmin	463	380.2	230.5	470	-1.217780116	-2.00867679	1.01511879	1.01511879
Pank1	1418715_at	pantothenate kinase 1	695.1	1873.7	1578.7	912.7	2.695583369	2.271184002	1.313048482	1.313048482
Pcx	AFFX-PyruCarbMur/L09192_5_at	pyruvate carboxylase	399.6	796.2	538.8	826.3	1.992492492	1.348348348	2.067817818	2.067817818
Pde4dip	1417626_at	phosphodiesterase 4D interacting protein	488	460.6	1261.9	452.4	-1.059487625	2.585860656	-1.078691424	-1.078691424
Pdhb	1448214_at	pyruvate dehydrogenase (lipoamide) beta	116.2	367.3	250.2	237.5	3.160929432	2.153184165	2.043889845	2.043889845
Pdhx	1456090_at	pyruvate dehydrogenase complex, component X	707.4	1478.9	1085.3	1003.6	2.090613514	1.534209782	1.418716426	1.418716426
Pdk4	1417273_at	pyruvate dehydrogenase kinase, isoenzyme 4	2491.5	6485.5	5267.4	6254.5	2.603050371	2.114148104	2.510335139	2.510335139
Pdlim5	1421413_a_at	PDZ and LIM domain 5	172.2	237.7	370.1	220.3	1.380371661	2.149245064	1.279326365	1.279326365
Pgam2	1418373_at	phosphoglycerate mutase 2	508.5	368.9	1899.2	24.3	-1.378422337	3.734906588	-20.92592593	-20.92592593
Pgd	1438627_x_at	phosphogluconate dehydrogenase	4323.8	11461.2	7249.5	8539.9	2.6507239	1.676650169	1.975091355	1.975091355
Pik3r1	1451737_at	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	568.9	466	1211.6	385.9	-1.220815451	2.129724029	-1.474216118	-1.474216118
Pml	1456103_at	promyelocytic leukemia	602.5	509.4	543.5	301.2	-1.182764036	-1.108555658	-2.000332005	-2.000332005
Ppara	1449051_at	peroxisome proliferator activated receptor alpha	439.3	957.3	746.2	924.5	2.179148646	1.698611427	2.104484407	2.104484407
Ppib	1440275_at	peptidylprolyl isomerase B	336.8	252.2	164.8	222.8	-1.335448057	-2.04368932	-1.511669659	-1.511669659
Ppp1r3c	1425631_at	protein phosphatase 1, regulatory (inhibitor) subunit 3C	326.4	462.5	854.3	388.9	1.416973039	2.617340686	1.191482843	1.191482843
Prim1	1449061_a_at	DNA primase, p49 subunit	403.6	188.7	383.8	517.9	-2.138844727	-1.051589369	1.283201189	1.283201189
Prom2	1417047_at	prominin 2	164	131.5	353.3	141.4	-1.247148289	2.154268293	-1.159830269	-1.159830269
Prtn3	1419669_at	proteinase 3	456.7	245.3	936.1	286.8	-1.861801875	2.049704401	-1.592398884	-1.592398884
Pvalb	1417653_at	parvalbumin	2160.2	1594.9	6745.5	192	-1.354442285	3.122627534	-11.25104167	-11.25104167
Pygm	1448602_at	muscle glycogen phosphorylase	420.6	371.7	1491.6	92.6	-1.131557708	3.54636234	-4.542116631	-4.542116631
Ramp2	1418188_a_at	receptor (calcitonin) activity modifying protein 2	667.4	1264.3	1718.8	863.3	1.894366197	2.575367096	1.29352712	1.29352712
Rhbdd3	1438548_x_at	rhomboid domain containing 3	139	418.1	63.2	498.9	3.007913669	-2.199367089	3.589208633	3.589208633
Rpl27a	1437729_at	ribosomal protein L27a	347	451.8	390.5	833.5	1.302017291	1.125360231	2.402017291	2.402017291
Rpl3l	1449398_at	ribosomal protein L3-like	110.4	96.1	361.3	8.7	-1.14880333	3.272644928	-12.68965517	-12.68965517
