Gene	EntrezID	N_TPM	F_TPM	R_TPM
Fabp2	14079	261.25	374.52	202.11
Fgl1	234199	258.58	341.04	227.31
Psmb4	19172	256.48	365.72	410.39
Gchfr	320415	256.29	255.99	207.15
Itih4	16427	255.91	99.01	213.42
Etfa	110842	253.71	234.28	229.16
Ttr	22139	253.14	67.06	213.94
Ephx2	13850	251.8	635.49	155.1
Ahcy	269378	251.61	891.48	178.35
Ugp2	216558	251.04	146.08	564.46
Stard10	56018	250.66	262.79	298.89
Elovl5	68801	249.99	250.35	228.85
Bst2	69550	249.13	102.65	336.64
Tmem208	66320	248.65	186.16	355.05
Agt	11606	247.13	266.23	159.63
Decr2	26378	246.46	365.34	97.51
Cyc1	66445	244.45	206.73	297.14
Adfp	11520	243.88	415.66	244.59
Hsd11b1	15483	243.78	178.41	216.51
Atp5b	11947	242.93	325.25	338.39
Atox1	11927	241.49	245.76	324.3
Lcat	16816	241.4	340.75	208.79
F10	14058	240.64	206.15	255.69
Apof	103161	240.64	247.67	238.31
EG637273	637273	237.96	192.09	460.99
Cyp27a1	104086	236.91	190.75	122.6
Sc4mol	66234	236.53	36.26	575.26
Serpinf1	20317	236.53	242.7	233.07
Txn1	22166	232.33	167.98	408.95
Tmem14c	66154	232.24	147.89	282.44
Leap2	259301	232.04	68.88	186.27
Hsd17b4	15488	231.95	353.57	210.54
Dak	225913	231.85	53.86	635.53
LOC790956	790956	231.66	55.1	120.13
Dynll2	68097	231.38	119.29	160.55
Lap3	66988	231.19	233.03	286.55
Id2	15902	230.9	144.55	165.8
Cldn1	12737	229.28	84.95	154.59
Aldh1a1	11668	228.99	318.56	252.92
Elovl2	54326	227.56	231.03	248.6
Abcb11	27413	227.46	80.55	164.15
Acly	104112	227.46	19.52	644.79
Sqstm1	18412	227.27	298.95	313.29
SEPT5	93684	225.08	148.18	281.72
Hc	15139	224.79	128.57	216.3
Sirt3	64384	222.21	243.27	204.58
Cald1	109624	221.07	143.97	295.5
Ndufb2	68198	220.78	200.22	254.87
Insig1	231070	220.59	28.03	416.76
Ndufb6	230075	220.02	274.55	359.47
Ppp2r5a	226849	219.16	176.21	256.62
AU018778	234564	216.49	124.07	213.94
S100a1	20193	216.1	203.76	200.56
Ndufb9	66218	216.01	260.68	183.59
Lonp2	66887	215.82	217.15	215.17
Cebpa	12606	215.53	152.2	246.23
Gcdh	270076	213.81	246.14	165.29
Aplp2	11804	211.33	197.16	190.28
Xbp1	22433	210.47	136.03	301.16
Mtus1	102103	209.14	167.7	163.74
Fetub	59083	208.85	243.37	175.37
Khk	16548	208.66	66.1	536.38
Pmpcb	73078	207.23	164.54	288.4
Sco2	100126824	207.13	290.24	88.97
Eef1b2	55949	206.75	277.52	231.83
LOC100046149	100046149	205.8	136.99	270.92
Slc12a7	20499	204.65	150.48	167.75
LOC100047670	100047670	204.65	188.36	262.17
Itih3	16426	202.84	258.1	192.44
Cox6b1	110323	202.65	257.05	266.8
Pcyt2	68671	202.45	135.84	286.24
Reep6	70335	201.98	306.03	222.27
Hmgcs2	15360	200.83	287.85	111.49
Slc25a39	68066	200.64	325.45	337.77
Apom	55938	199.97	133.93	221.03
Atp5k	11958	199.5	219.93	282.13
Saa4	20211	198.92	68.4	111.29
Gstt1	14871	198.35	148.76	175.88
Asgr1	11889	197.3	188.36	296.32
Rps5	20103	196.35	255.52	307.43
Ifi27l1	52668	195.96	150.48	246.03
Pemt	18618	195.58	132.68	212.39
Etfdh	66841	195.58	360.36	199.95
Mbl2	17195	195.3	100.45	200.15
Laptm4a	17775	195.3	149.9	226.69
Wdr23	28199	195.2	198.4	140.09
Pklr	18770	194.72	12.82	355.98
LOC100046168	100046168	194.63	165.21	154.49
Gabarapl1	57436	194.34	272.26	219.08
Echdc2	52430	193.48	191.52	203.96
Entpd8	72090	193.1	176.88	166.01
Acadvl	11370	192.43	303.73	214.04
Mat2a	232087	191.67	193.05	169.61
Slc40a1	53945	191.48	111.93	198.61
Aox3	71724	190.14	63.81	70.35
Sdr42e1	74032	189.95	180.71	121.68
EG666053	666053	189.28	129.53	242.43
Tmem56	99887	188.52	352.14	137.72
Aldh4a1	212647	188.42	181.76	158.91
Crp	12944	187.56	210.08	160.14
Mcfd2	193813	187.47	233.13	293.96
Ubl5	66177	186.42	180.13	238.42
Sephs2	20768	185.94	174.97	196.25
Mup4	17843	185.37	147.23	88.25
Sdha	66945	185.18	181.57	281.41
Gpx4	14779	183.08	210.75	267.21
Il1r1	16177	182.98	207.01	132.48
LOC667277	667277	181.45	146.94	206.94
Hnrpdl	50926	181.07	155.55	206.84
Cyp2c70	226105	180.79	10.33	97.71
Cd81	12520	180.5	128.48	134.12
Gcgr	14527	179.64	167.12	131.86
D14Ertd449e	66039	179.64	134.79	218.87
Pex5	19305	179.45	173.05	221.55
Ndufa9	66108	178.97	170.57	232.35
Cyb5b	66427	178.59	31.09	165.7
C1qa	12259	178.21	106.19	148.83
Aldh3a2	11671	178.11	337.5	223.19
Acsl5	433256	177.45	97.19	267.93
Hsd3b7	101502	177.35	101.21	117.15
F12	58992	177.06	201.94	202.42
Eif4e2	26987	176.78	156.12	282.95
Sar1b	66397	176.68	221.17	239.14
EG432817	432817	176.49	161.57	316.17
Tob1	22057	175.06	178.12	120.54
Sra1	24068	174.49	169.61	204.58
Pim3	223775	174.3	734.12	140.09
Aqp8	11833	174.1	7.37	371.3
Rpa1	68275	174.01	131.92	126.82
1810035L17Rik	380773	173.25	123.6	209.82
Serpind1	15160	172.96	126.56	158.09
Slc25a1	13358	172.77	54.91	221.86
Romo1	67067	172.48	168.85	233.89
Klhdc10	76788	171.62	137.95	234.1
Aldh2	11669	171.43	144.16	216.2
C9	12279	171.05	54.62	77.86
Sec61b	66212	170.38	63.04	356.08
C6	12274	170	84.37	230.7
Tars	110960	169.33	89.35	208.9
Grinl1a	28015	169.05	159.76	184.73
Uqcrc1	22273	168.09	192.95	217.84
Gabarap	56486	167.71	152.39	172.18
Krt18	16668	167.23	233.13	391.98
Cyp2c50	107141	167.23	333.19	131.86
Aldh7a1	110695	166.76	192.09	196.86
Rnf181	66510	166.28	94.42	177.22
Ndufa2	17991	165.13	200.32	228.54
Suclg2	20917	164.75	133.55	158.39
Ghr	14600	164.18	81.7	138.85
Slc38a4	69354	164.08	299.81	187.3
Pnpla2	66853	163.51	489.79	159.53
Psma4	26441	163.41	162.15	246.64
Ndufb8	67264	163.03	152.3	180.2
Ces1	12623	162.94	92.7	165.39
Slc25a10	27376	162.65	287.85	112.42
1810063B05Rik	67892	162.46	225.76	152.64
Copb2	50797	162.27	131.44	231.63
Acox2	93732	161.89	226.24	130.93
Asl	109900	161.89	1230.7	209.1
Acad11	102632	161.79	297.61	132.17
Insig2	72999	160.74	272.45	90.31
Cyp1a2	13077	160.46	62.85	163.43
Cyp4v3	102294	160.26	129.24	131.65
Gstm6	14867	160.07	30.42	168.58
Cp	12870	159.98	129.43	216.92
OTTMUSG00000016789	100042922	159.5	89.54	133.81
Tcea1	21399	159.31	110.78	162.82
Scd1	20249	159.02	16.55	214.55
Ctnnb1	12387	158.93	103.51	149.65
Fh1	14194	158.45	476.69	216.82
Aspdh	68352	157.31	188.84	111.7
Cpn1	93721	156.54	115.75	204.88
Ifi47	15953	156.35	59.98	82.18
1110038D17Rik	68778	156.16	145.69	202
Pabpc1	18458	155.4	165.59	163.43
Vamp8	22320	155.11	214.95	144.2
Ehhadh	74147	155.11	1162.69	113.96
Prdx4	53381	154.82	78.54	174.95
Acadl	11363	154.82	309.85	190.38
Lifr	16880	153.87	90.69	71.38
Ftcd	14317	153.58	150.48	72.72
1110008F13Rik	67388	152.25	205.29	213.73
Xylb	102448	152.15	128.48	211.16
Dnaja3	83945	150.81	198.31	156.03
Tspan31	67125	150.34	278.47	188.22
Ddx17	67040	149.96	124.27	127.54
Eif3c	56347	148.81	118.05	193.06
Nr2f6	13864	148.05	89.83	119.31
Msra	110265	147.95	139.95	154.59
Ugt2b34	100727	146.9	118.81	143.38
Cpn2	71756	146.61	144.07	85.37
Psap	19156	146.42	199.84	169.09
Cox4i1	12857	146.42	220.69	232.04
Bhmt2	64918	146.33	193.24	143.48
Vdac1	22333	145.95	127.9	141.01
Mrpl53	68499	145.85	117.95	145.23
Agxt	11611	145.66	234.85	49.06
Mup2	17841	145.37	130.01	82.69
Gak	231580	145.28	137.37	202.52
Eef1d	66656	144.9	178.79	137.72
Ctsd	13033	144.8	131.63	237.08
Egfr	13649	144.32	123.21	133.81
Higd2a	67044	143.94	136.51	137.1
Acss2	60525	143.75	30.8	328.62
OTTMUSG00000005521	432554	143.56	159.09	167.55
Tpi1	21991	142.99	170.38	266.8
C8b	110382	142.41	88.68	105.32
Cxcl12	20315	142.41	110.87	127.02
Mlxipl	58805	142.32	53.09	115.61
Abca1	11303	141.56	100.73	140.19
Taldo1	21351	141.27	78.92	228.23
Bphl	68021	141.08	120.73	142.04
Cfh	12628	140.89	88.78	148.11
Ssr4	20832	140.89	115.66	263.41
Lamp1	16783	140.79	89.35	152.94
Hadh	15107	140.12	164.83	133.81
Tmem59	56374	140.03	147.03	138.13
Hal	15109	139.46	280.2	88.04
S100a10	20194	139.36	150.48	177.42
D4Wsu53e	27981	139.36	178.03	154.28
Bsg	12215	139.26	104.85	185.55
Cyp2a12	13085	138.88	150.76	132.48
Aes	14797	138.6	77.77	184.31
Scarb1	20778	137.64	143.59	81.67
Ninj1	18081	137.26	118.72	148.01
Coq9	67914	137.07	108.77	161.89
Gulo	268756	136.88	79.5	165.29
Clptm1l	218335	136.31	84.66	203.34
Lyrm5	67636	136.31	177.36	89.89
Ces6	102022	135.92	121.59	67.57
Litaf	56722	135.83	107.05	115.4
Spcs1	69019	134.97	84.95	142.76
Suclg1	56451	134.59	207.3	129.9
Acadm	11364	134.4	407.62	147.18
Tmem123	71929	133.54	101.79	134.53
Akr1d1	208665	133.44	137.75	106.45
Psme1	19186	133.35	99.68	133.09
Idh1	15926	133.16	60.55	260.32
Calr	12317	132.49	95.47	145.95
Cfhr1	50702	131.44	135.65	96.79
Gldc	104174	131.34	133.45	74.67
Ctsz	64138	131.34	123.12	141.12
Aadat	23923	131.25	179.75	89.89
Tram1	72265	130.58	66.2	262.79
Ift20	55978	130.48	86.57	197.07
Cps1	227231	129.72	248.25	75.7
Cstb	13014	129.43	82.65	274.11
Apol7a	75761	129.24	68.69	106.04
Sema4g	26456	128.77	136.22	113.14
Idh3b	170718	128.29	161.1	171.87
Uqcrfs1	66694	128.29	195.92	181.54
Mrpl52	68836	128	100.06	187.5
Ccbl1	70266	127.81	78.06	79.92
Aldh8a1	237320	127.81	112.6	120.65
Itih2	16425	127.33	152.01	99.67
Aox1	11761	127.05	83.9	231.32
Hagh	14651	126	119.77	123.32
LOC100048120	100048120	125.9	129.34	137.62
Ttc39c	72747	125.42	94.99	101.62
Igfbp1	16006	125.14	855.99	68.09
Mbp	17196	124.85	107.81	126.92
Ppp1r3b	244416	124.66	42.09	67.16
Ndufa13	67184	124.47	137.37	183.29
Rnh1	107702	124.09	77.49	116.33
Coasy	71743	123.99	115.75	177.63
Abcd3	19299	123.61	158.13	136.8
Snrpd3	67332	123.61	101.69	136.59
Lypla1	18777	123.52	139.48	152.53
Serping1	12258	123.23	120.06	93.49
OTTMUSG00000015247	433464	122.94	102.26	169.71
Nsmce4a	67872	122.47	104.75	125.28
Cyp2c44	226143	121.99	76.24	96.27
Acy3	71670	121.42	77.01	118.9
Gck	103988	121.42	3.73	157.88
Epm2aip1	77781	121.13	89.54	146.36
Eif4a1	13681	120.75	130.39	186.17
LOC677654	677654	120.46	85.71	122.5
Ngrn	83485	120.27	89.92	141.32
Hsd17b2	15486	120.08	53	125.07
Ech1	51798	119.51	283.93	123.22
Afm	280662	119.12	50.13	103.99
Cmtm6	67213	119.03	40.47	112.73
Shmt1	20425	118.93	99.39	111.6
Copb1	70349	118.27	112.12	147.8
Cyp8b1	13124	117.88	558.67	105.53
Cebpb	12608	117.69	293.3	136.18
MAR6	223455	117.22	174.3	118.18
Irgm2	54396	116.93	68.02	62.64
Ndufs2	226646	116.74	128	130.62
Ccbl2	229905	116.55	85.33	144.41
EG624219	624219	116.36	8.71	116.33
Igbp1	18518	116.17	125.89	106.25
Cyp2c37	13096	116.17	359.79	77.96
Hspd1	15510	115.78	159.95	146.88
Cct5	12465	115.69	103.51	141.01
Csnk2b	13001	115.69	89.73	130.11
Tomm6	66119	115.69	112.5	168.58
Acsl1	14081	115.21	203.57	52.56
Fxyd1	56188	114.92	100.64	103.68
Hist1h2bc	68024	114.73	90.88	133.5
Immt	76614	114.73	115.85	133.81
Psma7	26444	114.35	155.55	166.52
Atf4	11911	113.97	85.71	165.49
Lasp1	16796	113.49	54.24	95.76
Tsr1	104662	113.49	99.49	122.29
Lass2	76893	113.3	79.4	105.63
Golga4	54214	112.35	116.8	151.61
Parva	57342	111.3	71.36	117.97
Hamp2	140552	111.2	34.82	31.58
Trfr2	50765	111.11	144.36	113.34
Pfn1	18643	111.01	113.36	168.89
Ndufb10	68342	110.92	143.21	140.19
Col18a1	12822	110.72	89.35	92.57
Tcp1	21454	110.63	168.08	158.19
Fmo1	14261	110.53	180.61	109.74
Dhcr24	74754	110.44	49.36	193.57
Ugt2b38	100559	109.67	21.43	51.43
Itm2c	64294	109.39	46.01	117.46
Fam134a	227298	109.29	87.82	112.11
Rnf103	22644	109.01	107.33	133.2
Tmem176b	65963	109.01	87.44	220.93
Papola	18789	108.82	74.52	127.64
Rac1	19353	108.43	90.02	142.56
Cyp4f14	64385	108.34	24.49	89.79
Sdhd	66925	108.34	115.08	119.62
H2-D1	14964	108.15	69.07	94.11
Rarres1	109222	107.96	111.45	72.72
Atp5d	66043	107.96	117.19	123.22
Ifit3	15959	107.86	89.35	37.64
Ext1	14042	107.77	83.23	144.3
Akr1c12	27383	107.29	95.28	150.58
1810043H04Rik	208501	106.91	96.52	132.99
ENSMUSG00000074846	100043714	106.91	110.2	153.15
Akr7a5	110198	106.81	99.59	94.63
Grb7	14786	106.72	92.89	131.86
Pdia4	12304	106.52	75.96	100.49
H6pd	100198	106.14	82.27	83.62
9530068E07Rik	213673	105.28	94.71	104.29
Akr1a4	58810	105.09	74.14	116.84
Ociad1	68095	104.9	152.39	153.56
Tmem176a	66058	104.81	62.28	124.86
Sult1a1	20887	104.52	284.02	57.08
Abhd14b	76491	104.42	84.66	118.28
Masp2	17175	104.14	108	106.25
Cops6	26893	104.14	127.81	119.72
Sec11a	56529	104.04	64.76	145.13
Ghitm	66092	104.04	125.32	133.3
Rab5a	271457	104.04	92.6	108.72
Nrn1	68404	103.95	28.99	87.73
Apoa4	11808	103.95	1039.86	730.67
Actr3	74117	103.85	77.77	123.94
Mthfd1	108156	103.76	113.84	91.23
Ak3	109707	103.57	83.32	85.57
LOC236598	236598	103.18	55.58	64.08
Repin1	58887	102.99	75.86	102.85
Lrp1	16971	102.9	66.49	69.84
Mgll	23945	102.9	153.73	79.4
Sfrs2	20382	102.8	130.1	159.11
Got1	14718	102.8	463.58	92.88
Prdx5	54683	102.13	109.34	126.51
Hsd3b5	15496	101.85	4.21	55.54
Arf1	11840	101.85	79.02	133.5
Skp1a	21402	101.66	121.01	88.97
Cd1d1	12479	101.47	163.11	80.95
Dtymk	21915	101.27	68.69	124.35
LOC100042773	100042773	100.51	86.67	167.55
Aqp9	64008	100.42	120.15	87.01
Ube2d3	66105	100.42	107.43	121.37
Cth	107869	100.32	650.51	76.32
Ndufa8	68375	100.22	95.76	162.82
Pcbp2	18521	100.03	108.58	120.65
Psma6	26443	100.03	123.02	101.41
Rrbp1	81910	99.75	66.01	132.37
Ostc	66357	99.27	48.21	174.34
Phlda1	21664	99.17	94.99	80.64
Slc33a1	11416	99.08	56.54	182.98
Carkd	69225	98.98	99.97	127.85
Rhou	69581	98.79	34.53	109.03
Lect2	16841	98.6	46.97	130.42
Rer1	67830	98.32	81.12	110.36
Ogt	108155	97.36	77.77	117.77
Vkorc1	27973	97.07	121.59	114.78
Tmem86b	68255	96.69	86	108.41
Surf4	20932	96.6	74.71	164.15
Sigmar1	18391	96.5	57.49	119.52
Dnajc19	67713	96.5	114.22	118.8
Aass	30956	96.22	341.61	94.11
Zfp598	213753	96.12	70.03	89.79
Dad1	13135	96.02	104.18	190.9
Amy1	11722	95.93	116.9	104.91
Bola1	69168	95.93	85.81	128.77
Hnf4a	15378	95.83	112.6	84.75
Mbl1	17194	95.74	85.71	77.45
Timm8b	30057	95.45	99.39	95.55
Uqcrc2	67003	95.45	87.72	139.57
Creld2	76737	95.26	90.78	129.8
Ndufa7	66416	94.88	125.7	129.8
Faah	14073	94.78	56.92	97.4
Hmgcl	15356	94.78	189.51	92.67
Dstn	56431	94.5	121.59	131.55
1300018I05Rik	74157	94.4	64.96	89.48
Il1rap	16180	94.21	84.18	78.07
Ndufa5	68202	93.92	140.43	119.52
Igfbp7	29817	93.83	75.1	62.43
Aldh6a1	104776	93.54	110.97	72.41
Pdia6	71853	93.16	42.19	181.95
Yif1a	68090	92.97	108.67	84.24
Proc	19123	92.78	76.82	96.68
Top2b	21974	92.59	86.29	108
Cope	59042	92.59	66.96	129.6
Gjb1	14618	92.49	68.11	115.92
Herpud1	64209	92.11	199.55	169.09
OTTMUSG00000000971	100034251	91.73	48.88	73.03
Ssr3	67437	91.63	46.97	164.36
Cd74	16149	91.63	79.02	98.64
Acp5	11433	91.44	62.28	69.53
Ganab	14376	91.06	87.91	113.34
Psmc3	19182	90.39	125.22	140.09
Tmem66	67887	90.11	96.91	91.64
Cmc1	67899	90.01	89.64	133.92
Oaz1	18245	89.82	56.25	80.84
Glrx5	73046	89.82	110.49	130.93
2310044H10Rik	69683	89.73	78.25	80.43
Glyctk	235582	89.63	97.77	114.06
Epn1	13854	89.53	83.71	109.13
Ywhae	22627	89.53	84.57	108.61
Aldh9a1	56752	89.44	79.11	79.92
Paics	67054	89.25	90.5	114.17
Gne	50798	89.06	152.49	134.74
Ugt2b1	71773	88.77	50.51	80.43
Rpl4	67891	88.48	101.21	163.23
Arpc2	76709	88.39	90.21	149.76
1300017J02Rik	71775	88.01	69.83	121.98
Pxmp2	19301	87.53	141.29	53.48
Dnpep	13437	87.43	56.82	137.52
Arl6ip1	54208	87.34	56.82	72.92
Scly	50880	87.15	60.36	108.41
Agmat	75986	87.05	167.12	72.41
Uroc1	243537	86.96	70.12	55.75
1500032L24Rik	69029	86.96	62.75	101.31
Nr1h3	22259	86.86	73.76	90.2
Stard5	170460	86.67	138.81	134.02
Prpf19	28000	86.29	65.43	138.75
Mlycd	56690	86.1	100.73	80.64
Serp1	28146	85.91	43.62	195.94
Prodh	19125	85.81	70.31	58.22
Sqrdl	59010	85.72	59.41	101.72
Map1lc3b	67443	85.62	126.66	70.66
Rcl1	59028	85.53	72.9	78.68
Txn2	56551	85.43	114.7	119.93
Hdgf	15191	85.33	66.77	100.18
Gpsn2	106529	85.33	59.89	106.35
Prdx2	21672	85.24	87.24	109.85
Hint2	68917	85.14	133.26	95.65
Txnrd1	50493	85.05	84.09	121.57
Lyz1	17110	84.86	61.8	79.61
Rnasek	52898	84.76	61.8	139.78
