Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P240767	Kras	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	5.137162
AGI_MM_OLIGO_A_51_P273538	Syce2	synaptonemal complex central element protein 2	5.134525
AGI_MM_OLIGO_A_51_P160284	Tcof1	Treacher Collins Franceschetti syndrome 1, homolog	5.112474
AGI_MM_OLIGO_A_51_P509356			5.075627
AGI_MM_OLIGO_A_51_P461774	Nolc1	nucleolar and coiled-body phosphoprotein 1	5.029928
AGI_MM_OLIGO_A_51_P117581	Cables1	Cdk5 and Abl enzyme substrate 1	5.022097
AGI_MM_OLIGO_A_51_P423484	Rbp1	retinol binding protein 1, cellular	4.992511
AGI_MM_OLIGO_A_51_P265571	Adm	adrenomedullin	4.950005
AGI_MM_OLIGO_A_51_P430055	Tspan7	tetraspanin 7	4.925866
AGI_MM_OLIGO_A_51_P281486	Slc45a1	solute carrier family 45, member 1	4.92344
AGI_MM_OLIGO_A_51_P390239	Kremen1	kringle containing transmembrane protein 1	4.918114
AGI_MM_OLIGO_A_51_P195958	Phlda1	pleckstrin homology-like domain, family A, member 1	4.916663
AGI_MM_OLIGO_A_51_P144712	Gbf1	golgi-specific brefeldin A-resistance factor 1	4.898839
AGI_MM_OLIGO_A_51_P381683	Aatk	apoptosis-associated tyrosine kinase	4.874482
AGI_MM_OLIGO_A_51_P324161	Ankrd26	ankyrin repeat domain 26	4.808155
AGI_MM_OLIGO_A_51_P110471	Ddah1	dimethylarginine dimethylaminohydrolase 1	4.792255
AGI_MM_OLIGO_A_51_P496462	Cast1	O-acetyltransferase	4.791796
AGI_MM_OLIGO_A_51_P128465	Olfr1223	olfactory receptor 1223	4.770537
AGI_MM_OLIGO_A_51_P459320	Gkap1	G kinase anchoring protein 1	4.76372
AGI_MM_OLIGO_A_51_P454374	Tlx2	T-cell leukemia, homeobox 2	4.735297
AGI_MM_OLIGO_A_51_P156162	Slc38a4	solute carrier family 38, member 4	4.732384
AGI_MM_OLIGO_A_51_P110301	C3	complement component 3	4.724335
AGI_MM_OLIGO_A_51_P309677	Tbc1d19	TBC1 domain family, member 19	4.721881
AGI_MM_OLIGO_A_51_P291347	Odc1	ornithine decarboxylase, structural 1	4.67705
AGI_MM_OLIGO_A_51_P337662	6330505F04Rik	RIKEN cDNA 6330505F04 gene	4.638649
AGI_MM_OLIGO_A_51_P224617	Eea1	early endosome antigen 1	4.60151
AGI_MM_OLIGO_A_51_P358700	Olfr1221	olfactory receptor 1221	4.579383
AGI_MM_OLIGO_A_51_P167292	Chi3l3	chitinase 3-like 3	4.574984
AGI_MM_OLIGO_A_51_P342117	Ceacam10	CEA-related cell adhesion molecule 10	4.567253
AGI_MM_OLIGO_A_51_P477682	Prss12	protease, serine, 12 neurotrypsin (motopsin)	4.553319
AGI_MM_OLIGO_A_51_P429209	Smpd1	sphingomyelin phosphodiesterase 1, acid lysosomal	4.532886
AGI_MM_OLIGO_A_51_P270904	9930023K05Rik	RIKEN cDNA 9930023K05 gene	4.529601
AGI_MM_OLIGO_A_51_P160824	Cspg4	chondroitin sulfate proteoglycan 4	4.478481
AGI_MM_OLIGO_A_51_P357203	6820424L24Rik	RIKEN cDNA 6820424L24 gene	4.444049
AGI_MM_OLIGO_A_51_P377237	Kras	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	4.431249
AGI_MM_OLIGO_A_51_P152046	Vps13a	vacuolar protein sorting 13A (yeast)	4.418718
AGI_MM_OLIGO_A_51_P112821	Cyp27a1	cytochrome P450, family 27, subfamily a, polypeptide 1	4.415011
AGI_MM_OLIGO_A_51_P518940	Npr2	natriuretic peptide receptor 2	4.407034
AGI_MM_OLIGO_A_51_P483280	Prnp	prion protein	4.382121
AGI_MM_OLIGO_A_51_P281778	2210010C17Rik	RIKEN cDNA 2210010C17 gene	4.363763
AGI_MM_OLIGO_A_51_P511546	Gldc	glycine decarboxylase	4.356349
AGI_MM_OLIGO_A_51_P265465	Abhd3	abhydrolase domain containing 3	4.346314
AGI_MM_OLIGO_A_51_P229403	2210415F13Rik	RIKEN cDNA 2210415F13 gene	4.342163
AGI_MM_OLIGO_A_51_P311437	Calb2	calbindin 2	4.268033
AGI_MM_OLIGO_A_51_P454913	Camkv	CaM kinase-like vesicle-associated	4.266758
AGI_MM_OLIGO_A_51_P189137			4.262211
AGI_MM_OLIGO_A_51_P412225	Tbc1d16	TBC1 domain family, member 16	4.260214
AGI_MM_OLIGO_A_51_P252157	Top2a	topoisomerase (DNA) II alpha	4.255682
AGI_MM_OLIGO_A_51_P426270	Mgp	matrix Gla protein	4.248991
AGI_MM_OLIGO_A_51_P482535	Ulk1	Unc-51 like kinase 1 (C. elegans)	4.241961
AGI_MM_OLIGO_A_51_P317443	Cd3eap	CD3E antigen, epsilon polypeptide associated protein	4.237109
AGI_MM_OLIGO_A_51_P181097	Pfas	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	4.174668
AGI_MM_OLIGO_A_51_P155085	Dennd2a	DENN/MADD domain containing 2A	4.172229
AGI_MM_OLIGO_A_51_P241319	Cilp	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	4.159215
AGI_MM_OLIGO_A_51_P484261	Sprr2a	small proline-rich protein 2A	4.130183
AGI_MM_OLIGO_A_51_P374376	Olfr1366	olfactory receptor 1366	4.104416
AGI_MM_OLIGO_A_51_P414442	Centd1	centaurin, delta 1	4.096178
AGI_MM_OLIGO_A_51_P148717	A830093I24Rik	RIKEN cDNA A830093I24 gene	4.071993
AGI_MM_OLIGO_A_51_P205242	Mphosph1	M-phase phosphoprotein 1	4.071661
AGI_MM_OLIGO_A_51_P301123	Sp100	nuclear antigen Sp100	4.045308
AGI_MM_OLIGO_A_51_P302527	Nek1	NIMA (never in mitosis gene a)-related expressed kinase 1	4.015581
AGI_MM_OLIGO_A_51_P220343	Wisp1	WNT1 inducible signaling pathway protein 1	4.013647
AGI_MM_OLIGO_A_51_P341169	Klf13	Kruppel-like factor 13	3.996164
AGI_MM_OLIGO_A_51_P276418	Rab6b	RAB6B, member RAS oncogene family	3.986446
AGI_MM_OLIGO_A_51_P301007	Spata19	spermatogenesis associated 19	3.949291
AGI_MM_OLIGO_A_51_P472857	Olfr971	olfactory receptor 971	3.934065
AGI_MM_OLIGO_A_51_P311215	Slco1a6	solute carrier organic anion transporter family, member 1a6	3.909763
AGI_MM_OLIGO_A_51_P144543	1700063H04Rik	RIKEN cDNA 1700063H04 gene	3.907318
AGI_MM_OLIGO_A_51_P253117	Sorbs1	sorbin and SH3 domain containing 1	3.896661
AGI_MM_OLIGO_A_51_P141570	P4ha2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide	3.877472
AGI_MM_OLIGO_A_51_P344770	Tnrc6b	trinucleotide repeat containing 6b	3.875518
AGI_MM_OLIGO_A_51_P270960	3222402P14Rik	RIKEN cDNA 3222402P14 gene	3.870269
AGI_MM_OLIGO_A_51_P369338	Olfr894	olfactory receptor 894	3.864734
AGI_MM_OLIGO_A_51_P441795	Glul	glutamate-ammonia ligase (glutamine synthetase)	3.856537
AGI_MM_OLIGO_A_51_P121159	Bmyc	brain expressed myelocytomatosis oncogene	3.837593
AGI_MM_OLIGO_A_51_P471659	Alox12e	arachidonate lipoxygenase, epidermal	3.834356
AGI_MM_OLIGO_A_51_P262202			3.811412
AGI_MM_OLIGO_A_51_P286780			3.809524
AGI_MM_OLIGO_A_51_P506683	Fbxw7	F-box and WD-40 domain protein 7, archipelago homolog (Drosophila)	3.806624
AGI_MM_OLIGO_A_51_P217946	D130004H04Rik	RIKEN cDNA D130004H04 gene	3.786731
AGI_MM_OLIGO_A_51_P393747	Ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	3.786588
AGI_MM_OLIGO_A_51_P377443	V1re7	vomeronasal 1 receptor, E7	3.770455
AGI_MM_OLIGO_A_51_P499100	Mettl1	methyltransferase-like 1	3.764918
AGI_MM_OLIGO_A_51_P416749	BC018462	cDNA sequence BC018462	3.713331
AGI_MM_OLIGO_A_51_P243596	Mllt6	myeloid/lymphoid or mixed lineage-leukemia translocation to 6 homolog (Drosophila)	3.712504
AGI_MM_OLIGO_A_51_P306710	Cldn15	claudin 15	3.708099
AGI_MM_OLIGO_A_51_P222153	Tpst2	protein-tyrosine sulfotransferase 2	3.692217
AGI_MM_OLIGO_A_51_P253195	9430076C15Rik	RIKEN cDNA 9430076C15 gene	3.68487
AGI_MM_OLIGO_A_51_P278018	Vps36	vacuolar protein sorting 36 (yeast)	3.682563
AGI_MM_OLIGO_A_51_P106958	Sbp	spermine binding protein	3.658448
AGI_MM_OLIGO_A_51_P466279	Hoxa10	homeo box A10	3.649369
AGI_MM_OLIGO_A_51_P247633	Rnf144	ring finger protein 144	3.632269
AGI_MM_OLIGO_A_51_P266403	2310005C01Rik	RIKEN cDNA 2310005C01 gene	3.622138
AGI_MM_OLIGO_A_51_P429197	Csnk1e	casein kinase 1, epsilon	3.620041
AGI_MM_OLIGO_A_51_P385697	Mgat3	mannoside acetylglucosaminyltransferase 3	3.607634
AGI_MM_OLIGO_A_51_P313320	Cd6	CD6 antigen	3.591825
AGI_MM_OLIGO_A_51_P240857	Chpt1	choline phosphotransferase 1	3.589375
AGI_MM_OLIGO_A_51_P357574	Cald1	caldesmon 1	3.573598
AGI_MM_OLIGO_A_51_P324082	Pparbp	peroxisome proliferator activated receptor binding protein	3.566461
AGI_MM_OLIGO_A_51_P328036	Slc22a1	solute carrier family 22 (organic cation transporter), member 1	3.557959
AGI_MM_OLIGO_A_51_P367240	Tspan33	tetraspanin 33	3.550758
AGI_MM_OLIGO_A_51_P158037	Dsc2	desmocollin 2	3.51964
AGI_MM_OLIGO_A_51_P369478	Ppp2r5e	protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	3.451489
AGI_MM_OLIGO_A_51_P244993	Rap2a	RAS related protein 2a	3.44495
AGI_MM_OLIGO_A_51_P203768	A930005C09Rik	RIKEN cDNA A930005C09 gene	3.429355
AGI_MM_OLIGO_A_51_P273044	Baz2a	bromodomain adjacent to zinc finger domain, 2A	3.425948
AGI_MM_OLIGO_A_51_P338443	Angptl4	angiopoietin-like 4	3.419739
AGI_MM_OLIGO_A_51_P392277	Muc4	mucin 4	3.385699
AGI_MM_OLIGO_A_51_P388412	Daf1	decay accelerating factor 1	3.376211
AGI_MM_OLIGO_A_51_P427990	2610312B22Rik	RIKEN cDNA 2610312B22 gene	3.367457
AGI_MM_OLIGO_A_51_P384448	Snx27	sorting nexin family member 27	3.359989
AGI_MM_OLIGO_A_51_P489121	Mixl1	Mix1 homeobox-like 1 (Xenopus laevis)	3.357394
AGI_MM_OLIGO_A_51_P136229			3.355029
AGI_MM_OLIGO_A_51_P414078	Trp53i11	Trp53 inducible protein 11	3.343699
AGI_MM_OLIGO_A_51_P270573	Rnf168	ring fnger protein 168	3.34113
AGI_MM_OLIGO_A_51_P302016	5730446D14Rik	RIKEN cDNA 5730446D14 gene	3.335446
AGI_MM_OLIGO_A_51_P450107	Cpn1	carboxypeptidase N, polypeptide 1	3.332111
AGI_MM_OLIGO_A_51_P401458	Mon2	MON2 homolog (yeast)	3.326901
AGI_MM_OLIGO_A_51_P216369	Nf2	neurofibromatosis 2	3.309724
AGI_MM_OLIGO_A_51_P485161	Cplx2	complexin 2	3.305348
AGI_MM_OLIGO_A_51_P153042	Psg16	pregnancy specific glycoprotein 16	3.30513
AGI_MM_OLIGO_A_51_P495269	Lor	loricrin	3.304038
AGI_MM_OLIGO_A_51_P182572	Phactr1	phosphatase and actin regulator 1	3.303274
AGI_MM_OLIGO_A_51_P409250	Oog1	oogenesin 1	3.299894
AGI_MM_OLIGO_A_51_P110455	Hsp110	heat shock protein 110	3.298588
AGI_MM_OLIGO_A_51_P440985	Fgf15	fibroblast growth factor 15	3.29848
AGI_MM_OLIGO_A_51_P144264	Klf2	Kruppel-like factor 2 (lung)	3.2885
AGI_MM_OLIGO_A_51_P404875	Dmn	desmuslin	3.284827
AGI_MM_OLIGO_A_51_P319572	Rusc2	RUN and SH3 domain containing 2	3.278903
AGI_MM_OLIGO_A_51_P199716	Tle1	transducin-like enhancer of split 1, homolog of Drosophila E(spl)	3.274394
AGI_MM_OLIGO_A_51_P503433	Ppap2b	phosphatidic acid phosphatase type 2B	3.230078
AGI_MM_OLIGO_A_51_P449171	Birc3	baculoviral IAP repeat-containing 3	3.22987
AGI_MM_OLIGO_A_51_P146560	Msln	mesothelin	3.226535
AGI_MM_OLIGO_A_51_P137361	Clcn3	chloride channel 3	3.218539
AGI_MM_OLIGO_A_51_P502608	Wwtr1	WW domain containing transcription regulator 1	3.213677
AGI_MM_OLIGO_A_51_P278034	2700038N03Rik	RIKEN cDNA 2700038N03 gene	3.206259
AGI_MM_OLIGO_A_51_P295192	Nfkbia	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha	3.200103
AGI_MM_OLIGO_A_51_P450411	Muc3	mucin 3, intestinal	3.195194
AGI_MM_OLIGO_A_51_P206704	Acox2	acyl-Coenzyme A oxidase 2, branched chain	3.19397
AGI_MM_OLIGO_A_51_P470715	Cish	cytokine inducible SH2-containing protein	3.189589
AGI_MM_OLIGO_A_51_P360396	Tcfap2b	transcription factor AP-2 beta	3.18522
AGI_MM_OLIGO_A_51_P248819	Bambi	BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)	3.138831
AGI_MM_OLIGO_A_51_P162437	Bcr	breakpoint cluster region homolog	3.135386
AGI_MM_OLIGO_A_51_P346938	Lrg1	leucine-rich alpha-2-glycoprotein 1	3.1346
AGI_MM_OLIGO_A_51_P457989	Rragd	Ras-related GTP binding D	3.130772
AGI_MM_OLIGO_A_51_P318710	D630013G24Rik	RIKEN cDNA D630013G24 gene	3.099334
AGI_MM_OLIGO_A_51_P376050	Epsti1	epithelial stromal interaction 1 (breast)	3.09473
AGI_MM_OLIGO_A_51_P181751	4930488E11Rik	RIKEN cDNA 4930488E11 gene	3.091381
AGI_MM_OLIGO_A_51_P476423	Dock6	dedicator of cytokinesis 6	3.079956
AGI_MM_OLIGO_A_51_P319985	Neil3	nei like 3 (E. coli)	3.070027
AGI_MM_OLIGO_A_51_P411609			3.066074
AGI_MM_OLIGO_A_51_P216965	Fkbp10	FK506 binding protein 10	3.065416
AGI_MM_OLIGO_A_51_P490795	Mxd1	MAX dimerization protein 1	3.063444
AGI_MM_OLIGO_A_51_P450839	Golph2	golgi phosphoprotein 2	3.061381
AGI_MM_OLIGO_A_51_P338262	Tnnt2	troponin T2, cardiac	3.061193
AGI_MM_OLIGO_A_51_P496432	Acsl1	acyl-CoA synthetase long-chain family member 1	3.059976
AGI_MM_OLIGO_A_51_P321984	LOC639490	similar to myeloid/lymphoid or mixed lineage-leukemia translocation to 6 homolog	3.056889
AGI_MM_OLIGO_A_51_P403749	Neurl	neuralized-like homolog (Drosophila)	3.049338
AGI_MM_OLIGO_A_51_P184685	Olfr675	olfactory receptor 675	3.04813
AGI_MM_OLIGO_A_51_P190254	Scrn1	secernin 1	3.042195
AGI_MM_OLIGO_A_51_P358462	4930579J09Rik	RIKEN cDNA 4930579J09 gene	3.038775
AGI_MM_OLIGO_A_51_P326932	A230083H22Rik	RIKEN cDNA A230083H22 gene	3.031313
AGI_MM_OLIGO_A_51_P204860	Ppfibp1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	3.031222
AGI_MM_OLIGO_A_51_P475672			3.029752
AGI_MM_OLIGO_A_51_P354614	Tcrg	T cell receptor gamma chain	3.025993
AGI_MM_OLIGO_A_51_P147284	9630044O09Rik	RIKEN cDNA 9630044O09 gene	3.024803
AGI_MM_OLIGO_A_51_P151484	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	3.024438
AGI_MM_OLIGO_A_51_P386385	Scotin	scotin gene	3.003183
AGI_MM_OLIGO_A_51_P164934	BC014685	cDNA sequence BC014685	2.98909
AGI_MM_OLIGO_A_51_P114094	Clstn3	calsyntenin 3	2.986323
AGI_MM_OLIGO_A_51_P381409	Vil1	villin 1	2.984807
AGI_MM_OLIGO_A_51_P348325	Wdr51b	WD repeat domain 51B	2.984718
AGI_MM_OLIGO_A_51_P204801	Cnih2	cornichon homolog 2 (Drosophila)	2.969121
AGI_MM_OLIGO_A_51_P343739	Dlgap4	discs, large homolog-associated protein 4 (Drosophila)	2.961471
AGI_MM_OLIGO_A_51_P484537	Smc2l1	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	2.959368
AGI_MM_OLIGO_A_51_P394244	Rapgefl1	Rap guanine nucleotide exchange factor (GEF)-like 1	2.953948
AGI_MM_OLIGO_A_51_P466229	Pdgfrl	platelet-derived growth factor receptor-like	2.946723
AGI_MM_OLIGO_A_51_P171872	Abhd6	abhydrolase domain containing 6	2.937807
AGI_MM_OLIGO_A_51_P233988	Klk5	kallikrein 5	2.935392
AGI_MM_OLIGO_A_51_P225095	Bmp3	bone morphogenetic protein 3	2.925174
AGI_MM_OLIGO_A_51_P140607	4933424B01Rik	RIKEN cDNA 4933424B01 gene	2.923378
AGI_MM_OLIGO_A_51_P355015	Sprr2e	small proline-rich protein 2E	2.916132
AGI_MM_OLIGO_A_51_P394354	5730469M10Rik	RIKEN cDNA 5730469M10 gene	2.912989
AGI_MM_OLIGO_A_51_P413740	Ftcd	formiminotransferase cyclodeaminase	2.902589
AGI_MM_OLIGO_A_51_P242403	Ldhc	lactate dehydrogenase C	2.899728
AGI_MM_OLIGO_A_51_P364431	B3gat3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	2.894272
AGI_MM_OLIGO_A_51_P479132	Zcchc3	zinc finger, CCHC domain containing 3	2.883756
AGI_MM_OLIGO_A_51_P207591	Anxa8	annexin A8	2.870923
AGI_MM_OLIGO_A_51_P165834	Dcamkl2	doublecortin and CaM kinase-like 2	2.86977
AGI_MM_OLIGO_A_51_P356760	Mical1	microtubule associated monoxygenase, calponin and LIM domain containing 1	2.856
AGI_MM_OLIGO_A_51_P353213	Thbs4	thrombospondin 4	2.853393
AGI_MM_OLIGO_A_51_P267933	E130013N09Rik	RIKEN cDNA E130013N09 gene	2.845517
AGI_MM_OLIGO_A_51_P491329	Pdzk1ip1	PDZK1 interacting protein 1	2.831979
AGI_MM_OLIGO_A_51_P481342	Ugcg	UDP-glucose ceramide glucosyltransferase	2.831017
AGI_MM_OLIGO_A_51_P264671	Col11a2	procollagen, type XI, alpha 2	2.829495
AGI_MM_OLIGO_A_51_P440790	Dpp7	dipeptidylpeptidase 7	2.823344
AGI_MM_OLIGO_A_51_P443364	Cbll1	Casitas B-lineage lymphoma-like 1	2.822228
AGI_MM_OLIGO_A_51_P491758	Sprr2j	small proline-rich protein 2J	2.81833
AGI_MM_OLIGO_A_51_P120257	Uble1b	ubiquitin-like 1 (sentrin) activating enzyme E1B	2.818092
AGI_MM_OLIGO_A_51_P336019	Ilf2	interleukin enhancer binding factor 2	2.81199
AGI_MM_OLIGO_A_51_P174081	Zdhhc14	zinc finger, DHHC domain containing 14	2.806072
AGI_MM_OLIGO_A_51_P336260	Hmgb1l	high mobility group box 1-like	2.799552
AGI_MM_OLIGO_A_51_P480578	Pcx	pyruvate carboxylase	2.799317
AGI_MM_OLIGO_A_51_P496795	A330049M08Rik	RIKEN cDNA A330049M08 gene	2.79049
AGI_MM_OLIGO_A_51_P187679	4933425K02Rik	RIKEN cDNA 4933425K02 gene	2.788156
AGI_MM_OLIGO_A_51_P437559	Timeless	timeless homolog (Drosophila)	2.761592
AGI_MM_OLIGO_A_51_P220026			2.7552
AGI_MM_OLIGO_A_51_P188211	Max	Max protein	2.740327
AGI_MM_OLIGO_A_51_P165822	Hmgb1	high mobility group box 1	2.738376
AGI_MM_OLIGO_A_51_P509125	Galr3	galanin receptor 3	2.733734
AGI_MM_OLIGO_A_51_P488283	C1qtnf4	C1q and tumor necrosis factor related protein 4	2.73351
AGI_MM_OLIGO_A_51_P428483	Fgb	fibrinogen, B beta polypeptide	2.731494
AGI_MM_OLIGO_A_51_P445882			2.727545
AGI_MM_OLIGO_A_51_P450278	2010003K11Rik	RIKEN cDNA 2010003K11 gene	2.717391
AGI_MM_OLIGO_A_51_P240693	2210010N04Rik	RIKEN cDNA 2210010N04 gene	2.716874
AGI_MM_OLIGO_A_51_P350883	Dbt	dihydrolipoamide branched chain transacylase E2	2.71363
AGI_MM_OLIGO_A_51_P198694	Gckr	glucokinase regulatory protein	2.70658
AGI_MM_OLIGO_A_51_P328202	Daam2	dishevelled associated activator of morphogenesis 2	2.700003
AGI_MM_OLIGO_A_51_P494825	Mfhas1	malignant fibrous histiocytoma amplified sequence 1	2.689184
AGI_MM_OLIGO_A_51_P275469	Setd1b	SET domain containing 1B	2.669657
AGI_MM_OLIGO_A_51_P307150	Indo	indoleamine-pyrrole 2,3 dioxygenase	2.666951
AGI_MM_OLIGO_A_51_P103499	Spesp1	sperm equatorial segment protein 1	2.666667
AGI_MM_OLIGO_A_51_P227502	Mfap2	microfibrillar-associated protein 2	2.664606
AGI_MM_OLIGO_A_51_P485405	1700006H03Rik	RIKEN cDNA 1700006H03 gene	2.664393
