Gene name	Description	Entrez Gene ID	Fold Change	P-value
Dr.123782	Transcribed locus		1.8	1.95E-08
Dr.123891	Transcribed locus, weakly similar to NP_956803.1  P450, family 2, subfamily K, polypeptide 6 [Danio rerio]		1.74	0.00008
Dr.123991	Transcribed locus		1.41	1.75E-11
Dr.124148	Transcribed locus, weakly similar to XP_507827.2  similar to KIAA1279 protein [Pan troglodytes]		1.64	9.67E-09
Dr.124151	Transcribed locus, weakly similar to XP_001333095.1  hypothetical protein [Danio rerio]		2.99	1.74E-13
Dr.124177	Transcribed locus		1.34	1.05E-06
Dr.124927	Transcribed locus, strongly similar to XP_700295.1  similar to class I helical cytokine receptor member 13, partial [Danio rerio]		1.7	3.85E-27
Dr.125020	Transcribed locus		2.13	0.00006
Dr.125138	Transcribed locus, moderately similar to NP_001076542.1  protein LOC100034505 [Danio rerio]		1.26	0.00003
Dr.125894	Transcribed locus, strongly similar to XP_001088312.1  similar to Actin, alpha cardiac (Alpha-cardiac actin) isoform 2 [Macaca mulatta]		1.62	6.55E-06
Dr.126413	Transcribed locus, weakly similar to NP_066269.1  gamma C [Homo sapiens]		2.77	0
Dr.12642	Transcribed locus		1.85	1.53E-07
Dr.127497	Transcribed locus, weakly similar to XP_640688.2  protein DDBDRAFT_0205594 [Dictyostelium discoideum AX4]		1.91	0.00006
Dr.12769	Transcribed locus		1.71	1.63E-08
Dr.12781	Transcribed locus		1.77	6.94E-11
Dr.12931	Transcribed locus		1.66	7.29E-11
Dr.129467	Transcribed locus		1.56	3.21E-09
Dr.13003	Transcribed locus		2.04	7.43E-08
Dr.130561	Transcribed locus, weakly similar to XP_696203.2  hypothetical protein [Danio rerio]		2.95	9.07E-06
Dr.131647	Transcribed locus		1.67	2.06E-08
Dr.132452	Transcribed locus, moderately similar to NP_066390.1  histone family, member A [Homo sapiens]		1.33	0.00007
Dr.132575	CDNA clone IMAGE:6805667		1.67	0.00003
Dr.132723	Transcribed locus, strongly similar to XP_001087479.1  similar to RNA binding motif protein 25 isoform 3 [Macaca mulatta]		1.75	1.63E-17
Dr.132962	Transcribed locus		1.81	1.46E-14
Dr.133156	Transcribed locus		1.74	5.63E-10
Dr.133196	Transcribed locus		2.11	3.22E-16
Dr.133367	Transcribed locus		2.53	0.00003
Dr.133388	Transcribed locus		2.24	0.0001
Dr.133400	Transcribed locus		1.92	4.47E-07
Dr.133416	Transcribed locus		1.78	3.73E-07
Dr.133592	Transcribed locus, weakly similar to XP_417520.1  similar to Hypothetical protein MGC15730 [Gallus gallus]		1.95	1.91E-08
Dr.133700	Transcribed locus		1.43	0.00001
Dr.133938	Transcribed locus, strongly similar to XP_705717.1  hypothetical protein XP_700625 [Danio rerio]		1.79	2.41E-16
Dr.134769	Transcribed locus		1.74	4.07E-11
Dr.134920	Transcribed locus		1.44	2.26E-07
Dr.135144	Transcribed locus		2.72	7.71E-10
Dr.13779	Transcribed locus		1.72	4.07E-20
Dr.13834	Transcribed locus		1.74	6.17E-27
Dr.13934	Transcribed locus		2.43	6.69E-18
Dr.140604	Transcribed locus, moderately similar to XP_001087955.1  SEC24 (S. cerevisiae) homolog B [Macaca mulatta]		1.8	2.11E-07
Dr.140606	Transcribed locus		1.67	0.00004
Dr.140658	Transcribed locus, weakly similar to XP_001113109.1  tripartite motif-containing 8 [Macaca mulatta]		1.8	1.07E-08
Dr.140726	Transcribed locus, weakly similar to NP_001035802.1  tyrosine phosphatase, receptor type, D isoform 5 precursor [Homo sapiens]		1.57	6.96E-12
Dr.140756	Transcribed locus, weakly similar to NP_067078.1  2 [Homo sapiens]		1.77	6.83E-08
Dr.14156	Transcribed locus		1.62	3.00E-09
Dr.14167	Transcribed locus		1.71	1.65E-06
Dr.14171	Transcribed locus		2.29	2.95E-06
Dr.14363	Transcribed locus		1.71	8.43E-07
Dr.14578	Transcribed locus		1.97	4.63E-06
Dr.14587	Transcribed locus		1.41	4.63E-07
Dr.14609	Transcribed locus		1.99	1.01E-08
Dr.14618	Transcribed locus		1.69	0.00006
Dr.14782	Transcribed locus		2.12	4.87E-10
Dr.14785	Transcribed locus, weakly similar to XP_001095731.1  similar to formin 2 isoform 2 [Macaca mulatta]		1.4	5.17E-07
Dr.14977	Transcribed locus		1.44	0.00001
Dr.15215	Transcribed locus		1.52	0.00007
Dr.15245	Transcribed locus		1.85	5.69E-10
Dr.15757	Transcribed locus, strongly similar to XP_001330938.1  hypothetical protein [Danio rerio]		1.66	4.35E-09
Dr.16373	Transcribed locus		2.63	7.25E-38
Dr.16786	Transcribed locus		1.98	8.33E-20
Dr.18198	Transcribed locus		2.13	3.07E-13
Dr.18980	Transcribed locus		2.06	0.00003
Dr.19769	Transcribed locus		3.09	6.74E-07
Dr.21811	Transcribed locus		1.37	3.55E-08
Dr.22437	Transcribed locus		1.65	0.00001
Dr.23332	Transcribed locus		2.45	1.43E-06
Dr.28744	Transcribed locus		1.85	3.96E-11
Dr.28831	Transcribed locus		1.59	0.00002
Dr.29544	Transcribed locus		1.58	1.00E-06
Dr.30522	Transcribed locus, weakly similar to XP_001103689.1  hypothetical protein isoform 1 [Macaca mulatta]		1.61	8.09E-06
Dr.30762	Transcribed locus		1.74	0.00003
Dr.31035	Transcribed locus, moderately similar to XP_001095785.1  similar to RIO kinase 2 [Macaca mulatta]		1.45	6.88E-06
Dr.40900	Transcribed locus, weakly similar to NP_001036068.1  binding protein 2 isoform 1 [Homo sapiens]		2.73	0.00002
Dr.43457	Transcribed locus, weakly similar to NP_055243.1  junction protein 3 (zona occludens 3) [Homo sapiens]		1.54	8.28E-16
Dr.43639	Transcribed locus, weakly similar to XP_784157.2  similar to conserved hypothetical protein [Strongylocentrotus purpuratus]		1.75	0.0001
Dr.45519	Transcribed locus		2.2	2.53E-18
Dr.48156	Transcribed locus		1.48	9.80E-09
Dr.51849	Transcribed locus		1.85	3.11E-06
Dr.51858	Transcribed locus, moderately similar to XP_001107685.1  histidine ammonia-lyase [Macaca mulatta]		1.91	0.00004
Dr.66779	Transcribed locus, weakly similar to XP_001088679.1  adducin 1 (alpha) isoform 13 [Macaca mulatta]		1.65	9.12E-06
Dr.70889	Transcribed locus		1.4	1.62E-06
Dr.74691	Transcribed locus		1.57	8.37E-09
Dr.75532	Transcribed locus, strongly similar to XP_692180.2  hypothetical protein [Danio rerio]		1.61	8.68E-06
Dr.75533	Transcribed locus		1.63	0.00004
Dr.77614	Transcribed locus		1.27	0.00001
Dr.78004	Transcribed locus		1.44	3.81E-06
Dr.78191	Transcribed locus		1.59	7.32E-07
Dr.78245	CDNA clone IMAGE:7220766		2.13	6.57E-06
Dr.7870	Transcribed locus		1.72	1.88E-09
Dr.78846	Transcribed locus		1.64	8.87E-08
Dr.78909	Transcribed locus, moderately similar to XP_223584.4  similar to DEP domain-containing protein 5 [Rattus norvegicus]		1.61	3.94E-06
Dr.79067	Transcribed locus		1.6	2.70E-09
Dr.79181	Transcribed locus		1.91	9.25E-07
Dr.79533	Transcribed locus		2.13	4.57E-12
Dr.80257	Transcribed locus		1.72	1.41E-07
Dr.80267	Transcribed locus		1.92	2.75E-10
Dr.80797	Transcribed locus		2.74	3.78E-07
Dr.80877	Transcribed locus		1.83	5.34E-06
Dr.80920	Transcribed locus		1.39	9.81E-06
Dr.81082	Transcribed locus		1.66	3.29E-10
Dr.81089	Transcribed locus		2.16	4.76E-07
Dr.8151	Transcribed locus		1.62	1.69E-06
Dr.81953	Transcribed locus		1.36	2.13E-06
Dr.82058	Transcribed locus		1.91	0.00001
Dr.82191	Transcribed locus		2.57	0.00002
Dr.82684	Transcribed locus		2.14	9.55E-08
Dr.82693	Transcribed locus		1.66	7.43E-20
Dr.82702	Transcribed locus		2.41	1.97E-12
Dr.82776	Transcribed locus		1.59	0.00003
Dr.82845	Transcribed locus		1.69	3.74E-06
Dr.82859	Transcribed locus		1.61	3.17E-08
Dr.82870	Transcribed locus		1.42	0.00004
Dr.82879	Transcribed locus		3.48	7.72E-13
Dr.82880	Transcribed locus		1.9	1.69E-06
Dr.82902	Transcribed locus		1.55	0.00003
Dr.82916	Transcribed locus		1.81	1.10E-16
Dr.83051	Transcribed locus		1.6	5.37E-07
Dr.83158	Transcribed locus		1.4	0.00004
Dr.83165	Transcribed locus		1.42	0.00001
Dr.83180	Transcribed locus		1.54	1.93E-22
Dr.83181	Transcribed locus		1.48	0.00004
Dr.83191	Transcribed locus		2.05	0.00003
Dr.83204	Transcribed locus, moderately similar to XP_001093326.1  similar to WD repeat, SAM and U-box domain containing 1 [Macaca mulatta]		1.6	0.00006
Dr.83206	Transcribed locus		1.64	3.70E-11
Dr.83244	Transcribed locus		1.73	1.65E-11
Dr.83341	Transcribed locus		1.44	4.14E-06
Dr.83345	Transcribed locus		2.35	1.59E-15
Dr.83355	Transcribed locus		1.6	1.25E-08
Dr.83364	Transcribed locus		1.74	0.00009
Dr.83397	Transcribed locus		1.39	6.12E-08
Dr.83422	Transcribed locus, strongly similar to XP_704671.2  hypothetical protein [Danio rerio]		1.33	4.31E-06
Dr.83526	Transcribed locus		1.54	4.09E-10
Dr.83567	Transcribed locus, weakly similar to XP_001082733.1  similar to Rho guanine exchange factor 16 isoform 4 [Macaca mulatta]		2.19	5.18E-07
Dr.83600	Transcribed locus		1.88	1.07E-31
Dr.83643	Transcribed locus		2.08	4.06E-06
Dr.83701	Transcribed locus		1.36	8.30E-06
Dr.83740	Transcribed locus		1.75	2.75E-07
Dr.83759	Transcribed locus		1.96	1.67E-06
Dr.83812	Transcribed locus, strongly similar to XP_695622.1  similar to serine/threonine kinase 36 (fused homolog, Drosophila) [Danio rerio]		1.9	1.01E-06
Dr.83968	Transcribed locus		2.06	4.36E-21
Dr.84027	Transcribed locus		2.13	3.88E-06
Dr.84364	Transcribed locus		2.16	1.32E-16
Dr.84382	Transcribed locus		1.94	5.29E-21
Dr.84414	Transcribed locus		1.81	2.71E-06
Dr.84527	Transcribed locus		1.53	0.00005
Dr.84562	Transcribed locus		1.55	5.59E-06
Dr.84575	Transcribed locus		1.18	0.00005
Dr.84593	Transcribed locus		2.74	1.17E-17
Dr.84752	Transcribed locus		2.27	2.80E-25
Dr.84783	Transcribed locus		1.66	7.62E-07
Dr.84819	Transcribed locus		2.18	4.85E-16
Dr.84831	Transcribed locus		1.5	3.53E-07
Dr.84832	Transcribed locus, weakly similar to XP_001116017.1  similar to phosphoinositide-specific phospholipase C beta 1 isoform a [Macaca mulatta]		2.77	0.00006
Dr.84916	Transcribed locus		1.51	4.34E-06
Dr.84995	Transcribed locus		1.81	1.13E-07
Dr.85055	Transcribed locus		2.13	1.40E-16
Dr.85688	Transcribed locus		1.58	0.00001
Dr.85726	Transcribed locus		1.42	6.04E-06
Dr.85763	Transcribed locus		1.82	0.00002
Dr.85775	Transcribed locus		1.53	1.60E-09
Dr.85849	Transcribed locus		1.52	0.00004
Dr.85884	Transcribed locus, moderately similar to XP_693938.1  similar to beta3-glucuronyltransferase [Danio rerio]		1.7	7.02E-06
Dr.85910	Transcribed locus		3.16	3.55E-10
Dr.86075	Transcribed locus		1.35	0.00007
Dr.86081	Transcribed locus		2.01	1.32E-08
Dr.86091	Transcribed locus		1.62	7.10E-06
Dr.86131	Transcribed locus		1.91	5.83E-06
Dr.86139	Transcribed locus		1.44	0.00005
Dr.86263	Transcribed locus		2.29	3.13E-13
Dr.86264	Transcribed locus		1.84	1.11E-09
Dr.86273	Transcribed locus, moderately similar to XP_001085560.1  similar to citron [Macaca mulatta]		1.91	0.00001
Dr.86274	Transcribed locus		2.04	6.41E-11
Dr.87041	Transcribed locus		1.48	1.82E-09
Dr.88294	Embryonic shield mRNA, complete sequence		2.08	1.54E-13
Dr.88301	Transcribed locus, weakly similar to XP_345409.3  similar to four jointed box 1 [Rattus norvegicus]		1.86	1.41E-16
Dr.90394	Transcribed locus, weakly similar to XP_001102038.1  cyclic nucleotide gated channel alpha 3 isoform 2 [Macaca mulatta]		3.86	9.88E-10
Dr.90454	Transcribed locus		1.35	2.75E-06
Dr.90733	Transcribed locus		2.8	9.24E-10
Dr.90744	Transcribed locus, weakly similar to XP_001099789.1  kinesin family member 3A [Macaca mulatta]		1.51	9.32E-11
Dr.90779	Transcribed locus		1.68	5.42E-08
Dr.91270	Transcribed locus		1.59	2.61E-10
Dr.92710	Transcribed locus		2.66	0.00003
Dr.92784	Transcribed locus		1.47	9.05E-08
Dr.93209	CDNA clone IMAGE:7155121		1.42	0.00002
Dr.95260	Transcribed locus		2.05	1.49E-07
Dr.9573	Transcribed locus		1.58	0.00003
Dr.96026	Transcribed locus		1.72	1.48E-11
Dr.98976	Transcribed locus		1.86	0.00002
drd3	Dopamine receptor D3	282554	2.4	0.00007
dvl2	Dishevelled, dsh homolog 2 (Drosophila)	323630	1.44	1.84E-09
edn1	Endothelin 1	58032	1.27	9.51E-06
efhc1	EF-hand domain (C-terminal) containing 1	393942	1.68	3.59E-19
egf	Epidermal growth factor precursor	403045	1.45	5.72E-06
ela3l	Elastase 3 like	554107	1.84	0.00002
elk4	ELK4, ETS-domain protein	30093	1.62	1.24E-06
elovl1	Elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1	327274	2.34	9.75E-09
emx3	Empty spiracles homeobox 3	30536	1.23	2.33E-06
erg	V-ets erythroblastosis virus E26 oncogene like (avian)	494073	1.66	0.00001
esr2b	Estrogen receptor 2b	317733	1.66	1.32E-11
esrrb	Estrogen-related receptor beta	407693	1.66	6.86E-10
esrrg	Estrogen-related receptor gamma	405890	1.35	4.51E-07
ets1a	V-ets erythroblastosis virus E26 oncogene homolog 1a	280651	1.34	6.94E-07
ets1b	V-ets erythroblastosis virus E26 oncogene homolog 1b	555766	1.34	3.84E-08
evx2	Even-skipped homeobox 2	30479	1.38	0.00002
exoc7	Exocyst complex component 7	406723	1.31	0.00002
f7i	Coagulation factor VIIi	282671	1.6	2.85E-08
faf1	Fas associated factor 1	406243	1.31	0.00009
farp2	FERM, RhoGEF and pleckstrin domain protein 2	324273	1.46	5.50E-09
fbln1	Fibulin 1	30240	5.65	1.26E-25
fbln1	Fibulin 1	30240	1.8	1.56E-06
fbxl5	F-box and leucine-rich repeat protein 5	322181	1.83	1.85E-18
fbxo42	F-box protein 42	335459	1.45	4.60E-08
fech	Ferrochelatase	58215	1.9	3.03E-06
fgf20a	Fibroblast growth factor 20a	559630	1.63	4.09E-12
fgf23	Fibroblast growth factor 23	494456	1.51	6.07E-07
fgf24	Fibroblast growth factor 24	359831	1.4	6.27E-13
fgfr1	Fibroblast growth factor receptor 1	30705	1.55	2.36E-06
flj12716l	FLJ12716-like protein (H. sapiens)	323003	1.36	3.19E-09
foxd5	Forkhead box D5	30524	1.85	2.57E-13
foxk1	Forkhead box K1	334470	1.83	1.64E-07
fryl	Furry homolog-like (Drosophila)	558173	1.58	7.47E-07
fst	Follistatin	30235	1.23	5.51E-08
fut8	Fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	445378	1.66	1.18E-08
gabpa	GA-binding protein transcription factor, alpha subunit	58110	1.47	2.77E-08
gadd45a	Growth arrest and DNA-damage-inducible, alpha	431763	1.6	0.00009
gadd45bl	Growth arrest and DNA-damage-inducible, beta like	497646	1.55	1.67E-08
gata4	GATA-binding protein 4	30483	2.07	8.85E-09
gata5	GATA-binding protein 5	30482	1.46	4.32E-10
gata6	GATA-binding protein 6	58076	1.5	1.10E-06
gatm	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	266799	1.45	0.00001
gbp	Glycogen synthase kinase binding protein	30719	1.3	1.81E-06
gli3	GLI-Kruppel family member GLI3	403042	1.54	7.88E-09
gli3	GLI-Kruppel family member GLI3	403042	1.47	5.54E-09
glmnl	Glomulin, like	492774	1.31	4.62E-09
gopc	Golgi associated PDZ and coiled-coil motif containing	326887	1.79	1.30E-13
gpia	Glucose phosphate isomerase a	246094	1.18	0.00005
gpr137ba	G protein-coupled receptor 137ba	492792	1.61	2.56E-09
gpr34a	G protein-coupled receptor 34a	335288	3.28	1.77E-06
grem1	Gremlin 1 homolog, cysteine knot superfamily (Xenopus laevis)	405778	1.54	0.00002
gria3a	Glutamate receptor, ionotropic, AMPA 3a	170452	1.56	0.00005
grn2	Granulin 2	336575	4.64	0.00002
gro2	Groucho 2	30206	1.53	1.75E-10
gsk3a	Glycogen synthase kinase 3 alpha	30664	1.35	0.00001
h2afza	Histone 2A family member ZA	403077	1.51	1.21E-09
hamp1	Hepcidin antimicrobial peptide 1	402837	3.06	0.00001
hbae3	Hemoglobin alpha embryonic-3	30601	2.31	0.00003
heatr1	HEAT repeat containing 1	334446	1.65	0.00008
her8a	Hairy-related 8a	323656	1.44	2.77E-07
her9	Hairy-related 9	140613	1.2	6.20E-06
hhex	Hematopoietically expressed homeobox	30098	1.52	3.69E-06
hig1	Hypoxia induced gene 1	373084	1.31	1.17E-06
hk1	Hexokinase 1	406791	1.35	4.39E-07
hmox1	Heme oxygenase (decycling) 1	324382	1.61	5.25E-06
hmp	Humpback	30166	1.31	0.00001
hnrpa0l	Heterogeneous nuclear ribonucleoprotein A0, like	321899	1.68	1.21E-14
hnrpdl	Heterogeneous nuclear ribonucleoprotein D-like	406701	1.27	7.42E-10
hnrpr	Heterogeneous nuclear ribonucleoprotein R	406735	1.62	1.94E-08
hoxa13a	Homeo box A13a	570239	1.34	4.05E-08
