Fold Change	unadjusted p-value	ID	Symbol	Gene Description	Location	Type(s)
-1.264	3.78E-02	AA599127	SOD1	superoxide dismutase 1, soluble	Cytoplasm	enzyme
-1.332	3.05E-02	AA459039	SPINT2	serine peptidase inhibitor, Kunitz type, 2	Extracellular Space	other
-1.334	3.71E-02	R35230	SPOP	speckle-type POZ protein	Extracellular Space	other
-1.15	2.34E-02	R51912	SST	somatostatin	Extracellular Space	other
-1.445	4.44E-03	R30941	STAT5B	signal transducer and activator of transcription 5B	Nucleus	transcription regulator
-1.402	1.93E-02	AA487635	STIP1	stress-induced-phosphoprotein 1	Cytoplasm	other
-1.213	2.65E-02	AA292583	TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	Nucleus	transcription regulator
-1.256	1.30E-02	AA436409	TARBP2	TAR (HIV-1) RNA binding protein 2	Nucleus	other
1.16	2.98E-02	AA151295	TERF1	telomeric repeat binding factor (NIMA-interacting) 1	Nucleus	other
1.203	4.84E-02	AA156324	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	Cytoplasm	enzyme
-1.26	2.52E-02	AA464279	TICAM1	toll-like receptor adaptor molecule 1	Nucleus	other
-1.247	3.34E-02	AA486280	TIMP2	TIMP metallopeptidase inhibitor 2	Extracellular Space	other
-1.311	1.25E-02	AA489314	TMED9	transmembrane emp24 protein transport domain containing 9	Cytoplasm	transporter
-1.34	4.91E-02	AA443830	TMEM55B	transmembrane protein 55B	Cytoplasm	other
1.203	4.04E-03	AA182848	TNNI1	troponin I type 1 (skeletal, slow)	Unknown	other
-1.307	1.31E-03	AA481067	TNPO1	transportin 1	Nucleus	transporter
-1.195	3.82E-02	AA664389	TSC22D1	TSC22 domain family, member 1	Nucleus	transcription regulator
-1.226	1.30E-02	AA291821	TTC1	tetratricopeptide repeat domain 1	Unknown	other
-1.349	1.70E-02	AA865469	TUBA1A	tubulin, alpha 1a	Cytoplasm	other
1.219	4.61E-02	N76101	UBAP2L	ubiquitin associated protein 2-like	Unknown	other
-1.208	2.47E-02	AA455413	UGCG	UDP-glucose ceramide glucosyltransferase	Cytoplasm	enzyme
-1.237	1.52E-02	AA448184	UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	Cytoplasm	enzyme
-1.281	1.48E-02	AA424441	UROD	uroporphyrinogen decarboxylase	Cytoplasm	enzyme
-1.358	1.60E-02	AA486016	VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	Plasma Membrane	other
-1.363	2.19E-02	R19956	VEGFA	vascular endothelial growth factor A	Extracellular Space	growth factor
1.151	4.97E-02	H96343	VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	Plasma Membrane	transporter
1.155	4.09E-02	R67562	WWP1	WW domain containing E3 ubiquitin protein ligase 1	Cytoplasm	enzyme
-1.199	1.92E-02	AA485674	XPO5	exportin 5	Nucleus	transporter
1.727	4.94E-02	AI333932	ZFP106	zinc finger protein 106 homolog (mouse)	Cytoplasm	other
