ENTREZGENEID	Symbol	DESCRIPTION	logFOLDCHANGE	FOLDCHANGE	P.Value
9168	TMSB10	Thymosin beta 10	1.83	3.57	0.00227
7296	TXNRD1	Thioredoxin reductase 1	1.81	3.51	0.0014
8828	NRP2	Neuropilin 2	1.79	3.46	0.000266
6436		In multiple clusters	1.77	3.4	0.0000625
7980	TFPI2	Tissue factor pathway inhibitor 2	1.75	3.36	0.000299
7022	TFAP2C	Transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	1.73	3.32	0.00169
3021	H3F3B	H3 histone, family 3B (H3.3B)	1.72	3.31	0.000944
7327		In multiple clusters	1.69	3.22	0.0059
5743	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1.66	3.16	0.00755
1230	CCR1	Chemokine (C-C motif) receptor 1	1.62	3.08	0.00798
4486	MST1R	Macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	1.59	3	0.000437
1465	CSRP1	Cysteine and glycine-rich protein 1	1.57	2.96	0.00131
6175	RPLP0	Ribosomal protein, large, P0	1.56	2.94	0.00013
6786	STIM1	Stromal interaction molecule 1	1.54	2.91	0.00615
27344	PCSK1N	Proprotein convertase subtilisin/kexin type 1 inhibitor	1.53	2.89	0.00105
79627		In multiple clusters	1.53	2.88	0.0497
7329	UBE2I	Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	1.52	2.87	0.00346
283459	GATC	Glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)	1.52	2.87	0.00424
5069		In multiple clusters	1.52	2.87	0.0000627
23429	RYBP	RING1 and YY1 binding protein	1.47	2.77	0.000291
23424	TDRD7	Tudor domain containing 7	1.45	2.73	0.011
4905	NSF	N-ethylmaleimide-sensitive factor	1.44	2.71	0.000366
5054	SERPINE1	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	1.43	2.69	0.000102
10631		In multiple clusters	1.43	2.69	0.002
10525	HYOU1	Hypoxia up-regulated 1	1.42	2.68	0.00112
972	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	1.42	2.68	0.000832
57410	SCYL1	SCY1-like 1 (S. cerevisiae)	1.41	2.67	0.00587
9601	PDIA4	Protein disulfide isomerase family A, member 4	1.41	2.66	0.000328
4123		In multiple clusters	1.41	2.66	0.032
51021	MRPS16	Mitochondrial ribosomal protein S16	1.41	2.66	0.00641
2791	GNG11	Guanine nucleotide binding protein (G protein), gamma 11	1.41	2.65	0.000333
9382	COG1	Component of oligomeric golgi complex 1	1.4	2.63	0.0000205
56892	C8orf4	Chromosome 8 open reading frame 4	1.39	2.63	0.00129
65084	TMEM135	Transmembrane protein 135	1.39	2.62	0.0242
3490	IGFBP7	Insulin-like growth factor binding protein 7	1.39	2.61	0.000193
6130	RPL7A	Ribosomal protein L7a	1.38	2.61	0.0000265
9601	PDIA4	Protein disulfide isomerase family A, member 4	1.38	2.61	0.00038
5546	PRCC	Papillary renal cell carcinoma (translocation-associated)	1.38	2.6	0.00229
1843	DUSP1	Dual specificity phosphatase 1	1.36	2.57	0.0028
6303	SAT1	Spermidine/spermine N1-acetyltransferase 1	1.36	2.57	0.000408
7052	TGM2	Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	1.35	2.54	0.0026
63827		In multiple clusters	1.34	2.53	0.00195
4357	MPST	Mercaptopyruvate sulfurtransferase	1.34	2.53	0.00733
80153	EDC3	Enhancer of mRNA decapping 3 homolog (S. cerevisiae)	1.34	2.52	0.000044
6594	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	1.33	2.52	0.000246
23193	GANAB	Glucosidase, alpha; neutral AB	1.33	2.51	0.000402
3783	KCNN4	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	1.32	2.5	0.0024
29123	ANKRD11	Ankyrin repeat domain 11	1.31	2.48	0.0395
84321	THOC3	THO complex 3	1.29	2.45	0.000461
84066	C1orf49	Chromosome 1 open reading frame 49	1.29	2.45	0.00802
8802	SUCLG1	Succinate-CoA ligase, alpha subunit	1.28	2.42	0.00824
80011	NIP30	NEFA-interacting nuclear protein NIP30	1.27	2.41	0.00061
1933	EEF1B2	Eukaryotic translation elongation factor 1 beta 2	1.27	2.41	0.000061
5552	SRGN	Serglycin	1.26	2.4	0.0151
6372	CXCL6	Chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	1.26	2.4	0.0000902
9500	MAGED1	Melanoma antigen family D, 1	1.26	2.4	0.0129
10126	DNAL4	Dynein, axonemal, light chain 4	1.26	2.4	0.00453
2669	GEM	GTP binding protein overexpressed in skeletal muscle	1.26	2.39	0.000484
81610	FAM83D	Family with sequence similarity 83, member D	1.25	2.38	0.000204
26470	SEZ6L2	Seizure related 6 homolog (mouse)-like 2	1.25	2.38	0.000965
84872	ZC3H10	Zinc finger CCCH-type containing 10	1.24	2.36	0.00131
8076	MFAP5	Microfibrillar associated protein 5	1.23	2.35	0.000442
5069		In multiple clusters	1.22	2.33	0.00994
7873	ARMET	Arginine-rich, mutated in early stage tumors	1.22	2.33	0.0058
8624	PSMG1	Proteasome (prosome, macropain) assembly chaperone 1	1.22	2.32	0.0404
2791	GNG11	Guanine nucleotide binding protein (G protein), gamma 11	1.21	2.31	0.00674
7168	TPM1	Tropomyosin 1 (alpha)	1.21	2.31	0.00119
55709		In multiple clusters	1.21	2.31	0.0109
6288	SAA1	Serum amyloid A2	1.19	2.29	0.012
348235	FAM33A	Family with sequence similarity 33, member A	1.19	2.28	0.000317
55968	NSFL1C	NSFL1 (p97) cofactor (p47)	1.18	2.27	0.0000562
124565	SLC38A10	Solute carrier family 38, member 10	1.18	2.26	0.00666
7414	VCL	Vinculin	1.17	2.25	0.00214
22913	RALY	RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))	1.17	2.25	0.00403
11176	BAZ2A	Bromodomain adjacent to zinc finger domain, 2A	1.16	2.24	0.00163
7043	TGFB3	Transforming growth factor, beta 3	1.16	2.24	0.0104
3301	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	1.16	2.24	0.000591
5704	PSMC4	Proteasome (prosome, macropain) 26S subunit, ATPase, 4	1.16	2.24	0.0105
5464	PPA1	Pyrophosphatase (inorganic) 1	1.16	2.23	0.000646
6376	CX3CL1	Chemokine (C-X3-C motif) ligand 1	1.15	2.23	0.000197
2707	GJB3	Gap junction protein, beta 3, 31kDa	1.15	2.22	0.00158
2561	GABRB2	Gamma-aminobutyric acid (GABA) A receptor, beta 2	1.15	2.22	0.0107
55355	HJURP	Holliday junction recognition protein	1.15	2.21	0.000116
6509	SLC1A4	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	1.15	2.21	0.000637
80381	CD276	CD276 molecule	1.15	2.21	0.000313
65108	MARCKSL1	MARCKS-like 1	1.15	2.21	0.000187
2192	FBLN1	Fibulin 1	1.15	2.21	0.0124
4135	MAP6	Microtubule-associated protein 6	1.14	2.21	0.00547
5898	RALA	V-ral simian leukemia viral oncogene homolog A (ras related)	1.13	2.19	0.00339
2114	ETS2	V-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	1.13	2.19	0.000121
54973	CPSF3L	Cleavage and polyadenylation specific factor 3-like	1.13	2.19	0.00288
857	CAV1	Caveolin 1, caveolae protein, 22kDa	1.12	2.18	0.0113
7052	TGM2	Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	1.12	2.17	0.00218
8451	CUL4A	Cullin 4A	1.11	2.16	0.000101
5358	PLS3	Plastin 3 (T isoform)	1.11	2.16	0.0036
6372	CXCL6	Chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	1.1	2.15	0.00515
7415	VCP	Valosin-containing protein	1.1	2.14	0.00299
5977	DPF2	D4, zinc and double PHD fingers family 2	1.1	2.14	0.000913
5869	RAB5B	RAB5B, member RAS oncogene family	1.1	2.14	0.00538
6304	SATB1	SATB homeobox 1	1.08	2.12	0.0124
6897	TARS	Threonyl-tRNA synthetase	1.08	2.12	0.000108
56892	C8orf4	Chromosome 8 open reading frame 4	1.08	2.11	0.00105
23645	PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	1.07	2.11	0.0015
64949	MRPS26	Mitochondrial ribosomal protein S26	1.07	2.1	0.00649
8818	DPM2	Dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	1.07	2.1	0.00201
3636	INPPL1	Inositol polyphosphate phosphatase-like 1	1.07	2.09	0.0129
6520	SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	1.07	2.09	0.00658
6782	STCH	Stress 70 protein chaperone, microsome-associated, 60kDa	1.07	2.09	0.000611
51421	AMOTL2	Angiomotin like 2	1.06	2.09	0.000759
79572	ATP13A3	ATPase type 13A3	1.06	2.08	0.000358
27316	RBMX	RNA binding motif protein, X-linked	1.05	2.07	0.0523
3398	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	1.05	2.07	0.0135
1839	HBEGF	Heparin-binding EGF-like growth factor	1.05	2.07	0.000535
9518	GDF15	Growth differentiation factor 15	1.04	2.06	0.000532
5880	RAC2	Ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	1.04	2.06	0.00265
3326	HSP90AB1	Heat shock protein 90kDa alpha (cytosolic), class B member 1	1.04	2.05	0.0138
9401	RECQL4	RecQ protein-like 4	1.04	2.05	0.00236
10772		In multiple clusters	1.04	2.05	0.0196
9890	LPPR4	Plasticity related gene 1	1.03	2.05	0.000292
57035	C1orf63	Chromosome 1 open reading frame 63	1.03	2.05	0.00753
55207	ARL8B	ADP-ribosylation factor-like 8B	1.03	2.05	0.00127
5189	PEX1	Peroxisome biogenesis factor 1	1.03	2.04	0.00422
4162	MCAM	Melanoma cell adhesion molecule	1.03	2.04	0.014
112939	BTBD14B	BTB (POZ) domain containing 14B	1.03	2.04	0.00101
1915		In multiple clusters	1.03	2.04	0.00117
8479	HIRIP3	HIRA interacting protein 3	1.02	2.03	0.00137
4211	MEIS1	Meis homeobox 1	1.02	2.03	0.012
9260	PDLIM7	PDZ and LIM domain 7 (enigma)	1.02	2.03	0.00575
10199	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	1.02	2.03	0.0043
11211	FZD10	Frizzled homolog 10 (Drosophila)	1.02	2.03	0.00151
2316	FLNA	Filamin A, alpha (actin binding protein 280)	1.02	2.03	0.000616
5049	PAFAH1B2	Platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa	1.02	2.03	0.000129
7013	TERF1	Telomeric repeat binding factor (NIMA-interacting) 1	1.01	2.02	0.00228
5528	PPP2R5D	Protein phosphatase 2, regulatory subunit B, delta isoform	1.01	2.01	0.0258
308	ANXA5	Annexin A5	1.01	2.01	0.000384
3006	HIST1H1C	Histone cluster 1, H1c	1.01	2.01	0.0198
337	APOA4	Apolipoprotein A-IV	1	2.01	0.00489
55502	HES6	Hairy and enhancer of split 6 (Drosophila)	1	2.01	0.00835
87	ACTN1	Actinin, alpha 1	1	2.01	0.0106
4478	MSN	Moesin	1	2	0.00205
55701	FLJ10357	Hypothetical protein FLJ10357	1	2	0.000271
5351	PLOD1	Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	1	2	0.00171
6352	CCL5	Chemokine (C-C motif) ligand 5	1	2	0.0122
8877	SPHK1	Sphingosine kinase 1	1	2	0.00569
1457	CSNK2A1	Casein kinase 2, alpha 1 polypeptide	1	2	0.00015
9097	USP14	Ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	0.99	1.99	0.000174
79109	MAPKAP1	Mitogen-activated protein kinase associated protein 1	0.99	1.99	0.0423
123096	SLC25A29	Solute carrier family 25, member 29	0.99	1.99	0.00112
2232	FDXR	Ferredoxin reductase	0.99	1.99	0.0224
5432	POLR2C	Polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	0.99	1.99	0.0153
633	BGN	Biglycan	0.99	1.99	0.00119
355	FAS	Fas (TNF receptor superfamily, member 6)	0.99	1.98	0.00228
5892	RAD51L3	RAD51-like 3 (S. cerevisiae)	0.99	1.98	0.00409
6890	TAP1	Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	0.99	1.98	0.0047
57146	TMEM159	Transmembrane protein 159	0.99	1.98	0.0101
81671	TMEM49	Transmembrane protein 49	0.98	1.98	0.000201
79581	GPR172A	G protein-coupled receptor 172A	0.98	1.98	0.00639
2317	FLNB	Filamin B, beta (actin binding protein 278)	0.98	1.97	0.000974
8498	RANBP3	RAN binding protein 3	0.98	1.97	0.00426
7846	TUBA1A	Tubulin, alpha 1a	0.98	1.97	0.00729
2114	ETS2	V-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	0.97	1.97	0.0365
81556	C15orf44	Chromosome 15 open reading frame 44	0.97	1.96	0.00127
2319	FLOT2	Flotillin 2	0.97	1.96	0.037
25804	LSM4	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	0.97	1.96	0.0722
6232		In multiple clusters	0.97	1.96	0.00382
3371	TNC	Tenascin C (hexabrachion)	0.97	1.96	0.0153
5525	PPP2R5A	Protein phosphatase 2, regulatory subunit B, alpha isoform	0.97	1.96	0.0036
59274	MESDC1	Mesoderm development candidate 1	0.97	1.96	0.00141
51330	TNFRSF12A	Tumor necrosis factor receptor superfamily, member 12A	0.97	1.95	0.00171
114990	VASN	Vasorin	0.97	1.95	0.000475
7162	TPBG	Trophoblast glycoprotein	0.96	1.95	0.00126
8237	USP11	Ubiquitin specific peptidase 11	0.96	1.95	0.0692
54496	PRMT7	Protein arginine methyltransferase 7	0.96	1.95	0.00213
23166	STAB1	Stabilin 1	0.96	1.95	0.00185
800	CALD1	Caldesmon 1	0.96	1.95	0.000556
5708	PSMD2	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	0.96	1.95	0.00464
8330	HIST1H2AK	Histone cluster 1, H2ak	0.96	1.94	0.0168
83989	C5orf21	Chromosome 5 open reading frame 21	0.96	1.94	0.00126
51386	EIF3EIP	Eukaryotic translation initiation factor 3, subunit E interacting protein	0.96	1.94	0.0443
286530	P2RY8	Purinergic receptor P2Y, G-protein coupled, 8	0.96	1.94	0.0022
3491	CYR61	Cysteine-rich, angiogenic inducer, 61	0.96	1.94	0.0169
1068	CETN1	Centrin, EF-hand protein, 1	0.96	1.94	0.00427
4861	NPAS1	Neuronal PAS domain protein 1	0.96	1.94	0.000452
6545	SLC7A4	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 4	0.95	1.94	0.00011
84942	WDR73	WD repeat domain 73	0.95	1.93	0.0261
7873	ARMET	Arginine-rich, mutated in early stage tumors	0.95	1.93	0.000263
10147	SFRS14	Splicing factor, arginine/serine-rich 14	0.95	1.93	0.00297
10133	OPTN	Optineurin	0.95	1.93	0.000374
54995	OXSM	3-oxoacyl-ACP synthase, mitochondrial	0.95	1.93	0.00527
8621	CDC2L5	Cell division cycle 2-like 5 (cholinesterase-related cell division controller)	0.95	1.93	0.0173
8715	NOL4	Nucleolar protein 4	0.95	1.93	0.00135
801	CALM1	Calmodulin 1 (phosphorylase kinase, delta)	0.95	1.93	0.00691
55709		In multiple clusters	0.95	1.93	0.00436
7328	UBE2H	Ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	0.95	1.93	0.000569
84866	TMEM25	Transmembrane protein 25	0.95	1.93	0.00171
2782	GNB1	Guanine nucleotide binding protein (G protein), beta polypeptide 1	0.95	1.93	0.00354
6650	SOLH	Small optic lobes homolog (Drosophila)	0.94	1.92	0.00133
1915		In multiple clusters	0.94	1.92	0.00122
10602	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	0.94	1.92	0.0012
10236	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	0.94	1.92	0.00634
4602	MYB	V-myb myeloblastosis viral oncogene homolog (avian)	0.94	1.92	0.00319
65263	PYCRL	Pyrroline-5-carboxylate reductase-like	0.94	1.92	0.0178
7265	TTC1	Tetratricopeptide repeat domain 1	0.94	1.91	0.00334
81555	YIPF5	Yip1 domain family, member 5	0.94	1.91	0.0178
5601	MAPK9	Mitogen-activated protein kinase 9	0.94	1.91	0.00212
23180	RFTN1	Raftlin, lipid raft linker 1	0.94	1.91	0.00173
57326	PBXIP1	Pre-B-cell leukemia homeobox interacting protein 1	0.93	1.91	0.0179
25937	WWTR1	WW domain containing transcription regulator 1	0.93	1.91	0.00185
5918	RARRES1	Retinoic acid receptor responder (tazarotene induced) 1	0.93	1.91	0.0181
9703	KIAA0100	KIAA0100	0.93	1.91	0.00251
1611	DAP	Death-associated protein	0.93	1.91	0.00068
788	SLC25A20	Solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	0.93	1.91	0.0114
3976	LIF	Leukemia inhibitory factor (cholinergic differentiation factor)	0.93	1.9	0.00987
6426	SFRS1	Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	0.93	1.9	0.00596
124222	PAQR4	Progestin and adipoQ receptor family member IV	0.93	1.9	0.000164
1267	CNP	2,3-cyclic nucleotide 3 phosphodiesterase	0.92	1.9	0.00147
56904	SH3GLB2	SH3-domain GRB2-like endophilin B2	0.92	1.9	0.00167
10383	TUBB2C	Tubulin, beta 2C	0.92	1.89	0.0161
11285	B4GALT7	Xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)	0.92	1.89	0.00178
140465	MYL6B	Myosin, light chain 6B, alkali, smooth muscle and non-muscle	0.92	1.89	0.000287
6626	SNRPA	Small nuclear ribonucleoprotein polypeptide A	0.92	1.89	0.0017
6139		In multiple clusters	0.92	1.89	0.0187
7043	TGFB3	Transforming growth factor, beta 3	0.92	1.89	0.015
11335	CBX3	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	0.92	1.89	0.000236
2921	CXCL3	Chemokine (C-X-C motif) ligand 3	0.92	1.89	0.00526
55691		In multiple clusters	0.91	1.88	0.00249
64788	LMF1	Lipase maturation factor 1	0.91	1.88	0.000125
5074	PAWR	PRKC, apoptosis, WT1, regulator	0.91	1.88	0.00101
124402	FAM100A	Family with sequence similarity 100, member A	0.91	1.88	0.000333
4082		In multiple clusters	0.91	1.88	0.0148
7249	TSC2	Tuberous sclerosis 2	0.91	1.88	0.0234
3831	KLC1	Kinesin light chain 1	0.9	1.87	0.00156
81037	CLPTM1L	CLPTM1-like	0.9	1.87	0.000336
84516	DCTN5	Dynactin 5 (p25)	0.9	1.87	0.0196
7048	TGFBR2	Transforming growth factor, beta receptor II (70/80kDa)	0.9	1.87	0.00605
9855		In multiple clusters	0.9	1.86	0.000382
5660	PSAP	Prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	0.9	1.86	0.00213
2767		In multiple clusters	0.9	1.86	0.00014
10432	RBM14	RNA binding motif protein 14	0.89	1.86	0.00264
972	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	0.89	1.86	0.0374
9255	SCYE1	Small inducible cytokine subfamily E, member 1 (endothelial monocyte-activating)	0.89	1.86	0.000181
55041		In multiple clusters	0.89	1.86	0.02
10367	CBARA1	Calcium binding atopy-related autoantigen 1	0.89	1.86	0.00198
54332	GDAP1	Ganglioside-induced differentiation-associated protein 1	0.89	1.86	0.069
84966	IGSF21	Immunoglobin superfamily, member 21	0.89	1.85	0.0201
29956	LASS2	LAG1 homolog, ceramide synthase 2	0.89	1.85	0.00216
54965	PIGX	Phosphatidylinositol glycan anchor biosynthesis, class X	0.89	1.85	0.00176
6046	BRD2	Bromodomain containing 2	0.89	1.85	0.00343
79571	GCC1	GRIP and coiled-coil domain containing 1	0.89	1.85	0.0203
6142	RPL18A	Ribosomal protein L18a	0.89	1.85	0.0218
7280	TUBB2A	Tubulin, beta 2A	0.88	1.85	0.000401
865	CBFB	Core-binding factor, beta subunit	0.88	1.85	0.000149
6520	SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	0.88	1.84	0.000485
4147	MATN2	Matrilin 2	0.88	1.84	0.00103
123096	SLC25A29	Solute carrier family 25, member 29	0.88	1.84	0.00041
1687	DFNA5	Deafness, autosomal dominant 5	0.88	1.84	0.0278
207	AKT1	V-akt murine thymoma viral oncogene homolog 1	0.88	1.84	0.00181
27020	NPTN	Neuroplastin	0.88	1.84	0.000634
125950	RAVER1	Ribonucleoprotein, PTB-binding 1	0.88	1.84	0.0208
57827	C6orf47	Chromosome 6 open reading frame 47	0.88	1.84	0.00239
56655	POLE4	Polymerase (DNA-directed), epsilon 4 (p12 subunit)	0.88	1.84	0.00612
9056	SLC7A7	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	0.88	1.84	0.0182
55055	ZWILCH	Zwilch, kinetochore associated, homolog (Drosophila)	0.88	1.83	0.003
79596	RNF219	Ring finger protein 219	0.87	1.83	0.000996
10493	VAT1	Vesicle amine transport protein 1 homolog (T. californica)	0.87	1.83	0.00465
4478	MSN	Moesin	0.87	1.83	0.00484
2580	GAK	Cyclin G associated kinase	0.87	1.83	0.000189
6184	RPN1	Ribophorin I	0.87	1.83	0.0117
9397	NMT2	N-myristoyltransferase 2	0.87	1.83	0.00321
29803	REPIN1	Replication initiator 1	0.87	1.83	0.00776
7536	SF1	Splicing factor 1	0.87	1.83	0.000178
89792	GAL3ST3	Galactose-3-O-sulfotransferase 3	0.87	1.83	0.0178
81631	MAP1LC3B	Microtubule-associated protein 1 light chain 3 beta	0.87	1.82	0.00321
7130	TNFAIP6	Tumor necrosis factor, alpha-induced protein 6	0.87	1.82	0.0157
5585	PKN1	Protein kinase N1	0.87	1.82	0.00209
55691		In multiple clusters	0.87	1.82	0.0018
6855	SYP	Synaptophysin	0.87	1.82	0.0215
414236	C10orf55	Chromosome 10 open reading frame 55	0.87	1.82	0.0215
4232	MEST	Mesoderm specific transcript homolog (mouse)	0.86	1.82	0.000274
9879	DDX46	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46	0.86	1.82	0.00256
7126	TNFAIP1	Tumor necrosis factor, alpha-induced protein 1 (endothelial)	0.86	1.82	0.0585
6303	SAT1	Spermidine/spermine N1-acetyltransferase 1	0.86	1.82	0.0217
25988	MIZF	MBD2-interacting zinc finger	0.86	1.82	0.0028
60313	GPBP1L1	GC-rich promoter binding protein 1-like 1	0.86	1.82	0.000765
64332	NFKBIZ	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	0.86	1.82	0.000439
2923	PDIA3	Protein disulfide isomerase family A, member 3	0.86	1.82	0.00814
84287	ZDHHC16	Zinc finger, DHHC-type containing 16	0.86	1.81	0.00673
6184	RPN1	Ribophorin I	0.86	1.81	0.00942
3777	KCNK3	Potassium channel, subfamily K, member 3	0.86	1.81	0.00219
56265	CPXM1	Carboxypeptidase X (M14 family), member 1	0.86	1.81	0.00684
9887	SMG7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	0.86	1.81	0.000903
292	SLC25A5	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	0.86	1.81	0.00706
87	ACTN1	Actinin, alpha 1	0.86	1.81	0.0102
5790	PTPRCAP	Protein tyrosine phosphatase, receptor type, C-associated protein	0.86	1.81	0.00266
10471	PFDN6	Prefoldin subunit 6	0.86	1.81	0.0036
7168	TPM1	Tropomyosin 1 (alpha)	0.85	1.81	0.00246
10160	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	0.85	1.81	0.00669
5798	PTPRN	Protein tyrosine phosphatase, receptor type, N	0.85	1.81	0.00626
9367	RAB9A	RAB9A, member RAS oncogene family	0.85	1.8	0.00557
4897	NRCAM	Neuronal cell adhesion molecule	0.85	1.8	0.0203
10076	PTPRU	Protein tyrosine phosphatase, receptor type, U	0.85	1.8	0.00117
26173	INTS1	Integrator complex subunit 1	0.85	1.8	0.0228
6747	SSR3	Signal sequence receptor, gamma (translocon-associated protein gamma)	0.85	1.8	0.00531
6427		In multiple clusters	0.85	1.8	0.00543
23761	PISD	Phosphatidylserine decarboxylase	0.84	1.8	0.00116
1981	EIF4G1	Eukaryotic translation initiation factor 4 gamma, 1	0.84	1.8	0.0017
