Metaprobe	Entrez Gene ID	Gene Symbol	Gene Name	Chromosome	Cytoband	SAM Score	Numerator(r)	Denominator(s+s0)	Fold Change	Fold Change1	expression	DEG Jones-Lenburg	FC Jones-Lenburg
714_at	714	C1QC	complement component 1, q subcomponent, C chain	1	1p36.11	4.88	1.82	0.37	4.19	4.19	up	N/A	N/A
1188_at	1188	CLCNKB	chloride channel Kb	1	1p36	-5.13	-1.8	0.35	0.42	-2.38	down	yes	-4.56
719_at	719	C3AR1	complement component 3a receptor 1	12	12p13.31	5.78	1.65	0.28	3.12	3.12	up	N/A	N/A
753_at	753	C18orf1	chromosome 18 open reading frame 1	18	18p11.2	5.13	1.31	0.26	2.77	2.77	up	N/A	N/A
754_at	754	PTTG1IP	pituitary tumor-transforming 1 interacting protein	21	21q22.3	4.5	0.61	0.14	1.53	1.53	up	N/A	N/A
8659_at	8659	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	1	1p36	-9.99	-2.32	0.23	0.19	-5.13	down	yes	-4.65
813_at	813	CALU	calumenin	7	7q32	8.14	0.88	0.11	1.86	1.86	up	N/A	N/A
819_at	819	CAMLG	calcium modulating ligand	5	5q23	5.53	0.83	0.15	1.82	1.82	up	N/A	N/A
821_at	821	CANX	calnexin	5	5q35	6.69	0.84	0.13	1.81	1.81	up	N/A	N/A
829_at	829	CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1	1	1p13.2	7.65	0.8	0.11	1.76	1.76	up	N/A	N/A
831_at	831	CAST	calpastatin	5	5q15	6.46	0.89	0.14	1.89	1.89	up	N/A	N/A
834_at	834	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)	11	11q23	5.82	2.12	0.36	5.16	5.16	up	N/A	N/A
836_at	836	CASP3	caspase 3, apoptosis-related cysteine peptidase	4	4q34	6.19	0.88	0.14	1.83	1.83	up	N/A	N/A
837_at	837	CASP4	caspase 4, apoptosis-related cysteine peptidase	11	11q22.2-q22.3	5.1	1.24	0.24	2.48	2.48	up	N/A	N/A
712_at	712	C1QA	complement component 1, q subcomponent, A chain	1	1p36.12	6.98	2.3	0.33	5.4	5.4	up	yes	4.99
713_at	713	C1QB	complement component 1, q subcomponent, B chain	1	1p36.12	6.43	2.9	0.45	8.23	8.23	up	yes	11.64
6273_at	6273	S100A2	S100 calcium binding protein A2	1	1q21	-9.05	-4.25	0.47	0.09	-10.8	down	yes	-4.47
865_at	865	CBFB	core-binding factor, beta subunit	16	16q22.1	7.24	0.82	0.11	1.77	1.77	up	N/A	N/A
867_at	867	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	11	11q23.3	5.24	0.47	0.09	1.39	1.39	up	N/A	N/A
871_at	871	SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	11	11q13.5	4.92	1.18	0.24	2.45	2.45	up	N/A	N/A
891_at	891	CCNB1	cyclin B1	5	5q12	5.17	1.43	0.28	3.2	3.2	up	N/A	N/A
894_at	894	CCND2	cyclin D2	12	12p13	4.14	0.83	0.2	1.84	1.84	up	N/A	N/A
912_at	912	CD1D	CD1d molecule	1	1q22-q23	7.72	2.06	0.27	4.59	4.59	up	N/A	N/A
914_at	914	CD2	CD2 molecule	1	1p13	5.11	1.91	0.37	4.88	4.88	up	N/A	N/A
915_at	915	CD3D	CD3d molecule, delta (CD3-TCR complex)	11	11q23	4.77	1.77	0.37	4.45	4.45	up	N/A	N/A
919_at	919	CD247	CD247 molecule	1	1q22-q23	5.82	1.14	0.2	2.32	2.32	up	N/A	N/A
925_at	925	CD8A	CD8a molecule	2	2p12	4.16	1.74	0.42	4.98	4.98	up	N/A	N/A
929_at	929	CD14	CD14 molecule	5	5q22-q32|5q31.1	4.17	1.35	0.32	2.69	2.69	up	N/A	N/A
934_at	934	CD24	CD24 molecule	6	6q21	5.56	0.94	0.17	1.91	1.91	up	N/A	N/A
942_at	942	CD86	CD86 molecule	3	3q21	7.21	1.59	0.22	3.12	3.12	up	N/A	N/A
8490_at	8490	RGS5	regulator of G-protein signalling 5	1	1q23.1	8.36	2.66	0.32	6.56	6.56	up	yes	4.17
56833_at	56833	SLAMF8	SLAM family member 8	1	1q23.2	4.89	1.31	0.27	2.87	2.87	up	yes	5.14
950_at	950	SCARB2	scavenger receptor class B, member 2	4	4q21.1	6.76	0.65	0.1	1.57	1.57	up	N/A	N/A
7827_at	7827	NPHS2	nephrosis 2, idiopathic, steroid-resistant (podocin)	1	1q25-q31	-11.67	-5.73	0.49	0.01	-74.2	down	yes	-3.84
958_at	958	CD40	CD40 molecule, TNF receptor superfamily member 5	20	20q12-q13.2	5.49	1.07	0.2	2.26	2.26	up	N/A	N/A
960_at	960	CD44	CD44 molecule (Indian blood group)	11	11p13	4.51	0.82	0.18	1.86	1.86	up	N/A	N/A
962_at	962	CD48	CD48 molecule	1	1q21.3-q22	6.13	1.92	0.31	4.32	4.32	up	N/A	N/A
5996_at	5996	RGS1	regulator of G-protein signalling 1	1	1q31	6.73	2.83	0.42	7.02	7.02	up	yes	6.87
968_at	968	CD68	CD68 molecule	17	17p13	4.16	0.87	0.21	1.94	1.94	up	N/A	N/A
975_at	975	CD81	CD81 molecule	11	11p15.5	4.46	0.81	0.18	1.76	1.76	up	N/A	N/A
976_at	976	CD97	CD97 molecule	19	19p13	4.98	1.46	0.29	2.77	2.77	up	N/A	N/A
989_at	989	SEPT7	septin 7	7	7p14.3-p14.1	7.07	1.11	0.16	2.14	2.14	up	N/A	N/A
990_at	990	CDC6	cell division cycle 6 homolog (S. cerevisiae)	17	17q21.3	4.56	0.33	0.07	1.26	1.26	up	N/A	N/A
994_at	994	CDC25B	cell division cycle 25 homolog B (S. pombe)	20	20p13	4.14	0.58	0.14	1.52	1.52	up	N/A	N/A
996_at	996	CDC27	cell division cycle 27 homolog (S. cerevisiae)	17	17q12-q23.2	4.31	0.45	0.11	1.38	1.38	up	N/A	N/A
1003_at	1003	CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium)	16	16q22.1	4.77	1.66	0.35	3.68	3.68	up	N/A	N/A
1004_at	1004	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	5	5p15.1-p14	4.76	1.48	0.31	3.07	3.07	up	N/A	N/A
1012_at	1012	CDH13	cadherin 13, H-cadherin (heart)	16	16q24.2-q24.3	9.09	3.38	0.37	11.1	11.1	up	N/A	N/A
1030_at	1030	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	9	9p21	4.97	0.47	0.09	1.39	1.39	up	N/A	N/A
1031_at	1031	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	1	1p32	6.06	0.93	0.15	1.94	1.94	up	N/A	N/A
1063_at	1063	CENPF	centromere protein F, 350/400ka (mitosin)	1	1q32-q41	5.29	0.91	0.17	1.97	1.97	up	N/A	N/A
1070_at	1070	CETN3	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	5	5q14.3	5.92	0.87	0.15	1.84	1.84	up	N/A	N/A
1111_at	1111	CHEK1	CHK1 checkpoint homolog (S. pombe)	11	11q24-q24	4.93	0.95	0.19	2.07	2.07	up	N/A	N/A
1112_at	1112	CHES1	checkpoint suppressor 1	14	14q31.3	4.5	0.82	0.18	1.8	1.8	up	N/A	N/A
1122_at	1122	CHML	choroideremia-like (Rab escort protein 2)	1	1q42-qter	5.74	1.23	0.21	2.49	2.49	up	N/A	N/A
1130_at	1130	LYST	lysosomal trafficking regulator	1	1q42.1-q42.2	5.17	0.62	0.12	1.56	1.56	up	N/A	N/A
1191_at	1191	CLU	clusterin	8	8p21-p12	5.78	1.7	0.29	3.47	3.47	up	N/A	N/A
5788_at	5788	PTPRC	protein tyrosine phosphatase, receptor type, C	1	1q31-q32	6.89	1.73	0.25	3.54	3.54	up	yes	3.43
1198_at	1198	CLK3	CDC-like kinase 3	15	15q24	4.16	0.44	0.11	1.38	1.38	up	N/A	N/A
2104_at	2104	ESRRG	estrogen-related receptor gamma	1	1q41	-7.06	-3.03	0.43	0.17	-5.73	down	yes	-8.86
1278_at	1278	COL1A2	collagen, type I, alpha 2	7	7q22.1	5.12	1.95	0.38	4.77	4.77	up	N/A	N/A
1281_at	1281	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	2	2q31	5.08	1.94	0.38	4.76	4.76	up	N/A	N/A
1282_at	1282	COL4A1	collagen, type IV, alpha 1	13	13q34	7.56	2.1	0.28	4.65	4.65	up	N/A	N/A
1284_at	1284	COL4A2	collagen, type IV, alpha 2	13	13q34	4.32	1.69	0.39	3.59	3.59	up	N/A	N/A
2168_at	2168	FABP1	fatty acid binding protein 1, liver	2	2p11	-13.64	-4.9	0.36	0.03	-33.56	down	yes	-5.55
1293_at	1293	COL6A3	collagen, type VI, alpha 3	2	2q37	4.4	2.1	0.48	6	6	up	N/A	N/A
1326_at	1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	10	10p11.23	4.26	1.09	0.25	2.16	2.16	up	N/A	N/A
1356_at	1356	CP	ceruloplasmin (ferroxidase)	3	3q23-q25	6.76	3.62	0.54	18.38	18.38	up	N/A	N/A
1359_at	1359	CPA3	carboxypeptidase A3 (mast cell)	3	3q21-q25	4.52	2.06	0.46	5.4	5.4	up	N/A	N/A
525_at	525	ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1 (Renal tubular acidosis with deafness)	2	2p13.1	-4.89	-0.41	0.08	0.76	-1.32	down	yes	-4.38
9938_at	9938	ARHGAP25	Rho GTPase activating protein 25	2	2p14	5.9	1.24	0.21	2.5	2.5	up	yes	2.39
81553_at	81553	FAM49A	family with sequence similarity 49, member A	2	2p24.3	6.27	1.29	0.21	2.57	2.57	up	yes	4.02
1452_at	1452	CSNK1A1	casein kinase 1, alpha 1	5	5q32	5.32	0.62	0.12	1.56	1.56	up	N/A	N/A
1454_at	1454	CSNK1E	casein kinase 1, epsilon	22	22q13.1	5.78	1.02	0.18	2.11	2.11	up	N/A	N/A
1290_at	1290	COL5A2	collagen, type V, alpha 2	2	2q14-q32	6.64	2.17	0.33	5.44	5.44	up	yes	3.72
1464_at	1464	CSPG4	chondroitin sulfate proteoglycan 4	15	15q24.2	4.38	0.92	0.21	1.99	1.99	up	N/A	N/A
7852_at	7852	CXCR4	chemokine (C-X-C motif) receptor 4	2	2q21	8.57	2.93	0.34	7.71	7.71	up	yes	11.27
1520_at	1520	CTSS	cathepsin S	1	1q21	7.58	2.32	0.31	5.57	5.57	up	N/A	N/A
1536_at	1536	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	X	Xp21.1	6.65	1.63	0.25	3.26	3.26	up	N/A	N/A
1540_at	1540	CYLD	cylindromatosis (turban tumor syndrome)	16	16q12.1	8.08	0.96	0.12	1.96	1.96	up	N/A	N/A
1573_at	1573	CYP2J2	cytochrome P450, family 2, subfamily J, polypeptide 2	1	1p31.3-p31.2	5.81	3.37	0.58	14.61	14.61	up	N/A	N/A
1615_at	1615	DARS	aspartyl-tRNA synthetase	2	2q21.3	6.82	1.34	0.2	2.63	2.63	up	N/A	N/A
1633_at	1633	DCK	deoxycytidine kinase	4	4q13.3-q21.1	9.48	1.81	0.19	3.49	3.49	up	N/A	N/A
1643_at	1643	DDB2	damage-specific DNA binding protein 2, 48kDa	11	11p12-p11	8.56	2.16	0.25	4.89	4.89	up	N/A	N/A
1675_at	1675	CFD	complement factor D (adipsin)	19	19p13.3	4.94	1.79	0.36	3.44	3.44	up	N/A	N/A
1730_at	1730	DIAPH2	diaphanous homolog 2 (Drosophila)	X	Xq22	7.38	1.69	0.23	3.29	3.29	up	N/A	N/A
1786_at	1786	DNMT1	DNA (cytosine-5-)-methyltransferase 1	19	19p13.2	6.98	0.98	0.14	1.99	1.99	up	N/A	N/A
2888_at	2888	GRB14	growth factor receptor-bound protein 14	2	2q22-q24	-6.16	-2.61	0.42	0.29	-3.46	down	yes	-2.59
1824_at	1824	DSC2	desmocollin 2	18	18q12.1	5.54	0.83	0.15	1.83	1.83	up	N/A	N/A
1846_at	1846	DUSP4	dual specificity phosphatase 4	8	8p12-p11	5.3	1.39	0.26	2.99	2.99	up	N/A	N/A
1880_at	1880	EBI2	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)	13	13q32.3	4.8	1.91	0.4	4.3	4.3	up	N/A	N/A
1890_at	1890	ECGF1	endothelial cell growth factor 1 (platelet-derived)	22	22q13|22q13.33	6.16	1.85	0.3	4.13	4.13	up	N/A	N/A
1901_at	1901	EDG1	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	1	1p21	4.25	1.57	0.37	3.44	3.44	up	N/A	N/A
1906_at	1906	EDN1	endothelin 1	6	6p24.1	5.06	2.18	0.43	5.97	5.97	up	N/A	N/A
1909_at	1909	EDNRA	endothelin receptor type A	4	4q31.23	5.34	1.79	0.34	3.99	3.99	up	N/A	N/A
1936_at	1936	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	8	8q24.3	4.43	0.72	0.16	1.71	1.71	up	N/A	N/A
1942_at	1942	EFNA1	ephrin-A1	1	1q21-q22	4.83	0.88	0.18	1.91	1.91	up	N/A	N/A
1992_at	1992	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	6	6p25	4.24	1.07	0.25	1.93	1.93	up	N/A	N/A
1998_at	1998	ELF2	E74-like factor 2 (ets domain transcription factor)	4	4q28	4.83	0.62	0.13	1.55	1.55	up	N/A	N/A
2023_at	2023	ENO1	enolase 1, (alpha)	1	1p36.3-p36.2	4.84	1.29	0.27	2.76	2.76	up	N/A	N/A
7130_at	7130	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	2	2q23.3	11.3	6.05	0.54	89.84	89.84	up	yes	13.08
2037_at	2037	EPB41L2	erythrocyte membrane protein band 4.1-like 2	6	6q23	4.48	1.04	0.23	2.18	2.18	up	N/A	N/A
2042_at	2042	EPHA3	EPH receptor A3	3	3p11.2	5.01	0.45	0.09	1.38	1.38	up	N/A	N/A
2058_at	2058	EPRS	glutamyl-prolyl-tRNA synthetase	1	1q41-q42	5.21	0.49	0.09	1.4	1.4	up	N/A	N/A
2091_at	2091	FBL	fibrillarin	19	19q13.1	6.73	1.09	0.16	2.19	2.19	up	N/A	N/A
2113_at	2113	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	11	11q23.3	5.08	1.14	0.22	2.31	2.31	up	N/A	N/A
2123_at	2123	EVI2A	ecotropic viral integration site 2A	17	17q11.2	7.63	2.52	0.33	6.06	6.06	up	N/A	N/A
2124_at	2124	EVI2B	ecotropic viral integration site 2B	17	17q11.2	6.24	2.51	0.4	5.98	5.98	up	N/A	N/A
2146_at	2146	EZH2	enhancer of zeste homolog 2 (Drosophila)	7	7q35-q36	10.79	2.19	0.2	4.73	4.73	up	N/A	N/A
2157_at	2157	F8	coagulation factor VIII, procoagulant component (hemophilia A)	X	Xq28	5.01	0.75	0.15	1.69	1.69	up	N/A	N/A
2172_at	2172	FABP6	fatty acid binding protein 6, ileal (gastrotropin)	5	5q33.3-q34	5.92	2.36	0.4	6.91	6.91	up	N/A	N/A
2173_at	2173	FABP7	fatty acid binding protein 7, brain	6	6q22-q23	5.35	4.73	0.88	82.83	82.83	up	N/A	N/A
2189_at	2189	FANCG	Fanconi anemia, complementation group G	9	9p13	4.4	0.68	0.15	1.62	1.62	up	N/A	N/A
2200_at	2200	FBN1	fibrillin 1	15	15q21.1	4.17	1.27	0.3	2.91	2.91	up	N/A	N/A
2207_at	2207	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	1	1q23	6.2	1.74	0.28	3.73	3.73	up	N/A	N/A
2213_at	2213	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	1	1q23	5.18	1.55	0.3	3.37	3.37	up	N/A	N/A
2237_at	2237	FEN1	flap structure-specific endonuclease 1	11	11q12	4.96	0.75	0.15	1.75	1.75	up	N/A	N/A
2268_at	2268	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	1	1p36.2-p36.1	4.18	0.95	0.23	1.95	1.95	up	N/A	N/A
5334_at	5334	PLCL1	phospholipase C-like 1	2	2q33	-7.07	-2.38	0.34	0.23	-4.37	down	yes	-3.59
2335_at	2335	FN1	fibronectin 1	2	2q34	7.87	1.8	0.23	3.73	3.73	up	yes	8.1
2339_at	2339	FNTA	farnesyltransferase, CAAX box, alpha	8	8p11	4.72	0.47	0.1	1.39	1.39	up	N/A	N/A
2359_at	2359	FPRL2	formyl peptide receptor-like 2	19	19q13.3-q13.4	7.64	1.62	0.21	3.25	3.25	up	N/A	N/A
2494_at	2494	NR5A2	nuclear receptor subfamily 5, group A, member 2	1	1q32.1	5.03	0.62	0.12	1.57	1.57	up	N/A	N/A
2533_at	2533	FYB	FYN binding protein (FYB-120/130)	5	5p13.1	7.08	1.17	0.17	2.34	2.34	up	N/A	N/A
2551_at	2551	GABPA	GA binding protein transcription factor, alpha subunit 60kDa	21	21q21-q22.1|21q21.3	4.34	0.59	0.14	1.52	1.52	up	N/A	N/A
2553_at	2553	GABPB2	GA binding protein transcription factor, beta subunit 2	15	15q21.2	4.83	0.6	0.12	1.53	1.53	up	N/A	N/A
2589_at	2589	GALNT1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	18	18q12.1	5.01	0.86	0.17	1.89	1.89	up	N/A	N/A
2597_at	2597	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	12	12p13	5.25	0.55	0.1	1.46	1.46	up	N/A	N/A
80303_at	80303	EFHD1	EF-hand domain family, member D1	2	2q37.1	-10.5	-2.59	0.25	0.18	-5.46	down	yes	-3.1
2673_at	2673	GFPT1	glutamine-fructose-6-phosphate transaminase 1	2	2p13	4.51	0.56	0.12	1.48	1.48	up	N/A	N/A
10752_at	10752	CHL1	cell adhesion molecule with homology to L1CAM (close homolog of L1)	3	3p26.1	-11.15	-3.69	0.33	0.11	-9.27	down	yes	-2.65
55076_at	55076	TMEM45A	transmembrane protein 45A	3	3q12.2	12.16	4.24	0.35	22.66	22.66	up	yes	7.29
2752_at	2752	GLUL	glutamate-ammonia ligase (glutamine synthetase)	1	1q31	5.4	1.03	0.19	2.15	2.15	up	N/A	N/A
1475_at	1475	CSTA	cystatin A (stefin A)	3	3q21	7.45	2.32	0.31	5.26	5.26	up	yes	8.21
2769_at	2769	GNA15	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	19	19p13.3	4.44	0.65	0.15	1.59	1.59	up	N/A	N/A
2773_at	2773	GNAI3	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	1	1p13	5.04	0.61	0.12	1.56	1.56	up	N/A	N/A
2790_at	2790	GNG10	guanine nucleotide binding protein (G protein), gamma 10	9	9q31.3	5.01	0.49	0.1	1.4	1.4	up	N/A	N/A
2802_at	2802	GOLGA3	golgi autoantigen, golgin subfamily a, 3	12	12q24.33	4.92	0.7	0.14	1.64	1.64	up	N/A	N/A
2828_at	2828	GPR4	G protein-coupled receptor 4	19	19q13.3	4.6	0.77	0.17	1.77	1.77	up	N/A	N/A
2857_at	2857	GPR34	G protein-coupled receptor 34	X	Xp11.4-p11.3	5.85	2.14	0.37	5.01	5.01	up	N/A	N/A
2869_at	2869	GRK5	G protein-coupled receptor kinase 5	10	10q24-qter	5.58	0.91	0.16	1.96	1.96	up	N/A	N/A
2908_at	2908	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	5	5q31.3	10.24	1.26	0.12	2.4	2.4	up	N/A	N/A
2965_at	2965	GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	11	11p15.1-p14	4.81	0.41	0.09	1.34	1.34	up	N/A	N/A
2982_at	2982	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	4	4q31.3-q33|4q31.1-q31.2	5.58	1.57	0.28	3.24	3.24	up	N/A	N/A
2983_at	2983	GUCY1B3	guanylate cyclase 1, soluble, beta 3	4	4q31.3-q33	4.66	1.09	0.23	2.31	2.31	up	N/A	N/A
2999_at	2999	GZMH	granzyme H (cathepsin G-like 2, protein h-CCPX)	14	14q11.2	5.26	1.39	0.26	3.01	3.01	up	N/A	N/A
