Gene symbol	Gene Name	Accession Number	I/E	p-val	L/E	p-val
Ivns1abp	influenza virus NS1A binding protein+	NM_001039511	-2.6	0.0134	-2.1	0.0233
Kalrn	kalirin, RhoGEF kinase	XM_001481029	-1.7	0.0267	-2.4	0.0039
Kras	Kirsten rat sarcoma viral oncogene homolog	NM_021284	-1.1	0.1181	-2.8	0.0008
Lmo7+	LIM domain only 7	NM_201529	-3.7	0.0008	-2.7	0.0104
Map2k1	mitogen activated protein kinase kinase 1	NM_008927	1.4	0.0781	2.2	0.0236
Map2k5	mitogen activated protein kinase kinase 5	NM_011840	1.3	0.1457	2	0.0045
Map3k1	mitogen activated protein kinase kinase kinase 1	NM_011945	1.1	0.547	2.1	0.0028
Marcks	Myristoylated alanine-rich kinaseC substrat	NM_008538	-1.6	0.0059	-2.1	0.0059
Msn	Moesin	NM_010833	-1.8	0.0012	-2.4	0.0007
Mtss1	metastasis suppressor 1	NM_144800	1.7	0.2052	-2.2	0.0114
Myh10	myosin, heavy polypeptide 10, non-muscle	NM_175260	-2.4	0.077	-4	0.0264
Myh9	myosin, heavy polypeptide 9, non-muscle	NM_022410	-2.3	0.0567	-2.3	0.0558
Mylip	myosin regulatory light chain interacting protein	NM_153789	-1.1	0.5508	-2.2	0.0042
Myo18a	myosin XVIIIa	NM_011586	1.2	0.076	2.9	0.0281
Myo1c	myosin IC	NM_001080775	-2.6	0.0165	-3.2	0.0135
Myo1d	myosin ID	NM_177390	1.1	0.4898	2.1	0.002
Palld	palladin, cytoskeletal associated protein	NM_001081390	-1.9	0.0531	-3.1	0.0145
Pdlim1	PDZ and LIM domain 1 (elfin)	NM_016861	1	0.8789	-3	0.0012
Pdlim5	PDZ and LIM domain 5	NM_019808	-2.4	0.0045	-3	0.0025
Pdlim7	PDZ and LIM domain 7	NM_001114088	-2.6	0.0168	-4.1	0.0051
Plcb1	phospholipase C, beta 1	NM_019677	1.5	0.293	4.4	0.0015
Plcb4	phospholipase C, beta 4	NM_013829	1.7	0.111	3.2	0.0165
Plec1	plectin 1	NM_011117	1.7	0.2388	3.2	0.0111
Pls3	plastin 3 (T-isoform)	NM_145629	-2	0.0016	-3.1	0.0002
Ptpn13	tyrosine phosphatase, non-receptor type 13	NM_011204	-1.9	0.0118	2.8	0.0004
Rai14	retinoic acid induced 14	NM_030690	2	0.0999	2.3	0.0066
Rassf5	Ras association (RalGDS/AF-6) domain family5+	NM_018750	-20	0.0177	-2.1	0.0083
Rhoj	ras homolog gene family, member J	NM_023275	-2.7	0.0256	-7.5	0.0077
Rhou	ras homolog gene family, member U	NM_133955	1.2	0.3921	2.3	0.0257
Rps6ka1	ribosomal protein S6 kinase polypeptide 1	NM_009097	3.8	0.0006	2.8	0.0076
Sdc1	syndecan 1	NM_011519	2.1	0.1855	2.5	0.0391
41528	septin 11	NM_001009818	-1.5	0.0405	-2.2	0.0181
Sgce	sarcoglycan, epsilon	NM_001130188	-1.2	0.7446	-41.8	0.0016
Sh3kbp1	SH3-domain kinase binding protein 1	NM_001135727	-1.6	0.0591	-6.9	0.0007
Sorbs1	sorbin and SH3 domain containing 1+	NM_009166	-28.3	0.0496	-15.4	0.0545
Spire1	spire homolog 1 (Drosophila)	NM_176832	-1.9	0.027	-2.1	0.0189
Spry2	sprouty homolog 2 (Drosophila)	NM_011897	-1.2	0.5382	2.7	0.0159
Syne2	synaptic nuclear envelope 2	NM_001005510	-1.5	0.1919	2.9	0.0289
Tpm2	Tropomyosin 2, beta	NM_009416	-1.9	0.2948	-42.1	0.0191
Tpm3	Tropomyosin 3, gamma	NM_022314	-1.4	0.1108	-2.3	0.0069
Tpm4	tropomyosin 4	NM_001001491	-1.4	0.1012	-2.4	0.0165
Wasl	Wiskott-Aldrich syndrome-like (human)	NM_028459	1	0.7863	2.1	0.0008
Wdr1	WD repeat domain 1	NM_011715	-1.1	0.6296	-2.3	0.0126
