Category	Probeset	Gene Symbol	p-value
Regulation of Celle Cycle	201279_s_at	DAB2	1.12E-05
Regulation of Celle Cycle	235287_at	CDK6	2.08E-05
Regulation of Celle Cycle	207143_at	CDK6	2.68E-05
Regulation of Celle Cycle	212832_s_at	CKAP5	3.60E-05
Regulation of Celle Cycle	202431_s_at	MYC	5.72E-05
Regulation of Celle Cycle	209748_at	SPAST	6.07E-05
Regulation of Celle Cycle	209172_s_at	CENPF	6.36E-05
Regulation of Celle Cycle	204461_x_at	RAD1	8.81E-05
Regulation of Celle Cycle	225554_s_at	ANAPC7	0.000111092
Regulation of Celle Cycle	210216_x_at	RAD1	0.000119109
Regulation of Celle Cycle	209662_at	CETN3	0.000150497
Regulation of Celle Cycle	202453_s_at	GTF2H1	0.000161643
Regulation of Celle Cycle	225684_at	FAM33A	0.0004588
Regulation of Celle Cycle	202451_at	GTF2H1	0.000471716
Regulation of Celle Cycle	200953_s_at	CCND2	0.00047788
Regulation of Celle Cycle	213253_at	SMC2	0.000593948
Regulation of Celle Cycle	203565_s_at	MNAT1	0.000772715
Regulation of Celle Cycle	203625_x_at	SKP2	0.000809259
Regulation of Celle Cycle	230165_at	SGOL2	0.00115704
Regulation of Celle Cycle	228729_at	CCNB1	0.00155694
Regulation of Celle Cycle	224851_at	CDK6	0.00163599
Regulation of Celle Cycle	203685_at	BCL2	0.0017056
Regulation of Celle Cycle	217850_at	GNL3	0.00175398
Regulation of Celle Cycle	243000_at	CDK6	0.00184703
Regulation of Celle Cycle	212789_at	NCAPD3	0.00187814
Regulation of Celle Cycle	201746_at	TP53	0.00228682
Regulation of Celle Cycle	216026_s_at	POLE	0.00259119
Regulation of Celle Cycle	230192_at	TRIM13	0.0029924
Regulation of Celle Cycle	200951_s_at	CCND2	0.00309189
Regulation of Celle Cycle	201307_at	SEPT11	0.00457606
Regulation of Celle Cycle	207828_s_at	CENPF	0.00466264
Regulation of Celle Cycle	223330_s_at	SUGT1	0.00472398
Regulation of Celle Cycle	202762_at	ROCK2	0.00486727
Regulation of Celle Cycle	218542_at	CEP55	0.00525263
Regulation of Celle Cycle	201424_s_at	CUL4A	0.00546608
Regulation of Celle Cycle	205541_s_at	GSPT2	0.00612068
Regulation of Celle Cycle	228597_at	C21orf45	0.00806628
Regulation of Celle Cycle	207243_s_at	CALM2	0.00890691
Regulation of Celle Cycle	218264_at	BCCIP	0.00933416
Regulation of Celle Cycle	205733_at	BLM	0.00944559
Regulation of Celle Cycle	222685_at	HAUS6	0.00980944
Nucleotide Metabolism	204646_at	DPYD	6.03E-06
Nucleotide Metabolism	202613_at	CTPS	4.67E-05
Nucleotide Metabolism	209434_s_at	PPAT	5.88E-05
Nucleotide Metabolism	232103_at	BPNT1	6.91E-05
Nucleotide Metabolism	212379_at	GART	9.40E-05
Nucleotide Metabolism	202706_s_at	UMPS	0.0001461
Nucleotide Metabolism	225743_at	RPUSD3	0.000246903
Nucleotide Metabolism	218984_at	PUS7	0.000469183
Nucleotide Metabolism	212378_at	GART	0.000654384
Nucleotide Metabolism	215165_x_at	UMPS	0.000780307
Nucleotide Metabolism	223109_at	TRUB2	0.00165297
Nucleotide Metabolism	230352_at	PRPS2	0.00279746
Nucleotide Metabolism	208967_s_at	AK2	0.00339563
Nucleotide Metabolism	201013_s_at	PAICS	0.00365321
Nucleotide Metabolism	209433_s_at	PPAT	0.00608726
Nucleotide Metabolism	226339_at	TRUB1	0.00715139
Nucleotide Metabolism	203401_at	PRPS2	0.00984098
