Pathway	Gene Symbol	Gene Name	Function
ATM Signaling	CCNB1	Cyclin B1	G2/M cell cycle regulation
ATM Signaling	CCNB2	Cyclin B2	G2/M cell cycle regulation
ATM Signaling	CDC2	Cell division cycle 2, G1 to S and G2 to M	G1/S and G2/M cell cycle regulation
ATM Signaling	CDK2	Cyclin-dependent kinase 2	G1/S cell cycle regulation
ATM Signaling	CHEK1	CHK1 checkpoint homolog (S. pombe)	G2/M cell cycle regulation
ATM Signaling	H2AFX	H2A histone family, member X	Compaction of DNA into chromatin
Mechanism of Viral Exit from Host Cells	ACTC	Actin, alpha, cardiac muscle 1	Myocardial contraction
Mechanism of Viral Exit from Host Cells	LMNB1	Lamin B1	Maintenance of functional plasticity of nucleoli
Mechanism of Viral Exit from Host Cells	LMNB2	Lamin B2	Development of nuclear envelope
Mechanism of Viral Exit from Host Cells	NEDD4	Neural precursor cell expressed, developmentally down-regulated 4	Protein sorting and viral budding
Mechanism of Viral Exit from Host Cells	PRKCA	Protein kinase C, alpha	G2/M cell cycle regulation
