Curated Gene Symbol	GO at level 3 and biological process	Genes (pool: ratio>3 and int>25% or confirmed; separated samples: ratio>2 and in most samples; Colorflip verified)	UniGene	Ratio	Gene Symbol	Gene Description
ADAMTS1	Extracellular structure organization and biogenesis	ADAMTS1: A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	Hs.8230	3.1	ADAMTS1	8
CHI3L1	Extracellular structure organization and biogenesis	CHI3L1: Chitinase 3-like 1 (cartilage glycoprotein-39)	Hs.75184	5.2	CHI3L1	7
SPON2	Extracellular structure organization and biogenesis	SPON2: Spondin 2, extracellular matrix protein	Hs.288126	4.5	SPON2	6
THBS2	Extracellular structure organization and biogenesis	THBS2: Thrombospondin 2	Hs.458354	3.6	THBS2	6
FBLN5	Extracellular structure organization and biogenesis	FBLN5: Fibulin5	Hs.11494	6.7	FBLN5	6
LAMA2	Extracellular structure organization and biogenesis	LAMA2: Laminin, alpha 2 (merosin, congenital muscular dystrophy)	Hs.75279	4.4	LAMA2	6
	Extracellular structure organization and biogenesis	PG40: Chondroitin/dermatan sulfate proteoglycan core protein		8.3	PG40	5
	Extracellular structure organization and biogenesis	Fibulin-1D	Hs.445240	2.4
	Extracellular structure organization and biogenesis	col1A2: Prepro-alpha2(I) collagen	Hs.232115	2.4	col1A2	7
ELK4	Gene expression transcription factor	ELK4: ELK4, ETS-domain protein (SRF accessory protein 1)	Hs.169241	5.2	ELK4	5
SERTAD1	Gene expression transcription factor	SERTAD1: SERTA domain containing 1, CDK4-binding protein p34SEI1	Hs.44281	4.1	SERTAD1	8
FOS	Gene expression transcription factor	FOS: V-fos FBJ murine osteosarcoma viral oncogene homolog	Hs.25647	4.5	FOS	4
SRF	Gene expression transcription factor	SRF: Serum response factor (c-fos serum response element-binding transcription factor)	Hs.155321	3.4	SRF	4
NR4A3	Gene expression transcription factor	NR4A3: Nuclear receptor subfamily 4, group A, member 3	Hs.80561	3.7	NR4A3	6
CITED1	Gene expression transcription factor	CITED1: Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1	Hs.40403	3.6	CITED1	7
EGR2	Gene expression transcription factor	EGR2: Early growth response 2 (Krox-20 homolog, Drosophila)	Hs.1395	8.9	EGR2	5
MAFF	Gene expression transcription factor	MAFF: V-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	Hs.51305	4.2	MAFF	5
KLF4	Gene expression transcription factor	KLF4: Kruppel-like factor 4 (gut)	Hs.356370	5	KLF4	5
NKX3-1	Gene expression transcription factor	NKX3-1: NK3 transcription factor related, locus 1 (Drosophila)	Hs.55999	3.2	NKX3-1	7
KLF2	Gene expression transcription factor	KLF2: Kruppel-like factor 2 (lung)	Hs.107740	3	KLF2	5
EGR1	Gene expression transcription factor	EGR1: Early growth response 1	Hs.326035	4.2	EGR1	5
FOSB	Gene expression transcription factor	FOSB: FBJ murine osteosarcoma viral oncogene homolog B	Hs.75678	4.4	FOSB	5
MYF6	Gene expression transcription factor	MYF6: Myogenic factor 6 (herculin)	Hs.35937	3.1	MYF6	5
	Gene expression transcription factor	RARRES 3: Retinoid receptor responder	Hs.17466	3.9	RARRES 3	9
	Gene expression transcription factor	TR3 orphan receptor (NR4A1)	Hs.1119	2.5
ATF3	Gene expression transcription factor	ATF3: Activating transcription factor 3	Hs.460	2.3	ATF3	5
EGR3	Gene expression transcription factor	EGR3: Early growth response 3	Hs.74088	3.1	EGR3	5
KLF6	Gene expression transcription factor	COPEB: Proto-oncogene Bcd orf1 and orf2	Hs.285313	2.8	COPEB	6
	Gene expression transcription factor	TR3 orphan receptor (NR4A1)	Hs.1119	2.4
	Gene expression transcription factor	JUN-B protein	Hs.25292	2.1
ATF3	Gene expression transcription factor	ATF3: Activating transcription factor 3	Hs.460	4.5	ATF3	5
KLF6	Gene expression transcription factor	COPEB: Proto-oncogene Bcd orf1 and orf2	Hs.285313	6.2	COPEB	6
SCNN1B	Cellular physiological process	SCNN1B: Sodium channel, nonvoltage-gated 1, beta (Liddle syndrome)	Hs.37129	3.9	SCNN1B	7
IGLL1	Cellular physiological process	IGLL1: Immunoglobulin lambda-like polypeptide 1	Hs.348935	25.6	IGLL1	6
IGHG1	Cellular physiological process	IGHG1: Immunoglobulin heavy constant gamma 1 (G1m marker)	Hs.525641	26.9	IGHG1	6
PROM1	Cellular physiological process	PROM1: Prominin 1 (PROML1)	Hs.112360	3.1	PROM1	6
RCAN1	Cellular physiological process	DSCR1: Downs syndrome critical region gene 1	Hs.184222	3.3	DSCR1	6
TRB	Cellular physiological process	TRB@: T-cell receptor beta locus	Hs.303157	3.1	TRB@	5
NELL2	Cellular physiological process	NELL2: NEL-like 2 (chicken)	Hs.79389	3.7	NELL2	6
CAV1	Cellular physiological process	CAV1: Caveolin 1, caveolae protein, 22 kDa	Hs.74034	4.7	CAV1	5
	Cellular physiological process	Ig rearranged light-chain mRNA V region		4.3
	Cellular physiological process	Immunoglobulin kappa chain (VNJ)	Hs.525893	4
	Cellular physiological process	Immunoglobulin heavy chain, V region	Hs.406489	2
	Cellular physiological process	Immunoglobulin lambda heavy chain	Hs.413826	1.9
CAV1	Cellular physiological process	CAV1: Caveolin 1, caveolae protein, 22 kDa	Hs.74034	2.2	CAV1	5
CAV2	Cellular physiological process	CAV2: Caveolin 2, caveolae protein, 20 kDa	Hs.139851	1.9	CAV2	5
HBB	Cellular physiological process	HBB: Hemoglobin, beta	Hs.155376	3.4	HBB	4
HBA2	Cellular physiological process	HBA2: Hemoglobin, alpha 2	Hs.347939	3.6	HBA2	5
OGN	Varia	OGN: Osteoglycin (osteoinductive factor, mimecan)	Hs.109439	8.8	OGN	4
PODXL2	Varia	PODLX2: Endoglycan	Hs.352420	38.3	PODLX2	7
ZNF185	Varia	ZNF185: Zinc-finger protein 185 (LIM domain)	Hs.16622	3.2	ZNF185	7
CXorf57	Varia	FLJ10178: Hypothetical protein FLJ10178	Hs.274267	3	FLJ10178	9
C1S	Varia	C1S: Complement component 1, s subcomponent	Hs.169756	7.6	C1S	4
C3	Varia	C3: Complement component 3	Hs.284394	6.1	C3	3
C7	Varia	C7: Complement component 7	Hs.78065	6	C7	3
	Varia	LOC51134 : NY-REN-58 antigen	Hs.56148	5.6	LOC51134	10
	Varia	KIAA1324 : KIAA1324 protein, maba1	Hs.104696	5.3	KIAA1324	10
ETAA1	Varia	ETAA16: ETAA16 protein	Hs.82664	4.8	ETAA16	7
PCOLCE2	Varia	PCOLCE2: Procollagen C-endopeptidase enhancer 2	Hs.8944	4.1	PCOLCE2	8
FGL2	Varia	FGL2: Fibrinogen-like 2	Hs.351808	4	FGL2	5
	Varia	DKFZP564O0423 : ODZ4	Hs.5028	3.8	DKFZP564O0423	15
FAM46A	Varia	C6orf37: Chromosome 6 open reading frame 37 (FAM46A)	Hs.36587	3.6	C6orf37	8
HMGB3	Varia	HMGB3: High-mobility group box 3	Hs.19114	3.4	HMGB3	6
TRIM45	Varia	FLJ13181: Hypothetical protein FLJ13181, (TRIM45)	Hs.301526	3.4	FLJ13181	9
	Varia	HNOEL-iso: HNOEL-iso protein (OLFML3)	Hs.9315	3.4	HNOEL-iso	10
CPPED1	Varia	FLJ11151: Hypothetical protein FLJ11151 (CSTP1)	Hs.14992	3	FLJ11151	9
C1S	Varia	C1S: Complement component 1, s subcomponent	Hs.169756	2.4	C1S	4
DFFA	Varia	DFFA: DNA fragmentation factor-45 (DFF1, ICAD, DFF-45)	Hs.484782	2.3	DFFA	5
SFPQ	Varia	SFPQ: PTB-associated splicing factor (splicing factor proline/glutamine rich (polypyrimidine tract-binding protein associated), PSF, POMP100)	Hs.180610	2	SFPQ	5
