Affymetrix probe ID	Gene symbol	FC (DP/SP)	Up/downregulation
232635_at	C14orf145	2.51112	upregulated
214723_x_at	KIAA1641	2.51112	upregulated
218039_at	NUSAP1	2.51112	upregulated
228108_at		2.50359	upregulated
222939_s_at	SLC16A10	2.50301	upregulated
205406_s_at	SPA17	2.50128	upregulated
218542_at	C10orf3	2.49839	upregulated
210971_s_at	ARNTL	2.49782	upregulated
226972_s_at	NAG6	2.49782	upregulated
232398_at	DKFZp434P055	2.49666	upregulated
233678_at	TCF12	2.49551	upregulated
205339_at	SIL	2.49378	upregulated
228284_at	TLE1 /// LOC389863	2.49205	upregulated
231137_at	BG1	2.4909	upregulated
221922_at	GPSM2	2.48745	upregulated
210559_s_at	CDC2	2.48687	upregulated
224527_at	CDH23	2.4863	upregulated
1552924_a_at	PITPNM2	2.48515	upregulated
215784_at	CD1E	2.48343	upregulated
211208_s_at	CASK	2.47942	upregulated
220652_at	KIF24	2.47827	upregulated
228729_at	CCNB1	2.47484	upregulated
214295_at	KIAA0485	2.47484	upregulated
204141_at	TUBB2	2.47312	upregulated
1558345_a_at	LOC439911	2.47312	upregulated
235103_at	MAN2A1	2.47084	upregulated
204887_s_at	PLK4	2.46684	upregulated
218663_at	HCAP-G	2.46684	upregulated
204674_at	LRMP	2.46514	upregulated
214290_s_at	HIST2H2AA	2.46343	upregulated
1561004_at		2.46229	upregulated
205232_s_at	PAFAH2	2.46115	upregulated
1564002_a_at	C6orf199	2.46058	upregulated
1559580_at	LRRC39	2.45888	upregulated
208576_s_at	HIST1H3B	2.45774	upregulated
205233_s_at	PAFAH2	2.45774	upregulated
226661_at	CDCA2	2.45037	upregulated
228773_at		2.4498	upregulated
1553698_a_at	C1orf96	2.4498	upregulated
203886_s_at	FBLN2	2.44924	upregulated
232950_s_at	PITPNM2	2.44811	upregulated
212021_s_at	MKI67	2.44641	upregulated
206749_at	CD1B	2.44585	upregulated
203845_at	PCAF	2.44528	upregulated
218418_s_at	ANKRD25	2.44472	upregulated
228846_at	MXD1	2.43964	upregulated
233445_at	BUB1	2.43851	upregulated
238041_at	TCF12	2.43682	upregulated
212023_s_at	MKI67	2.43569	upregulated
243874_at	FLJ42393	2.43232	upregulated
207183_at	GPR19	2.42727	upregulated
202705_at	CCNB2	2.42727	upregulated
1555888_at	EDD	2.42727	upregulated
228776_at	GJA7	2.42727	upregulated
225959_s_at	ZNRF1	2.41943	upregulated
236106_at	LOC339210	2.41887	upregulated
202870_s_at	CDC20	2.41831	upregulated
218662_s_at	HCAP-G	2.41775	upregulated
205240_at	GPSM2	2.41217	upregulated
225390_s_at	KLF13	2.4105	upregulated
204428_s_at	LCAT	2.40605	upregulated
238992_at		2.40605	upregulated
222067_x_at	HIST1H2BD	2.40549	upregulated
244873_s_at	DELGEF	2.40494	upregulated
233246_at	C9orf126	2.40327	upregulated
205934_at	PLCL1	2.40272	upregulated
227270_at	LOC285550	2.40216	upregulated
220396_at		2.40161	upregulated
201291_s_at	TOP2A	2.4005	upregulated
204162_at	KNTC2	2.39773	upregulated
204315_s_at	GTSE1	2.3933	upregulated
207828_s_at	CENPF	2.39219	upregulated
219116_s_at	DCUN1D2	2.39053	upregulated
226873_at	KIAA1164	2.38777	upregulated
242979_at		2.38777	upregulated
228646_at	PPP1R1C	2.38722	upregulated
213226_at	CCNA2	2.38557	upregulated
217937_s_at	HDAC7A	2.38392	upregulated
202580_x_at	FOXM1	2.37896	upregulated
204318_s_at	GTSE1	2.37457	upregulated
229312_s_at	GKAP1	2.36636	upregulated
222077_s_at	RACGAP1	2.36472	upregulated
219569_s_at	TMEM22	2.36417	upregulated
205013_s_at	ADORA2A	2.36035	upregulated
239041_at	HIST1H2BN	2.35545	upregulated
1555420_a_at	KLF7	2.35327	upregulated
238933_at		2.35273	upregulated
226530_at	BMF	2.35001	upregulated
205889_s_at	KIAA0555	2.3473	upregulated
226538_at	MAN2A1	2.34513	upregulated
232623_at	MK2S4	2.34242	upregulated
226611_s_at	PRR6	2.34188	upregulated
202547_s_at	ARHGEF7	2.34134	upregulated
203504_s_at	ABCA1	2.3408	upregulated
1555894_s_at	LOC92154	2.33432	upregulated
226610_at	PRR6	2.33378	upregulated
242028_at	ZNF709	2.33378	upregulated
203554_x_at	PTTG1	2.32947	upregulated
227766_at	LIG4	2.32947	upregulated
217010_s_at	CDC25C	2.32624	upregulated
209911_x_at	HIST1H2BD	2.32302	upregulated
235506_at	NOSTRIN	2.31873	upregulated
223383_at	ZNRF1	2.31873	upregulated
210116_at	SH2D1A	2.31605	upregulated
202761_s_at	SYNE2	2.31605	upregulated
209172_s_at	CENPF	2.31552	upregulated
38671_at	PLXND1	2.3091	upregulated
238456_at		2.30591	upregulated
236957_at	CDCA2	2.30324	upregulated
225303_at	KIRREL	2.30005	upregulated
213008_at	FLJ10719	2.29793	upregulated
235823_at	LOC197322	2.2974	upregulated
242449_at	RAB40C	2.29634	upregulated
241859_at		2.29474	upregulated
220285_at	C9orf77	2.29474	upregulated
227698_s_at	RAB40C	2.29421	upregulated
1556147_at		2.29157	upregulated
244033_at	C14orf145	2.28205	upregulated
1554704_at	ATP8B3	2.27784	upregulated
218313_s_at	GALNT7	2.27626	upregulated
235392_at	IRS1	2.27101	upregulated
206949_s_at	RUSC1	2.26839	upregulated
229642_at	ARHGEF7	2.26472	upregulated
214895_s_at	ADAM10	2.26367	upregulated
212478_at	FLJ13910	2.26211	upregulated
210813_s_at	XRCC4	2.26106	upregulated
218421_at	CERK	2.26106	upregulated
204886_at	PLK4	2.25949	upregulated
239534_at		2.25636	upregulated
210055_at	TSHR	2.25376	upregulated
227943_at	HIST2H2AA	2.25168	upregulated
242523_at		2.24648	upregulated
218355_at	KIF4A	2.23974	upregulated
228273_at	FLJ11029	2.23923	upregulated
235791_x_at	CHD1	2.23819	upregulated
243410_at	PTPN2	2.23819	upregulated
236428_at		2.23406	upregulated
207237_at	KCNA3	2.23303	upregulated
237001_at	T1	2.2253	upregulated
204661_at	CD52	2.22222	upregulated
215071_s_at	HIST1H2AC	2.22119	upregulated
228799_at		2.22119	upregulated
203244_at	PEX5	2.21914	upregulated
223311_s_at	MTA3	2.2176	upregulated
203420_at	FAM8A1	2.21197	upregulated
212235_at	PLXND1	2.20025	upregulated
239682_at	FLJ23861	2.19872	upregulated
230536_at	PBX4	2.18758	upregulated
209610_s_at	SLC1A4	2.18707	upregulated
209315_at	HBS1L	2.18657	upregulated
233241_at	C20orf19	2.18152	upregulated
204825_at	MELK	2.1795	upregulated
205839_s_at	BZRAP1	2.16445	upregulated
226894_at	SLC35A3	2.16145	upregulated
235162_at	MDM4	2.16045	upregulated
52285_f_at	C18orf9	2.15646	upregulated
240592_at	MLR1	2.15248	upregulated
203116_s_at	FECH	2.15149	upregulated
201236_s_at	BTG2	2.15	upregulated
214581_x_at	TNFRSF21	2.14702	upregulated
219833_s_at	EFHC1	2.14404	upregulated
218782_s_at	ATAD2	2.13712	upregulated
202604_x_at	ADAM10	2.13317	upregulated
203238_s_at	NOTCH3	2.12972	upregulated
233137_at	CD48	2.12923	upregulated
204146_at	RAD51AP1	2.12677	upregulated
229200_at		2.12089	upregulated
219588_s_at	LUZP5	2.11648	upregulated
234863_x_at	FBXO5	2.1155	upregulated
208149_x_at	DDX11	2.11208	upregulated
228107_at		2.10818	upregulated
202070_s_at	IDH3A	2.10721	upregulated
201036_s_at	HADHSC	2.10721	upregulated
204935_at	PTPN2	2.10478	upregulated
202565_s_at	SVIL	2.10283	upregulated
240432_x_at		2.09798	upregulated
209481_at	SNRK	2.09652	upregulated
1557780_at	WHSC1	2.0941	upregulated
241877_at		2.08686	upregulated
224151_s_at	AK3	2.08252	upregulated
225839_at	RBM33	2.0758	upregulated
1561363_a_at		2.07005	upregulated
212479_s_at	FLJ13910	2.06432	upregulated
203302_at	DCK	2.06289	upregulated
210039_s_at	PRKCQ	2.05623	upregulated
208159_x_at	DDX11	2.05385	upregulated
219812_at	MGC2463	2.05196	upregulated
208523_x_at	HIST1H2BI	2.05101	upregulated
228219_s_at	UPB1	2.04864	upregulated
225656_at	EFHC1	2.0458	upregulated
225333_at	ZNF496	2.03967	upregulated
243091_at	CRYZL1	2.03355	upregulated
214542_x_at	HIST1H2AI	2.02933	upregulated
236703_at		2.02371	upregulated
209287_s_at	CDC42EP3	2.01205	upregulated
204258_at	CHD1	2.00787	upregulated
226358_at	LOC145842	1.99216	upregulated
208977_x_at	TUBB2	1.97247	upregulated
235572_at	SPBC24	1.9661	upregulated
228073_at	HDHD4	1.96246	upregulated
223477_s_at	FLJ38663	1.94666	upregulated
241721_at		1.94486	upregulated
203763_at	D2LIC	1.93948	upregulated
230925_at	APBB1IP	1.91454	upregulated
225763_at	RCSD1	1.90924	upregulated
219815_at	GAL3ST4	1.89693	upregulated
235652_at	SCML1	0.02024	downregulated
218793_s_at	SCML1	0.02213	downregulated
218918_at	MAN1C1	0.02811	downregulated
206337_at	CCR7	0.03535	downregulated
204439_at	IFI44L	0.036	downregulated
202917_s_at	S100A8	0.03655	downregulated
232231_at	RUNX2	0.0369	downregulated
200953_s_at	CCND2	0.03783	downregulated
239448_at		0.04019	downregulated
1557733_a_at		0.04293	downregulated
236782_at	SAMD3	0.04368	downregulated
219423_x_at	TNFRSF25	0.04376	downregulated
212592_at	IGJ	0.04608	downregulated
207651_at	GPR171	0.0462	downregulated
234987_at	C20orf118	0.04621	downregulated
220485_s_at	SIRPB2	0.04923	downregulated
232882_at	FOXO1A	0.04994	downregulated
210432_s_at	SCN3A	0.05006	downregulated
219243_at	GIMAP4	0.0504	downregulated
202988_s_at	RGS1	0.05131	downregulated
236341_at	CTLA4	0.05181	downregulated
225496_s_at	SYTL2	0.05253	downregulated
226818_at	MPEG1	0.0533	downregulated
208820_at	PTK2	0.05448	downregulated
224583_at	COTL1	0.05503	downregulated
213975_s_at	LYZ /// LILRB1	0.05509	downregulated
210164_at	GZMB	0.056	downregulated
226682_at	LOC283666	0.05617	downregulated
232914_s_at	SYTL2	0.0576	downregulated
209840_s_at	LRRN3	0.05827	downregulated
230319_at		0.06027	downregulated
206385_s_at	ANK3	0.06041	downregulated
238365_s_at	MGC33556	0.06201	downregulated
202748_at	GBP2	0.06224	downregulated
222747_s_at	SCML1	0.06475	downregulated
212190_at	SERPINE2	0.0654	downregulated
242625_at	RSAD2	0.0659	downregulated
218589_at	P2RY5	0.06651	downregulated
227396_at		0.06686	downregulated
219371_s_at	KLF2	0.06733	downregulated
242520_s_at	MGC33556	0.06733	downregulated
210847_x_at	TNFRSF25	0.06949	downregulated
211990_at	HLA-DPA1	0.07043	downregulated
230488_s_at	LOC138948	0.07193	downregulated
216834_at	RGS1	0.07208	downregulated
203508_at	TNFRSF1B	0.07296	downregulated
219747_at	FLJ23191	0.0732	downregulated
1552316_a_at	GIMAP1	0.07476	downregulated
228071_at	GIMAP7	0.07491	downregulated
225627_s_at	CACHD1	0.07536	downregulated
203372_s_at	SOCS2	0.07597	downregulated
212998_x_at	HLA-DQB1	0.07686	downregulated
213808_at	ADAM23	0.07763	downregulated
222549_at	CLDN1	0.07768	downregulated
203373_at	SOCS2	0.07804	downregulated
205291_at	IL2RB	0.07878	downregulated
209619_at	CD74	0.07884	downregulated
242907_at	GBP2	0.08033	downregulated
201601_x_at	IFITM1	0.08062	downregulated
237839_at	ANK3	0.08068	downregulated
226474_at	NOD27	0.08081	downregulated
218284_at	SMAD3	0.08092	downregulated
229764_at	FAM79B	0.0813	downregulated
235964_x_at	C20orf118	0.08175	downregulated
209841_s_at	LRRN3	0.08245	downregulated
226272_at		0.08331	downregulated
224937_at	PTGFRN	0.08333	downregulated
201012_at	ANXA1	0.08389	downregulated
205419_at	EBI2	0.08407	downregulated
209312_x_at	HLA-DRB1	0.08418	downregulated
235529_x_at	C20orf118	0.08453	downregulated
226841_at	MPEG1	0.08473	downregulated
221059_s_at	COTL1	0.08575	downregulated
202724_s_at	FOXO1A	0.088	downregulated
210136_at	MBP	0.08906	downregulated
204014_at	DUSP4	0.08939	downregulated
240143_at	ADAM23	0.09002	downregulated
208894_at	HLA-DRA	0.09102	downregulated
235306_at	GIMAP8	0.09167	downregulated
202269_x_at	GBP1	0.09317	downregulated
211841_s_at	TNFRSF25	0.09351	downregulated
206082_at		0.09369	downregulated
227984_at		0.09403	downregulated
1569225_a_at	SCML4	0.09449	downregulated
214022_s_at	IFITM1	0.09454	downregulated
204621_s_at	NR4A2	0.09489	downregulated
204563_at	SELL	0.09535	downregulated
215193_x_at	HLA-DRB1	0.09548	downregulated
201170_s_at	BHLHB2	0.09566	downregulated
213797_at	RSAD2	0.09623	downregulated
231577_s_at	GBP1	0.09663	downregulated
203153_at	IFIT1	0.09675	downregulated
209993_at	ABCB1	0.0971	downregulated
214180_at	MAN1C1	0.09713	downregulated
211991_s_at	HLA-DPA1	0.09731	downregulated
210982_s_at	HLA-DRA	0.09912	downregulated
201137_s_at	HLA-DPB1	0.0999	downregulated
220467_at	FLJ21272	0.10034	downregulated
231093_at	FCRH3	0.10078	downregulated
204959_at	MNDA	0.102	downregulated
227867_at	LOC129293	0.10233	downregulated
