Unique id	Gene symbol
ILMN_1761560	PHF13
ILMN_1815184	ASPM
ILMN_1765574	TFAP2A
ILMN_1739496	PRRX1
ILMN_1747016	CEP55
ILMN_1796712	S100A10
ILMN_1696339	ZIC2
ILMN_1791726	TUBB3
ILMN_1679280	LOC643997
ILMN_1702197	C9orf140
ILMN_1808591	UBE2S
ILMN_1715693	LOC440160
ILMN_1705407	LOC642019
ILMN_1670353	RAD51AP1
ILMN_1778360	PYGB
ILMN_1787981	MFAP2
ILMN_1800540	CD55
ILMN_1773079	COL3A1
ILMN_1787410	ITGB4BP
ILMN_1810474	UBE2I
ILMN_1719661	SEPX1
ILMN_1710740	C2
ILMN_1756696	USF2
ILMN_1744611	WDSOF1
ILMN_1654324	HEYL
ILMN_1790953	CKAP1
ILMN_1661750	VIL1
ILMN_1711470	UBE2T
ILMN_1800412	BMP1
ILMN_1707169	AGMAT
ILMN_1677636	COMP
ILMN_1815057	PDGFRB
ILMN_1661825	TNFRSF6B
ILMN_1753196	PTTG1
ILMN_1676099	SPON2
ILMN_1755354	YBX2
ILMN_1680196	LAPTM4B
ILMN_1714592	CDA
ILMN_1719870	FAM72A
ILMN_1693985	JPH1
ILMN_1710844	PARP10
ILMN_1698706	NID2
ILMN_1672611	CDH11
ILMN_1775566	ATP1A1
ILMN_1748352	CTSL2
ILMN_1774685	IL24
ILMN_1696585	C20orf42
ILMN_1705814	LOC144501
ILMN_1721868	LOC643995
ILMN_1800573	RPS21
ILMN_1711899	ANXA2
ILMN_1694177	PCNA
ILMN_1698100	ANXA2P1
ILMN_1722073	WBSCR14
ILMN_1747593	ISLR
ILMN_1682428	C1orf59
ILMN_1706386	SLC39A4
ILMN_1714158	PON2
ILMN_1772521	MTHFD1L
ILMN_1661577	MAFA
ILMN_1741133	NME1
ILMN_1713764	LOC440928
ILMN_1787815	TRIB3
ILMN_1765557	OLFML2B
ILMN_1776653	SCML1
ILMN_1716815	CEACAM1
ILMN_1776674	SAC3D1
ILMN_1768940	COL15A1
ILMN_1737728	CDCA3
ILMN_1728934	PRC1
ILMN_1751328	FLJ46072
ILMN_1770678	CBX2
ILMN_1700810	HSPCAL3
ILMN_1656424	LOC645472
ILMN_1734316	YME1L1
ILMN_1803775	HSPE1
ILMN_1705750	TGM2
ILMN_1809590	Pfs2
ILMN_1682599	GPRC5A
ILMN_1792710	DAPK3
ILMN_1806040	TYMS
ILMN_1769702	GPAA1
ILMN_1692261	EPHB1
ILMN_1677765	LRP8
ILMN_1673673	PBK
ILMN_1708160	KPNA2
ILMN_1770293	KLF5
ILMN_1799020	MUC12
ILMN_1682737	CHRDL2
ILMN_1716445	DTYMK
ILMN_1677511	PTGS2
ILMN_1688722	IL13RA2
ILMN_1701195	PLA2G7
ILMN_1765621	HDGF
ILMN_1712888	HSPH1
ILMN_1747911	CDC2
ILMN_1798030	XPR1
ILMN_1742981	TUBA1A
ILMN_1702973	FLJ13391
ILMN_1762883	MGC2408
ILMN_1796099	LOC644380
ILMN_1676413	VSNL1
ILMN_1796490	GRINA
ILMN_1705301	TEAD4
ILMN_1690939	ECGF1
ILMN_1806733	COL18A1
ILMN_1779353	PUS7
ILMN_1672650	PKM2
ILMN_1785756	H2AFX
ILMN_1727589	SULT2B1
ILMN_1665792	ITGA2
ILMN_1766713	HSPD1
ILMN_1712803	CCNB1
ILMN_1721411	PARP10
ILMN_1710221	GPR35
ILMN_1718898	HOXC9
ILMN_1676563	HTRA1
ILMN_1731720	PDRG1
ILMN_1811114	SDS
ILMN_1744487	C1QTNF5
ILMN_1784860	RFC3
ILMN_1660554	VWA1
ILMN_1712046	CPXM
ILMN_1799103	SNRPB
ILMN_1659106	PHLDA3
ILMN_1726659	THOP1
ILMN_1787628	NOL5A
ILMN_1732176	AGPAT2
ILMN_1733094	STEAP1
ILMN_1691117	DNTTIP1
ILMN_1739582	HOXA9
ILMN_1802252	GAPDH
ILMN_1746465	FJX1
ILMN_1712545	S100A3
ILMN_1709451	TFPT
ILMN_1664516	CENPF
ILMN_1721046	PTMS
ILMN_1715508	NNMT
ILMN_1808707	FSCN1
ILMN_1781942	HMMR
ILMN_1766658	PKMYT1
ILMN_1730355	FGFR4
ILMN_1744381	SERPINE1
ILMN_1712628	GTF2IRD1
ILMN_1735996	NOX4
ILMN_1779234	CXCL6
ILMN_1782618	C9orf16
ILMN_1728049	S100A16
ILMN_1684217	AURKB
ILMN_1735461	DDX21
ILMN_1785061	EPHB2
ILMN_1759628	ATP1B3
ILMN_1838320
ILMN_1801257	CENPA
ILMN_1773760	PAICS
ILMN_1678300	LOC645625
ILMN_1785732	TNFAIP6
ILMN_1703092	RECQL4
ILMN_1807359	CLEC11A
ILMN_1709294	CDCA8
ILMN_1804530	LOC653888
ILMN_1907095
ILMN_1776925	PRSS22
ILMN_1811790	FKHL18
ILMN_1750373	KAL1
ILMN_1729197	LOC400879
ILMN_1772189	ABCD1
ILMN_1683905	C19orf21
ILMN_1682792	BYSL
ILMN_1776260	PPIAL4
ILMN_1699265	TNFRSF10B
ILMN_1787280	C1orf135
ILMN_1658847	MGC61598
ILMN_1750145	YWHAG
ILMN_1679800	BXDC2
ILMN_1716616	MARVELD3
ILMN_1737475	ABHD11
ILMN_1788107	IL11
ILMN_1704785	C10orf125
ILMN_1826921
ILMN_1695271	RPP25
ILMN_1746171	H2AFY
ILMN_1794711	LOC642477
ILMN_1658695	NUF2
ILMN_1714820	ITGB1
ILMN_1652445	RAC1
ILMN_1735156	SLC4A11
ILMN_1728972	FAM64A
ILMN_1651828	CCT3
ILMN_1665583	TUBB
ILMN_1759277	OIP5
ILMN_1652749	ERF
ILMN_1664630	CHEK1
ILMN_1767658	RRS1
ILMN_1667081	CCND2
ILMN_1717639	SNF1LK
ILMN_1795852	CCNE1
ILMN_1660691	RAB31
ILMN_1694305	SMS
ILMN_1710428	CDC2
ILMN_1777397	MSX1
ILMN_1719256	CKS1B
ILMN_1686679	ZNF462
ILMN_1758825	ABLIM2
ILMN_1717809	RNF24
ILMN_1791511	HCA112
ILMN_1671933	GPSM2
ILMN_1690846	LOC642412
ILMN_1783304	ATP1B3
ILMN_1786789	FAM102B
ILMN_1671257	DKC1
ILMN_1801246	IFITM1
ILMN_1658407	SLC43A3
ILMN_1736481	SECISBP2
ILMN_1664030	RAB1B
ILMN_1693014	CEBPB
ILMN_1703946	ADORA2B
ILMN_1656898	LOC653324
ILMN_1780546	OSM
ILMN_1670841	CPNE1
ILMN_1687384	G1P3
ILMN_1695509	PTPN12
ILMN_1684795	PRND
ILMN_1665865	IGFBP4
ILMN_1742866	F2R
ILMN_1769299	MTMR11
ILMN_1808071	KIF14
ILMN_1681503	MCM2
ILMN_1751776	FLJ40629
ILMN_1707720	SLC1A5
ILMN_1757011	LY75
ILMN_1660341	LRPAP1
ILMN_1653042	HSD3B7
ILMN_1807652	STRA6
ILMN_1749297	ACTL6A
ILMN_1343295	GAPDH
ILMN_1673721	EXO1
ILMN_1760280	NXT1
ILMN_1690105	STAT1
ILMN_1708101	LMNB2
ILMN_1717490	RPL6
ILMN_1731184	MELK
ILMN_1807106	LDHA
ILMN_1680955	AURKA
ILMN_1703906	DKFZp762E1312
ILMN_1657766	TRIM29
ILMN_1652085	MPHOSPH10
ILMN_1804051	SNX8
ILMN_1719611	CCT6A
ILMN_1801939	CCNB2
ILMN_1776047	LOC646197
ILMN_1765085	CGI-09
ILMN_1800958	ALS2CR4
ILMN_1727055	C12orf48
ILMN_1657949	RHEB
ILMN_1695658	KIF20A
ILMN_1664511	KNTC2
ILMN_1797585	MYO1B
ILMN_1746013	SPOCK
ILMN_1654319	HAPLN3
ILMN_1683969	FKBP1A
ILMN_1659364	RFC5
ILMN_1759097	MLLT11
ILMN_1715583	BOP1
ILMN_1809850	RCN3
ILMN_1674243	TFRC
ILMN_1727194	CALU
ILMN_1714433	MARCKSL1
ILMN_1671603	THRAP6
ILMN_1748427	ZNF239
ILMN_1736575	TRIM28
ILMN_1750101	S100A11
ILMN_1696360	CTSB
ILMN_1711005	CDC25A
ILMN_1656129	SLC39A10
ILMN_1731699	RAB15
ILMN_1811472	KIF23
ILMN_2038778	GAPDH
ILMN_1685916	KIF2C
ILMN_1701643	GDPD5
ILMN_1695962	SLC12A9
ILMN_1789001	SLC35B2
ILMN_1760143	ADRM1
ILMN_1739393	SELE
ILMN_1726720	NUSAP1
ILMN_1740291	POLQ
ILMN_1689001	CDK4
ILMN_1654322	ATP1B3
ILMN_1690063	LOC651143
ILMN_1752953	BCL2L12
ILMN_1751444	HCAP-G
ILMN_1741755	TRIM29
ILMN_1716265	PGM2L1
ILMN_1671906	MND1
ILMN_1674394	C20orf3
ILMN_1666546	DUSP14
ILMN_1673711	HSP90AB1
ILMN_1798256	UPP1
ILMN_1745420	PHF19
ILMN_1718128	PABPC3
ILMN_1791466	HMGB1
ILMN_1724295	LOC643007
ILMN_1737394	LMNA
ILMN_1654773	CASK
ILMN_1659990	HIG2
ILMN_1678966	SNRPF
ILMN_1733421	PRKCQ
ILMN_1663035	SREBF1
ILMN_1720526	C16orf60
ILMN_1730670	FSTL3
ILMN_1698766	PYCARD
ILMN_1665538	SKP2
ILMN_1676938	LOC649214
ILMN_1669557	LOC647881
ILMN_1741054	SLC5A6
ILMN_1734950	LOXL1
ILMN_1691487	TRAF2
ILMN_1679267	TGM2
ILMN_1684045	CDCA4
ILMN_1722102	ANAPC11
ILMN_1810423	RPP40
ILMN_1762808	LOC651919
ILMN_1783285	CTPS
ILMN_1677851	RARRES1
ILMN_1677906	LOC643287
ILMN_1786065	UHRF1
ILMN_1811433	RPL8
ILMN_1759766	CTXN1
ILMN_1680091	POP7
ILMN_1749243	BANF1
ILMN_1745798	GTF2F2
ILMN_1719286	PPGB
ILMN_1662166	PTK7
ILMN_1696311	IMPAD1
ILMN_1689037	LIPG
ILMN_1814998	FKSG30
ILMN_1800276	RCN1
ILMN_1898124
ILMN_1671843	PSRC1
ILMN_1807169	TINAGL1
ILMN_1703324	PDSS1
ILMN_1794914	UBTD1
ILMN_1679867	LOC642269
ILMN_1745271	EXOSC4
ILMN_1677404	RAP2A
ILMN_1724250	GRN
ILMN_1711314	NUDT5
ILMN_1677509	PRR7
ILMN_1693388	NOXO1
ILMN_1854469
ILMN_1766637	GLA
ILMN_1810752	C4BPA
ILMN_1740923	C20orf54
ILMN_1812403	BCAP31
ILMN_1770787	DDAH2
ILMN_1704672	OBFC2B
ILMN_1803559	LOC440157
ILMN_1658531	LOC653949
ILMN_1764729	JAG2
ILMN_1655642	KIAA1794
ILMN_1687036	MRPL47
ILMN_1659725	EXOSC5
ILMN_1654289	ELK1
ILMN_1779735	LOC389541
ILMN_1721495	ADAMTSL2
ILMN_1727462	ARSE
ILMN_1718558	PARP12
ILMN_1804461	MYH14
ILMN_1703955	FBXO32
ILMN_1790100	FLJ25416
ILMN_1718285	HOXC8
ILMN_1673352	IFITM2
ILMN_1774823	RPL34
ILMN_1720124	RCC2
ILMN_1793959	ADPGK
ILMN_1749829	DLG7
ILMN_1737195	FKSG14
ILMN_1804851	MRPS17
ILMN_1753312	PLXDC2
ILMN_1705849	SPR
ILMN_1809439	HMG1L1
ILMN_1786189	MKI67IP
ILMN_1658607	DLEU2
ILMN_1815012	EXOC7
ILMN_1651617	CTNNB1
ILMN_1786125	CCNA2
ILMN_1799535	GJB1
ILMN_1677711	LOC643834
ILMN_1687842	LOC649034
ILMN_1703787	ATP4B
ILMN_1731547	GIF
ILMN_1717572	PGA5
ILMN_1727539	LOC643834
ILMN_1813688	GDDR
ILMN_1760103	GKN1
ILMN_1768750	LOC643834
ILMN_1796405	ATP4B
ILMN_1714980	MRGPRD
ILMN_1696380	GHRL
ILMN_1769143	KCNE2
ILMN_1669410	CHGA
ILMN_1661994	ESRRG
ILMN_1771538	PSCA
ILMN_1795582	CHRD
ILMN_1807503	CPA2
ILMN_1771680	ATP4B
ILMN_1759708	LOC643959
ILMN_1795484	PGC
ILMN_1663919	TFF2
ILMN_1908210
ILMN_1699421	ANXA10
ILMN_1722489	TFF1
ILMN_1699665	CLIC6
ILMN_1748303	MUC5AC
ILMN_1672148	AKR1B10
ILMN_1798138	CHIA
ILMN_1731073	CAPN9
ILMN_1716335	P2RXL1
ILMN_1768469	TCN1
ILMN_1792323	HDC
ILMN_1795298	GPR30
ILMN_1702503	ALDH3A1
ILMN_1671478	CKB
ILMN_1812824	SST
ILMN_1806198	VSIG1
ILMN_1679647	CHIA
ILMN_1787576	CLCNKA
ILMN_1700408	TRIM50A
ILMN_1794729	KRT20
ILMN_1760088	CCKBR
ILMN_1748899	TMED6
ILMN_1783185	SOX21
ILMN_1666536	VSIG2
ILMN_1719143	APOBEC2
ILMN_1732398	SCGB2A1
ILMN_1811468	IRX3
ILMN_1690923	CAPN9
ILMN_1816925
ILMN_1662795	CA2
ILMN_1759910	SERPINA5
ILMN_1796337	UNQ473
ILMN_1836218
ILMN_1764266	CKMT2
ILMN_1732000	FLJ42875
ILMN_1661491	SH3GL2
ILMN_1695924	KLK11
ILMN_1715401	MT1G
ILMN_1764309	ADH1A
ILMN_1782937	LOC652358
ILMN_1804444	PDIA2
ILMN_1657435	MT1M
ILMN_1725139	CA9
ILMN_1808677	UGT2B17
ILMN_1734878	CD79A
ILMN_1757521	CKM
ILMN_1715463	SOSTDC1
ILMN_1740717	ADH1C
ILMN_1754920	LOC389429
ILMN_1752028	PMS2L1
ILMN_1677108	CAPN13
ILMN_1776519	RAP1GA1
ILMN_1831106
ILMN_1736162	GC
ILMN_1671486	HOMER2
ILMN_1739813	HYAL1
ILMN_1687625	DPCR1
ILMN_1791679	DNER
ILMN_1824496
ILMN_1656487	FGA
ILMN_1778333	MMP24
ILMN_1747683	AQP4
ILMN_1692983	SULT2A1
ILMN_1786989	NKX6-2
ILMN_1680965	DEFB4
ILMN_1760153	GATA5
ILMN_1804339	CAMK1G
ILMN_1701975	SLC9A4
ILMN_1662587	C9orf111
ILMN_1665425	RPRM
ILMN_1799815	XYLT2
ILMN_1799887	CTSE
ILMN_1795257	GPT
ILMN_1693119	LOC130576
ILMN_1657087	ZNF533
ILMN_1655613	GSTA2
ILMN_1768016	TNFRSF17
ILMN_1696284	CLDN18
ILMN_1766264	PI16
ILMN_1804005	FBP2
ILMN_1713266	FAM46C
ILMN_1809259	HRASLS2
ILMN_1709348	ALDH1A1
ILMN_1779228	CDH2
ILMN_1803686	ADA
ILMN_1779017	FGA
ILMN_1702858	ADHFE1
ILMN_1873456
ILMN_1718766	MT1F
ILMN_1652199	LOC642113
ILMN_1705125	LOC646401
ILMN_1763834	APLP1
ILMN_1772537	SCTR
ILMN_1726666	GPX3
ILMN_1761566	ORF1-FL49
ILMN_1656285	METTL7A
ILMN_1687757	LOC648517
ILMN_1739726	JSRP1
ILMN_1683121	CYP2C18
ILMN_1748323	CXCL14
ILMN_1707448	CRKRS
ILMN_1777190	CFD
ILMN_1746819	C5
ILMN_1791711	LOC405753
ILMN_1699214	LOC647450
ILMN_1757807	AGXT2L1
ILMN_1680390	GCNT2
ILMN_1811049	POU2AF1
ILMN_1775170	MT1X
ILMN_1756469	GAMT
ILMN_1652826	LRRC17
ILMN_1782412	IRX2
ILMN_1689043	DRD5
ILMN_1668125	MYRIP
ILMN_1803094	PDGFD
ILMN_1852022
ILMN_1777221	C21orf51
ILMN_1674593	SIGLEC11
ILMN_1681670	SLC25A4
ILMN_1791253	FBXL13
ILMN_1713124	AKR1C3
ILMN_1808238	RBPMS2
ILMN_1800425	SLC9A1
ILMN_1701831	GSTA1
ILMN_1837428
ILMN_1730229	CGNL1
ILMN_1796737	APM-1
ILMN_1796801	ABCA8
ILMN_1709847	KCNJ13
ILMN_1739508	LOC652493
ILMN_1738849	SLC9A2
ILMN_1676822	ECRG4
ILMN_1759312	AMPD1
ILMN_1687235	HPN
ILMN_1766079	SULT1C1
ILMN_1792182	RDH12
ILMN_1731785	ORM2
ILMN_1906437
ILMN_1775814	GHR
ILMN_1714383	TPD52L1
ILMN_1810942	CYP3A5
ILMN_1790317	RAB26
ILMN_1763852	ACACB
ILMN_1709094	LIFR
ILMN_1727178	FLJ45803
ILMN_1785284	ALDH6A1
ILMN_1804662	NRG4
ILMN_1887357
ILMN_1683102	SLC26A9
ILMN_1699521	KIAA1641
ILMN_1878007
ILMN_1761946	PROM2
ILMN_1740917	SCNN1B
ILMN_1795300	FLJ41603
ILMN_1808245	RPESP
ILMN_1724211	GPRC5C
ILMN_1752214	UGT2B17
ILMN_1706483	C1orf116
ILMN_1761084	FNDC5
ILMN_1773006	FABP4
ILMN_1680070	LOC642724
ILMN_1791123	TMPRSS2
ILMN_1741597	LOC650200
ILMN_1677200	CYFIP2
ILMN_1673175	TNFSF11
ILMN_1681634	PXMP2
ILMN_1677920	LTF
ILMN_1664236	ADAM28
ILMN_1660086	MYH11
ILMN_1690040	TM7SF2
ILMN_1872974
ILMN_1776516	ITPKA
ILMN_1660727	ENPP5
ILMN_1653026	PLAC8
ILMN_1661733	FOLR1
ILMN_1718968	MT1E
ILMN_1759075	TNFRSF13B
ILMN_1713759	UBE2J1
ILMN_1695745	DISP1
ILMN_1774375	LOC284422
ILMN_1807894	SLC7A8
ILMN_1703326	GPR44
ILMN_1652797	LOC400451
ILMN_1779015	ZNF467
ILMN_1766261	SLC2A12
ILMN_1672605	Ells1
ILMN_1778650	VILL
ILMN_1791912	SIDT2
ILMN_1658649	C3orf57
ILMN_1811598	ADH1B
ILMN_1679391	MAMDC2
ILMN_1714990	DBT
ILMN_1729237	CYB5R1
ILMN_1765310	TCEAL2
ILMN_1790160	KIT
ILMN_1666985	LOC643847
ILMN_1743445	FAM107A
ILMN_1729734	MFSD4
ILMN_1796094	CD36
ILMN_1708107	DPT
ILMN_1731062	NPY
ILMN_1695891	LOC652775
ILMN_1719616	DNASE1
ILMN_1672795	SH2D5
ILMN_1725193	IGFBP2
ILMN_1761260	COBLL1
ILMN_1691156	MT1A
ILMN_1804735	CBS
ILMN_1718984	FCGBP
ILMN_1720282	NQO1
ILMN_1763390	ISL1
ILMN_1675819	FAM101A
ILMN_1757892	LOC648657
ILMN_1651964	ABCC5
ILMN_1799015	PXMP2
ILMN_1695590	ADRB2
ILMN_1761131	PECI
ILMN_1765326	DGKD
ILMN_1788184	CIDEA
ILMN_1733415	MFAP5
ILMN_1655261	C12orf46
ILMN_1775235	AFF3
ILMN_1709590	PGM5
ILMN_1812721	HIP1R
ILMN_1748124	TSC22D3
ILMN_1751062	SCARA5
ILMN_1663640	MAOA
ILMN_1667037	LOC653827
ILMN_1695946	LOC388610
ILMN_1795342	MLPH
ILMN_1729203	PDILT
ILMN_1659913	ISG20
ILMN_1735578	GUCA2B
ILMN_1783690	LOC388743
ILMN_1742444	UGT2B10
ILMN_1769433	IQGAP2
ILMN_1742534	COL4A5
ILMN_1682176	CLEC3B
ILMN_1728009	PRP2
ILMN_1809384	CYP4F12
ILMN_1761820	EDARADD
ILMN_1911542
ILMN_1772131	IL1R2
ILMN_1744968	KCNAB1
ILMN_1720865	OSBPL7
ILMN_1724658	BNIP3
ILMN_1776602	RNASE4
ILMN_1770576	FLJ43505
ILMN_1810881	ASB16
ILMN_1781388	PGM5
ILMN_1738993	PIK3C2G
ILMN_1706531	ABCC5
ILMN_1678939	VNN2
ILMN_1684982	PDK4
ILMN_1704531	LTB4DH
ILMN_1811437	C11orf9
ILMN_1736527	TFCP2L1
ILMN_1674533	TRPV6
ILMN_1810729	UBL3
ILMN_1728107	GNG7
ILMN_1680652	SELENBP1
ILMN_1795963	OSGIN1
ILMN_1680110	C10orf116
ILMN_1791447	CXCL12
ILMN_1687268	SEC14L5
ILMN_1791280	HSPB8
ILMN_1805842	FHL1
ILMN_1760727	ANG
ILMN_1664912	IL11RA
ILMN_1734366	RORC
ILMN_1695157	CA4
ILMN_1662878	MGC29506
ILMN_1769782	LAX1
ILMN_1682929	SYTL2
ILMN_1736670	PPP1R3C
ILMN_1794875	HMFN0839
ILMN_1659227	CD79A
ILMN_1751886	REC8L1
ILMN_1702696	AFAR3
ILMN_1688959	TNFRSF7
ILMN_1791531	FA2H
ILMN_1799669	PSORS1C1
ILMN_1773901	STX12
ILMN_1791329	FCRL2
ILMN_1675656	PPFIBP2
ILMN_1898518
ILMN_1761281	LOC441019
ILMN_1771084	ACSM3
ILMN_1702487	SGK
ILMN_1657373	LEPREL1
ILMN_1813561	SCIN
ILMN_1707464	MST1
ILMN_1653496	GLUL
ILMN_1746864	PSCDBP
ILMN_1745820	RASSF6
ILMN_1746888	PCOLCE2
ILMN_1775587	STX19
ILMN_1693738	CTSE
ILMN_1667796	HBA1
ILMN_1799725	DOCK2
ILMN_1805665	FLRT3
ILMN_1735930	KLF2
ILMN_1815319	CMTM4
ILMN_1718621	TSPAN32
ILMN_1682567	HSU79303
ILMN_1687247	SPATA20
ILMN_1652379	SUCLG2
ILMN_1740466	FAM46A
ILMN_1726893	EPN3
ILMN_1784967	EPB41L4B
ILMN_1719404	TRIM50B
ILMN_1685122	COL9A2
ILMN_1793474	INSIG1
ILMN_1794190	CCPG1
ILMN_1780236	PMM1
ILMN_1725597	FXYD4
ILMN_1800008	ACAT1
ILMN_1674661	CIRBP
ILMN_1796461	PRSS8
ILMN_1802100	ADAM28
ILMN_1824665
ILMN_1763704	RGS11
ILMN_1758672	FAM107B
ILMN_1747067	NPAS1
ILMN_1718520	C10orf59
ILMN_1711699	HIP1R
ILMN_1721549	PLA2G1B
ILMN_1803256	STOX2
ILMN_1709747	ENDOGL1
ILMN_1710622	NIP
ILMN_1786278	DKFZP564J102
ILMN_1766914	MFAP4
ILMN_1799848	ANKRD22
ILMN_1772627	D4S234E
ILMN_1655930	ELL2
ILMN_1818346
ILMN_1652906	GBGT1
ILMN_1764850	HPCAL1
ILMN_1693341	SNRPN
ILMN_1794829	C6orf117
ILMN_1803367	EVI1
ILMN_1740609	CCL14
ILMN_1713892	C4orf34
ILMN_1705116	C6orf85
ILMN_1703337	LOC441763
ILMN_1670652	CYP2C9
ILMN_1749834	LOC388588
ILMN_1792168	GALE
ILMN_1755954	CPEB3
ILMN_1728132	LDHB
ILMN_1768705	SYT4
ILMN_1804798	BEXL1
ILMN_1815719	PLCG2
ILMN_1741175	RAB11FIP2
ILMN_1754507	IRF4
ILMN_1779886	TBC1D14
ILMN_1898723
ILMN_1697448	TXNIP
ILMN_1671568	ECHDC2
ILMN_1657893	TXNRD2
ILMN_1708798	EAF2
ILMN_1695110	BCAT2
ILMN_1771987	SLC44A2
ILMN_1803528	LRRC31
ILMN_1796206	LOC642678
ILMN_1807455	DHRS7
ILMN_1795181	FLJ20035
ILMN_1751885	GPR64
ILMN_1752935	TMEM30B
ILMN_1721106	C14orf159
ILMN_1752510	FAM13A1
ILMN_1715991	SDPR
ILMN_1754865	PABPC4
ILMN_1751851	CECR1
ILMN_1751753	IDH2
ILMN_1719599	SYTL4
ILMN_1660114	MMRN1
ILMN_1751020	PACSIN1
ILMN_1736184	GSTM3
ILMN_1721540	LOC284434
ILMN_1778173	AK3
ILMN_1684246	C1orf125
ILMN_1651253	LOC644150
ILMN_1904851
ILMN_1762718	CMTM4
ILMN_1677607	SC5DL
ILMN_1767129	ABCC8
ILMN_1688228	LOC145837
ILMN_1679919	ASCC2
ILMN_1716407	SORBS2
ILMN_1670718	C18orf51
ILMN_1913678
ILMN_1696974	RNASE4
ILMN_1665943	MAP4K1
ILMN_1744534	LOC144363
ILMN_1719543	MAF
ILMN_1738438	LOC375449
ILMN_1710410	CHRM3
ILMN_1742390	FRMD1
ILMN_1791494	SYNPO2
ILMN_1660000	SNRPN
ILMN_1687440	HIPK2
ILMN_1694589	PAQR8
ILMN_1683923	MT1H
ILMN_1742382	RIMS3
ILMN_1656300	GFRA2
ILMN_1651415	DERL3
ILMN_1723481	CHST3
ILMN_1673998	SSTR1
ILMN_1788108	TXNDC5
ILMN_1695193	ANGPTL3
ILMN_1797154	AZGP1
ILMN_1664631	ADAM28
ILMN_1736238	GNMT
ILMN_1663092	CITED2
ILMN_1665859	RAB27A
ILMN_1695978	LRRN6C
ILMN_1713927	UNQ689
ILMN_1814215	SCNN1G
ILMN_1668052	FOXA2
ILMN_1813338	LAG3
ILMN_1747451	PLCXD1
ILMN_1746784	FLJ30046
ILMN_1784863	CD36
ILMN_1655563	KIAA0427
ILMN_1776936	ANKRD38
ILMN_1893555
ILMN_1674650	C9orf95
ILMN_1781745	C9orf152
