Agilent ID	ZF gene ID	Human Homolog	PROBE	Gene ID
A_15_P416710	p4hb	P4HB	1437465_a_at	P4hb
A_15_P630571	med11	MED11	1417739_at	Med11
A_15_P119208	rad23a	RAD23A	1453623_a_at	Rad23a
A_15_P599092	phka1	PHKA1	1422743_at	Phka1
A_15_P736031	mavs	MAVS	1451176_at	Mavs
A_15_P405925	LOC556726	CTNND1	1422450_at	Ctnnd1
A_15_P167601	cox5ab	COX5A	1448153_at	Cox5a
A_15_P106134	pou3f3b	POU3F3	1422331_at	Pou3f3
A_15_P135791	lyrm5a	LYRM5	1418996_a_at	Lyrm5
A_15_P102669	tbc1d15	TBC1D15	1416062_at	Tbc1d15
A_15_P110108	arx	ARX	1450042_at	Arx /// LOC100044440
A_15_P729691	egln3	EGLN3	1418649_at	Egln3
A_15_P140291	mov10b.1	MOV10	1416380_at	Mov10
A_15_P438950	dmgdh	DMGDH	1452311_at	Dmgdh
A_15_P111911	clica	CLIC3	1429574_at	Clic3
A_15_P119833	cox16	COX16	1423190_at	Cox16
A_15_P475400	nfia	NFIA	1421163_a_at	Nfia
A_15_P119643	prcp	PRCP	1452191_at	Prcp
A_15_P112037	enc1	ENC1	1420965_a_at	Enc1
A_15_P623336	zff9	CNBP	1416244_a_at	Cnbp
A_15_P104506	dacha	DACH2	1449823_at	Dach2
A_15_P169196	psmd4b	PSMD4	1425859_a_at	Psmd4
A_15_P106603	cd82a	CD82	1416401_at	Cd82
A_15_P119567	zgc:77126	NANS	1417773_at	Nans
A_15_P107387	mrps18a	MRPS18A	1416984_at	Mrps18a
A_15_P105292	sars2	SARS2	1448522_at	Sars2
A_15_P582627	zgc:154055	MTMR9	1452254_at	Mtmr9
A_15_P210946	rab32a	RAB32	1416527_at	Rab32
A_15_P102764	pepd	PEPD	1416712_at	Pepd
A_15_P748436	rpl26	RPL26	1448109_a_at	Rpl26
A_15_P216971	pafah1b2	PAFAH1B2	1450755_at	Pafah1b2
A_15_P174806	hhip	HHIP	1438083_at	Hhip
A_15_P151836	meis1	MEIS1	1450992_a_at	Meis1
A_15_P629326	zgc:153208	PPP1R14B	1436716_at	Ppp1r14b
A_15_P629756	zgc:158293	LANCL2	1420857_at	Lancl2
A_15_P210116	col18a1	COL18A1	1426955_at	Col18a1
A_15_P226031	cmpk	CMPK1	1423073_at	Cmpk1
A_15_P102420	slc7a3	SLC7A3	1417022_at	Slc7a3
A_15_P725376	plod1a	PLOD1	1416289_at	Plod1
A_15_P107090	zgc:92030	PECI	1431012_a_at	Peci
A_15_P210196	mgmt	MGMT	1421309_at	Mgmt
A_15_P105979	spryd4	SPRYD4	1452076_at	Spryd4
A_15_P195551	pcdh1a4	PCDHA9	1424341_s_at	Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
A_15_P301806	grb10a	GRB10	1425457_a_at	Grb10
A_15_P119741	zgc:73228	MCART1	1433816_at	Mcart1
A_15_P163791	psmb9a	PSMB9	1450696_at	Psmb9
A_15_P349655	si:ch211-239j19.3	IL34	1431920_a_at	Il34
A_15_P629336	zgc:153390	MRPS6	1424440_at	Mrps6
A_15_P433700	elovl4b	ELOVL4	1424306_at	Elovl4
A_15_P663251	stau1	STAU1	1435347_at	Stau1
A_15_P760906	wbscr22	WBSCR22	1423575_a_at	Wbscr22
A_15_P578462	eef2k	EEF2K	1449013_at	Eef2k
A_15_P626491	rtn1b	RTN1	1429761_at	Rtn1
A_15_P262546	mrpl11	MRPL11	1438080_at	Mrpl11
A_15_P198701	LOC564651	HLTF	1451901_at	Hltf
A_15_P665071	mxa	MX1	1451905_a_at	Mx1
A_15_P626121	hoxc4a	HOXC4	1422870_at	Hoxc4
A_15_P721676	pop5	POP5	1417972_s_at	Pop5
A_15_P103389	cpox	CPOX	1422492_at	Cpox
A_15_P109021	nol6	NOL6	1424472_at	Nol6
A_15_P108054	tef	TEF	1450184_s_at	Tef
A_15_P115527	hpca	HPCA	1425833_a_at	Hpca
A_15_P106211	zgc:153664	MRPS14	1420488_at	Mrps14
A_15_P673656	ndufa4	NDUFA4	1424085_at	Ndufa4
A_15_P118782	si:ch211-154h20.4	SLC6A15	1426712_at	Slc6a15
A_15_P193816	zgc:171563	NUB1	1420535_a_at	Nub1
A_15_P194281	zgc:136871	MAT1A	1423147_at	Mat1a
A_15_P207456	hccsa	HCCS	1420890_at	Hccs
A_15_P367040	zgc:112466	STARD4	1429240_at	Stard4
A_15_P157716	zgc:112025	TRIAP1	1460702_at	Triap1
A_15_P105751	aclya	ACLY	1438389_x_at	Acly
A_15_P628361	hnf1a	HNF1A	1421234_at	Hnf1a
A_15_P722171	rplp0	RPLP0	1419441_at	Rplp0
A_15_P105369	gldc	GLDC	1416049_at	Gldc
A_15_P103726	rac1	RAC1	1437674_at	Rac1
A_15_P496722	hadhb	HADHB	1437172_x_at	Hadhb
A_15_P736876	marcksa	MARCKS	1456028_x_at	Marcks
A_15_P115287	kcnd3	KCND3	1426070_a_at	Kcnd3
A_15_P121467	add3a	ADD3	1423298_at	Add3
A_15_P108954	pde6g	PDE6G	1450453_a_at	Pde6g
A_15_P210396	sfxn4	SFXN4	1418873_at	Sfxn4
A_15_P575902	btf3	BTF3	1433863_at	Btf3
A_15_P649679	dhrs7b	DHRS7B	1442661_at	Dhrs7b
A_15_P473795	zgc:65827	AP2S1	1433612_at	Ap2s1
A_15_P629076	zmpste24	ZMPSTE24	1427923_at	Zmpste24
A_15_P632331	agk	AGK	1431655_a_at	Agk
A_15_P592627	uggt2	UGGT2	1431602_a_at	Uggt2
A_15_P144951	LOC553326	PTPLA	1456315_a_at	Ptpla
A_15_P150521	zgc:123280	SDR42E1	1427082_at	Sdr42e1
A_15_P406510	txnipa	TXNIP	1415996_at	Txnip
A_15_P113590	mapk14a	MAPK14	1451927_a_at	Mapk14
A_15_P114680	chmp6b	CHMP6	1433684_at	Chmp6
A_15_P152701	zgc:113271	RNF130	1429265_a_at	Rnf130
A_15_P401095	pbp	PEBP1	1453107_s_at	Pebp1
A_15_P393910	LOC799443	B3GALTL	1424406_at	Bcl2l13
A_15_P578427	ccdc25	CCDC25	1451799_at	Ccdc25
A_15_P120276	vps18	VPS18	1427304_at	Vps18
A_15_P378780	zgc:101768	CDKN2AIPNL	1452200_at	Cdkn2aipnl
A_15_P663046	zgc:162544	MPST	1418356_at	Mpst
A_15_P107313	cfl2	CFL1	1455138_x_at	Cfl1
A_15_P109164	psd3l	PSD3	1418749_at	Psd3
A_15_P119436	zgc:63972	CUTA	1451387_s_at	Cuta
A_15_P674521	tmem129	TMEM129	1415715_at	Tmem129
A_15_P106046	insm1a	INSM1	1421399_at	Insm1
A_15_P519007	slc34a2b	SLC34A2	1416854_at	Slc34a2
A_15_P741801	zgc:55262	CAPN1	1417228_at	Capn1
A_15_P176291	zgc:110152	CBX7	1449713_at	Cbx7
A_15_P630301	zgc:56330	EIF4EBP3	1448008_at	Ankhd1 /// Eif4ebp3
A_15_P751276	zgc:85939	AAMP	1454754_a_at	Aamp
A_15_P720021	zgc:92326	LGALS9	1421217_a_at	Lgals9
A_15_P175006	si:dkey-21k10.1	PTPRF	1420842_at	Ptprf
A_15_P222846	grap2a	GRAP2	1420685_at	Grap2
A_15_P119273	zgc:110591	TMEM179B	1455874_at	Tmem179b
A_15_P726316	ldhba	LDHB	1455235_x_at	Ldhb
