Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value
St8sia3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3	A_51_P431046	Embryo:4.07138765666846	Embryo:0.000753815045838479
Neurod2	neurogenic differentiation 2	A_51_P379341	Embryo:4.05298371131432	Embryo:1.07297835832651e-11
Ccbp2	chemokine binding protein 2	A_52_P222073	Embryo:4.03694159838565	Embryo:2.22373497262363e-07
Bcat1	branched chain aminotransferase 1, cytosolic	A_52_P507537	Embryo:4.00383906482687	Embryo:1.55062488710313e-06
Mapt	microtubule-associated protein tau	A_51_P140576	Embryo:3.99584734334525	Embryo:2.29038001671212e-06
Rab3c	RAB3C, member RAS oncogene family	A_52_P466860	Embryo:3.9892586464769	Embryo:0.00766952558522882
Pnma2	paraneoplastic antigen MA2	A_52_P596595	Embryo:3.9506499579531	Embryo:6.85261282186356e-05
Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3	A_51_P502437	Embryo:3.94113394042582	Embryo:0.000413611612016621
Foxo6	forkhead box O6	A_52_P589568	Embryo:3.93025792234386	Embryo:7.53649992546027e-09
Nap1l2	nucleosome assembly protein 1-like 2	A_51_P366207	Embryo:3.92847184073431	Embryo:3.56275085149094e-06
Nhlh1	nescient helix loop helix 1	A_51_P388724	Embryo:3.92350738422516	Embryo:0.000327768932677024
Fgf15	fibroblast growth factor 15	A_51_P440985	Embryo:3.8461081371858	Embryo:8.84950295645029e-09
Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	A_52_P39575	Embryo:3.84471968246692	Embryo:0.0006679602785569
Calb1	calbindin 1	A_51_P335801	Embryo:3.76511416043105	Embryo:0.00547321014336189
Rgs8	regulator of G-protein signaling 8	A_52_P600417	Embryo:3.76082754323077	Embryo:1.26126836311355e-05
Ntrk2	neurotrophic tyrosine kinase, receptor, type 2	A_51_P516006	Embryo:3.72073240279909	Embryo:0.00036757708966798
Insm1	insulinoma-associated 1	A_51_P140887	Embryo:3.72031640225173	Embryo:6.69465247580827e-06
Bcl11b	B-cell leukemia/lymphoma 11B	A_51_P171772	Embryo:3.70294418932259	Embryo:1.41821494740826e-08
Brsk2	BR serine/threonine kinase 2	A_51_P160581	Embryo:3.68115586194932	Embryo:4.71653477431731e-06
Serpine1	serine (or cysteine) peptidase inhibitor, clade E, member 1	A_51_P183571	Embryo:3.67298657577551	Embryo:5.27799212746541e-09
Fam162b	family with sequence similarity 162, member B	A_51_P103594	Embryo:3.65637127457207	Embryo:9.31006048278991e-05
Dlx5	distal-less homeobox 5	A_51_P261051	Embryo:3.63736556550259	Embryo:2.30672373053173e-07
Gm9885	predicted gene 9885	A_52_P478444	Embryo:3.56205744881522	Embryo:0.00289254850964129
St18	suppression of tumorigenicity 18	A_51_P308279	Embryo:3.51783750120321	Embryo:1.54341105806959e-06
Rtn4r	reticulon 4 receptor	A_51_P450888	Embryo:3.4972056500216	Embryo:2.9621191234529e-06
Adamts6	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6	A_51_P250597	Embryo:3.47307288377506	Embryo:0.00303634276025237
4922502B01Rik	RIKEN cDNA 4922502B01 gene	A_51_P400160	Embryo:3.42803181988582	Embryo:1.14130916639843e-05
Wdr17	WD repeat domain 17	A_51_P306308	Embryo:3.35906341425251	Embryo:7.57743481002517e-05
Epha3	Eph receptor A3	A_52_P276955	Embryo:3.35303342810707	Embryo:0.000335903327767908
Satb2	special AT-rich sequence binding protein 2	A_52_P536927	Embryo:3.33993170061665	Embryo:2.64169564087992e-07
Elovl4	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	A_51_P234881	Embryo:3.320162684835	Embryo:0.000105853148859775
Megf10	multiple EGF-like-domains 10	A_51_P514070	Embryo:3.31604196283366	Embryo:0.00476976881920777
Pou3f3	POU domain, class 3, transcription factor 3	A_52_P1008476	Embryo:3.30389114559825	Embryo:8.16768172416523e-05
Emx2	empty spiracles homolog 2 (Drosophila)	A_52_P455251	Embryo:3.26910834788177	Embryo:0.00011428598036553
Amph	amphiphysin	A_51_P423518	Embryo:3.25310707416525	Embryo:0.000249998209912186
Gm10664	predicted gene 10664	A_52_P1037027	Embryo:3.24723125798646	Embryo:0.0192943007775459
Tub	tubby candidate gene	A_51_P262238	Embryo:3.22927471167249	Embryo:0.000319180078488281
Spsb4	splA/ryanodine receptor domain and SOCS box containing 4	A_52_P659312	Embryo:3.20616460713162	Embryo:0.00196480568927312
Riiad1	regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1	A_51_P183213	Embryo:3.17892205080847	Embryo:0.000611971698850022
Sgip1	SH3-domain GRB2-like (endophilin) interacting protein 1	A_51_P328951	Embryo:3.15971829413586	Embryo:0.00187823717429673
Sh3rf3	SH3 domain containing ring finger 3	A_52_P95759	Embryo:3.13732103591677	Embryo:1.32590428258688e-07
3110039M20Rik	RIKEN cDNA 3110039M20 gene	A_52_P571537	Embryo:3.12995473469501	Embryo:2.41178699454837e-08
Chgb	chromogranin B	A_51_P191669	Embryo:3.10826409301596	Embryo:0.00150501419193897
Adamts8	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8	A_52_P509020	Embryo:3.07963475472197	Embryo:0.00482118793144649
Celf2	CUGBP, Elav-like family member 2	A_52_P478051	Embryo:3.06957992905395	Embryo:0.00308020453796546
A330049M08Rik	RIKEN cDNA A330049M08 gene	A_51_P496795	Embryo:3.06871751833272	Embryo:0.00338369059499235
Dio3	deiodinase, iodothyronine type III	A_52_P648524	Embryo:3.05857293898053	Embryo:2.02668336269659e-08
Emx1	empty spiracles homolog 1 (Drosophila)	A_51_P422257	Embryo:3.04809548755115	Embryo:1.46890698579223e-08
Rhbdl3	rhomboid, veinlet-like 3 (Drosophila)	A_51_P267877	Embryo:2.99726544741926	Embryo:7.21457794185069e-07
Resp18	regulated endocrine-specific protein 18	A_51_P178083	Embryo:2.99077532882604	Embryo:0.00357715581556435
Odz4	odd Oz/ten-m homolog 4 (Drosophila)	A_52_P144368	Embryo:2.98246341947297	Embryo:2.0829787639131e-06
Tcfap2c	transcription factor AP-2, gamma	A_51_P418820	Embryo:2.96392358997579	Embryo:2.67467424862372e-05
Oprl1	opioid receptor-like 1	A_52_P99678	Embryo:2.91456047834926	Embryo:0.000937169048493833
Otx2	orthodenticle homolog 2 (Drosophila)	A_52_P49080	Embryo:2.89888591491879	Embryo:0.000257286568818678
Sema5b	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	A_52_P385824	Embryo:2.87948102355462	Embryo:8.22209984917166e-05
Dtx1	deltex 1 homolog (Drosophila)	A_51_P202050	Embryo:2.87857649765114	Embryo:1.26989745814016e-06
Rtn1	reticulon 1	A_52_P424959	Embryo:2.87793460749351	Embryo:0.00182064664951272
Igfbp2	insulin-like growth factor binding protein 2	A_51_P423308	Embryo:2.86826949322377	Embryo:1.81896272535518e-07
A330084C13Rik	RIKEN cDNA A330084C13 gene	A_52_P747383	Embryo:2.85140517861245	Embryo:0.0168676032561865
Cyfip2	cytoplasmic FMR1 interacting protein 2	A_52_P359745	Embryo:2.84274339101073	Embryo:2.78294063070329e-08
Ppm1e	protein phosphatase 1E (PP2C domain containing)	A_52_P607683	Embryo:2.84040050327706	Embryo:1.68708864524354e-06
Wfdc1	WAP four-disulfide core domain 1	A_51_P194498	Embryo:2.8200671455418	Embryo:1.6711130098009e-08
Pcdhac2	protocadherin alpha subfamily C, 2	A_52_P404535	Embryo:2.81669941660931	Embryo:0.000968525988313789
Neurog2	neurogenin 2	A_51_P370615	Embryo:2.81160118269594	Embryo:1.07609141798193e-06
Galntl1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1	A_52_P94830	Embryo:2.80285238562784	Embryo:0.000696719419539472
Higd1b	HIG1 domain family, member 1B	A_52_P303343	Embryo:2.79965321351923	Embryo:1.60068671720694e-05
Sult4a1	sulfotransferase family 4A, member 1	A_52_P562676	Embryo:2.7993216713279	Embryo:6.94336319450876e-10
2010107G23Rik	RIKEN cDNA 2010107G23 gene	A_51_P308029	Embryo:2.77958890979764	Embryo:0.000548250326464065
Lhx5	LIM homeobox protein 5	A_51_P403564	Embryo:2.77471827782044	Embryo:0.00205629983793273
Slc10a4	solute carrier family 10 (sodium/bile acid cotransporter family), member 4	A_51_P448479	Embryo:2.7698953165236	Embryo:0.00182631206207543
Apba2	amyloid beta (A4) precursor protein-binding, family A, member 2	A_51_P173858	Embryo:2.75184210610289	Embryo:0.00364492362573987
Trerf1	transcriptional regulating factor 1	A_52_P457967	Embryo:2.7504891926707	Embryo:2.27142376816019e-07
Tmem163	transmembrane protein 163	A_52_P30328	Embryo:2.7386763029224	Embryo:0.0104048483389164
6330415B21Rik	RIKEN cDNA 6330415B21 gene	A_51_P280040	Embryo:2.73624526202732	Embryo:0.00337078947069809
Tox3	TOX high mobility group box family member 3	A_51_P465082	Embryo:2.73534749653866	Embryo:6.28616522440433e-08
Gm9804	predicted gene 9804	A_52_P843948	Embryo:2.685224022686	Embryo:0.00154638528893261
Unc79	unc-79 homolog (C. elegans)	A_51_P454422	Embryo:2.66821114190408	Embryo:3.94898120739044e-06
Scgb3a1	secretoglobin, family 3A, member 1	A_51_P110341	Embryo:2.6624284372422	Embryo:1.63250674411264e-07
Celf6	CUGBP, Elav-like family member 6	A_52_P459143	Embryo:2.65241454149773	Embryo:0.000313288912665046
Blcap	bladder cancer associated protein homolog (human)	A_52_P386754	Embryo:2.64561439863378	Embryo:0.00137833077245378
Cdh10	cadherin 10	A_52_P544810	Embryo:2.63792129680592	Embryo:0.00436136785239948
Myt1l	myelin transcription factor 1-like	A_51_P113518	Embryo:2.63431004976246	Embryo:0.00419499675635992
Ddr1	discoidin domain receptor family, member 1	A_51_P161582	Embryo:2.62882751962526	Embryo:0.000439053742508845
Serinc2	serine incorporator 2	A_51_P325318	Embryo:2.60669016508893	Embryo:4.02752986495688e-06
D430019H16Rik	RIKEN cDNA D430019H16 gene	A_52_P97699	Embryo:2.60160251699174	Embryo:1.52194047821095e-06
Dlx6os1	Dlx6 opposite strand transcript 1	A_52_P231012	Embryo:2.58932233151418	Embryo:0.000125803764992003
Cnih2	cornichon homolog 2 (Drosophila)	A_51_P204801	Embryo:2.58687410731594	Embryo:3.35911863263036e-08
Mpped2	metallophosphoesterase domain containing 2	A_51_P135416	Embryo:2.58631412865161	Embryo:3.74619064103912e-06
Laptm5	lysosomal-associated protein transmembrane 5	A_51_P401668	Embryo:2.58400038488377	Embryo:1.4154539703334e-05
Aqp5	aquaporin 5	A_51_P207601	Embryo:2.5801925498553	Embryo:3.62971317993088e-06
4930442E04Rik	RIKEN cDNA 4930442E04 gene	A_51_P331098	Embryo:2.57537768169033	Embryo:0.00172679271146255
S1pr5	sphingosine-1-phosphate receptor 5	A_51_P480169	Embryo:2.57023064632678	Embryo:0.00198137696205731
Pak3	p21 protein (Cdc42/Rac)-activated kinase 3	A_51_P218345	Embryo:2.56900666192177	Embryo:9.64897148273282e-07
Zfp811	zinc finger protein 811	A_52_P632601	Embryo:2.56384118660023	Embryo:0.000535125859755816
Gprin1	G protein-regulated inducer of neurite outgrowth 1	A_51_P357980	Embryo:2.5623598974454	Embryo:2.50574964253327e-05
Sox5	SRY-box containing gene 5	A_52_P33147	Embryo:2.5593376317263	Embryo:0.00314977218903355
Shd	src homology 2 domain-containing transforming protein D	A_51_P374818	Embryo:2.55204359529823	Embryo:1.85328218042441e-06
Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	A_52_P336171	Embryo:2.55034386987373	Embryo:0.00404083830947495
Trim2	tripartite motif-containing 2	A_51_P196596	Embryo:2.53592485822265	Embryo:2.25704718106466e-05
Rassf9	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9	A_52_P596592	Embryo:2.52663793090447	Embryo:9.36438277122848e-06
Rab39b	RAB39B, member RAS oncogene family	A_51_P356620	Embryo:2.52272638824353	Embryo:0.000209069197891594
B3gnt4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	A_52_P112641	Embryo:2.51223143609528	Embryo:0.0098093582290346
Lypd6b	LY6/PLAUR domain containing 6B	A_51_P105068	Embryo:2.50897712794747	Embryo:0.00199661275754184
Elavl2	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	A_51_P134835	Embryo:2.50082814086632	Embryo:0.0012355533302193
1110017D15Rik	RIKEN cDNA 1110017D15 gene	A_51_P393567	Embryo:2.50057158084633	Embryo:6.44253118378146e-05
Wwc1	WW, C2 and coiled-coil domain containing 1	A_51_P479590	Embryo:2.48279393786051	Embryo:3.39865993608649e-05
Fam131b	family with sequence similarity 131, member B	A_51_P389216	Embryo:2.48183973998142	Embryo:0.00306942051560279
Arhgef7	Rho guanine nucleotide exchange factor (GEF7)	A_52_P26357	Embryo:2.47788574107767	Embryo:0.00283770225779802
Ptgfrn	prostaglandin F2 receptor negative regulator	A_51_P148060	Embryo:2.46650682419021	Embryo:3.2238317967347e-08
4933400F03Rik	RIKEN cDNA 4933400F03 gene	A_51_P488819	Embryo:2.45694214947072	Embryo:0.0153361786364291
AI836003	expressed sequence AI836003	A_51_P147024	Embryo:2.45519473612061	Embryo:0.000242723869822575
Dpysl5	dihydropyrimidinase-like 5	A_51_P130719	Embryo:2.44733392034627	Embryo:0.00218164510998356
Efs	embryonal Fyn-associated substrate	A_52_P586851	Embryo:2.430773513955	Embryo:0.00147361622573716
Lemd1	LEM domain containing 1	A_52_P517928	Embryo:2.4265937480772	Embryo:0.000337105367940696
Fam101a	family with sequence similarity 101, member A	A_51_P368285	Embryo:2.42349279948291	Embryo:0.000282613205202308
AI661453	expressed sequence AI661453	A_51_P290399	Embryo:2.42071522633613	Embryo:7.99376059307103e-10
Smarcd3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	A_51_P423880	Embryo:2.41651668357234	Embryo:1.9536007574534e-06
Vstm2a	V-set and transmembrane domain containing 2A	A_51_P466857	Embryo:2.41435749237752	Embryo:0.00394446107525985
Chga	chromogranin A	A_51_P358316	Embryo:2.40979353934459	Embryo:1.62486860369443e-05
Slc16a14	solute carrier family 16 (monocarboxylic acid transporters), member 14	A_52_P566129	Embryo:2.40661532527803	Embryo:0.0209055073586154
Ptgis	prostaglandin I2 (prostacyclin) synthase	A_51_P372819	Embryo:2.40133980063214	Embryo:1.74285085715212e-08
Crb2	crumbs homolog 2 (Drosophila)	A_51_P300618	Embryo:2.3973611647018	Embryo:9.81394194963672e-05
Jakmip1	janus kinase and microtubule interacting protein 1	A_52_P672834	Embryo:2.38468300874454	Embryo:0.000162893184634294
Syp	synaptophysin	A_51_P379428	Embryo:2.34996133490896	Embryo:0.000118699060903052
Cbln1	cerebellin 1 precursor protein	A_51_P307721	Embryo:2.34870934427625	Embryo:7.76389045783854e-06
Sez6	seizure related gene 6	A_52_P393607	Embryo:2.34416814155443	Embryo:6.30234830178366e-08
Sst	somatostatin	A_51_P262489	Embryo:2.32195717231533	Embryo:1.04156596116457e-08
Gdap1l1	ganglioside-induced differentiation-associated protein 1-like 1	A_51_P505803	Embryo:2.30021475256284	Embryo:1.04156596116457e-08
Dnajc6	DnaJ (Hsp40) homolog, subfamily C, member 6	A_51_P431885	Embryo:2.29489309546219	Embryo:0.00550507247463102
Rab39	RAB39, member RAS oncogene family	A_51_P351217	Embryo:2.27852394006887	Embryo:9.21283431802359e-06
App	amyloid beta (A4) precursor protein	A_51_P318104	Embryo:2.26658377387039	Embryo:0.00960229694686029
Setbp1	SET binding protein 1	A_52_P230167	Embryo:2.24927717005869	Embryo:0.000238827624042175
Upk3a	uroplakin 3A	A_52_P461343	Embryo:2.24129787841096	Embryo:0.0373725764565203
Cx3cl1	chemokine (C-X3-C motif) ligand 1	A_51_P196925	Embryo:2.2393681461805	Embryo:2.61156089989124e-07
St8sia4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	A_52_P10090	Embryo:2.2335424718795	Embryo:0.000161789830529705
Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	A_51_P249302	Embryo:2.23256389077092	Embryo:0.00922568986700141
Hist3h2ba	histone cluster 3, H2ba	A_51_P338664	Embryo:2.22069683798655	Embryo:0.000547181295508386
Nkain1	Na+/K+ transporting ATPase interacting 1	A_52_P670978	Embryo:2.19931116538022	Embryo:5.87354202153447e-08
6230424C14Rik	RIKEN cDNA 6230424C14 gene	A_52_P601333	Embryo:2.19528231411997	Embryo:6.7686454870826e-05
Bend6	BEN domain containing 6	A_52_P629625	Embryo:2.19178196361851	Embryo:0.0178356127750326
Tubb2b	tubulin, beta 2B	A_51_P514256	Embryo:2.18772296635643	Embryo:0.00116965801501738
Efcab6	EF-hand calcium binding domain 6	A_51_P191726	Embryo:2.18634083937095	Embryo:3.19481403763101e-05
Chrnb2	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)	A_52_P222026	Embryo:2.18189709438904	Embryo:9.36438277122848e-06
Fam69c	family with sequence similarity 69, member C	A_52_P680839	Embryo:2.17411738907416	Embryo:0.0178356127750326
Plcl1	phospholipase C-like 1	A_52_P191567	Embryo:2.17168436226965	Embryo:0.00221890366636593
Gpr176	G protein-coupled receptor 176	A_52_P228551	Embryo:2.16615489474564	Embryo:0.0405212920169105
Katnal2	katanin p60 subunit A-like 2	A_51_P423354	Embryo:2.16388876243546	Embryo:0.00529778112643711
Lrrc16b	leucine rich repeat containing 16B	A_52_P328365	Embryo:2.15741681106173	Embryo:8.68958202450517e-05
Phactr1	phosphatase and actin regulator 1	A_52_P605517	Embryo:2.14957055356368	Embryo:8.92252428268484e-07
Tppp3	tubulin polymerization-promoting protein family member 3	A_51_P246924	Embryo:2.14720676886471	Embryo:2.99288578217084e-05
Ccdc85a	coiled-coil domain containing 85A	A_52_P288198	Embryo:2.14324095279829	Embryo:0.000500127401053415
N28178	expressed sequence N28178	A_52_P368192	Embryo:2.13506829855711	Embryo:0.0291155982107062
Igfbp7	insulin-like growth factor binding protein 7	A_51_P472292	Embryo:2.11382998355159	Embryo:2.29156232064558e-06
Stmn2	stathmin-like 2	A_51_P164998	Embryo:2.11168471342129	Embryo:4.53033580414664e-05
Cdk5r1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	A_52_P371129	Embryo:2.10953156162377	Embryo:3.84588104784896e-05
Lrfn2	leucine rich repeat and fibronectin type III domain containing 2	A_51_P229498	Embryo:2.10937755295989	Embryo:0.0142949630362855
Cntnap4	contactin associated protein-like 4	A_51_P268617	Embryo:2.10502957772796	Embryo:9.6356863685828e-07
Accn2	amiloride-sensitive cation channel 2, neuronal	A_52_P209832	Embryo:2.10173945265911	Embryo:9.09250418279465e-05
Rprm	reprimo, TP53 dependent G2 arrest mediator candidate	A_52_P627967	Embryo:2.10111282064655	Embryo:0.0238403283250106
Gpm6a	glycoprotein m6a	A_52_P566681	Embryo:2.09337520779943	Embryo:0.0361842989079355
Syn2	synapsin II	A_51_P396325	Embryo:2.07850769464308	Embryo:0.000298301608736158
Fgf11	fibroblast growth factor 11	A_52_P454815	Embryo:2.06790662754914	Embryo:7.64571523625644e-09
Mast1	microtubule associated serine/threonine kinase 1	A_51_P196113	Embryo:2.06114131300697	Embryo:6.47734991135374e-08
March4	membrane-associated ring finger (C3HC4) 4	A_52_P301261	Embryo:2.06038555053696	Embryo:0.0345176173765978
6430598A04Rik	RIKEN cDNA 6430598A04 gene	A_52_P279579	Embryo:2.05278387892042	Embryo:1.09602829064946e-05
BC005764	cDNA sequence BC005764	A_51_P186178	Embryo:2.04998083485661	Embryo:1.64986494251958e-07
Cdc42	cell division cycle 42 homolog (S. cerevisiae)	A_52_P259214	Embryo:2.04737020759447	Embryo:1.92857267778343e-05
Sema7a	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A	A_52_P410765	Embryo:2.04306263673557	Embryo:1.62140272181437e-07
Fzd1	frizzled homolog 1 (Drosophila)	A_52_P597634	Embryo:2.04176527583297	Embryo:5.1715807534177e-08
Mpp3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	A_51_P497039	Embryo:2.03962864086064	Embryo:0.00697112641904376
Gcg	glucagon	A_51_P406253	Embryo:2.03876043245949	Embryo:0.00849750430152713
Cacnb4	calcium channel, voltage-dependent, beta 4 subunit	A_52_P16482	Embryo:2.0302226853088	Embryo:0.00697112641904376
Gsx2	GS homeobox 2	A_51_P520468	Embryo:2.0297090628952	Embryo:0.000917808701819586
A030001D20Rik	RIKEN cDNA A030001D20 gene	A_52_P209578	Embryo:2.02807308699276	Embryo:0.0069032470962966
Srcin1	SRC kinase signaling inhibitor 1	A_52_P155100	Embryo:2.01966470297376	Embryo:1.41365414681434e-06
Rassf8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	A_52_P48767	Embryo:2.01877830387041	Embryo:0.0115839512182243
9430012M22Rik	RIKEN cDNA 9430012M22 gene	A_52_P914995	Embryo:2.01323481946492	Embryo:0.00824144382860994
Zfp238	zinc finger protein 238	A_51_P388042	Embryo:2.01284259878598	Embryo:1.04156596116457e-08
Syne1	synaptic nuclear envelope 1	A_52_P453864	Embryo:2.00309411592476	Embryo:0.00254478623985965
Tspyl4	TSPY-like 4	A_51_P257675	Embryo:1.9982834742711	Embryo:0.00211969660084603
Camk2b	calcium/calmodulin-dependent protein kinase II, beta	A_51_P318933	Embryo:1.98849515928706	Embryo:5.91691395560131e-05
Dkk3	dickkopf homolog 3 (Xenopus laevis)	A_52_P220176	Embryo:1.98844142073192	Embryo:0.00730859994757488
Necab3	N-terminal EF-hand calcium binding protein 3	A_51_P269103	Embryo:1.98113066177106	Embryo:7.53335666708241e-05
Fam183b	family with sequence similarity 183, member B	A_51_P278464	Embryo:1.9804497038531	Embryo:0.0476179906984401
Podxl2	podocalyxin-like 2	A_51_P189405	Embryo:1.97639726574985	Embryo:6.92500557309796e-05
Rai14	retinoic acid induced 14	A_52_P385229	Embryo:1.97435809507758	Embryo:0.0152459444559765
Rab9b	RAB9B, member RAS oncogene family	A_51_P386069	Embryo:1.96857798354558	Embryo:0.00121858053535792
Ctnnd2	catenin (cadherin associated protein), delta 2	A_51_P190249	Embryo:1.9540907249336	Embryo:0.0266138135152154
Lcp1	lymphocyte cytosolic protein 1	A_51_P275302	Embryo:1.94065197217469	Embryo:0.00142966322217912
5730559C18Rik	RIKEN cDNA 5730559C18 gene	A_51_P294375	Embryo:1.92601031273929	Embryo:0.0416331126390093
Gm16489	predicted gene 16489	A_51_P402974	Embryo:1.92376431825795	Embryo:0.0176595954063383
Fmn2	formin 2	A_51_P253310	Embryo:1.92286324685804	Embryo:0.0129708821557825
Nrxn3	neurexin III	A_52_P39644	Embryo:1.91977512810065	Embryo:0.0105140347011028
Elavl1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	A_52_P429534	Embryo:1.91918905126239	Embryo:2.63745233127724e-08
Kif3c	kinesin family member 3C	A_51_P449507	Embryo:1.91699307335587	Embryo:0.00102816741964851
Rab15	RAB15, member RAS oncogene family	A_51_P419117	Embryo:1.91646859185667	Embryo:1.41010397186176e-05
Gas6	growth arrest specific 6	A_51_P172054	Embryo:1.91622015940326	Embryo:1.08206635869088e-06
Gpc2	glypican 2 (cerebroglycan)	A_51_P185627	Embryo:1.91021599126364	Embryo:0.000674432611653661
Lrp3	low density lipoprotein receptor-related protein 3	A_52_P178866	Embryo:1.90895725206709	Embryo:9.30333035442202e-05
Tubb3	tubulin, beta 3	A_51_P381381	Embryo:1.90481678649442	Embryo:1.08080469267088e-10
4833419E13Rik	RIKEN cDNA 4833419E13 gene	A_51_P431179	Embryo:1.9033870841998	Embryo:0.00158626524516192
Nrxn2	neurexin II	A_51_P431831	Embryo:1.89683185257661	Embryo:0.000437959634677809
Mrgpre	MAS-related GPR, member E	A_51_P392429	Embryo:1.89476652999074	Embryo:0.00366090023101561
Mapk4	mitogen-activated protein kinase 4	A_51_P245895	Embryo:1.88304789718713	Embryo:0.0236194302470258
Vstm2l	V-set and transmembrane domain containing 2-like	A_52_P670172	Embryo:1.87713933367942	Embryo:4.81766062120748e-06
Nsg1	neuron specific gene family member 1	A_52_P467726	Embryo:1.87707191754456	Embryo:0.000380510846638936
4930538E20Rik	RIKEN cDNA 4930538E20 gene	A_52_P375854	Embryo:1.8727476169968	Embryo:0.037804249761792
Zmynd10	zinc finger, MYND domain containing 10	A_51_P392967	Embryo:1.86488171460137	Embryo:0.0090516674249023
BC028528	cDNA sequence BC028528	A_51_P174407	Embryo:1.86245835534627	Embryo:2.35933744220157e-07
Gm9767	predicted gene 9767	A_51_P247496	Embryo:1.85638801844964	Embryo:0.0245742957368207
Grk5	G protein-coupled receptor kinase 5	A_51_P511081	Embryo:1.84206024652757	Embryo:5.72365738566443e-08
Syt16	synaptotagmin XVI	A_51_P122867	Embryo:1.83944449951763	Embryo:0.0323943487893813
Lrrc15	leucine rich repeat containing 15	A_52_P90805	Embryo:1.83638312425377	Embryo:0.00352343428552739
