Pathway	Signifcance	Gene	Fold change	Description	Category 1
Alanine and aspartate metabolism	0.00318	CAD	-1.84	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Pathways with signiWcantly down-regulated genes
Alanine and aspartate metabolism	0.00318	AARS	-1.78	Alanyl-tRNA synthetase	Pathways with signiWcantly down-regulated genes
Alanine and aspartate metabolism	0.00318	GOT1	-1.74	Glutamic-oxaloacetic transaminase 1, soluble (aspartate arninotransferase 1)	Pathways with signiWcantly down-regulated genes
Pyrimidine metabolism	0.00481	TYMS	-4.27	Thymidylate synthetase	Pathways with signiWcantly down-regulated genes
Pyrimidine metabolism	0.00481	TK1	-3.16	Thymidine kinase 1	Pathways with signiWcantly down-regulated genes
Pyrimidine metabolism	0.00481	RRM2	-2.59	Ribonucleotide reductase M2 polypeptide	Pathways with signiWcantly down-regulated genes
Pyrimidine metabolism	0.00481	CAD	-1.84	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Pathways with signiWcantly down-regulated genes
Pyrimidine metabolism	0.00481	CTPS	-1.79	CTP synthase	Pathways with signiWcantly down-regulated genes
Pyrimidine metabolism	0.00481	NME4	-1.62	Expressed in non-metastatic cells 4, protein	Pathways with signiWcantly down-regulated genes
Pyrimidine metabolism	0.00481	UMPK	-1.57	Uridine monophosphate kinase	Pathways with signiWcantly down-regulated genes
Pyrimidine metabolism	0.00481	DPYD	-1.56	Dihydropyrimidine dehydrogenase	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	ACTA2	-4.06	Actin,  2, smooth muscle, aorta	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	ACTA1	-2.39	Actin,  1, skeletal muscle	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	ACTN4	-2.14	Actinin,  4	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	CAV1	-2.09	Caveolin 1, caveolae protein, 22 kDa	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	MYLK	-2.08	Myosin, light polypeptide kinase	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	COL1A2	-1.97	Procollagen, type I,  2	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	LAMC1	-1.91	Laminin, 1	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	ITGA6	-1.71	Integrin, 6	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	ACTN1	-1.69	Actinin, 1	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	PARVB	-1.67	Parvin, 	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	TLN1	-1.64	Talin	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	FN1	-1.59	Fibronectin 1	Pathways with signiWcantly down-regulated genes
Integrin signaling	0.00632	ACTB	-1.5	Actin, 	Pathways with signiWcantly down-regulated genes
Arginine and proline metabolism	0.00841	ALDH1A1	-4.03	Aldehyde dehydrogenase family 1, member A1	Pathways with signiWcantly down-regulated genes
Arginine and proline metabolism	0.00841	EPRS	-2.46	Glutamyl-prolyl-tRNA synthetase	Pathways with signiWcantly down-regulated genes
Arginine and proline metabolism	0.00841	ALDH7A1	-2.25	Aldehyde dehydrogenase 7 family, member A1	Pathways with signiWcantly down-regulated genes
Arginine and proline metabolism	0.00841	PYCR1	-2.1	Pyrroline-5-carboxylate reductase 1	Pathways with signiWcantly down-regulated genes
Arginine and proline metabolism	0.00841	GOT1	-1.74	Glutamic-oxaloacetic transaminase 1, soluble (aspartate arninotransferase 1)	Pathways with signiWcantly down-regulated genes
Arginine and proline metabolism	0.00841	ODC1	-1.53	Ornithine decarboxylase 1	Pathways with signiWcantly down-regulated genes
Glutamate metabolism	0.0102	EPRS	-2.46	Glutamyl-prolyl-tRNA synthetase	Pathways with signiWcantly down-regulated genes
Glutamate metabolism	0.0102	GLS	-1.88	Glutaminase	Pathways with signiWcantly down-regulated genes
Glutamate metabolism	0.0102	CAD	-1.84	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Pathways with signiWcantly down-regulated genes
Glutamate metabolism	0.0102	GOT1	-1.74	Glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	Pathways with signiWcantly down-regulated genes
Cell cycle: G2/M DNA damage checkpoint regulation	0.0197	TOP2A	-4.15	Topoisomerase (DNA) II  170 kDa	Pathways with signiWcantly down-regulated genes
Cell cycle: G2/M DNA damage checkpoint regulation	0.0197	GADD45A	-2.87	Growth arrest and DNA-damage-inducible, 	Pathways with signiWcantly down-regulated genes
Cell cycle: G2/M DNA damage checkpoint regulation	0.0197	CCNB1	-2.62	Cyclin B1	Pathways with signiWcantly down-regulated genes
Cell cycle: G2/M DNA damage checkpoint regulation	0.0197	CCNB2	-2.61	Cyclin B2	Pathways with signiWcantly down-regulated genes
Cell cycle: G2/M DNA damage checkpoint regulation	0.0197	PLK1	-1.52	Polo-like kinase 1 (Drosophila)	Pathways with signiWcantly down-regulated genes
Histidine metabolism	0.0498	ALDH1A1	-4.03	Aldehyde dehydrogenase family 1, member A1	Pathways with signiWcantly down-regulated genes
Histidine metabolism	0.0498	ALDH7A1	-2.25	Aldehyde dehydrogenase 7 family, member A1	Pathways with signiWcantly down-regulated genes
Histidine metabolism	0.0498	ALDH3B1	-1.52	Aldehyde dehydrogenase 3 family, member B1	Pathways with signiWcantly down-regulated genes
