Fold Change	unadjusted p-value	ID	Symbol	Gene Description	Location	Type(s)
1.427	9.04E-03	AA680288	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	Plasma Membrane	kinase
-1.299	4.79E-02	AA453787	BRF1	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	Nucleus	transcription regulator
-1.181	7.55E-03	R39563	C10ORF10	chromosome 10 open reading frame 10	Cytoplasm	other
-1.166	3.91E-02	AA464711	C3AR1	complement component 3a receptor 1	Plasma Membrane	G-protein coupled receptor
-1.455	9.65E-03	AI360334	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Cytoplasm	enzyme
1.735	4.72E-03	AA447737	CALD1	caldesmon 1	Cytoplasm	other
-1.316	1.24E-02	N29857	CARD17	caspase recruitment domain family, member 17	Unknown	other
1.289	7.34E-04	H15685	CAT	catalase	Cytoplasm	enzyme
1.443	1.95E-02	W73427	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	Nucleus	transcription regulator
1.333	1.54E-02	R17682	CCDC88A	coiled-coil domain containing 88A	Cytoplasm	other
-1.188	2.65E-02	AA040170	CCL7	chemokine (C-C motif) ligand 7	Extracellular Space	cytokine
-1.271	1.12E-02	AA453231	CCNC	cyclin C	Nucleus	other
-1.57	6.68E-03	AA487700	CCND1	cyclin D1	Nucleus	other
-1.395	2.33E-02	AI340905	CCND3	cyclin D3	Nucleus	other
-1.344	2.30E-02	T90767	CCNT1	cyclin T1	Nucleus	transcription regulator
-1.258	6.38E-03	AI131555	CCRL1	chemokine (C-C motif) receptor-like 1	Plasma Membrane	G-protein coupled receptor
1.264	4.61E-02	N38959	CCT2	chaperonin containing TCP1, subunit 2 (beta)	Cytoplasm	kinase
1.373	6.17E-03	AI356451	CD19	CD19 molecule	Plasma Membrane	other
-1.215	2.14E-02	R45026	CD27	CD27 molecule	Plasma Membrane	transmembrane receptor
1.295	4.41E-03	AA398285	CD2AP	CD2-associated protein	Cytoplasm	other
1.31	4.27E-02	H72113	CD34	CD34 molecule	Plasma Membrane	other
-1.31	3.48E-02	W45275	CD44	CD44 molecule (Indian blood group)	Plasma Membrane	other
-1.182	3.52E-02	AA897735	CD53	CD53 molecule	Plasma Membrane	other
-1.379	6.99E-03	H60549	CD59	CD59 molecule, complement regulatory protein	Plasma Membrane	other
-1.602	3.50E-03	AA983817	CD80	CD80 molecule	Plasma Membrane	transmembrane receptor
-1.487	3.00E-02	AI651871	CD97	CD97 molecule	Plasma Membrane	G-protein coupled receptor
-1.333	4.83E-02	T81764	CDC27	cell division cycle 27 homolog (S. cerevisiae)	Nucleus	other
-1.305	4.35E-02	N62726	CDC42SE1	CDC42 small effector 1	Plasma Membrane	other
1.23	1.73E-02	AA460466	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	Nucleus	kinase
1.461	7.33E-03	AA969125	CDK9	cyclin-dependent kinase 9	Nucleus	kinase
1.406	1.89E-02	AI204636	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Nucleus	transcription regulator
-1.424	1.83E-02	H02839	CHD4	chromodomain helicase DNA binding protein 4	Nucleus	enzyme
-1.149	1.54E-02	AA286905	CHFR	checkpoint with forkhead and ring finger domains	Nucleus	enzyme
-1.271	4.05E-02	AA464245	CHMP4B	chromatin modifying protein 4B	Cytoplasm	other
-1.199	1.36E-02	AA676889	CHMP7	CHMP family, member 7	Unknown	transporter
-1.626	1.78E-02	AI675394	CLCA2 (includes EG:9635)	chloride channel accessory 2	Plasma Membrane	ion channel
-1.315	6.26E-03	AA430665	CLDN4	claudin 4	Plasma Membrane	transmembrane receptor
1.161	3.51E-02	AA868722	CLIP1	CAP-GLY domain containing linker protein 1	Cytoplasm	other
-1.33	4.06E-02	AA857804	CLSPN	claspin homolog (Xenopus laevis)	Nucleus	other
-1.304	4.14E-02	AA399519	CNN1	calponin 1, basic, smooth muscle	Cytoplasm	other
-1.285	1.81E-02	T81091	COPA	coatomer protein complex, subunit alpha	Cytoplasm	transporter
1.402	6.46E-03	H12320	CREB1	cAMP responsive element binding protein 1	Nucleus	transcription regulator
-1.292	2.68E-02	N66138	CREB5	cAMP responsive element binding protein 5	Nucleus	transcription regulator
1.206	4.03E-02	AA996063	CRIP2	cysteine-rich protein 2	Plasma Membrane	other
1.287	4.47E-02	AI074784	CSF3	colony stimulating factor 3 (granulocyte)	Extracellular Space	cytokine
-1.319	3.32E-02	AA994790	CSNK2B	casein kinase 2, beta polypeptide	Cytoplasm	kinase
1.24	4.84E-02	R53652	CSPG4	chondroitin sulfate proteoglycan 4	Plasma Membrane	other
1.246	3.49E-02	AA478268	CTBP1	C-terminal binding protein 1	Nucleus	enzyme
1.17	2.78E-02	W86518	CTBP2	C-terminal binding protein 2	Nucleus	transcription regulator
-1.288	3.68E-02	N57731	CHTF8	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)	Unknown	other
1.282	4.55E-03	R60044	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	Nucleus	transcription regulator
-1.741	8.07E-03	AI659564	CTTN	cortactin	Plasma Membrane	other
-1.387	3.98E-03	H95248	CUL4A	cullin 4A	Nucleus	other
-1.44	2.39E-02	R92281	CYB5A	cytochrome b5 type A (microsomal)	Cytoplasm	enzyme
1.231	2.13E-02	H73591	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	Cytoplasm	enzyme
-1.205	4.80E-02	H09818	CYFIP2 (includes EG:26999)	cytoplasmic FMR1 interacting protein 2	Cytoplasm	other
-1.18	2.14E-02	N53136	CYP2C8	cytochrome P450, family 2, subfamily C, polypeptide 8	Cytoplasm	enzyme
-1.569	1.38E-02	AA928708	CYP8B1	cytochrome P450, family 8, subfamily B, polypeptide 1	Cytoplasm	enzyme
-1.324	1.57E-02	AA709010	DAB2IP	DAB2 interacting protein	Plasma Membrane	other
-1.37	1.14E-02	AA291959	DCTN2	dynactin 2 (p50)	Cytoplasm	other
1.401	1.97E-02	AA148524	DDR2	discoidin domain receptor tyrosine kinase 2	Plasma Membrane	kinase
1.198	9.74E-03	R67340	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	Nucleus	transcription regulator
-1.452	9.98E-03	AA195378	DERL1	Der1-like domain family, member 1	Cytoplasm	other
-1.662	1.46E-02	AI652764	DHCR7	7-dehydrocholesterol reductase	Cytoplasm	enzyme
1.281	2.14E-03	AA864322	DIO2	deiodinase, iodothyronine, type II	Cytoplasm	enzyme
-1.378	1.23E-02	AI017052	DMAP1	DNA methyltransferase 1 associated protein 1	Nucleus	transcription regulator
1.666	3.68E-03	AA425649	DMD	dystrophin	Plasma Membrane	other
-1.236	2.14E-02	AA931781	DNASE1	deoxyribonuclease I	Extracellular Space	enzyme
-1.205	4.80E-02	AA142943	DOK1	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	Plasma Membrane	other
-1.283	2.56E-03	AI369867	DRD2	dopamine receptor D2	Plasma Membrane	G-protein coupled receptor
-1.612	2.90E-02	AA045253	DSG3	desmoglein 3 (pemphigus vulgaris antigen)	Plasma Membrane	other
1.532	2.17E-03	H22914	DST	dystonin	Plasma Membrane	other
-1.255	2.55E-02	AA620896	DTNBP1 (includes EG:84062)	dystrobrevin binding protein 1	Plasma Membrane	other
-1.291	3.31E-02	AA644679	DYNLL1	dynein, light chain, LC8-type 1	Cytoplasm	other
-1.547	1.86E-02	AA872296	EFTUD2	elongation factor Tu GTP binding domain containing 2	Nucleus	enzyme
-1.248	4.91E-02	R38436	EHMT1	euchromatic histone-lysine N-methyltransferase 1	Nucleus	transcription regulator
-1.378	2.33E-02	AA676471	EIF3B	eukaryotic translation initiation factor 3, subunit B	Cytoplasm	translation regulator
-1.294	2.21E-02	AA668703	EIF3G	eukaryotic translation initiation factor 3, subunit G	Cytoplasm	translation regulator
-1.649	8.34E-04	AI369144	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	Cytoplasm	translation regulator
-1.403	1.11E-02	R37276	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	Cytoplasm	translation regulator
-1.453	2.02E-02	H99842	EIF5A	eukaryotic translation initiation factor 5A	Cytoplasm	translation regulator
1.24	4.81E-02	AA995403	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)	Cytoplasm	other
-1.232	1.97E-02	T88721	EMP2	epithelial membrane protein 2	Plasma Membrane	other
2.063	1.39E-02	AI198289	ENAH	enabled homolog (Drosophila)	Cytoplasm	other
-1.199	4.02E-02	AA459697	EPC1	enhancer of polycomb homolog 1 (Drosophila)	Nucleus	transcription regulator
-1.246	3.86E-03	AI620493	EPO	erythropoietin	Extracellular Space	cytokine
-1.312	3.52E-02	AA664212	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	Plasma Membrane	kinase
1.222	1.14E-02	H22956	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	Plasma Membrane	kinase
-1.464	5.63E-03	AA926649	ERCC2	excision repair cross-complementing rodent repair deficiency, complementation group 2	Nucleus	enzyme
-1.227	4.37E-02	AA098896	ESRRA	estrogen-related receptor alpha	Nucleus	ligand-dependent nuclear receptor
1.289	4.24E-02	AA703000	EXO1	exonuclease 1	Nucleus	enzyme
-1.256	2.18E-02	AA487582	EXT1	exostoses (multiple) 1	Cytoplasm	enzyme
-1.293	3.83E-02	AI311734	FABP6	fatty acid binding protein 6, ileal	Cytoplasm	transporter
1.218	1.95E-02	AA029069	FADS1	fatty acid desaturase 1	Plasma Membrane	enzyme
-1.447	3.83E-02	H23106	FAM125B	family with sequence similarity 125, member B	Unknown	other
1.167	7.18E-03	AA704610	FAS	Fas (TNF receptor superfamily, member 6)	Plasma Membrane	transmembrane receptor
-1.271	4.08E-02	AI167634	FBXW2	F-box and WD repeat domain containing 2	Cytoplasm	enzyme
1.157	3.69E-02	AA251733	FBXW7	F-box and WD repeat domain containing 7	Nucleus	transcription regulator
-1.409	8.87E-04	AI055825	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23)	Plasma Membrane	other
1.262	1.16E-02	N22827	FDX1	ferredoxin 1	Cytoplasm	transporter
-1.325	5.08E-03	AA486238	FLNB	filamin B, beta	Cytoplasm	other
-1.318	4.03E-02	AI347556	FLT3LG	fms-related tyrosine kinase 3 ligand	Extracellular Space	cytokine
-1.235	3.35E-02	T54418	FOXO4	forkhead box O4	Nucleus	transcription regulator
-1.204	1.17E-02	AI018464	FOXP1	forkhead box P1	Nucleus	transcription regulator
-1.176	3.36E-02	AA425249	FPR1	formyl peptide receptor 1	Plasma Membrane	G-protein coupled receptor
-1.28	4.10E-02	AA417274	FSTL3	follistatin-like 3 (secreted glycoprotein)	Extracellular Space	other
-1.251	3.48E-02	W86214	FTH1	ferritin, heavy polypeptide 1	Cytoplasm	enzyme
-1.392	4.21E-02	AA779569	FUS	fusion (involved in t(12;16) in malignant liposarcoma)	Nucleus	transcription regulator
1.25	2.62E-03	AA159630	FYB	FYN binding protein (FYB-120/130)	Nucleus	other
-1.517	4.75E-03	AA457725	GABARAP	GABA(A) receptor-associated protein	Cytoplasm	transporter
1.397	3.58E-02	AA497016	GABPA	GA binding protein transcription factor, alpha subunit 60kDa	Nucleus	transcription regulator
1.182	3.20E-02	AA404666	GADD45B	growth arrest and DNA-damage-inducible, beta	Cytoplasm	other
1.148	4.86E-02	AA443967	GATA4	GATA binding protein 4	Nucleus	transcription regulator
-1.247	1.34E-02	AA450062	GDF15	growth differentiation factor 15	Extracellular Space	growth factor
1.199	3.57E-02	AA776455	GEMIN5 (includes EG:25929)	gem (nuclear organelle) associated protein 5	Nucleus	other
-1.473	7.53E-03	AA936135	GEMIN7	gem (nuclear organelle) associated protein 7	Nucleus	other
1.54	5.97E-03	AA099542	GJC1	gap junction protein, gamma 1, 45kDa	Plasma Membrane	transporter
-1.202	4.85E-02	AA878899	GLB1	galactosidase, beta 1	Cytoplasm	enzyme
-1.2	1.77E-02	AA709323	GMEB1	glucocorticoid modulatory element binding protein 1	Nucleus	transcription regulator
1.326	3.73E-02	H51100	GMNN	geminin, DNA replication inhibitor	Nucleus	other
-1.33	1.03E-02	R96220	GNB2L1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	Cytoplasm	enzyme
-1.453	1.71E-02	AI208736	GOLGA3	golgi autoantigen, golgin subfamily a, 3	Cytoplasm	transporter
1.209	1.82E-02	AA005219	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	Cytoplasm	enzyme
-1.3	2.11E-02	AA401111	GPI	glucose phosphate isomerase	Extracellular Space	enzyme
1.265	4.81E-03	AA011383	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	Cytoplasm	enzyme
1.188	4.54E-02	AA865729	GPR143	G protein-coupled receptor 143	Plasma Membrane	G-protein coupled receptor
-1.259	1.60E-02	AA135289	GPX2	glutathione peroxidase 2 (gastrointestinal)	Cytoplasm	enzyme
-1.337	4.20E-02	AA455197	GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	Cytoplasm	enzyme
-1.288	1.80E-02	H53703	GRB7	growth factor receptor-bound protein 7	Plasma Membrane	other
-1.375	2.92E-04	AA490325	GTF2A1	general transcription factor IIA, 1, 19/37kDa	Cytoplasm	transcription regulator
1.281	2.22E-02	H23978	GTF2B	general transcription factor IIB	Nucleus	transcription regulator
-1.251	1.96E-02	N34827	GUSB	glucuronidase, beta	Cytoplasm	enzyme
-1.301	2.68E-03	AA931043	HAGH	hydroxyacylglutathione hydrolase	Cytoplasm	enzyme
-1.319	1.33E-02	AA465353	HDAC1	histone deacetylase 1	Nucleus	transcription regulator
1.238	4.22E-02	AA629911	HDAC9 (includes EG:9734)	histone deacetylase 9	Nucleus	transcription regulator
-1.649	1.96E-02	AA936181	HJURP	Holliday junction recognition protein	Nucleus	other
-1.313	3.97E-02	AA044662	HMG20B	high-mobility group 20B	Nucleus	transcription regulator
1.224	4.40E-02	AA279533	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	Cytoplasm	enzyme
1.298	1.07E-02	R10284	HMMR	hyaluronan-mediated motility receptor (RHAMM)	Plasma Membrane	other
-1.586	1.89E-03	AI301528	HNF4A	hepatocyte nuclear factor 4, alpha	Nucleus	transcription regulator
-1.398	2.62E-04	AA173290	HOXA1	homeobox A1	Nucleus	transcription regulator
-1.305	1.41E-02	AA610066	HOXB6	homeobox B6	Nucleus	transcription regulator
-1.168	2.88E-02	AA598758	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	Cytoplasm	other
-1.424	1.99E-02	AA629567	HSPA8	heat shock 70kDa protein 8	Cytoplasm	enzyme
-1.491	1.21E-02	AI245337	HSPB2	heat shock 27kDa protein 2	Cytoplasm	other
-1.313	1.71E-02	AA485036	HSPH1	heat shock 105kDa/110kDa protein 1	Cytoplasm	other
1.271	4.33E-02	N73731	HUWE1	HECT, UBA and WWE domain containing 1	Nucleus	transcription regulator
-1.279	2.53E-02	AA453909	HYAL2	hyaluronoglucosaminidase 2	Cytoplasm	enzyme
-1.231	3.06E-02	AA478647	ICAM3	intercellular adhesion molecule 3	Plasma Membrane	other
-1.367	2.61E-02	AA480815	IER3	immediate early response 3	Cytoplasm	other
1.213	6.06E-03	AA157813	IFI27	interferon, alpha-inducible protein 27	Cytoplasm	other
-1.221	3.75E-02	AA827287	IFI35	interferon-induced protein 35	Nucleus	other
-1.216	3.35E-02	AA448929	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	Plasma Membrane	transmembrane receptor
-1.62	6.63E-03	H79047	IGFBP2	insulin-like growth factor binding protein 2, 36kDa	Extracellular Space	other
-1.31	3.91E-02	AA972364	IGSF8	immunoglobulin superfamily, member 8	Plasma Membrane	other
-1.238	3.96E-02	AI148233	IL11	interleukin 11	Extracellular Space	cytokine
-1.479	4.65E-02	AI304577	IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	Extracellular Space	cytokine
-1.428	2.65E-02	AI129421	IL18	interleukin 18 (interferon-gamma-inducing factor)	Extracellular Space	cytokine
-1.382	2.93E-02	H78484	IL1R2	interleukin 1 receptor, type II	Plasma Membrane	transmembrane receptor
-1.701	5.84E-03	AA932515	IL22RA2	interleukin 22 receptor, alpha 2	Plasma Membrane	transmembrane receptor
-1.558	3.35E-03	AA418747	IL23A	interleukin 23, alpha subunit p19	Extracellular Space	cytokine
-1.355	2.40E-03	AI539460	IL7	interleukin 7	Extracellular Space	cytokine
1.39	1.13E-02	AI283230	INHBA	inhibin, beta A	Extracellular Space	growth factor
-1.273	1.74E-02	AA431428	INHBB	inhibin, beta B	Extracellular Space	growth factor
-1.493	1.62E-02	AI095130	INO80	INO80 homolog (S. cerevisiae)	Unknown	enzyme
-1.292	3.54E-02	AA683550	IRAK1	interleukin-1 receptor-associated kinase 1	Plasma Membrane	kinase
-1.201	1.33E-02	AI630967	IRAK3	interleukin-1 receptor-associated kinase 3	Extracellular Space	kinase
1.368	3.94E-02	AA825491	IRF4	interferon regulatory factor 4	Nucleus	transcription regulator
-1.373	3.52E-02	AI149992	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	Plasma Membrane	other
-1.186	4.87E-02	AI309439	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	Plasma Membrane	other
-1.375	9.07E-03	AA434397	ITGB5	integrin, beta 5	Plasma Membrane	other
1.574	2.20E-02	AA215397	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	Cytoplasm	ion channel
-1.239	2.44E-02	AA701976	ITPR3	inositol 1,4,5-triphosphate receptor, type 3	Cytoplasm	ion channel
-1.23	1.96E-03	AI417983	IVL	involucrin	Cytoplasm	other
-1.307	3.54E-02	AA985527	JAK1	Janus kinase 1	Cytoplasm	kinase
-1.469	4.70E-02	AA490900	JAK3	Janus kinase 3	Cytoplasm	kinase
1.39	4.10E-02	T52320	JMJD1C	jumonji domain containing 1C	Unknown	other
-1.38	1.28E-02	N94468	JUNB	jun B proto-oncogene	Nucleus	transcription regulator
-1.36	2.50E-03	AA486374	KARS	lysyl-tRNA synthetase	Cytoplasm	enzyme
-1.399	2.59E-02	AI337108	KAT2B	K(lysine) acetyltransferase 2B	Nucleus	transcription regulator
1.513	3.38E-03	AA477501	KIF14	kinesin family member 14	Cytoplasm	other
1.331	2.19E-03	R20737	KIF20A	kinesin family member 20A	Cytoplasm	transporter
1.321	2.07E-02	AA706022	KRT1	keratin 1	Cytoplasm	other
-1.334	6.87E-03	H29077	LAMP1	lysosomal-associated membrane protein 1	Plasma Membrane	other
-1.369	1.39E-02	AI381029	LCAT	lecithin-cholesterol acyltransferase	Extracellular Space	enzyme
-1.354	2.72E-02	H50238	LIPE	lipase, hormone-sensitive	Cytoplasm	enzyme
1.314	2.63E-03	AA909763	LMO4	LIM domain only 4	Nucleus	transcription regulator
-1.211	2.54E-02	AI084413	LMTK2	lemur tyrosine kinase 2	Unknown	kinase
-1.54	1.33E-02	AA630320	LONP1	lon peptidase 1, mitochondrial	Cytoplasm	peptidase
-1.229	1.21E-02	AA875893	LRPPRC	leucine-rich PPR-motif containing	Cytoplasm	other
-1.197	3.07E-02	AA465366	LTA4H	leukotriene A4 hydrolase	Cytoplasm	enzyme
1.208	4.55E-02	AA774751	MAP2	microtubule-associated protein 2	Cytoplasm	other
-1.294	3.32E-02	AA829383	MAP2K3	mitogen-activated protein kinase kinase 3	Cytoplasm	kinase
-1.234	2.72E-02	AA293050	MAP2K4	mitogen-activated protein kinase kinase 4	Cytoplasm	kinase
-1.32	5.28E-03	AA250966	MAP2K5	mitogen-activated protein kinase kinase 5	Cytoplasm	kinase
-1.4	3.50E-02	H85962	MAP2K7	mitogen-activated protein kinase kinase 7	Cytoplasm	kinase
1.359	3.07E-02	AA165523	MAP3K1	mitogen-activated protein kinase kinase kinase 1	Cytoplasm	kinase
-1.207	3.46E-02	R80779	MAP3K11	mitogen-activated protein kinase kinase kinase 11	Cytoplasm	kinase
1.183	4.33E-02	H90855	MAP3K7	mitogen-activated protein kinase kinase kinase 7	Cytoplasm	kinase
1.35	2.92E-02	AA182847	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	Cytoplasm	kinase
-1.154	4.25E-02	W45690	MAPK1	mitogen-activated protein kinase 1	Cytoplasm	kinase
-1.576	4.33E-03	AI651009	MAPK12	mitogen-activated protein kinase 12	Cytoplasm	kinase
-1.279	4.51E-02	AI206407	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	Cytoplasm	other
1.254	3.08E-02	H17335	MAPT	microtubule-associated protein tau	Cytoplasm	other
1.282	4.85E-04	AA706982	MASP2	mannan-binding lectin serine peptidase 2	Extracellular Space	peptidase
-1.295	4.23E-03	AA428341	MBD2	methyl-CpG binding domain protein 2	Nucleus	transcription regulator
-1.25	2.51E-02	R70784	MCTS1	malignant T cell amplified sequence 1	Cytoplasm	other
-1.491	4.73E-03	AI000271	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	Cytoplasm	enzyme
1.196	1.44E-02	N73290	MED13L	mediator complex subunit 13-like	Nucleus	other
-1.209	3.00E-02	AA775750	MED18	mediator complex subunit 18	Nucleus	other
-1.361	2.19E-02	AA876357	MED23	mediator complex subunit 23	Nucleus	transcription regulator
-1.246	1.83E-02	AA029295	MED8	mediator complex subunit 8	Nucleus	other
-1.313	1.84E-02	AA261796	MEN1	multiple endocrine neoplasia I	Nucleus	transcription regulator
-1.319	1.89E-02	AA422058	METTL1	methyltransferase like 1	Unknown	enzyme
-1.381	5.65E-03	AA978354	MGMT	O-6-methylguanine-DNA methyltransferase	Nucleus	enzyme
1.283	3.74E-02	AA143201	MMP1 (includes EG:4312)	matrix metallopeptidase 1 (interstitial collagenase)	Extracellular Space	peptidase
-1.167	3.71E-02	AI184266	MMP11	matrix metallopeptidase 11 (stromelysin 3)	Extracellular Space	peptidase
-1.389	3.74E-03	AI343006	MRAS	muscle RAS oncogene homolog	Plasma Membrane	enzyme
-1.305	1.82E-02	AA487370	MYL12B	myosin, light chain 12B, regulatory	Cytoplasm	other
-1.43	8.75E-03	AA505051	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	Plasma Membrane	other
-1.391	2.97E-02	T47813	MST1	macrophage stimulating 1 (hepatocyte growth factor-like)	Extracellular Space	growth factor
1.251	1.74E-02	N26175	MTDH	metadherin	Cytoplasm	other
1.313	2.47E-02	AA676322	MTF1	metal-regulatory transcription factor 1	Nucleus	transcription regulator
-1.3	2.25E-02	AA158990	MVP	major vault protein	Nucleus	other
1.264	2.62E-02	AA488898	MYH11	myosin, heavy chain 11, smooth muscle	Cytoplasm	other
-1.286	2.53E-02	N63425	MYST1	MYST histone acetyltransferase 1	Nucleus	enzyme
-1.433	3.74E-02	AA969460	NCF4	neutrophil cytosolic factor 4, 40kDa	Cytoplasm	enzyme
-1.472	5.52E-03	AA495962	NCOA1	nuclear receptor coactivator 1	Nucleus	transcription regulator
-1.386	4.53E-02	AA416866	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	Cytoplasm	enzyme
1.408	1.43E-02	AA043254	NFAT5	nuclear factor of activated T-cells 5, tonicity-responsive	Nucleus	transcription regulator
-1.38	7.41E-03	AA633811	NFIL3	nuclear factor, interleukin 3 regulated	Nucleus	transcription regulator
-1.271	3.59E-02	W55872	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	Cytoplasm	other
-1.378	6.38E-03	AA953975	NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	Nucleus	transcription regulator
-1.857	3.13E-03	AI681004	NFRKB	nuclear factor related to kappaB binding protein	Nucleus	transcription regulator
-1.332	3.07E-03	AI016793	NFYA	nuclear transcription factor Y, alpha	Nucleus	transcription regulator
1.545	2.46E-02	AI271774	NHP2L1	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	Nucleus	other
-1.225	2.60E-02	AA625806	NINJ1	ninjurin 1	Plasma Membrane	other
1.353	2.55E-02	AA630376	NOTCH2	Notch homolog 2 (Drosophila)	Plasma Membrane	transcription regulator
