Probeset_ID	Distance	Symbol	Description
221087_s_at	6.643072423	APOL3	apolipoprotein L, 3
225344_at	6.646285564	NCOA7	nuclear receptor coactivator 7
211339_s_at	6.647510429	ITK	IL2-inducible T-cell kinase
229972_at	6.663387163	NA	NA
203275_at	6.669991318	IRF2	interferon regulatory factor 2
208485_x_at	6.680942693	CFLAR	CASP8 and FADD-like apoptosis regulator
207963_at	6.686103118	C6orf54	chromosome 6 open reading frame 54
218810_at	6.721216766	ZC3H12A	zinc finger CCCH-type containing 12A
204279_at	6.74398121	PSMB9	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)
227609_at	6.755487622	EPSTI1	epithelial stromal interaction 1 (breast)
200628_s_at	6.763753692	WARS	tryptophanyl-tRNA synthetase
219209_at	6.799323532	IFIH1	interferon induced with helicase C domain 1
224701_at	6.816661142	PARP14	poly (ADP-ribose) polymerase family, member 14
220330_s_at	6.827682921	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
200629_at	6.848693774	WARS	tryptophanyl-tRNA synthetase
201601_x_at	6.936916928	IFITM1	interferon induced transmembrane protein 1 (9-27)
221653_x_at	6.958840396	APOL2	apolipoprotein L, 2
200632_s_at	6.963507248	NDRG1	N-myc downstream regulated 1
1568592_at	6.968779881	TRIM69	tripartite motif-containing 69
208456_s_at	6.974831412	RRAS2	related RAS viral (r-ras) oncogene homolog 2
229055_at	6.99327522	GPR68	G protein-coupled receptor 68
223434_at	6.999737391	GBP3	guanylate binding protein 3
216236_s_at	7.005338054	SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14
221903_s_at	7.04193881	CYLD	cylindromatosis (turban tumor syndrome)
209383_at	7.050364653	DDIT3	DNA-damage-inducible transcript 3
229041_s_at	7.063148396	NA	NA
201649_at	7.082839871	UBE2L6	ubiquitin-conjugating enzyme E2L 6
212590_at	7.094296061	RRAS2	related RAS viral (r-ras) oncogene homolog 2
222483_at	7.107010821	EFHD2	EF-hand domain family, member D2
209732_at	7.137598413	CLEC2B	C-type lectin domain family 2, member B
220577_at	7.163724208	GVIN1	GTPase, very large interferon inducible 1
229830_at	7.177373701	PDGFA	platelet-derived growth factor alpha polypeptide
200921_s_at	7.178222019	BTG1	B-cell translocation gene 1, anti-proliferative
235688_s_at	7.198107045	TRAF4	TNF receptor-associated factor 4
226056_at	7.220569626	CDGAP	Cdc42 GTPase-activating protein
210563_x_at	7.231474674	CFLAR	CASP8 and FADD-like apoptosis regulator
205270_s_at	7.231633486	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)
213618_at	7.232081372	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
204804_at	7.254029824	TRIM21	tripartite motif-containing 21
202074_s_at	7.261923577	OPTN	optineurin
202081_at	7.269926884	IER2	immediate early response 2
201998_at	7.275037933	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1
208992_s_at	7.278032417	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)
208991_at	7.283670111	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)
202497_x_at	7.285742668	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
218145_at	7.299049241	TRIB3	tribbles homolog 3 (Drosophila)
226101_at	7.318616472	PRKCE	protein kinase C, epsilon
210279_at	7.321202347	GPR18	G protein-coupled receptor 18
202499_s_at	7.322694345	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
200920_s_at	7.335171312	BTG1	B-cell translocation gene 1, anti-proliferative
203518_at	7.350321401	LYST	lysosomal trafficking regulator
212589_at	7.356723676	RRAS2	related RAS viral (r-ras) oncogene homolog 2
219210_s_at	7.372443003	RAB8B	RAB8B, member RAS oncogene family
222088_s_at	7.388116469	SLC2A14	solute carrier family 2 (facilitated glucose transporter), member 14
244251_at	7.389304455	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)
202531_at	7.393502219	IRF1	interferon regulatory factor 1
209939_x_at	7.399271727	CFLAR	CASP8 and FADD-like apoptosis regulator
225415_at	7.409330886	DTX3L	deltex 3-like (Drosophila)
236198_at	7.411467416	NA	NA
1552309_a_at	7.41543853	NEXN	nexilin (F actin binding protein)
220306_at	7.429642696	FAM46C	family with sequence similarity 46, member C
225973_at	7.43786004	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
234964_at	7.442943347	TRA@	T cell receptor alpha locus
1557116_at	7.449090764	APOL6	apolipoprotein L, 6
208392_x_at	7.490639998	SP110	SP110 nuclear body protein
220358_at	7.501841186	BATF3	basic leucine zipper transcription factor, ATF-like 3
232024_at	7.511346034	GIMAP2	GTPase, IMAP family member 2
225800_at	7.541586113	JAZF1	JAZF zinc finger 1
202672_s_at	7.547761598	ATF3	activating transcription factor 3
238183_at	7.552535314	NA	NA
209828_s_at	7.555630792	IL16	interleukin 16 (lymphocyte chemoattractant factor)
200798_x_at	7.558829384	MCL1	myeloid cell leukemia sequence 1 (BCL2-related)
205463_s_at	7.558910271	PDGFA	platelet-derived growth factor alpha polypeptide
203610_s_at	7.567444616	TRIM38	tripartite motif-containing 38
211530_x_at	7.568372908	HLA-G	major histocompatibility complex, class I, G
221563_at	7.583910593	DUSP10	dual specificity phosphatase 10
204484_at	7.591936737	PIK3C2B	phosphoinositide-3-kinase, class 2, beta polypeptide
204769_s_at	7.597347798	TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
238725_at	7.603361964	IRF1	interferon regulatory factor 1
206118_at	7.610569229	STAT4	signal transducer and activator of transcription 4
209827_s_at	7.616098573	IL16	interleukin 16 (lymphocyte chemoattractant factor)
207315_at	7.631942273	CD226	CD226 molecule
226498_at	7.638758809	NA	NA
220054_at	7.644243353	IL23A	interleukin 23, alpha subunit p19
215313_x_at	7.644418498	HLA-A	major histocompatibility complex, class I, A
226497_s_at	7.647807871	NA	NA
204440_at	7.661130041	CD83	CD83 molecule
204806_x_at	7.688352456	HLA-F	major histocompatibility complex, class I, F
202429_s_at	7.705643361	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform
214453_s_at	7.7073024	IFI44	interferon-induced protein 44
208892_s_at	7.70777267	DUSP6	dual specificity phosphatase 6
226474_at	7.730352156	NLRC5	NLR family, CARD domain containing 5
202284_s_at	7.748123544	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
219716_at	7.7614246	APOL6	apolipoprotein L, 6
226409_at	7.779155062	TBC1D20	TBC1 domain family, member 20
205269_at	7.789835379	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)
204774_at	7.793721096	EVI2A	ecotropic viral integration site 2A
244598_at	7.807166274	NA	NA
226664_at	7.807689463	TBC1D20	TBC1 domain family, member 20
208891_at	7.809591237	DUSP6	dual specificity phosphatase 6
212185_x_at	7.81660778	MT2A	metallothionein 2A
211456_x_at	7.833777631	MT1P2	metallothionein 1 pseudogene 2
1554352_s_at	7.834635407	DENND4A	DENN/MADD domain containing 4A
241869_at	7.838734817	APOL6	apolipoprotein L, 6
202498_s_at	7.87731876	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3
208581_x_at	7.886080754	MT1X	metallothionein 1X
218558_s_at	7.896298785	MRPL39	mitochondrial ribosomal protein L39
202419_at	7.960674507	KDSR	3-ketodihydrosphingosine reductase
212190_at	7.97347619	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2
209140_x_at	7.986122536	HLA-B	major histocompatibility complex, class I, B
206461_x_at	8.003968716	MT1H	metallothionein 1H
225798_at	8.030125164	JAZF1	JAZF zinc finger 1
225524_at	8.0527478	ANTXR2	anthrax toxin receptor 2
221840_at	8.072662926	PTPRE	protein tyrosine phosphatase, receptor type, E
36711_at	8.078547227	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
236442_at	8.085130527	DPF3	D4, zinc and double PHD fingers, family 3
203320_at	8.101397582	SH2B3	SH2B adaptor protein 3
209626_s_at	8.12485847	OSBPL3	oxysterol binding protein-like 3
205988_at	8.12574103	CD84	CD84 molecule
238532_at	8.131626676	DPF3	D4, zinc and double PHD fingers, family 3
203729_at	8.133927958	EMP3	epithelial membrane protein 3
204702_s_at	8.16192832	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
202393_s_at	8.171435319	KLF10	Kruppel-like factor 10
209239_at	8.179633037	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
212750_at	8.191604469	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B
224799_at	8.192427005	NDFIP2	Nedd4 family interacting protein 2
212561_at	8.200816969	DENND5A	DENN/MADD domain containing 5A
202644_s_at	8.204300348	TNFAIP3	tumor necrosis factor, alpha-induced protein 3
213069_at	8.236341534	HEG1	HEG homolog 1 (zebrafish)
224802_at	8.246706578	NDFIP2	Nedd4 family interacting protein 2
213113_s_at	8.255914691	SLC43A3	solute carrier family 43, member 3
242943_at	8.272125912	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
203882_at	8.274156383	IRF9	interferon regulatory factor 9
227677_at	8.27771864	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)
212458_at	8.279255746	SPRED2	sprouty-related, EVH1 domain containing 2
1557236_at	8.295616448	APOL6	apolipoprotein L, 6
236471_at	8.338444113	NFE2L3	nuclear factor (erythroid-derived 2)-like 3
219213_at	8.342552816	JAM2	junctional adhesion molecule 2
225076_s_at	8.350387028	ZNFX1	zinc finger, NFX1-type containing 1
211936_at	8.364398923	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)
204204_at	8.37502823	SLC31A2	solute carrier family 31 (copper transporters), member 2
203348_s_at	8.375956711	ETV5	ets variant 5
200599_s_at	8.412268155	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
218793_s_at	8.429911618	SCML1	sex comb on midleg-like 1 (Drosophila)
230102_at	8.445774092	ETV5	ets variant 5
214129_at	8.464960652	PDE4DIP	phosphodiesterase 4D interacting protein
208361_s_at	8.466025998	POLR3D	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa
229934_at	8.476599251	NA	NA
1552316_a_at	8.52453337	GIMAP1	GTPase, IMAP family member 1
224791_at	8.533339815	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
217456_x_at	8.533998359	HLA-E	major histocompatibility complex, class I, E
200598_s_at	8.544519245	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1
41577_at	8.550756207	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B
223220_s_at	8.55570805	PARP9	poly (ADP-ribose) polymerase family, member 9
224796_at	8.565426014	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
203140_at	8.565857604	BCL6	B-cell CLL/lymphoma 6
230237_at	8.582473347	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)
200878_at	8.585686739	EPAS1	endothelial PAS domain protein 1
212641_at	8.59187855	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
210692_s_at	8.626551154	SLC43A3	solute carrier family 43, member 3
227080_at	8.629101627	ZNF697	zinc finger protein 697
212642_s_at	8.630771171	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2
209325_s_at	8.658067368	RGS16	regulator of G-protein signaling 16
224801_at	8.66337563	NDFIP2	Nedd4 family interacting protein 2
225205_at	8.685253969	KIF3B	kinesin family member 3B
224790_at	8.696214134	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
221039_s_at	8.704857478	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
201170_s_at	8.710438403	BHLHE40	basic helix-loop-helix family, member e40
209295_at	8.713639963	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b
235056_at	8.730248975	ETV6	ets variant 6
209446_s_at	8.7314587	C7orf44	chromosome 7 open reading frame 44
201566_x_at	8.744109325	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
203974_at	8.763293986	HDHD1A	haloacid dehalogenase-like hydrolase domain containing 1A
202643_s_at	8.767290093	TNFAIP3	tumor necrosis factor, alpha-induced protein 3
226440_at	8.783054744	DUSP22	dual specificity phosphatase 22
218747_s_at	8.786039248	TAPBPL	TAP binding protein-like
231577_s_at	8.792561174	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa
202269_x_at	8.815305535	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa
203943_at	8.822020947	KIF3B	kinesin family member 3B
202307_s_at	8.830467099	TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
228812_at	8.837589875	NA	NA
203233_at	8.847629723	IL4R	interleukin 4 receptor
227337_at	8.854874706	ANKRD37	ankyrin repeat domain 37
213135_at	8.85619628	TIAM1	T-cell lymphoma invasion and metastasis 1
215499_at	8.858928195	MAP2K3	mitogen-activated protein kinase kinase 3
229450_at	8.864502668	IFIT3	interferon-induced protein with tetratricopeptide repeats 3
235122_at	8.866888617	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3
226103_at	8.872069511	NEXN	nexilin (F actin binding protein)
234994_at	8.972208517	TMEM200A	transmembrane protein 200A
205467_at	8.972264223	CASP10	caspase 10, apoptosis-related cysteine peptidase
225557_at	8.997093854	AXUD1	AXIN1 up-regulated 1
239486_at	9.025442122	NA	NA
232375_at	9.026736596	NA	NA
202270_at	9.051023025	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa
210512_s_at	9.066629386	VEGFA	vascular endothelial growth factor A
204079_at	9.085488431	TPST2	tyrosylprotein sulfotransferase 2
201693_s_at	9.089981081	EGR1	early growth response 1
200887_s_at	9.105362645	STAT1	signal transducer and activator of transcription 1, 91kDa
211559_s_at	9.111442985	CCNG2	cyclin G2
210001_s_at	9.12466983	SOCS1	suppressor of cytokine signaling 1
202770_s_at	9.176091172	CCNG2	cyclin G2
203349_s_at	9.188802906	ETV5	ets variant 5
235242_at	9.208551526	NA	NA
209324_s_at	9.210998713	RGS16	regulator of G-protein signaling 16
228204_at	9.253541254	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4
227473_at	9.286045006	NA	NA
229716_at	9.286460797	NA	NA
205569_at	9.310545897	LAMP3	lysosomal-associated membrane protein 3
203997_at	9.315981631	PTPN3	protein tyrosine phosphatase, non-receptor type 3
227030_at	9.353007607	NA	NA
224739_at	9.391517695	PIM3	pim-3 oncogene
225913_at	9.470729298	SGK269	NKF3 kinase family member
208026_at	9.501500231	HIST1H4F	histone cluster 1, H4f
235670_at	9.51588535	STX11	syntaxin 11
221602_s_at	9.525665115	FAIM3	Fas apoptotic inhibitory molecule 3
222132_s_at	9.53022796	AGK	acylglycerol kinase
235116_at	9.537170265	TRAF1	TNF receptor-associated factor 1
243362_s_at	9.539805899	LOC641518	hypothetical protein LOC641518
243363_at	9.544144191	LOC641518	hypothetical protein LOC641518
208250_s_at	9.598408098	DMBT1	deleted in malignant brain tumors 1
214329_x_at	9.604052636	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
204197_s_at	9.61529603	RUNX3	runt-related transcription factor 3
223533_at	9.629570191	LRRC8C	leucine rich repeat containing 8 family, member C
221234_s_at	9.660272975	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
201059_at	9.660667021	CTTN	cortactin
222666_s_at	9.6624877	RCL1	RNA terminal phosphate cyclase-like 1
217078_s_at	9.690112998	CD300A	CD300a molecule
221649_s_at	9.699471769	PPAN	peter pan homolog (Drosophila)
206036_s_at	9.723373945	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)
231776_at	9.727861509	EOMES	eomesodermin homolog (Xenopus laevis)
230748_at	9.729777947	SLC16A6	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
200904_at	9.73408463	HLA-E	major histocompatibility complex, class I, E
228910_at	9.742558067	NA	NA
213655_at	9.751461155	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide
210387_at	9.756434734	HIST1H2BG	histone cluster 1, H2bg
211697_x_at	9.777388947	PNO1	partner of NOB1 homolog (S. cerevisiae)
216246_at	9.783777589	NA	NA
216913_s_at	9.825425805	RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)
211965_at	9.825779795	ZFP36L1	zinc finger protein 36, C3H type-like 1
202695_s_at	9.831285427	STK17A	serine/threonine kinase 17a
205987_at	9.832483411	CD1C	CD1c molecule
203394_s_at	9.855694758	HES1	hairy and enhancer of split 1, (Drosophila)
213048_s_at	9.860694272	NA	NA
239231_at	9.880191768	NA	NA
219821_s_at	9.908675327	GFOD1	glucose-fructose oxidoreductase domain containing 1
202769_at	9.912320549	CCNG2	cyclin G2
201666_at	9.920585838	TIMP1	TIMP metallopeptidase inhibitor 1
205066_s_at	9.924876341	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
227458_at	9.959691683	NA	NA
205891_at	9.977466828	ADORA2B	adenosine A2b receptor
200905_x_at	9.993352471	HLA-E	major histocompatibility complex, class I, E
213826_s_at	10.00291806	H3F3A	H3 histone, family 3A
203904_x_at	10.00403915	CD82	CD82 molecule
220485_s_at	10.01118944	SIRPG	signal-regulatory protein gamma
228314_at	10.04304813	LRRC8C	leucine rich repeat containing 8 family, member C
227173_s_at	10.04926045	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2
211668_s_at	10.05995114	PLAU	plasminogen activator, urokinase
213642_at	10.06310426	NA	NA
204179_at	10.11225357	MB	myoglobin
217739_s_at	10.11515257	NAMPT	nicotinamide phosphoribosyltransferase
236280_at	10.11569146	NA	NA
212044_s_at	10.12357295	RPL27A	ribosomal protein L27a
230499_at	10.1238828	NA	NA
217738_at	10.14019435	NAMPT	nicotinamide phosphoribosyltransferase
213350_at	10.15640153	RPS11	ribosomal protein S11
216212_s_at	10.16249165	DKC1	dyskeratosis congenita 1, dyskerin
212099_at	10.18024507	RHOB	ras homolog gene family, member B
225842_at	10.18591026	PHLDA1	pleckstrin homology-like domain, family A, member 1
221943_x_at	10.18683379	RPL38	ribosomal protein L38
211949_s_at	10.21337978	NOLC1	nucleolar and coiled-body phosphoprotein 1
211962_s_at	10.22419146	ZFP36L1	zinc finger protein 36, C3H type-like 1
211026_s_at	10.22518405	MGLL	monoglyceride lipase
212312_at	10.26179195	BCL2L1	BCL2-like 1
217853_at	10.2625956	TNS3	tensin 3
220688_s_at	10.26797101	MRTO4	mRNA turnover 4 homolog (S. cerevisiae)
201565_s_at	10.26970167	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
202748_at	10.27682408	GBP2	guanylate binding protein 2, interferon-inducible
201502_s_at	10.29928298	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
202931_x_at	10.30145635	BIN1	bridging integrator 1
219243_at	10.32004854	GIMAP4	GTPase, IMAP family member 4
209795_at	10.3453455	CD69	CD69 molecule
202028_s_at	10.36031771	RPL38	ribosomal protein L38
207892_at	10.36666438	CD40LG	CD40 ligand
1555950_a_at	10.38477732	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)
210201_x_at	10.4068783	BIN1	bridging integrator 1
221601_s_at	10.40860119	FAIM3	Fas apoptotic inhibitory molecule 3
209933_s_at	10.42003611	CD300A	CD300a molecule
202156_s_at	10.42056745	CUGBP2	CUG triplet repeat, RNA binding protein 2
223403_s_at	10.42141831	POLR1B	polymerase (RNA) I polypeptide B, 128kDa
221558_s_at	10.44063576	LEF1	lymphoid enhancer-binding factor 1
221253_s_at	10.44174292	TXNDC5	thioredoxin domain containing 5 (endoplasmic reticulum)
242873_at	10.44879041	NA	NA
218590_at	10.46581305	C10orf2	chromosome 10 open reading frame 2
228235_at	10.49152945	MGC16121	hypothetical protein MGC16121
219563_at	10.53004089	C14orf139	chromosome 14 open reading frame 139
205599_at	10.5529839	TRAF1	TNF receptor-associated factor 1
1552541_at	10.56592805	TAGAP	T-cell activation RhoGTPase activating protein
214011_s_at	10.58100066	NOP16	NOP16 nucleolar protein homolog (yeast)
1569003_at	10.59292879	TMEM49	transmembrane protein 49
222557_at	10.59397258	STMN3	stathmin-like 3
202241_at	10.62558889	TRIB1	tribbles homolog 1 (Drosophila)
204174_at	10.64348965	ALOX5AP	arachidonate 5-lipoxygenase-activating protein
201926_s_at	10.64833029	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)
224221_s_at	10.66119349	VAV3	vav 3 guanine nucleotide exchange factor
242907_at	10.66394378	NA	NA
214662_at	10.68793981	WDR43	WD repeat domain 43
33323_r_at	10.69616009	SFN	stratifin
230383_x_at	10.71576711	NA	NA
217147_s_at	10.72225555	TRAT1	T cell receptor associated transmembrane adaptor 1
1555167_s_at	10.72852796	NAMPT	nicotinamide phosphoribosyltransferase
213497_at	10.76480256	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2
222838_at	10.77552207	SLAMF7	SLAM family member 7
215037_s_at	10.78027388	BCL2L1	BCL2-like 1
1554340_a_at	10.81097245	C1orf187	chromosome 1 open reading frame 187
217997_at	10.81249829	PHLDA1	pleckstrin homology-like domain, family A, member 1
212105_s_at	10.82142384	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9
218032_at	10.84936563	SNN	stannin
207992_s_at	10.85399646	AMPD3	adenosine monophosphate deaminase (isoform E)
204014_at	10.9033265	DUSP4	dual specificity phosphatase 4
204612_at	10.92740592	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
210162_s_at	10.93088016	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
200908_s_at	10.94105841	RPLP2	ribosomal protein, large, P2
210538_s_at	10.94866011	BIRC3	baculoviral IAP repeat-containing 3
218806_s_at	10.95376169	VAV3	vav 3 guanine nucleotide exchange factor
212062_at	10.97230977	ATP9A	ATPase, class II, type 9A
202859_x_at	10.9764327	IL8	interleukin 8
1553096_s_at	10.99363287	BCL2L11	BCL2-like 11 (apoptosis facilitator)
206099_at	11.00835702	PRKCH	protein kinase C, eta
226549_at	11.02946376	SBK1	SH3-binding domain kinase 1
214439_x_at	11.03904427	BIN1	bridging integrator 1
218807_at	11.05421522	VAV3	vav 3 guanine nucleotide exchange factor
214745_at	11.10138639	PLCH1	phospholipase C, eta 1
1555797_a_at	11.12865906	ARPC5	actin related protein 2/3 complex, subunit 5, 16kDa
203913_s_at	11.15079312	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
208982_at	11.18778322	PECAM1	platelet/endothelial cell adhesion molecule
204198_s_at	11.20549861	RUNX3	runt-related transcription factor 3
221750_at	11.22120167	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
202687_s_at	11.2511049	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
204057_at	11.26943344	IRF8	interferon regulatory factor 8
208018_s_at	11.2832196	HCK	hemopoietic cell kinase
230252_at	11.28677142	LPAR5	lysophosphatidic acid receptor 5
202934_at	11.29747812	HK2	hexokinase 2
224606_at	11.3111917	KLF6	Kruppel-like factor 6
202743_at	11.31836905	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)
204472_at	11.31916353	GEM	GTP binding protein overexpressed in skeletal muscle
205479_s_at	11.32052403	PLAU	plasminogen activator, urokinase
224917_at	11.35755247	TMEM49	transmembrane protein 49
218764_at	11.36038763	PRKCH	protein kinase C, eta
206662_at	11.36352072	GLRX	glutaredoxin (thioltransferase)
227178_at	11.37151287	CUGBP2	CUG triplet repeat, RNA binding protein 2
227687_at	11.40379339	HYLS1	hydrolethalus syndrome 1
229280_s_at	11.42284852	FLJ22536	hypothetical locus LOC401237
1552542_s_at	11.42761466	TAGAP	T-cell activation RhoGTPase activating protein
1555832_s_at	11.46528306	KLF6	Kruppel-like factor 6
222394_at	11.48533657	PDCD6IP	programmed cell death 6 interacting protein
201012_at	11.49188587	ANXA1	annexin A1
203744_at	11.50430199	HMGB3	high-mobility group box 3
201925_s_at	11.51706364	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)
232231_at	11.51772936	RUNX2	runt-related transcription factor 2
206749_at	11.5220268	CD1B	CD1b molecule
213931_at	11.52567263	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
224862_at	11.5376205	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide
205798_at	11.54141925	IL7R	interleukin 7 receptor
206478_at	11.56831652	KIAA0125	KIAA0125
203868_s_at	11.56840981	VCAM1	vascular cell adhesion molecule 1
225962_at	11.58255911	ZNRF1	zinc and ring finger 1
204015_s_at	11.60388629	DUSP4	dual specificity phosphatase 4
